mout fu irie z	---|-|----⌫|
dientqu eil uoud roien t mielz	----|--⌫|-|----⌫-----⌫|----|
au oirfaitgrantmeschief	--⌫--|---|----|-------|
del or cors	-|-⌫-|---|
q u eilparelspreistmort.	-⌫-⌫|-|--|--|-----|---||
orentildita consoilque	----|-|--||------|--|
cuiderentpas quem erl in sle	--------|--|--|-⌫---⌫--⌫|-|
seust.etquant ilu in rent deuant	----||-|----|-|-⌫--⌫---|-----|
si lesmerciad ece quil	-|--|-----|-⌫|-|-|-|
auoient dit.	------|--||
etil l i de man dent	-|-|-⌫|--⌫---⌫---|
que auonsn os dit parq uoitu	--|----|-⌫-|--|--|-⌫--|-|
nos mercie setillor	--|------⌫|-|-|--|
p ar olesico m	-⌫--⌫--|-|--⌫|
quillauoientdit e.	-|-||------|---⌫||
etquantcilloirentsi s en	-|----|--||-----|-||-|
merueillie rent e t distrentnos ne	----------⌫---|-⌫|-------|--|-|
po onsriensfai rened i re	--⌫--|----|---⌫-|-|-⌫-⌫-|
en f esnesaiche.	--⌫-⌫-|-|-----||
einsischeuauchierent pa rlor	-----|-------------|--⌫|--|
i or neestantque i lf uren tou	-⌫--⌫---|------|-⌫|-⌫----⌫|-|
u ertigier etensater re.unio r	-⌫-------|-|-|-|---⌫-||-|--⌫|
cheuauchoient sipas soient	------------|-|---⌫-----|
parune uilesiportoi tl en	--|--|---|-|------⌫|-⌫-|
enfantenterrerqui	-----|-------|--|
estoitmorz	-----|---|
sia uoitapr es le corsmolt	-|-⌫---|---⌫-|-|---|---|
due ldomes etdefemme s.quant	---⌫||---|-|-|-----⌫||----|
me rlins u itce duel et le sclers	--⌫----|-⌫-|-|---|-|--⌫|----|
et lesprestr e squich antoient	-|--|------⌫-⌫|--|--⌫-------|
etportoien t le corsen terre molt	-|--------⌫|-|---|-|----|---|
uis tementsi comencaarire	---⌫-----|-|------||---|
aresta.etcilquile	-----||-|--|--|-|
men oientlidemende rentde quoi	---⌫----|-|-------⌫---|-|---|
etil distdune grantmerueille	-|-|---||--|----|--------|
ieuoi.etil l i	-|--||-|-|-⌫|
queillor die et il	--|-|--|--|-|-|
uoslacelprodom e	--|-|--|------⌫|
qui te ldu elfait et il	--|--⌫|--⌫-|---|-|-|
respondent oil	---------|--|
bien.-e t uee z	---|||-⌫|---⌫|
celprouoire	--|-------|
quich ante	--|--⌫---|
cesautr e sildeustfairele	--|----⌫-⌫|-|----|----|-|
que leprodomefaitqueieuoil	--|-|------|---|--|-|---|
bien queuo s sachiez	---|--|--⌫|------|
quelie nfesestsesfilz	--|-|-⌫---|--|--|---|
est m orspor	--|-⌫--|--|
quoi celprodome	---|--|------|
plore .cilquiiln estnoian t	----||--|--|-||--|-----⌫|
grant duele t c il	----|---|-⌫|-⌫-|
qu ifilzilest	--⌫|---|-|--|
cil chante	--|-----|
s imestauisqueceest	-⌫||--|---|--|-|--|
grantmer ueille.etlim essaige	----|---⌫-----||-|-|-⌫------|
demanden tcomentporronsnos	--------⌫|-----|------|--|
cesauo irie	-|----⌫-|-|
leuosdi r ai aleza	-|--|--⌫-⌫-|---||
lafem mesli	-|---⌫-||-|
porquoisess ires fait si	--|---|--|-⌫---|---|-|
duelet ele uosdiraporsonfil	---|-|--|--|---|--|--|--|
q ui estmorz. et	-⌫-|--|---||-|
ausis biensaiiecomeuos	----|---|--|-|---|--|
m ies es fil z	-⌫-|-⌫-|---⌫|
sai bien qui il estfilz	--|---|--|-|--|---|
prouoirequih uien atant	-------|--|-⌫-|-||---|
chant ési que	-----⌫-|-|--|
p r estresmeimes	-⌫-⌫-----|-----|
leset bie net	-|--|---⌫|-|
q ueilmeimesle uos	-⌫-|-|-----|-|--|
aditq uila conte ́	|--|-⌫|-||-----⌫|
le terminequ il	-|------|-|-|
fuengendrez.q uantl i	-|--------||-⌫---|-⌫|
mess aigeor entbi ene ntend uce	----⌫---|--⌫--|--⌫-|-⌫-----⌫|-|
qu emerlins ot d itsi aler ent	--⌫|------|-|-⌫-|-|----⌫--|
dels alafeme sili	|--||-|---|-|-|
demenderent	----------|
touteinsis comm e rlinslorot	---|-----|--|-⌫-⌫----|--|-|
enseingnié . et quantlafe mme l	----------||-|----|-|--⌫--||
sifu moltespo ante eet lo r d istbiau	-|-|---|----⌫----⌫|-|--⌫|-⌫--|---|
s e ingno rpor dieumer ciie	-⌫-⌫-----⌫|--|---|---⌫-|-|
ainzuosconoistrai uoir	---|--|---------|---|
car uos sem blezmoltp rodome s	--|--|---⌫---|---|-⌫------⌫|
estein si suoirsc om uos	--|---⌫--⌫|----|-⌫-|--|
maisp or dieu	---|-⌫-|---|
ditesmiemonseing nor quari l	----|--|--|-----⌫--|---|-⌫|
m ocir roit	|----⌫---|
ceste mer ueille oiesi	----|---⌫-----|--|-|
se nuin rent	|-⌫|---⌫---|
etleconterenta s autresyy .	-|-|--------|-⌫|-----|-||
lorsdi ente ntreus	---|--⌫--|-⌫--|--|
queil n o tmai s el	--|-||-⌫|---⌫|-|
montsi bondeuin.	---|-|--|----||
einsisc he uauchierent	-----|-⌫--⌫----------|
t an tquil	-⌫--⌫--|-|
uindren ta uneiorneepresdela	-------⌫||--|-----|---|-|-|
uertigiers est oit etl ors	---------|---⌫--|-|-⌫--|
d em anderentlimessaigetumeimes	-⌫--⌫-------|-|-------|-|-----|
deuroiesbi en co nseillier quenos	-------|--⌫-|--⌫--------|--|--|
d ironsmonseignorque nos	-⌫----|--|------|--|--|
liduiauantale rp ordire lique	-|--|----|---⌫|-⌫-|---|-|--|
n os tauon strouué s inos	-⌫-||----⌫|------|-⌫|--|
ense ingn e quetuuour asquenos	----⌫----⌫|--|-|----⌫-|--|--|
toi. mais espoirilnos	--||---|-----|-|--|
blamerade c eque nosnetauons	------|-|-⌫|--|--|-||----|
ocis. quantmer linslesoiei nsis	---||----|---⌫---|--|-|--⌫---|
parler s isotbie nqueiluoul oient	-----|-⌫|--|---⌫|--|-|----⌫----|
son preusilor	--|---|-|--|
distfaite s	---|-----⌫|
lesicomie u osens eingneraisin	-|-|--|-|-⌫-|---⌫--------|-||
ia blasmez.	-|------||
orcom ende z .e tmerlinsdit	-|---⌫----⌫||-⌫|------|--|
al ez auertigier et	--⌫-||--------|-|
queuos maueztro uuéet l i	--|--||---|---⌫---|-|-⌫|
contez leuoir dece queu os	-----|-|---|-|-|--|-⌫-|
ma uez oidireet lidite sque	|-⌫--|-|---|-|-|----⌫|--|
ielimant que ie li	-|-|---|--|-|-|
mosterraibien	--------|---|
porquoi sator	--|---|-|--|
pue ttenirparcouantque	---⌫|----|--|-----|--|
f ace d e cels qui me uouloient	-⌫--|-⌫|---|--|-|--------|
oci rrece queil	---⌫--|-|--|-|
uouloi ent	------⌫--|
feist d emoi.se li di te s	----|-⌫|--||-|-|--⌫--⌫|
lidiraibienpor quoiil	-|----|---|--|---|-|
mauoient comende ́ao cirreet	|------|-------⌫||-⌫----|-|
liauroiztoutce dit	-|-----|---|-|--|
fa itest outseurementce	--⌫---|-⌫--|--------|-|
uos dira. limessai ge	--|---||-|------⌫-|
sen tornere ntsi	|-|-------⌫-|-|
uerti gierlanu it.etqua nt ue rtigie rs	-----⌫---|-|--⌫-||-|---⌫-|--⌫------⌫-|
lesuitsienfu	--|--|-|-|-|
moltliezet	---|---|-|
lordemande	--|------|
quauez uo s	-|---|--⌫|
d ema besoingneetilre s ponn ent	-⌫|-|--------|-|-|--⌫-⌫----⌫--|
aumiel zquen ospoim es.	-|----⌫|--|-⌫-|----⌫-||
lor slap el ent aconsei letli	---⌫||--⌫--⌫--||------⌫|-|-|
contenttouteinsicom	------|---|----|--|
ontouuréet	--|-----|-|
tro uuere ntmerlinetseiluous ist	---⌫-----⌫-|-----|-|-|-|----⌫--|
trouue si entia m aisi l	------⌫--⌫--|-|-⌫--|-⌫|
uie n tmolt uolentiers	---⌫-⌫|---|---------|
ro isdistdequelmerlinme	--⌫-|---|-|---|-----|-|
parlezuosdont nemedeus t es	-----|--|---|-|-|----⌫-⌫-|
uos querrele nfant q ui fu nezsans	--|-----||-⌫----|-⌫-|-|--|---|
pereetmedeuoiezaporter le	---|-|-|------|------|-|
d esoncors	-⌫|--|---|
.etilresponnent	|-|-|---------|
sire ceest	---|-|--|
icil merlins	---|------|
quen osuosd isonsetbien	--|-⌫-|--|-⌫----|-|---|
sachiez que ceestliplus	------|--|-|--|-|---|
saiges ho metl eplusforz	-----|--⌫|-|-⌫|---|---|
deuinsq ui	-----|-⌫-|
onques fust ueu z fors di eu .	-----|---|---⌫|---|--⌫-||
s iretou teinsi scomuosnos	-⌫--|---⌫|-----⌫|--|--|--|
feist e siureret	-----⌫-⌫|----|-|
comendastes	----------|
comendemen ttoute insislenosa	----------⌫|---|-⌫----|-|--||
ilrecontéetditp or	-|-------|-|--|-⌫-|
clerc n eseuent	----|-⌫|-----|
porquoiuostre	--|---|-----|
tors ch ietmais il uo s	---|--⌫--|---|-|--⌫|
diraet mosterr a s e uos u oleza	---|-|-------⌫|-⌫|--|-⌫---||
.etautre smerueilles	|-|-----⌫|---------|
ilditestropg r anzet	-|----|---|-⌫-⌫--|-|
ae nuoiez a u os por	|-⌫-----||-⌫-|--|
sauoirse uos uou lezparlera	-----|-|--|---⌫--|-----||
seuosuoulez nos	-|--|-----|--|
locir ronb ienl aoilestque	|----⌫--|-⌫--|-⌫||-|--|--|
compoignons	----------|
so ntauecluiquile	--⌫-|---|--|--|-|
garden t. et	------⌫||-|
q uant liroislo r	-⌫---|-|---|--⌫|
se uo sossezpl euir soru osuies	-|--⌫|----|--⌫---|--|-⌫-|---|
queilmosterr a porquoi ma	--|-|-------⌫|--|---|-|
torschiet ieneuoilp asquil	---|----|-|-|---|-⌫-|-|-|
soitocis .	---|---||
dien t no s	----⌫|--⌫|
lepleuisson sbien .	-|---------⌫|---||
lorsdis tli rois	---|---⌫|-|---|
alezlequerrequeieuoil	---|-|-----|--|-|---|
parlera lui	-----||--|
a leren t limessaige etli	-⌫-----⌫|-|-------|-|-|
r o is meime scheuauchaapres	-⌫-⌫-|-----⌫|--------|----|
elsetquant merlinsui t les	--|-|----|------|--⌫|--|
messaigessi	--------|-|
rite tdistuos	--|-⌫|---|--|
m auez pleui	|---|----|
sor uo zuies .et	--|--⌫|---||-|
responnentu os	---------|-⌫-|
n os uolonsmielzes tre	-⌫-|-----|----|--⌫--|
en auenturequenosuo s	-|-------|--|--|--⌫|
oceissie nsetilnosenc ouenoit	--------⌫-|-|-|--|-|-⌫------|
lunfaire. et merlins	|-|----||-|------|
respontieuosgarr aibiend e	------|-|--|----⌫-|---|-⌫|
cest epleui ne	----⌫|-----⌫-|
cheuauc hierent	-------⌫------|
enc ont relero itantquil l	---⌫---⌫-|-|--⌫|-----|-||
encontrer ent .	---------⌫--||
quantmerlinsuintpresdeuertigier	----|------|---|---|-|--------|
s ilesalu aet	-⌫|-|----⌫|-|
distuertigier	---|--------|
parlezaconseil amoi . et	-----||------||--||-|
t restauneparte tapela	-⌫---||--|---|-⌫|----|
c elsqui lorentamené. etcom	-⌫--|--||----|-----||-|--|
ilfuren t aconseil sidist	-|-----⌫||------|-|---|
merlinssiretumasfa itq uer re	------|---|-||-|--⌫-|-⌫---⌫-|
torquinepuet	--|--|-|---|
teniretme comenda saocirre pa r le	----|-|-|-------⌫||-----|--⌫|-|
consoildete sclers	------|-|--⌫|----|
diso i entq ueta to rde uoit	----⌫-⌫--|-⌫-|-|--⌫|--⌫---|
tenir de mon	----|-|--|
san cmaisil menti rent.	---⌫|---|-|-----⌫---||
mes si leussientdit	--||-⌫|-------|--|
qu ele deust	-|--|----|
tenir par mon san ileussie nt	----|--|--|--|-|------⌫-|
tumecreantesque	-|-|-------|--|
uouloi entquetu feisse s demoi	------⌫--|--|-|------⌫|-|--|
ie temost erraiporquoi ele	-|-|----⌫----|--|---|--|
ett enseig neraise tu laueu ls	-||------⌫----|-|-|-|---⌫-|
f aireco menteletenr a.	-⌫---|--⌫---|--|----⌫||
etuertigiers respont setu me	-|---------|------|-|-|-|
m ostres ce quetumediz ie	-⌫-----|-|--|-|-|--|-|
ferai dec els	----|-|-⌫--|
uour as .etillidit se	----⌫-||-|-|-|--|-|
deparoletant	-|-----|---|
soitpetite si ne	---|-----|-|-|
mecroimiede nuleaut re	-|---|--|-|---|---⌫-|
t ed ie. alons	-⌫|-⌫-||----|
faisonsuenirles	------|----|--|
clerset ielor	----|-|-|--|
demend eraiporq uoi lator	------⌫---|--|-⌫--|-|--|
chietettuorras	----|-|-|----|
sa uo it la	--⌫--⌫-|-|
dire . eins ienm en alirois merlin	---||----⌫|---⌫--⌫|-|---|-----|
iu squeen laplac e ou	--⌫---|-|-|----⌫|-|
latorchiet e tli	-|--|----|-⌫|-|
furentma nd e ́et uindrentpar	-----|--⌫--⌫-⌫|-|-------|--|
etq uanti lfu rent uenu	-|-⌫---|-⌫|--⌫---|---|
silo rfi st	-|--⌫|--⌫-|
m erli n s mander pa r un	-⌫----⌫-⌫|-----|--⌫|-|
desmessaigesquilot amenési	--|--------|--||-|-----|-|
distseingnorclerc porquoi	---|-------|----|--|---|
dite suosquecesteoe ure	----⌫|--|--|----|--⌫--|
chie tet il responn ent nos	----⌫|-|-|-------⌫--|--|
nes auons noian tdou che oi rmaisnos	-|-⌫----|-----⌫|--|---⌫--⌫|---|--|
auo nsdit leroi	---⌫-|--|-|--|
coment eletenra . et lirois	-----|--|----||-|-|---|
respontuosmauezdit	------|--||---|--|
merueilles	---------|
queuosmecomendez a querreun home	--|--|-|-------||-----|-|---|
quisoitne z sanzper e	--|---|--⌫|---|---⌫|
sai c oment il puisse	--|-⌫----|-|-----|
estretrouuez.etmerlins	----|------||-|------|
parole ascl ers silors	-----|-|--⌫--|-|---|
s eingnor cl erc uo stenezlero i	-⌫------|--⌫--|--⌫|----|-|--⌫|
folqua rcequeuo s li faites	--|---⌫|-|--|--⌫|-|-----|
ome qui es t	--|--|--⌫|
ne zsanz pe re uousnoufaitesmie	--⌫|---|--⌫-|---||-|-----|--|
porsabes oingne	--|-|---⌫-----|
ma ispou r lauostre	--⌫-|---⌫|-|-----|
caruos auez	--|--|---|
sorti quelienfesqui est	----|--|-|----|--|--|
s an z pereque	-⌫--⌫|---|--|
uos d e uezparl ui	--|-⌫-⌫--|--|-⌫-|
m oriretporcequeuos	-⌫---|-|--|-|--|--|
paorqueil ne	---|--|-|-|
uosauroi entend entquese i lle	--|-|--|------⌫--|--|-|-⌫|-|
faisoitocirr e	------|-----⌫|
et ilmeist lesanc	-|-|----|-|---|
ouf ondem en t de	-|-⌫-----⌫--⌫|-|
tenro itsiqueiame s	-----⌫-|-|--|----⌫|
necharroit.	-|-------||
etuospens astesqueinsi spoez	-|--|----⌫----|-|-----⌫|---|
u oscelui deceuoirpar	-⌫-|----|-------|--|
deuoiezmoriren	------|----|-|
uozsorz.quant	--|---||----|
ci loient quecelenfan t d it	--⌫|----|--|--|-----⌫|-⌫-|
t e l merueille-quecilcui dere nt	-⌫-⌫|--------||--|--|---⌫----⌫-|
quenulerien	--|---|---|
seustque els	----|--|--|
furentmo lt espo antéet	-----|--⌫-|----⌫----|-|
sorent bi en	-----|--⌫-|
que amorirlescouen r oit .et	--||----|--|-----⌫-⌫--||-|
merlinsdist aur oisire or	------|---|-|-⌫-|---|-|
biensauoir quecist c lerc	---|-----|--|---|-⌫---|
uuel ent pas oci rr epor	----⌫--|--|---⌫--⌫|--|
tormaispo rpaordec e	--|---|--⌫|---|-|-⌫|
auoientsortiquil deu oient	------|----|-|-|---⌫----|
por moi morir. etd e ma nde zquar	--|--|----||-|-⌫-⌫--⌫---⌫|---|
ilnesero ntias ihardi	-|-|----⌫-|-|-⌫|----|
deua ntmoi uo us oss entmentir.	----⌫-|--|--⌫-|---⌫--|-----||
etli roislordemand e	-|-|---|--|------⌫|
ditilu o iretil	--|-|-⌫-⌫-|-|-|
responnent siresinos	---------|---|-|--|
facediexsausden oz	---|---|---|-|-⌫-|
comiluoirdit .	--|-|---|--||
maisnosne sauon s	---|--|-|-----⌫|
parcuii l se t	--|--|-⌫|--⌫|
cesmeru eil les	--|----⌫---⌫--|
priomc omanostre	----|-⌫-||-----|
seingn orquetu	------⌫-|--|-|
noslesse s ta nt	--|-----⌫|--⌫-|
n osueonsseil	-⌫-|----|-|-|
dit uoirde	--|---|-|
ceste torne s eletenra	----|--|-||--|----|
parlui .etmerlins	--|--||-|------|
auezg ard ede	---|-⌫---⌫|-|
morirt antque	----|-⌫-----|
ue uporquoi la torchiet . et	--⌫|--|---|-|--|----||-|
lors ditmerlinsauertigier	---|--|------||--------|
uo lstu sauoirpor quoit	--⌫-|-|-----|--|---||
oeurec hiet nene puettenir	----|-⌫---|-|-|---|----|
quilat abatiel e t e	--|-||---|-|-⌫|-⌫|
mos terraietdi r ai totcler.	---⌫-----|-|--⌫-⌫-|--|---||
ila sozce steterre	-||--|--⌫--|----|
grantiauedorman tet	----|---|------⌫|-|
desouzc elei aue	-----|-⌫--|-⌫--|
dragonsquin euoientgo ute.	------|--|-⌫|-----|--⌫--||
e stl iun srousetli autres	-⌫-|-⌫|--⌫|---|-|-|-----|
blansetsontseur yypier res	----|-|---|---|-|----⌫--|
e tsententbien liunslautre	-⌫|------|---|-|--||----|
ets ontmoltgrant. etquant	-|-⌫--|---|----||-|----|
i lsentent que liaue	-⌫|------|--||---|
ssore l ssis e	|--|-⌫-⌫|-|-⌫|
tornent etl	------|-||
iau e dem oin esi	---⌫|---⌫---⌫|-|
gra ntbr uit quece quies t desus	---⌫-|--⌫--|--|-|--|--⌫|----|
faitcouientque ilchie .	---|------|--|-|---||
eteinsichiet	-|----|----|
tator porcesyy	-|--|--|--|-|
dragons.et	------||-|
faiigarde r	--||-----⌫|
etset u netrouuescequeiete	-|-|-⌫|-|------|-|--|-|-|
di simefaitrainera	-|-|-|--|------||
cheuaus etse t u l etr ouuessi	------|-|-|-⌫|-⌫|--⌫----|-|
soientm iplegequi te	-----|-⌫|----|---⌫-|
clersencorpéqui dece ne	----|-------|--|-|-|-|
sauoientrien.e tuertigiers	-------|---||-⌫|---------|
seceestuoirs que tume	-|-|--|----|--|-|-|
distuiesli	--|-|--|-|
plus sai geshom	---|---⌫--|--|
doumo n de.or	--|--⌫-⌫-||-|
menseign e comentie	|-------⌫|-----|-|
ferail at erreoster.e t merlins	----|-⌫|-⌫---|----||-⌫|------|
dista cheuauset a cha rrestese t a	---||------|-||---⌫------|-⌫||
h omesacolset	-⌫---||---|-|
porte rloing	-----⌫|----|
fi sttan tostmestrelesouu rierset	--⌫-|---⌫---|-----|--|---⌫----|-|
qu errequan queco uintaceleoe ure	--⌫---|----⌫--|--⌫---||---|--⌫--|
faireetles genzde	----|-|--|---|-|
la t e rr e	-|-⌫-⌫--⌫|
tienen t ce amoltg ra nt folie	------⌫|-||---|-⌫--⌫-|----|
s ilosissientpour uert igie r	|-|--------|---|----⌫----⌫|
comendamoltlesclersa garder .	------|---|--|----||-----||
ei nsiouurerenta cel le terreost er	--⌫--|--------||---⌫-|----|---⌫-|
grantpi eceet tant ouurerent	----|--⌫--|-|---|--------|
que iltrouu erent l i aueetquantil	--|-|-----⌫----||-⌫--|-|----|-|
ia u et ro uuee si la	--⌫-⌫|-⌫--⌫---|-|-|
desc ou urirent etlorsfirent	----⌫--⌫------|-|---|-----|
sauoirauroiqu	-----|-|--|-|
etliroisu i ntmoltliee ment	-|-|---|-⌫-⌫-|---|----⌫---|
merueilleueoiretame na	--------|----|-|---⌫-|
etquantiluintlasi esga rda	-|----|-|---|-|-|----⌫--|
iaue si lauit	---|-|-|--|
molt parfond e	---|-------⌫|
etgrante t	-|----|-⌫|
apeladousde	----|---|-|
s e sconseillierss ilor d ist	-⌫-⌫|-----------|-⌫|--|-⌫--|
m oltestcisthom saiges qui	-⌫--|--|---|--|-----|--|
s auoit ce steiaue s ouz	-⌫----|--⌫--|---|-⌫--|
ce steterre	--⌫--|----|
et encoresdit	-|------|--|
quila sozl	-|-||--||
iaueyydra gons. maisil nemesaura	---|-|---⌫---||---|-|-|-|----|
iatantc osterqueienef ace	-|---|-⌫----|--|-|-|-⌫--|
quanque il me	------|-|-|
diratantq ue ie	---|-----⌫-|-|
lestruisse.et	--|------||-|
l o rsapel a	-⌫-⌫-|----⌫|
m erl inetl id isttu asuoir	-⌫---⌫-|-|-⌫|-⌫--|-|-|---|
di t de cest eiauemaisie	--⌫|-|----⌫|---|---|-|
tudizuoirdesdr ago ns .	-|--|---|--|--⌫---⌫-||
etme rlins respont tu n ele	-|--⌫----|------|-|-⌫|-|
puessauoirtantquetules	---|-----|------|-|--|
uoies .etuerti giersdi t	----||-|-----⌫----|--⌫|
comment porro n s n oscesteiaue	------|-----⌫-⌫|-⌫-|----|---|
etmerlins respontnosla	-|------|------|--|-|
feron scorreabonsfos sez tot	-----⌫|----||---|---⌫--|--|
deci parmil es chans .lors	-|-|----|-⌫-|----||---|
comenciéafaire et l	--------||----|-||
a co rre hors .etmerlins dist	|--⌫--|---||-|------|---|
uert igiercildui	----⌫----|--|--|
dragonqu isont	-----|--⌫|---|
desouzceleiaue s itost	-----|---|---|-⌫|---|
ent resenti rontsi se	---⌫-------⌫---|-|-|
