Acesteestoiredi reme	|----|------|--⌫-|-|
Etlegrantt ertre molt tosta deualer	-|-|----|-⌫----|---|---||------|
f ierent h ardicommes engler	-⌫-----|-⌫---|----|-⌫-----|
Monioieescrient qant uintalasenbler	------|-------|---|---|||-------|
Ado nccuidierentS arrazin et Escl er	---⌫-|---------|-⌫------|-|----⌫-|
Quec efustCharlesqui tantfeta	--|-⌫|---|------|--|---|--||
Quiaitde Francefets ono sta mener	--|--|-|-----|--|-⌫-|-⌫-|-⌫----|
Plusleredoutentquehomedec a	---|-|--------|--|---|-|-⌫|
p ase ncoresf e tarmer	-⌫-|-⌫-----|-⌫-⌫|----|
Ce f istLonbarzhardement rec o urer	-|-⌫--|------|--------|---⌫-⌫---|
As b ran s d acierloruo ntgranzcox	-|-⌫---⌫||----|--|--⌫-|----|--|
Deciauconteles	-|-|-|----|--|
o ntfet reu ser	-⌫-|--|---⌫--|
Me sSarrazinque Dexp uist	--⌫|-------|--|--|-⌫---|
Liontiafetsond estriermort	-|--|-|--|--|-⌫------|---|
S i lileuoie ntle pandel	-⌫|-|------⌫-|-|--|-||
a ube rc cler	-⌫---⌫-|---|
Parmi lecors l iuoloient	--|-|-|---|-⌫|-------|
Lor granze spiezp or	--|----|-⌫----|-⌫-|
li fere finer	-|---|----|
Qan zF ouquerezetIeufroiz deua lcler	---⌫|-⌫-------|-|-------|-|--⌫----|
EtcilFo uq uinsdontmois tesparler	-|--|--⌫--⌫---|---||---⌫--|-----|
Q uialalem esageconter	-⌫-|--|-|-⌫----|-----|
eusmaintbaronet ma in tper	--|----|----|-|--⌫--⌫|--|
Pongnentporlisecor re	-------|--|-|-----⌫-|
A la res c ousedelp reucont eAymeri	|-|---⌫-⌫---|--|-⌫--|----⌫|-----|
u indrentpongnantmaint cheualierhardi	-⌫------|-------|----|--------|----|
Quilibai llier ent	--|-|---⌫-----⌫--|
undestrierarabi	-|-------|----|
imontequepl us n i atendi	|----|--|--⌫-|||-----|
E n sonp ong	-⌫|--|-⌫--|
tint lebrancdacierforbi	---|-|----||----|----|
Lors recommen celestorgrantetforni	---|--------⌫-||----|----|-|----|
Paien d em o inentet tel noise	----|-⌫--⌫-⌫----|-|--|----|
une liuelesal enbienoi	--|---|--|||-|---|-|
Tantosts a doubentp aie n	------||-⌫------|-⌫---⌫|
Qa ntarmefurent l iglo tonmalei	--⌫-|---|-----|-⌫|---⌫--|----|
Auf ortest or sontmolt tostreu erti	-|-⌫--|---⌫-|---|---|---|---⌫---|
Me s ainzqu	--⌫|---|-|
ilfussenttuit d armes bien	-|------|---||----|---|
E n onttantmortnoz	-⌫|--|---|---|--|
cheualierhardi	--------|----|
a us en sont l ipre uesti	-⌫-|-|---|-⌫|--|----|
armesontliDeu ennemi	---|---|-|--|-----|
Lorsuei ssiez fieresto resb audi	---|---⌫----|---|----⌫|---⌫---|
Tan t hantefreteet tan tesc u croiss i	---⌫|----|----|-|---⌫|---⌫|------⌫|
Etta nthauber cdesroutet des arti	-|--⌫-|------⌫|------|-|---⌫---|
Etdetranchiet a ntue rt h iaum ebr uni	-|---------|-⌫-⌫-|--⌫-|-⌫----⌫|--⌫--|
M alfu baill isqui aterrec hai	-⌫-|-|-----⌫-|--||----|-⌫--|
leuase ilnotbonami	---|-|-||-|--|--|
Paiende moinent	----|--⌫------|
ettelnoiseet	-|--|----|-|
Quet uitenfuren tli Lonb art	--|-⌫--|-|-----⌫|-|----⌫--|
Moltuolenti erssen fussent	---|-------⌫--||-|------|
Mes tantredo uten tle preucont e Aymeri	--|---|----⌫----⌫|-|---|----⌫|-----|
.i.se usdel estor nep arti	--|--⌫-|-||----|-|-⌫---|
Carqant iluoie ntlepreuc o ntehardi	--|---|-|----⌫-|-|---|-⌫-⌫--|----|
Quideuant euslapress edeparti	--|-----|--|-|-----⌫|------|
Lipluscoar zh ardementrec oilli	-|---|----⌫|-⌫-------|---⌫----|
Sifi ert ch ascuns del	-|--⌫--|--⌫-----|--|
brancd aci er forb i	----||---⌫-|----⌫|
Sorlagent Sarrazine	--|-|---|--------|
Grant h ardementrecoi llentli Lonb art	----|-⌫-------|-----⌫----|-|----⌫--|
PorAymeri quilesgranz	--|-----|--|--|----|
cox depart	--|-----|
Sontdeue n uhardili	---|----⌫-⌫|----|-|
p luscoa rt	-⌫--|---⌫-|
Qantlorreme n bre	---|--|----⌫-⌫--|
delordameHermeniart	-|--|---|---------|
Quitelbarondoitauoir	--|--|----|---|----|
Chascunsda usbroche le bon destrierliart	-------||-⌫-|-----|-|--|-------|----|
Lunport ehache	|-|----⌫|----|
etliaut r e sfaus sart	-|-|---⌫-⌫-⌫|----⌫---|
Ascoxdonercuident uenira tart	-|--|----|------|----||---|
So r paiensfierent ainsicommeliepart	--⌫|-----|------|----|----|------|
Desgloto nsf ontle ior	--|-----⌫-|-⌫--|-|--|
sigrantes sart	-|----|--⌫---|
Quenendi roielamoit ie nelecart	--||-|--⌫---|-|----⌫-|-|-|---|
Cuens Aymerissene s tdonezregart	----|------||-|-⌫-⌫|----|-----|
uo irdist l i	--⌫-|---|-⌫|
cuensbien le fontli	----|---|-|---|-|
Ques blameroit ielt androiea	---|--------|--|-⌫------||
Car ue r s paie ns sontfelon etgangnart	--|--⌫-⌫|----⌫-|---|----|-|-------|
M amorontrecouree	|---|--|-------|
Tres biensesontliLonbartma intenu	---|---|-|---|-|------|--⌫-----|
Aspremierscoxont fo rt	-|-------|--|--|--⌫-|
e sto r rendu	-⌫---⌫|----|
Bienont as	---|--|-|
Turslo rmautal ant uend u	---|--⌫|------⌫--|----⌫|
pa r tsont asenbleetu en u	--⌫-⌫|---|------|-|-⌫--⌫|
Licheu a lier Aymeri et sid ru	-|----⌫-⌫---|-----|-|-|-⌫-|
LesLonbarzontfiereme nt secor u	--|------|--|-------⌫-|-----⌫|
Al e storuienent aforce etaue r tu	||-⌫---|------||----|-||--⌫-⌫-|
Etd aut repartSar ra zin mescreu	-||---⌫-|---|---⌫--⌫--|------|
G rantc r i de moinent	-⌫---|-⌫-⌫|--⌫------|
etgrant noisee tgrant hu	-|----|----|-⌫|----|-|
En treFrancoisse sonttui tenb at u	--⌫--|-------|-|---|---⌫|---⌫--⌫|
Porte nt maintdar tetmaint espiemolu	-----⌫-|----|---⌫|-|----|----|---|
Sorcrestien s	--|--------⌫|
ontcha ple e t feru	--|---⌫--|-⌫|---|
As sezenont	--⌫--|-|--|
naureetaba tu	----|-|---⌫-|
Agrantmeschief c uen sAymerisif u	|----|-------|-⌫---⌫|------||-⌫|
Qant li mesage	---|-|-----|
isontt uit	|---|-⌫--|
Cilquiestoient dePa uieuen u	--|--|-------|-|--⌫--|---⌫|
LX. esto ient barondegrant	--|----⌫---|----|-|----|
QuiAymerifurentam iet	--|-----|-----|--⌫|-|
Chas c unsapo int le b o nd estrie r cren u	----⌫-⌫--||--⌫--|-|-⌫-⌫|-⌫------⌫|----⌫|
Cil ontlecon te uail lament s ecoru	--|--|-|---⌫-|----⌫-----|-⌫----|
Lauei ssiezfier estormaintenu	-|---⌫----|---|----|-------|
Tant hante	---|----|
fre te etpercie ta nte s cu	---⌫-|-|-----|--⌫-|-⌫-⌫-|
Ettanthaubercde smaillie etronpu	-|---|------|--⌫-------|-|----|
Tantb raztranchi e tant	---|-⌫--|-------⌫|---|
pong tant pie tantbu	---|---|--|---|-|
Ettant paientrebuchie et cheu	-|---|----|--------|-|---|
Mestant estoientliglotonmescreu	--|---|-------|-|-----|------|
SeDexnen pansepar la	-|--||-|----|--|-|
se u euer tu	--⌫-⌫|---⌫-|
Cildeuienne ser ont at artuenu	--|-|-----|---⌫--||-⌫--|---|
LidusGirar zsiamie t sidru	-|--|-----⌫|-|--|-⌫|-|--|
Qui secorsloramein ne	--|-----|--|-----⌫-|
Grantfules torlonguementad ure	----|-||--⌫--|---------||-⌫--|
Paienontmolt	----|--|---|
nozcr estiensgreue	--|--⌫------|----|
Detotes parzse	-|----|---|-|
fure nt adoube	----⌫-|-----|
Etalestorue nuetamass e	-|||----|--⌫-|-|-----⌫|
Tant en iotia	---|-||-|-|
ne f ussentnonbre	-|-⌫-----|-----|
paiensiotdegrantfi erte	-----||-|-|----|--⌫---|
Ch as cunssia sonolifantsone	--⌫--⌫---|-||--|------|---|
Sontlorensengnehautemen t	|--|--|-------|--------⌫|
Lors son t pa ienentoraus	---|---⌫|--⌫--|----|--|
fuia ntso ntelch anp	----⌫-|--⌫-|-|--⌫--|
Sor cre stiensont fer uet	--|---⌫-----|--|---⌫|-|
Mainten ontmort ligloton	----|-|--|---|-|-----|
Iafussent tui tFranc ois desbarete	-|------|---⌫|-----⌫--|--------|
QantHugues uintauco raiea dure	---|-----|---|-|--⌫---|-⌫---|
Gu izetAliaumes liduiconteennore	--⌫-|-|-------|-|--|----|-----|
Sanseset Aimesquimoltorent	-----|-|----|--|---|----|
Et dAp olice Otonle roimenbre	-||--⌫----|---|-|--|-----|
De Rosi llonGirar zaucue rsene	-|----⌫---|-----⌫|-|---⌫|---|
IeufroizdAniouo	-------||----||
lebran cen t ese	-|----⌫|--⌫-⌫--|
LidusHernau s	-|--|------⌫|
quimoltotdeb ont e	--|---|-|-|-⌫---⌫|
EtSauaris sor.i. d estrierloe	-|------|--|--|-⌫------|--|
LX. furen t prince conte etchase	--|-----⌫|-----|----|-|----|
Qui porleconte Aymeri	--|--|-|----|-----|
A Pauieorentlemesage porte	|----|----|-|-----|----|
Tui tcildesrengentn i ontplusdemo r e	---⌫|--|---------|||--|---|----⌫-⌫|
Etfort estorsefi erentabriue	-|---|----|-|--⌫----|-----|
Chascun s tinttretl ebrancdacierletre	-------⌫|---|---|-⌫|----||----|----|
Maint pai en	----|---⌫-|
ontocisetdecope	--|---|-|-----|
C uiil con siuent totasontans	-⌫-|-|---⌫-----|--||--|---|
A icep oindreontpaien re use	|--|-⌫-----|--|----|--⌫--|
Laueiss iezfierest ora dure	-|-----⌫--|---|---⌫-|-⌫---|
Tant hantef rete ettant escutroe	---|----|-⌫---|-|---|---|---|
Ettanthauberc d esroutetdesa fre	-|---|------|-⌫-----|-|----⌫--|
Tan tbraz tranchie	---⌫|---|-------|
tantp ietant pong cope	---|-⌫-|---|---|---|
Ta nt Sarraz intrebuch ie	--⌫-|------⌫-|-------⌫-|
Par ces c ha nsfuientci l d estriere nsele	--|--|-⌫--⌫-|-----|--⌫|-⌫------|-⌫----|
Tuitestraierd eseignores gare	---|-------|-⌫|------|--⌫---|
Quilauosist bo n destrierabri ue	--|-|-----|--⌫|-------|----⌫-|
Prendreenpeu sttotasa	------|-|---⌫-|--||-|
Paienegentontgl atietule	-----|---|--|--⌫--|-|--|
Ma homreclaimentqu e il	--⌫--|---------|--⌫|-|
aitd aus pite	--||--|---|
L iro i paienen son t formen t ire	-⌫|--⌫|----|-|---⌫|------⌫|--|
Chas cunssia .i. olifantsone	----⌫---|-||--|------|---|
Sonenttabors etcilc oront	-----|-----|-|--|-⌫-|--|
ralient li gloto n desfae	------|-|-----⌫|-----|
Texiiii.mil ese	--|----|---⌫|-|
reson tasenble	-----⌫|------|
nore nt elgrantestor	|---⌫-|-|----|----|
Hule ntet c rientetmoinent telfierte	----⌫-|-|-⌫----|-|------|--|-----|
La te rre en cr oleenu ironeten	-|--⌫--|-|--⌫--|---⌫---|-|-|
Lorsontlestorde l	---|--||----|--⌫|
totrenouele	--|-------|
Sorcrestiensontferuet cha ple	--|--------|--|---|-|---⌫--|
Plusdunearchie les	---||--|-----|--|
ontferantmene	--|-----|---|
uoi tl Aymerispre snalesans	---⌫||------|---⌫|||-|---|
Pointle destrierparmoltruiste fierte	----|-|-------|--|---|-----|-----|
lapressel ebon br ancentese	-|-----|-⌫|--|--⌫--|-----|
Etapresluilixx.c onteennor e	-|----|--|-|--|-⌫---|-----⌫|
n aitchastelou	|--|------|-|
p ansepa r laseuebont e	-⌫---|--⌫|-|---|----⌫|
Ainz que retornentlauron t	---|--|--------||-----⌫|
chi erconpare	---⌫-|------|
Ca rdep aien s	--⌫|-|-⌫----⌫|
sontsiauironne	---|-|-------|
Quegen e uoic omsoien te schape	--|-|-⌫|--|-⌫-|-----⌫|-⌫-----|
Carl un d e lau treso ntparforce	--||-|-⌫||--⌫--|--⌫-|--|----|
autreestale	----|--|--|
Ayme riont liSarrazin naure	----⌫-|--|-|-------|----|
Etsozluimortsondestrierabriue	-|--|--|---|--|-------|-----|
Licuenssautsustintleb r ancacere	-|----|---|--|---|-|-⌫-⌫--|----|
forment recla me	------|-----⌫-|
Enuir onluiafierementchaple	-----⌫-|--||--------|-----|
Et paie nsontent orlui amasse	-|----⌫|---|---⌫-|--|-----|
Deloinzlilancent lesespi e znoielez	-|----|-|------|--|----⌫-⌫|------|
Mes linonDeuqueil auoit	--|-|--|--|--|-|----|
Lon t dela mortgaren tiet	|--⌫|-|-|---|-----⌫-|-|
Dautre part sontlifranc	|----|---|---|-|----|
contea lose	----|-⌫---|
lapresseerento	-|-----|----||
Liu nsde l autrene	-|-⌫-|-||----|-|
s otnuleu erte	-⌫-|---|-⌫---|
Niaceluina itle	|||----||-⌫-|-|
co rsentame	--⌫-|-----|
Eniiii .leusetplaieet	-|----⌫|---|-|----|-|
Etlordestri ere s toient mort	-|--|------⌫-|-⌫-⌫-----|---|
A pieestoientlifranccontemenb re	|--|-------|-|----|----|----⌫-|
C hascunste noit le bon	-⌫------|--⌫---|-|--|
brancacere	----|----|
Maintpaien ont oci setdecope	----|----|--|---⌫|-|-----|
Mesnelor uaut.i.d e niermonnee	--|-|--|---|--|-⌫-⌫---|-----|
C ardepa i ens s ontsi au iro nn e	-⌫-|-|--⌫-⌫--|-⌫--|-|--⌫---⌫--⌫|
Se Dexn enpans eli	-|--||-|----⌫|-|
roisdemaies te	---|-|-----⌫-|
mort n ierent garanti netense	---||-----|------|-|----|
Tantlesasaillent	---|--|--------|
li g lotondesfae	-|-⌫----|-----|
Que.x.en prenent	--|--|-|------|
qui moltere ntlasse	--|---|---⌫-|----|
Etpiezetpoinz lorontformentno e	-|---|-|----|--|--|------|--⌫|
Etilon tDeu hautement reclame	-|-|--⌫|--|--------|------|
Qui l lessecorepa rl aseue	-|-⌫|--|-----|--⌫|-⌫|---|
Tant dure mentsont licon te esc rie	---|----⌫---|---|-|---⌫-|---⌫--|
Quecil les oi ent de labone cite	--|--|--|--⌫--|-|-|---|---|
A lorens engnes	|--|---⌫-----|
le sontb ienra uise	--⌫|--|-⌫--|--⌫---|
Dist El ina nzTropauons demore	---|--⌫---⌫-|---|----|-----|
CuensAymeris au coraie adure	----|------|-|-----|----|
Sinossecort	-|--|-----|
aso nriche barne	|--⌫|----|----|
Isso nslafors	----⌫-|-|---|
franccheualiermenbre	----|--------|-----|
Sil or aid ons	-|-⌫-|---⌫--|
parbone uolent e	--|---|------⌫|
Et cilres ponentOre auez	-|--|---⌫-----|--|---|
bienpa rle	---|--⌫--|
Quiuosf audra	--|--|-⌫----|
ait maldahe	--|--|---|
Isnelementsesonttuitadoube	---------|-|---|---|-----|
Cilquies toie nt et	--|--|--⌫----⌫-|-|
plaieetnaure	----|-|----|
f lansestr oitementbande	-⌫---|----⌫-------|----|
Sor les destrie rssontm aintenant	--|--|-------⌫-|---|-⌫--------|
Les portesourents ont	--|-----|-----||--|
le p ontauale	-|-⌫--|----|
De laienzissentetren g ieetserre	-|-----|-----|-|---⌫-⌫-|-|----|
Entrepaiens sefierenta briue	----|-----|-|------|-⌫----|
S ia chascu nsdeuant luiater re	-⌫||------⌫-|-----|--|----⌫-|
Celuiquila	----|-|-||
premer ainencontre	------⌫--|-------|
Mesenpoud e urefussen t	--|-|--||-⌫--|------⌫|
de sbarete	--⌫------|
Qant Girarzuintosonrichebarne	---|-----|---||--|----|----|
Ci lde uenn eaucoraieadure	--⌫|-|----⌫|-|-----|----|
Riche secor s alidus ame ne	----|-----⌫||-|--|---⌫-|
Atot .x.mil	|--|--|--|
feru estuetarme	----⌫---|-|---|
Fresetnouelsonten lesto r m el le	---|-|----|---|-||----⌫|-⌫--⌫-|
Lorsontlest o rdeltotrenou ele	---|--||---⌫-⌫|--|--|-----⌫--|
Sorpaiensfierentparmoltruiste	--|-----|------|--|---|-----|
Tante nocientne	---|-⌫|-----|-|
puetestrenonbre	---|----|-----|
Paienl e uoients isontespoente	----|-⌫|-----|-⌫|---|-------|
merue il leseilsont	-----⌫--⌫-|-|-|---|
C ar biensauezdefineuerite	-⌫-|---|----|-|---|-----|
C ain zne u itnussi gran t ost	|---⌫|-|-⌫-|--|-|----⌫|--|
S eilperdi r ent	-⌫|-|-----⌫-⌫--|
lors eigno rauoe	--|-⌫-----⌫|---|
nefussenttantostdesba rete	-|------|------|-----⌫---|
Et qantiluire ntle	-|---|-|----⌫-|-|
fr ancd u credoute	--⌫--|-⌫-⌫|------|
Girartqui otte l	-----|--|-|--⌫|
secorsa mene	-----|-⌫---|
Toutmaintenantsontenfui etor ne	---|---------|---|-|---⌫|---⌫-|
Quepu isni otgan chi	--|--⌫-|||-|---⌫--|
netre storne	-|---⌫-----|
Li d usGirarzat a ntesperonne	-|-⌫-|-----||-⌫-⌫-|--------|
Par m i le storet uen uetale	---⌫-⌫||-⌫---|-|---⌫|-|--|
Que tot apie aAymeri t roue	--|--||--||-----|-⌫---|
S on chi erneueuque il	-⌫-|---⌫-|----|--|-|
Tantotferu desonbran c ace re	---|-|---|-|--|----⌫|---⌫-|
Q u e tuit librazl	-⌫-⌫|---|-|---||
enestoient enfle	-|-------|----|
Etsil auoient paienelcor s na ure	-|-||------|----|-|---⌫|--⌫--|
istparle haub ercsa fre	--|--|-|----⌫--|--⌫--|
To t l esper o nen	--⌫||-----⌫-⌫|-|
ot en sanglante	-|--⌫--------|
uo itl eGirarzpresn alesans desue	--⌫-|-⌫|-----|---|||-|---|----|
Prent. i. destriersi li	----|-⌫-|-------|-|-|
apresen te	|------⌫-|
A pi edescentsil	|--⌫|------|-||
B iausnies	-⌫---|---|
fet ilestesu osen sante	--|-|----|-⌫-|-|----|
Oilbiaus oncles la	--|----|-----|-|
merciDamede	----|-----|
Me ssunp e ti teussiezpluse ste	--⌫||-|-⌫-⌫--⌫|------|---|-⌫--|
Ie saideuoirmal mefust e ncontre	-|--|-|---|--|-|---|-⌫------|
Ortos t b ia us	-|---⌫|-⌫--⌫-|
onc le sniai t plus	---⌫--⌫|||--⌫|---|
Gardezpaien nesoi en t eschape	-----|----|-|---⌫--⌫|------|
Ortost aprestropauonssei orne	-|---|----|---|----|---⌫---|
A i cemotsontandu iremonte	|-⌫-|--|---|----⌫|------|
Aprespaienso ntbrochieethurte	----|-----|-⌫-|------|-|----|
Et tuitlorhome apresespe ronn e	-|---|--|---|----|----⌫----⌫|
Les.x.baro nsontdeu anteus	--|--|----⌫-|--|---⌫--|--|
QueSarraz in	--|------⌫-|
ore ntenprisone	---⌫-|--------|
T ozl es liens	-⌫-|-⌫-|----|
loro n t molttostcope	--|-⌫-⌫|---|---|---|
Et cil monte rent qantfurentdeli ure	-|--|-----⌫---|---|-----|----⌫--|
Mes Sa rrazinsen fuient arou te	--|--⌫-----||--⌫-----|----⌫-|
L i dusGira rz les aforment haste	-⌫|--|----⌫-|--||------|----|
Audo sl ess iu t	-|--⌫|-⌫-|-⌫--⌫|
elpongleb rancletre	-|---|-|-⌫---|----|
bienson hardem entproue	---|--|------⌫--|----|
Cuiilconsiu ttot asontansf in e	--|-|------⌫|--||--|---|-⌫--⌫|
uespreal ie nch auz dure	-----||-⌫|-⌫---⌫--|---|
morzfuren tionchie	---|-----⌫|------|
Entr elesmorzsontliuifost e le	----⌫|--|---|---|-|--|---⌫-⌫-|
Cheoi rselessentausi ncomme pasme	-----⌫|-|------|----⌫|----|----|
Dels ancasmorzsesontensanglante	--|-⌫--|-|---|-|---|----------|
soientperce una uise	-----|-----⌫||-⌫---|
ceusq uisoite schape	---|-⌫-|---|-⌫-----|
For sBaufumeet le roiDesrame	---⌫|------|-|-|--|------|
Pa rtosta lerontleieu ioe	--⌫|---|-⌫--|--|-|--|--|
Ensenbleoeu s.xxx.paien arm e	-------||--⌫|----|----|---⌫|
uienent sis ont dedanz entre	------|-|-⌫--|-----|----|
Enunchala nt sensont nagenttor ne	-|-|-----⌫-||-|---|-----|---⌫-|
T outdroiteme nt aCordres	-⌫--|--------⌫-||------|
Aymerisabi en l encha utmaintenu	------||--⌫-||-----⌫-|-------|
Olui Gi rarzsiamietsi dru	|--|--⌫---|-|--|-|-|--|
Seilne fussent a	-|-|-|------||
c ebeso ngu enu	-⌫|----⌫-|-⌫--|
en fustmalau enu	-|---|--|--⌫--|
Tuitfu ssentmortet	---|--⌫----|---|-|
p r isetconfondu	-⌫-⌫-|-|-------|
Seilnefussenta c e	-|-|-|------||-⌫|
pointseco ru	----|----⌫-|
Ilsenrep air ent qantl	-||-|---⌫---⌫--|---||
estor fuueincu	----|-|-----|
A yme ris estasonon c lecoru	-⌫---⌫--|--||--|--⌫-⌫-|---|
Chascun s deusoste	-------⌫||--|---|
de sonchiefli aumeagu	-|--|----||-⌫---|--|
Ils e n trebesentqa ntont	-||-⌫-⌫--------|--⌫-|--|
dilorsa lu	-|--|--⌫-|
LidusGira rz quiproz et sagesfu	-|--|----⌫-|--|---|-|----|-|
Li dist Bia usniescom uos	-|---|---⌫-|---|--|--|
Mo ltb ie nbiaus	--⌫-|-⌫--⌫|----|
oncle smercia u	-----⌫|----|-⌫|
nos auezm estiereu	--|---|-⌫-----|-|
uersSarrazins no s s omesconb atu	---|--------|--⌫|-⌫---|----⌫--|
