telzco ustumance danferuient	---|--⌫--------||----|----|
oun ulznes ot	-|-⌫--|-|-⌫-|
neant aq ue rre	----|--⌫--⌫--|
quiancorefu an	--|-----|-|-|
renartleu oitcel le	-----|-|-⌫--|---⌫-|
tantf ula ssezuitil go ute	---|-⌫|--⌫---|--|-|--⌫--|
toutmaint enan tou f our s e boute	---|-----⌫----⌫|-|-⌫--|-⌫|----|
et issangri n	-|--------⌫|
uintalabouche	---||-|-----|
dehautp arol eetaufou r tou che	-|---|-⌫----⌫|-|-|---⌫|---⌫--|
lierres d it	------|-⌫-|
il parci saurras	-|--|-|------|
quep a rmonchiefor imor ras	--|-⌫-⌫|--|----|-||---⌫--|
acestuicopuanchié serai	|-----|--|-------|----|
pard ie u distrenartno nferai	--|-⌫--⌫|---|-----|--⌫|----|
pourpaor de	---|---|-|
toinani stre	--||-|-⌫---|
forsque parlaougiant re	------|--|-|-|||---⌫-|
lo rsce s t	--⌫-||-⌫-⌫|
li loups pourfox te nu s	-|----|---|--|--⌫--⌫|
darrier lefoursan	------|-|---||-|
estuen u s	--|---⌫-⌫|
trouuer cuid a une autre bouche	------|----⌫|--|----|-----|
e trenar tfors s is	-⌫|-----⌫|---|-⌫||
a ntou che	-⌫----⌫--|
quequelilous darrie r	-----|-|---|------⌫|
etrenarst outades	-|-----|-⌫--|---|
quantn e treuuepoint	----|-⌫|-----|----|
deper tuis	-|---⌫---|
arrierestret ou rneza luis	-----|--|---⌫--⌫---|||--|
etiureiamesnonque rr a	-|---|----|--|---⌫--⌫|
de dan s lefo ur	--⌫---⌫|-|--⌫-|
s ananterr a	|-|------⌫|
dedanslefour c est ilboute z	-----|-|---||--|-|-----⌫|
etlorssetint pourasotez	-|---|-|---|---|-----|
quan tre nartn iap astrouu é	----⌫|--⌫---||||-⌫-|-----⌫-|
pou r ces e	---⌫|-|-⌫|
claimefoxprouué	-----|--|------|
etdit pou r cene demourra	-|--|---⌫|-|-|-------|
auantiu squamerle quer r a	----|--⌫--||--|-|----⌫-⌫|
randra ianab aie	------⌫|-|--⌫--|
laparmonsan	-|--|--|--|
gedeuanrai unsgransabbez	-|-------|--|----|----|
la sera i lparmoi gabez	-|---|-⌫|--|--|----|
esc uierssera pris	---⌫----|---|---|
aurat antma lice apris	---|-⌫--|--⌫---|----|
to utu ife scorc hierlef erai	--⌫-|-⌫-|-⌫-----⌫---|-|-⌫---|
fameet a mfans	---|-|-⌫----|
pu is dest ruir ai	--⌫-|----⌫----⌫-|
iusques auci nques medeg re	------|-|--⌫-----⌫-|---⌫-|
ansinc aurai deluimungre	-----|----|-|--|--|--|
loup ssed elitoit	----⌫|-|-⌫------|
et s ess ors	-|-⌫-|-⌫--|
etlisam ble i aque le t ai gne	-|-|---⌫--|-⌫|--|-|-⌫--⌫--|
ettou t quanqueiliuige auaigne	-|---⌫|------|-|----|------|
ansincs on	-----|-⌫-|
iui ge mentmis a	---⌫--⌫---|--||
mesr enartquipo leprissa	--|-⌫----|--|-|-|-----|
sa n ala dedu isant	|-⌫|--|----⌫----|
pa rl eboisetparl aprarie	--⌫|-⌫|---|-|--|-⌫|-----|
d ess ausn e des	-⌫-|-⌫--|-⌫|--|
iusques de	------|-|
laforestissi	-|-----|---|
choi siuneh autemontaigne	----⌫-|--|-⌫---|--------|
lorsadesirquel a	---||----|--|-⌫|
mon tai gnezzaubreauoi t	---⌫---⌫--|-|----|----⌫|
desouzesga rdeetthiebertuoit	-----|----⌫--|-|-------|---|
quidessouz la ubrecou chiez	--|------||-⌫---|---⌫----|
pourceq u e tro ptraueilliezfeu	---|-|-⌫-⌫|---⌫|----------|--|
parpoque i l	--|-|--|-⌫|
ne somm eillo it	-|----⌫-----⌫-|
q uant oitrenartquisibrui oit	-⌫---|--|-----|--|-|----⌫--|
quiu enoitce llepartlesau t	--|-⌫----|--⌫--|---|-|---⌫|
thiebertloit touz effrae z	-------||--|---|------⌫|
sis eseignadesonp oi ndestre	-|-⌫|-----|-|--|-⌫--⌫|-----|
e dieuxdistil que peutse	|----|---|-|--|---|-|
certes licuersbi en medi soit	-----|-|----|--⌫-|-|--⌫---|
cun sgransmauspour moisegisoit	|--⌫|----|---|---|--|-|-----|
etsimeuanroi t tostoutart	-|-|-|------⌫|---|-|---|
mesnesauoi ede quelzpart	--|-|-----⌫|-|----|---|
huimor raisedieux	--|---⌫--|-|----|
atant ez renars	----|-|-----|
quile huie	--|-|---|
pardieuth iebertni dorm irez	--|---|--⌫-----|||----⌫---|
any yleu riersuousmirez	-|-⌫|---⌫----|---|----|
qui uienent ac oursetasaus	--|------||-⌫---|-||---|
iauou s liur erontgran sasaus	-|---⌫|----⌫----|----⌫|----|
p luscourrantsont	-⌫--|-------|---|
quea rond el	--|-⌫----⌫-|
nedesirre ntq u e uostrepel	-|-------⌫-|-⌫-⌫|-----|--|
il sont tuitcontr euous	-|---|---|-----⌫|---|
d e uous ocirre onttuitiuré	-⌫|---|-----|--|---|----|
siprinsparles costez	-|----|--|--|-----|
que touz licuirsmanestostez	--|---|-|----||-|--|----|
tantm ontplumé par	---||--|-----|--|
queplusblanssuis qu e	--|---|----|---|--⌫|
t ou z lic uersdouantre	-⌫--⌫|-|-⌫---|-|-----|
orsuslierres	-|--|------|
y nellemant	-⌫--------|
uoizles c igansan la fumier e	---|--|-⌫||-|--|-|------⌫|
ueoir lespeuzs anzlu mi ere	----|--|---|-⌫--|--⌫--⌫--|
niuautregarders ne ganchirs	||---|--------|-|-------|
tousces remedescestfuirs	---|--|------||--|----|
quant thiebertantant la n ouuelle	----|-------|-----|-|-⌫------|
licuer sli batsoz	-|----⌫|-|--|--|
lamame lle	-|----⌫--|
l asdistthieber t	-⌫-|---|-------⌫|
bi enlesauoie	--⌫-|-|-----|
quauiorduita nroie	-|-|--||-|--⌫----|
m ale uoi e	-⌫--|---⌫|
cer testroptostist	---⌫--|---|---|--|
iatantnier e	-|---||---⌫|
hon asseur	--|-----|
tr op tost ne uaigne maleur	--⌫-|---|-|-----|--|--|
lorsfuth iebertan tresgrant ire	---|-|--⌫-----|-|---|----|--|
sanzregarderet san zplusdi re	---|-------|-|---⌫|---|--⌫-|
piez uasaill ir	---|-|-----⌫-|
le preconmanceapoursaillir	-|--|-------||----------|
autrau ersnesetou il	-|----⌫--|-|--|-|-|
etrenarsadesapr esua	-|-----|---|---⌫-|-|
li huich eia l eprene taigne	-|-----⌫|-|-⌫|--|-|-----|
thiebertme ttoia la mo nta igne	-------|--⌫|--||-|--⌫---⌫---|
an hautth iebertanh au tan haut	-|---|--⌫-----|-|-⌫--⌫|-|---|
c ertesthiebert rie nne	-⌫----|-------|---⌫|-|
uou sespa rniés uos piez d aler	---⌫|----⌫-----|--|---||---|
les uoulezuo us metres aler	--|-----|--⌫-|----|-⌫---|
fa itestost silesdesnoez	--⌫---|---|-|--|------|
les leuriers da rriers uousoez	--|-------|--⌫-----|---|--|
thiebertremue r	-------|-----⌫|
et quanqu ilpeutesuertuer	-|-----|-|---|--------|
c o ntremontcourt	-⌫-⌫-------|----|
derando nnee	-|-----⌫---|
ettour iourslagoulebaee	-|----⌫----|-|----|---|
alainenel ifaussist	-----|-|-⌫|-------|
cors nedefa us si st	---|-|----⌫--⌫--⌫-|
pour c e queplu smale uoie	---|-⌫|--|---⌫|---|---|
loumoinethiebert la m ontaigne	--|----|-------|-|-⌫-------|
touri our le rapelle et semont	-----⌫--|-|------|-|-----|
amon tditi l thi eb ertamo nt	----⌫|--|-⌫|---⌫--⌫--|---⌫-|
carli leurier	--|-|------|
sontpresdetoi	---|---|-|--|
amont l ierreseff orceto i	----|-⌫-----|---⌫---|--⌫|
quidontuei stthiebertiailli r	--|---|---⌫-|-------|------⌫|
etla monta ignet ressa illir	-|-|-----⌫---|-⌫-----⌫----|
cou rresa oulez	---⌫--|--⌫----|
queilest aualroulez	--|-|--|---|-----|
parla uoiequ il a	--|-|---|-|-||
adon tescrie	----⌫|-----|
soiezmoiauior	----|--|-|--|
et me ga rdezlecorsdemi	-|-|--⌫---|-|---|-|-|
adansc est a t err ecouchi ez	----||--||-⌫---⌫|------⌫-|
par unpetitquenesto nchiez	--|-|----|--||--|-⌫-----|
son credo di t sa courpe	--|----|--⌫|-|-----|
touz licors depaourlibat	---|-|---|-|----|-|--|
ettoutlisans li	-|---|-|---|-|
bout etmeut	---|-|---|
ren a r suoitbienqueplusne	---⌫-⌫-⌫|---|---|--|---|-|
sise trai un po	-|-|---|-|-|
et sidistthiebertleuezsus	-|-|---|-------|----|--|
lesle uriers	--|--⌫-----|
ai touzdeuo urez	-|---|----⌫---|
u nseul n an	-⌫|---||-|
ie stde morez	|-⌫-|--⌫----|
que ilnemontoccis	--|-|-||--|----|
lo rs cest thiebertl ezlui asi s	--⌫-||--|-------|-⌫-|--|---⌫|
uo irdit sedieuxtegart	--⌫-|--|-|----|-|---|
ouilcertes	---|-----|
cedi str en a rt	-|--⌫-|-⌫--⌫-⌫-|
quantuiqu a moifuliretours	----|-|-||--|-|-|------|
adontlordonnaidemes	----|--|-----|-|--|
ta ntq ue trestuit il	--⌫---⌫-|-------|-|
sanza uoirne	---|-⌫---|-|
braitne hu é	----|-|--⌫-|
de toi garant ir	-|--|------⌫-|
morts antir	---|-⌫----|
sanz iam es	---|---⌫-|
nul iorreuenir	--|--|------|
montmedoi zpo rami tenir	---|-|---⌫|--⌫|--|----|
q uant thie bertsefuauisiez	-⌫---|----⌫---|-|-|------|
sices t montforma nt de s pisiez	-||--⌫|---|-----⌫-|--⌫-⌫-----|
etdistgesu istoutcler	-|---|-|--⌫-|---|---|
quec o urrem	--|-⌫-⌫---||
asfaitpour noiant	-|---|---|-----|
se nef eroieannula ndroi t	-|-|-⌫----|-|--|-⌫-----⌫|
mes qui ache t erte uoudroi t	--|--|----⌫-⌫-|-|-------⌫|
po urb ie nco u rransceroi esloez	--⌫-|-⌫--⌫|--⌫-⌫----|-----⌫-|---|
sanz estre ronzne ancloez	---|----|---|-|------|
quequeansincpallantal oient	-----|-----|------|--⌫----|
darriereus	------|--|
escou tentet uoient	-----⌫---|-|-----|
deus escuie rsqu i	---|------⌫-|--⌫|
cheu auchoient	----⌫--------|
etdeusleuriersqui les	-|---|-------|--|--|
montyniauxetfa izp ouraler	---|-----|-|--⌫-|-⌫--|---|
dis t re n arspanson s	---⌫|--⌫-⌫--|------⌫|
ce cistnoustiene n tmorsserons	-|---|---|-----⌫-⌫|---|-----|
elasdist t hieb e rt queferons	---|---|-⌫----⌫-⌫-|--|-----|
m esti erdec orre	-⌫----⌫-|-|-⌫---|
tantan aifaitne	---|-|-|---|-|
puisplussorre	---|---|----|
distren arsdonques demorras	---|---⌫--|------|-------|
miaux quetupeuz s i tegar ras	----|--|-|---|-⌫|-|---⌫--|
cargegueaignerai afuir	--|-|----------||---|
forsser ontseme peuen tsuir	---|---⌫--|-|-|-----⌫|---|
ettantte di	-|---|-|-|
ged ece r tain	-|-⌫|--⌫-⌫---|
neuiur asgairesdaus	-|----⌫-|-----||--|
desie r mo ntbien	--|--⌫|--⌫-|---|
gelesauoie	-|-|-----|
carmen acieroiuoie	--|---⌫----|-|---|
m orirc estet plusne peuz	-⌫---||----|---|-|---|
c onfess et oiettedeliure	-⌫------⌫|-⌫-|-|-|------|
ui ene prisun pois	--⌫|-|---|-|---|
ord emeur equege	-|-⌫-----⌫|--|-|
autrecons oil niuoi	----|----⌫--|||--|
lorsdemo ura	---|----⌫--|
th ieberttoutcoi	--⌫-----|---|--|
lui guermantant	--|----------|
agrantm an iere	|----|-⌫--⌫---|
etdistren art iasauuez	-|---|---⌫--|-|-----|
qu edetieux comforss est	--⌫|-|----|------||--|
mal lemor ttepuiss easer uir	---⌫-|---⌫|-|-----⌫|----⌫--|
queonq ues	--|---⌫--|
de to n confor ter	-|--⌫|------⌫--|
ne sepotpreudon	-|-|--|------|
mes gesuis de	--|-|---|-|
courresi las	-----|-|--|
puisalerle pas	---|---|-|--|
de courre suisge touz failliz	-|-----|---|-|---|------|
dontgen crienestr emalb ailliz	---||-|----|----⌫|----⌫-----|
mesadesme con forterai	--|---|-|---⌫-------|
geferaimiaux qu eges ar ai	-|----|----|--⌫|-|-⌫--⌫-|
quiprantconfor tdi euxliahue	--|----|------⌫|--⌫--|-|---|
i ai dansague s clere u ehu e	|-|---|----⌫|----|-⌫---⌫|
iailes onglesetgranset	|-|--|-----|-|----|-|
iai lecueurantieretsain	|-|-|----|-----|-|---|
cedieu xdansetongles megarde	-|----⌫|---|-|-----|-|----|
desesyy leuriers	-|--|-|-------|
genaigard e	-||-|----⌫|
bon ne esperan c e me	---⌫-|-------⌫-⌫|-|
quege m a neschapera ibien	--|-||-⌫|---------⌫|---|
lorsa una ubreregardé	---||-|-⌫---|-------|
demontersus n a	-|-----|--|||
quantilfus ussusune branche	----|-|-|-⌫-|--|--|------|
adantthieb ert	|---|-----⌫--|
misesa hanche	---|-|-----|
iquiles escuie rs atant	---|--|------⌫-|----|
qui ah ast euienentbatant	--||-⌫---⌫|------|-----|
dient dant	----|---|
thiebertn igarroiz	-------|||------|
par munchiefuousnousdem orroiz	--|--|----|---|---|---⌫-----|
p uisquaperceu uousauons	-⌫----|------|---|----|
etautrechose net rouuo ns	-|----|----|-|-⌫-----⌫-|
a nson tsouzl aub reuen u	-⌫|---⌫|---||---⌫-|---⌫|
iq uile ques sesont t enu	--⌫----⌫---|-|---|-⌫--|
leur ch i enprannent	---|--⌫-⌫-|-------|
thieberts epranta	-------|-⌫|----||
es m a ier	--⌫-⌫-⌫--|
etanlagarde	-|-|-|----|
dieucestmis	---||--|--|
po urce quilneuoit nus	--⌫-|-|-|-|-|---|--|
li escuiero ntprises pierres	-|------|-⌫-|-----|------|
oriusfont ilthiebertlilierres	-|--|---|-|-------|-|------|
carb ien gard erneuous ifaut	--|-⌫--|----⌫-|-|---||---|
n etour queuous	-⌫|---|--|---|
faci ezniuaut	----⌫-|||---|
lorsli ruient de	---|-|-----|-|
g rant alee	-⌫---|---|
donnéli ontmainte colee	-----|-|--|-----|----|
me sthiebertmontbien se	--⌫|-------|---|---|-|
soncorsmetoit	--|---|-----|
contreune branche	-----|--|------|
siqueanuizlepeuent a cener	-|--|----|-|-----|-⌫----|
touteuoiemo n tlefont pener	--------|--⌫-⌫|-|---|----|
thi eber slo r	---⌫----⌫|--⌫|
di t dantescuier	--⌫|---|------|
ueoiru o us puisse	----|-⌫-⌫-|-----|
ge ess uier	-|---⌫---|
que tan tes foizm auez pené	--|---⌫--|---||---|----|
souuantb atu pobi en	------|-⌫--|-|--⌫-|
antre uous qui uiuez de	----|---|--|----|-|
i adieuxanbonleu	-⌫|----|-|--|--|
ne uousuoie	-|---|---|
uo usfetes	--⌫-|----|
t a nt gr os etmenu	-⌫-⌫-|--⌫-|-|---|
queuousestesp o chier tenu	--|---|----|-⌫|----|---|
etsinep e utd emourer gai re	-|-|-|-⌫-⌫-|-⌫------|---⌫-|
que uousnaiez tuittropa	--|---||---|---|---||
c arl ipeuple s uousha i ra	-⌫-|-⌫|------⌫|---|--⌫-⌫-|
uousanuaira	---|------|
uousdem enez	---|---⌫---|
etdeplu s an	-|-|---⌫|-|
plus uous penez	---|---|----|
samble anuo ziuigem ans	-----|-|--⌫|------⌫--|
q uesoiez nezde	-⌫-|----|--|-|
etderu bizet d etho paces	-|-|--⌫--|-|-⌫|---⌫----|
nenoitan uous	-||--|-|---|
fo rsbiens	--⌫-|----|
etque tuit	-|--|---|
au tre soient	--⌫--|-----|
etquesontempsper tq uilesl oe	-|--|--|----|---⌫|-⌫-|--|-⌫-|
messeb ienuousregar doiez	--|-|-⌫--|---|-----⌫----|
troppetituouspriseroiez	---|----|---|---------|
ai nsd ie ux apostresqu ileust	--⌫-|-⌫--⌫-|-------|-|-|---|
quegentisho nf eust	--|-----|--⌫|-⌫---|
ainsge ntishon n i mist le pie	---|--⌫---|--|||---|-|--|
n eho nqui	-⌫|--⌫|--|
ia tenis t defie	-|-----⌫|-|--|
nequideistdehonme mu n uilain	-|--|----|-|----|--⌫|-----|
n e q uiains	-⌫|-⌫-|---|
le uastmorte main	--⌫---|----|---|
n equidetail lesuosistuiure	-⌫|--|-|----⌫--|-----|----|
onquesdieux ne	-----|----|-|
uosttelzge nssuiu r e	---|---|--⌫-|----⌫-⌫|
car tuitcil quideraison usent	--|---|--|--|-|-----|----|
euscroireammersui rrefusen t	--|-----|----|---⌫|-------⌫|
cartoutorgu eldoi tlanhair	--|---|----⌫-|---⌫|--|---|
quifait deuantdieu	--|---|-----|---|
ettostdieu xu ous de la isera	-|---|----⌫|-⌫--|--⌫--⌫----|
et dyablesuousaba i ssera	-|------|---|---⌫-⌫----|
ets iueuil quei luousape re	-|-⌫|----|--|-⌫|---|---⌫-|
quel e scr iture	--||-⌫---⌫----|
uo us comp ere	--⌫-|----⌫--|
al espriuieretaufaucon	||--------|-|-|-----|
et l e simplehomea uchapon	-|-⌫|-----|---|-⌫|-----|
l a causse pou rcoiuousl	-⌫|-----|---⌫|--|---||
lesp riuierestmont ho nore z	|---⌫-----|--|---|--⌫----⌫|
tro pes t auantqui aluituiche	---⌫|--⌫|----|--||--|-----|
anlachambr elero ise	-|-|------⌫|-|--⌫|-|
susune perchenoble etpointe	--|--|-----|----|-|-----|
s ouzses piezhouce oucointepointe	-⌫--|--|---|----|-|-----------|
pou r se queplu sai sse setaigne	---⌫|-|--|---⌫|--⌫--|-|-----|
plusesthaus hon et plusl	---|--|---|--|-|---||
a p laigne	-⌫-⌫-----|
pa riosi er paruantre etparq ue ue	--⌫|----⌫-|--|-----|-|--|-⌫--⌫-|
q uantil esttans	-⌫---|-|--|---|
que ilma niue	--|-|--⌫---|
de poullelacuisse	-|-----|-|-----|
ilanau rasie rtqueh on	-|-|--⌫-||--⌫-|--|-⌫-|
lat ruiss e	-|-⌫-----⌫|
et si c onuie ntquea nle	-|-|-⌫-----⌫-|--|-⌫|-|
tieux quiiapoint	----|--|-|----|
nesonmeilloit	-|----------|
etbien estgar dezdedeffaut	-|---|--|---⌫--|-|------|
s ilesttrop p lainsplumeeli faut	|-|--|---|-⌫----|-----|-|---|
fusicienlifautet	-------|-|---|-|
une m uemetre	--|-⌫-|----|
unegrantpieceiquitenir	--|----|----|---|----|
plumene mie uenir	----|-|--|----|
an sincuitah onno rson cors	--⌫---|--||-⌫----⌫|--|---|
et tantostqueicil ze s tmors	-|---------|----⌫|-⌫-⌫|---|
la n est deluisiannuiez	--⌫|--|-|--|-|------|
quilesto u uisfumierruiez	-|-|--|-⌫|--|-----|----|
atelz finc onuientil	|---|--|-⌫------|-|
q uiluaigne	-⌫|-|-----|
tant es t uilzrien prand re non	---|--⌫|---|---|-----⌫-|--|
uo i zcisafi nuoi z c is onneur	--⌫-⌫|-|-|--⌫|---⌫|-⌫||-----|
ansin ques es tesuoussei gneu r	-----⌫---|--⌫--|---|---⌫----⌫|
honnoruousuiuez	-----|---|----|
leroyle pallem ant	-|--|-|------⌫--|
auroyestes	-|--|----|
siconseil l i er	-|-------⌫-⌫-⌫-|
asondormira	|--|-----||
son ueillier	--|-------|
de sacham brel i pluspriue	-|-|----⌫--|-⌫|---|----|
ades ye st es ariué	---||-⌫--⌫-|-----|
honnors ui uentu ozc ors	------|--⌫---|-⌫-|-⌫--|
etsitos tconuous estes	-|-|---⌫|--|---|----|
dedieuy estes t uit debit ié	-|---|-⌫----|-⌫--|-----⌫--|
et o u fumier damfergitié	-|-⌫|-----||----|-----|
quiestsiuixe tsipu nais	--|--|-|--|-⌫|-|--⌫---|
dontu ous ne partir oiziamais	---|-⌫--|-|------⌫--|-----|
etdouchaponleuoirs arez	-|--|-----|-|---|-⌫---|
qu ausm eimes	-|--|-⌫----|
pourchasant	----------|
grainagra insauietrasant	----||---⌫-|-|--|------|
p arse s fumiersparse sestrains	-⌫-|--⌫|------|--|--⌫|-------|
ua ilq uerant	-|-|-⌫-----|
sespouresgrains	--|-----|-----|
ansinquefere liesteut	-------|---|-|-----|
sesout eni rsa uieueut	-|----⌫---⌫|-|--|---|
toutei or grateou	----|-⌫-|----|-|
boe et oufumie r	--|-|-|-----⌫|
f aitne pl a itnenoise	-⌫--|-|--⌫-⌫-|-|----|
sil faitquantrichechamb reuoiss e	|-|---|-|--|----|-----⌫-|-----⌫|
a grans ba stons est	|----|--⌫----|--|
chac iezfo rs	----⌫--|--⌫-|
parhuisparfen est r es mishors	--|---|--|---⌫---⌫-⌫-|--|---|
nul zne lelaitan	---⌫|-|-|---|-|
chambre antre r	------|-----⌫|
uoi s tancelleb oegrate r	---⌫-⌫|-|----|-⌫-|-----⌫|
nusan chambre ne lehesberg e	--|-|------|-|-|-------⌫|
fait iuichierneperche	---|-------|-|-----|
etdientt uit que tro p e stors	-|----|-⌫--|--|---⌫|-⌫-|--|
por ceestde	--|-|--|-|
touzchaciezfors	---|------|---|
nulle honorne	----|----|-|
liest portee	-|--|-----|
mesquan t l auie	--|----⌫|-⌫|--|
li estostee	-|--|----|
plumez estet cuizbelet	-----|--|-|---|--|-|
etm isantreplatiax	-|-⌫-|----|------|
p resantezpartresg rant	-⌫-------|--|---|-⌫---|
parcheualiers deu antle roy	--|---------|---⌫--|-|--|
deua nts abouche	----⌫-|-⌫|-----|
l ors est tropauantquiitouche	-⌫--|--|---|----|--||-----|
honteot a uieam orthonn or	----|-||--||-⌫--|----⌫-|
qu antl ipreudontie ntson l abe ur	--⌫--|-⌫|------|---⌫-|--|-⌫---⌫-|
s a marcha ndise ou sacharrue	-⌫|------⌫----|-|-|------|
