formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
parprofessionoupar	--|---------|-|--|
ac t estation i len puissentusereniugementordinaire	--⌫-⌫-------|-⌫|-|-------|---|-|-------|--------|
Cilmei smesempereresdit .	--|---⌫---|--------|--||
Nosestablis sons que ilsouiegneas	--|--------⌫---|--|-|-------|-|
leu rchasteeetdesu eures	---⌫|------|-|--|-⌫----|
quen a tureloroctroi aetde squeles	--|-⌫-⌫---|--|------⌫|-|--⌫------|
ele co mm anda	--|--⌫--⌫---|
at enissentetseeles reçoiu entmise sus	--⌫-------|-|-|---|-------⌫--|---|--|
soii asoit	--|-⌫|---|
cequ eelessoi entdetresboene	-|--⌫|---|---⌫--|-|---|----|
op i nion et	--⌫-⌫---|-|
ou seeles so n tpa tronneseteles	-|-|---|--⌫-⌫|--⌫------|-|---|
oe nt lesca uses àcels qu e	--⌫-|--|--⌫---|-|---|--⌫|
ilont franchi zeless oient depart ies de	-|--|-------⌫|---|-⌫----|------⌫--|-|
totescomp aignies de i ugemenzsiqueporleurse ntenc e	----|----⌫------|-|-⌫------|-|--|--|---|--⌫-----⌫|
nesoiteuenulepaine	-|---|--|---|----|
nenuleexcepti on	-|---|-------⌫-|
dec ouenant	-|-⌫------|
encont recelsqui	------⌫-|---|--|
nelau oldront tenir.	-|-|-⌫------|----||
C ist tytresest dedonnercaution.	-⌫--|-----|--|-|-----|------||
LiempereeurDi ocl ici ansetMaxi mians dient	-|--------|--⌫---⌫---⌫--|-|----⌫----|----|
]Ilestcertains droizque	|-|--|-------|----|--|
cilqu ien cort estfez	--|--⌫|-|---|--|--|
procuratoral	---------|-|
demandeeurne doitpases tr econtrai nzde donnerca utionque	---------|-|---|--|--⌫--⌫|-------⌫-|-|-----|--⌫----|--|
sessiresaura estab lec e queilfera	--|----|---|-----⌫-|-⌫|--|-|---|
qu erlendoi t	--⌫-||-|---⌫|
entendreen cest	-------|-|---|
casquei lest autresic o mmelip roc urerres	--|--|-⌫|--|------|-⌫-⌫--|-|-⌫---⌫------|
quidefent celui quiestenpr esent.	--|-----|----|--|--|-|--⌫----||
Eselis ires	|-|-|-⌫---|
mueaprés sauolenté	--|-----|-|-------|
u eultquecilsoitplus	-⌫---|--|--|---|---|
ses procurateurs	--|-----------|
nep orquantli iugemenz qu eil	---⌫------|-|-------|--⌫|-|
areceu c omme	|----|-⌫---|
procureresd euraestr e fers.	---------|-⌫---|----⌫|---||
¶Messeses au ersaireslioppose el comm enc ement del	|--|-|--|--⌫-------|-|-----|-|----⌫---⌫----|--|
p letq uei luoldraalleguercontreluiaucune	-⌫--|-⌫-|-⌫|-----|-------|-----|--|-----|
choseporsoidefend relors se rail cont rainz	----|--|--|------⌫-|---|--⌫-|-|----⌫----|
de donne rc au tion de	-|-----⌫|-⌫--⌫---|-|
respon dre à cequeil diracontrelui	------⌫--|-|-|--|-|---|-----|--|
autresicommeprocurerr esenceà celui	------|----|---------⌫-|-|-|-|----|
quinestp asen present	--||--|-⌫-|-|------|
li iu g es	-|--⌫-⌫-|
neliotroiera pas	-|-|-------|--|
queil aille plu s auant en la	--|-|----|---⌫|----|-|-|
causedont il	----|---|-|
esto itprocu rat eurs.	----⌫-|-----⌫---⌫---||
¶Mes liprocurerres	|--|-|----------|
ou lidefe nderresà	-|-|----⌫------|-|
celuiàqui lo n	----|-|--||-⌫|
demandeiasoitce queilsoi t fez	------|-|---|-|--|-|---⌫|--|
ettesmoigniez	-|----------|
parescritneporq uan t ilest c ontrainzel c ommencement	--|-----|------⌫---⌫|-|--|-⌫-------|-|-⌫----------|
del pletdedon n er c auc io ndepa ier	--|---|-|---⌫-⌫-|-⌫---⌫--⌫|-|--⌫--|
lachoseiugiee .	-|----|-----||
Cist tytre s	---|-----⌫|
estdes forme sde	--|--|-----⌫|-|
dr o itquisont ostee sporempetre ment	--⌫-⌫-|--|---|-----⌫|--|-------⌫---|
dact ion .	|---⌫--||
Lie mperer e sCo st entinsdit.	-|-⌫------⌫-⌫|--⌫--⌫-----|--||
L es form esde droitqui	-⌫-|----⌫-|-|----|--|
so ntplaines	--⌫-|------|
dagu ez paraucune m anieresoient	|---⌫-|--|-----|-⌫-----|-----|
osteesdeltotd esfezd e	-----|--|--|-⌫-|--|-⌫|
t oziu gemenz .	-⌫-|--⌫-----||
Lie mpereeurTheodosesetuale ntinsdient .	-|-⌫-------|--------|-|----⌫----|----||
L esceptiondac tion quinest pas	|--------||--⌫---|--||--|--|
empet reenesoitopposee	-----⌫--|-|---|------|
queliuge men t	---|----⌫---⌫|
qu eil plede ouengrantouen	--⌫|-|----|-|-|----|-|-|
p etit se eleestco uenable	-⌫---|-|--|--|--⌫------|
al propo sementau defendeeuro u	-|-----⌫-----|-|---------|-⌫|
au enantàlabesoigne.	--⌫----|-|-|-------||
Cisttytres est d eserementde uerité.	---|-----|--|-⌫|-------|-|------||
LiempereresIulians	-|--------|------|
] Nose stabli ss on s	|--|-⌫------⌫--⌫--⌫|
queent ot eslescausesqu isontm enes	--|-|-⌫--⌫-|--|-----|--⌫|---|-⌫---|
letr es ou p o rinstrume n zo u	----⌫-|-|-⌫-⌫|--------⌫-⌫|-⌫|
porauc uneaut rechosee n	--|---⌫--|---⌫-|----|-⌫|
quoiil e st mestierde	---|-|-⌫-|------|-|
prueu es nu snesoit	-----⌫-|--⌫|-|---|
contrainzde donnerprueues se ci lqui lesdemande ne	--------|-|-----|------|-|--⌫|--|--|------|-|
fetserementdeue rité	--|-------|-|--⌫----|
qu ei ln apasp ro posé sesal legations	--⌫|-⌫|||--|-⌫--⌫----|--|--⌫--------|
porache s onde porl oig nierla	--|----⌫-⌫-|-|----⌫---⌫---|-|
li e nchaucemenz	-|-⌫----------|
des pledee ursestrefrenezpar poor deserement.	--|------⌫--|--|-------|--|---|-|-------||
aucun ne s	----|-||
esmueuenta ̀tor tà pledie rcontreleur ser setac omplissent	--------|-⌫|---⌫|-|------⌫|-----|---|---⌫|-|--⌫---------|
lac rueltédeleur	-|-⌫------|-|---|
co rageno s n otroion spas àce ls q uimueuent	--⌫---|--⌫||-------⌫|--|-|--⌫-|-⌫-|------|
pletco ntre	---|--⌫---|
leu rsersque iluiegn enta utrement à	---⌫|---|--|-|-----⌫--|-⌫-------|-|
n atochentauant lessaint es escrituresetd ientq ue	|-------|----|--|-----⌫-|---------|-|-⌫---|-⌫-|
sont pasuenuàcepar hained e	---|--|---|-|-|--|----|-⌫|
le ursers oupor l espersones	--⌫-|---|-|--|-⌫-|-------|
deleuroi rs mesporcequeil	-|---|--⌫-|--|----|--|-|
nepueen tpa sautrement en qu e rre	-|-----⌫|--⌫|--------|--⌫--⌫-⌫--|
ou mostr erlaueritédes choses	-|-----⌫-|-|------|--|-----|
d e loreritage	-⌫|--|------|
Cil me ismesempe reresdit .	--|--⌫----|----⌫----|--||
] Porceq ue nos	|----|-⌫-|--|
nauonspasotroiéqu eli	|----|--|------|--⌫|-|
iugeterminentautrementlescauses	---|--------|--------|--|-----|
s e lessaint esEscritures	-⌫|--|-----⌫-|---------|
nesont apo rteesau ante tseli	-|---|---⌫----|--⌫--|-⌫|-|-|
patrondes causes quisont partot le	-----|--|-----|--|---|--|--|-|
monde quiestsozmis à nostreem pirenefont	----|--|--|-----|-|-----|--⌫---|-|---|
sereme ntdeuerité eteissiauon s	------⌫-|-|------|-|----|----⌫|
ordené q ueles	------|-⌫-|--|
causessoientoï es ilno ssemblequeil est	-----|-----|---⌫-|-|--⌫|-----|--|-|--|
necesserr e c hosede propo ser	---------⌫|-⌫---|-|-----⌫--|
cestepresente loip arquoinosestabliss ons que	----|-------|--|-⌫-|---|--|---------⌫--|--|
entoz lesplezquiseront commencié	-|--|--|---|--|-----|---------|
aprésc es t epresenteloil idema nderresne li defender r es	-----|-⌫--⌫-⌫|-------|--|-⌫|----⌫------|-|-|--------⌫-⌫-|
nestriuentp ase l co mmenc e ment	|--------|-⌫-|-⌫|--⌫-----⌫-⌫---|
del ple tdeuantq ue le s p rinci palsp ers ones	--|---⌫|-----|-⌫-|--⌫|-⌫-----⌫---|-⌫---⌫---|
meism esai entfetsere m entdeueritéa p résceque	-----⌫-|--⌫--|--|----⌫-⌫--|-|------|-⌫-⌫---|-|--|
liuns aurafet	-|--|---|--|
sademandeetliautre saura resp onduete nçoisque	-|------|-|-|-----⌫|---|----⌫---|-|-⌫-----|--|
liauo cat de	-|---⌫--|-|
delautre partiefacentsereme nt.	-||----|-----|-----|------⌫-||
Elidemande rr esiur t que	|-|-------⌫--⌫-|---⌫|--|
il napasmeule	-|||--|--|-|
pletporcorage degreuerà tortsonaue r s airemes	---|--|-----|-|-----|-|---|--|---⌫-⌫-⌫---|--|
por cequeil croitqueil aboenecause	---⌫-|--|-|----|--|-||----|----|
Elide fenderresnuserapasautrement	|-|--⌫--------||----|--|--------|
all eg at io nsse il	---⌫--⌫--⌫--⌫-|-|-|
neiure aua ntqueilcroitque	-|---|---⌫-|--|-|----|--|
il estuen u z oboeneintention àde fen d re	-|--|---⌫-⌫||----|--------|-|--⌫---⌫-⌫-|
Eaprésc e	|-----|-⌫|
liau ocat delune	-|--⌫---|-||--|
autrepartieferont	----|-----|-----|
les erem entquenosauo nsia	-|-⌫----⌫--|--|--|---⌫-|-|
deuiséquant l es saintesEua ng ilesserontmis esdeuantle	------|----|-⌫-|------|---⌫--⌫---|-----|---⌫-|-----|-|
¶Esela dignitéou la	||-|-|-------|-|-|
lape rsonenotroie pa sque	-|--⌫----||-----|--⌫|--|
el euiegneal i uge	--⌫|-----|-|-⌫--|
cel serement ensameis nie	--|-------|-|-|----⌫--|
siquelautrepartiesoiten	-|--||----|-----|---|-|
sesprocurateurs .	--|-----------||
Eil couien tque	|-|------⌫|--|
cesoitg ard é	-|---|-⌫---⌫-|
se c esontdefendeeur o uproc ure eu rou	-|-⌫|---|---------|-⌫|----⌫---⌫--⌫|-|
aucunes autrespersonesquiaientparlauc tor itédes	------|-----|-------|--|----|--||---⌫---⌫---|--|
loislami nistraciondautruic hoses	---||---⌫---------||-----|-⌫----|
queril cou ientqu eilsoientes traintpar	---|-|---⌫---|--⌫|-|-----|--⌫-----|--|
se rement queils euientb i en que la	--⌫-----|--|-|-⌫-----|-⌫-⌫-|--|-|
ca use q ueil u uelentm enerete issipo rrontmener	--⌫--|-⌫-|-|-⌫-----|-⌫---|-|-⌫---|--⌫----|----|
la querneliorfelinsne ligranznecels	-|---|-|-|-------|-|-|----|-|---|
p er sonesquisonten	-⌫--⌫----|--|---|-|
garde ne puentpassauoirla cau seneuenir	----|-|----|--|-----|-|---⌫-|-|----|
ài ugementmescil quiont	-|-⌫------|--|--|--|--|
la gardeetl acure d elsporce	-|----|-|-⌫|---||--|----|
q ueiliurent s eulon cleur escient.	-⌫-|-|-----|-⌫-----⌫|---|------||
E iasoitce	|-|---|-|
quelanature	--|-|-----|
delacause esta utre	-|-|----|--|-⌫---|
parauentu re	--|------⌫-|
nepor quantchas cunsiurece q ue	-----⌫----|----⌫---|---|-|-⌫-|
Ettui tliautr eserem ent	-|---⌫|-|----⌫|-----⌫--|
qui sedesc endent des loisquio nt	--|-|----⌫-----|--|---|--|-⌫-|
estéfe tesça en a rrieres etcil quenos	----|--⌫--|--|-|-⌫------|-|--|--|--|
auonsestabliz	----|-------|
dur e ntet	---⌫-⌫-|-|
ai entleur force	--⌫--|---|----|
E seaucune despartieslaqu ele quecesoi tn	|-|-----|--|------|----⌫--|--|-|---⌫||
est paspresenteet s acauseestmen eeparprocur ateurs	--|--|-------|-|-⌫|----|--|---⌫-|--|------⌫-----|
demanderresiln ai tpascongiéd otr oieràson	----------|-||--⌫|--|------||---⌫---|-|--|
procu ra t eur à menersa causedeuantque il	-----⌫--⌫-⌫--|-|----|-|----|-----|--|-|
ait fe ts erem ent	--|--⌫|-⌫----⌫--|
d e ueritéenla con treeoù	-⌫|------|-|-|---⌫---|--|
le facesau oiraliugepar letres	-|---|---⌫--|-|---|--|-----|
Eautresi seli defenderresn ip uetestre	|------|-|-|----------|||-⌫--|----|
etilorden e	-|-|-----⌫|
procurateurpor	----------|--|
donn ercautiondepaiercequisera iug ié	----⌫-|------|-|----|-|--|---|---⌫--|
ou sedefenderres	-|-|----------|
uientauantpor luiilfera les erementen	----|----|--|--|-|---|-|-⌫------|-|
laforme quiestdeuantestabli e et	-|----|--|--|-----|-------⌫|-|
l idemanderresseraenpresen tou par soiou	-⌫|----------|---|-|------⌫|-|--|--|-|
parson pro curateurou ilf erace lserement	--|--|---⌫-------|-|-|-⌫--|--⌫|-------|
tot san zled emandeeu retsanzsonp rocurateur sel i	--|---⌫|-|-⌫--------⌫|-|---|--|-⌫---------|-|-⌫|
iugesu oi t	----|-⌫--⌫|
que ce so it	--|-|--⌫-|
¶ Mes po rce que n o sdotonsque	|--|--⌫--|--|-⌫-⌫|-----|--|
aucu n nusentp ar auenture dauc un g aboi s etse	----⌫||----|-⌫-|-------||---⌫-|-⌫----⌫|-|-|
p ardoignentliun sa ̀lautre ceserementet eschar nissen t	-⌫---------|-|--⌫|-⌫||----|-|-------|-|------⌫------⌫|
parce n os treestab lisse ment	--|-|-⌫--⌫--|-----⌫-----⌫---|
no sestabl iss onsporce	--⌫|------⌫---⌫--|----|
quenosnauons	--|--||----|
p asmise cesteloi po r	-⌫-|---|----|--|--⌫|
priué profi t	-----|-----⌫|
mespo r communquetuit li	--|--⌫|-----|--|---|-|
iugeneïs cilquico nois sentlescausesparmis e	---|----|--|--|--⌫----⌫---|--|-----|--|---⌫|
nes ueff rent	-|-⌫----⌫---|
tels sere men z soitpardonnezainz	---|----⌫---⌫|---|--------|---|
ledemande nt	-|-------⌫-|
e ntotes manieresal	-⌫|----|-------|-|
demandeeureta ldefe ndeeurqueceste chose n e soit ano ientee	---------|-|-⌫|----⌫-----|--|----|----|-⌫|---|---⌫-----|
p etitet petit	-⌫---|-|----|
et quel i seremenzaspri ncipals person eset	-|--|-⌫|-------|-|---⌫------|------⌫-|-|
as auocat n eremaigneporch ascunelegier e	-|-----|-⌫|-------|--|--⌫-----|------⌫|
nosest ablissonsquece soitaiostéàces te	--|---⌫--------|--|-|---|------|-|---⌫-|
lo iquese aucun sueltmouoir plet porautredont	--⌫|--|-|-----⌫|---|-----|---|--|----|---|
il naiteu nulc omman dementainz ueultd onnerpleges	-||--|-|--|-⌫-----⌫-----|---|----|-⌫----|-----|
que lisiresauralachose por e stable etil	--|-|----|---|-|----|--|-⌫-----|-|-|
afermaparce	-----|--|-|
eniugeme ntqu elalo izne soit d e ceueparc el	-|------⌫-|--⌫|-|--⌫-|-|---|-⌫-⌫---|--|-⌫-|
engingnosestabli ssonsquese aucunetel	-----|--|-------⌫----|--|-|-----|--|
chose auient ça enauan tqueaucunsu uillemouoir ple t	----|-----|--|-|----⌫|--|-----|-⌫----|-----|---⌫|
por une personeoup orune	--|--|------|-|-⌫-|--|
ui lleou por uneuniuersitéildois t la	--⌫--|-|--|--|----------|-|----⌫|-|
caut ion quiest acostumee.	----⌫--|--|--|--------||
Mesilnaillepa s	--|-||----|--⌫|
p lusenauant elpletse	-⌫--|-|----|-|---|-|
ilnefet auant	-|-|--|----|
asprincipa lsperso nesfereles er eme nt deue ritédedenz le	-|--------⌫-|-----⌫--|---|-|-⌫--⌫---⌫-|-|--⌫----|-----|-|
termequel iiuges liassigner a	----|--|-⌫|----|-|--------⌫|
oupardeuant sonauersaire	-|--------|--|--------|
iuelt estre oupardeuantautr eporlui	|---|----|-|--------|----⌫|--|--|
ou s eilni anul	-|-⌫|-||||--|
hommedela ut repart ieliseremenz soit fezpardeuant	----|-||-⌫--⌫-|----⌫-|-|-------|---|--|--------|
ledefendeeur d el leusi que	-|---------|-⌫-|--|-|--|
lapersonep orqui ilu ueltpledierle	-|------|-⌫-|--|-|-⌫---|------|-|
faceo ulagreigneurpartieet	---|-⌫|-|--------|-----|-|
la plus couenablede lun iuersetése	-|---|--------|-||--⌫--------|-|
est àuniuerseté .	--|-|----------||
¶Messeli de mande rres	|--|-|-|--⌫-----⌫---|
neuelt ferese rementdeueritésece	-|---|---|--⌫-----|-|------|-|-|
estproué loi almentilneli	--|-----|---⌫-----|-|-|-|
l i se pas	-⌫-⌫-|--|
alple tainz chiee delactionque	-|---⌫|---|----|-||-----|--|
ilauoita parallie commedes l oialspledier res et	-|----|-⌫-------|----|---⌫-⌫----|-------⌫--|-|
ilai tlamal e uolentéasiugeset	-|--⌫|-|---⌫|-------|-|----|-|
soitm isen loingdeliugement .	---|-⌫-|-|----|--|-------||
¶Ese cilà qui l	||-|--|-|--||
onde mandene	-|--⌫----|-|
ueu ltferecestsereme nteschap istresquisont	---⌫-|---|---|------⌫-|-|----⌫-----|--|---|
deuantcontenuilsoi ttenuzporreconnoissantet il lise	-----|------|-|---⌫|----|--|------------|-|-|---|
ali ugeàdonnersent e ncesi commelaquali té	-|-⌫--|-|-----|----⌫-⌫--|-|----|-|-----⌫--|
de la chose liamo neste ra.	-|-|----|-|---⌫-----⌫-||
Et eissiseronta menuisiénon pas porc e t antseul eme n t	-|----|-----|-⌫--------|--|--|--|-⌫|-⌫--|----⌫---⌫-⌫|
mes l if auspledeeurquer	--|-⌫|-⌫--|-------|---|
seles p rincip al s	-|--|-⌫------⌫--⌫|
personesasple deeursmaintien ent	-------|-|---⌫-----|--------⌫--|
le splez parl eurser ementetlia uocatdeffenden t	--⌫|---|--|-⌫--|---⌫----|-|-|-⌫----|---------⌫|
lescausespar	--|-----|--|
leurs e rement	---|-⌫-⌫-----|
et liiuge o ntdeuant els lessaintes	-|-|---|-⌫-|-----|--|--|------|
Esc rit ures quant ilexaminenttot ela cause	---⌫---⌫---|----|-|--------|---⌫|-|----|
e tilpronunce ntleu r iuge menz quedoi tlon	-⌫|-|--------⌫-|---⌫|----⌫---|--|---⌫||-|
cr oir e aut re	--⌫---⌫|---⌫-|
c hoseforsqueDexe stiuges entotes	-⌫---|---|--|--|-⌫-|----|-|----|
les c ausespor	--|-⌫----|--|
leshom mes L anci enedesloialtédespledeeursse	--|---⌫--||----⌫--|----------|--|--------|-|
repostdoncettotesd otesetnostreestabliss emenzrespl endisse	-----|---|-|----|-⌫---|-|-----|---------⌫----|-----⌫------|
enterreàtozclerement	-|----|-|--|--------|
etprofitablement	-|-------------|
etsoitgranzr emieres	-|---|----|-⌫------|
determinerl escauses.	-|-------|-⌫-|-----||
E siuolons queli de uant	|-|-----|--|-|--⌫---|
dizseremenzs oit fezescauses	--|-------|-⌫--|--|-|-----|
qui encore ne sont pas	--|-----|-|---|--|
commenc ies deslecommencem entde lplet.	-------⌫--|--|-|---------⌫--|--⌫|---||
¶ E s e lentrueue	||-⌫||-|-----|
aucunescausesquiia soient	------|-----|--|-|-----|
commenciee sdequoila	----------⌫|-|---|-|
conte stacion soitia fete	-----⌫------|---|-|---|
etpluseursr esonsproposeesse	-|-------|-⌫----|--------|-|
luneetlaut re pers one este n	|--|-||---⌫-|----⌫--|--|-⌫|
present o u	------|-⌫|
eledeme ure entelemeismecitéouelter r oir	--|----⌫--|-|---|-----|----|-|-|---⌫-⌫--|
