COUS T UMES	----⌫-⌫---|
Mes lamende estsimpl ecestassauoir	--||-----|--|-----⌫||--|-------|
de.u.s. et enteuslieus i	-|--|-|-|-|---|----||
uII. s.et.	---|-|-||
e n teusl ieusiad e.	-⌫|---|-⌫---|||-⌫||
XII.d.selo nc	---|-|----⌫-|
la coustu me de ch ascunlie u .	-|------⌫-|-|--⌫----|---⌫||
Et ent elmanierepourroitest refeslidamagesque	-|-|-⌫-|------|-------|---⌫-|--|-|------|--|
l amende seroitde .	|-----|-----|-||
LX.s.sico mmequie nport ero itde spueilles	--|-|-|--⌫--|--|-⌫|----⌫---⌫-|--⌫--------|
ouureescomme	------|----|
blée niaueleouen gerbeoup r éfauchie ́	---|-⌫|-----|-|-|----|-|-⌫-⌫-|-------⌫|
ouboiscoupé en	-|---|-----|-|
telmani erel	--|----⌫--||
enpourroit onporterque	-|-------|-|-----|--|
lenlepourroi tteniralarre ci nsi	|-|-|-------⌫|----||-----⌫--⌫|-|
c omme qui lenport eroitparnuit a	-⌫---|--||-|----⌫----|--|---||
c heualo u achareteouautr emen t dusquesala	-⌫----|-⌫||------|-|----⌫----⌫|------||-|
Les coustumesdesda magesqu isont fet en	--|--------|--|--⌫----|--⌫|---|--|-|
uignessediuer sefient	-----|-|-----⌫------|
en tantd elieus quel	-|---|-⌫|----|--||
ennipuet metredroit communesamende s	-|||---|----|----|-----|-|------⌫|
ainc ̧oisenconuien t	----⌫---|-|-------⌫|
use r seloncla coustumede chascunlieu	---⌫|-----|-|-------|-|------|---|
carcilquiest p r ises u ignese t	--|--|--|--|-⌫-⌫-|-|-⌫----|-⌫|
neprent des ro is insq ue pour s onman gier se	-|----|--|--⌫--⌫--|-⌫-|---|-⌫-|---⌫---|-|
passeenmo utde lieu spour	----|-|--⌫-|-|----⌫|---|
enteu slie usia	-|---⌫|---⌫-|||
uI.d. etpourceconu ient	--|-|-|---|-|----⌫---|
ilgarder lacoustumede	-|-----|-|-------|-|
c hascuneuileencel c as.	-⌫------|---|-|--|-⌫-||
Mesq ui enporteroi t enuende nian t pour f ere	--|-⌫-|-|--------⌫|-|-----⌫----⌫|---|-⌫--|
pou rfereueriusparnui t dusquesalau aleur	---⌫|---|-----|--|---⌫|------||-|-⌫----|
II. s.ce seroitlarrecinsetdoitestre	--|-|-|-----|--------|-|---|----|
estpris en	--|---|-|
telcas iust iciés comme	--|--|----⌫-----|----|
Ets ilenportesipeuq uel	-||-|-|----|-|--|-⌫-||
ennelosepasiugier	-|-||--|--|-----|
a lar ronsiest	|---⌫--|-|--|
LX.s.quantill enporteparnuit	--|-|----|-||-|----|--|---|
Chascunspuet pr endreensonerita ge o uf er eprendre	-------|---|--⌫----|-|--|-----⌫-|-⌫|-⌫--⌫|------|
celiq uiltrueue mesf esant co m ment q u	---|-⌫|-|-----|----⌫----|--⌫-⌫---|-⌫|
il tiegn e eri tage	-|-----⌫|---⌫---|
deseigneur ouen fiefouen uilenage	-|-------|-|-|---|-|-|-------|
Mes selap riseestf eteen	--|-|-|-⌫---|--|-⌫--|-|
c equilti ent de	-⌫|-|-|--⌫--|-|
s ei gne urenu ilena geilledoittantostf ere meneren	-⌫--⌫---⌫-|-|-⌫-----⌫-|-|-|---|------|-⌫--|----|-|
laprisonduseigneur de	-|-----|-|-------|-|
quiiltien t leritage et	--|-|----⌫||------|-|
doitrequerreauseigneurqu illi face	---|-------|-|-------|-|-|-|---|
rend r eson	----⌫-⌫|--|
da m a g eetadonqueslisiresd oitde mander	--⌫-⌫-⌫-⌫|-|-------|-|----|-⌫--|--⌫-----|
a celiquiest prissecest	|---|--|--|---|-||--|
uoirsdo ntci l quileprist lacuseets	----|--⌫-|--⌫|--|-|----||----|-||
illeconnoist	-|-|-------|
il doitfere rendrele dama ge ason tenantpar	-|---|---|-----|-|----⌫-||--|-----|--|
e stimaci o nde bonnesgense t	-⌫-------⌫-⌫|-|-----|---|-⌫|
sillen ieilc onuientque	|-|-|-⌫-|-|-⌫------|--|
cil quilepristensonuilenagelep rueue	--|--|-|----|-|--|-------|-|-⌫----|
parluietpar	--|--|-|--|
etsil le prueuesesdamages li doi t	-||-|-|-----|--|------|-|---⌫|
estr er enduset liprise st en.	----⌫|-⌫----|-|-|---|-⌫-|-||
I I.amendesau sei gneur lapremiereamendesiestdu	-⌫-|------|-|---⌫----|-|-------|-----|-|--|-|
mes fetetlas econde siest	---⌫--|-|-|-⌫-----|-|--|
delaniancedont	-|-|-----|---|
ile st atains.	-|-⌫-|-----||
E t secilq u ience s temaniere pr entenc e	-⌫|-|--|-⌫-⌫|-|--⌫-⌫-|------|--⌫--|-|-⌫|
qu iltie nten uilenage oufet	-|-|---⌫-|-|-------|-|--|
p ren dresilmeto itle	-⌫---⌫--||-|----⌫-|-|
prisensaprisonnes iles p loi toit du	---|-|-|-----|-||-|--⌫-⌫---⌫---|-|
mesfet co mmeiustice etses sire sle	-----|--⌫--|------|-|--|----⌫|-|
sauoita quilaconnoissance ap artienttoutcequ	-----||--|-|-----------|--⌫------|---|-|-|
il auroitfetseroitrapeléets i ame ndero it ason	-|-----|--|-----|------|-|-⌫|---⌫-----⌫-||--|
seigneurce qu	-------|-|-|
ilauroitu se ́de	-|-----|-⌫--⌫|-|
laiusticeet se roitlamendede.	-|------|-|--⌫---||-----|-||
LX. s.fust genti us honsouhonsdepooste ́ .	--|-|---|-----⌫-|---|-|---|-|------⌫||
Secilquies t trouués enda mage	-|--|--|--⌫|-------|-|--⌫---|
seresque ut	-|------⌫-|
aceluiquile prenttout soitcequecil	|----|--|-|----|---|---|-|--|--|
quiler ita gese st l epren gne il lamende	--||--⌫---⌫--|-⌫-|-⌫|----⌫--|-||-----|
LX.s.meslame nde est	--|-|--||---⌫--|--|
au s e i gneurde	-|-⌫-⌫-⌫----|-|
qui leritageses ttenus	--||-------|--⌫|----|
etselarescoussees t	-|-|-|--------|--⌫|
conu ientprouuer acel ui quilaprisefisten son	----⌫---|------||---⌫-|--|-|----|---|-|--|
ui lena ge pardeustesmoins.	--⌫----⌫-|--|---|-------||
Etse li rescouer es	-|-|-|--------⌫-|
en res cou antma u gr é leprene urlipreneres le do itmoustr er	-|---⌫---⌫--|--⌫-⌫--⌫-|-|-----⌫-|-|-------|-|--⌫-|------⌫-|
aso nseigneure t lisiresle puet	|--⌫|-------|-⌫|-|----|-|---|
samende et	|-----|-|
r escousseet pou r fe re re ndr eledama ge	-⌫-------|-|---⌫|--⌫-|--⌫---⌫|-|----⌫-|
asontenant.	|--|-----||
sires ueutpou rsuir la connois sa nc eenapartient	----|---|---⌫----|-|-------⌫--⌫--⌫|-|--------|
auseigneurdes sousqui	-|-------|---⌫---|--|
ci lquifupri sestcouchanset	--⌫|--|-|---⌫|--|-------|-|
sires e nqui iustice l a	----|-⌫|--|------|-⌫|
prisefufetenel eueut	----|-|---|-|-⌫|---|
poursuirpource	-------|---|-|
nelerapas cilquil epriste n sonu ile n age	-|---|--|--|--|-⌫|----|-⌫|--|-⌫---⌫-⌫--|
poursuir desondamage.	-------|-|--|-----||
Liseriantdechascunseigneur q uisont establi parf oi	-|------|-|------|-------|-⌫-|---|------|--|-⌫-|
ouparsere ment a garder ius ticesontcre u de	-|--|----⌫---||-----|---⌫---|---|---⌫|-|
le urp riseset des rescousse squi leurson t	--⌫-|-⌫----|-|--|---------⌫|--|---|---⌫|
fetesme sq u e	----|--⌫|-⌫-⌫|
cesoit contre p ersonesdesqueuslarescoussene	-|---|-----|-⌫------|--|----|-|--------|-|
puetmonter qua .	---|-----|-|||
LX.s. d a mende c ar se unsgentius ho ns	--|-||-⌫----|-⌫-|-|--|------|--⌫-|
estoitacusésdunseriantqui l lieust	-----|------||-|------|-|-⌫|-|---|
f et rescous se	-⌫-|-------⌫-|
etligent iushons	-|-|----⌫--|---|
lenioit il	-|----|-|
conuenroitquilfus sent.	---------|-|-|---⌫---||
II.seri an t aprouuerou uns loiaus	--|----⌫--⌫||------|-|--|-----|
tesmo insauequesunseriantpo ur ce	-----⌫--|------|-|------|--⌫-|-|
que larescoussedugentilho m mepor te .	--|-|--------|-|-----|--⌫-⌫-|---⌫-||
LX.lb.damendeet il n	--|--||-----|-|-||
estpasresonsqu uneseulepe rsoneso it	--|--|-----|-|--|----|--⌫----|--⌫-|
cre uedes i grantchoseen tesmoi gnag e .	---⌫-|-|-⌫|----|----|-|------⌫----⌫||
Ilauient souuen t	-|-----|------⌫|
quunsser ia nspre ntenlaiusticeet en l a	-|--|---⌫--⌫-|---⌫-|-|-|------|-|-|-⌫|
seignourie deso nseigneuretquantil	---------|-|--⌫|-------|-|----|-|
a prisetille meneenla	|---|-|-|-|---|-|-|
prisonsons e igneuril conuientq uilpas s e par	-----|--|-⌫-⌫-----|-|-------|-⌫|-|---⌫-⌫|--|
aut ruis eign ouri eetq uant	---⌫--|-⌫----⌫----⌫|-|-⌫---|
c i l quiest pris seuoit enau tre	-⌫-⌫|--|--|---|-|---|-|--⌫--|
seignouriequence leou ilfu	---------|-|-|--⌫-|-|-|-|
prisils e resqueut e t	---|-|-⌫|-------|-⌫|
senua aforce.	|-|-||----||
Queferad onquesliser ians a quiteus resc o u sse	--|---|-⌫-----|-|---⌫---||--|---|----⌫-⌫-⌫--|
Illepue tp oursuir	-|-|---⌫|-⌫------|
et fere ar esterouqu	-|---|--⌫----|-|-|
illetrueu eho rsdel ieu saint.	-|-|-----⌫|--⌫-|-|-⌫--|----||
Etcilenquiseign ourieil e starest é s	-|--|-|--|-----⌫----|-|-⌫-|-----⌫--⌫|
ledoitrendreau seigneure nquis eignouri e	-|---|-----|-|-------|-⌫|--|-⌫--------⌫|
ilfupr emierement priset	-|-|--⌫---------|---|-|
la doites trepu nis	-|---|--⌫--|--⌫--|
d u damag epo urquoiilfu	-⌫|-----⌫|--⌫-|---|-|-|
prise tdel	---|-⌫|-||
li serian sn elepoursuitpasou il	-|------⌫|-⌫|-|-------|--|-|-|
ne l epu etpoursuirpour ce	-|-⌫|--⌫-|-------|---|-|
quec ilqui s eresqueu tsem et enboisou	--|-⌫-|--|-⌫|-------⌫|-|-⌫-|-|---|-|
en bu i ssonsou enlieusaintpour cenel era	-|--⌫-⌫----|-|-|---|----|---|-|-|-⌫--|
pas l isi resenquiseign o urieil fu	--|-⌫|--⌫--|-|--|-----⌫-⌫---|-|-|
prisalisuir	---||-|---|
pardeuantleseigneur d essousqui ile st	--|-----|-|-------|-⌫-----|--|-|-⌫-|
c ou chanset leuanset lid oitestre renuoié spour	-⌫--⌫----|-|-----|-|-|-⌫--|----|--------⌫|---|
rendreson damageetp o urs	-----|--|-----|-|-⌫-⌫-||
E tlame ndede la res coussedoitestre	-⌫||---⌫--|-|-|---⌫-----|---|----|
aus eigneurenquiterre ele fufete	-|-⌫------|-|--|----|--|-|---|
Nus neras acourt d	--|-|-|-⌫|----||
hommequiestpris enpresent	----|--|--|---|-|------|
mesfetsoit	-----|---|
enme l le esoitenda ma ge fesa nta	-|--⌫-⌫--⌫|---|-|--⌫--⌫-|----⌫-||
aut ruiainço is en	---⌫--|------⌫-|-|
apartientlaco nnoissance au	--------|-|--⌫---------|-|
seigneurenq uiterrela	-------|-|-⌫-|----|-|
p riseestfete .	-⌫---|--|---||
Messel imaufeteressenpa r tsansestre	--|-|-⌫|---------||-|--⌫-⌫|---|----|
arestéslaconnoissanc e enapartientau seig neu rdesso us quiil	-------|-|-----------⌫|-|--------|-|----⌫---⌫|-----⌫-|--|-|
estc ouchan s	--|-⌫------⌫|
etl euans exceptél eco n te	-|-⌫----|-------|-⌫|--⌫-⌫-|
qui connoit desmesfè squilisont fe t	--|------|--|------⌫|--|-|---|--⌫|
Ento usles casla	-|--⌫-|--|--|-|
ou l ensepuet passe rp arloi selonc nostre	-||-|-|---|-----⌫|-⌫-|--|-----|-----|
coust ume quan t li seremens est	-----⌫--|----⌫|-|-------|--|
en nepue t puistr erea	-|-|---⌫|---|--⌫--||
amende celuiquile fet etse l	-----|----|--|-|--|-|-||
en demandoit	-|--------|
aaucunaucun mesfetduque lil	|----|----|-----|-----⌫|-|
ne sede uroi t	-|-|--⌫----⌫|
pas p asse rpar	--|-⌫----⌫|--|
loieti la u enoitquec ilqui	--|-|-⌫|-⌫-⌫----|--|-⌫-|--|
l acuse e n prenoit loiilauroitreno ncié	|----|-⌫|------|--|-|-----|----⌫----|
a teldroi tco mmeilauroitenl amende et	|--|----⌫|--⌫--|-|-----|-||-----|-|
ace puetonueoirquequip r entloi	|-|---|-|----|--|--|-⌫-⌫--|--|
estrecreusqui l a loi fetmaiscest	----|----|--|-⌫|--|--|---|---|
casentendonsnous en	--|--------|---|-|
a cusaciond etraue rs enporte ́sou	-⌫-------|-⌫|-----⌫-|-|-----⌫-|-|
tonlieusou c hampars	-------|-|-⌫------|
oucens ourentes oude	-|---|-|-----|-|-|
menue sames ures	-----⌫|----⌫---|
desq uelesl	--|-⌫----||
en sep uet	-|-|-⌫--|
passerparson sere me nt carnou s ueons	-----|--|--|----⌫--⌫-|--|---⌫|----|
bienaucunscas esqueusilcon u ientbienfere	---|-----|--|-|----|-|---⌫-⌫---|---|---|
ser ementets ipourroit	---⌫----|-|-⌫|-------|
on bienautrechoseperdre qu estre	-|---|----|----|-----|-|----|
pariurese t diro n scomment	-------|-⌫|----⌫-⌫|------|
Q uantbienui e n entquelbienq ueces o ientm ueble	-⌫---|---|--⌫-⌫-⌫--|---|---|-⌫-|-|-⌫-⌫---|-⌫----|
oueritag eil conuientbie n qu echascunepartie	-|------⌫|-|-------|---⌫|--⌫|-------|-----|
quiaaucunedeschoses quiaparti edoiuent	--||-----|--|-----|--||-----⌫|------|
ueniriur t quele	----|---⌫|-|--|
sans r ien s retenir n ec eler	---|-⌫---⌫|------|-⌫|-⌫---|
quele ap orteratoutet sil	-|--|--⌫-----|---|-||-|
aui ent que cilquiiureen celeri ens	---⌫--|--|--|--|---|-|---|--⌫--|
ou detiegnec ontreson serementet len le	-|-------|-⌫----|--|-------|-||-|-|
p uetprouuercontreli ilperttout	-⌫--|------|-----|-|-|---|---|
ceq uifuconcel éouce	-|-⌫-|-|------⌫-|-|-|
quilde ti ent cont reson	-|-|--⌫--⌫--|----⌫-|--|
serement etlenpo rte la partiequ	-------|-||-|--⌫--|-|-----|-|
ilcuideconchieret	-|----|-------|-|
d emeuremalrenomés.	-⌫-----|--|-------||
encor eses	-----⌫|--|
sire s dessou squiil est couc ha ns	----⌫|------⌫|--|-|--|----⌫--⌫-|
etleuansleuer grantamende pour	-|-----|----|----|-----|---|
le mauuèsse r ementde quoiilest	-|------|--⌫-⌫----|-|---|-|--|
atainscestassauoir .	-----||--|-------||
gentius hons	------|---|
et s i l es thons depoo ste ́.	-||-⌫|--⌫|---|-|---⌫---⌫||
Ettousiours	-|---|----|
puis le nl e pu etdebouter	---||-⌫|-⌫|--⌫-|-------|
detesmoigna gecarcen est pa s droisque	-|---------⌫-|--|-||--|--⌫|----|--|
cil soitpuiscr eusenserement qui est	--|---|---|--⌫--|-|-------|--|--|
Etceq ue nous auonsditdespartiesnous	-|-|-⌫-|---|----|--|--|------|---|
entendonsaussidesrapors qui	--------|----|--|-----|--|
doiuentestre fe t p ar	------|----|--⌫|-⌫-|
cou stumeentreenfansquireuienent	---⌫----|----|-----|--|--------|
apar tieap rès les dec ès	|---⌫--|--⌫---|--|---⌫--|
des p ereset des meres.	--|-⌫---|-|--|----||
Nousa uo nsparléd	---|-⌫--⌫-|-----||
aucunscas en	-----|--|-|
cestchapi tre	---|-----⌫--|
me ismeparlesqueusilapertquelhonsde	--⌫---|--|-------|-|----|--||---|-|
poostépuetbien	------|---|---|
mesferetel mesfet quel	------|--|-----|--||
amendepasse.	-----|----||
L X .s.toutso itcequiln	-⌫-⌫|-|---|--⌫-|-|-|-||
ait pasmort	--|--|---|
deseruiepourle mesfetete ncore	-------|---|-|-----|-|-⌫----|
nous d autrescas quenousauonsue uiugi er	---||-----|--|--|---|----|--⌫|----⌫-|
etesploitierdenostretans.	-|---------|-|-----|---||
Duifrerepled oienten l assisede	--|----|----⌫----|-||-----|-|
Clermontpardeuant nouspourleur parties et	-------|--|-----|---|---|---|------|-|
pr oposalunsen telmaniereco ntrel	--⌫----||--|-|--|------|--⌫---||
Sireauniourquipassano u s fism esconuena nces	---||-|---|--|----|--⌫-⌫|----⌫-|-------⌫---|
de n o s parties et	-|-⌫-⌫|------|-|
fur ent lesc on uenancesescrites	---⌫--|--|-⌫--⌫-------|-------|
etse e leesduseel	-|--⌫-⌫---|-|---|
delaba illi e	-|-|--⌫----⌫|
a larequeste de nouset	|-|-------|-|---|-|
furentc eslettresbailliesagarderamo nfrerepour	-----|-⌫-|------|-------||-----||--⌫|----|---|
moi et pour	--|-|---|
li d ont ierequier	-|-⌫--|-|------|
que cesletressoient	--|--|-----|-----|
aporteesauant	-------|----|
etquelennousfaceno s	-|--||-|---|---|--⌫|
parties tenirseloncla teneurde sletr es.A	------|----|-----|-|-----|--⌫|----⌫-|||
cer e spondilaut resfreres	-|-⌫-⌫-----||---⌫--|-----|
Cert escesletres naporteraiiepas	----⌫-|--|-----||--------|-|--|
c arelesfurentfa ussem entempetree s	-⌫-|---|-----|--⌫-----⌫--|--------⌫|
et see lee s	-|---⌫---⌫|
E tnousquite nionsla	-⌫|---|--|--⌫----|-|
court q uantnousoïsmes	----|-⌫---|---|------|
quil disoit	-|-|-----|
paro lesqui tou c hoienta l acourtet	----⌫--|--|---⌫-⌫-----||-⌫|----|-|
alapar ti e nous	|-|---⌫--⌫|---|
lid eismes	-|-⌫-----|
Gardés que uousdit es	------|--|---|---⌫-|
Et ildist enc o r ederechiefqu	-|-|---|---⌫-⌫-⌫|-|------|-|
eles esto ient faussementempetre esetseelees.	---|----⌫---|---------|-------⌫-|-|------||
Et adonquesnous	-|-------|---|
pr oposamescontre	--⌫-------|-----|
li e tdeismes	-|-⌫|------|
Teuspar olesauésditessiuou scommandons q ueuous	---|---⌫---|----|----|-|---⌫|---------|-⌫-|---|
alie ́s a uantainsico mme uou s deu ésalerent el cas	----⌫-|-⌫---|----|--⌫--|---⌫|---⌫--|---|-|-⌫-|--|
seu ousconnoissiés qu euous	-|-⌫--|-----------|--⌫|---|
aie ́ sainsidit etse uo us	---⌫-⌫|----|--|-|-|--⌫-|
len iésn o us le metrons	-|-⌫---|-⌫-⌫-|-|------|
Etmaint e nant ilneuout	-|-----⌫-⌫---|-|-|---|
conn o istrene	----⌫-⌫----|-|
nier sifuretenus	---|-|-|------|
Etpui slafi nsfu teusq u i l l	-|---⌫|-|--⌫-|-|---|-⌫|-⌫||
a me ndaconno issanme ntetreq uistque l	-⌫--⌫--|-----⌫-------⌫-|-|---⌫---|--||
en li fis t lamende	-|-|---⌫||-----|
iugier.L am en de	-----|||--⌫--⌫-|
iugieepar l e conseille roide	-----|--|-⌫|------|-|--|-|
Franceetleconse il le contede	-----|-|-|-----⌫-|-|----|-|
Cle rm ontson	---⌫--⌫--|--|
frere ele fuiugieequelicuensenpouoitl euer	----|--|-|-----|--|-|----|-|-----|-⌫---|
s elon csauole n téetfu sa	-⌫----⌫|-|----⌫-⌫--|-|-|-|
uo lente ́sa .	--⌫-----⌫-|||
III. C lb.qui	---||--|--|
iug ementpue t len ueoiraper temen tqu en	---⌫----|---⌫||-|----|----⌫-----⌫|-|-|
p lus e ur scashons depoostépuet bienmesfere	-⌫---⌫-⌫--⌫|--|---|-|------|---|---|------|
Encore cilqu igardalaforestdes	-----|--|--⌫|----|-|-----|--|
Hespourlecon te et uns	--|---|-|---⌫-|-|--|
ho n s de poostésicontencierente nse mbleet	--⌫-⌫|-|------|-|------------|-⌫---⌫---|-|
ta ntmonterent le spa rolesquel honsde poosté donna	--⌫-|--------|--⌫|--⌫----|--||---|-|------|----|
un e bufeaud itfo restieretpuislenous	--⌫|---|-|-⌫-|--⌫------|-|---|-|---|
amendacon no issanmente tlamend e fe te	-----|---⌫--⌫--------|-⌫||-----⌫|--⌫-|
il n en osaate ndre iugement	-||-|--|---⌫---|-------|
ain ço i ssenmist	---⌫---⌫-⌫||-|---|
uo lentéetnous e nleuam es.	--⌫-----|-|---|-⌫|-----⌫-||
Etsic reonspa rl e c onseilque nousen	-|-|-⌫----|--⌫|-⌫|-⌫-----|--|---|-|
eumesque selefustuenuedusquesaiuge ment	----|--||--|---|----|------||----⌫---|
