LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
dunne p art lesanc	|---|-⌫--|-|---|
Celleparo le fistmaintegentpl orerEt de pitié	----|----⌫-|---|-----|---|--⌫---|-|-|-----|
souzpirer. Gr ansfu la ioiegeluozdi	---------|--⌫--|-|-|---|--|--|-|
s a ns fausserAu	-⌫-⌫-|------|-|
mon stieruont	---⌫----|---|
D ameldeu aourer. Le sanfans mainnent quil	-⌫------|------|--⌫|-----|-------|-|-|
po rrent tantamer	--⌫----|---|---|
Et li saint son nenttoutpare ulssanstyrer	-|-|----|---⌫---|---|--|-⌫--|---|----|
Etlicl e rc	-|-|--⌫-⌫-|
chantenttuithautementetclerLapoï ssiéztrop	-------|---|--------|-|---|-|----⌫-----|---|
grant feste	----|----|
esgarderPorlammor	-------|--||----|
desmiracles.	--|--------|
Gransfula ioie a	----|-|-|---||
Riuierslacité DecequAmisare ceüsanté	------|-|----|-|-|-|---||--⌫---|-----|
gra ns p arueritéD es douz	---⌫-|-⌫-|------|-⌫-|---|
anfansquifurent dec olé	-----|--|-----|---⌫---|
Quiparmi r acle	--|--|--⌫-⌫---|
re sontresuscité .A miles	--⌫---|----------⌫|-⌫----|
f ait crier par la	-⌫--|----|--|-|
Qu e nus nes oit	--⌫|--|-|-⌫--|
tanthardi sne osézQueen	---|-----⌫|-|----|--|-|
lauille ostmengier	-|----|--|------|
apr ester.Alac ort	---⌫-----||-|-⌫--|
uoisent etestrangeetpriuéEtpoure	------|-|-------|-|-----|-|----|
etriche n eni aitnusremézI aauront	-|----||-||--|--|-----|-⌫|-----|
tuit amoulttres	---||----|---|
grantplenté.Tr estuit i	----|-------|--⌫-----||
u i enn ent sicomfu c onma ndé	-⌫-⌫---⌫--|-|--|-|-⌫----⌫---|
Onquesceliornio t	-----|--|--|||-⌫|
guichet fermé.	------|------|
Quimen gi eru olt ne	--|---⌫--⌫-|-⌫--|-|
fu deue éPainot et uin et	-|----⌫-|---|-|-|--|-|
piument et	------|-|
cl aréEtcharde	--⌫---|-|---|-|
buefue no isone tsaingle rQui men gieruolt	---|--⌫--⌫---|-⌫|-------⌫|--|---⌫---|---|
d etoutceot	-⌫|---|-|-|
plen té.Quant m en gié ontetbeü	----⌫---|----|-⌫--⌫---|--|-|---|
alorgré Les tables	|--|---|--|-----|
o stentseriantetbacheler.Lacors dep a rt	-⌫----|------|-|--------|-|---|---⌫-⌫-|
quantmengie ́ on t	----|------⌫|--⌫|
assézLorsse departent	-----|---|-|--------|
licheualiermen bré. Licuens	-|--------|---⌫----|-|----|
el palaispauéEtcu ensAmis donti e uoz	-|-----|----|-|--⌫--|---|---|-⌫|--|
aicon té.	-|---⌫---|
Ses douzbonssers	--|---|---|---|
n ia pasoubliéz.Aniceliorqu ei l	|||--|--------|-|---|--|--⌫|-⌫|
r espass é z Les fistansdouz cheualier sadoubéz .	-⌫------⌫--⌫|--|---|------|---------⌫|--------⌫|
ont bienlorlaborsempl oiéLema lquil	--|---|--|-----|----⌫---|-|--⌫|-|-|
orent p or Am i	----|-⌫-|--⌫|
Or aAm i sa Ami le	-||--⌫-⌫||---⌫-|
par lé Sirecompainsil m euie nten	---⌫--|---|-------|-|-⌫|---⌫-|-|
panséQu ail le u eo ir ma famme. Biaussi reAmi les	-----|-|---⌫-|-⌫--⌫-|-|-----|----|--⌫-|---⌫--|
di st A misliua illan s Sachie ́z	--⌫-|-⌫--|-|--⌫-----⌫|------⌫-|
poruoirque moult	--|---|--|----|
desirranz Q ueLubias	--------|-⌫-|-----|
quialesiex r iansAilleu eoiret	--||--|--|-⌫---|----|-⌫---|-|
Girartmonanfant.-Non	-----|--|------|---|
fere ́ zsire	----⌫-⌫|---|
c omp ainsliians	-⌫---⌫---|-|---|
Partirai uoz parmimestenemans.Et	-------|--|--|-|--|--------|-|
talantG i rai ou ozni serai demorans.	-----||-⌫--||-⌫-|||----|--------|
faiscellenuitlicre ans Demain	---|----|---|-|---⌫--|-----|
mouurontensamble .	-------|--------⌫|
Ice lle nuitlelaiss iere ntester	---⌫--|---|-|-----⌫----⌫-|----|
Iusquaudemainque liiors	----|-|-----|--|-|---|
p arut clerQuilse leue rentet ontfa itatorn er	-⌫---|---|-|-|-|----⌫---|-|--|--⌫-|-----⌫-|
lorha rnois etchargier	--|--⌫----|-|-------|
ettrorser. LicuensAm iles ua	-|-------|-|----|--⌫---|-|
demanderSa	-------|-|
Belissantau	--------|-|
ui sclerEtquepan st	--⌫|---|-|--|---⌫-|
bie nde saterregard erSesdouza nfans	---⌫|-|-|----|----⌫-|--|---|-⌫----|
face bien honorer	---|---|------|
Caril uoldramo ultpart ansret orner.	--|-|-----|--⌫--|--|-⌫--|---⌫-----|
Ma i smo ult g rantc hose	--⌫-⌫|--⌫--|-⌫---|-⌫---|
remestd esonpanserNe luer ra	-----|-⌫|--|-----|--⌫|---⌫-|
compa ingnonpan sent delesplo itierMoult grant h arnoisfont	-----⌫-----|---⌫---|-||-----⌫----|----|----|-⌫-----|---|
trorseretchargierEndroi tmidi partirentde	------|-|-------|------⌫|---|--------|-|
Ri uier s.	--⌫----⌫-|
Des orcheua uchen tlegrantchemin plenier	--|-|-----⌫-----⌫|-|----|-----|------|
DesciaBlai uie sne	----||----⌫---⌫|-|
uol drentatargier. La	---⌫----|--------|-|
descendirentchiésunbori oisGautier	-----------|-----|-|----⌫--|------|
Mo ul tricheost el lorfistapp areillier.Desce ndu	--⌫--⌫|----|---⌫-|--|---|---⌫---------|-----⌫--|
duiconte proisié.	--|----|--------|
LicuensAmiscuiD ex gartd encom brier	-|----|---|--|-⌫-|---||-----⌫----|
monte ren sonpalais	-----⌫|-|--|-----|
plenierAi nzuoltmou lt bien	------|--⌫-|---|---⌫-|---|
enquerreet enc erchier	-------|-|---⌫------|
DeLubiasquiiafu	-|-----|--|-|-|
samoi l lie rs	-|---⌫-⌫---⌫-|
Coms e c ontient sellefait	--|-⌫|-⌫------||---|---|
son mariproierEtde	--|---|-----|-|-|
Girart sonfilquila	-----|--|--|-|-||
ta nt chier	--⌫-|----|
u oldra aua ntmoult tres	-⌫----|---⌫-|----|---|
bienenc erchi er Silest preusd	---|---⌫-----⌫-||-|--|----||
a rmescontreautr echeu a li er. Atantez	-⌫---|-----|----⌫|----⌫-⌫--⌫--||---|-|
uozsonbonoste	--|--|--|---|
GautierQui ot	------|--|-|
bienfa itap resterlem engier.Ouuoit	---|--⌫-|--⌫-----|-|-⌫------|-|---|
contes ses	-----|--|
prinstaarraisnieruenézlauertoutest	-----||---------|-----|----|---|--|
appare illiéIasontl est ables mises.Chi és leboriois	------⌫-----|-|---|-⌫-|-⌫----|-----|---⌫--|-|------|
de Blaiuiesl acit é On tle mengier ric heme n tconraé	-|-------|-⌫|---⌫-|--⌫|-|------|---⌫----⌫-⌫|------|
table smistrentci l escu ier p riuéLi	-----⌫|-------|--⌫|----⌫--|-⌫----|-|
con teassi s t r entqua ntil	---⌫-|----⌫-⌫-⌫-⌫--|---⌫-|-|
orentla ué Moultfurent biens eru iet	----|--⌫--|----|-----|---|-⌫---⌫|-|
honore ́. Li	------⌫-|-|
com pa ingnonontensamb ledisné	---⌫--⌫-----|--|------⌫-|-----|
Aun hannaps ont	|-|-----|-⌫--|
andui abuuré.	----|-------|
Gautiersli os tes lesamoult	-------|-|--⌫--|--||----|
esgardézEtaAmisonseignor	--------|-||--|--|------|
rauiséEt puis parole aloi domm esené	------|-|---|-----||--||---⌫|----|
Ba r o ndist	--⌫-⌫-⌫|---|
il orneuoz poist	-|-|-|--|----|
por Dé Dunneparoleq ueieia	--|--||---|-----|-⌫-|-|-|
uoz dir é	--|---⌫-|
Moult u oz	----|-⌫-|
ambesdouzr auisézSe nost ressire cu ifu	--------|-⌫------|-|----⌫--|---|--⌫|-|
ce stecité z Nefustm eziausetdous iecle	--⌫--|-----⌫|-|---|-⌫-----|-|--|-⌫----|
gietézSeil	------|-|-|
f ust sainse tenitelaé	-⌫--|----|-⌫|-|---|--|
Comilfu iamoultalonctanspassé	--|-|-|-|----||---|---|-----|
Qua ntesp ousa la	---⌫-|---⌫---|-|
serordant HardréDe	----|---|------|-|
deuoz deïsse	-|--|------|
paruer téQ ui	--|---⌫--|-⌫-|
c i mengiéza m beduiacostéCefustAmisde	-⌫|-------|-⌫-⌫----|------|-|---|---|-|
B laiuiesla cit é.	-⌫------|-|---⌫--|
suienchantéz Quetoutesuoiesledietle	--|---------|--|----------|-|-|-|-|
uns deuozdou zestAmis lalosézCaril	--|-|--|---⌫|--|---||------|--|-|
unco mp ai ngnon loé Quant ilestoit	-|--⌫--⌫--⌫----|---|----|-|-----|
en sonpalais paué	-|--|-----|----|
fi sthomeentresto utcest regnéPa r	--⌫-|---|-|------⌫-|---|-----|--⌫|
cuilunsfustd e	--||--|---|-⌫|
des seurézTant bienseresambl oient. Cedist	---⌫------|---|---|-|-------⌫-----|-|---|
Ga utiers Se Dexuozbeneï eSeignorbaronne l	--⌫-----|-|--|--|------⌫|------|----|--⌫|
mecele ́ zuoz	-|----⌫-⌫|--|
mie .Ieuozconiur deDeule fil Marie	---⌫|-|--|-----|-|--|-|--|----|
Quiporn ozto uz	--|--|-⌫-|--⌫-|
gran t haschie Etsac hars	----⌫|------|-|-|-⌫---|
Etaut ierzior	-|-|-⌫---|--|
resorstdemo rt auieNommézuos nons	------|-|--⌫-||--|------|--|---|
uozbeneï e.C edist	--|------⌫-|-⌫|---|
chierehardi eIai non	-----|-----⌫||-|--|
Amis seDexme faceaïe. E t	---|-|--|-|---|----|-⌫|
cistAmi les	---|---⌫--|
ne l me scre ézuozm ie.	--⌫|--⌫----⌫--|--|-⌫--|
To zsuigaris del a grant	--⌫|--|----|-|-⌫|----|
m aladieDonti	-⌫-----|---||
ai souffer t tante	-|-------⌫|----|
mal e h aschieDontLubias	---⌫|-⌫-----|---|-----|
me port a telea nui e	-|----⌫|---|-⌫---⌫|
Que m egie ta	--|-⌫|---⌫-|
delacitégarnie	-|-|----|-----|
Mon filGirartmistenchartre	--|--|-----|---|-|------|
enfermasifistgrantfelonnie.QuantGautiersloit	------|-|---|----|--------|----|-------||--|
se lifistembracie Pl orant lebais e	-|-|---|-------|--⌫----|-|----⌫|
la face en amoilli e.	-|---|-||------⌫-|
Moultgra nt	----|---⌫-|
ioiedemainne.	---|--------|
Grans fulaioieen	----|-|-|---|-|
la mai sonGaut ierT outporAmi	-|---⌫--|----⌫--|-⌫--|--|--|
gen til cheualier.	---⌫--|---------|
Los tesle baisenes	|--⌫--|-|----|-||
estanchie r .	---------⌫-⌫|
Amisdemand e desonfilquil ot	---|------⌫|-|--|--|-|-|-|
chi er.Et dist l ioste s	---⌫--|-|---|-⌫|----⌫|
A l ézestengibierParcipas sahuimaina	-⌫-⌫--|--|-|-----|--|-|---⌫-|------||
l escla iri er	|-----⌫---⌫-|
Not aue c luimai squedi sescuier s.Encor	|-|---⌫|--|---⌫|--|--⌫|-------⌫-|----|
annuit reuenrail	-----|------|-|
arrier.Quantm en gi é	------|----|-⌫--⌫--⌫-|
ontlestablesfontdrescier	--|--|-----|---|-------|
Parmilesrue sleuaunsmésnuncierEt	----|--|---⌫|-|-|--|---|------|-|
asbaronspar trestout	-|-----|--|-------|
ac ointi e rQ uAmi sest sains	--⌫-----⌫-⌫|-⌫|---⌫|--|----|
r euenuz eth aitiéz.Or l e	-⌫-----|-|-⌫-------|-|-⌫|
pue tontrouuer enchiésGautie r. Iusqua up alais	---⌫|-|------|-------|------⌫-|----|-⌫|-⌫----|
nese uo lt	-|-|--⌫-|
atargie rALubiasle cont esans noisier.D Ami	-------⌫||-----|-|----⌫|---|-------||--|
qu ile stsai nsethaiti ézNasi be l	-|-|-⌫-|---⌫-|-|-----⌫--|||-|--⌫|
homedes cia	---|---⌫-||
Monpellier.Lubiasloitpre nt soi amer ueilli er.Qu i	----------|-----||--|---⌫-|--||---⌫------⌫--|--⌫|
lor s ue ïstces baronscheualiersQui dan t Ami sol oient	---⌫|--⌫---|--|-----|---------|--|---⌫|--|---⌫----|
ch ierQui lesueïst sor les che uaxpuier	--⌫--|--|--|-----|--|--|---⌫--|----|
Parmicesrues	----|--|---|
prennentaeslaissierT restuiti	-------||---------|-⌫------||
uonts eriant et escuier	---|-⌫-----|-|------|
Clerc et p reu o ireetli	----|-|-⌫---⌫-⌫--|-|-|
autreprincier.Tr es tuiten uonta l	----|--------|--⌫--⌫---|-|---|||
os teldantGautierDe s gensem pli ss entet mai sons	--⌫--|---|------|--⌫|---|--⌫---⌫--⌫--|-|---⌫---|
TuituontAmi acoler	---|---|--|-----|
etbai s ier . E zuozGirart quiuient de	-|---⌫-⌫---⌫|-⌫|--|-----|--|----|-|
Blaiuies e n tre par la porte	-------|-⌫-⌫--|--|-|----|
derrier Sor son	------|--|--|
poing porteun faucon	----|----|-|-----|
montenier.Quantuoit lagentet	---------|----|---|-|---|-|
eteslaissierParmic esrues cesla nc es	-|---------|----|-⌫-|---|--|--⌫--⌫-|
peso ier Cuida	----⌫--|----|
fus tCharlemainneau	---⌫|-----------|-|
Qu i fustue nuzsa c it é	--⌫|---|--⌫--|-|-⌫--⌫-|
e scillier .E zuo za	-⌫--------⌫|-⌫|--⌫||
l uiuenuun	-⌫-|---|-|
escu ier.S ire	----⌫---|-⌫--|
distilnouuel lesuoilnuncierDontuo z	---|-|------⌫--|---|------|---|--⌫|
deuéz Ihesucristgrac iier.Li	-----|---------|----⌫----|-|
uos tresperesque tant	---⌫---|----|--|---|
c hierEstr euen uzsai nsetsausethaitiéz.Quant	-⌫---|--|-⌫----⌫-|---⌫-|-|---|-|--------|----|
Gi rarslo it touzpasmézchie tarrierIa fust	--⌫---||-⌫-|---|------|----⌫|-----|-|---|
f uissent li estrier.S esge nsle	-⌫------|-|-------|-⌫-|--⌫-|-|
uoient selcorrent	-----|--|------|
re dre scierA	--⌫---⌫----||
grant meruei ll e ploren t. Quant	----|------⌫--⌫|------⌫-|----|
G irarsoit de	-⌫----|--|-|
son pereparle rQu	--|---|-----⌫|-|
ilesto itsains	-|----⌫-|----|
Deupre ntamercier.	--|---⌫-||-------|
Leme ss aigier enprent a apellerAmi s	-|--⌫--⌫-----|-|----||------|---⌫|
biausfrerepor Deu	----|----|--|--|
car mi menézEnlamaisonch ie ́s	--|||-----|-|-|-----|--⌫--⌫-|
cui il esttorné z.Et	--|-|--|------⌫-|-|
c ilsifait n i	-⌫-|-|---|||
uol t pl u sdemore rI usq u	---⌫|--⌫-⌫|------⌫|-⌫---⌫|
os telnes i	--⌫--|-|||
uoltarrester. Girarsdescen tq ui moult	---|--------|-----|------⌫|-⌫-|----|
enlasale conmensa aent rer.Detant com	-|-|---|-------||---⌫---|-|---|--|
potetcorreet	--|-|----|-|
r andonner Co rr ut son	-⌫-------|--⌫--⌫-|--|
per ebai sier etacole rEt	---⌫|---⌫---|-|-----⌫|-|
nesen p otsa ouler.Nusnesauroitla	-||-|-⌫-|--⌫-----|--|-|------|-|
ioieraconter Que	---|-------|--|
lifizfaitaupere.Ch iésGautierfu	-|--|---|-|----|--⌫---|------|-|
la ioiemoulttresgran s	-|---|----|---|----⌫|
Liperes bai se	-|----|---⌫-|
sonf ilmenu souuant. DeLub ias	--|-⌫-|---|-------|-|---⌫--|
dironzdor en	-----||-|-|
auan tQ uiseuestitetse para	----⌫|-⌫-|-|-----|-|-|---|
moult iantQu antfu	----|---|--⌫--|-|
uestue desonpalaisdescent.Iusqu	-----|-|--|-----|-------|----|
alos t elnefupas	||--⌫-⌫-|-|-|--|
ar res tan s.	--⌫---⌫---⌫-|
Licuens Amisau gen tc orsauenant Es toit	-|----|---|-|---⌫|-⌫--|------|--⌫---|
deduiree nun	------|-⌫|-|
ue rgieraua ntEt Lu bias nef upasdemoransLa descendi	--⌫----|---⌫-|-|--⌫---|-|-⌫|--|-------|-|-------|
aue cquesluigrant iantSus en	---⌫----|--|----|---|--|-|
monta e r rammant	----|-⌫-⌫------|
EtuoitAmiparmila	-|---|--|----|-|
mainle prant	---|-|----|
Amibiausfr er ele	--|----|--⌫--⌫|-|
miencors uo z pre santCo nme la	---|---|--⌫|---⌫---|--⌫--|-|
to i eporfairetontala nt.	--⌫-⌫|--|----|--|----⌫--|
-Fuié z deci dist li cuenserra mm antL a	------⌫|-|-|---|-|----|----⌫--⌫--|-⌫|
moiefame ne	---|---|-|
uoznoiant.	--|------|
uozm efeïs teziadisho n temoultgran tQu ant	--|-⌫|-----⌫--|----|--⌫-⌫-|----|----⌫|--⌫--|
me gietasteza dueleta torm ent	-|--------||---|-||----⌫--|
Hors dema uille par	---|-|-|----|--|
enchantementE tsideïstez a trestou te la iant	-----------|-⌫|-|-------||-------⌫-|-|---|
estoiepouacresnonpui s san z.Unbordelet	-----|-------|------⌫-⌫---⌫-|-|-------|
me feï stezesran t	-|----⌫---|-----⌫|
L adehors Bl aiuiesencoresten estant .Uns guerredons	-⌫|-----|--⌫-----|----|--|-|------⌫|--|---------|
sere ́zmi se siuiur éz a	----⌫-|--⌫-|-|----⌫--||
tormant.De	-------|-|
liurison au re ́ztant seu lem ent Unquart eretdepai ne t	-------|--⌫--⌫-|---|---⌫---⌫--|-|-----⌫---|-|---⌫|-⌫|
tropgra n t.Orlaprenné z cheualieret	---|---⌫-⌫-|-|-|-------⌫|--------|-|
seriantSil an	------|-||-|
menéz tosteti snellementEt	-----|---|-|-⌫---------|-|
l iloiéz lesmainsmoult	-⌫|-----|--|----|----|
asprement. Et cil	---------|-|--|
si fontquant oientsonconmant.	-|---|----|----|--|-------|
QuantLubiasen	----|-----|-|
mainnentmoul t uonta pr éz g rant	-------|----⌫|---|-⌫--⌫--|-⌫---|
bordelnef urent	-----|-|-⌫----|
arrestant[iantIluecfu	--------|----|----|-|
mise ladam me	---|-|---⌫-|
mai ntenantLe s gen s retorne nt	---⌫------|--⌫|---⌫|-------⌫-|
anlacitéuaillant . Huit	-|-|----|--------⌫|---|
iorsfuelleelbordel	---|-|---|-|-----|
uoirementAucont eAmi moultgrans	--------|-|----⌫|--|----|----|
pitiés en prentQuerrel	------|-|----|-----||
anuoie ra ntlisonte nement.	-----|--⌫-|-|--|--⌫------|
L icuensAmisqui m oultot lecors	-⌫|----|---|--|-⌫---|-|-|---|
Son filGirart a doube maintenantSe li donna	--|--|-----|-⌫----|---------|-|-|----|
sontenementEta sessersd onnagrantc hasemen t.	--|-------|-||--|---|-⌫---|----|-⌫-------⌫-|
li c uens Amis puissans	-|-⌫---|---|-------|
Etses compai ns lareprinst	-|--|------⌫-|-|-------|
mai n tenant.LicuensAmilesmandaa BelissantQue ll e	---⌫-⌫------|-|----|-----|----||--------|-|-⌫--⌫|
ga rtm oultbien son tenementE tses d ouz	--⌫-|-⌫---|---|--|-------|-⌫|--|-⌫--|
fiz honorast moult	--|-------|----|
forment Que ne l uerrontiamaisen loruiuant.	------|--|--⌫|------|-|---|-|--|------|
baro n ne set argent	----⌫|-|-|-⌫-----|
noiantDeBlaiuie s	-----|-|-------⌫|
murent aumainal	-----|-|---|||
aiornant PoralerauSepul cr e. DeBlaiuies i ssentpa r	-------|--|---|-|-----⌫--⌫-|-|-------|-⌫----|--⌫|
m ainliba ronOutremeruontporquer re	-⌫--|-|--⌫--|----|--|---|--|----⌫-|
uoi rpardon.	---⌫|------|
Mou lt lesconuoientlicheu alierba ro nG ir ar s	---⌫-|--|--------|-|----⌫----|--⌫--⌫|-⌫--⌫--⌫|
iestqui estde	|--|--|--|-|
grant renon. Au de par tir i	----|-----|-|--⌫---⌫--||
otgrantplori sonGirars b aisa	-|----|-----⌫--|-----|-⌫---|
son pe relementon Puis s enretor nenta	--|--⌫-|-|-----|---||-|-----⌫---||
Blaiuies eldonion.	-------|-|------|
Li duicont eo irrentaDeubeneïson.Tant ontes ré	-|--|----⌫|-⌫-----||--|---------|---|--|--⌫--|
chascun ior	------|--|
letrotonQuauport demer	-|-----|-|-|---|-|--|
uindrent tout abandon.La	-------|---||------|-|
merpasserentau uentsansauiron	--|--------|-|---|---|-----|
S epulcrenifont	-⌫------|||---|
arrest isonLasainte Croisou souffri passionIhesus li	------⌫---|-|-----|----|-|------|------|-----|-|
Sires baisieren t a	----|---------⌫||
b an don P uis s enretorn en tar riere sans	-⌫--⌫--|-⌫--||-|------⌫--⌫|--⌫----|---|
t ansonOultre lame rrapassentlibaron Lors	-⌫----|-----|-|--⌫|--------|-|----|---|
chascu nsenl	------⌫-|-||
arragon.Pa rmi Pr ouuencecheuauche ntabandon	-------|--⌫--|--⌫------|---------⌫-||-----|
L iduibar on ensamble.	-⌫|--|---⌫-|--------|
Quan t li baronorent la m er passeePar	----⌫|-|----|----|-|-⌫-|-----|--|
Lomba rdie ontlor	-----⌫---|--|--|
uoietorneeRetorneruoldre ntarriere e nlor	---|-----|-------|------⌫-|------|-⌫|--|
Parm i Mortiersontlor uoie t ornee	----⌫|-------|--|--|---|-⌫----|
Lalor prinst maus par	-|--|-----|---|--|
bo nn edestinnee.Ileuct ranssirentc es tueritéz p rouu ee.	--⌫--⌫|---------|----|-⌫---------||--⌫|-------|-⌫----⌫--|
