silzliuresquestcien	---|-----|-|--|-|-|
liiuifdit qu en	-|---|--|-|-|
ni ertia celeetel	|-⌫--|-|----|--|
mes p rise	---⌫-⌫---|
cesteperdri z peruerit ey	----|------⌫|--|-----⌫-|
r econte rat e n niquitey	-⌫------⌫-||-⌫-⌫-------|
u neperdrizespaont ee	-⌫-|------|-------⌫-|
dun boissonses toit	|-|------||--⌫---|
audoi l ien s oigne	-|--|-⌫|--⌫-⌫----|
cestediraic estebesoign e	----|----|-⌫---|-------⌫|
fait il etfera lomessaige	---|-|-|---|-|-------|
pord escourirton gran t outra ige	--|-⌫-------|--|----⌫|-----⌫--|
lautrel iail atesteos tee	|----|-⌫|-|-⌫|----|--⌫--|
la richesc e ai	-|-------⌫|-|
to utetross ee	--⌫--|-----⌫-|
enu ncrueslachar oig nepose	-|-⌫|----|-|----⌫---⌫-|---|
pour miezescondr e	---|---|-------⌫|
cest echose	----⌫|----|
q uantil otlocor s enf ossey	-⌫---|-|-|-|---⌫|---⌫----|
d enq ui separtlau o irtrossey	|---⌫-|-|---||--⌫-⌫-|------|
lanapres en	|-|----|-|
celesa iso n	---|--⌫---⌫|
lib otoil liersen lamaison	-|-⌫-----⌫----|-|-|-----|
sonseignour perdr izrotis soit	--|-------|-----⌫-|-----⌫---|
en soncuer	-|--|---|
mou t sesioisso it	---⌫||--------⌫-|
richescemouta	-------|---||
tenoitdoui uifla parole	-----|--|-⌫--|-|-----|
l es perdrizqui se	-⌫-|------|--|-|
rostissoient	-----------|
c o meemp laign an t facoient	-⌫-⌫-|-|-⌫-----⌫--⌫|-------|
entrel apelet c har	----|-⌫|--|-|-⌫--|
lachalourfacoitcestechose	-|------|-----|----|----|
so ncuerpans e et rem ire	--⌫|---|----⌫|-|---⌫--|
etne s ep ost tenird erir e	-|-|-⌫|-⌫--|----|-⌫|---⌫|
liroislac aus eli d e mand e	-|---|-|-⌫---⌫|-|-⌫-⌫----⌫|
deson risdireli	-|--|--|---|-|
tant conliroispl u sli	---|--|-|---|--⌫-⌫|-|
etli autresplu sfortrioit	-|-|-----|---⌫|---|----|
et liroisde per d re sagrace	-|-|---|-|---⌫-⌫-|-|----|
seneli distfor tlemenace	-|-|-|---|---⌫|-|-----|
uitlecorroz etl	--|-|-----|-||
douroiselipromista dir e	--|--|-|-|------||---⌫|
mais ilquer oit	---|-|----⌫--|
por loignemant	---⌫---------|
porc e c on t ersecretemant	--|-⌫|-⌫--⌫-⌫-|----------|
apr es c e apri ué	---⌫-|-⌫||---⌫--|
liroisetenquiertla noue le	-|---|-|-------|-|----⌫-|
libotoillierssanzriensescondre	-|----------|---|----|-------|
lachoseli uai	-|----|-|--|
tout eespondre	----⌫|-------|
i riezfutliroi s toute uoie	-⌫---|--|-|---⌫|----|---|
samblantfistde	-------|---|-|
puissesbarons consoille	---|--|-----|--------|
decel faitchescunssemeruoille	-|--|---|-------|-|--------|
lipl usourscorrociezestoien t	-|--⌫-----|--------|-------⌫|
que lo botoill ie rmo utamoie nt	--|-|-------⌫--⌫|--⌫-|-----⌫-|
uaut namour	---||----|
queli iugemant ne	--|-|-------|-|
don csacordent communemant	---⌫||-------|----------|
tu itensamble	--⌫-|-------|
p eriugem ant	-⌫-|-----⌫--|
soit a forch es pend uz	---||-----⌫-|----⌫-|
lo san c des igrantt rai so n	-|---⌫|-|-⌫|----|-⌫---⌫--⌫|
nedo itilauoir g arison	-|--⌫-|-|----|-⌫-----|
panduzfu si cond r oizlidon e	-----|-|-|--|-⌫-⌫--|-|---⌫|
samauaistielo reguierdon e	-|--------|-|----------⌫|
de ceste fa ble la doctri ne	-|----|--⌫--|-|------⌫-|
blasme dep echi elarapine	-----|-|-⌫----⌫|-|-----|
rapinesinaitd auarice	-----|-|---||------|
qu estmered emaintemal ice	-|--|---|-⌫|-----|---⌫--|
auariceoccirre ettrahi r	------|------|-|-----⌫|
fa i tet laut ru ichoseenuair	--⌫-⌫|-||---⌫--⌫|----|-----|
etmain sautres	-|----⌫|-----|
mausfaitafaire	---|---||----|
aua riceladepu taire	---⌫---|-|----⌫----|
quideces teaile mbras eman t	--|-|---⌫-|-||-⌫-----⌫----⌫|
gardenesorema nt	----|-|------⌫-|
m ai ntesfoizate lc h osemoinne	-⌫--⌫---|---||--⌫|-⌫-⌫--|-----|
don puisfaitsoffrironte etpoi nne	--|---|---|------|---|-|---⌫--|
gardeton cuer ardo irneface	----|--|---|----⌫-|-|---|
desirdatruiri chesce	----||----|--⌫-----|
tant quamor t	----⌫-||---⌫|
dom econsentir	|--⌫|--------|
te faceoutafo i a mentir	-|---|-|-|--⌫||-----|
nunsor z ton cuerentant decoi ue	---|--⌫|--|---|-|---|-----⌫-|
portoi m or te nrecoiue	--|--|-⌫--⌫|-⌫|------|
mur trestraison srobe rie	---⌫---|-------⌫|----⌫--|
hon ourst oillentau ue clauie	---⌫---|-⌫------|--⌫--⌫|-|--|
t elmauai stiezau loinz	-⌫-|-----⌫----|-|----|
nepue t loncourirne	-|---⌫|--|-----|-|
grantd roiture	----|-⌫------|
quimostr ela	--|-----⌫|-|
penseeobscure	-----|------|
enleuen tensp rantuan gemant	-|--|-|---|-⌫---|---⌫-----|
desmeffaitperdroi tiugemant	--|------|--|----⌫|-------|
etlacons ciencem almise	-|-|----⌫-----|-⌫-----|
tantcon trointlocueretatise	---|---⌫-----|-|---|-|----|
queperquelque	--|--|------|
per tuis re spire	---⌫---|--⌫----|
quant son secretli f ai t adire	----|--|-----|-|-⌫--⌫||---|
dires esp echiezesconduz	---|-⌫-|-⌫-----|-------|
donpuis estcofonduz	--|---|--|-------|
d em ostrer sa plainepe nse e	-⌫|-⌫-----|-|-----|--⌫---⌫|
ne sepue tteni r quest naur ee	-|-|---⌫|----⌫|-|--|----⌫-|
laproprecon scienceescus e	-|-----|---⌫------|-----⌫|
qui dou mal toz	--|--|--|--|
ioursse greuse	----|-|-----|
rais onsda nzl oc uerremurmure	----⌫--|--⌫-|-⌫|-⌫--|--------|
qui lomal het persa nature	--|-|--|--|--|-|-----|
ceste loili aideu	----|--|-|-|--|
liplait ne agre e	-|----|-|----⌫|
e n apert lofaitaueni r	-⌫|----|-|---|-----⌫|
q uedanzsoi nel opue ttenir	-⌫-|---|--|-|-⌫|---⌫|----|
anpercoitd	-|------||
a donc re uelesa	-⌫---|--⌫---|-|
dexen l escripture	--|-||---------|
di tqu ilnestchose	--⌫|-|-||--|----|
si obsc ure	-|----⌫--|
siobs curenesi c ele e	-|---⌫---|-|-|-⌫---⌫|
qui n e soitpu is	--|-⌫|---|--⌫-|
manifestee	---------|
amalfaitd onc	|------|-⌫--|
netadon oies	-||----⌫---|
pourcequ e celer lo	---|-|--⌫|----|-|
cu ido ies	--⌫---⌫--|
ce nese ro it p ases perance	-|-|--⌫--⌫-|-⌫-|--⌫------|
maisse roit foleoutrecuidance	---|--⌫---|---|------------|
uns ro is pui ssa ntet degrantgloire	--|--⌫-|---⌫---⌫-|-|-|----|-----|
fu tlonctens aiceditl	--⌫|---|---|-|-|--||
dous ho mesotensa ma ignie	---|--⌫--|-|-|-|--⌫----|
l i un sdesacheuale rie	-⌫|--⌫|-|-|-------⌫--|
princes estoi tet gouernerres	------|-----⌫|-|----------|
l autresde	|-----|-|
sesbiensd i spenserres	--|----|-⌫-⌫---------|
chambellantlosuet l on	----------|-|---|-⌫-|
cils e facoit mout aa mer	--|-⌫|-----|---||-⌫--|
limiez de son t ens	-|---|-|--|-⌫--|
fut pess ez	--|----⌫-|
t antqueueilles futet	-⌫-----|------|--|-|
deli g naig e not pas	-|--⌫-⌫----⌫||-|--|
b orioisfut debonenoblace	-⌫-----|--|-|---|------|
s aiges prouzcortoiset uailla nt	-⌫----|----|------|-|------⌫-|
la utresiu enesprouz et	|-⌫----|--⌫---|----|-|
moutes toi tde no ble	---|--⌫---⌫|-|--⌫--|
maisfel onseredecoraige	---|---⌫--|--|-|------|
uoit quiailag rac e	---|--|-|-|-⌫---⌫|
detouzau cueranai	-|---|-|---|-|-|
t r istece	-⌫-⌫-----|
cuerl itormante	---|-⌫|-------|
et le ger ecedeiou ante	-|--⌫---⌫--|-|---⌫---|
aro ip e rlerpe rgrantmalice	|--⌫|-⌫-⌫---|--⌫|----|-----|
sir e faitil	---⌫|---|-|
enuostreoffi ce	-|-----|----⌫-|
t enezcelbor iois	-⌫---|--|---⌫---|
moutest u ersuossa foipetite	---|--|-⌫--|--|-|--|-----|
il despentuozbiens	-|------|--|----|
a outraige	|-------|
ienepu i s uoru ostre	-|-|--⌫-⌫|--|-⌫----|
deuostre hostel	-|-----|-----|
pereet pastou r	---|-|------⌫|
n e lapelezplus	-⌫||-----|---|
maisgastour	---|------|
uou sauezfaitdo uloubergie r	---⌫|---|---|--⌫|--|------⌫|
mafoiwoil u ersuous de schargier	-|--|---|-⌫--|---|--⌫--------|
de larre cinloprouerai	-|-----⌫--|-|-------|
e nchampre gehirl iferai	-⌫|----|--⌫----|-⌫|----|
grantauoiressambley	----|----|--------|
de uoztrasorzqui laiambley	-|--|------|-|-⌫|-|-----|
li roi s to stloborioisdemande	-|---⌫|--⌫-|-|------|------|
a ce respondrelicomande	|-|--------|-|------|
licheualiersencorpropo s e	-|---------|----|-----⌫-⌫|
contre lo borioisceste	-----|-|------|----|
etcilres pontque c estmancong e	-|--|---⌫---|--||--|-------⌫|
etque f auseestceste	-|--|-⌫---|--|----|
est tantp ers a fo ible sce	--|---|-⌫-|-⌫|--⌫----⌫--|
esbahizquilne set	------|-|-|-|--|
quard eceuoit bienquesenzfaille	---|-⌫|-|---|---|--|---|-----|
l icouient pesser perb atai lle	-⌫|------|-----|--|-⌫----⌫--|
barons lo uoient	-----|-|-----|
t re s tuitgr antpitie enauoi ent	-⌫--⌫-⌫---|--⌫--|----|-|----⌫--|
la courttoute e nsamblesacorde	-|----|----|-⌫------||-----|
conli facemi s ericorde	|-|-|---|--⌫-⌫-------|
etuo il lent quento temeni ere	-|--⌫--⌫---|-|-|--⌫-|----⌫--|
enleude lui cha mpion	-|--|-|--|---⌫----|
enma inteleuenma inteplace	-|--⌫---|--|-|--⌫---|----|
dauo irchampion sepo rchace	|---⌫-|-------|-|--⌫-----|
oran droitdefortuneesproue	----⌫----|-|------|------|
lafauseamourcar ilnetroue	-|----|----|--|-|-|----|
amiquiporlui	--|--|--|--|
ce enproigne	-|--------|
songeufortuneliensoigne	--|--|------|-|-------|
cil qu iperdeuant limostroient	--|--⌫|--|-----|-|---------|
grantamourd e lui se rioient	----|----|-⌫|--|-|------|
deuer sla utretui t s etenoient	-----⌫||-⌫---|---⌫|-⌫|-------|
p or ceque plusfort lo ueoi ent	-⌫-|-|--|---|---|-|----⌫--|
bienpuet con oi stre s es amis	---|---|---⌫--⌫---|-⌫-|---|
a udesozmi s	-⌫|----|--⌫|
libesoingdoubonl am istie	-|------|--|--||--⌫----|
mostre etdoufausla m a uaistie	-----|-|--|---|-|-⌫-⌫------|
quar l i bonsamis toz	---|-⌫|---|---|--|
etli faus daidierne	-|-|---||-----|-|
liiorsui e nt deuantla bataille	-|---|--⌫-⌫-|-----|-|-------|
a ue spreporpr andre uitaille	|--⌫---|--|--⌫----|-------|
libo riois a sa tauble	-|--⌫----||-|-----|
quemou t l ifutpou confortauble	--|---⌫|-⌫|--|--|-----------|
engranttris teceengranthenuit	-|----|----⌫---|-|----|-----|
fu tsa penseecelen uit	--⌫|-|-----|---|-⌫--|
d a truin a tent sec ourtnahie	|-⌫---||-⌫---|---⌫---||---|
ets iuoiten perilsau ie	-|-⌫|---|-|----|-|-⌫-|
quar p erforceasafoiblemain	---|-⌫-|----||-|-----|---|
les tuet comb atrel	|--⌫---|----⌫---||
pe r gra n tdolourdoucuersospire	--⌫|---⌫-⌫|-----|--|---|------|
etprant come	-|----|---|
lasen doner enbel seruise	--|-|----|-|--|------|
lamour demainzauoiea qu ise	|----|-|----|----|-⌫--⌫--|
ma is fortunet ost enpou dore	--⌫-|------|-⌫--|-|--||--|
ceoul i hons lonct enslabore	-|-|-⌫|---|---|-⌫--|-----|
en a mi faireai de sp e ndu	-|-⌫-|----|-|--⌫--⌫-⌫--|
monten shelasiaitoutperdu	--|---⌫|-|--||-|---|----|
fortunesusmoi ai changie	------|--|--|-|------|
samain s anmoignesa ma ignie	-|---||-|-----|-|--⌫----|
les anmo inne	--|-|--⌫---|
bienyaiper duema	---||-|---⌫--|-|
orsuiessou tezet	-|--|-----⌫--|-|
net ruis defo ib len edefort	-|-⌫---|-|--⌫--⌫-|-⌫|-|---|
b ienuoique	-⌫--|--|--|
lomonde s erui r	-|----|-⌫----⌫|
faitpoudegrace de sseruir	---|--|-|----|--⌫------|
mes ioursenpai s	--|----|-|---⌫|
fen ircuidoie	---⌫-|------|
orm etoubl eenuiem a	-|-⌫|-----⌫|----|-⌫|
d oi sormaisdeus s ere pose r	-⌫--⌫------|----⌫-⌫|--⌫----⌫|
nonpa scombatre	--|--⌫|-------|
aubas estmesco rs	-|--|--|--|--⌫-|
perui llesce	--|--⌫-----|
froiz defailla nzpersafoi blesc e	----|--------⌫-|--|-|---⌫-----⌫|
meshenemis a igrant proesce	--|------|-⌫|----|------|
iue nes estetploins	---⌫--|--|-|-----|
dard iesce	|---⌫----|
uoincremepuet perm ain te f orce	------|-|---|--|-⌫---⌫-|-⌫---|
ie s uiscom e uneso icheesco rc e	-|-⌫--|---⌫|--|--⌫---|----⌫--⌫|
ie suisruid esetrebu sez	-|---|----⌫-|-|----⌫--|
cilestdesarmestoz usez	--|--|--|----|--|---|
iluoit c ler	-|---|-⌫--|
etie neuoi	-|-|-|--|
uoi n cr esan zdoute	---⌫-⌫--⌫|---⌫|----|
toute force me tos tnatu re	----|----|-|---⌫|----⌫-|
ienem efi mesq uendroi ture	-|-|-⌫|-|----⌫|-|----⌫---|
ma ca us e est bonesanzd otance	-|--⌫--⌫|--|---|---|-⌫-----|
ceme done grant esperance	-|-|---|----|--------|
me scorses t foibles ettardiz	--⌫|---|--⌫|------|-|-----|
mes m escuers estforsetardiz	--|-⌫-|----|--|---|-|----|
etquemonte sagrantuai ll ance	-|--|----|-|----|---⌫--⌫---|
pouuautgrantcueren pou repanc e	--|---|----|---|-|---⌫-|----⌫|
pismefait que	--|-|---|--|
m aboneui e	-⌫|---|--⌫|
es t perfausc rime	--⌫|--|---|-⌫---|
do nou rai p e rdue lagloire	|-⌫---⌫|-|-⌫-⌫---|-|-----|
c emetostet sent et	-⌫|-|---|-|---|-|
liueil lar s	-|----⌫---⌫|
se despereet plore	-|------|-|----|
grantp i ece e n tel dolou rdemore	----|-⌫-⌫--|-⌫|--|-----⌫|-----|
en pitieses	-|----|--|
bouiers lesgarde	------||------|
sirefai tilneaiez garde	---|---⌫|-|-|---|----|
aparoi l liez dempra ndre	------⌫-⌫---||-----⌫---|
ceste choseporuosdeff endre	----|----|--|--|----⌫----|
biensaiqueuostre c auseestbone	---|--|--|-----|-⌫---|--|---|
cegrantardie s ce medone	-|----|-----⌫-⌫-|-|---|
qua nt futaumatin aiorn ey	---⌫-|--|-|----|-----⌫-|
ilfu r entanduiatorney	-|--⌫-⌫--|----|------|
licheua liersd armes no blesce	-|-----⌫----||----|--⌫-----|
auoitseloncsa gentilesce	----|-----|-|---------|
s e l onclameniere	-⌫-⌫-⌫--|-|------|
li bouier stresbie narme z	-|------⌫|---|---⌫|----⌫|
a ndu i o uc ha mpar mez entra re nt	-⌫---⌫|-⌫|-⌫--⌫-|--⌫--|-----⌫--⌫-|
les pre mie rs	--|---⌫---⌫-|
cousgranzse	---|----|-|
d ona rent	-⌫---⌫---|
etlipu bl es estoit en tor	-|-|--⌫--⌫-|-----|--⌫--|
poures ga rder	---|--⌫--⌫---|
des d ouslest or	--|-⌫--||---⌫-|
licheualiers tient a granthonte	-|---------|----||----|----|
se lautre tostnesoremonte	-||----|---|-|--------|
cortli susdessouteemant	---|-|--|------------|
saf orcedes pen tfol emant	-|-⌫---|---⌫---⌫|---⌫----|
e nferant l au trep lusse	-⌫|-----||--⌫--|-⌫--|-|
po rs ondessouter	--⌫|-⌫-|--------|
l aut relodoiger edoter	|---⌫-|-|----|-⌫-----|
desaf orce	-|-|-⌫---|
point ne retient	----|-|------|
por lenauantetcilsostient	--||------|-|--|-------|
et gar de pergrant p orueance	-|---⌫-|--|----|-⌫-------|
deses forsbrazla gra ntpuissanc e	-|--|---|---|-|---⌫-|--------⌫|
li cheualie rs fiertsanz	-|--------⌫-|----|---|
cil enso igard er me s tsa cur e	--|-|--⌫|----⌫-|--⌫-⌫|-|---⌫|
l un edesfoizen re ceuant	|--⌫|--|---|-|--⌫-----|
lesgranzco us mestsatargeauant	--|----|--⌫-|---|-|----|----|
a lautre f oiz sest reiail lir	||----|-⌫--|---|------⌫--|
lescous faita fail lir	--|---|---||----⌫--|
desoiuangi eresttrop	-|--|-----⌫-|--|---|
lo cheualieruai regar dant	-|--------|--|-----⌫---|
cueraisi grant destrac e	---|-|-|----|-------⌫|
lioilliruillenten	-|--|-|-------|-|
bi en per t asa mblant douuisaige	--⌫-|---⌫||--⌫-----|--|------|
me nace en son	--⌫---|-|--|
s onpointrega rdeetserepose	-⌫-|----|----⌫--|-|-|-----|
pormiez ferir dec est e chose	--|---|----|-|-⌫---⌫|----|
sesbaisse ntci lqui	|--------⌫-|--⌫|--|
lo bo ui erpourcouar t	-|--⌫--⌫-|---|-----⌫|
tiegnentap ares ce	-------||-⌫----⌫-|
cilquineseuents ap ro esc e	--|--|-|-----|-⌫|-⌫--⌫---⌫|
dart us oit ne	|--|--⌫--|-|
art ne auoit	--|-|----|
debatail leriensnesauoit	-|------⌫-|----|-|-----|
pour usaigenepournature	---|-----|-|---|-----|
maisdexliaidoitetdroiture	---|--|-|-----|-|-------|
li che ualie rsses en emis	-|---⌫-----⌫-|--|--⌫---|
au dess oz	-|----⌫-|
auo ir mis	---⌫-|--|
b ien cuide auoirfaitsa	-⌫--|----|----|---|-|
lai sselou q ue tochiern ou doig ne	---⌫--|--|-⌫-|------||-|----⌫-|
touzt r essuanz	---|-⌫-⌫------|
setrai t errier e	-|----⌫|------⌫|
de pensee fie re	-|-----|---⌫-|
maceauiseemant	---|---------|
loferi t si	-|----⌫|-|
tresduremant	---|-------|
suslonou doubr azquelaiointe	--|-|--|--|--⌫-|--|-|-----|
liaitoute ro uteetdesi ointe	-|-|----|--⌫--|-|----⌫----|
do ucorsli t ost laforce	--⌫|---|-|-⌫--|-|----|
la i ointe dou c ou teq uestr oute	-|-⌫----|--|-⌫--⌫-|-⌫|--|-⌫---|
pasmezdedo lourch ietaterre	-----|-|--⌫---|--⌫--||----|
liboui ersnouwetplus requerre	-|----⌫--||-|--|---|-------|
ilcuidequ a	-|----|-||
lu i apruc h ie r	--⌫|-----⌫-⌫--⌫|
nedoie plusneluitouchier	-|---|---|-|--|-------|
arrier s s etraithe quelsi mplac e	------⌫|-⌫|----|-|---|--⌫-----⌫|
laisse lonou touchen e	-----|-||-|-----|-⌫|
lau tredepamisonreuient	|--⌫--|-|------|------|
pue tsoirlo	---⌫|---|-|
senzleuersessietquarla	---|----||-----|---|-|
troplogrieue mout	---|-|-----|---|
bouie rscaruosleuez	-----⌫-|--|--|----|
sep luscombatreuo sda ue z	-|-⌫--|-------|--⌫|--⌫--⌫|
a trop granthonte lo	|---|----|----|-|
se sietfe roie	-|---|--⌫---|
trop me sambleroitgrant uergo igne	---|-|---------|----|-----⌫---|
orsusf ac ons nostrebes oigne	-|--|-⌫--⌫--|-----|---⌫----|
lipubl esritliprozescrie	-|----⌫-|--|-|---|-----|
au cheualierqu	-|--------|-|
c o m euoincuz ouq uesenz fai lle	-⌫-⌫-⌫|------|-|-⌫-|---|---⌫--|
purgierles tuet perlabataille	------||--⌫---|--|-|-------|
aroicest eparoleuie nt	|--|----⌫|-----|---⌫-|
lir oisresponditquilcouient	-|-⌫--|--------|-|-|------|
quilfeniss en tcesteb ataille	-|-|------⌫--⌫|----|-⌫------|
l iproz au bouier	-⌫|---|-|-----|
qu ilassaille	-|-|-------|
son henemi	--|-----|
dit etcom an de	--|-|---⌫--⌫-|
departlo roy quainsinc lo	-|---|-|--|-|------|-|
aucheuali erq uil	-|-------⌫-|-⌫|-|
sed effende	-|-⌫------|
dis taussiouuoincu	---⌫|----|-|-----|
sire leuezsus	---|----|--|
dist libouiersse uo stredro it	---|-|------|-|--⌫---|---⌫-|
uo lezplusc ontre	--⌫--|---|-⌫----|
moi debat re	--|-----⌫-|
tantconuos sesezla	---|--|--|----|-|
neuoilsoruo se nnuleguise	-|---|--|--⌫|-⌫|---|----|
telest de moncuerla	--|--|-|--|---|-|
se uo s leuez ieleuerai	-|--⌫|----|-|------|
seuosseezaussif erai	-|--|---|----|-⌫---|
seuo spoez siuosleue z	-|--⌫|---|-|--|----⌫|
maistrop estes	---|---|----|
cecuitgreuez	-|---|-----|
se u oliezleuer	-|-⌫----|----|
aterre choi ruos cou end roit	|----|----⌫|--|---⌫---⌫---|
aubouie rentoutemeniere	-|-----⌫|-|----|------|
c omandeli	-⌫-----|-|
p rozquelofiere	-⌫--|--|-|----|
fierfai tilquarlui con quer ir	---|---⌫|-|---|--|---⌫----⌫-|
tum esqueper ferir	-|-⌫----|--|----|
ilcouien tquetuli	-|------⌫|--|-|-|
non deuoincuouuoincuzsoies	--|-|-----|-|------|----|
