SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
Quen uisez cemesaig ecedi tRichierslib ers .	----⌫----|-|------⌫|-|--⌫|-------|-|-⌫--||
-O ïlditFloouanzielou que noisasez .	|-⌫--|--|-------|-|--|---⌫---|---||
uenezauantGuimarmoult f aites à	----|----|-----|----|-⌫----|-|
Chanbe llanzfusmon pe remout tes o loi eamer.	------⌫----|--|--|--⌫-|---|-|-⌫-⌫---⌫|---||
Pormoitaifaitmespe r esdema	--|--||-|---|--|--⌫-⌫-|-|-|
te rr egete r	--⌫--⌫|----⌫|
Iemaisnete f audraipor nulhomemortel .	-----|-|-|-⌫-----|--|--|---|-----||
distGuimarzie iuiens	---|------|-||----|
uos treper esuosmandequeuoslo u secorez	---⌫--|---⌫-|--|----|--|--|--⌫|------|
de Per sieetr estozsesbarnez	-|---⌫--||--⌫----|--|-----|
Auchat elde Loonlonpa i en s	-|----⌫-|-|---||-|--⌫-⌫--⌫|
ansarr é .	------⌫-||
u o stremere laiante	-⌫-⌫---|---|-|----|
u os mande s ireque u oslasecorez	-⌫-|----|-⌫--|--|-⌫-|-|------|
Quantl a ntantFloouanz	----||-⌫----|-------|
si a n oti oietel.	-|-⌫|-|-⌫--|--||
A Dexdit Floouanzuo sso iezo rez	|--|--|-------|--⌫|--⌫--|-⌫--|
Q uantcelui	-⌫---|----|
me r equier t quitant m	-|-⌫------⌫|--|---||
o tan uité	-⌫|-|----|
chaça i deFranceà mout petitbar né.	------⌫|-|-----|-|---|----|---⌫--||
R ichi erset lou	-⌫----⌫--|-|--|
roi Florequi multfo nt àloer	--|----|--|---|--⌫-|-|---|
Floouanslesanaimentenantapelez.	-------|--|-|-|--------|-----||
Se ignorsditFloouanzquelconsot medonez	--⌫-----|--|-------|---|-----|-|----|
sim emande etmamere ausimant	-|-⌫|----|-|-|---|-------|
Lamiraus l aiessisàL oonlacité	|------||-|----|-|-⌫--|-|----|
So ielisecoranza uplustotque po rez	--⌫-|-|-------|-⌫|---|--|--|--⌫--|
-SireditliroisFlores	|---|--|-|---|-----|
q uef eriez	-⌫-|-⌫----|
Secorezuostr epere ne lideuezfauser	------|-----⌫|---|-|-|----|-----|
fe raima g anttot	--⌫--|-|-⌫--|--|
metenantmander .	-------|-----||
- Siredi tFl oouanz.uc. mercide	|---|--⌫|--⌫-----||-||----|-|
ditIoceranz .I.petitmantandez	--|-------||||----||-------|
P r essumesde n osterres si uolomesauler	-⌫-⌫-|----|-|-⌫-|-----|-|------|----|
Chacuns an	------|-|
sonpa ïsporsa ga nt	--|--⌫--|--|-|--⌫-|
Tuituandro nsco ntreuos auchat eldAuuil ers.	---|------⌫-|--⌫---|--|-|----⌫-||-----⌫--||
-Seignourdit FloouanzDex uos an	|-------|--|-------|--|--|-|
saichiegr é .	------|--⌫-||
Atantont priscongiésisansonttuit	----|--|---|------|-||-|---|---|
Chacun san sonpaïsai sa gantamené	------⌫|-|--|----|-|-|---|-----|
ContreFloouantu ienentauchatel	-----|-------|-⌫-----|-|-----|
dAu uil er	|--⌫---⌫-|
L i rois Flores dAusa	-⌫|---|-----||---|
ai seshome smandez	-|--|----⌫|-----|
Etfurentbien.XXm.quant ilson tessanbl e z	-|-----|---||--||----|-|---⌫|-------⌫-⌫|
Tu itmurentdeBaufortq u an til futa iornez	--⌫-|-----|-|------|-⌫-⌫--⌫|-|--|-⌫-----|
Etantrent an Borgoin epor mi l eu s on tpasez	-|------|-|-------⌫|--|--⌫-⌫-|-⌫--⌫|----|
Ou moitande loru oieont.I.	-|-----|-|--|-⌫--|--||||
chateltroué	-----|-----|
Ce lu i futEmelondeBauiereloub er	--⌫--⌫|--|-----|-|------|--|-⌫-|
MasSaraz inslauoienttres tot de sarité	--|-----⌫--||------|----⌫--|--⌫------|
l auoient pri slai où uintde be rser.	|------|---⌫|--|--|---|-|--⌫---||
Très deuant son chatellauoientamené	----|-----|--|-----||------|-----|
Ando usles	----⌫-|--|
poinzl iezlesiauz	----|-⌫--|--|---|
d ouchief b andez.	-⌫-|----|-⌫----||
Iluqu es f onp aiens	-----⌫-|-⌫-|-⌫----|
unesforche sleuer	---|------⌫|----|
Emelonuolent pandreet a u uant ancrou er.	-----|-----|-----|-|-⌫|---|------⌫-||
Oezqu éauen tur eIesulia	--|--⌫-|----⌫---⌫|---|-||
Dexsei tbienquam lui plait ses	--|---⌫|---|---|--|----|--|
homesdeliu rer.	----|-----⌫--||
Atante uos Richiers quigant isfut	----||--|-------|--|----⌫-|--|
Qui menoitl auangarde à. III Ic .	--|-----||--------|-||---⌫-||
Iaaiderapaien slesforches àleuer.	-|-----|-----⌫|--|------|-|----||
Ri chiersquenutmou tbien S a razinset	--⌫-----|-----|---⌫|---|-⌫-⌫-----|-|
Il esc rieMonioiefrans cheualierferez	-|---⌫--|------|----|--------|----|
Sonch euau l faitsa ntir	--|--⌫----⌫|---|--⌫---|
s esesperons dor ez	-⌫-|-------|---⌫-|
Plustotqu ilonquespou tu etferirMa ula tré	---|--|-|-|-----|---⌫|-⌫-|----|--⌫---⌫---|
Cile stoitniéslo u ro iG alie ns l	--|-⌫----|----|--⌫|--⌫|-⌫----⌫-||
Oucorslimitlensaigne	-|---|-|--||-------|
del espiéno elé	-||-----|--⌫---|
Totepl ene salancelaimortescr euanté	---|--⌫--|-|----||-|---|----⌫------|
Puis referi.I.	---|-----||||
autre quil a i	----|-|-|-⌫|
àmortliur é.	-|---|----⌫-||
Il aitrait e le spéedonilfut adobez	-|-|-----⌫||-⌫----|--|-|--|-----|
Sife r i . I. paiensor	-|--⌫-⌫||||----|--|
son elmegeme z	--|---|----⌫|
Quetotl ai porfandudusqu eau nousdoubau dre ́	--|--||-|-------|-----⌫|-|---|--|---⌫---⌫|
Paie ns tornen tanf ue etEmelonremest	----⌫-|------⌫|-|-⌫-|-|-----|-----|
Et Franc ̧oi s	-|-----⌫---⌫|
le s acoi l ent olesbra nz acerez	--⌫|----⌫-⌫--||--|---⌫-|-----|
T oz lesont	-⌫-|--|--|
de co pezo les	--⌫--⌫--||--|
branz acerez.	----|-----||
De.X um.quifurent ieuos	-||-⌫-||-||-----|-|--|
d ipor uerte ́	-⌫|--|-----⌫|
Nanesch apeque .C.des	|-|----⌫--|--||||--|
glo to ns p ari uré.	---⌫--⌫-|-⌫---⌫---||
Em elo nsuoitRichie rsil	--⌫---⌫-|---|------⌫|-||
Sireuos mauezbiendecest maul pasieté	---|--||---|---|-|---|---|--|----|
fazciomaige etdroiteféauté.	--|-|-----|-|-----|-------||
Quant Richiers lenten disi	----|-------||-----⌫-|-|
estaua ntpasez	--|---⌫-|----|
Entrebaisié s e sontli cheual ier menbrez .	-----------|-⌫|---|-|------⌫--|------||
Richierslirant saterree tdelonc etde	-------|-|---|-|----|-⌫|-|---|-|-|
Et trestotcel eschec liai ancordoné	-|------|--|-----|-|-|----|----|
Esteslouroi	----|--|--|
Flore etFl oouanlouber	----|-|--⌫----|--|--|
H emelonpritrentla nuit	-⌫-----|-------|-|---|
Por matinetàlaubesesunt ancheminé	--|------|-||---|-|---|---------|
Tant cheuau che ntquiuindrentauch atel	---|------⌫---⌫-|-||-------|-|--⌫---|
Laitroua i Floouanzs agantetson	--|-----⌫|-------|-⌫|---|-|--|
Ça s qui sont	---⌫|--|---|
auecluid e prisondeliuré.	---|--|-⌫|-----|-------||
Lipiresli a moi ne . M. cheualiers	-|----|-|-⌫---⌫-||||---------|
. LX. milefurentquant	|-||---|-----|----|
ilsontaiost é.	-|---|-----⌫-||
Ta nt ont erréansanble	--⌫-|--|----|-------|
l i cheuali ermanbrez	-⌫|-------⌫-|------|
Quil ont uéulatourde	-|-|--|---|-|---|-|
la b onecit é	-|-⌫--|---⌫-|
Pordesuisontchosi	--|-----|--|----|
.I. confenonli ué	|||-------|--⌫--|
Etuoientles	-|-----|--|
gran zs ai ge s des	----⌫|-⌫--⌫--⌫|--|
p aiensdesfaez.	-⌫----|------||
Seignou rs dit Floouanz	-------⌫-|--|-------|
q uel consotmedonez	-⌫--|-----|-|----|
-Sirecedit Richiersseuos	|---|-|--|-------|-|--|
lou co mman der	--|--⌫----⌫--|
Gi raiauo stre	|-⌫--||--⌫---|
perelesnouelesconter	---|--|------|-----|
Que uoslouseco reza ̀.XXXm. ar mez	--|--|--|----⌫--|-⌫||---||--⌫--|
Qua ntiesaraléan za seztotlousarez	---⌫-|-|---|-----⌫|-⌫--|--|--|----|
Ie feraisuisla to rmon	-|----|---|-|--⌫|--|
confenonleuer	-------|----|
Etuoscheu auchiez sire quantuoslou	-|--|----⌫------|---|----|--|--|
tot ferirdes loigeset	--|----|--|-----|-|
Quantno ss aron sléanzgarniz	----|--⌫|-⌫----⌫|-----|-----|
etconra ez	-|-----⌫-|
Siironsessaili r	-|----|-------⌫|
Que du nepartque dautre saronts i escrié	--||-⌫-|---|--||----|-----|-⌫|------|
Nesa rontSarazins	-|--⌫---|-------|
quép artdoient torner	---|-⌫--|-----|-----|
Iltornerontenfuenesaront	-|--------|-|--|-|-----|
- Richiers dit F loou anz uo sauez dit	|-------|--|-⌫----⌫--|--⌫|---|--|
que b e rs.	--|-⌫-⌫-||
Aicelleparolesane stRichierstorn ez.	|-----|-----||-|-⌫-|-------|----⌫-||
paro lesa nest	----⌫-||-⌫|--|
tornezRich i e rs	-----|----⌫-⌫-⌫-|
très bienarme z sor.I.co rantdes trié.	----|---|----⌫|--||||--⌫---|---⌫----||
E nlost cestut s anant re des orl erme	-⌫||--|-----||-|---⌫-|---⌫-||---|
anb runchié	---⌫-------|
Pa setrezetaucubesetces pauoilons	--⌫-|---|-|------|-|--|--------|
Dusq u eautrélamir a ul	----⌫-⌫|-|---||----⌫-⌫-|
ne fine de	-|---|-|
broichier .	--------||
De uant loutrefd epail e ot . I.	--⌫---|--|---|-⌫|----⌫|-||||
arbrefoilié	----|------|
So r lerbequifutuerzot. I	--⌫||---|--|--|---|-|||
.pailedesplié	|----|-------|
Laisesietl	--|-|---||
aumatrezetliroisGaliens	-------|-|-|---|------|
Et iuentas es chas	-|----|-|--⌫---|
licuuerzrenoiez.	-|-----|------||
Ata ne uo s R ichiersquileaarai niez	---⌫||--⌫|-⌫------|--|-||----⌫---|
delesp i ésest l i	-||---⌫-⌫-||--|-⌫|
bers apuie z	---|-----⌫|
Sarr aze noisp a ro lebemanfut an soigniez	----⌫---⌫---|-⌫-⌫--⌫-|--|-|--|--⌫-------|
Etdi t àlaumatré Traiezcech eualier	-|--⌫|-||-------|-----|-|--⌫------|
S iesforce z ce	-⌫|-------⌫|-|
roiquisie stmis	--|--|-|-⌫-|--|
Quan t lententl aumatrezs ian	----⌫||-----||-------|-⌫|-|
estcorociez.	--|-------||
uosfait ilqui mecontralie z	--|---|-|--|-|---------⌫|
ParMahonmotie croiuos l oucom paro iz chie r.	--|-------|-|---|--|-⌫-|---⌫----⌫-|----⌫||
-uosi m entez cuuersc eli a i dit	|--||-⌫----|-----|-⌫|-|-⌫|--|
Ain zuos dirai e schecàmespée dacier .	---⌫|--|----|-⌫----|-||-----||----||
Richiers fiertlaumatréa mont	-------|----||-------|-⌫---|
parmilou chief	----|--|----|
L a tes tean	-⌫|---⌫-|-|
faituolerauaulsor l	---|----|----|--||
esch aquier	----⌫-----|
Pu isd itàlamir aul	--⌫-|-⌫-|-||----⌫--|
quine liuo utno ier	-||-|-|--⌫-|--⌫--|
Reten ezcet esche camirausGaliens	-----⌫-|--|-----⌫|------|------|
uosenp ouezorb ienioe r	--|-|-⌫---|-|-⌫--|---⌫|
sorleschaquier.	--||---------||
Atant sanest	----||-|--|
tornez sorloucorantdestrié	-----|--|--|-----|-------|
Decià M onlo onnefi nedebroich ier.	---|-|-⌫----⌫-|-|--⌫-|-|------⌫--||
A l ator s	|-⌫|--||
droitl i uaillanzc heualier	----|-⌫|-------|-⌫-------|
Ahauteuoiz e sc rieLémoi a ntrerp ortier s.	|----|---|-⌫--⌫--|--|--|-⌫----|-⌫------⌫||
Etli portiersliditQuies	-|-|-------|-|--|--|-|
tucheu alier	-|----⌫----|
Ill iair esponduIeaiannon Ric hier	-|-⌫|-|-⌫------|-|-|-|--|---⌫---|
M es sires	-⌫-|----|
Floo uanzmai auro i enuo ié	----⌫---||-|-|--⌫|----⌫--|
Lesecorsli amoinebiensont .XXX.	-|-----|-|-----|---|---||--||
Quandci l l	----|--⌫||
aiantanduselcortdesuerrollier	-|------|--|---|------------|
L eguinc hotdelaporte	-⌫|-----⌫--|-|-|----|
puisie ntr aiRichiers.	---||-⌫---⌫-|-------||
Seauque sdemorasti alou conparastch ier	-|-----⌫|-------|-⌫|--|--------|--⌫--|
QueSa razinsestoientmontez	--|--⌫-----|-------|-----|
plusdun milier	---||-|-----|
A près Ri chier uenoi ent	-⌫----|--⌫----|-----⌫--|
porl aumatr éuoingier	--||------⌫-|-------|
Auporro n so rlou pinest desçanduzàpie ́	-|-----⌫|--⌫|--|--|--|---------|-|---⌫|
Porle sdegrezdemabreest uenuz ou	--|--⌫|-----|-|----|--|----|-|
plainchié	---------|
Et trouai Cloouisdo lante t corocie ́	-|-----|------|--⌫---|-⌫|-------⌫|
PorF loouant	--|-⌫------|
louco urmout irie ́	--|--⌫-|---|----⌫|
Etdol antq ueilfu t	-|---⌫--|-⌫-|-|--⌫|
forsd eFrancechacie ́	---|-⌫|-----|------⌫|
Carsi d uiautrefil	--|-|-⌫-|----|--|
li auoientbois ié	-|------|----⌫--|
Pormautal entauoient Damedeurenoié	--|------⌫--|------|------|------|
S oren taulé seruil amiraut	|----⌫|----|----||------|
Do ne ́lo raiSessoign ee t	--⌫--⌫|--⌫|-|--------⌫|-⌫|
len or quiati en	|--⌫-|--|---⌫-|
Mou en estCloouisdolanz et	--|-|--|------|-----|-|
c orroc iez.	-⌫-----⌫--||
Estesuoslo u	----|--|--⌫|
mesaige q uilifutanuoiez	------|-⌫-|-|--|------|
Richier s lesaluai	-------⌫|-|-----|
cortoisemant e tbien	-----------|-⌫|---|
CilDamedex	--|------|
deg loire quitoziorzfu tetier	-|-⌫----|--|--|---|--⌫|-|--|
Sautetgart Cl oouiset t ozçois q uil	---|-|---|--⌫----|-|-⌫-|----|-⌫|-|
Floouanzuostrefizmaià	-------|-----|--||-|-|
uos en u oiez	--|--⌫-⌫---|
Ausecoursuos amoine .XX Xm. cheua lier.	-|------|--|-----||--⌫-||-----⌫---||
F aitessorcele	-⌫----|--|---|
torceconfenon dr ecier	--|-|-------|--⌫----|
A doncsa raimessir es quà	-⌫---|--⌫--|--|---⌫-|-|-|
uossui spor	--|---⌫|--|
aimoutpresd	-|---|---||
ic ienz e n.I.boislaisi é	--⌫|--|-⌫||||---|-----⌫-|
Qu anti luauront	--⌫--|-⌫|------|
menseignesir ontTursdetrainchie r	|-------||--⌫--|---|-----------⌫|
Fai tesarmeruoshom es ett oz	---⌫--|----|--|---⌫-|-|-⌫-|
uosch eualier	--|--⌫------|
Siron sferir paien sà nos	|----⌫|----|-----⌫|-|--|
tro inch anzespiez	---⌫----⌫--|-----|
Delunepart	-||--|---|
seront essailizbien	-----|-------|---|
Sanpres se ront	------|--⌫---|
ua incuzocis	--⌫----|---|
et detrai nchiez.	-|------⌫-----||
Quan tla ntan dil i roisonquesne	----⌫||-⌫----⌫-|-⌫|---|-----|-|
fu tsi liez .	--⌫|-|---||
Qu antlaroïnelotsi plore de	--⌫--|-|-----||-|-|----|-|
PorFloouant	--|-------|
sonfi zquenFr ance	--|--⌫|-|-|--⌫---|
estrepairiez .	--|--------||
Totce que Richie rsditfutm outt ot	--|-|--|------⌫-|--|--|-⌫--|-⌫-|
ad obere t montentesd estriez	--⌫---|-⌫|------|-|-⌫------|
Ensuisl a tor on tmis louconfenonR ichier	-|---|-⌫|--|--⌫|--|--|-------|-⌫-----|
Puisisent d el au ileà	---|----|-⌫|-⌫|-⌫--|-|
çanz et àmiliers.	----|-|-|------||
Et Floouanzcheuau cheneseuot	-|-------|------⌫--|-|-|--|
atargier .	-------||
Oncque s na nsurentmotSarazinsn ep aiens	------⌫||-⌫|-----|--|-------|-⌫|-⌫----|
Dusque Frans	-----|----|
lesessailent	--|--------|
et dariés.	-|------||
ENlostsontestorm iSarazins	-||--|---|------⌫|-------|
etE sclers	-|-⌫-----|
Lamir ausGalienssest moulttotado bez	|----⌫--|------||--|----|--|---⌫--|
Ilai uest ulaubertsi	-|-|----⌫||-----|-|
P uisacinte	-⌫--||----|
les pée p rist	|--⌫---|-⌫---|
.I . esculisté	|||---|-----|
Après monteoucheuaulpr ist	-----|----|-|------|--⌫--|
l espi énoel é.	|----⌫-|----⌫-||
EtSarazin ssadobent	-|-------⌫||------|
escheuau sson tmo ntez.	-|------⌫|---⌫|--⌫---||
EtFrançoisles acoilentquibiense	-|--------|--|-------|--|---|-|
sontatez .	---|---||
Ill ucqu esuéisez	---⌫----⌫-|------|
. I.estourandu ré	|||-----|----⌫--|
TantSarazi smorir etbraire	---|------⌫|----|-|-----|
et ianbeter .	-|-------||
Françoisfierentdeslance s des e spieznoele z	--------|------|--|-----⌫|--|-⌫----|-----⌫|
Copent lor braze tt estesuorsent	-----|--|---|-⌫|-⌫----|------|
cordesettrez	-----|-|---|
Libon sroisCl oouisiferi	-|---⌫|---|--⌫----||---|
Etluiet Floouanz	-|--|-|-------|
sesontantrecontrez	-|---|-----------|
quenui tl autr egr anzc ous	------⌫||----⌫|--⌫--|-⌫--|
s esontdonez	-⌫|---|----|
Li escuzd elorcoussont f raiz et estrou e z .	-|----|-⌫|--|---|---|-⌫---|-|------⌫-⌫||
Floouanz fitso npereàla	-------|--|--⌫|---|-|-|
terr euerser	----⌫|-----|
Sorluises t arestezli gant isb achilers	--|--||--⌫|------|-|----⌫-|-⌫-------|
Illiéu st lates t e	-|-|---⌫-|-|---⌫-⌫|
for sdoubudesseru ré	---⌫|--|-|-------⌫--|
Qua nt Rich iersl iescr ieQ ue fa iz tuforsen ez	---⌫-|----⌫---|-⌫|----⌫-|-⌫-|--⌫-|-|------⌫-|
IaestceCloouis	-|--|-|------|
tonper e l a nd urez.	--|---⌫||-⌫--⌫---||
Qua ntlantant Floouanzespiezliest	---⌫-||-----|-------|-|---|-|--|
u enu zestà	-⌫---⌫|--|-|
sonpere merci li a	--|---|----|-||
Merciba ussire peresp orDeudema ïsté	----|--⌫-|---|----|-⌫-|--|-|--⌫-----|
Cest Floouanzt es fizq uiàtoiai goté	|--|-------|-⌫-|--|-⌫-|-|--|-|----|
Iene uos quenusmiece saichiez	-|-|--|-----|--|-|-------|
de uerté.	-|-----||
- Baus fizce dit	|---|--|-|--|
liperes tot uo s	-|----|--|--⌫|
so it pordonez	--⌫-|-------|
B eno oiteso itloreq uefutesangan drez	-⌫---⌫---|--⌫-||--|-⌫-|----|-----⌫---|
Entrebaisiezsesontsiplo re nt de pitié	-----------|-|---|-|---⌫--⌫-|-|-----|
P uisrela cent l e s elmesque	-⌫--|----⌫---|-⌫-⌫|----|--|
il ore ntoste z .	-|---⌫-|----⌫||
Escheuausremonte rent quantontleschief	-|------|-------⌫---|----|--|--|----|
E tacollentpaiensoles	-⌫|-------|-----||--|
branz acerez	----|-----|
Quant Franset	----|----|-|
Au lemansfurent	--⌫-----|-----|
entr eiotez	----⌫-----|
Onquesni ot	-----|||-|
estor soutenudesEsclers	----|------|--|------|
CarSarazinsnep o rentsofr irne	--|-------|-|-⌫-⌫---|----⌫-|-|
DOLANZfutGaliensquantuoit mor irsagent	-----|--|------|----|---|---⌫-|-|---|
Ilbroich ele	-|------⌫|-|
cheuaul desesperons dargant	------|--|-------||-----|
uaiferir Gu ine man t	--|----|--⌫---⌫---⌫|
moutai ̈rie mant	---|--⌫----⌫---|
Lescu liaiporcié et	|---|-|-|------|-|
l aub erlidesman t	|---⌫-|-|------⌫|
Oucor slimistlou	-|---⌫|-|---|--|
ferdesonespie ́trainchant	--|-|--|-----⌫|---------|
antelidurel abatimorts anglant .	---|-|---||----|---|-⌫------||
Q uantFlooua nz l euoitàpou neper	-⌫---|------⌫-|-⌫|---|-|--|-|--|
Pormautalentuers luiaib roichiélauferran	--|--------|---|--|-|-⌫-------||-------|
lamira utmoutaïriement	|-----⌫-|---|---------|
Te l coplia idonédesonesp ie ́trenchant	--⌫|--|-|-⌫|----|-|--|---⌫--⌫|--------|
Qu egarantne	--⌫|-----|-|
lifutMa ho ne tTau ergam	-|--|--⌫--⌫|-⌫|---⌫----|
Qu e latestenenface	--⌫|-|----||-|---|
uoleranmilouc han.	----|---|--|-⌫--||
estuoincuepai ens senuont	--|------|---⌫--||-|---|
EtFrançoislesenc haucentBau iersetAul ema nz.	-|--------|--|---⌫------|---⌫---|-|---⌫---⌫-||
De ci q ueà une eueles	-|-|-⌫-|-|--|--|--|
anmoinen tbata nt	--------⌫|----⌫-|
Ain çoisquifusento utree ni otnoiétan t	---⌫----|-||-----|-⌫---|-⌫||-|----|---⌫|
Que nus n ensautlounombre de	--|--||-|---|--|-----|-|
cest segl e uiuant.	---|----⌫|-----||
Les.II.fizCloouis	--||-||--|------|
cu Damedexcreuant	-|------|------|
Liuns si ifutmorz	-|--|-||--|---|
l a ut res senuai	|-⌫--⌫--||-|--|
Todroitemant àBam eau	-|---------|-|---⌫|-|
raine ́ G aliam	-----⌫|-⌫----|
Lail elur entàro Saraz insetPe rsa nz	--||----⌫--|-|-|-----⌫--|-|--⌫---⌫-|
