Monsieurl arc euesquede	-------||---⌫------|-|
sa compaignyeet all eguoyentlincon uenientadue nu	-|---------|-|---⌫-------||-----⌫------|----⌫-|
a ̀songrantpe ̀reà	-⌫|--|----|--⌫--|-|
M o ntereau	-⌫-⌫------|
Yonnep resentleroy	----|-⌫-----|-|--|
Charles septi esme	------|-----⌫---|
Inco ntinentfeïrent retr aire dedanslostce	----⌫------|-------|----⌫---|-----||--|-|
qui estoit	--|-----|
deho rspourme nan taux c hamps	----⌫-|------⌫---⌫|--|-⌫----|
lem ares chalde	-|-⌫----⌫---|-|
Bourgo ngne appelléde	------⌫---|-------|-|
N eufchastelpoursonsurno m deceste	-⌫---------|---|--|-----⌫|-|----|
Siceieun e	-|-|----⌫|
princefol ou enraigés	-----|--|-|-------||
estall éperdre neper dons pa s samaison	--|---⌫-|-----|-|---⌫---|--⌫|-|-----|
ne lefaitde so npe ̀renele nostre	-|-|---|-|--⌫|--⌫--|-|-|-----|
Et pource que ch ascunseretireensonlogis	-|---|-|--|--⌫----|-|-----|-|--|----|
et setiengneprestsans soyesbahi r de fortunequi	-|-|------|----|---|--|------⌫|-|------|--|
aduiengnecar nous sommessuffi sans	--------|--|---|-----|-----⌫---|
nous tenans ensemble denous reti reriusqu es èsma rches	---|-----|-------|-|---|----⌫--|-----⌫-|--|--⌫----|
H enaultou de	-⌫-----|-|-|
Picardieouen	-------|-|-|
Bourgon gne	-------⌫--|
Aprèscesparolle smontaà cheualet leconted e	-----|--|-------⌫|----|-|-----|-|-|----|-⌫|
Polseproumenoyth ors de	--|-|---------|-⌫--|-|
lostregardant	|--|--------|
s il uiendroitri ens de deuers	|-|--------|--⌫--|-|-----|
Aprèsyauo irestéunelo nguepièce ueïrent	-----||---⌫-|----|--|--⌫---|-----|-------|
ueni r quaranteou c inquantecheuaulxe t	----⌫|-------|-|-⌫-------|-------|-⌫|
yestoitledict	|-----|-----|
Charroloysetautresdesgens	---------|-|-----|--|---|
du r o yqui l e ram e noyenttantarch iers que autreset	-|-⌫-⌫|--|-⌫|---⌫-⌫-----|---|----⌫---|--|-----|-|
c om m eill esueïtapprou cherfist ledict	-⌫--⌫-⌫|-|-⌫-|----|------⌫---|---|-----|
s eig neurde	-⌫---⌫---|-|
Cha rroloysr etournerceulxqui	---⌫------|-⌫-------|----|--|
l a cc ompai gnoyenteta dressasaparolle	|-⌫--⌫-----⌫------|-|-⌫-----|-|------|
audictmareschalde	-----|--------|-|
N eufchastelq uilcr aignoitcari l usoitdetr èsaspre s	-⌫---------|-⌫|-|--⌫------|--|-⌫|----|-|--⌫--|-----⌫|
paroll es etestoitbonetloyal	------⌫-|-|-----|--|-|----|
cheu alier pourson p artyetluy	----⌫----|---|--|-⌫---|-|--|
osoi tbie ndire	----⌫|---⌫|---|
uousque par emprunttant	---|--|--|------|---|
c ommeuost repère uiura	-⌫---|----⌫-|----|----|
Lesparolles dudict contefurent	--|-------|-----|----|-----|
Nemetensez pointcariecongnoisbienmagran t	-|-|-----|----|--|-|-------|---|-|----⌫|
folyemais iemensuysapper ceü sitardque	----|---|-||-|---|-----⌫---|-|---|--|
iest oie p re ̀sdu boulleuart	|---⌫--|-⌫--⌫-|-|---------|
P lusluy dist ledictmareschalensa presence qui l	-⌫--|--|---|-----|--------|-|-|-------|-|-⌫|
faict ensonabscence	----|-|--|-------|
Le dict seigneur baissalatestesansriensres pond re et	--⌫---|-------|-----|-|----|---|----|---⌫----⌫-|-|
reuintdedanssonostoù tousesto ient ioyeuxde	-----|-----|--|--|--|---|----⌫---|-----|-|
lereuoiretlouoitchascun la	-|-----|-|-----|------|-|
foy du roy	--|-|--|
Toutes fois n ereto urnaoncquesdepuisledict conteen	------⌫---|-⌫|----⌫---|------|-----|-----|----|-|
sapuissance	-|--------|
Commentla ppoinctementfut faictentre leroyet les	------||-⌫-----------|--|----|----|-|--|-|--|
seigneur squi f utappe lléle	--------⌫|--|-⌫-|----⌫---|-|
traictié de	--------|-|
Finable ment to u t es chose sfurent a ccordée setle	-------⌫---|--⌫-⌫-⌫-|-----⌫|-----|-⌫--------⌫|-|-|
lend emain fistl econte de	----⌫----|---|-⌫|----|-|
Charr olo ysune g ran dmons tre poursçauoirquelz gensil	-----⌫---⌫-|--|-⌫---⌫|----⌫--|---|-------|----|---|-|
au oit etce	--⌫--|-|-|
quil pouoitauoirperdu	-|-|-----|----|----|
Etsa ns diregareyreuint	-|--⌫-|---|---||-----|
leroyauecquestr ente ouquarantecheuaulx et	-|--|-------|--⌫---|-|-------|-------|-|
allaueoirtouteslescom paignies	---|----|-----|--|---⌫-------|
luneaprèslautresaufcel lede	|--|-----||----|---|---⌫-|-|
ce maresc h alde	-|------⌫-⌫-|-|
Bourgong ne le quel naymoitpasler oyà c ause	--------⌫-|--⌫---||-----|--|-|-⌫-|-|-⌫---|
quedespi èça	--|-----⌫----|
L orrayn equeledict seig neurlu yauoit	-⌫------⌫|--|-----|----⌫---|--⌫|----|
Espinaletp uisostépour ladonnerau duc	------|-|-⌫--|----|---|-|-----|-|--|
Calabredo nt gran tdommaige enauoit eu ledic tm areschal	------|--⌫-|----⌫|-------|-|----|-|-----⌫|-⌫-------|
Peu à peureconci lioytleroya uecques	--|-|--|-------⌫----|-|--|-⌫------|
l uylesbonsetnotabl esc heualiersquiauoien tseru y le	-⌫-|--|---|-|------⌫-|-⌫--------|--|------⌫|----⌫|-|
roysonp èrelesq uelz il	--|--|-⌫---|----⌫---|-|
auoitdesappointézàsonad uè neme ntà l acouronne	----|------------|-|--|--⌫---⌫----⌫-|-|-⌫|-------|
etquepources t ecausesestoyentt rouuézà	-|--|---|---⌫-⌫|----||-------|-⌫------|-|
ces te a ssembléeetcongn o issoitle dictseigneur	---⌫-|-⌫--------|-|-----⌫-⌫-----|--⌫---|-------|
son e rreur	--|-⌫----|
quelelendemainleroyse	--|-|--------|-|--|-|
trouue roita uchasteau dub oysde	------⌫---|-⌫|-------|-|-⌫--|-|
uincenneset touslesse igneurs q ui	--------|-|---|--|--⌫------|-⌫-|
auoyenta ̀ luyfai rehommaigeet pou rseürte ́d etous	------|-⌫|--|---⌫-|-------|-|---⌫|-------⌫|-⌫|---|
bailleroitleroylechasteaua u con tede	---------|-|--|-|-------|-⌫|---⌫-|-|
Char r oloys	----⌫-⌫----|
Len d emainse ytrouuale roy ettou sles	---⌫-⌫----|-||-----|-|--|-|---⌫|--|
princessans en faillirung	------|---|-|------|--|
et estoit le portal	-|-----|-|-----|
portebiengarnydesgen s dudictcontede	----|---|----|--|---⌫|-----|----|-|
Charro loys enarmes Làfu t le lieu où se	------⌫---|-|----|--|--⌫|-|---|--|-|
feïstletraic tédelapa ix	-----|-|-----⌫--|-|-|--⌫-|
Monseigneur	----------|
Charles fisthomm aigeaur oyd eladu ché de	------|---|----⌫---|-|-⌫-|-⌫|-|--⌫---|-|
Normandieleconte	--------|-|----|
Charroloysdesterresde	---------|--|-----|-|
Picardyedont i laestéparléetaut r esquien	-------|---|-⌫||----|-----|-|---⌫-⌫-|--|-|
auoyent affaireetleconte	------|------|-|-|----|
Polfist les ermentde son off icedeco nnesta ble	--|---|-|-⌫-----|-|--|---⌫--|-|--⌫------⌫--|
Ilny eutiamaissi	-|||--|-----|-|
bonnesnopces quil	-----|-----|-|-|
eustdemaldisnéz	---|-|--|------|
Lesungsfeïren t c equ	--|---|-------⌫|-⌫|-|
ilz uouluren tlesautres n eurentri ens	--|--------⌫|--|-----||-----|--⌫--|
Des moy ensetbon s personnag esentyra leroy	--|---⌫--|-|---⌫|---------⌫-|-|---|-|--|
Toutesfoi slaplu s	---------⌫|-|---⌫|
grantpart demeure ̀ rent auecle duc	----|---|-------⌫-⌫---|---|-|--|
n ouu eau de	-⌫---⌫--|-|
Normandieetauecle	--------|-|---|-|
Bretaigne quiall èrentà	--------|--|---⌫-----|-|
Rouenpre ndre	----|---⌫---|
leurpos session	---|---⌫------|
Aupartirduchaste aududic tboys de	-|-----|-|------⌫-|-----⌫|---|-|
uincennespr indrent touscong iél ung de	--------|--⌫------|---|----⌫--||--|-|
la utre e t seretirachas cun àsonlogis et	|-⌫---|-⌫|-|-----|----⌫--|-|--|----|-|
furentfaictes tout e slectresetpardons ett outes	-----|------|----⌫-⌫|------|-|------|-|-⌫----|
a utrescho sesnecess airesseruansaufaictdel apaix	-⌫----|---⌫--|------⌫----|------|-|----|-|-⌫|---|
Ettoutenungiou rpa rtir entleduc	-|---|-|--|---⌫|--⌫----⌫--|-|--|
N orm andie et leducde	-⌫---⌫----|-|-|--|-|
Br et aignepour eulx retirer	--⌫--⌫----|---|---|------|
enson dict paysde	-|---⌫---|---|-|
B retaigne et lecon tede	-⌫-------|-|-|---⌫-|-|
Ch arroloyspou r re tir eren	--⌫-------|---⌫|--⌫---⌫-|-|
E t comme le dict cont e fut	-⌫|----|--⌫---|----⌫|--|
e ntrainl e royu intà luyet leconduysit	-⌫|----|-⌫|--|-⌫--|-|--|-|-|--------|
iusq ues à	----⌫--|-|
uil liersle	---⌫----|-|
Belquiestung	--|--|--|--|
uillaigea ̀quatr el ieues	-------|-⌫|-----⌫|-⌫----|
Parismonstrant par effect auoir	----|--------|--|-----|----|
unggrantdesirde	--|----|----|-|
l amitié dudic tco nte	|------|-----⌫|--⌫--|
ettousdeux ylogèrentcesoir	-|---|---||--------|-|---|
Leroyauoit	-|--|----|
peudegens mai silauoitfaict	--|-|---|---⌫|-|----|----|
uenirdeuxcenshommes	----|---|---|-----|
pourleracondu yredontfutaduer ty l eco nte de	---|-|-------⌫--|---|--|-----⌫-|-⌫|--⌫--|-|
Charrol oys en	-------⌫--|-|
se couchant	-|-------|
entra enunetrè sgrantsuspici on et feï st	----|-|--|----⌫|----|-------⌫-|-|----⌫-|
armerlargement g ens	----|--------|-⌫--|
Ainsipouez ueoir	----|----|----|
quilest p resquei mpossib lequede u x	-|-|--|-⌫-----|-⌫-------⌫-|--|--⌫-⌫|
grans seig neursse	----|----⌫----|-|
p uisse ntacc o rder pourlesrappor tz etsuspicions	-⌫-----⌫-|---⌫-⌫---|---|--|------⌫-|-|---------|
qu ilz on t	-|--|--⌫|
àchascuneheure	-|-------|----|
grans princ es qu iseuo u ldroientbien entreay mer ne	----|-----⌫-|--⌫|-|--⌫-⌫-------|---|-------⌫--|-|
sedeuroyent iamaisueoirmaisenuoyerbonnesgen s	-|--------|-----|----|---|------|-----|---⌫|
etsagesles ungs uers	-|----|--|---|---|
lesau tre set ceulxlàl es	--|--⌫---⌫|-|----|--|-⌫-|
e nt retiendroientouamande roi entlesfa ultes	-⌫--⌫------------|-|------⌫---⌫--|--|--⌫----|
Lendemaina umatin	--------|-⌫|----|
l esd eu x	-⌫-|-⌫--⌫|
seigneursdessud ictz prind r ent c ongié	--------|------⌫---|-----⌫-⌫--|-⌫-----|
lungdelautrea u ecquesqu elquessaiges	|--|-||----|-⌫-⌫-----|--⌫-----|-----|
E tretournale royà	-⌫|-------|-|--|-|
Pa ris enlacompaig niede c eulxquil	--⌫--|-|-|-------⌫--|-|-⌫---|--||
es toientallé	--⌫-----|----|
querir et celaostalasuspicionque o n pouoi t auoi r	-----|-|---|---|-|--------|--|-⌫|-----⌫|----⌫|
eudel euruenue	-|-|-⌫--|----|
Etleditco ntede	-|----|--⌫--|-|
Cha r roloysprintlechemin de	---⌫-⌫-----|----|-|-----|-|
Compi engneet de	-----⌫----|-|-|
Noyon et partout	----|-|------|
luy f utouu ertpar lecommand ementdu	--|-⌫-|---⌫--|--|-|-------⌫----|-|
royet de là à	--|-|-|--|-|
Amyensoùil rec eüt	-----|--|-|---⌫---|
leurho m maige etd eceulxde	---|--⌫-⌫----|-|-⌫|----|-|
lariuie ̀rede	-|-----⌫--|-|
Sommee tdes te rresd e	----|-⌫|--|--⌫---|-⌫|
Picard yequiluyes toientr estituée s parcestepaixdesquelles	------⌫-|--|--|--⌫-----|-⌫---------⌫|--|----|---|---------|
leroyauoitpayéq uatre cens milescuzd	-|--|----|----|-⌫----|---|--|----||
or nyau oit	-|||--⌫--|
pas neufmoys com mei aydictailleursicydes sus	--|---|---|---⌫-||-|---|-------|--|---⌫--|
E tinconti nentpassa oultr eettiraau pays	-⌫|-------⌫---|----|-----⌫|-|---|-|---|
Liége pou rce quil zauoyent	-----|---⌫|-|-|--⌫|------|
des iàf ai ctl aguer repa rl espace	---⌫--|-⌫--⌫-|-⌫|----⌫-|--⌫||-----|
decin qou sixmoi s	-|---⌫|-|--|---⌫|
pèreluy e stantdehors èspays de	----|--|-⌫----|-----|--|---|-|
N ammur et	-⌫----|-|
Braban tetauoyent desià	------⌫|-|------|-----|
Liége oysune destro usseentreeulx	------⌫--|--|------⌫---|----|---|
Toutes fois àcausedel yueriln y peüt	------⌫---|-|----|-||---|-|||----|
pas faire grant chose	--|----|----|----|
Gr a ntqua n tit édeu i l la gesfurentbrus lézet d epetite sdes trousses	--⌫-⌫-|---⌫-⌫---⌫-|-|-⌫-⌫-⌫--⌫--|-----|----⌫---|-|-⌫|------⌫|---⌫-------|
faictessurles	------|--|--|
Liégeoy s etfeïrentune	--------⌫|-|-------|--|
E t seobligèrentle sdic tz	-⌫|-|----------|--⌫----⌫-|
Liégeo ysàlaten irsurpeined un e	-------⌫-|-|-|---⌫-|--|----||--⌫|
grant sommede denie rset s en retournaledict	----|----|-|-----⌫-|-||-|-------|-----|
Com mentledu c	---⌫---|-|--⌫|
Normandies	--------||
enallaprendrepossessiondu dictpaysde	-|---|------|---------|--⌫---|---|-|
Normand ieen lacompaignie duduc	-------⌫-|-|-|---------|-|--|
Bretai gneet dece quisenensuyuit	------⌫--|-|-|-|--||-|-------|
Retour nanta udictz duc z	------⌫---|-⌫-----|---⌫|
Norm a nd ieetde	----⌫-⌫--⌫-|-|-|
Br etaigne quiestoient	--⌫------|--|-------|
al lézpren dre possessiondel aduché de	--⌫---|----⌫--|---------|-|-⌫|-----|-|
N or mandi edès	-⌫--⌫-----⌫|---|
ent réefutfaict e à	---⌫---|--|-----⌫|-|
Rouenilzse	----|--|-|
co mmence ̀rentàdiuiser quantce uint àd epartir	--⌫------⌫----|-|------|----|-|---|-|-⌫------|
lebutincar	-|----|--|
encoresestoientau e cques eul x ces cheu aliers q ue	------|-------|--⌫-⌫----|---⌫|--|----⌫-----|-⌫-|
i ay nommézqui auoi en t accoustuméd auoirdegrans	|-|------|--|----⌫--⌫|----------||----|-|----|
degranshonn eursduroy	-|----|----⌫---|-|--|
leursembloitbienqu ilzestoient à la	---|-------|---|-|--|-------|-|-|
find eleur	--|-⌫|---|
entre prinseetqueauroinese pouoient	-----⌫-----|-|--|-|--|-|-|-------|
fieretuou l u tch ascun en a uoirdum eilleu r endroit	---|-|---⌫-⌫-⌫|--⌫----|-|-⌫---|-|-⌫------⌫|------|
Dautr epartle	|----⌫|---|-|
Br etaigne enuo u loitdisposerenpa rti e ca r cest oit	--⌫------|-|--⌫-⌫---|-------|-|--⌫---⌫|--⌫||---⌫--|
luyqui auoitportéla plusgra nd	--|--|----|-----|-|---|---⌫-|
mise et le plusg randfaix	---|-|-|---|-⌫---|---|
Tellement seporta leur discordq uil	--------|-|----|---|------|-⌫|-|
faillutqueleducde	------|--|-|--|-|
Bretaignepour craincte	--------|---|-------|
desapersonnese retirastaumont	-|-|-------|-|-------|-|---|
Katheri neprès	-------⌫-|----|
Rouenetf utleurquestion	----|-|-⌫-|---|-------|
iu squeslàq uele sgensduduc de	--⌫----|--|-⌫-|--⌫|---|-|--|-|
Normandieauec ceul xde	--------|---|----⌫|-|
lauille de	-|----|-|
Rouenfu rent pres t z a ̀	----|--⌫---|----⌫-⌫|-⌫|
allerassa i llir ledi c t d ucde	----|----⌫-⌫---|----⌫-⌫|-⌫-|-|
Bretai gneiusques au lieudessusdictpar quoyfutc ontrainctde	------⌫--|------|-|---|---------|--|---|--|-⌫--------|-|
seretirerle dro itcheminuers	-|------|-|---⌫-|-----|---|
Bre taigne	---⌫-----|
Etsu rcestedi uision m archaleroyprès	-|--⌫|----|--⌫-----|-⌫----|-|--|----|
Etpouezpenserq uill	-|----|-----|-⌫|-||
entendoitbien	--------|---|
et quilaydoitbienà	-|-|-|-----|---|-|
leconduyre caril	-|-------|--|-|
estoit maistreen	-----|------|-|
cestescience	----|------|
U nepartiedeceulxquitenoientles	-⌫-|-----|-|----|--|-------|--|
bonnesplacescommencèrentà lesluy bailler et	-----|-----|------------|-|--|--|------|-|
enfa i releurapp oinctem e nt auecq uesluy	-|--⌫-⌫-|---|---⌫-------⌫-⌫-|-----⌫--|--|
Iene sça ydeces chosesque	-|-|----⌫|-|--|-----|--|
cequ ilm enacomptécar ien	-|-|-||-||------|--|-||
estoie point surleslieux	-----|----|--|--|----|
Ilprint ungparlementa uecques	-|----|--|--------|-⌫------|
Bretaignequi ten oitunepar tiedesplacesdela	--------|--|---⌫--|--|---⌫--|--|-----|-|-|
Normandieespera ntdel uyfaire haba ndonner sonfrère detous	--------|------⌫-|-|-⌫-|----|----⌫------|--|-----|-|---|
Ilzfurentquelque	--|-----|------|
peu de ioursensembleà	--|-|----|-------|-|
Caenetfi rentuntraitéparle quel lad icte	---|-|--⌫---|-|------|--|--⌫---|---⌫---|
Caenetau tres demourèrent	---|-|--⌫---|-----------|
èsmainsdemonsrd e	--|----|-|----|-⌫|
Lescu n a uecques quel quen ombre de	-----⌫|-⌫------|----⌫--|-⌫----|-|
gens pay ézm ais cetraictiée stoitsitro ubleque	---|---⌫--|-⌫--|-|--------|-⌫----|-|---⌫---|--|
iecroyque l ungnelaut rene	-|---|--||--|-||---⌫-|-|
lentenditia mais bien	|-------|--⌫---|---|
Et s en all aleditd u c de	-||-|---⌫|----|-⌫-⌫|-|
Bretaigneet	--------|-|
en retournatirant lecheminuersso n frère	-|-------|-----|-|-----|---|--⌫|-----|
uoyantledit	-----|----|
No rmandie quil nepouo itresisteretque le	--⌫------|-|-|-|----⌫-|-------|-|--|-|
roy print le	--|----|-|
Arche etautresplacessur luyse deliberade	----|-|-----|-----|--|--|-|-------|-|
pre ndrelafuytt e et	---⌫---|-|-----⌫|-|
de ti reren	-|--⌫--|-|
Charrolo ysestoit encor esà	--------⌫-|-----|-----⌫-|-|
Trondenunep etiteuilleo upays	----|-|--|-⌫----|----|-⌫|---|
Li ége assez emp eschél	--⌫---|----|---⌫-----||
arme ́ etoute	----⌫-⌫|----|
rom pu eetdeffaictee tentempsdyuer	---⌫--⌫|-|--------|-⌫|-|----||---|
e mpeschéecontre	-⌫--------|-----|
Liégeoyset luy d o uloitbiende ue oircest e diuisi on	--------|-|--|-⌫-⌫----|---|-|--⌫--|----⌫|------⌫-|
chosedu monde quil	----|-|----|-|-|
desiroi tleplus c estoitde	-------⌫|-|---||-----|-|
ueoirungducen	----|--|--|-|
N ormandiecar	-⌫-------|--|
parcemoyenilluyse mbloit leroyest reafoibly	--|-|----|-|--|--⌫-----|-|--|---⌫-|------|
tiercepa rtie	-----|--⌫---|
Ilfai soit ama ssergens sur	-|---⌫---|---⌫---|---|--|
P icardy epourmectrededans	-⌫------⌫|---|-----|-----|
Auantquilzfuss entprestzceluyquitenoitla dicte	----|-|--|----⌫--|-----|----|--|-----|--⌫----|
Dyeppeenfeïstsona ppoinctementauecquesle	-----|-|-----|--|-⌫-----------|-------|-|
Ainsiretourna	----|-------|
tou te ladic teduchéde	---⌫-|-----⌫-|-----|-|
Norm andiesaufles plac esqui demeurèrentà	----⌫----|---|--|----⌫-|--|-----------|-|
Le scun parlapp oinctement faict a ̀	--⌫---|--||---⌫---------|----|-⌫|
Retraitede	-------|-|
Charl esde	-----⌫-|-|
Normandiecommeiaydits estoitdeli beréungcou p	--------|----||-|--||-----|----⌫----|--|---⌫|
Fl andresmaissurlhe urese re concilièrent le	--⌫-----|---|--||--⌫--|-|--⌫------------|-|
B re taign e et luycongn oissans tousd euxl eurserreursetq ue	-⌫--⌫-----⌫|-|--|-----⌫------|---|-⌫--|-⌫---|------|-|-⌫-|
pardiu isionsep e rdent	--|---⌫----|-|-⌫-⌫----|
t out esl esbon neschos es	-⌫---⌫-|-⌫-|---⌫--|----⌫-|
