CO N STANTIN OPLE	--⌫-⌫-------⌫---|
mantel dora f ulésile	-----||-|-⌫-⌫---|-|-|
tendoitauantseur se n brachet auoit le tre s	------|----|---|--⌫|----|-|----|--⌫---⌫|
esc rites se u r	---⌫----|--⌫-⌫|
luiq uidisoi ent queto ut	--|-⌫-|-----⌫--|--|--⌫-|
c hi lfaitliymagesqui	-⌫--⌫|---|-|-----|--|
Constantino bleunandoiuentauoir ma n tel d	-----------⌫--|-|-|------|----|--⌫-⌫--||
oraussicommei ou ai	-|----|----|-⌫-|-|
Ailleurs en lechitéaune	-------|-|-|-----||--|
au t re porte que	--⌫-⌫-|----|--|
Seurchele po r tea uoitdeux olif ans ietés	---|----|--⌫-⌫-|-⌫---|---|----⌫--|-----|
decoi urequisi	-|---⌫--|--|-|
est oientgrant que ch estoit	---⌫----|----|--|-|-----|
unefin e mer uelle	--|---⌫|---⌫----|
Ichele porte nesto it	-----|----||----⌫-|
o nque s ouuertedeuantla que	-⌫----⌫|------|-----|-|--|
li empere resreue noitd e	-|------⌫--|----⌫---|-⌫|
b atailleetqueilauoittere	-⌫------|-|--|-|----|---|
Qua ntil reuenoit	---⌫-|-|-------|
de b atai lle et	-|-⌫----⌫--|-|
ila uoittere conquised ontsiuenoitli	-|-⌫---|---|-------|-⌫--|-|-----|-|
cle rgiés de lechitéapourchessionencont rel	---⌫-----|-|-|-----||-----------|------⌫-||
e mpereeursiouuroitonchele por tese li	-⌫-------|-|------|-|----|---⌫-|-|-|
am e noitonuncurred or qui estoitausi	--⌫-⌫---|-|-|----||-|--|-----|---|
faiscommeunscarsa quatre	---|----|--|---||-----|
roe sque on apeloitcu rreen senmi	---⌫|--|-|------|--⌫--|--⌫|-|-|
chucurreauoitun hauts iege	--|----|----|-|---|-⌫---|
et seurle siegeau oit	-|---|-|----|--⌫--|
unec aiiereete ntorle	--|-⌫-----|-|-⌫---|-|
caiiere auoi tquatr e colombesq uiportoientunhab itaclequiaomb r oit	------|----⌫|-----⌫|-------|-⌫-|--------|-|---⌫-----|--|----⌫-⌫--|
lec aiierequ i	-|-⌫-----|--⌫|
sanlo itq u i l fust toutdor	-----⌫-|-⌫|-⌫|---|---||-|
Siseoitli emp ereresenchelecai iere tous cor oné s	-|----|-|---⌫-----|-|----|---⌫---|---|---⌫----⌫|
si entroitenchelepo rte sile m enoit onseu r	-|------|-|----|--⌫--|-|-|-⌫----|-|---⌫|
chuc urrea g rant	--|-⌫---||-⌫---|
goieetagrantfe ste dusquesen senpalais	---|-||----|--⌫--|------|-|--|-----|
unautre lieuen	-|----|---|-|
lechitéauoitu ne	-|-----|----|-⌫-|
autremeruelle	----|-------|
q ueil i au oi tune plachequi	-⌫-|-||--⌫--⌫|--|-----|--|
pre s estoitdu palais d e	---⌫|-----|-|-----|-⌫|
ona pe loitles	-|-⌫--⌫---|--|
Ius l em p ereeu r	--||--⌫-⌫-----⌫|
I cheleplachesia bie narbaleste eet demie	-⌫----|-----|-||---⌫|---------⌫|-|----|
de loncetpr esdunede	-|---|-|--⌫-||--|-|
léentorcheleplachesiiauoitbien	--|----|----|-----|-||----|---|
trentede gré souquarantela o u l i	-----|--⌫----⌫|-|-------|-|-⌫|-⌫|
Griu montoientp oures warderlesiuset	---|--------|-⌫--|--⌫-----|--|--|-|
pardeseureche sd egréssii	--|------|---⌫|-⌫-----|-||
auoitune s logesmolt cointe setmol t nobles	----|---⌫|----|---|------⌫|-|---⌫|-----|
emp ererese t l em peerris se	---⌫-----|-⌫||--⌫------|-|
seoientquanton iuo it	------|----|-|---⌫-|
etliautre hauthomm eetlesdames	-|-|----|---|----⌫|-|--|----|
a u oi t d eus iusensanlequantoniuoi tsi	-⌫-⌫--⌫|-⌫--|--|------|----|-|----⌫|-|
sewagioientensanle	-|--------|------|
liempereresetl empe e r risq ueli	-|--------|-||----⌫-⌫-⌫--|-⌫-|-|
unsdes ius	--|--|--|
giu eroitmiexd el au treet toutchilensementqui	---⌫----|---|-⌫||--⌫--|-|---|---|-------|--|
l esgi usesgardoient	-⌫-|--⌫-|----------|
Du lonc decheleplachesiauoitune	-|---|-|----|-----|-|----|--|
masierequi	------|--|
biena uoitquinz epiés	---|-⌫---|-----⌫|----|
d ehautetdisde lé	-⌫|---|-|--|-|--|
dese urechel e ma is ier esi auo it ilymagesdommes et	----⌫--|----⌫|--⌫--⌫---⌫|-|---⌫-|-|-----||----|-|
de femmesetdecheuausetde	-|-----|-|-|------|-|-|
buésetde cameus etd e orset	----|-|-|-----|-|-⌫|--|-|
delionse t de molt demani er esde b estes getees	-|----|-⌫|-|---|-|----⌫--⌫-|-|-⌫----|-----|
decoiurequisiestoientbien faitesetsi	-|-----|--|-|-------|---|-----|-|-|
natureumentformeesqu	----------|------|-|
mai streenpaienisme ne	---⌫---|-|--------|-|
e ncrestie nté	-⌫|-------⌫---|
quis eustm ie pour trairenesi bien f ormerymages	--|-⌫---|-⌫-|----⌫-----|-|-|---|-⌫----|-----|
comme chi lymag e	----|---⌫|----⌫|
estoient for me ́etsoloi ent cha	-------|---⌫--⌫|-|-----⌫--|--|
enarrieregiuerpar	-|------|----|--|
encantementmaisne iuoient maisn ientet	----------|---|-|------|---|-⌫---|-|
chesgiu sl empereeuresga rderentli	---|---⌫||--------|----⌫------|-|
Fr a n choisa	--⌫-⌫-⌫----||
me ruelle qu a nt	--⌫-----|--⌫-⌫-|
illes uire nt	-|--|----⌫-|
Or auoitaill eursenlec hité	-|----|----⌫---|-|-|-⌫----|
u neautre me ru eille	-⌫-|----|--⌫--⌫----|
I lauo it deu symages ietésdecoiureenforme	-⌫|---⌫-|---⌫|-----|-----|-|-----|-|----|
defemme si bi enfaites	-|----|-|--⌫-|-----|
ets inatureumentet sibelesquetropsi	-|-⌫|----------|-|-|----|--|---|-|
niauoitchelu i	||----|-----⌫|
n aitbien uin tpiésdehau t	|--|---|---⌫|----|-|---⌫|
Sitendoitliuns	-|------|-|--|
dechesymag es semain uers	-|---|----⌫-|-|---|---|
O cc identet	-⌫--⌫----|-|
auoit letre sescrites seur luiquidisoie nt	----|-----⌫|-------|---|--|--|------⌫-|
Occidentuenrontchilqui	-------|------|---|--|
Cons tantino bl econque rrontetli	----⌫-------⌫--⌫|------⌫----|-|-|
autres ymagesten doi tmainen un	-----|-----|---⌫---⌫|---|-|-|
uilainlieusi di soit	-----|---|-|--⌫---|
Ic h i faitli images lesboutera on	--⌫-⌫|---|-|-----|--|------|-|
Che sdeuxymages	---⌫|---|-----|
siseo ient deuantle	-|---⌫---|-----|-|
cangequimolt so loitestre rikesilluecetsi i	----|--|---|--⌫---|----|----|-----|-|-||
s oloient estrelirike	-⌫------|----|-|---|
cangeeurq uiauoientdeuant aus lesgrans	-------|-⌫-|------|-----|--|--|----|
monsdeb esansetles	---|-|-⌫----|-|--|
gran smonsdepi e rresprecieuses	----⌫|---|-|--⌫-⌫---|---------|
de uantchouquele chi tésfustpr isem aisil	--⌫---|---|--|-|---⌫---|---|--⌫--|-⌫--|-|
neniauoitta ntadontquantlec hités	|-||----|--⌫-|----|----|-|-⌫-----|
fu pr is e	-|--⌫--⌫|
Encore iau oit il aill eu rs enlechitéun e	-----||--⌫--|-|----⌫--⌫-|-|-|-----|--⌫|
greigneurmeruelleque il	--------|-------|--|-|
iauoit deuscolombes s i auoit	|----|---|-------|-⌫|----|
biemcascunetrois brachi e sahomme degroi sseuretsi	---|------|----|------⌫-⌫||----|-|----⌫----|-|-|
auoit bi encascune chin quantetois esde	----|--⌫-|------|----⌫-----|----⌫-|-|
haut etseur	---|-|---|
cas cun edeche scolombesman oit uns	---⌫---⌫|-|---⌫|-------|---⌫--|--|
hermitesla s sus enpetis habita clesq ui i estoientetsi	-------|--⌫-⌫--|-|----|------⌫---|-⌫-||-------|-|-|
i auoit huispar ded ens	|----|---|--|---⌫--|
lescolombes par	--|-------|--|
ouo nimontoit	-|-⌫||------|
P ard ehors che s	-⌫-|-⌫----|---⌫|
col umbess ie stoient	---⌫----|-⌫|-⌫------|
pou rtraites e tescritespar prophetie	---⌫-------|-⌫|-------|--|--------|
touteslesauentur e set toutes l e sconqu estesq ui	-----|--|-------⌫-⌫|-|-----|-⌫-⌫|-----⌫----|-⌫-|
sontauenues	---|------|
C oustantinoblenequi aueniri deuo ient	-⌫------------|-|--|-----||----⌫---|
Nen epooiton	-|-⌫|----|-|
sauoir l auenturedeuantlequ	-----||-------|-----|-|-|
elees toi tauen ueet	--|--⌫---⌫|----⌫-|-|
q uantelee sto ita ue n ue dontsiial l oientmus er	-⌫---|--|-⌫---⌫-|-⌫--⌫-⌫-|---|-||--⌫-⌫----|---⌫-|
legentsi ueoientetapercheuoientdo nt a p rismel	-|---|-|------|-|------------|--⌫-||-⌫----||
auenturenischesteconqueste	-------|--|-----|--------|
Franchoisleconquisent	--------|-|---------|
iestoitescrite etpourtraiteetles nesdont	|-----|------|-|---------|-|--|--|---|
le chi tésfuprisen e nele p eurentli	-|---⌫---|-|----|-⌫|-|-|-⌫-----|-|
Gr iusauoirdeuantla	--⌫-|-----|-----|-|
que che fua uenu	--|--|-|-⌫---|
Et quant chef uauen u	-|----|--|-⌫|----⌫|
on war deretmuserenchescol omb essi	-|---⌫--|-|----|-|---|---⌫---⌫-|-|
trou aon quelesl etres q uiestoient	----⌫|-|--|--|-⌫----|-⌫-|-------|
es c rite sse ur le snes pourtra itesdisoient	--⌫-⌫----⌫|--⌫-|--⌫|--|-------⌫---|-------|
quede uers	--|-|---|
Occidentuenroientuneg enthaut tondue	-------|--------|--|-⌫--|---|-----|
Constanti noblec onquerr oient	---------⌫----|-⌫-------⌫----|
Toute schesm eruell esque ieuous a ichi	-----⌫|---|-⌫------⌫-|--|-|---|-⌫|--|
acon téese tenc oreasse ́splus quenous	----⌫----|-⌫|---⌫--|----⌫-|---|--|---|
neu ouspoonsmieacontertrouu er entli	-|-⌫--|----|--|------|-----⌫--⌫--|-|
Franchoise n	--------|-⌫|
C onstantino b lequantill eure ntco nquis	-⌫----------⌫-⌫-|----|-||----⌫-|--⌫----|
neie neq uitmieparlemien	-|-|-|-⌫--|--|--|-|---|
ensientquenus hons	------|--|--|---|
conterres peust no mbrermietoutes le sabeïes	--------|----|--⌫----|--|-----|--⌫|------|
delechite ́ tant	-|-|-----⌫|---|
en iauoitilque de	-||----|-|--|-|
moinesquedeno nnai n sestre	-----|--|-|--⌫----⌫-⌫|----|
lesautre s	--|-----⌫|
m oustiersdele	-⌫-------|-|-|
u il eh orset sinombroit onqu il	-⌫--⌫|-⌫--|-|-|-------|-|-|-|
auoi tbienlargement en le	----⌫|---|--------|-|-|
chit é.xxx m. .x xx	----⌫-|---|-|--⌫-|
prest resquemoines queautre s	-----⌫--|--|-----|--|-----⌫|
Desautre s	--|-----⌫|
Griusde s h ausdesbas d e	----|--⌫|-⌫--|--|--|-⌫|
p ouresderichesde	-⌫----|-|-----|-|
legrandeurdele u iledes	-|-------|-|-|-⌫--|--|
palais des	-----|--|
autresmeruellesqu i i	-----|--------|--⌫||
s ontuouslaironsnouseste r	-⌫--|---|------|---|----⌫|
adire ca rnushons terriens	|---|--⌫|--|---|-------|
quitanteu stmesenlec hiténe leuous	--|---|--⌫-|--|-|-|-⌫----|-|-|---|
porro itnombrer ne	-----⌫-|------|-|
ac onter qu e qui	--⌫----|--⌫|--|
uousen conteroitle chentis mepa rtdeleriquech e	---|-|--------|-|-------⌫-|--⌫-|-|-|-------⌫|
nedelebiauté	-|-|-|------|
nedelenoblechequi	-|-|-|-------|--|
estoitesab eïesetes mou stier s et es palais	-----|-|--⌫----|-|-|---⌫-----⌫|-|-|-----|
le uilesanleroit ilquechefust	-|---|--------|-|--|--|---|
men ch oingnene	---⌫--⌫-----|-|
ne cresriésuo usmie	-|--------|--⌫-|--|
chesautre sen eutun autredes	---|-----⌫|-|--|-|----|--|
moustiers queonapeloitm edame	--------|--|-|------|-⌫----|
Bla kerne ou lisydoines	---⌫----|-|-|-------|
Siresfuenuo lepés i estoi tq ui cascu ns	----|-|----⌫-----||-----⌫|-⌫-|-----⌫-|
desuenr essedrechoitto usdro issi	--|----⌫-|-|-------|--⌫-|---⌫-|-|
que onipooitbien	--|-||----|---|
uei r lefigure	---⌫|-|-----|
Seigneur ne neseutononquesne	-------|-|-|---|-|-----|-|
Franc hoisqu e	-----⌫---|--⌫|
chissy d oines deui nt	---|--⌫-⌫----|----⌫-|
qu an tleuilefuprise	--⌫--⌫|-|---|-|----|
iauoituneautre des abeïes ou	|----|--|----|--|------|-|
liboinsempereres	-|----|--------|
Ma nuaus gesoitquilnenas quion quescors	--⌫----|-----|-|-|-|---⌫--|--⌫---|---|
seurterenesainsnesai nt equisirikement	---|---|-|----|-|---⌫--⌫|--|-|-------|
nesino blementg eusten	-|-|--⌫------|-⌫---|-|
sepulturecommefaisoitchisempereres	--------|----|------|---|--------|
Enchelabe ïe	-|---|---⌫--|
siestoit letauledema rb re	-|-----|-|----|-|--⌫--⌫-|
Si r esfuest endusquant	--⌫-⌫-|-|---⌫----|----|
ilfu de spendus d elecrois	-|-|--⌫------|-⌫|-|----|
etsiiparoient en coreles lerm es q ue	-|-||-------|--⌫---|--|----⌫-|-⌫-|
Dame au oit plou rédeseure	---|--⌫--|----⌫--|------|
Aprés auint quet outli	-----|----|--|-⌫--|-|
co n teettou tlihaut home sa s an lerentun ior	--⌫-⌫-|-|---⌫|-|---|---||-⌫-⌫--⌫-----|-|--|
upalaisd e	|-----|-⌫|
Lionquel i	---|--|-⌫|
marc his tenoitetdis entent r aus	----⌫--|-----|-|---⌫--|---⌫|--|
quil f es i sentempereeur	-|-|-⌫--⌫-⌫---|--------|
ilesl eussentleur disetd ise nt au duc	-|---⌫------|---|--|-|-⌫---⌫-|-|--|
uenice quile sl eutles	-----|-|-|-⌫--⌫--|--|
s iens dis	-⌫---|--|
Quant limarchiso ïchousi	----|-|------|-⌫-|---|-|
iuautmetrelessien se tchiaxqueil	|---|----|--|----⌫|-⌫|----|--|-|
cui d oit qui	---⌫-⌫--|--|
lesleussent	|---------|
aempereu retuol oitestre empe reresentresait	|-------⌫|-|---⌫--|----|----⌫----|--------|
iacordere ntm ie quelimarchisime sist	|--------⌫-|-⌫-|--|-|------||--⌫---|
lessiensmai s il	--|----|---⌫|-|
s aco rderent	|---⌫------|
bi e nqu ileni	--⌫-⌫|-|-|-||
eust auc uns	---|---⌫--|
Quantlid u xde	----|-|-⌫-⌫|-|
uenicequim olt ertpreusdons et sages uit chou si	-----|--|-⌫--|--|--------|-|----|--|---|-|
parlaoiant	----|----|
t ousetdist	-⌫--|-|---|
S e igneurorm	-⌫-⌫-----|-||
entendés fistlidusieuoel que anchoisque	--------|---|-|--|-|---|--|------|--|
on esliseempereeur quelipalaissoient	-|-----|--------|--|-|-----|-----|
ward e ́d ele	----⌫-⌫|-⌫|-|
kemunew ardedel	-----|-⌫---|-||
ostcarseonmeslita em per eurqueiou	--|--|-|-||----||--⌫---⌫--|--|--|
toutmainte nantsans n ulco ntredite t queie soie saisis	---|------⌫---|---|-⌫-|--⌫------|-⌫|--|-|---|-----|
despal ais	--|---⌫--|
ete n sementseoneslitle con te	-|-⌫-⌫-----|-|-|----|-|---⌫-|
Flandresq u il aitl es	-------|-⌫|-|--|-⌫-|
palai s sans nul	-----⌫|---|--|
co ntredito u seon e slit le mar chisou	--⌫------|-⌫|-|-|-⌫---|-|---⌫---|-|
Loeisoul e conte d e	----|-|-⌫|----|-⌫|
Polou seone slitunp oure cheualie r	--|-|-|-|-⌫---|-|-⌫---|--------⌫|
quechisquiertempereres a it lespalais	--|---|--|--|--------|-⌫-|--|-----|
s ansnu lcontred it ne de marchisne du	-⌫--|--⌫|-------⌫-|-|-|------|-|-|
Fl andresne dunned	--⌫-----|-||-|-||
Q uantlimarchisoï chou s in ep eut	-⌫---|-|------|--|---|-⌫|-⌫|-⌫--|
mie e streencontreains w idalepalaisqueiltenoit	--|-⌫---|-------|---|-⌫--|-|-----|--|-|-----|
et onala sim ist onw arde ses palais	-|-|--|-|-⌫--|-|-⌫----⌫|-|-----|
d elecommunité delostqui lespalais	-⌫|-|---------|-||--|--|--|-----|
warderoient	----------|
Quant liduxde	----|-|--|-|
ueni ce eutsifa itemen tpa rle ́a préss i	----⌫-|--|-|--⌫------⌫|--⌫---⌫|-⌫----|-⌫|
distas baronsqu il esl eussentlesleurd is	---|-|-----|-|-|---⌫------|--|---|-⌫-|
que ilaroitmolt tostes l itles	--|-|----|---|---|--⌫-⌫-|--|
siens di se t	----|--⌫|-⌫|
qu antlibarono i ̈ rentchousiiuaut	--⌫--|-|----|-⌫-⌫-⌫---|---|-||---|
metrecas cunsl es	----|---⌫---|-⌫-|
Flandres iuautmetreles	-------||---|----|--|
sienslicuens	----|-|----|
Loeis licuens de	----|-|----|-|
Po letliautrerikehomme	--⌫|-|-|----|---|----|
et tantqu eon ques ache le uoie	-|---|--⌫|--⌫---||---⌫-|---|
nese peurentacorder	-|-|------|------|
qu ex ilimesi ssentne eslis issent	--⌫-|-||----⌫----|-|-----⌫-----|
Ai nspri sent	--⌫-|---⌫---|
una utre iourdeslirre	-|-⌫---|---||------|
chesdiset qu ant	---|--|-|--⌫--|
c heuintau ioursi ne	-⌫-|---|-|---|-|-|
sepe urentacorderquex	-|--⌫----|------|---|
ilesleussen t	-|---------⌫|
Ains iuoloitt ousio ur s	---||-----|-⌫--|--⌫--⌫|
metreli marc hischia xqueil cuidoitquil esleussent	----|-|----⌫--|----⌫|--|-|------|--||---------|
a empereeu ret uoloit es t ree mpereres aussicomme	|--------⌫|-|-----|--⌫-⌫-|-⌫-------|----|----|
par forche	--|-----|
Et durab ien ches tedes cord equinze	-|---|-⌫--|----⌫-|---⌫----⌫|-----|
iorsquilne	---|-|-|-|
sepooient concorder sinestoit	-|------|--------|-||-----|
iour quilnassan lais sentpou rchestui afai reettan t	---|-|-||-----⌫----⌫---|---⌫|------|----⌫-|-|---⌫|
queau deesr ain seconc orde rent quel i	--|-|-----⌫--|-|----⌫----⌫---|--|-⌫|
clergiésdelostliuesqueli	--------|-||--|-|-----|-|
abéquii est oien tenfussentesliseeur	---|--||---⌫----⌫|-|------|--------|
Ad ontquant	--⌫--|----|
il se furent	-|-|-----|
ac ordésialaliduxde	--⌫----|-|--|-|--|-|
uenicesi eslut	-----|-|----|
les siensdi se ntele manie rec om ieuou s	--|----|--⌫|-⌫|---|-----⌫-|-⌫-|-|---⌫|
Il apelaquatre des	-|----|-----|--|
plusp reusdom esque il cuidoitensetere si	---|-⌫-------⌫-|--|-|------|-|-|---|-|
leurfistiu rerseu rsainsqu ea	---|---|--⌫--|---⌫|----|--⌫||
leurens ienteslirroientdis	---|---⌫---|----------|--|
des pl u s	--|--⌫-⌫|
preudommes de seterequien lostestoient	---------|-|-|---|--|-||--|-------|
etilsifisentsiqueq u ant	-|-|-|-----|-|--|-⌫-⌫--|
i l enapel oientunqu	-⌫|-|----⌫----|-|-|
estouu oituen irauant neneli	------⌫--|---⌫-|----|-|-|-|
sos oitpu ispar lerneconselier anu luiains	|--⌫--|--⌫-|---⌫--|-|--------||--⌫--|---|
l e metoitontantostenun	-⌫|-----|-|------|-|-|
moust ier ettoutensementles autrest antqueli	-----⌫--|-|---|-------|--|-----|-⌫--|--|-|
duxeutlessiens dis	--|--|--|----|--|
etqua ntilfure nttout	-|---⌫-|-|----⌫-|---|
ench umoustier lidis	-|--⌫|-------|-|--|
ueni c ienetliu e squesi can ta	----⌫-⌫--|-|-|-⌫-⌫---|-|---⌫-|
onunemessedu	-|--|----|-|
E speritqueli	-⌫-----|--|-|
Esperislesconseil lastetqu	------|--|-------⌫---|-|-|
ile sdon nasta	|--⌫|---⌫---||
tel hommeassener quiboinsifust	--|----|------|--|----||---|
etpo urfis	-|--⌫----|
me ssef ucanteesi sanle rent liesliseeur	--⌫--|-⌫|-----|-|-----⌫---|-|--------|
etparleren tenleu r	-|--------⌫|-|---⌫|
conseletp arlerentd unsetdautrese t t ant	-----|-|-⌫-------||--|-||-----|-⌫|-⌫--|
uenicien etu esqu eet abéet	-------|-|-⌫----⌫|-|---|-|
uinteslisseeurom nie men tsaco rderen tque	---|---------|--⌫---⌫---⌫||---⌫------⌫|--|
Flan dr eslefust ne	----⌫--⌫-|-|---|-|
onquesnenieutnulquien	-----||-||--|--|--|-|
fustencontre	---|-------|
Quanti lfure nt si a cordé ensanleet	----|-⌫|----⌫-|-|-⌫-----|------|-|
