quibonscountesuoet entendre	--|---|------|---|-------|
murnepoueredesheritee	----|-----|---------|
erfut calabre meie	-|--|------|---|
oree stau trui sitencma	--|-⌫-|--⌫---|-|---|-|
capa neusduncapar cut	----⌫---|---|----⌫--|
k eertlafiere	-⌫|--|-|----|
pitead granta s eilap ele	---|-|----||-⌫-||--⌫--|
c acusinebe l e	-⌫|-----|--⌫-⌫|
capaneusain unamie	-------|-|-⌫-|---|
ca suiue nuzen	-|--|--⌫--|-|
uostr eaie	-----⌫|--|
uers la riu ecauu sturnez	---|-|---⌫|-|--⌫|-----|
deuosn ouelezmecuntez	-|--|-⌫-----|-|-----|
lafiereduncsa rehete	-|----|---|-|-----|
deue rs celeriu ese esttr ete	----⌫-|---|---⌫|-|--|--⌫--|
tui tli batela	---⌫|-|----||
ancresgeittent eis suzsunt	-----|-------||--⌫--|---|
d escenduz es tcapaneus	-⌫-------|--⌫|-------|
beis e zsesuntuintfeiz u plus	----⌫-⌫|-|---|---|---||---|
de mand éeenquis	--⌫----⌫-||-----|
partie delpais	-----|--|---|
si reunuassal mefutuenu	--⌫-|-|-----|-|--|---|
mes nesai suzc elkiil fu	--|-|--|--|-⌫-|-|-|-|
unkesal uimot neparlai	----||-⌫-|--|-|-----|
neuncorenesai	-|-----|-|--|
sen z requestese cumbati	---⌫|-------|-|------|
mescilleo ninsleu enqui	--|--|---⌫---|-|-⌫----|
odismeineuintdes ezile	-|------|---|-|-⌫----|
mes uncneentrade denzla uile	--|--|-|----|--⌫---|-|---|
certesmultfu t p ruz	-----|---|--⌫|-⌫--|
ha rdiz e uaillanzeleg ers	--⌫---||-------||---⌫--|
e bonscheualerdesa	|---|-------|-|-|
m es i lfu tuenquizal derain	-⌫-|-⌫|--⌫|------|-|-----|
eneuus sauezuu skiil	|-|--|----|--⌫|-|-|
nun ueirne	--|---|-|
l a i pas coneu	|-⌫|--|----|
capaneusditpar mun col	-------|--|--|--|--|
ioen oiparle rde unfol	-|-|-|-----⌫|-|-|--|
kiladeredne demanda	-|-|------|------|
e o dismeine sen ala	|-⌫|------||-|--|
ioquitcomen t keilsecouerist	-|---|-----⌫|-|-|-|-------|
nefutp assi folcumse fist	-|--|-⌫-|-|--|--|-|---|
e siuus dirraiunco replus	|-|--|-----|----⌫-|---|
nes e po ustsicouerir nul s	-|-⌫|--⌫--|-|------|---⌫|
se ne fustlid ruz	-|-|---|-|-⌫--|
i dunc suspirela	-⌫---|------|-|
kedei deufe t	-|--|--|--⌫|
mune scient ke co fu il	--|-⌫-----|-|-|-|-|
e coil futco	|-|-|--|-|
coestgrantdamage	-|--|----|-----|
fut degrantuasselage	--|-|----|--------|
asa gentditcapaneus	|-|---|--|-------|
de ces tliune se	-|---⌫|--|-|-|
ff orssul iceus keod meim errai	--⌫--|--|----|-|-|--|-⌫----|
dreituer s la citemetre rrai	----|---⌫|-|---|-|---⌫---|
o irnouele seenq uere	-⌫-|------⌫||---⌫---|
keleoninsf eten	-|------|-⌫-|-|
lafiere lessesur la riue	-|----|----|--|-|---|
di scheu ale rs od lui enmeine	--⌫|----⌫---⌫-|-|--|-|----|
ile stmu tenhaste	-|-⌫-|--⌫|-|----|
elchampu labat allefu	-|----||-|---⌫---|-|
c u m i l eisside lafor est	-⌫-⌫|-⌫|----|-|-|---⌫--|
i pomedonerttrestutprest	-⌫------|--|------|----|
dealersenceleement	-|---||-|--------|
ar mezesteit mut	--⌫--|-----|--|
ge ntement	--⌫------|
eseeitsur unneir	|----|--|-|---|
s un cheminacoiltuers un ual	-⌫-|-----|-----|---|-|--|
capaneus l ad ueu ia	-------||-|--|-|
sescheualers	--|--------|
tost apela	---|----|
u eezla fetleon in	-⌫--|-|--|----⌫-|
tuts ultraue rsec e lchemin	--|-⌫-|-----⌫--|-⌫-⌫|-----|
neueit odlui un	-|---|-|--|-|
sul de ssons	--|--⌫|---|
creired eu ezkedeuse stbon s	-----|-⌫--⌫-|-|---|-⌫-|---⌫|
oren iadni en tdel atendre	--|||-|--⌫--⌫|-||------|
s urpr isl auum	-⌫----⌫-||---|
ore lealump r endr e	--|-|---|-⌫-⌫----⌫|
capaneusse es motatant	-------|-|--⌫--|----|
des esperuns	--|-------|
fertlalferant	---||-------|
s eescrieesteezesteez	-⌫|-----|-----|-----|
ki estes uuskelaalez	-|----|--|-|-|---|
ipomedon aukesseesmaie	-------|----|-|-----|
aukesestg reu ezde	----|--|-⌫---⌫-|-|
o requidout estrema lbailli	-⌫-|------|----|--⌫------|
ebenentent	|--|-----|
estretrahi	----|----|
karil dutoutke leoni n	--|-|-----|-|-----⌫|
eutfestguei tercelchem in	--|---|----⌫--|--|----⌫-|
noutforsse iq uartdecheu alers	|--|---|--⌫|-⌫---|-|----⌫----|
ilse arestutkarmutf ut fers	-|-|------|--|--|-⌫-|---|
karcele fei z ne	--|---|---⌫|-|
u nke snul	-⌫---⌫|--|
de champnefui pu rp our	-|----|-|--|--⌫|-⌫--|
e m eulz uoiltestre iloc	|-⌫---|----|----|---|
k e lum ledieeucel pais	-⌫||-|-|--|-|--|---|
ne iasacherete lamie	-|-|-|----|--⌫|---|
nenorra de lui	--|---|-|--|
loress arestutqu er l i reuent	----||------|--⌫-|-⌫|-----|
cap aneusdeloi nzse tent	---⌫----|-|---⌫-|-|---|
elidemandekiil e s t	|-|------|-|-|-⌫-⌫|
e kiilquert en cel	|-|-|----|-|--|
c il respuntiosuileo nin	-⌫-|------|-|--|---⌫--|
estmeiee le chemi n	--|---||-|-----⌫|
si deibenalers enzcunge	-|--|--|---|-⌫--|----|
karparmun cors	--|--|--|---|
de ladesredne	-|-|-------|
elaf iere e	|-|-⌫---||
tutle pais	--|-|---|
ue rsun ua ssa lke	--⌫-|-|--⌫---⌫|-|
aihuio s cis	-|--|-⌫-⌫--|
kedi tes uusc uma u eznun	-|--⌫--|--|-⌫-|-⌫-⌫-|--|
c apaneusapelel	-⌫------|----||
au ezuu snuncapan eus	--⌫-|--⌫|--|-----⌫--|
alezu us enni p rendre zplus	---|-⌫-|-|||-⌫------⌫|---|
siferaiu asal	-|----|-⌫---|
par mu nchef	--|--⌫|---|
ipom edo ntu tamal	----⌫---⌫|--⌫||--|
estotilocodeusc umbatre	----|---|-|--|-⌫------|
suntunzeeilf ors quatre	---|---||-|-⌫--|-----|
capaneus atant i point	-------|----||----|
eaipomedon seioint	||-------|-|----|
ipom edonf utbon ua ssal	----⌫---|-⌫-|--|--⌫---|
me slaplaie lifistgrantmal	--⌫|-|----|-|---|----|--|
pu rquantmutben	--⌫-----|--|--|
delcoll iportsunescu	--|--|-⌫|---|--|---|
lalan c euolepa rasteles	-|---⌫-⌫|---|--⌫|------|
tenentben essel es	-----|--|-|---⌫-|
se strei scumpaignu ns furentpruz	--⌫|----⌫|---------⌫-|-----|---|
hardizeestuz	-----||----|
ch escuniadle su nferu	--⌫----||-|-|--⌫|---|
aterrem isea b a tu	|----|-⌫-||-⌫-⌫-⌫-|
mes oure ntcheu alersp lus	--|----⌫-|----⌫----|-⌫--|
tost sunt re scuse muntés us	---|---|--⌫---||-----|-⌫-|
egrefment l es u ntassailliz	|-------|-⌫-|-⌫-|--------|
odlesbranz trenchanzefur b iz	-|--|----|--------||---⌫-⌫-|
estrangee stur	-------|-⌫---|
lurunt liueré	--|--|------|
illes untiaauiruné	-|--|--|-|-------|
sike i lunt	-|-|-⌫|--|
ia parg rantesforcz	-|--|-⌫---|------|
lesdeu sdesesc ump aignunsmorz	--|---⌫|-|--|-⌫---⌫------|---|
li r emistke	-|-⌫----|-|
de ferirsepein ech ascuns	-|----|-|----⌫|--⌫-----|
ipomedonbens e de f ent	-------|--|-⌫|--⌫-⌫--|
e mutsecumbatuassuaumen t	|--|-|-----|----------⌫|
neust tantsanc	|---|---|---|
uerse u s se fust	---|-⌫-⌫|-|---|
be n defendu	--⌫|------|
enepurquantsiaddesdis	|---------|-|-|--|--|
quatre me il lursoscis	-----|--⌫--⌫---|----|
elun d ess iskerem is	||-|-⌫-|-⌫-|-|---⌫-|
a d ferru tres parmilefrunt	-⌫|----|---|----|-|----|
ke alaterre le estendi pa s mé	-||-|----|-|------|--⌫-⌫--|
mutfutle idiz e	--|--|--⌫---||
pasmortmesqu ant reu int	--|---|--|--⌫--|---⌫--|
odla bonee speeke il tint	-|-|---|-⌫---|-|-|---|
lenei r cheualkemu t	-|---⌫|-----|-|--⌫|
acura suzip ome don	----|--|--⌫---⌫--|
keilentreeusa pie remis	-|-|----|--||--|----|
ap oi nelourent	|-⌫-|-||-----|
dunccunquis	---|------|
adelmundsialo sez	-|-|---|-|---⌫--|
kene pusseestresu rmenez	-|-|----|----|--⌫-----|
ledefend regref	-|------⌫-|---|
karilsecumba tamesch ef	--|-|-|-----⌫||-----⌫-|
iladtressailliun fo sse	-|-|---------|-|--⌫--|
a un chedn e	|-|-----⌫|
meru eillese def ent	----⌫----|-|---⌫--|
eill asaillentegrement	|-||--------|-------|
lechapleizes tdurs	-|-------|--⌫|---|
delferirniadnul deport	--|----|||-|--|-----|
mort liunt suncumpaignun	---|-|--|--|---------|
ei lliuun ttutenu irun	|-⌫|-|---⌫|--|---⌫---|
seignurs neuus e smerueil lezpas	-------|-|--|-⌫--------⌫--|--|
se ilestiamut	-|-|--|-|--|
purq uant e strang es c oupsidoun e	----⌫---|-⌫------⌫-|-⌫---||----⌫|
la terreelibo isen resune	-|----||-|--⌫-|-|-----|
lungesdurat	-----|----|
lichapleiz	-|-------|
kartuzs untcheualersesliz	--|--|-⌫--|--------|----|
uolelefeu uolent estenc eles	---|-|--|-----|------⌫---|
des e spees cleres	--|-⌫----|-----|
ch ee ntmailesfausent	--⌫--⌫-|-----|------|
eleschoifestut en	|--|------|--|-|
q uassent h eames kiclerreplenden t	-⌫------|-⌫----|-|---|---------⌫|
lestargese	--|-----||
l esdublesfen dent	-⌫-|-----|---⌫---|
uerseusforementsedefent	---|--|-------|-|-----|
u ncnelfist	-⌫-|-||---|
simun es c ien t	-|--|--⌫-⌫---⌫|
sikeacest iurhume	-|-||---|--|---|
de la m anicledelpoingdestre	-|-|-⌫-----|--|----|-----|
est ia rumpuelacoreie	--|-|-----|-|-----|
elefresel deseie	|-|-----|-|---|
sik e sa mainnueremist	-|-⌫|-|---|--|-----|
lan e l par ustkeal	|--⌫-⌫|---⌫--|-|-|
capaneusben	-------|--|
l aneladu eusilconut	|---|-|-⌫-|-||----|
tutseesperte li chef lac here	--|-|-----||-|---|-|-⌫---|
unpe titet s eesttr aitarere	-|--⌫----|-⌫|--|--⌫--|----|
sisquers u o letteeestengrande	--|----|-⌫-⌫----||--|-|-----|
cumpaign unscumande	--------⌫--|------|
s etrei ent unpoiensus	-⌫|----⌫--|-|--|-|--|
duncpar ol capaneus	---|---⌫-|-------|
suffrezdan cheualer suffe z	------|--|-------|-----⌫|
unpet it et	-|---⌫--⌫-|
ameiparlez	|--|-----|
di tes u eirsi rec heua lers	--⌫--|-⌫--|--⌫-|-⌫----⌫---|
ditesmei ue irbeausamischers	----|--|--⌫-|----|---|----|
f ei k e a deu deuez	-⌫-|-⌫||--|----|
la ue rit e nemecelez	-|--⌫---⌫|-|-|----|
celaneld or kiuus	--|---||-|-|--|
ipomedonenpesseest a	-------|-|--|-|---⌫|
delap arolees te itbais	-|-|-⌫----|--⌫--⌫-|---|
kesamere lidistiadis	-|-|---|-|---|----|
cil kicel anelconustreit	--|-|--|---|---------|
bensoust sisfreres s erreit	--|----|--|-----|-⌫-----|
capane usp ensifl eui t	------⌫-|-⌫----|-⌫|--⌫|
h asteparol eedit	-⌫---|-----⌫||--|
purla murs aamie	--||-⌫--|-⌫|---|
lanelueirli die	|---|---|-|--|
ipomedonloi parler	-------||-|-----|
k eilpot plu samer	-⌫|-|--|---⌫|---|
sire f etil almenespeir	---|-⌫-|-|-|--|-----|
delan e luusdirraitut uei r	-||--⌫-⌫|--|-----|--|---⌫|
ledere iniurkeil deuia	-|----⌫-|--|-|-|----|
beaus amis kifut	----|---|-|--|
u ostremere	-⌫----|---|
parfaireine depuillee re	--|--|----|-|-----|-⌫-|
kedi stquant lane l uusduna	-|--⌫-|----||---⌫|--|---|
iadis t kec il ki	-|---⌫|-|-⌫-|-|
puru eirsmisf reresert	--|-⌫---|--|-⌫----|--|
pardeue stesuu sleonin	--|--|-⌫---|--⌫|-----|
purlacreance ke	--|-|------|-|
le ueirme ditesnel celez	-|---|-|----|-||----|
cer tes n u sui sachezde fi	---⌫--|-⌫|--|-----|-|-|
kehuibatailleleue nqu i	-|--|-------|-|--⌫---⌫|
delpaissenzmeide scouerir	--|---|---|--|--⌫-------|
bel sirefet capaneu s	--|---|--|-------⌫|
pur deuauant me	--|--|----|-|
dites plus	----|---|
dunt uenez uus	---|----|--|
u fustesnié	|-----|---|
uauezuusplus	|---|--|---|
cunu ersé	----⌫----|
uusdirrai en	--|-----|-|
uadle tt age	-----⌫--⌫--|
seruilafi ereodbonecurage	----|-|--⌫--|-|---|-----|
tant lacomencaia amer	---|-|-------||---|
kediloc meestott urn er	-||---|-|----|-⌫---⌫-|
pusmere ti ntod	--|-|--⌫--⌫-|-|
bel her neis	--|---⌫---|
mis siresuostreuncl eli	--|----|-----|----⌫|-|
enlaforest p aruus	-|-|-----|-⌫-|--|
e cumpaignun sfumesi adis	|----------⌫|----|-⌫---|
b enseustese par uus f u	-⌫-|------||--|--|-⌫|
lum metint	|-|-|---|
cheualeredru	-------||--|
sike lireis	-|-|-|---|
etuz metindrentpurmal ueis	|--|-|-------|--|---⌫---|
p usalaial t urneement	-⌫-|---|-|-⌫--------|
cum uussauezcouer tement	--|--|----|-----⌫-----|
odb la ncdestrero ds oro d neir	-|-⌫--⌫-|------|-⌫|-⌫-|-⌫|---|
uusensauez leueir	--|-|----|-|---|
kar alquartiur qua ntmenalai	--|-|----|--|---⌫-||-|---|
parmunostelesenueia i	--|--|---|--|------⌫|
alrei anoz	-|--||--|
autres am is	-----|--⌫-|
enhast e gu epice st	-|----⌫|--⌫--|--⌫-|
puilletrouaitut senz cum fort	-----|-----|--|---|---⌫---|
trouaimunperemort	-----|--|---|---|
humes pris meshumages	----|---|--|------|
mesne fut d unc	--|-|--|-⌫--|
teusmiscurages	---|--|------|
kemefeisse	-|-|-----|
einzuoilde terreenterr ealer	---|---|-|----|-|----⌫|---|
se nzm ei d es co urir q uerre p ri s	--⌫-|-⌫-|-⌫--⌫--⌫---|-⌫----|-⌫--⌫|
oresuiaparceuz	--|--|-------|
fetcapaneuse	--|-------||
uusaueztortnuseimes freres	--|---|---|--|----|-----|
mesnuseumesd iuer sper es	--|--|----|-⌫----⌫|---⌫-|
mesnu su ne	--|--⌫|-⌫-|
dece lanel lifisledun	-|--⌫|---|-|--|-|--|
atan t la bra nt i etteen	----⌫|-|---⌫-|-⌫---|-|
lhea ume gemm é oste	|---⌫--|----⌫-|---|
ipomedoniatautelfe t	-------||-|----|--⌫|
le scu ate rrechaerlet	|-⌫--||--⌫--|----|--|
p l urentdeioieedepie	-⌫-⌫----|-|---||-|--|
milfeizsesunt entrebei sé	--|---|-|---|--------⌫--|
nequitke iamesnuls homoie	-|---|-|----|---|--|--|
parl er elmunddesi grantio ie	----⌫-|-|---|-|-|----|--⌫-|
cumliduifrerefuntentreeus	--|-|--|----|---|----|--|
de l tut ublient lu r granz	--⌫|--|------|--⌫|----|
el ur cum paignuns k ico	|-⌫-|---⌫-------|-⌫|-|
gr antioiee	--⌫--|---||
grantlee ce firent	----|---⌫-|-----|
dui frereioiant	--|----|-----|
emults entre fu ntbel sembla nt	|---||-----⌫--⌫-|--|------⌫-|
mutrecordentlurauenture s	--|--------|--|--------⌫|
elur tres granz	|--|---|----|
enueisu re s	-------⌫--⌫|
il nadsi fel un	-||-|-|---⌫-|
que relm und	---⌫|-|-⌫--|
kiueistlai oiekil	-|----|-|-⌫--||-|
ke deusmu tse r ehetast	-||--|--⌫|-|-⌫------|
la pi tene plu ra st	-|--⌫-|-|---⌫--⌫-|
u ncumpai g nuncap aneus	-⌫|------⌫-⌫--|---⌫----|
i oqu itkilout nun perse us	-⌫|--⌫-||-|--|--|-----⌫-|
ua ssalesteit p ru z e leger	--⌫---|-----|-⌫--⌫||----|
eseei t surunbon	|----⌫|--|-|--|
dest r e r	----⌫-⌫-⌫|
benoutentendu lur resun	--|--|------|--|----|
ki locs en turn eae sp er un	|-⌫--||-|----⌫||-⌫--⌫--⌫-|
parmi lebois se metel ual	----|-|---|-|--|-|--|
n esparnie paslecheual	|-------|--|-|-----|
uerslariue	---|-|---|
s e n uet tutdreit	|-⌫|--|--|----|
elafiere ialapar ceit	|-|----|-||----⌫---|
d eusfetio	-⌫--|--|-|
ueiunuenir	--|-|----|
sembl ant defuir	-----⌫--|-|---|
capane usest a ssailliz	------⌫-|--|-⌫-------|
u celtirant	|--|-----|
le sad murdr i z	--⌫|-|-----⌫-⌫|
armez uuscheua lersarmez	----|--|-----⌫---|----|
e u o s tre	|-⌫-⌫-⌫--|
me tre sucurez	--⌫--|------|
entree usestnoise grant	----|-⌫-|--|----|----|
c ilcheualerseuunt	-⌫-|-------|-|---|
mesei nzkimunteziseitnuls	--|--⌫-|-|-----||---|---|
ilo cesparseus	---⌫--|------|
la f ier elid it queusnouele s	-|-⌫---⌫|-|-⌫-|----|------⌫|
cer tesma da meiselebeles	---⌫--|-|--⌫------|----|
unkesdelhu reke	----|-||--⌫-|-|
nasquistes	---------|
sideli tablesn enoistes	-|----⌫-----|-⌫-|-----|
amis e s tdunc	---|-⌫-⌫|---|
mortleonin	---|-----|
certes oal	-----|--|
mortestenfi n	---|--|----⌫|
ad leduncmortcapaneus	-|-|---|---|-------|
nenal parf eifet perseus	----|--|-⌫-|--|------|
ki d un ccertesilfutoscis	-|-⌫--⌫|-----|-|--|----|
einzkilue n ist	---||-|--⌫-⌫--|
encestp ai s	-|---|-⌫--⌫|
la fierese esfraieede mande	-|----|-|------||--⌫----|
kar delsaueir est m ul ten grande	--|--|-----|--|-⌫--⌫|-|-----|
belese bon	---|-|--|
gremen sauez	--||-|----|
mut bonesnouelesorr ez	--|----|------|---⌫-|
dite samis i o uolent ers	----⌫|---|-⌫|------⌫--|
ma dameiseleunscheualers	-|--------|--|--------|
uenuzestde estrangepais	----|--|-|-------|---|
cil uusadleoninos cis	--|--|-|-----|--⌫--|
le ue iracreire	-|--⌫-|------|
q uant leua sabanereneire	-⌫---|---|-|-----|----|
quidastesco fust	--------|-|---|
ilsecouer ika rat apin	-|-|-----⌫|--⌫||-⌫---|
sen ala quant	|-|--|----|
nu siuenime s	--⌫||------⌫|
alui lunges secumbati mes	|--|-----|-|-------⌫--|
ilnioutodlui	-|||--|-|--|
gueresgent	-----|---|
mutsedefendinoblement	--|-|------|--------|
lafie red e parfuntsuspire	-|---⌫-|-⌫|------|------|
epensames nel uolt	|----|--|-||---|
ha de usc arfust co mi s	-|--⌫-|-⌫-|---|-|--⌫|
issisesoleit couerir	---|-|-----|------|
e sulalere su luenir	|--|---||--⌫|----|
puis demanda a per seus	---|------||---⌫---|
sauezuus delui	----|--|-|--|
beleoaldi te d unc amis	---|--|--⌫-|-⌫--|---|
ilfutoduus uadlet iadis	-|--|-|--|-----|----|
leotlequer li	-|-|-|---|-|
de plusoirtrop lun c lisemble	-|---|--|---|---⌫|-|-----|
auantdi t es	----|--⌫-⌫-|
beauschersamis	----|----|---|
bele il pa rtide ce st	---|-|--⌫--|-|--⌫-|
parachesundetropamer	--|------|-|---|---|
iolioi oreinzcunter	-|-|-|-----|-----|
auostreuncle	|-----|----|
pusa palerne	--||------|
uendi ueissie	----|------|
purlan terne	--|---⌫----|
ilocsefistdr ula	---|-|---|--⌫|-|
ilni outdame de	-|||--|---|-|
che ualersuilainsn ecurt eis	---⌫-----|------|-⌫|----⌫--|
ki ne ltenista fin	-|-||-----||--|
ne lfutpascarcelee ment	-||--|--|--|-----⌫---|
ff ut treisi urzalturn eement	--⌫-|----|-⌫--|-|----⌫-----|
primesbl a nc puis	-----|--⌫-⌫-|---|
uermeilpusneir	------|--|---|
esuani ch e scunsei r	-----|--⌫-⌫---|---⌫|
esté enmeintempire	----|-|----|-----|
i l est dep uille	-⌫|--|-|-⌫----|
reisesi re	---||--⌫-|
ne se rréspasdespar agee	-|--⌫----|--|------⌫---|
s ealuibe leestesott riee	-⌫||--|--⌫-|----|---⌫---|
l afierepense	-⌫|----|----|
ensun cu rage	-|--|--⌫---|
karfustorefet lemariage	--|---|--|--|-|------|
dameis elesfet	------⌫---|--|
uncorea di l	-----|-⌫|-⌫|
puruus fetplus	--|--|--|---|
pu ruu ssefistrerele	--⌫|--⌫|-|---|---|-|
teni r purfol	----⌫|--|--|
purl ade rednepur uus	--|-⌫|--⌫----|--|--|
puruusad eumeint	--|--|-|-|----|
cunt reire	----⌫----|
pur ad suffe rtm eintepeine	--|-|-----⌫-|-⌫----|----|
a c estmot susp iratismeine	|-⌫--|--|----⌫---|------|
ensun quer pens eoree st issi	-|--|---|----⌫|--|-⌫-|---|
purcetui sui	--|-|--|--|
iosenz ami	-|---|--|
pusditda mefut un cnulteus	--|--|--⌫-|--|--⌫|--|---|
fustnie zde homesmorteus	---|---⌫|-|----|------|
kisierralu nge sodmei	-|-|---|--⌫---⌫|-|--|
ke uncneme mo strasun segrei	-|--|-|-|--⌫---|--|-----|
mutatat enduesuffert	--|-|--⌫---||------|
