cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
liliunsditqueaui sl ifu	-|----|--|--|---⌫|-⌫|-|
quelilusaueitt or t eu	--|-|--|----|-⌫--⌫|-|
eligupilzaueit raisu n	|-|-----|----|-----⌫|
mestantiotdemespri sun	--|---||-|-|------⌫--|
e issicum e mei est	|---|---⌫|--|--|
tut eitissi	--|--|---|
samencungeest plus	-|-------|--|---|
c ouenable	-⌫-------|
eme u zresemblec hose	|--⌫-⌫|-------|-⌫---|
qued elgupil la	--|-⌫-|----|-|
nuldee usnedeitestre	--|-|-⌫-|-|---|----|
issideitfereli bon	---|---|---|-|--|
ilne dei t	-|-|---⌫|
pas iugernedi re	--|----|-|--⌫-|
hu me qu ede	--⌫-|--⌫|-|
luiti enent	--|--⌫----|
ireementen sacurtu ie nent	-------|-|-|---|-⌫--⌫---|
uers lunpa rl er	---||-|--⌫--⌫-|
quealaut re deiue	--|||---⌫-|----|
mesadresce r asun po er	--|-------⌫||--|--⌫-|
e l irefe re remaner	||--|--⌫-|------|
une cheureuoleit aler	--|-----|-----|---|
l aupasturepoeit trouer	-⌫||------|----|-----|
s un cheuerol	-⌫-|-------|
s ili pria ed e fendi	-⌫|-|---||-⌫-⌫----|
qu il ne laissa stpurm urir	-|-|-|------⌫-|--|-⌫---|
ensembl eod	-------⌫|-|
eusb esteuenir	--|-⌫---|----|
purparolene pur	--|-----|-|--|
decikeelereuienge	---|-|--|-------|
quan tele fualbois	----⌫|--|-|-|---|
el iluslotdedenzueu e	|-⌫|--||-|-----|---⌫|
alcheueroluet	-|-------|--|
que lus o ueristceoli pria	--||-|-⌫-----|--|-|---|
odteleuo iz c ume	-|---|--⌫-|-⌫--|
la cheureau eit	-|-----|--⌫--|
elicheuerollires pun d eit	|-|-------|-|---⌫---⌫-⌫--|
que lauoizdes amere oi	--|-|---|-|-⌫|---|-|
mes sun c orsnentnechois i	--|--|-⌫--|---|-|-----⌫|
u aar er efetele	-⌫|--⌫--⌫|--|--|
bie n s ai q uetu	---⌫|-⌫-|-⌫-|-|
n espas mamere	|-|--|-|---|
sili che uer ollust	-|-|---⌫---⌫-||--|
enlameisunensemble odli	-|-|-----|-------|-|-|
mangié lust edeuoré	------||--||------|
p urceochastiel e sene	-⌫-|--|------|-⌫|---|
qu ehu mnedeie mal cunseil	--⌫|--⌫|-|---|--|------|
ne mencuinged ire pur ueire	-|--------|-⌫--|--|----|
tutegent sei uent cunseiller	---|---|---⌫---|---------|
mestuzc u nseilz nu nt	--|--|-⌫-⌫-----||-⌫-|
pas mes ter	--|---⌫--|
li feluns elidesleial	-|-----||-|-------|
dunen ttuz i u rs cunseil dema l	-----⌫|--|-⌫-⌫-|------|-|--⌫|
c u ntedunmesurur	-⌫-⌫--||-|------|
mesurotuniur	------|-|--|
du rementma udist	--⌫-----|--⌫----|
pot par nu leauenture	--|--|--⌫-|-------|
ceo distdr eit	--|---|--⌫--|
laperche dis tlai mei	-|-----|---⌫|--|--|
faz parmeinule rien	--|--|--|---|---|
gettes ceoueit	-----|--|---|
mestuesple i nde	--|-|-|---⌫-⌫|-|
surmei turnestafelunie	--|--|-----|-|------|
linundreiturers	-|--|---------|
q ua nthum	-⌫--⌫-|--|
aparceit lurmesters	-------|--|------|
lesautres ue ule ntenc up er	--|-----|--⌫---⌫-|---⌫--⌫-|
e l urmesfetsureus turner	|-⌫-|-----|--|--|-----|
un e bisse chastiotia	--⌫|----|-------|-|
unsu en fe o nque	-|--⌫-|--⌫-⌫|--|
c umilsed eustp art utguarder	-⌫-|-|-|-⌫---|-⌫-|-⌫-|------|
edes ueneursd esturner	|--|------|-⌫-------|
edelui quil n elencuntr as t	|-|--|-|-|-⌫||-------⌫--⌫|
quilne locesistemangast	-|-|-||------||------|
qu antilalo ent siparlant	--⌫--|-|---⌫--|-|------|
siuntueuunhumeer r ant	-|--|--|-|---|--⌫-⌫--|
a rcportotsetesebulzuns	-⌫-|-----|----||------|
sa merea pe lalifeuns	-|---|-⌫--⌫-|-|----|
deman da lique cil humefu	-----⌫-|-|--|--|---|-|
ela bysse ad re s pundu	|-|----|-|--⌫-⌫----|
ce s tcilduntplus te	|-⌫-⌫|--|---|---|-|
deiz c remer	---|-⌫----|
egreinurpourpuz	|------|---|--|
meso r elesg arde	--|-⌫-⌫||---⌫---|
biende pres	---|-|---|
situ l encuntres ia mes	-|-||--------|--⌫--|
q uedeluites aces	-⌫-|-|--|-|-⌫---|
estut pasfetilduter	----|--|--|-|----|
ilnenusu eutfere nul mal	-|-|--|-⌫--|---|--|--|
partde lcheua l	---|--⌫|-----⌫|
e stdescen duz sies t	-⌫-|------⌫--|-|--⌫|
u ee restesmaiez	-⌫--⌫|--|------|
nenilbe ufizdeceo ni	----|--⌫|--|-|--|||
ein zesguardehardi e ment	---⌫|-------|-----⌫-⌫---|
si uaitsunfustapa r ailla nt	-|---|--|---|---⌫-⌫-----⌫-|
grant mal el ch ef deuant	----|--|-|--⌫-|-----|
sil le fetue rs	|-|-|--|--⌫-|
nus u enir	--|-⌫---|
bien enpurrumlemal sentir	---|-|-----|-|--|-----|
meuzes tquenusen	---|--⌫|--|--|-|
duncl ires pundilifeu ns	---|-⌫|---⌫----|-|---⌫-|
nefui r a i mi edici q uiltr aie	-|---⌫-⌫-⌫|--⌫||--|-⌫|-|--⌫--|
quelauenturequ e ie oen aie	---|-------|--⌫|--⌫|-|--|
en rep roche dithum su uent	-|---⌫----|--|--|--⌫---|
fous ne crent	---|-|----|
d ici qu ilpent	|--|-|-|---|
quantfolne	----|--|-|
ueutcre rele	---|---⌫-|-|
pe rtp a rsunutra ge	--⌫-|-⌫-⌫|--|----⌫-|
cin us recunted	-|-⌫-|------||
u nc orb el	-⌫|-⌫---⌫-|
queensei gnotun	--|-----⌫---|-|
suenoise l	---|----⌫|
quilnedeustnulhummeatendre	-|-|-|----|--|----|------|
qu iluousist	-|-|------|
en cumbrere prendre	--⌫------||------|
sil hummeueistbai sser u erstere	|-|----|----|---⌫---|-⌫--|---|
pre ndrebastunu piere	---⌫---|-----||----|
dunc s en de ust	---||-|--⌫--|
aillursuoler	------|----|
qu ecilnelpoistencum brer	--⌫|--|-||----|-----⌫---|
si ieo ne lueifetilbeisser	-|--|-||--|--|-|------|
n en sesmeinsrien manier	|-|--|----|---|-----|
d eiieoduncremuer	-⌫-|--|---|-----|
licorpsr espunt laisse	-|----|-⌫-----|-----|
uolepartei si te	---|--|--|-|-|
oresu isanzdute detauie	--|--⌫|---|---|-|-|--|
amesautresoiseusirai	|--|-----|-----|---|
amunpoei rlur	|--|----⌫|--|
par cest e ssamplenusdit tant	--|---|-⌫------|--|--|---|
quanthuma dnurri sun	----|--|-⌫|----|--|
ueits ageeueizie	---|-⌫--||-----|
lequeo rad	-|----⌫|-|
ioius elie	----||--|
asuncunseilledeitleisser	|--|------|-|---|------|
e pu isles	|--⌫-|--|
autr esau ance r	----⌫-|--⌫----⌫|
parueiless ampletruis esc rit	--|---|---⌫----|----|---⌫--|
e ysopu s l e cunteedit	|-----⌫|-⌫|----||--|
unb ucs entra enunel ande	-|-⌫--|----|-|--|-⌫---|
si alot quere	-|---|----|
g uardasi uitunluuenir	-⌫----|-|--|-|-|----|
n epotesturnerneguenchir	-⌫|--|-------|-|-------|
lan desares tut	---⌫-||----⌫--|
l ilus demand a queceodut	-⌫|--|------⌫|--|--|--|
ence lelandemis	-|--⌫-|----|--|
e qu ilaueit dedenzquis	|-|-|----|-----|---|
lib uc sres puntieouusfui	-|-⌫--⌫|---⌫---|--|--|--|
tant cu m ieo	---|--⌫|--|
poimesor esaidefi	--|--|--⌫|--|-|-|
que ieonepoifuirauant	--|--|-|--|---|----|
alé q ue rant	---|-⌫--⌫---|
lilus li dist e	-|--|-|---||
ieoteaiquis	--|-|-|---|
part uz les b oisdecestpais	--|-⌫-|--|-⌫--|-|---|---|
ceomest auisun anentier	--||--|---|-|-|-----|
mutaueiegrantdesirer	--|----|----|------|
dema nger de ta ch ar	-|--⌫---|-|-|--⌫-|
que estsaine	--|--|----|
sinies mi ec hargiéde laine	-||--|--⌫|-⌫------|-|----|
auezfetli bucs troué	---|--|-|---|-----|
si uusrequer par charite	-|--|-----|--|------|
que aucunemerci epardun	--|-----|----||-----|
facez cest uostrecumpain un	----|---|-----|-------⌫-|
li distquantil	-|---|----|-|
t u nauerasiade mei	-⌫||-----|-|-|--|
puistermed o ner	---|----|-⌫-⌫--|
uei e uifa ler	---⌫|--|-⌫--|
ieo ne quer te rmedist	--|-|---|--⌫--|---|
f orsta ntque ieodiepur uus	-⌫--|--⌫-|--|--|--|--|--|
unemesseautr e	--|----|----⌫|
surcel tertre	--|--|-----|
keio lauei	-|-|-|--|
tutes lesbestes quilo rrunt	----|--|-----|--||-⌫----|
bois eas uilessunt	---||-|----|---|
fe ru nt pur	--⌫--⌫-|--|
deupre ere	--|---⌫--|
li l uslotreieenteu manere	-|-⌫-||-----|-|--|-----|
horsdelal ande amdui	---|-|-|-⌫---|----|
ensembleuienenttres q ue	-------|------|----⌫-⌫-|
libucs e steitdesus muntez	-|---|-⌫----|----|-----|
li lus fu t utaseurez	-|--|-|-⌫-|------|
de suz remis t si atendi	--⌫--|-----⌫|-|-----|
libu csleuaenhaut suncri	-|--⌫-|---|-|---|--|--|
sidure mentaueit	-|----⌫---|----|
pastu rsunthorsal e ́	-----⌫|---|---|--⌫-⌫|
e cilq ue pres	|--|-⌫-|---|
ea s uilesentur	|-⌫|----|----|
man eien t	---⌫----⌫|
l eluuirent s il escrierent	-⌫|-|-----|-⌫||---------|
detutes parzles	-|----|---|--|
chenshuerent	----|------|
leluuntprise deciré	-|-|--|---||------|
e il adlebucapelé	|-|-|-|--|-----|
frerefet ilb ien sai	----|--|-|-⌫--|--|
m a lementauez prie ́pu r	-⌫-⌫-----|---|----⌫|--⌫|
bien po ienten dre parle	---|--⌫|-----⌫--|--|-|
quece o ert	--|--⌫|--|
preerede enemi	-----|-|----|
mutestmau ueis e ta	--|--|---⌫----⌫|-|
unc mesnoi peiur messe	--|--||-|----|----|
par mafe isiredist l ib ucs	--|-|--⌫|---|---|-⌫|-⌫--|
tut autresi	--|------|
priaipuruus	----|--|--|
uousistespurmeifeire	--------|--|--|----|
karfelestesedeput	--|--|----||-|--|
poeieie omerci au eir	----|--⌫|----|--⌫--|
queieou es qu issetresqu eal se ir	--|--|-⌫--⌫--⌫---|------⌫|-|--⌫-|
purceomest ut de	--|--||---⌫-|-|
e uusleisser eublier	|--|------||-----|
c eoueit humd e	-⌫-|---|--|-⌫|
mein t ege nt	----⌫-⌫|--⌫-|
quequidenttutae scient	--|------|--||-⌫-----|
qu e autredeiuepur eus	--⌫|----|----|--|--|
e lur me ssagebi en port er	|--|--⌫----|--⌫-|----⌫-|
siparolentlepl uspu reus	-|-------|-|--⌫-|--⌫|--|
eleis sentsiublienticeus	|----⌫---|-|------|----|
a k iileur en tbelpremis	|-⌫|-|---⌫--⌫|--|-----|
nelurfuunc	-|--|-|--|
fors lepis	---|-|--|
unui leinotfemmeespuse	-|--⌫---|-|----|-----|
esteitc unt rariuse	-----|-⌫---⌫------|
uniur furen t ensem ble	-|--|-----⌫|-----⌫--|
pureus deduire	--|--|------|
l i uilei ns a safemmedit	-⌫|-----⌫-||-|----|--|
queuncmesdesoilz	--|--|--|--|---|
n ulpr efaukésiuelement	-⌫-|--⌫|-----|-|-------|
elel irespu nthastiuement	--|-⌫|-----⌫-|----------|
ainzf uaunsforcestrenc h ez	---|-⌫||--|-----|-----⌫-⌫-|
uileinse inzestfa u chez	------|-⌫--|--|--⌫-⌫---|
ei nzestfetlafe mm e t unduz	--⌫-|--|--|-|--⌫--⌫|-⌫----|
du ncs e stli uileinsirascuz	--⌫-||-⌫-|-|------|------|
tues fetil fol epru uee	-|-|--|-|---⌫|---⌫--|
cesteh erbe	----|-⌫---|
fuodfalcsc opee	-|-|----|-⌫---|
mestuies si engresseefole	--|-|--|-|-------||---|
queaua n tueusmettretaparole	--|---⌫-⌫|---|-----|-|-----|
l ameieueusferereme indre	-⌫|---|---|---|----⌫----|
paren grestemeuolsateindre	--|--⌫-----|-|---|-------|
li uileinsl ada ualgetee	-|------||-|-⌫--|----|
si liad lalange	-|-|-|-|----|
puisdemande que ia u islifu	---|------|---⌫|-⌫-⌫-|-|-|
quee l eenaueitent endu	--|-⌫-⌫|-|----|---⌫---|
silip rezfuodfalcs fauchez	-|-|-⌫--|-|-|----|------|
uodforce sfusttrenchez	|-|-----⌫|---|-------|
la ui elle quantnepo tparle r	-|--⌫---|----|-|--⌫|-----⌫|
od s e sdeizpri sta mustrer	-|-⌫-⌫|---|---⌫-||------|
quefo rceslaueie nt tr enché	--|--⌫---||-----⌫-|--⌫-----|
equ efalcs nelotpasseié	|--⌫|----|-||-|--|----|
parc est essampleu eutmustre r	--|-⌫--|-------|-⌫--|------⌫|
bienlepeot humsuuentpruuer	---|-|---|--|-----|-----|
paroleunc folie	-----|--|----|
eautreuientquesenslidie	|----|----|--|---|-|--|
nelcreitpas	-||----|--|
einzs enaire	---||-|---|
que lenes t	--|--|--⌫|
ueut sa mencunge	---|-|-------|
mettreauant	-----|----|
nulnelfereitdeceo	--|-||-----|-|--|
dunu ile incunte	|-|-⌫---⌫-|----|
unefemmequ ilmutcremeit	--|----|-|-|--|------|
karel e este itmut felunesse	--|--⌫|----⌫-|--|--------|
d emal e part e	-⌫|---⌫|---||
tenceresse	---------|
eis siauien t	---⌫-|-----⌫|
menots es humesenlab ur	----|-⌫-|----|-|---⌫-|
du n cpri erentcil al uil ei n	--⌫-⌫|---⌫----|--|-|---⌫--⌫|
quelur dunastcerueisee	--|--|-----|-------||
sienpur reient le	-|-|---⌫-----|-|
a sa f emmeles ruue aler	|-|-⌫---|--|---|---|
prier que elelur dun ast	----|--|--|--|---⌫--|
karpis lur	--|--|--|
s er eits ilialast	-⌫--⌫--||-||----|
ci lunt alafem mepr e ié	--⌫|--||-|---⌫-|--⌫-⌫--|
puisli u ntdi t e cunsei llé	---|-|-⌫-|--⌫||------⌫---|
q uesissirespasne	-⌫-|--|----|--|-|
duncre spundi	---|--⌫-----|
queelel ur	--|--|-⌫-|
mesguardassentquil nen eust	--|----------|-|-||-|---|
nenemangast odeusn e beust	-|-|------|-|--|-⌫|----|
oreala ssent	--|---⌫----|
fau cher lesprez	---⌫---|--|---|
elelurportereita sez	--|--|--------|-⌫--|
cilsenale rentliement	--||-|---⌫---|------|
el euient apr es hastiueme nt	--⌫|----|---⌫-|---------⌫-|
ui andeebei ureluraporta	--⌫---||---⌫--|--|-----|
qu e haiti e ́fuss entceo	--⌫|-----⌫-⌫|----⌫--|--|
ense mbleasistrent almanger	----⌫---|--------|-|-----|
pensezfe tele	-----|--⌫|--|
de lh a iter	--⌫|-⌫-⌫---|
siferumsnusf et libaruns	-|-----|--|-⌫-|-|-----|
e g rantmerc iquenu s tau ums	|-⌫---|----⌫|--|--⌫||--⌫--|
uits unseignur lie	--|-⌫-|------|--|
mutotel equeortristee	--|-|--⌫|----|-----||
de s unbarunse	-|-⌫-|----|-|
treist ariere	-----|-----|
ci lla siw iuerslariuere	--⌫|-|---⌫|---|-|-----|
tan tcu m el esetraist en sus	---⌫|--⌫|--⌫|-|-----|-|--|
lasiwieplus	-|---||---|
tant q ue lipi ezlieschapa	---|-⌫-|-|--⌫-|-|------|
enlewecheit	-||--|----|
sienfundra	-|-------|
le s serganz s aillirent apres	--⌫|------|-⌫--------|----|
ewe curentades	--|-----|---|
purli tenir	--|-|----|
queelen epassast	--|--|-⌫|------|
equelifloz nen portast	|--|-|---||-|------|
liuileinles	-|-----|--|
adesc rie ́	-|---⌫---⌫|
nesuntpasbi e nalé	-|---|--|--⌫-⌫|---|
encuntrelewe la deussen t	-------||--|-|-------⌫|
la l a purr u nttrouer a	-|-⌫|----⌫-⌫-|-----||
lalaq uerunt si	-|-|-⌫-----|-|
feruntbien	-----|---|
tantertencuntretute rie n	---|--|-------|---|---⌫|
quealuallewen	--|-|--||--||
est pasalee	--|--|---|
od redd urnes t	-|----⌫-||--⌫|
ensamor t nefeist ele mie	-|-|---⌫|-|----|--|--|
ceoqueneuot fereensauie	--|--|-|--|---|-|-|--|
issi auientplus ursest riuent	---|-----|----⌫--|---⌫-----|
uerslurseign ur s	---|--|-----⌫--⌫|
tantcumil uiuent	---|--|-|-----|
ne ueulentnesentir	-|------|-|-----|
quelsmau slur pe otaue n ir	----|---⌫|--|--⌫-|---⌫-⌫-|
lu rriotet ienent auant	--⌫|----|-⌫-----|----|
qu antille uaap arceuant	--⌫--|-|-|-|--⌫-------|
eilleturne	|-|-|----|
enmalta lent	-|-----⌫---|
si seuengeplusasprement	-|-|----|---|--------|
unlieuresuitun c erf	-|------|--|-|-⌫--|
s escor nes pristareguarder	-⌫-|---⌫--|----||--------|
mut li se mbla beles atest e	--|-|--⌫---|---|-⌫|----⌫|
plussetin tuil e quenule beste	---|-|---⌫|---⌫|--|---|----|
quant aut resi n esteit	----|---⌫---||-----|
e quil estei tsipoi creuz	|-|-|-----⌫|-|--|----|
a l a s epande alaparler	|-⌫|-⌫-----|--|-----|
sili cumencea d eman der	-|-|------||-⌫----⌫--|
p urquei ne lo t	-⌫-|---|-||-⌫|
e decornessiaurnee	|-|-----|-|-----|
cumot lecer fqu i lot	--|-|-|---⌫|-|-⌫|-|
ladeue sse ad respundu	-|----⌫--|-|-------|
tu mesfezfet	-|-----|--|
elel eimei est er	--|-⌫-|--|---⌫-|
tunespu rreie s guuerner	-|-||--⌫-----⌫|-------|
co rnesal chiel a munt	--⌫---|-|----||---|
mes nes p o eitmiep orter	--|-||-⌫-⌫--|--|-⌫----|
karnesa ueit odtutaler	--|-|--⌫---|-|--|---|
car plusaueit que nedeust	--|---|----|--|-|----|
neq uesagrandurnestut	-|-⌫-|-|------||----|
essampleueutmustrer	-------|---|------|
lecoueitu s	-|-------⌫|
ueulent tuziurztant com encer	------|--|---|---|---⌫----|
esiseueulent esha ucer	|-|-|------|----⌫---|
sien pernentparlur	-|-|------|--|--|
que lur t urneadamage	--|--|-⌫---||-----|
unluasgardaun colum	-|-|------|-|----|
quecuil lot	--|----⌫--|
desuz unbuissun	----|-|------|
ramelsdunts unniuoleit	-----|---|-⌫-|-|-----|
parlanese pottere	----|-|-|--|---|
mutteueifetiltrauailler	--|-|--|--|-|---------|
cuillir merinepurcha cer	------|----||------⌫--|
ieo n e uei meudr eta	--|-⌫|--|-----⌫|-|
dunc respu ndi liculum	---|-----⌫--|-|----|
e ieoteueituziurzbe rbiscuillir	|--|-|--|--|---|--⌫---|------|
aignelemutunsretenir	-----||-----|------|
e sin enesme uzauan cez	|-||-|-|--⌫-|----⌫--|
ne plusriches ne	-|---|-----|-|
p lus pr ei sez	-⌫--|--⌫--⌫--|
issiuetil de sreobeurs	---|--|-|--⌫|-------|
deslaruns e	--|-----||
destrich eurs	--|-----⌫---|
quant i lasemblentautri aue ir	----|-⌫|--------|----|---⌫-|
peothumsou ent u eer	---|--|---⌫--|-⌫--|
ensuntgueresamendé	-|---|-----|------|
tuziurs uiuentenpouerte	--|---|-----|-|------|
ungupileu nc ha z	-|----||-⌫|-⌫--⌫|
pa rmiunchamps i purp arlerent	--⌫--|-|----|-⌫|----⌫-------|
quilsereientcumpainun	-|-|-------|--------|
duncsasemblent s uz unbui ssun	---||--------|-⌫-|-|---⌫---|
licha zalgupildemanda	-|---⌫|-|----|------|
par quelsse defende ra	--|----|-|-------⌫-|
lau il erententre pris	-||-|----|-----⌫---|
gupilli ditamis	----|-|--|---|
centenginssai umutme crei	---|-----|--||--|-|---|
ep leinepuche en ai odmei	|-⌫----|----|-|-|-|--|
mes ioneuoillapu cheouerir	--|-|-|---|-|--⌫--|-----|
de ciquecil deiuentfailir	--⌫-|--|--|------|-----|
lich azrespuntp arbre ue ra isun	-|--⌫-|------|-⌫-|---⌫-|--⌫---|
nusnerumsmie cumpainuns	--||----|--|---------|
karieone saifo rs	--|--|-|--|--⌫-|
ceoseuen t bien tutmiue i sin	--|-----⌫|---|--|-|--⌫-⌫--|
uunti ssi parla nt	---|-⌫--|-----⌫-|
deus chi ensuienent tostcurant	---|---⌫--|------|---|-----|
lig upilue rs	-|-⌫---|--⌫-|
lec hatescr ie	-|-⌫--|----⌫-|
ore a imest er	--|-⌫|----⌫-|
lechazre s p unt	-|---|--⌫-⌫-⌫--|
engin cel ert od	----|--|--|-|
duncsautle chazs urlespin e	---|---|-|---|-⌫-||-----⌫|
le chi ensaisissent par l eschine	-|---⌫-|---------|--||------|
legu pilsil uuntdeti rant	-|--⌫--|-||---|----⌫---|
elichazli escrietant	|-|---|-|-----|---|
cumpainp urqueie spa rni es	------|-⌫-|---|-⌫---⌫---⌫-|
que tapuche n e	--|-|----|-⌫|
tu lesparn iestrop lun gem ent	-||------⌫--|---|---⌫---⌫--|
tehas tentdurem ent	-|---⌫---|-----⌫--|
purq ueinastunsacdes lié	--|-⌫--||-|--|--|---⌫---|
ieol ai fet ilt r op	--||-|--|-|-⌫-⌫-|
espar nié	-----⌫---|
ieo lte dibienmeuz a merei e	--||-|-|---|---|-⌫-----⌫|
tu n sulenginsi ieolaueie	--⌫|--|----|-|--||----|
queces dunt aima	--|--|---|-|-|
puc hepleine	---⌫-|-----|
ieoteuei deliueréde	--|-|--|--------|-|
bienmed eitf etil remem brer	---|-|-⌫--|-⌫-|-|-----⌫---|
deceoque ieoaioi c unter	-|--|--|--|-|-|-⌫----|
suuent estateintl ig upilz	-----|--|-----|-⌫|-⌫----|
tu tseitilquointesp arsesdiz	--⌫|---|-|-------|-⌫-|--|--|
delment eur	--|----⌫--|
