o rfaitespaixpourDie	-⌫|-----|---|---|--|
entre uousetmoya.Ersoirauosouppermon	----|---|-|--|-|-----||-|------|--|
uoussalluaA boireme donastes. ParDieu	---|-----||----|-|--------|--|---|
qu itoutcreaIene	--⌫|---|---|-|-|
pensoyemie le	------|--|-|
besoignequiua Quecachis s i e ́z mam ort	-------|--|-|--|------⌫-⌫-⌫-⌫-|-|-⌫--|
en ce steostel	-|--⌫--|----|
droitcha. Orm edittesp ourquoy	----|---|-|-⌫|-----|-⌫--|---|
etq uiuouscons eilla	-|-⌫-|---|----⌫----|
Adestru ire	|------⌫--|
moncorpzqu i four fai tneuousaEt seuou s	--|----|--⌫|----⌫---⌫|-|---||-|-|---⌫|
ne ledittesmoriruous	-|-|-----|----|---|
conuenra. Adont le	--------|----|-|
ch euallierlui distetrecordaDufierDriamadan	--⌫-------|--|---|-|------|-|---|--------|
quile ducsaisya Et	--|-|--|----||-|
Ant hia meetGeri nque en saprison a.	---⌫---⌫-|-|----⌫|--|-|-|-----|-|
luidis tdIuoire queforment conuoita	--|---⌫||-----|--|------|-------|
Con lui deuoitdon ner	|-|--|-----|---⌫--|
tostqu ochiz la ra .uas sa ulx sedist Ga rin	---|-|----||-⌫--⌫|---⌫--⌫--|-|---|--⌫--|
sauéz comm en t il ua.	-----|----⌫--⌫|-|--|
Iesuizamon	-|---||--|
hostelmamerele pay a.Et	-----|-|---|-|---⌫-|-|
sefuch c ye nsn e éz elle	-|---|-⌫--⌫-|-⌫-⌫--|---|
syaccoucha.Etp oury tantmon	||--------|-|-⌫--|-⌫---|--|
corpzneuousadessera.Mai s	----|-|---|--------|---⌫|
bon c as telun gcheuallieryaS ic ques demain	--|-⌫--⌫--|--⌫|---------|||-⌫--⌫---|-----|
mon corpz deuers lui	--|----|-----|--|
u ousmenra. Parytel conuentque	-⌫--|-----|--|---|------|--|
m on corpz	-⌫-|----|
uousdiraQue uezcymon	---|---|--|--|-|--|
gaigequemoncorpz	----|--|--|----|
Que traïttregloutton mon corpzuous	--|--------|-------|--|----|---|
prouueraE te n c a mpd e	-------|-⌫|-⌫|-⌫-⌫-|-⌫|
bat ailleapprouuéuoussera.Etl aait	---⌫----|--------|---|----|-|-⌫|--|
u ictoire quia uoirle pora Etseie	-⌫------|--|-⌫---|-|---|-|-|-|
doymoriretDi eux destin él a	--|----|-|--⌫--|------⌫-|||
Morirueuilenfait	----|----|-|---|
da rmes.- CheuallierdistGarin	|-⌫----||---------|---|----|
ieuousliure	-|---|----|
mongaige Pourprouuerc ont re	--|----|---|------|-⌫---⌫-|
uousuillon ni eet hontaige	---|------⌫--⌫|-|-------|
mef fizon cques a uous	---⌫--|--⌫----||---|
nauoli gn aige. Et sim e pourcachiés	||-|--⌫--⌫----|-|-|-⌫|-----------|
teldommaige	--|-------|
Qu edemoym urdrir uous pens éz a outrai geLe	--⌫|-|--|-⌫-----|---|----⌫--||------⌫-|-|
deleuille enaratesmo ig naige Caruous	-|-|----|-|--|-----⌫--⌫----|--|---|
legeh iréz	-|---⌫----|
de uo s imple	-|-|-⌫----|
langaige. -uassaul xdist Arch illusparDieu	--------||-------⌫|---|----⌫----|--|---|
etp a rSimaige Iay	-|-⌫-⌫||-----||-|
tant oÿ pri sie r	---|--|---⌫---⌫|
etloeruo bar ronnaigeQueiacorpzcon tre	-|---|-|---⌫-------|--|-|----|---⌫--|
uerr ézmonuisaige.Iesuizenuomercy et	----⌫--|--|-------|-|---|-|-|----|-|
enu ostre maisnaigeSy	-|-⌫----|--------|-|
poué zdessus	-----⌫|-----|
mo nstre r uostreau a ntaigeIe ne	--⌫-----⌫|-----|--⌫-⌫-----|-|-|
d ef fendre.-	-⌫--⌫------||
Garins di stArchillusie merens uoprison.	-----|--⌫-|--------|-|-|---|-|------|
Ie sçaybien queuers	-|----|---|--|---|
u ous iefizmespris onQu euo usdeuïsse	-⌫--|-|--|-------⌫-|--⌫|--⌫-|-------|
ochire parm orteltraïson.	-----|--|-⌫----|--------|
Dr iamadanmon	--⌫------|--|
sirem auoitdonnéledonDeuostre	---||----|-----|-|--|-|-----|
chierea mie a l e	-----|-⌫--||-⌫|
clerefa chon.	----|--⌫----|
Syu ous priemercyie	-|-⌫--|---|----|-|
suize nuo m aison.-uassaul xse	---|-⌫|-|-⌫-----||-------⌫|-|
dis tGarins	---⌫|-----|
fa it aués mesp rison. M a i suous nel auéz mi emeffait	--⌫-|----|----⌫-----|-⌫-⌫-⌫|---|-||----|--⌫|------|
unggar ch o n	--|---⌫--⌫-⌫|
Ains leauézfait a	---|-|----|---||
G arin iosneualle tonFilaud ucd	-⌫---|----|-----⌫--|--|-|-⌫-||
Acquittain equiSauaryanom.Etcelluiqui	----------⌫|--|-----||---|-|-----|--|
deuoitmo ncorpz prendr e	-----|--⌫|----|------⌫|
ba ro nCestproprement	--⌫--⌫||--|---------|
m atante parurayeent encï on.Mai s	-⌫|----|--|----|---⌫-----⌫--|---⌫|
Acqui ttaine queDi euc roisser eno mB aniti ad is m amer e	-----⌫-----|--|--⌫-|-⌫-----|-⌫---⌫|-⌫---|-⌫--⌫-|-⌫|---⌫|
parcertaine	--|-------|
occasionCaril amo i t Yderne alaclerefachon.	-------|--|-|---⌫-⌫|-----||-|----|------|
Oresses t ma riee	---||--⌫|--⌫---|
set i en tmar egïon Etle	-|-⌫-⌫--⌫|-|-⌫-----|-|-|
terrequ ifuamonperelebaron.Driamadan	----|--⌫|-||--|---|-|-----|--------|
prisqu i parsame sprison A mis leducmon	---|--⌫|--|-|--⌫------||--|-|--|--|
pereensamens tacïon Etse	---|-|-|----⌫------|-|-|
lui ueulttollirsa noble regïo n.Maisfoy	--|----|-----|-|----|------⌫-|---|--|
que do yaDieuet a	--|--⌫||---|-||
d ignenonEtlasaintisme croix en	-⌫---|--|-|-|--------|----|-|
q uoy eubP assion Se ie	-⌫--|--|-⌫-----|-|-|
explo i ttier ainchois	-----⌫-⌫----|-------|
longuesaison L a	-----|-----|-⌫|
chos equila fait	----⌫|-|-||---|
sansraisonLuitourner a	---|-----|--|-------⌫|
saconf us ion Et	-|----⌫--⌫--|-|
Yde rneenungfu decarb on.Et	---⌫--|-|--|-|-|----⌫--|-|
pourcequei e	---|-|--|-⌫|
ueuilqu e nfaichiéz	----|-|-⌫|--------|
mencïonPour	-------|---|
deffian chef a ireac et raïtre laron uou s pardoinscy	-------⌫--|-⌫-⌫--||-⌫|-⌫------|----|---⌫|-------|-|
endroit uo stremespri s on.Enlonneur deCe llu iqui s ouffry	------|--⌫---|------⌫-⌫--|-||-----|-|--⌫---⌫|--|-⌫-----|
sain tecr oi x pournore dempc ïon Et a	----⌫-|--⌫--⌫|---|-|--⌫-----⌫---|-||
Longispardonnadumble	-----|-------||----|
condicïo nSamort etpouryta nt	---------⌫|-|---|-|---|---⌫-|
q ue Long is fistremissionuous	-⌫-|----⌫-|---|--------|---|
ueui lp ardonneruostremesprison.Q uantAr chil lus l oÿ	----⌫|-⌫-------|-----|---------|-⌫---|--⌫----⌫--||--|
genoullonEtluiuolloitbaisierlepietet	--------|-|--|------|------|-|---|-|
letallon.Aym on	-|------|-|-⌫-|
seig neur distilfilzdenoble	----⌫---|---|-|---|-|----|
en mo yauiés	-|--⌫|-----|
fianchepar	------|--|
uos treinte ncïon	---⌫--|----⌫-----|
Moult bienuo usaid eroyeparbonne auisïon. -	----|---|--⌫-|---⌫----|--|----|--------||
ua ssaulxsedistGarinlaissi éz uostre r ai s on.I any	--⌫-----|-|---|----|------⌫--|-----|-⌫--⌫-⌫--|-⌫|||
a rayfianche.	-⌫--|-------|
Lyés fulecheuallier	----|-|-|---------|
quan til o teten tent Que Garinlui auoit	----⌫|-|-⌫|-|--⌫---|--|----|--|----|
pardonnéen sement. L en demainsep artyaumatin	--------|--⌫------||--⌫-----|-|-⌫---|-|----|
tempr ement.Ga rinsle	-----⌫-----|--⌫---|-|
con uoyaarme ́s souffiss anment. Au dep partirluidistSi res alléz	---⌫---|----⌫-|--------⌫------|-|---⌫-----|--|---|--⌫--|-----|
uouse ntDittesa Driamadanqu	---|-⌫-|-----||--------|-|
illaistle cas seme ntO uielui	-|----|-|---⌫----⌫-|-⌫|-|--|
pourchacheray sigrant inc o nu enie ntDe	------------|-|----|---⌫-⌫--⌫----⌫-|-|
S ez illee t dail leursety	-⌫--⌫---|-⌫||---⌫----|-||
menrayt antde gent	-----|-⌫--|-|---|
Queielegiettera yhorsde	--|-|-|--------⌫|---|-|
montennement Et s	--|--------|-||
arderay Yd ernequiouu r amaisement.A	------|--⌫---|--|---⌫-⌫|---------||
sesmosse partyetcon giet	--|--|-|----|-|---⌫---|
eulxprent.A rchil l us fumoultlyéset a Dieugrace	---|-----|-⌫-----⌫-⌫-|-|----|----|-||---|----|
p rent.Dist a	-⌫----|---||
com paignonsuez lademoiselge ntFieulx estdemon	---⌫-------|--|-|-------|--⌫-|-----|--|-|--|
seign eursi	-----⌫--|-|
auonsf aussementOuuré encontrelu i	----|-⌫--------|-----|-------|--⌫|
dollent .Syme	-------⌫|-|-|
doubtequen	-----|-|-|
finn enayons	--||-|----|
gri efettourment. Ensement se	---⌫-|-|--------|-------|-|
deuisent ch eu auchant asprement. EtGarinsretournaau har dy conu ent	-------|--⌫--⌫------|---------|-|-----|-------|-|---⌫-|----⌫--|
Etatro uuésa mereq uip louroit tenrement	-||---⌫---|-|---|-⌫-|-⌫------|--------|
Pour le duc	---|-|--|
dAc quittaine	|--⌫--------|
auf iercontennentE t	-|-⌫--|---------|-⌫|
poursesdeux enffans	---|--|---|------|
ou tant otdens sient.	-|---|-||---⌫-----|
AyDieuxdistlad uchoisepere somnipotent	-|----|---|-|-⌫------|----⌫|---------|
Pourq uo y nesc ̧otmon	---|-⌫--⌫|-|--⌫--|--|
corpzle certai nconuentD A nt yam ese tGerin donti e	----|-|------⌫|------||-⌫--⌫---⌫-|-⌫|----|---|-⌫|
fisportement	--|--------|
u inrentpa r auenture pr enrehe rbregem entAuec moyquie stoye leur	-⌫-----|--⌫|-------|--⌫---|--⌫-------⌫--|---|--|--|-⌫----|---|
p rop rement. Ieleseu ïsseiafestyémoultnobleme ntMoulten	-⌫---⌫------|-|--|--⌫----|-|------|----|-------⌫-|----|-|
ioye.ADieuxdist l aducho iseque iesuiztou rmentee	----||----|---|-⌫|-----⌫--|--|-|---|---⌫------|
m on se igneuretmadoulceporteeEt Yuoire maseur	-⌫-|--⌫-----|-|-|-----|-----|-|-----|-|---|
ded en spr is on	---⌫--⌫|--⌫--⌫-|
f erme eSel eurpouoyeaidiertostseroye	-⌫----⌫|-|-⌫--|-----|-----|---|-----|
auisee. -Me resedist	------||--⌫-|-|---|
Garintropfaiso nsd emouree.Allon s	----|---|-----⌫-|-⌫-------|-----⌫|
en A cq uittain edont estesa douee	-|-⌫--⌫-------⌫|---|----|-⌫----|
Cheual liers et bar o ns i u ous ontraui seeuousferon s	------⌫----|-|---⌫-⌫|-⌫|-⌫--|--|----⌫--|---|-----⌫|
granthonn eur	----|----⌫--|
etserézhonnoureeEtsera y	-|-----|--------|-|----⌫|
r ech eüs deceul xdelac ontree.Yderne	-⌫---⌫---|-|----⌫|-|-|-⌫------|-----|
feray prendreet sera en brasee.Le d ucdel iuronsqui	----|------|-|---|--⌫------|-|-⌫-|---⌫-----|--|
tantarenommee.	---||--------|
Aultrementnes era	---------|-|-⌫--|
poi nt lachoseacq uieuee . -Bieufilz	---⌫-|-|----|---⌫------⌫||---|---|
duchosemalseroye	------|--|-----|
auisee.Car s e nous yal iesm es tropse roye	------|--|-⌫|---||--⌫----⌫-|---|--⌫---|
doubteeConnenous fesist	------||-|-|---|-----|
mal si que spoint ne magre e	--|--⌫---⌫|----|-||----⌫|
lesbaronsiemesoy monstreeCar iesuizpa r	--|-----|-|-|--|-------|--|-|---|--⌫|
leducbannye	-|--|-----|
fou riuree.-DamesedistGarin par	---⌫------||---|-|---|----|--|
nommeeIammai s ne	-----|------⌫|-|
f iner ay seneserézraco r de e.EnAcquittaine	-⌫----⌫-|-|-|-----|----⌫-⌫--⌫-|-|----------|
yraysanspointde	---|---|----|-|
demouree.Se tre uueDriamadanq uita ntade	--------|-|---⌫--|--------|-⌫-|--⌫-||-|
ponne e Latestelui	-----⌫|-|----|--|
tauraya ma trenchantespee Presen t sa	-----||-|--------|----|------⌫|-|
baronny eQuant lada meoÿ	-------⌫|----|-|--⌫-|--|
Ga rinsif aite ment par ler	--⌫--|---⌫----⌫---|---⌫--|
Adeuxgenoulx	|---|------|
senuadeu a nts on	|-|-|---⌫-⌫-|-⌫-|
giet ter.Mercy	----⌫---|----|
distellenyueuilliéz poin taller	---|---|||---------|----⌫|----|
Caruousuo l le ́zmorir	--|---|--⌫-⌫--⌫-|----|
quantce ueui lli ézpenser .-Damece dist	----|-|----⌫---⌫--|------⌫||---|-|---|
Garinto ut ce l ai ssie ́zesterCa rfoy que	----|--⌫-|-|-⌫--⌫----⌫-|----|--⌫|--|--|
doyaIh esuCri stporter	--||--⌫--|---⌫-|-----|
hommeencemondequimen feïst a rrester. Adont	----|-|-|----|--||-|-----|-⌫-------|----|
laduch ois e tenrement	-|----⌫---⌫|--------|
aploure r. EtGarinle ndem ainmoult biense	|------⌫-|-|----||-⌫----⌫--|----|---|-|
armerEtmo nta a cheualquilot fait	----|-|--⌫--||-----|-|-|-|---|
appres terEtal laasa	------⌫--|-|--⌫-||-|
lecongietdema nde r.	-|------|----⌫---⌫-|
Mais celle au deppartir	---|----|-|--------|
nepouoitmo tparler	-|-----|--⌫|-----|
P asmeedemouroitetn yot	-⌫----|--------|-|||-|
qu aÿrer. Etl e uiell a rt Garin le ua	-|------|-|-⌫|-----⌫-⌫-|----|-|-|
resconforte r Etlui	-----------⌫|-|--|
Ma dameou uous ueui ll iéz	-|---|-|---|----⌫--⌫---|
droit q ueu ousauéz ferauofi lgar derCa r	----|-⌫-|-⌫--|----|---|-|--⌫|---⌫--|--⌫|
u ousauéz	-⌫--|----|
ungfilmoult	--|--|----|
hardybacelle r	----|-------⌫|
EtDieuxle aidera sondr oit	-|----|-|-----|--|--⌫--|
transport er.M aisla	---------⌫--|-⌫--|-|
damenepouoit son enffant oublye r.EtGarincheuauchaou	---|-|-----|--|------|------⌫-|-|----|--------|-|
point da merEtiu r e cellui	----||-⌫--|-|--⌫-⌫|-----|
Dieu quitout a a sauuerQuily ra	---|--|---|||-----|-|-|-⌫-|
Acquittaine gaignier	----------|-------|
etconcquesterEtson	-|----------|-|--|
freres aidie r	-----|-----⌫|
et conforter	-|--------|
Et silpeutDriamadanenou	-||-|---|--------|-|-|
pallaistrouuerD	------|------||
Allexandr esespeelyrate lcopdo nn er Quel	---------⌫||----||--|--⌫|--|--⌫--⌫-|--||
achier luifera	-----|--|---|
iusqu esaux denscoulle rEt	-----⌫-|--|---|------⌫|-|
puis feraYderne	---|---|-----|
enun gfuenbra ser .	-|--⌫|-|-----⌫---⌫|
Ensementdis tGarinqui tant f istaloer.	-------|---⌫|----|--|---|-⌫--||----|
Et Di eux laid a	-|--⌫--||---⌫|
po uoitbi en	--⌫---|--⌫-|
acquieuerCequilauoi t e mp r issi	--------|-|-|-|----⌫|-⌫--⌫-⌫-|-|
commeorézcomp t e rEn	----|----|----⌫-⌫-⌫|-|
nostreura ye ystoire. Des	-----|---⌫-|-------|--|
o ress en ua Garin al echiere h ard ie	-⌫--||-|-|----||-⌫|-----|-⌫---⌫-|
PardeuersAcquittaine	--------|----------|
uoye ac cue illie.O rlec onduiseDi e uxle	---|--⌫---⌫-----|-⌫|-|-⌫------|--⌫-⌫-|-|
fieulzsainte	-----|-----|
MaryeCaril sen u aem prendre une ch osehard ye	----|--|-||-|-⌫|--⌫------|--|--⌫--|----⌫-|
sebie nluienuientt re s grandecourtoisieLuiara	-|---⌫|--|-|----|-⌫--⌫|-----|---------|--|--|
faitDieu xqui	---|----⌫|--|
toutaenbaillie.	---||-|-------|
T ant s exploitta Ga rin dontieuous signiffie	-⌫--||--------|--⌫--|---|-|---|--------|
Acquittaineuint	----------|---|
u ngso irapréscomp l i e.Aunghostel s en	-⌫-|--⌫-|-----|----⌫-⌫-⌫-||--|-----||-|
uie nt prendreherbre gie. Ilalostetro uuéa	---⌫-|------|------⌫---|-|||---|---⌫---||
luiz lézlac auchie.	|--|---|-|-⌫------|
lesaluaetdistDieux uo usbeny e	-|----|-|---|----|--⌫-|----⌫|
Se uous uolléz	-|---|------|
a uost recommandieuous l a rézb riefmentet iele	|----⌫-|--------|---||-⌫---|-⌫-------|-|-|-|
uousottryeCar	---|-----|--|
u ousme semble ́ zhomsde bonne partie.	-⌫--|-|------⌫-⌫|---|-|----|------|
-Hostessed istGarin u o us	|-----|-|-⌫--|----|-⌫-⌫-|
di ttescourtoisie .L orsdesscendyillecet	--⌫---|----------⌫|-⌫--|--------|----|-|
sena resta	-||-⌫----|
ass ier d euotementmoult	---⌫--|-⌫--------|----|
do ulcementluiprie. Sires cedistG arin	--⌫-------|--|----|----|-|---|-⌫---|
pour lecorpzsainte ElyeDequi	---|-|----|-----|---|-|--|
tien ton ores c es tecitégarny e-	----⌫|-|---|-⌫--⌫-|----|-----⌫||
Siress edistlehost escertes i euous aff yeQ u	----|-⌫|---|-|----⌫-|-----|-⌫|---|---⌫-|-⌫|
onlesolloitt enir	-|-|------|-⌫---|
de droitte anchisoirieDunducmoultsouffissant p lain	-|------|----------||-|--|----|----------|-⌫---|
c he u alle rieEtquie stoitextrai sdemoult	-⌫--⌫-⌫----⌫--|-|--|-⌫----|------⌫|-|----|
haulte ligni e.Etse	-----|-----⌫-|-|-|
prinstune damecourtoiseet agensyeF lou refuappe llee	-----|--|---|--------|-|------|-⌫---⌫-|-|----⌫---|
roydePauye.Ma isle	--|-|-----|--⌫-|-|
ducS auary d o ntieuous signiffieNe luifist	--|-⌫----|-⌫-⌫-|-|---|--------|-|--|---|
oncq uesbienennu liou rde	----⌫--|---|-|--⌫|---⌫|-|
sa uie. Pourune	-|---|---|--|
damoisel leotsamoullier	--------⌫-|-|-|-------|
ban nyeP uisf u nostre duch oise enungbos murdryeEt	---⌫--|-⌫--|-⌫|-----|----⌫---|-|--|--|------|-|
espousaleduc	------|-|--|
une putainhardye. Etpuis	--|-----|------|-|---|
funo cité	-|-|----|
des Lo mb arsas sigie Et la fu	--|--⌫--⌫--|--⌫----|-|-|-|
prisno du c	---|-|--⌫|
q uiot lach ier ehard ye.Ly ung dist	-⌫-|-|-|--⌫---⌫|----⌫--|-|--|---|
quilest mortl	-|-|--|---||
autredistquiln est	----|---|-|-||--|
mye. Mais la	---|---|-|
fausemauuaisequelecorpz	----|-------|--|-|----|
Dieu maudyeAprisungch euallier	---|-----||---|--|--⌫-------|
plaindeui ll onnye.S eigneur	----|-|--⌫--⌫-----|-⌫------|
paÿzparsalosengeriePa rsa grant maiset éala	----|--|-|---------|--⌫|-|----|------⌫-||-|
terre ho nnye.Il	----|--⌫----|-|
desr obele sgens	----⌫--|--⌫|---|
etfaitgrant tir annye.Etseprent	-|---|----|---⌫-----|-|-|----|
uIId eniers du n	--|-⌫-----||-⌫|
huis surlecauchie	---|--|-|------|
D une fenest reIIIIetsunshomssemarye	|--|------⌫-|---|-||--|---|-|----|
Dequantquil a	-|----|-|-||
uai llant encestemorteluieDriamada nen	---⌫----|-|----|-----|--|--------⌫|-|
dro ittement la moitt ie. DeXX	---⌫-------|-|-----⌫--|-|-|
solzuI deniersprend d	---|-|------|----||
unemarchandye	--|---------|
unshomsse m eurtsyprent du sien	--|---|-|-⌫---|-|----|-|---|
partye. Ensem entnous	------|-----⌫--|---|
mai niletparlabaro n nieQui l uiconsentde	---⌫|-|-|--|-|----⌫-⌫--|--|-⌫-|------|-|
faireil enontleur	----|-|-|--|---|
partie.Et quantGa ri ns loy ̈	------|-|----|--⌫--⌫-||--⌫|
lecuer luiattenry e.Sir eDieuen	-|---|--|-------⌫-|---⌫|---|-|
iura lefilz sainteMarye Queceste u ureseratemprement	---|-|---|-----|----|--|---|-⌫-⌫--|---|---------|
Etsoncorpz enmoraade uletahasqu ie.	-|--|----|-|---||--⌫-|-||-----⌫--|
L an uytallasoupp era	-⌫|-⌫--|---|-----⌫-||
p etitemaisn ie.Ius qualendemainquelaube e st	-⌫----|-----⌫--|---⌫-|||-------|--||---|-⌫-|
esclarchieQue	---------|--|
Garins sel euaqu iforment estu die A faire	-----|-|-⌫--|--⌫|------|----⌫--||----|
sapen se e.Quant	-|---⌫--⌫-|----|
leuéztostalla au m oustierPour IhesuCrist	-----|---|---|-|-⌫------|---|----|----|
de glo ireaou reret	-|---⌫--|---⌫--|-|
prier. Puis reuintal	-----|---|-----|||
osteletse ua uthaubre gier. E tlui hostes lui	----|-|-|--⌫-|------⌫----|-⌫|--|-----|--|
