ocum es ri ches	|--|-|--⌫---|
cui p ens eadrecet	--|-⌫---⌫|------|
totessesoyures ala reu le deiustiseensique	----|--|-----||-|---⌫-|-|------|------|
liintentions	-|---------|
soitsaineetl ioyu re d roi te bienaurosest	---|----|-|-⌫|---⌫-|-⌫---⌫-|--------|--|
a ssicilqui	-⌫--|--|--|
lestraual zd esoncorsordinet	--|------⌫|-⌫|--|---|------|
poriustiseensiquetotceuqu	--|------|------|--|--|-|
ilso ffrets ostignet por l ou	-|--⌫----|-⌫-------|--|-⌫-|
fil dedeup or	--|-|--|-⌫-|
ceuque murmuracion sne soitel cueret	--|--|-----------⌫|-|---|-|---|-|
boche so ient lirendementdegraceset li	----|--⌫---|-|--------|-|-----|-|-|
ensisest soll euez	---||--|----⌫---|
portetson l eit etsienuat	-----|--|-⌫--|-|-|-|--|
maisonnostreleizestnostreco rsou	-----|-----|---|--|-----|--⌫-|-|
nosap rimiersgesienstut	--||-⌫------|------|--|
langue ros quantnosserui ens anoz	------⌫--|----|--|-----⌫--||--|
d esiers e tano zcuuisesmais	-⌫-----|-⌫||--⌫|------|---|
o rloportonsq uant nosma l greitsien	-⌫|-|------|-⌫---|--|--⌫|----|---|
l o faisons est re	-⌫|------|---⌫-|
obedientalespi ritetmort loport on s car	-------|||----⌫--|-|---|-|----⌫--⌫|--|
lic orsest	-|-⌫--|--|
mor zporlopechiet nosalun s to t euoi esetne	---⌫|--|-|------|--|----⌫|--⌫-⌫----⌫-|-|-|
corronsmieca rli	------|--|--⌫|-|
corsqui c orrum p aules	---|--|-⌫-----⌫-⌫----|
est apoeset l	--|------||
ainrmeetapr ess et	-----|-|---⌫---⌫-|
literriienehabitac ionslose npen sant maintes	-|--------|-------⌫---|-|--⌫|---⌫---|------|
choseset si	-----|-|-|
alonsassiennos tre maisonet enquel	----|---|-|---⌫--|-----|-|-|---|
maison en la mer e	-----|-|-|---⌫|
detoza f aiz	-|--||-⌫--|
carlorsep ulcresuntlormaisons empermenant	--|--|---⌫----|---|--|------|-|--------|
o u enn ostre mai sonpermenantquenos depart deu	-⌫|-|-⌫----|---⌫--|--------|--|--|-|---|--|
auon senciel	----⌫|-|---|
quen en estmiesfaitedemains nos	--|-⌫-|--|---|----|-|----|--|
quior alonsdesoz	--|-|----|----|
comentcudiezuosq uenoscorre	-----|-----|--|-⌫-|--|----|
doiensetuolerqua nt	-----|-|----|---⌫-|
l aueronsmis certesnos uol e rons so r	|------|--|-----|--|---⌫-⌫---|--⌫|
les pennesdes uenzem braciét	--|-----|--|---|--⌫-------|
no satnos t resiresihesusper no stretraual et	--⌫|-|---⌫-⌫-|----|-----|--|--⌫---|-----|-|
per nostr edolor	--|-----⌫|----|
rembra ceo nsloassiperiustise etper	------⌫---⌫-|-|---|--|------|-|--|
lase i e iust iseet soffriens	-|--⌫-⌫|----⌫--|-|--------|
noztraualz	--|------|
poriustiseetsidiiens ensemble	--|------|-|-|-----|-------|
l espouseielt enui n e	|------|-||-⌫---|-⌫|
ie n e lla raimies dison sassiemsemblelo patri arche	-|-⌫||--⌫--|---|-----⌫|---|-------|-|-----⌫----|
lar aimiesdeciatantq uetu m	---⌫-|---|-|-|----|-⌫-|-||
aue rasbenitet quiatilmai squ e	---⌫--|----|-|-||-|-|---⌫---⌫|
ap re slembracem entqui	--⌫--⌫||--------⌫--|-||
baisiern onalcuer	------|-⌫-|-|---|
qui ensiestahers	--|---|--|----|
nec ouientm ies iai huchierba i st	-|-⌫-----|-⌫--|--|------|--⌫-⌫-|
b ai sierd esaboc hemaisrepax nos	-⌫--⌫---|-⌫|-|---⌫-|---|----|--|
orci entredouschiersire	-|-|----|---|----|---|
del p aindelarmes etsinos	--|-⌫--|-|-----|-|-|--|
aboeurede l armesemmesuredeci	------|-|-⌫----|-|-----|-|-|
atantqu e tu nos permognesala mesure	-------⌫|-|--|--------||-|-----|
b oneetchachieie et s orussan t	-⌫--|-|--------|-|-⌫-------⌫|
no sd arr as	--⌫|-⌫---⌫-|
en nozsenstu quiesel	-|--|---|-|--|-|-|
sendelpere de ussor	--|--|---|--⌫-|--|
toteschose s	----|-----⌫|
benoz e ns seules	----|-⌫-|-----|
ci stsuntliiorchier freirecui	--⌫-|---|-|--|----|-----|--|
nos doien swarder	--|-----⌫|-----|
cist suntl iio rplain	---|---|-⌫|--⌫|----|
depi tietetdeg raceou	-|--⌫---|-|-|-⌫---|-|
neslicuerd e	--|-|---|-⌫|
latresmalotegent su ntemmeutapenitencesi	-|---|-----|---|--⌫-|-----||--------|-|
li forcedes sacremenzqu en	-|----|--|--------|-|-|
celebre tencez	-------⌫|-|--|
iors quilpueent	---|-|-|-----|
trenchieretamollir ceoscuersmismeset	--------|-|------|---|----|-----|-|
ceospezquidu rsunt	---|--|--|--⌫|---|
sicumpiereancor	-|--|----|----|
ueons nos huidecesti or	----|--|--|-|---|-⌫-|
commueu ree t lespieres	-------⌫-|-⌫|--|-----|
partirete n	-----|-|-⌫|
laco nfessiondespechiez	-|--⌫-------|--|------|
aourir lesmonumenz enla	-----|--|-------|-|-|
passio n decristmaisporc eu	------⌫|-|----|---|--|-⌫-|
qu ensespiritelsmaingiers sicum enscorpor els	-|--|---------|--------|-|--|--|------⌫--|
es t a permemmes	--⌫|-⌫--------|
en suns apparil lieie	--⌫|--|-------⌫----|
lis auorset	-|-⌫----|-|
ens a ltressecouient	--|-⌫----|-|------|
pl ustrauillier	--⌫-|---------|
sinen estmiesmestiers	-|--|--|---|-------|
quenose nceles	--|--|-⌫|----|
chosesquao uertessun t demoriensanz	-----|-|--⌫-----|---⌫|--------|--|
en cerchie ns di li antremen t	--⌫-------⌫-|--⌫--⌫--------⌫|
c eles queclos e ssuntli mere nedonet	-⌫---|--|----⌫-⌫|---|-|---|-|----|
mie a s onenfant	--||-⌫-|-----|
petitlan uixentie re an z la crustet	----|-|-⌫--|-----⌫-|--⌫|-|----|-|
siliespeur tl o	-|-|------⌫|-⌫|
no uu ellon en s iuosdoueroeiua ou rirsiiupoie les	--⌫--⌫----|--⌫-⌫|--|------|-|-⌫--⌫--|-|-|---|--|
sunts icumamestres	---|-⌫|--||--|---|
chiers fi lz mais porceuque	-----|--⌫-|---|--|--|--|
soffes mies a	-----|---||
ceusidesir i uqu elis apience	--|-|----|-⌫|--⌫|-|-⌫------|
n ostremerebrist	-⌫----|---|----|
ce les nuizeta mi eta	--⌫--|---|-||-|-||
uoscest celes	--||--|----|
nuiz queliuerge aaronpor tat	---|--|-|----|----|---⌫--|
cuinostre siresfistussir	--|-----|----|---|----|
de sion mol t	-|---|---⌫|
eni at deces	-||-|-|--|
sacremenze tsinosl es uoliens	--------|-⌫|-|--|-⌫-|------|
tozencerchier li ho u redeliorne	--|---------|-|--⌫-⌫-|--|--|-|
nossofferoi tmies	--|--------⌫|---|
deceos i atperaue ntureentreuos	-|---||-|--|---⌫----|----|--|
quifleue su ntde	--|----|--⌫-|-|
tantaret eni re nsembled ison sdonquesde	---||---⌫---⌫|-⌫------|-⌫----⌫|------|-|
troissacremenzqu ia	----|--------|--⌫||
cesttens affi er entou	---|---|----⌫--⌫--|-|
futnostresiresmorz	--|-----|----|---|
sacremenzual taltantcumsacrés	--------|---⌫|-----|--|------|
signesoucumsa crez secrez	-----|-|--|--⌫---|-----|
mainteschose s faito mpor el esmismes solemente t	------|-----⌫|---|-⌫|--|--⌫-|-----|-------|-⌫|
maintesch o s es	------|--⌫-⌫-⌫-|
p orlasignifian ce daltres c h oses etceles choses	-⌫-|-|---------⌫-||-----|-⌫-⌫---|-|----|-----|
a pele tom sig n eset	-⌫----⌫|-|---⌫-⌫-|-|
sel suntetdeceupounstra ire essample	-||---|-|-|--|----|---⌫--|-------|
d eceles choses mismes q en	-⌫|----|-----|-----||-|
auientquen	-----|-|-|
donetun anelporlanel	----|-|---|--||---|
solem ent senstotes	-----⌫--|---|----|
significhanc es etal afieie auient	------------⌫-|-||-⌫|----|-----|
qu enlod onetporla	-|-|-|-⌫---|--|-|
ue s teuredancun her itagee tc i l	--⌫-⌫----||----|---⌫----|-⌫|-⌫-⌫|
anelssiestsignesd	----|-|--|-----||
alt recho se	---⌫-|---⌫-|
ens ique cilpuet	---⌫---|--|---|
iadirequireceu tlatlianelsneualt	-|---|--|-----⌫||-|-|----|-|---|
n ulechose maisli	-⌫--|----|---|-|
heritagesestce u	--------|--|--⌫|
queiu quaroieente l mani ere	--|-|------|-|--⌫|----⌫--|
uoltreuestir les siens nostre	---|-------|--|----|-----|
sirespersa so ule g race	----|--|-|--⌫--|-⌫---|
quantil a la mor t aprochatensique li	----|-||-|---⌫|-------|------|-|
niantu isibl egrace	----|-⌫-----⌫|----|
doneieperancuneu isibleensegneporceu	-----|--|-----|-⌫-----|------|--|--|
suntestaulit	---|-------|
sacrementporc euest	--------|--|-⌫-|--|
esta uli z lil auemenzdes piez	----⌫---⌫|-|-⌫------|--|---|
et li encomu nemenzdelcorsetdelsanc	-|-|------⌫-----|--|---|-|--|---|
nostre signor	-----|-----|
por c euestes tauliz	--|-⌫-|--|--⌫-----|
libatism esq uiest liencomencemenz	-|------⌫-|-⌫-|--|-|------------|
detoz les sacremenzou omnosplantet	-|--|--|--------|-|-|--|------|
alase mblancede	|-|--⌫------|-|
samort etpo rceupor tent lafig uredece z	-|---|-|--⌫|--|---⌫---|-|---⌫--|-|--⌫|
trois io rs	----|--⌫-|
ordoie nscelebrerlit roiplungement	-|----⌫-|-------|-|-⌫--|---------|
to tens i cum	--⌫|---⌫|--|
ilatdiuer s es ensegnesens chose sdeforaines	-|-|-----⌫-⌫-|-------|--|-----⌫|---------|
en siatilass iensde de ntr ien e set le su es teu res	--⌫-|-|-|---⌫|--|--⌫--⌫---⌫---⌫-⌫|-|--⌫|-⌫--⌫---⌫--|
quen fait desheritages	-|-|---|--|--------|
etdesaltresterrienes	-|--|-----|--------|
cho sessun t	---⌫--|---⌫|
diuerses om re ue stlo chanon e	-------|-|--⌫--⌫-|-|------⌫|
d esapr ouend eperl ouliure	-⌫|-|--⌫-----⌫|--|-⌫-|----|
l abeitdesonabie	|----|-|--|---|
perlacroce etleueskede	--|-|----|-||-----|-|
son eueschiet perlacroce etper	--|--------|--|-|----|-|--|
lanelen sembleete nsicum	|---|--⌫-----|-|-⌫--|--|
ilestdecezcho sesensi	-|--|-|--|---⌫--|---|
suntdoneieslesdiu is io ns des	---|------|--|---⌫--⌫--⌫-|--|
diuerspr estes etq uelses tligra cedon t	-----|--⌫----|-|-⌫---|--⌫|-|---⌫-|---⌫|
omno suest	-|--⌫|---|
pe r lob a t ismeli espurgemenz des	--⌫|-|-⌫-⌫-⌫---|-|----------|--|
pechiezet q uip uetfaire	------|-|-⌫-|-⌫--|----|
natc onceueme nt desemenc equenenest	--|-⌫--------⌫-|-|------⌫|--|--|--|
quisou lz estna zet en c ui	--|---⌫-|--|--⌫|-|-|-⌫-|
nun spechiez	---⌫|------|
licircu mcisions est o itpr imierslis a cremenzdecest egrac e	-|-----⌫-------|---⌫-⌫-|--⌫-----|-|-⌫-⌫------|-|----⌫|----⌫|
porceuq u eperlo coutelfus treis lien rutemenz	--|--|-⌫-⌫|--|-|-----|---⌫|---|-|--⌫-------|
del original	-||-------|
pechiet quiestoituenuz den ozprimiersperesma is	------|--|-----|----|-|-⌫-|-------|----|--⌫-|
quantnostresi res	----|-----|--⌫--|
uintqui est li a gnels	---|--|--|-|-⌫----|
to z d o uzet	--⌫|-⌫-⌫-|-|
t oz sueiscui ius	-⌫-|----|--|--|
est ligier set cu if az es tsueis	--|------⌫|-|--⌫|-⌫-|--⌫|----|
si futci stsacremen z	-|--|--⌫-|--------⌫|
moltcouen aulementchaingniezensi que li	---|-----⌫-------|---------|---|--|-|
a uuelauestatotluncion	-⌫--|-----|---||-----|
e spiritlenuizieieenrute ur eetque cill e	-⌫-----||--------|------⌫--⌫|-|--|----⌫|
delcoutel fust mais aleie	--|-----|---|---|----|
mais ancunsporitdiresilipechiez denoz	---|-----|----|---|-|-|------|-|--|
p ri mierspeires	-⌫--⌫----|-----|
est d estruzen nosp er lobatismepo rcairem aint	--|-⌫-----|-|--|-⌫-|-|------|--⌫|--|---⌫---|
donsanc or	---|---⌫-|
noslicuuises quiestassicumu ns nurissemenz	--|-|------|--|--|---|--|-⌫-|----------|
etun senbr asemenz	-|--⌫|----⌫------|
depe chietn en	-|--⌫----|-⌫-|
est miesdottequece ste l oys	--|---|----|--|--⌫--|-⌫--|
depech iet n enos	-|----⌫--|-⌫|--|
soitu e nue deparnozanci enspe res carp or	---|-⌫-⌫--|-|--|--|----⌫--|--⌫--|--|-⌫-|
ceuq ue no s somm es	--|-⌫-|--⌫|----⌫-|
tu tengenuitempeche riseuol un t eitsisentonsnosmal	--⌫|-------|-|-----⌫---|---⌫--⌫-⌫--|-|------|--|--|
nostreassic umunsbe stial s	-----|---|-⌫-|--|--⌫-----⌫|
mo uem e nzde cuuises o uentlo	--⌫---⌫-⌫-|-|-----|-⌫-⌫---|-|
uos aidit nen	--|-|--|--|
ob lier nel	--⌫---|-||
do iz mie que	--⌫-|--|--|
nostutcheumes	--|--|------|
el trabuchement	-|-----------|
del primie rhommenosc heumes sor un	--|------⌫|----|--|-⌫-----|--|-|
etembraucheu mesetpo r	-|-|---|----⌫--|-|--⌫|
ceusin esommesnos	--|-|-⌫|-----|--|
mie ssolementwas teit a nzsommesassinaureit et	---⌫|-------|---⌫---|-⌫-|-----|---|------|-|
quasseit li gierementettostpoons estrelau eit	-------|--⌫--------|-|---|----|----|---⌫--|
m aisa ceu	-⌫--||--|
quenosresa neitsoiens	--|--|----⌫---|-----|
at mestierpl us gr anztraua ls	-|------|--⌫-|--⌫--|-----⌫-|
etp lusgranzmedicinenos	-|-⌫--|----|-------|--|
so mm es lau eitelbat is me	--⌫--⌫-|---⌫--|-|---⌫--⌫-|
batismeestdestruzlicyrographes denostredamnaci on	------|--|------|-|----------|-|-----|-------⌫-|
graceensiqueli cuuisesn e	----|------|-|------|-⌫|
miesgreuermaisque no s delcon sentement	---|-----|---|--|--⌫|--|---⌫--------|
nos astigniens	--|---------|
ensisommes	---|-----|
nosdel iureit assi cum dela pourreturede	--|---⌫-----|---|--|-|-|---------|-|
lenuiezieie	|---------|
plaiequant	----|----|
om oste t denosla	-|----⌫|-|--|-|
damnac ion etlo	------⌫--|-|-|
re spon sd emort qui	--⌫----⌫|-⌫|---|--|
de laideco rroita primiers	-|--|----⌫----||-------|
maisquipor it	---|--|---⌫-|
brisier sicruiers moue menzet qui	------|-|------|----⌫---|-|--|
porit soffri rloca ttillement	----|------⌫|-|--⌫---------|
d e cestcloneuos	-⌫|---|--|-|--|
emmaiezca rporceu	------|--⌫|--|--|
uient ligrace	----|-|----|
etsinossoscort etporceu	-|-|--|------|-|--|--|
que n o sseurso iens decest	--|-⌫-⌫|---|--⌫---|-|---|
sesco rssi	-----⌫-|-|
en auonsnos enuesteure lo	-|----|--|-|-------|-|
sacrementdel pr ecios	--------|--|--⌫----|
corse tde l	---|-⌫|--⌫|
preciossancdou schosesfaitennos	------|---|---⌫|-----|---|-|--|
sa cremenz car il nosward etno st resentet	--⌫------|--|-|--|----⌫-|--⌫--⌫-|---|-|
ens plus gries	--|---|----|
pechieznosostetde ltotlo consen temen tsi	------|--|----|--⌫|--|-|------⌫-----⌫|-|
ancuens est	------|--|
en tr e uosqui sisouen tnesiagreme nt ne	--⌫--⌫|--|--|-|-----⌫|-|-|------⌫-|-|
sentetmiesl enm ouement	-----|---||---⌫------|
derancune et denuie et	-|------|-||----|-|
de l uxureetde salt r es m ali ces	-|-⌫----|-|--⌫|---⌫-⌫-|-⌫---⌫--|
rendetomgraces alcors etal san c nos tr esignor	-----|-|-----|-|---|-|-|---⌫|---⌫--⌫|-----|
u ir tu z delsacre ment oyur et	-⌫--⌫--⌫|--|-----⌫---|----⌫-|
etsis oitl iez	-|-|-⌫--|-⌫--|
de ceuq ue litrespesmes	-|--|-⌫-|-|---|-----|
closestuenuzas ainteit	---|--|----||-⌫------|
m aisto teuoi es que feronsnos	-⌫--|--⌫-----⌫-|--|-----|--|
deceuquenos ences t	-|--|--|--|-|---⌫|
pechietetencestmaltens	------|-|-|---|--|---|
nepoons estre se nspechiet	-|----|----|--⌫-|------|
de spi rro nsnos	--⌫---⌫---⌫-|--|
porceunenilsideu	--|--|----|-|--|
plaist si nos d isons	-----|-|--|-⌫----|
c e distsainziohan sque	-⌫|---|----|-----⌫|--|
nos nen auo ns nulpech ietnos deceu ons	--|--|---⌫-|--|----⌫--|--|-----⌫--|
nosmismesmaissi no s noz pec hiezregeissonsdeus	--|-----|---|-|--⌫|--|---⌫---|---------|---|
est foiaules	--|-------|
quinospardonratnoz	--|--|--------|--|
pe c hiezetquidetote felenie nos	--⌫-⌫---|-|--|-|---|------|--|
n atteirat	-⌫-------|
dottiensmie s dela remissi on	-------|---⌫|-|-|-------⌫-|
desp echiezc ha sq ueiornals si	--|-⌫-----|-⌫--⌫--⌫--------|-|
auo ns n os son	---⌫-|-⌫-|--|
sacreme nt	-------⌫-|
laue mentde s pie z	----⌫---|--⌫|---⌫|
maisp erauenture	---|-⌫-|-------|
dem and es comenti u sapquece	---⌫---⌫-|-----|-⌫|--|--|-|
soit lisa cre menzde	---|-|--⌫---⌫---|-|
pardoncumcesoitqueno stresiresdeist a	-----|--|-|---|--|--⌫---|----|----||
sain t piere	----⌫|----|
iufaizneseis	-|---|-|---|
tuor mies mais telsaueras	-|-|---|---|--|------|
ciapres nenulech oseneparla s td el	-|----|-|---|--⌫--|-|-----⌫-⌫|-⌫-|
anz dist qu il	--|---|-|-|
essa mplelor	----⌫---|--|
auoit d one it	----|-⌫---⌫-|
quilensi fesissentdaltre	-|-|---|--------||----|
partillorauoi t	---|-|--|----⌫|
ancormol tadir e	----|---⌫||---⌫|
q uildon s ne	-⌫|-|---⌫|-|
poient mies p orteret	-----|---|-⌫----|-|
po r ceusenesuo lt ilmieslaierd eltot	--⌫|--|-|--|--⌫-|-|---|----|-⌫-|--|
dotance et en	------|-|-|
angusteitne neloruoltmies	--------|-|-|--|---|---|
dire cho sequ	---|---⌫-|-|
il n ep ussententendre	-|-⌫|-⌫-----|-------|
et uuessa uoirquece uf utfait porsa crement	-|---|--⌫---|--|--⌫|-⌫-|---|--|--⌫------|
s ole ment por	-⌫---⌫---|--|
ess ampleeswarde c euque futdita	---⌫----|------|-⌫-|--|--|--||
saintpie re	----|---⌫-|
s i iuneteleuetunen auer as part	-⌫|-|-|-|---|-|--|----⌫-|---|
ensemble mi	-------|-|
ancune chosei estdons	-----|----||--|---|
re celeiequenec essaireest	--⌫-----|--|---⌫------|--|
a salueteitquant sainzpieres m isme snen a uer oit	|--------|----|----|-----|-⌫----⌫|--|-⌫---⌫--|
sen s ceupar telregnedede uo r eswa rdesi	---⌫|--|---⌫|-|----|-|--⌫|-⌫|----⌫--|-|
sain z pieres	----⌫|-----|
mismesnenot paourde	-----|--|-|----|-|
c est emana sce silneconut	-⌫---⌫|----⌫--||-|-|----|
q uec euestoit sacremenzqua	-⌫-|-⌫-|-----|--------|-||
s a lu etei ta perteniuet	-⌫-⌫--⌫----⌫|-⌫---------|
quantilrespondit sire	----|-|--------|---|
dis tilnemeleue miessolement lesp ie z	---⌫|-|-|-|---|---|-------|--|-⌫--⌫|
maisassi e tlesma insetlochief etcoment	---|---|-⌫|--|--⌫--|-|-|----|-|-----|
sa uo nsnosqu ecist lauemenz apertignetal	--⌫--⌫-|--|--⌫|---|-------|---------|-|
lauementdeceos	-------|-|---|
pech iezquimortelne suntmies	----⌫--|--|-----|-|---|---|
porceu que nostr e sires	--|--|--|-----⌫|----|
re spondit asaintpiere	--⌫------||----|----|
quilioff riuet etsesmai nsetson	--|-|---⌫----|-|--|---⌫-|-|--|
chiefporlauer sisauons nosceucil distil	----|--|----|-|-----|--|--|--|---|-|
lauezest nen at mestierquil lecet mais	----|--|--|-|------|-|-|----|---|
lespiezlaueze stci l	--|---|----|-⌫-|--⌫|
qui nulc riminalpechie tnen	--|--|-⌫------|------⌫|--|
atcarses chie sc est	-|--|--|----⌫||--|
soninte ncio nsetsesmains	--|----⌫----⌫-|-|--|----|
c estsonoyure etsa	|--|--|----|-|-|
conuersacions est nate	------------|--|---|
ma islipietqui suntle sa ffeccions	--⌫-|-|---|--|---|--⌫|-⌫--------|
del cuernepueentmie	--|---|-|-----|--|
