carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
ebrami d onie les tur sli a drendues	|-----⌫-⌫---|--|---⌫|-|-⌫|------|
suntgrandeslesci nquantemenues	---|------|--|--⌫------|-----|
espleit etq ui damnedeus aiuet	-------⌫-|-⌫-|--------|----|
passetliiurzl a n oit est aserie	-----|-|---|-⌫|-⌫--|--|-----|
c lers est la lune eles esteilesflamb ient	-⌫---|--|-|---||--|-------|-----⌫---|
li e mpereread sarrag uceprise	-|-⌫------|-|------⌫--|----|
a milfra nceisfuntbencercer	|--|---⌫----|---|--|-----|
l es sin ago gese lesmahume ries	-⌫-|---⌫---⌫--||--|------⌫---|
a mailzdefer	|----|-|--|
eacuigneesqu ilti ndrent	||-------|-|-|--⌫-----|
fr uissentlesymagenes etrestutes l es yd ele s	--⌫------|--|-------||--------|-⌫-|--⌫---⌫|
rema indrat ne	----⌫-----|-|
sorznefalser ie	---|-|------⌫-|
l ireiscreiten	-⌫|---|----|-|
d eufai re	-⌫-|---⌫-|
uoeltsunseru is e	----|--|----⌫--⌫|
es ieuesqueles euesbeneissent	|-⌫|------|--|---|---------|
m e inent pai ene ntr esqualb aptis terie	-⌫-⌫----|---⌫-|-⌫---⌫---|-|-⌫-----⌫----|
s oriadcelquicarlescuntredi re	|-||-|--|--|-----|--------⌫-|
illef aitprendre oarde ir ouocire	-|-|-⌫--|------||----⌫-|-|----|
b aptizétsunta sez plu sdeyymilie	-⌫-------|---|-⌫--|---⌫|-|-|----|
u e irchrestiennemaissullareine	-⌫-⌫-|--------|-|---|--|-|----|
e nfrance d ulce	-⌫|-----|-⌫---|
iert m e n ee c aitiue	---|-⌫-⌫-⌫-|-⌫-----|
couoeltlir eis par amu r	-|----|-|-⌫--|--|---⌫|
cu nuertisset	--⌫---------|
passetla noitsiapert lecler	-----|-|---|-|----|-|---|
d esarraguc e carlesguarnistles	-⌫|--------⌫|-----|-------|--|
mil cheua le rsi	--|-----⌫--⌫-||
lais satpuigneurs	----⌫--|--------|
guardentlau ile a	-------|-|-⌫--||
oes lempereor	--||-------|
mandetli reise	-----|-|---||
s ih ume tr estu z	-⌫|-⌫--|--⌫----⌫|
ebramidonie	|---------|
qu ilmeinet en sa	-|-|-----|-|-|
maisnadtalent	---||-|-----|
r epairez su nt aioieea	-⌫------|--⌫-||---|||
passentnerbo nepa r	------|-----⌫-|--⌫|
forcee par	----||--|
uin t aburdeleslacitetde	---⌫||-------|-|----|-|
desurlalterseint	----||----|----|
se uerinleb a ron	--⌫----|-|-⌫-⌫--|
met lolifanplei n	--||-----|----⌫|
d emanguns	-⌫|------|
li pele rin leueient	-|----⌫--|-|-----|
passetgirunde a mult gr an z	-----|------||---|--⌫--⌫|
nef squis unt	---⌫|-||-⌫--|
entre s queablaiu eadc undu its un neuol d	-----⌫-⌫--||-----⌫|-|-⌫----⌫-|-⌫-|-----⌫|
eo liuersun	|-⌫----|--|
nob iliecumpaignun	---⌫---|---------|
e larceuesque	||---------|
k ifutsages epro z	-⌫|--|----||---⌫|
sarc ous faitmetre lesseignurs	----⌫--|---|----|--|-------|
asein tromainlagisentlibaron	|----⌫|-----|-|-----|-|----|
francs lescuma ndentadeu eases	-----|--|----⌫----||--|||--|
carlesceual chet e lesualse	-----|-----⌫---||--|---||
entresqu aai s	-------||--⌫|
neuolt prendresuiurn	-|---|------|-----|
tantcheualchat	---|---------|
quildescentalperrun	-|-|------|-|-----|
esten sun paleisha lcur	--|-|--|-----|--⌫---|
parsesmess a gesmandet sesiuge ors	--|--|----⌫-⌫--|-----|--|----⌫--|
baiuerse saisnesloherenc se	------||------|--------⌫||
a lema n s mandetsi	-⌫----⌫-⌫|-----|-|
mandetborguig n uns	-----|-------⌫-⌫--|
epeiteuinsen ormans e bretun s	|--------||-⌫-----||------⌫|
dece l sdefra nced esplus	-|--⌫-⌫|-|---⌫--|-⌫-|---|
saiuesq u isunt	-----|-⌫-⌫|---|
desorecumence t le plait deguenelun	--|--|-------⌫|-|----|-|-------|
lie mpe reres estrepairét d espaign e	-|-⌫---⌫----|--|--------||-------⌫|
euientaaisalmeillor	|----||--|-|------|
m untetel palais es tuen uten l a	-⌫----|-|-----|--⌫|---⌫-|-|-⌫|
a ld euenueunebeledamisele	-⌫--⌫|----|--|---|-------|
codist al reio estrollant leca tanie	-|---|-|--||--|------|-|--⌫----|
ki meiurat cum e	-|-|----|---⌫|
sa perapr endre	-|--||--⌫----|
carles en addulore pesan ce	-----|-|-|----||-----⌫-|
pluret deso ilztiretsabarbebl a nce	-----|--|-⌫--|----|-|----|--⌫-⌫--|
soercher amiedehumem ort med emandes	---|---|---|-|---|-⌫--|-|-⌫------|
iot endu rai	-||-|--⌫--|
multesforcé teschang e	---|--------⌫|-------⌫|
coest loewismielz nesaiaparler	-|--|-----|----|-|--||-----|
il estmes filzesitendra tmesmarc h es	-|--|--|---||-|------⌫|--|----⌫-⌫-|
a lderespuntcestmotmeiest estrange	-⌫--|------|---|--|--|--|-------|
neplacedeu ne	-|----|--|-|
nese sang les	-|--⌫|---⌫--|
apresrollant	----|------|
queiouiue re maigne	--|-|---|--⌫-----|
pe rtlac ulorch et	--⌫-|-|-⌫---|--⌫-|
aspiezcarl emagne	-|---|----⌫-----|
semp resestmort e deus	----⌫--|--|----⌫|---|
aitmercitdel	--|-----|-||
f ranceis baron s	-⌫------|-----⌫|
en p lurentesi	-|-⌫-----||-|
lapleignent	-|--------|
aldelabeleest	---|-|---|--|
asafinalee	|-|--|---|
quidet lirei s queel se seit	-----|-|---⌫|--|-|-|---|
pit edenadsin pluret	---⌫-|-|-|-||-----|
sil ena d r el euee	-||-|-⌫|-⌫--⌫---|
desur lesespallesadlatesteclinee	----|--|-------|-|-|----|-----|
quan tcarlesueit qu em o rte ladtru uee	----⌫|-----|---|--⌫|-⌫-⌫--||-|---⌫--|
qu atrecuntes s essempresi admandees	--⌫---|------⌫-⌫-|------||-|------|
a un muste r denuneinsest	|-|-----⌫|-|------|--|
lanoitlaguaitententresqua	-|---|-|-------|-------||
al te r belementl enterrerent	--⌫--⌫|-------||----------|
honuriadlireis dunee	----||-|-|---|----|
li emperere estr epair éta d	-|-------|--|-⌫-----⌫--|-⌫|
felse ncaei nesdefer	---|-⌫|----⌫--|-|--|
enlacitet est	-|-|----|--|
d euant lepa leis	-⌫----|-|--⌫---|
a unestache l unt	|-|------||--|
atachét cil	-------|--|
le s ma ins l i	--⌫|--⌫--|-⌫|
c urre ie sdecer f	-⌫----⌫--⌫|-|---⌫|
tresbenl ebatenta	---|--|-⌫|-----||
fuze aiamelz	--|||-----|
n ad dese ruit quea ltrebeniait	|-|----⌫---|--|-⌫---|--||--|
agra ntduluril oeca tents un plait	|---⌫-|----|--⌫--|-⌫---|-⌫-|----|
ilestescritenlanc ienegeste	-|--|-----|-||---⌫---|----|
quec arlesmandet humesdepl us u rs teres	--|-⌫----|-----|----|-|--⌫--⌫-⌫-|----|
as emblezsunt ad aisal a capele	--⌫-----|---|-|--||-⌫|-----|
halz estliiurzmult par	---|--|-|---|---|--|
est grandelafeste	--|-----|-|----|
dientalquanzdelb arons eints il uestre	----|------|--|-⌫---|-⌫---|-⌫--⌫-----|
desorecum encet l e	--|--|---⌫----|-⌫|
plaid e lesno u eles	----||--|--⌫-⌫---|
de guenelunki traisunadf aite	-|-------|-|------|-|-⌫---|
li empere re de ua ntseilad faittraire	-|------⌫-|--⌫--⌫-|--||-|---|-----|
seign orsbarons di st	-----⌫--|-----|--⌫-|
carlemagne s li reis	----------⌫|-|---|
d e guenelu ncarmeiugez ledreit	-⌫|-------⌫|--|-|----|-|----|
ilfut enlosttr esque	-|--|-||--|--⌫----|
enespaigneodmei	-|-------|-|--|
toli t y y	----⌫|-⌫|
mil iedemes f ranceis	---⌫-|-|--|-⌫------|
emun neuold queia mais neuerreiz	|--|-----|--|-|---|-|------|
liprozelicurt ei s	-|---||-|----⌫--⌫|
adtrait por a ueir	-|----|--|-⌫---|
distguene l onfel seieseio	---|-----⌫-⌫-|--|---|-|-|
rollant meforfist eno ret	------|-|------|-|-⌫|-|
pur que i oqui ssa morte sun	--|--|-⌫|---⌫|-|---||--|
ma istrais un nule n	--⌫-|-----⌫-|---||
en iotr ei	-||---⌫-|
respundent franc or e	---------|----|--⌫|
entend rum cunseill	-|----⌫--|-------|
deuant le reil as estut gue nelu n	-----|-|--|-⌫||----|---⌫----⌫|
corsadgai llar deluis gente	---|-|---⌫----⌫|-|--|----|
s ilfustle ialsb en resem b lastbarun	|-|---|--⌫---|-⌫-|-----⌫-⌫---|----|
ueitcelsdf r ance e	---|---||-⌫-⌫---||
tuzl esiugeurs	--|-⌫-|------|
desesparenz y y k i od luisunt	-|--|-----|-⌫|-⌫|-|--|---|
pu issescri athalte ment	--⌫-||-----⌫-|-----⌫---|
agrant uo eiz	|----|--⌫--|
pur am or deucarmentendez ba rons	--|--⌫-|--|--||-------|--⌫---|
seignorsiofuien	-------|-|--|-|
lost auo eclemper eur	|--|---⌫-||-----⌫--|
serueie le par fei d e paramur	------|-|--|---⌫||--|---|
rollantsisn iesmecoillit enhaur	------|--|-⌫--|-|------|-|---|
sim eiu gata mort	-|-⌫|--⌫--||---|
me s sagefui	--⌫-⌫---|--|
alrei marsiliun	-|--|--------|
par mun saueiru inci o ag uarisun	--|--|-----|-⌫--|-⌫||-⌫------|
iodesfiairollantlepo ig neor	-|------|------|-|--⌫--⌫---|
e o liueretuizlurcu mpai gnun	|-⌫----||---|--|--⌫----⌫---|
carles l oid e si n obilie	-----||--||-|-⌫-----|
ue ngétmensuimais	--⌫----||-|--|---|
niadtraisun	||-|------|
re spundentfrancsa co nseill eni ru ms	--⌫-------|-----||--⌫-----|-|-⌫--⌫-|
q uant guene sueitque sesgranz	-⌫---|-----⌫|---|--|--|----|
plaizcumencet	----|-------|
deses pare n z	-|--|----⌫-⌫|
ens emble iou t	---⌫----||--⌫|
u neniad a quilial tre	-⌫|-||-||--|-|--⌫--|
co es tpinabeldelcastel de	-|--⌫|------|--|-----|-|
ben setpar ler	--|--|---⌫--|
e dreite reisunre ndre	|-----|-----|--⌫---|
uassa lsestbons	-----⌫-|--|---|
porse s armes de fendre	--|--⌫|----|--⌫-----|
colidistg ue nes	-|-|---|-⌫--⌫--|
getezmeihoi demort	----|--|--|-|---|
ede calunie	|-|------|
dist pinabeluos sere z	---|------|--|----⌫|
g uaritsempres	-⌫----|------|
n iadf rances	||-|-⌫-----|
kiuosiugeta pendr e	-|--|----||-----⌫|
ulempereles n ozdou s	||-----|--|-⌫-|---⌫|
al dacerqueionel en de smente	-||---|--|-|-||-|--⌫-----|
guenes l iquensases piezsepresente	-----|-⌫|----||--|---|-|-------|
bauier esaisnessunt	-----||------|---|
a l étaco nse ill	-⌫-⌫--||--⌫---⌫--|
e pe iteuine no r man efranceis	|--⌫-----||--⌫-⌫--||-------|
aseziad ale mansetiedei s	---||-|---⌫---||------⌫|
icels daluernenei sunt	----||--------||---|
liplus c urteis	-|---|-⌫-----|
purpinab elsecuntienen tplusquei	--|-----⌫-|-|---------⌫|---|---|
distlun alaltre bien	---||-|||----|---|
faita remaneir	---||-------|
lai su mleplaites ipreium	---⌫--⌫|-|----||-⌫|-----|
que guenel uncleimtquite ceste fei z	--|------⌫-|-----|----|----|---⌫|
puissiliseruetpara mur	---|-|-|-----|--|-⌫--|
morz estrollant	---|--|------|
iamaisnel reuereiz	-|---|-||-------|
nertrecuurét poro r nepora ueir	|--|--------|--|-⌫|-|--|-⌫---|
mult ser eitfolskise cumbat reit	---|---⌫--|---|-|-|------⌫---|
ne niad c eloi	|-⌫||-|-⌫---|
nelgraanteotreit	-||-----||-----|
forssul tierrilefrer ed amgeifreit	---|--|-----|-|----⌫|-⌫-|-------|
acharlemagner epairent sibarun	|----------|-⌫-------|-|----|
di en tal rei sire nus uospri um	--⌫--⌫|-|--|---|--|--|---⌫-|
queclame zquite lecun teguenelu n	--|-----⌫|----|-|---⌫-|-------⌫|
puissiuosseruetparfeid	---|-|--|-----|--|---|
uiurelelaisezcar mult e stgentilz h oem	----|-|-----|--|---|-⌫-|------|-⌫--|
iapormurirnener tueud	-|--|----||-|--⌫|---|
n e porau eiriane	-⌫|--|--⌫--|-|-|
lr eceuerum	|-⌫-------|
codist l i reis	-|---|-⌫|---|
u osestesmifelun	-⌫-|----|-|----|
quantcarles uei tquetuzlisu ntfaill id	----|-----|---⌫|--|--|-|--⌫-|-----⌫-|
multlenbrunchit ela	---||---------||-|
chere e leuis	----||-|--|
aldoelq ui l adsi	-|---|-⌫|-⌫|-|-|
sec leimetcaitifs	-|-⌫-----|------|
ais l ideu ant unscheual e r s	--|-⌫|---⌫--|--|------⌫-⌫-⌫|
freregefrei aundu can geuin	----|-----||-|--⌫|--⌫----|
he ingreoutlecorse graisle eesc hewid	--⌫----|--|-|---||------||---⌫----|
neirs l es cheuelsea lques	----|-⌫-|------||-⌫----|
nestguer es granzn etrop	|--|----⌫-|----|-⌫|---|
nenestpe t iz	--|--|--⌫-⌫-|
cu rteisement al	--⌫---------|||
emperere addit	-------|-|--|
r eis neuosdementez si	-⌫--|-|--|-------|-|
ia sauez uosquemultuos aiser uit	-|----|--|--|---|--|-|---⌫--|
paranceisu rsdei io	--|-------⌫-|--|-|
telplaittenir	--|----|----|
queque r ollantaguenel unforsfesist	--|--|-⌫-----||------⌫-|---------|
u o s treseruise	-⌫-⌫-⌫--|------|
lendoustbienguarir	|-|----|---|-----|
guenesestfelsd ico quill et rai t	-----|--|---||--|-|-|-⌫|-⌫---⌫|
uersuossen es t pariu reze mal mis	---|--||-|--⌫|-----⌫--||---⌫--|
pur c o leiuzi o	--|-⌫|-|--|-⌫|
a pendr eeamurir	|-----⌫|||----|
e sun cors	|--|---|
sicume fel ki	-|---|--|-|
feloniefist	------|---|
se or adparent kimenuoeille	-|-|-|-----|-||-|------|
desment ir	-------⌫-|
acesteespe e que ioaiceinteici	|----|----⌫|--|-|-|-----|--|
m un iug ementuoels e mpresguarantir	-⌫-|---⌫----|---|-⌫-⌫----|--------|
re spunde ntfrancor	--⌫------⌫-|----|-|
aue z uo sben	---⌫|--⌫|--|
deuantlu re i sest uen uzpinab el	-----|-|--⌫-⌫|--|---⌫-|-----⌫-|
efor zeuassals eisnel	|---⌫||------||----|
q uilfiertacolpde sun tensn	-⌫|-|----||---|-|--|---||
edi stal rei si reuostrees tli	|--⌫-|-|--|--⌫-|-----|--⌫|-|
carcu mandezque telnoise	--|--⌫-----|--|--|----|
ciueitierr i ki	-|--|-----⌫|-|
iuge mentadfait	----⌫---|-|---|
iosilifals	-|-|-|---|
odl ui m enc umbatrai	-|-⌫-||-|-⌫-------|
metlielpoigndece rfledestreguant	--|-|-|----|-|--⌫-|-|-----|----|
d istliempere sbonsp lege s endemant	-⌫--|-|------⌫|---|-⌫----⌫|-|-----|
y yparenzlipleuissent leial	-⌫|-----|||---------|----|
codistl i rei seiol uosrecrerai	-|---|-⌫|---⌫||-||--|-------|
f aitcelsguardertre squeli dreiz	-⌫--|---|------|---⌫---|-|----|
qu antueit	--⌫--|---|
tie rr i quorenert	---⌫--⌫|-|-|-|--|
laba ta ille	-|--⌫--⌫---|
s undestregu ant en a d	-⌫-|-----|--⌫--|-|-⌫|
present ét ca rle	-------⌫--|--⌫--|
liemperere l i recreit	-|-------|||------|
parho stage	--|--⌫----|
puisfai tpor ter yybancsenlaplace	---|---⌫|---⌫--|-|----|-|-|----|
sedeir c ilki sdeiuentcum batre	-----|-⌫-|-||------|---⌫----|
malezpariugement desaltres	----|--|-------|--|-----|
si lpurparlat og erded e nemarc he	-||--------|--⌫-|-|-⌫-⌫------⌫-|
demande ntlurcheualsel urarmes	-------⌫-|--|------||-⌫-|----|
puisq uei lsuntabatail leiustez	-----⌫-|-⌫|---||------⌫-|-----|
bensuntc unfeseasolse seig nez	--|---|-⌫----||----||----⌫--|
oent lur messese sunt acuminiez	---|--|-----||---|--------|
multgr anz offrendes metentp ar	---|--⌫--|--------|-----|-⌫-|
cezmusters	--|------|
deuant carlun	-----|-----|
andu i s untrepairez	----⌫|-⌫--|-------|
luresperuns u ntenlor	--|-------|-⌫-|-|--|
piezcalcez	---|-----|
ueste ntosbercblancseforz elege r s	-----⌫-|-----|-----||---||----⌫-⌫|
lurhelmesclers untfermezenlor chefs	--|-----|----|--|-----|-|--|----|
ceinent espeesenheldeesd ormier	------|-----|--------||-|---|
enlur colspendentlur escuzde	-|--|---|------|--|----|-|
en lurpuin zd estr esunt	-|--|----⌫|-⌫----⌫-|--|
lurtrench anz espiez	--|------⌫--|-----|
muntezenlurcu ranz	-----|-|--|--⌫---|
iduncplur erent yy miliech euale rs	----|----⌫----|-|----|--⌫-----⌫-|
quipur rollant detierri untpitiet	--|--|------|-|-----|--|-----|
asezcument lafinsen ert	---|-----|-|---|-|--|
dedesuzaise stlapreemultlar ge	------|--|-⌫-|-|---|---|---⌫-|
d esd ous ba runsiuste eestlaba taille	-⌫-|-⌫--|--⌫---|-----⌫|--|-|--⌫-----|
cil sun tpr odume	--|---⌫|--⌫----|
e degrant ua ssel age	|-|----|--⌫----⌫--|
elurcheualssu nt	|--|------|--⌫-|
c uranzea ates	-⌫----||-⌫---|
brochentlesbien	-------|--|---|
resneslasquent	-----|-------|
p ar g rantuertut	-⌫-|-⌫---|-----|
uait fe rirl	---|--⌫--||
uns lial tre	--|-|--⌫--|
tu zlurescuzi fruissenteesquas sent	--⌫|--|----||--------||------⌫---|
l urosberc srumpentelurceng lesdepiecent	-⌫-|------⌫|------||--|----⌫--|--------|
lesalues turn ent elessele s cheenta te re	--|----|----⌫--||--|----⌫|-----||--⌫-|
humesip luren tkis esguardent	----||-⌫-----⌫|-||---------|
atere sun tambdui li ch eu aler	|---|---⌫|-----|-|--⌫--⌫---|
i sne lementse drecent surlurpiez	-⌫---⌫-----|-|------|--|--|---|
pinab elsest	-----⌫--|--|
forzeisnelselegers	---||-----||-----|
li unsre quiert	-|--|--⌫-----|
laltrenuntmi edesdestr ers	|----||--|--⌫|--|-----⌫--|
decezespeesenheldees dor	-|--|-----|--------||-|
f iere nt ecaplen t	-⌫----⌫-||------⌫|
sur cez helm es dacer	--|--|----⌫-||---|
granz sunt	----|---|
les colpsashel mesde trencher	--|----|-|---⌫--|--⌫-------|
dementen tcil fra n ceis	--------⌫|--|---⌫-⌫---|
e deus d ist carlesle drei t en	|---|-⌫--|-----|-|----⌫|-|
esc largiez	---⌫------|
distpinabeltierri c a rte recre iz	---|------|-----|-⌫-⌫|-|-----⌫-|
teshomserai	--|--|----|
paramureparfeid	--|---||--|---|
at unpl aisir tedurra i mun aue ir	|-⌫-|--⌫----|-|-----⌫|--|---⌫-|
mais guenelunfaiacorderalrei	---|-------|--|------|-|--|
responttierr i ian e ntendrai cunsei ll	------|-----⌫|-||-⌫|------|------⌫-|
tutsei efelse	--|---⌫|--|-|
iomi e lotrei	-|--⌫||----|
de u s facethoi e ntrenusdousle	--⌫-⌫|----|--|-⌫---|--|---|-|
codist tierripinab el multiesbe r	-|---|-----|-----⌫-|---|--|--⌫|
granzieseforz e	----|--||---||
tiscors ben	--|---|--|
deuasselagetecono issentti	-|--------|-|----⌫-----|-|
cestebat aill ecar lalaissesester	----|---⌫----⌫|--|-|------|----|
acarlemagne tef eraiacorder	|---------|-|-⌫---|------|
deguenelun iu stis eertfai te tel	-|-------|--⌫----⌫|--|---⌫-|--|
iamais nertiurq ue il	-----||--|--|-⌫-|-|
ne n seit pa rlét	|-⌫|---|--⌫----|
distp ina belne	---|-⌫---⌫--|-|
placetdamnede u	-----|-------⌫|
su stenir uoeill	--⌫-----|-----|
trestutmunparentet	------|--|-------|
nen recrer raipur nulhumemortel	|-|------⌫--|--|--|---|-----|
mielz uoeillmurirqueil m e	----|-----|----|--|-|-⌫|
seitrepro uét	---|-----⌫---|
delur esp e escum encentacapler	-|--|---⌫-⌫-|---⌫-----||-----|
desurcezhelmes kisuntaor	----|--|-----|-|---||-|
cuntr eleciel en uolet	-----⌫|-|---|-|----|
lifous tuz clers	-|---|--|----|
i lnepoet estrequ ilseie ntde se urez	-⌫|-|---|----|-|-|----⌫-|--⌫--⌫---|
seinzhu memort nepoetestreafinét	----|--⌫-|---|-|---|----|------|
m ultparestproz pinabelde sorence	-⌫--|--|--|---|------|-|------|
