Quenul senblant	--|--|-------|
Par c ele foiqu eieuosdoi	--|-⌫--|--|--⌫|-|--|--|
Forztrua nzestasezen a	---|----⌫-|--|---|-||
Ne manger a huice	-|------⌫|--|-|
So zsac hap esenti	--⌫|-|-⌫---⌫|----|
Roissalo ie ren apetiche	---||---⌫--⌫-||-------|
Le s pains demiés e tlesent ier s etlesp ie ces	--⌫|----|------|-⌫|--|---⌫---⌫|-|--|-⌫--⌫--|
et les quartiers	-|--|--------|
Aibien parmiélesacsentu	-|---|------|-|--|----|
Deuossorchauz s il les	-|--|-------||-|--|
ueut uendr e	---|-----⌫|
Pu etilcinc sozdester lins	--⌫-|-|---|--||-----⌫---|
Etdelaumucemon s eignor	-|-||-----|--|-⌫-----|
Achatbienlitsi	----|---|--|-|
s oit pastor	-⌫--|-----|
Ouu nasneq ui	-|-⌫|---|-⌫-|
pastlet ai	---|-|-⌫-|
Ilestherlot	-|--|-----|
Hui a suï bo ne pasture	--||---|--⌫-|------|
Trouéa gentasamesure	-----||---||-|-----|
D e moi nenportera	-⌫|--||-|------|
Unsolferlinc	-|--|------|
n unema alle	|--|--⌫---|
Grant ioie enmeinen tl id uiro i	----|---|-|------⌫|-⌫|-⌫-|--⌫|
Amenéontson	-----|--|--|
p a lefr oi	-⌫-⌫----⌫-|
Montee lontd iluectorneren t	-----||--||----|--------⌫|
Quiont ar m es lorsbohorderen t	--|--|--⌫-⌫-|---|----------⌫|
Tristran s en uetduparl ement	-------||-|--|-|----⌫----|
sonmestre qui	--|-----|--|
D euscheuausrichesde	-⌫--|------|-----|-|
Otamenéofrain osel e	-|-----||----||---⌫|
Et deus lance set deusescuz	-|---|-----⌫|-|---|----|
Motles outbien	--|--|--|---|
desconneüz	----------|
Des c heualie rsque	--|-⌫-------⌫-|--|
uo s d iroie	--⌫|-⌫----|
Uneguinp le	--|-----⌫-|
blanchedesoie	------|-|---|
Gouernal s ors onchief mise Nen	-------|-⌫-|-⌫-|----|---||-|
per tqueluel en nule	---⌫|--||--|-|---|
A rires entornelepas	-⌫---||-|----|-|--|
outbe lcheualet	--|--⌫|-----|-|
T ristran rotle	-⌫------|--|-|
pastrou er mellor	--|----⌫-|-----|
Coteseledestrier	---|---|-------|
Outc ouuertdunenoire s arge	--|-⌫-----||--|----|-⌫---|
out couertdun noiruoil	--|-----||-|---|---|
Totoutcouertet chiefet poilA	--|--|-----|-|----|-|---||
sa lanceot lenseigne mise	-|----|-||-------|---|
Qu ela bele liot	--⌫|-|---|-|-|
Chascun mont e s orso ndestrier	------|----⌫|-⌫-|--⌫|-------|
Chascun out	------|--|
çaint le bran tdacier	-----|-|----⌫||----|
Eins iar mésor lor cheuaus	----⌫|--⌫--|--|--|------|
Parunue rt préentre	--|-|--⌫-|---|----|
So rdentsusen la	--⌫----|--|-|-|
Gauu ains liniés	----⌫---|-|----|
Artusdeman de	----|-----⌫-|
uezenla d eusue ni r	--|-|-|-⌫--|--⌫--⌫|
Quimotuienent de grantaïr	--|--|------|-|----|---|
Nesconnois	--|------|
passestuquil	--|--|-|-|-|
Ges connoisbien	--|------|---|
Girfletre sp ont	------|--⌫--⌫--|
Noi rcheu alaetnoireens eig ne	---⌫|----⌫-||-|----|---⌫---⌫-|
Noirsd e la	----|-⌫|-|
Montaigne La utreconnois	--------||-⌫---|------|
asarmesuaires	-|----|-----|
Qar en cest païs nena	--|-|---|----||-||
Il sontfaé gelsaisanzdote	-|---|---|--|--|---|---|
Iciluindre ntfors dela rote	---|------⌫-|---|-|-|---|
Lesescus pre s la nc esleuees	--|----|---⌫|--⌫--⌫-|-----|
L esenseign es	-⌫-|-------⌫-|
as fers fermees	-|---|------|
porte ntlor	-----⌫-|--|
garneme nt	-------⌫-|
fuse ntnédeden z	----⌫-|--|-----⌫|
De sdeusparolentassez	--⌫|---|-------|----|
Ma rcetli r ois	--⌫-|-|-|-⌫--|
nefontdelor de u sconpaigne s	-|---|-|--|--⌫-⌫|---------⌫|
Q uisontla ïs e s l arges plaignes	-⌫-|---|--⌫--|-⌫|-⌫----|-------|
Esre nsperentlidui souen t	-|--⌫-|-----|-|--|-----⌫|
Esgardé so n tdemaintegent	-------|--⌫-⌫|-|-----|---|
Parmié langarde e nsen blepoig nent	------||------|-⌫----⌫--|----⌫---|
Maisne trouentaquiilioignent	---|-|------||--|-|-------|
LaroïnebienlesconnutA une	-|-----|---|--|-----||--|
part durenc sestu t	---|-|---||----⌫|
Br eng ai n	--⌫---⌫--⌫|
And rez uint	---⌫--|---|
Sor son de strier	--|--|--⌫-----|
s esarmes tint	-⌫-|----|---|
Lanceleueel escup risA	----|----||---|-⌫--||
Tristran saut enmie ́ leuis	-------|---|-|---⌫|-|--|
Nu con noisoitde	-|---⌫------|-|
Tristra n lecon noisoitbien	-------⌫|-|---⌫------|---|
Fie rtlen lescuen mié	---⌫-||-||---|-|---|
Labatetlebr az lip ec ̧oie	|---|-|-|--⌫-|-|-⌫--⌫---|
Deuantles piez al aro ïne	-----|--|---||-⌫|--⌫---|
Ciliutsanz leuersus l	--|--|---|----|--||
Gouerna luit leforestier	-------⌫|--|-|--------|
uenir destre sso r	----|--|---⌫|--⌫|
unde strier	-|--⌫-----|
Tr istranliu rer a m ort	--⌫-----|---⌫--||-⌫--|
Ensafore s tou dormoitfort	-|-|----⌫-⌫|-|------|---|
Gran t aleüre a	----⌫|------||
lui sa dr ece	--||-⌫--⌫--|
Iaertd em orte n	-|--|-⌫|-⌫--|-⌫|
grantdestrece	----|-------|
Le fer tren c hant limist elcors Olacier	-|--|----⌫-⌫---|-|---|-|---|||----|
b ote l ecuirf ors	-⌫--|-⌫|---|-⌫--|
Cilch a ï	--|--⌫-⌫-|
conques prestr eNiui nta	|-----|------⌫|||--⌫-||
tensnenip ot e stre	---|-|||-⌫-|-⌫---|
Yseut quiert etfrancheetsinpl e	----|--|--|-|------|-|-----⌫|
Sen r is t douce mentsozsa ginple	|-|-⌫--⌫|-----⌫---|--|-|-----|
Cin gloret	---⌫---|-|
uirent laidierlorconpaignons	-----|------|--|----------|
Seignorsfait	-------|---|
Gaugai nsquefero ns	------⌫-|--|----⌫-|
Li forestie rgist la	-|--------⌫|---|-|
Saciezq u ecildui son t faé	-----|-⌫-⌫|--|--|---⌫|---|
q uantnesconnoisons	-⌫---|--|---------|
Ornostiene n til	-|--|-----⌫-⌫|-|
porbricons	--|------|
Brochon saeusalons	-------⌫||--|----|
lesprendre	--|------|
Quisno s porrafa itli	---|--⌫|----|--⌫-|-|
rois rendre	---|-----|
Motnos auras erui a	--|--|---|-⌫---||
Tristran setraitaualaugé	-------|-|----|---|-|--|
Goue rnal o utrepasserent	----⌫---|-⌫---|--------|
Liautre sirrenesose re nt	-|----|----|--|---⌫--⌫-|
En paisrem estren ttuitdestr oit	-|---|---⌫------⌫|---|-----⌫--|
Bien penseren tfantosmesoit	---|--------⌫|-------|---|
Asherbe rgesuuele n ttorner	-|-----⌫---|-----⌫-⌫|-----|
Qarlai siéont lebohorder	--|---⌫---|--|-|-------|
Artus la roïnede stroie	----|-|-----|--⌫-----|
M otlis enblabri ue lauoie	-⌫-|-|-⌫----|---⌫-|-|---|
aloignastsordestre	--------|--|-----|
Decenduso ntalorherberges	------|--⌫-||--|--------|
Enlalan deotassez	-|-|---⌫-|-|----|
h erberges	-⌫-------|
Motencosteren tl icordel	--|-|--------⌫|-⌫|-----|
En le u de ioncetde rosel	-|--⌫|-|---|-|-|----|
Glagié auoientt uit lorte n te s	------|------|-⌫--|--|--⌫-⌫--⌫|
Pa rcheminsuienen t	--⌫|------|------⌫|
etparsentes	-|--|-----|
Mai nt c heu alieriout sadrue	---⌫-|-⌫---⌫----||--|-|---|
C il quilafuenz	-⌫-|--|-|-|--|
De maint gran tcerfotla	-|----|----⌫|---|-|-|
Lanuitseiornentanl alande	-|---|--------|-|-⌫|----|
Chascunrois sist	------|---|---|
a sade mande	|-|--⌫----|
Q uio utdeuicesnest paslenz	-⌫-|-⌫-|------||--|--|---|
alautr e fa itpresen z	||----⌫|--⌫-|------⌫|
Artu sa présmengier	----⌫|-⌫----|------|
Autref roi	-|---|--|
Mar c u ai tcointoier	---⌫|-⌫--⌫|--------|
ma i snie maine	--⌫-⌫---|----|
La otpetitde d rasde	-|-|----|-|-⌫--|-|
T uitliplusor furent d e soie	-⌫--|-|-----|-----|-⌫|---|
Des uesteüres qued iroie	--|---------|--|-⌫----|
De lainei out	-|----||--|
c efu eng rai ne	-⌫|-|-|-⌫---⌫-|
Escarlat ec eldrap	--------⌫|-⌫-|---|
Motiotgentde rich eator	--||-|---|-|----⌫|---|
Nusneuitdeusp lus riches corz	--|-|--|---|-⌫--|-----|---|
Mesti ernenest dontlanenait	-----⌫-|--|--|---|-|--|--|
Espau e llonsont ioiefai t	-|---⌫-⌫----|--|---|---⌫|
deuisentlorafaire	-------|--|-----|
Conment laf ranchedebonere	------|-|-⌫-----|-------|
S edoitderaisnierdel outrage	-⌫|---|---------|-||------|
uoiant lesroisetlor b arna ge	-----|--|---|-|--|-⌫----⌫-|
C o uchiersenuait li	-⌫-⌫-----||-|---|-|
ArtusOsesbarons	----||--|-----|
etosesdruz	-||--|---|
Maintcalem elmainte troïne	----|-----⌫-|-----|------|
Qui fust la nuite n	--|---|-|---|-⌫|
Oïstanpauellonsoner	----|-|-------|----|
Deua ntle ior prist ato n er	----⌫-|-|--|----||--⌫-⌫-|
A fermete ́ fudech alor	|-------⌫|-|-|--⌫---|
Le s g ai tesont c orné	--⌫|-⌫--⌫--|--|-⌫----|
Partotconme ncentaleuer	--|--|-----⌫----||----|
Tuitsontle uésanz demorer	---|---|--⌫--|---|------|
L isoleuz fucha u zsor la	-⌫|-----|-|---⌫-⌫|--|-|
Ch oie te fuet	--⌫---⌫-|-|-|
ni e llee tfrime	--⌫-⌫--|-⌫|----|
D euantlestentesas deusrois	-⌫----|--|-----|-|---|---|
Sontasenblé	---|-------|
Corneu aloisNout ch eualier en tot	------⌫----||--|--⌫------|-|--|
soiacor t safeme	--||---⌫|-|---|
Und rapde soie	-|-⌫--|-|---|
unpa ilebis	-|--⌫--|--|
Deuantl etre fauroifu	-----|-⌫|---⌫|-|--|-|
Ourezfuenbestesmenuz	----|-|-|-----|----|
So rlerbeuer tfu e stenduz	--⌫||---|---⌫|-|-⌫------|
Li dras futacha téen	-|---|--|----⌫--|-|
Cornouallenotr eliques	---------||-|-⌫------|
En tresorneen f ilatieres	-|-----|-|-|-⌫--------|
Ena umairesnenautres bi eres	-|-⌫------||-|-----|--⌫---|
Enfiertresnenescrinznen c hases	-|-------||-|------||-|-⌫----|
Encroizdornedargentn	-|----||-|-||-----||
Sorlepailelesorent	--|-|----|--|----|
Arengiesparordreasises	-------|--|----|-----|
Liroi setraien t unepa rt	-|--|-|------⌫|--|--⌫-|
uo lentlo ialesgart	--⌫---|--⌫--|-----|
Artusparlapr emier	----|----|--⌫----|
parlerfuprinsautier	-----|-|----------|
teconselle	-|-------|
Telo utragesifait mer uelle	--|-⌫-----|-|---|---⌫----|
Certes faitil sil se desloi e	-----|---|-|--|-|------⌫|
Tue sle gi er ametreen uoie	-|-⌫|--⌫--⌫-||----|-|---|
croire p arolefaus e	-----|-⌫----|----⌫|
fes oit am eresaus e	---⌫--|--⌫--|----⌫|
Quiparle men ttefist ios ter	--|-----⌫---⌫|-|---|---⌫--|
deuroitducorsco ster	------|-|---|--⌫---|
Etennuierquiuoloit faire	-|------|--|-----|----|
La franche	-|------|
Yseutladebo nere	----|-|----⌫---|
Neueutr es pitne	-|---|-⌫--⌫--|-|
terme auoir	----|----|
Cilpü ent	--|---⌫--|
biendefi sauoir	---|-|-|-----|
Quiuendrontsa deresne prendre	--|-------|-|------|------|
Que gesfera i encorepend re	--|--|----⌫|-----|----⌫-|
Quila reteront defolie	--|-|-------|-|----|
deresneparenuie	------|--|----|
Dignese r oientd	----|--⌫-⌫----||
Or oiez roiquiaratort	-|---|--|--|--|---|
La roïneu endraauant	-|-----|-⌫----|----|
Si qel ueront pet it	-|--|-----|---⌫-|
Etsi iu rraosamai n d estre	-|-|--⌫--||-|---⌫|-⌫----|
Sorlesc ors a inzau ro i c e l estre	--|--|-⌫---⌫-⌫--|-|--⌫|-⌫-⌫-⌫----|
Quelonquesnot amor conmuneA ton	-|-|-----||-|---|------||--|
neuonedeusne	---|-|---|-|
Quelentornastaui l anieN amorneprist	--||-|------||--⌫-⌫---||---|-|----|
parputerie	--|------|
Marc tr op	---|--⌫-|
aice dur é	|--|---⌫-|
Qantele au raeisiiuré	---|--|--⌫-|---|----|
Ditesbaronsqu il ai ent	-|--|-----|-|-|--⌫--|
Artusq enpusie	----||-|--|-|
Tume blasmes	-|-|------|
etsi asdroit	-|-|-|----|
Quarfousestquienui euscroit	---|---|--|--|----⌫--|----|
Gesai creüzoutremon gré	--|-|-----|----|--|---|
Sela derais ne	-|-|------⌫-|
est en celpré	--|-|--|---|
iauramaissihardiz	|---|---|-|-----|
Seilapre ́sles escondi z	-|-|----⌫-|--|-------⌫|
En disoitri enseanor non	-|-----|--⌫-|-|---|--|
Qu i ne n eüstmal	--⌫||-⌫|----|--|
g erre don	-⌫----⌫--|
Ce saciezuo s	-|-----|--⌫|
Artu sf r ans roisCaestéfaitc	----⌫|-⌫-⌫--|---|||----|---||
est sormo npois	--|--|--⌫|---|
Orsegardent duienau ant	-|-|------||-|-|--⌫--|
Lico nse lde partentatant	-|--⌫---⌫|--⌫------|----|
T u itsasis tr entpa rmiéles rens	-⌫-⌫-||----⌫--⌫--|--⌫|---|--|---|
F ors l esd eusroisCest	-⌫--|-⌫-|-⌫--|---||--|
agrantsens	|----|---|
Yse u tfuen tre eusdeusasmains	---⌫-⌫|-|--⌫--|--|---|-|----|
Pres desreliq uesfu	---|--|-----⌫--|-|
Artuslaproisie	----|-|------|
Ento rlepaile es t aren g ie	----⌫|-|----|--⌫|----⌫-⌫-|
Art us pristla	---⌫-|----|-|
par olee nmai n	---⌫--|-⌫|---⌫|
plusprochain	---|-------|
En tendezmoi	--⌫-----|--|
Yseutlabele	----|-|---|
Oiezdeqoionuos	---|-|--|-|--|
Tristrann o t uersuos	-------||-⌫|---|--|
D ep ute é	-⌫|-⌫---⌫-|
nede fo lor	-|-|--⌫--|
Forsce lequedeuoi tporter	---|--⌫-|--|-----⌫|-----|
Enuers sononcle et uerssaper	-----|--|----|-|---|-|--|
Seignorsfai t elpor	-------|---⌫|-|--|
Saintesrel iq uesuoi	------|---⌫--⌫--|--|
Or escoutezqueieci iure	-|-------|--|-|-|---|
De quoi leroi ciaseü re	-|---|-|--|-|-----⌫-|
Dexetsaint	--|-|----|
Cesre liques cestsaintuaire	--|--⌫-----|---|---------|
T otes celesqu icineson t	-⌫---|----|--⌫|-|-|---⌫|
Et tuiticilde par lemont	-|---|---|-|--|-|---|
Quentr emescuise s nentra home	-|----⌫|--|-----⌫||----|---|
Forsleladrequifistsoiso me	---|-|----|--|---|--|--⌫-|
Quime portaout relesguez	--|-|----|---⌫-|--|---|
Ces deus ostdem onsoirement	--|---|--|-|-⌫-|--------|
Genenostpl usde tote	-||-|--|--⌫-|-|---|
Dedeusnemepusescondire	-|---|-|-|--|--------|
Marc monsire	---|--|---|
Liladr es f u entre mesianbes	-|----⌫-|-⌫|----|--|-----|
Quiuoudra q ueie	--|-----|-⌫-|-|
plus e nface	---|-⌫|---|
Toteensuip resteenceste	---|-|--|-⌫----|-|----|
Tuitcilqui lontoi ̈ iure r	---|--|--||--|--⌫|----⌫|
Nepüen t p a s plusendurer	-|-----⌫|-⌫-⌫|---|------|
Dexfaitch ascunssi fi ereen	--|---|--⌫-----|-|--⌫--|-|
Tantenaf ait ap résdroit ure	---|-||-⌫--|--⌫---|-----⌫--|
Plusia misque nediso ient	---|||--|--|-|----⌫---|
Nequeli felnere qu er oient	-|--|-|--|-|--⌫--⌫--⌫----|
Nelicouient plusescondit	-|-|------|---|-------|
Qu auezoïgrantetpetit	-|---|--|----|-|----|
roi etde so nneuo	--|-|-|--⌫|---|
Eleaiuréetmis enuo	--||----|-|--|-|-|
Quentre s es cuisesnusne ntra	-|----|-⌫-|-----|--||-⌫---|
Q ueli meseaus quila	-⌫-|-|------|--|-|
Ierendroittierce o ut re les guez	--|------|-----|-⌫--⌫-|--|---|
Marcsesesposez	---|--|------|
M alaitiamais	-⌫-|--|-----|
l enmes que rra	|-|---⌫---⌫--|
Artusen pi ezleua	----|-|--⌫-|---|
Mar cami saraison	---⌫||--⌫||-----|
Que t uit lo ïren t	--|-⌫--||-⌫-----⌫|
li b ar on	-|-⌫--⌫-|
Roisla derais nea uon ueüe	---|-|------⌫-|-⌫--|----|
Etbien oïeetentendue	-|---|---|-|-------|
Oresgardentl itroi fel on	-|--------|-⌫|---|---⌫-|
Donoalentet	--------|-|
Goudoïnel i mauu e ́s	--------|-⌫|----⌫-⌫-|
nep arol entsol i amés	-|-⌫----⌫--|--|-⌫----|
Ia nes eront en celete rre	-|-|-⌫----|-|---|--⌫--|
Que mente n istnepais	--||-|--⌫-⌫--|-|---|
Des quei o rroielanouele	--|--||-⌫----|-|-----|
Yseutlabele	----|-|---|
Que ni all ons	--|||---⌫--|
Lui deraisnie rpa r grantr aison	--|---------⌫|--⌫|----|-⌫----|
Sirefaiteluostre merci	---|---|-|-----|----|
Mo tsontdecortlitroihaï	--⌫|---|-|---|-|---|---|
Lescorz dep artentsi s en uont	--|---|---⌫-----|-||-|---|
Yseutl abeleolech i ef bl ont	----|-⌫|---||-|--⌫-⌫-|--⌫--|
Mercie m otleroi	-----|-⌫-|-|--|
Damefait ilie	---|---|-|-|
Netrouerez	-|-------|
mais qui uo sdie	---|--|--⌫|--|
Tantconiaie	---|--||--|
santéneuie	-----|-|--|
Nis u ne rie n se amornon	--|-⌫-|---⌫|-|---|--|
M alle penserentli	-⌫-|-|--------|-|
Gepriél e roiuo stres eignor	-|----|-⌫|--|--⌫---|-⌫-----|
E tfeelment motp ara mor	-⌫|-------|--|-⌫-|-⌫--|
Quemais felo n de	--|---|----⌫|-|
uosnecroie	--|-|----|
Distli roi	---|-|--|
Sei elfaisoieDor	-|-⌫-|------||-|
enau a n t simeblasmez	-|--⌫-⌫-⌫|-|-|------|
Liunsd el autresest	-|--|-⌫||----||--|
Chas cun senuientason roiaume	----⌫--||-|----||--|------|
A rtus uien t a	-⌫---|----⌫||
Marcr emest	---|-⌫----|
Cornoualle	---------|
Tristranseiorne	-------|------|
p oitraua lle	-⌫-|-----⌫--|
Cornou alleenpes	------⌫---|-|--|
Tuitlecriementetluinet	---|-|-------|-|---|-|
Ensesdedui z	-|--|-----⌫|
Yse utenme ine	---⌫-|-|--⌫--|
De lié ame rform entsepaine	-|---|---⌫|----⌫--|-|----|
Maisquiqa it pais litroifelon	---|--||-⌫-|---|-|---|----|
SontenesgartdetraïsonAeusfuuenue	---|-|-----|-|-------||--|-|----|
Quiua queran tc hangier sa uie	--|-|------⌫|-⌫------|-|--|
Seignorsfaiti lor m entendez	-------|---|-⌫|-||-------|
Seieuosmen tsimependez	-|-|--|---⌫|-|-|-----|
Liroisuos soutlautrier	-|---|--|---||------|
enacuel l i en hé	-|-----⌫-⌫|-|--|
Porle deraisne samollier	--|-|-------|-|------|
Pend remotr oiouessillier	----⌫-||---⌫-|-|--------|
Seneuosmostre apertement	-|-|--|-----|---------|
T ris tranlaouso naiseatent	-⌫---⌫---|-|-|--⌫|---|----|
chie r edrue	----⌫-⌫|---|
Il es trepostsi s ais a mue	-|--⌫|-----|-|-⌫-|-⌫|--|
Qantlirois	---|-|---|
uait a sesd edu is	---||--|-⌫---⌫-|
Tristranset mot	-------|--|--|
Ma lpertuis	--⌫-------|
En la chanbreuet	-|-|------|--|
con g ié pr endre	---⌫-⌫--|--⌫----|
Demoifa c iez	-|--|--⌫-⌫--|
feu cendre	--|-----|
Seu osalezala	-|-⌫-|---||-|
De lachanbr ed erier ad es tre	-|-|------⌫|-⌫----||-⌫--⌫--|
Tr istran uen ir Se speeçain teuna rctenir	--⌫-----|---⌫-||-⌫---|-----⌫-|-|-⌫-|----|
Deusse etes e n	---|--⌫---|-⌫|
l autremain	|----|---|
Enuit u errez uen irparmain	----|-⌫----|---⌫-|--|---|
Conm ent lesez	----⌫--|-|--|
Ie l aiueü	-||-|---|
Ie uoir eetconneü	-|----⌫|-|------|
H uimai n liui	-⌫-|---⌫|||-|
E t quiol ui	-⌫|--||-⌫-|
C il sonami	-⌫-|--|--|
Ou sesont mis	-|-|---|--|
Enha ut ostal	-|--⌫-|----|
Se deduien tCest	-|-------⌫||--|
Etieq uesai	-|-|-⌫-|--|
Ilnison t pas	-|||---⌫|--|
San zsonse ü	---⌫|--|--⌫-|
Asezpuetestre	---|---|----|
Ouuerro nnos	-|-----⌫|--|
Parlafenest re	--|-|------⌫-|
De l achanbre c eesttotuoir	-|-⌫|------|-⌫|--|--|---|
Sege l u os	-|--⌫|-⌫-|
m ostre gr antauoir	-⌫----|--⌫--|----|
Endoia uoir quant lenratent	-|--|-⌫---|----||-|-----|
Nomezlauoir	----||----|
Un marc dargent	-|---||-----|
Etplusassez quelapramesse	-|---|----|--|-|-------|
Sinosaïtig lise	-|--|---|--⌫---|
Setumostr esni pue zfallir	-|-|-----⌫-|||---⌫|-----|
Netef a ç on amanantir	-|-|-⌫-⌫--⌫-|--------|
Ormentendez fa i tli cuuert	-||-------|--⌫-⌫|-|-----|
pet itper tuso uert	---⌫-|---⌫--|-⌫---|
Endroitlachanbre l aroi ̈ne	------|-|------|-⌫|---⌫--|
Pa rdedeuantuetlaco rtine	--⌫|-------|--|-|--⌫----|
Triéslachanbre ̈ estgra nt ladoiz	-----|-|-------⌫|--|---⌫-|-|---|
Et bienespesseli ia gloizLund e	-|---|------|-|--⌫----||-|-⌫|
uostroisiaut matin	--|----||--|----|
Parl a fraite du nu ef iardin	--|-⌫|-----|-|--⌫-|-----|
uo istbelementtre squeauper tus	--⌫--|-------|---⌫---|-|---⌫--|
Fo rslafe nestreniaut	--⌫-|-|--⌫-----|||--|
Faitesun elong uebrocheteAun coutelbiena güete	-----|--⌫|----⌫-|-------||-|-----|---|-⌫-----|
Poign iez le	-----⌫--|-|
drap del acortineOlabroc hepoig nant	---|-|-⌫|------||-|----⌫-|----⌫---|
Lacor tinesouauetsach e	-|---⌫---|------|----⌫|
Aup ertusetc onnel	-|-⌫------||-|-||
Quetuuoieslade denz cler	--|-|----|-|--⌫---|---|
