Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
FiertRainouartsor lec hape l	----|--------|--|-|-⌫----⌫|
L efeutre ab at quip ardesu sfu mis.	-⌫|-----|--⌫-|--|-⌫-|----⌫|-|---|
lifeutres qui	-|------|--|
Nel enp ir a	-||---⌫--⌫|
uaill isant.i i.	-----⌫----|--⌫-|
DistRaino uars Folpletaués	---|-----⌫---|--|---|----|
Ieuosdefi parl e corssaintDen is	-|--|---|--|-⌫|---|----|---⌫-|
Quene donroi e port ot lor	--|-|------⌫|--|-⌫-||-|
Nesu iuo sfiusee rtesneuos amis.	-|--⌫|--⌫|---|--⌫---|-|--|----|
Sedeuo ieestreens en	-|----⌫-|----|--|-|
e nfert ousdis	-⌫---|-⌫--|--|
Neuoslairaiains serésmalbaillis.	-|--|-----|---|-----|--|-------|
Fius Raiuouarsdistlirois Desramés	---|--------|---|-|---|--------|
Quautte norri moltf is	----|-|----|---|-⌫-|
quefolpro ues.	--|--|---⌫-|-|
Mius m euen isttu fuss es estrangl és.	---|-⌫|---⌫--|-|----⌫-|--------⌫---|
DistRainouar s uos dite s uer ités.	---|--------⌫|--|----⌫|---⌫-----|
Letinel ha uce siestauantpassés	-|----|--⌫--|-|--|----|------|
Maismolt li	---|---|-|
fusesta le nsremué s .	-|--|--⌫--⌫-|------⌫-⌫|
Enuisl efiertsise st haute scriés	-|--|-⌫|----|-||-⌫-|---|-⌫------|
Guencis toi rois ia serasafolés	------|--|---|-|----|------|
s eig nor quiencrois fu penés	-⌫---⌫--|--|-|----|-|-----|
Ie uous ferraiseuousn e	-|---|-----|-|---|-⌫|
uous garde ́s.	---|-----⌫--|
Malaiésuous	--|----|---|
seuousne me n	-|---|-||-⌫|
Et lico ses tRa i nouartaualés.	-|-|--⌫|--⌫|--⌫-⌫-----|-------|
guenchi qu	------|-|
ilnef uade sés.	-|-|-⌫|---⌫----|
Encon tre terreest letine l cole ́s	-----⌫--|----|--|-|----⌫|----⌫-|
Dedensentra.iii i.	-----|----|----⌫-|
pié smesurés.	----⌫|--------|
E tDes ramésesta sonfi ltornés	-⌫|---⌫-----|--||--|--⌫|------|
Siliredone	-|-|-----|
.ii.eox des me surés	---|--|---⌫--⌫-----|
enl ehnemaistautestoitserr és	-||---|---|---|-----|----⌫--|
empira.ii. deniersmo neés .	-----|---|------|--⌫-----⌫|
Mai sR ain ouars fuauquesestounés	---⌫|-⌫---⌫----|-|-----|--------|
Quar Desrame ́s fu	---|-------⌫-|-|
moltfometsenés.	---|--|-|------|
Donts es t	---||--⌫|
formentRainou arsa ïrés	------|------⌫--|-⌫-----|
So nperefierten	--⌫|---|----|-|
boutanteseost és	------|-|----⌫--|
descostesl i	--|-----|-⌫|
ae l corsfroés.	|-⌫|---|------|
N e lpotgarirescusnaub ercsafrés.	-⌫-⌫|--|----|----||---⌫--|-------|
Desraméssestdelad olo rp a smés	--------||--|-|-|-⌫---⌫|-⌫-⌫----|
Sors o narc h onsest	--|-⌫-⌫|---⌫-⌫-||--|
un poi acline ́s.	-|--|------⌫--|
Paien ac eurent etlic rise st leués	----|--⌫-----|-|-|-⌫--|-⌫-|-----|
Rainouart boutente sfl aus etescostés	--------|------|-⌫|--⌫--|-|-|------|
Lancent li lancesetfausamenpaués.	------|-|-----|-|-----|--------|
La fu sifortRainouarsencombrés	-|-|-|---|--------|---------|
auant por.m.marsd orpesés.	----|--|--|---||-|------|
AcestestorestuenusTenebr és	|---|----|--|----|------⌫--|
Ensac ompa ign e.x. m.paie nsarmés.	-|-|-⌫----⌫---⌫|---⌫-|----⌫-|------|
Cil estoitfilsDes rame ́limainsnés	--|-----|---|---⌫----⌫|-|--------|
Ma isR ainouamest plusiouenesasés.	--⌫-|-⌫------|--|---|------|-----|
Quant uoit sonpereuers luiest	----|---|--|---|---|--|--|
Si le regretecom	-|-|------|--|
sesamis p r iués.	--|---|-⌫-⌫-----|
Ent orluifu grausli duelsd emenés.	---⌫-|--|-|----|-|----|-⌫-------|
Tenebré s tmitsonbrantqu i fu lettrés	--------⌫|---|--|----|--⌫|-|-------|
uers Rainouartestguencis	---|--------|--|------|
ettornés.	-|-------|
Siliescrie commeh omesforse nés	-|-|-----|----|-⌫---|-----⌫---|
Rainouarsfreremalsoiés uostroués	--------|----|--|-----|--|------|
Mal soitde leur eque tuf usen gendr és	--|---|-||---⌫|--|-|-⌫-|--⌫-----⌫--|
Deablei so itse uosn ose scapés	-----||--⌫-|-|--|-⌫-|-⌫------|
DistRainouarsuassal en susestés	---|--------|-----|-|--|-----|
Mesfrer esestesmai s marm aprocherés.	--|----⌫-|----|---⌫|--||-----------|
fait dou roi	---|--|--|
e n gendrés	-⌫-⌫-------|
Deuos nef aceseu ousauant	-|--|-|-⌫--|-|-⌫--|----|
Depamisonsest	-|-------|--|
Desramésuenus	--------|----|
Deluiuengier ne fu mie esperdus.	-|--|------|-|-|--|--------|
l espeeseure	|----|----|
lies tcourus	-|--⌫|-----|
Nest m ieseus	|--|-⌫-|---|
ainssont.x.m.ou plus	---|---|----|-|---|
DesSarrasins de scuiu ersm e screü s.	--|--------|--⌫|----⌫--|-⌫-⌫------⌫-|
Por lu iochireest ch a scunsesmeüs.	--|--⌫|-----|--|--⌫-⌫----|-------|
Atant lorcstroisTe nebrés	|---|--|--|---|--⌫------|
Quide son pe re	--|-|--|--⌫-|
est dol an set conf us.	--|---⌫--⌫|-|----⌫--|
Rai n ouartuoitsil a rec oneu ̈	---⌫-⌫----|---|-|||---⌫----⌫|
ilmalsoiés	-|--|-----|
Mes freres estesmaisn estes pasmes	--|-----|----|---||----|--|--|
DistDesmmésIaer tcistglosuen cus.	---|-------|-|--⌫|---|---|---⌫---|
Neli ua ura noi ent	-|-|--⌫--|---⌫--|
sagra ntuert us .	-|---⌫-|----⌫--⌫|
DistRainouarsE stesuosc iu enus	---|--------|-⌫---|--|-⌫|-⌫---|
Traiésuosla	------|--|-|
iaseréscon fo n dus.	-|-----|---⌫--⌫-⌫---|
uiels estes m oltetbarbéset c an us	----|----|-⌫--|-|------|-|-⌫--⌫-|
De poide chose	-|--|-|----|
serés iaabatus.	-----|-|------|
uoel maistochi ern adeser	---|---|-----⌫-||-----|
Ian en seroi t	-||-|-----⌫|
po r cem esloscreüs.	--⌫|-|-⌫-|--|------|
Lais siés u enirchi aprésmoiuos	----⌫----|-⌫---|--|-----|--|--|
Si sauront	-|------|
lorscomment	---|------|
pois e ci sfus	----⌫|--⌫|--|
. x xx.m.estesce m	-⌫-⌫----|----|-||
esta uisou plus	--||--|-|---|
Et ie sui se us n aio	-|-|--|--⌫-||-||
moi quecest	--|--|---|
N euospristou sualisaut	-⌫|--|---|---⌫|-------|
.ii.festus.	---|------|
Fiersont licrietmeruil io us et gr ant.	---|---|-|--|-|------⌫--⌫-|-|--⌫---|
RoisDesraméstintonpuig lebonbra nt	---|--------|---|-|---|-|--|---⌫-|
EtTene bréstraitl es peetr anchant.	-|----⌫----|----||--⌫--|--⌫-------|
Paieniuienent S arrasinetPersa nt	----||------|-⌫------|-|-----⌫-|
Que Rai nouart	--|---⌫-----|
asalent en huant.	------|-|-----|
Cil Tenebréssaliunpoiau an t	--|--------|---|-|--|--⌫--⌫|
Fi ert Rainouart	--⌫--|--------|
sor sonchapeld euaut	--|--|-----|-⌫----|
T o tcontreual	-⌫-⌫|-----|--|
ua lespeecoulant	-||----|------|
Sorletin elRainouartua c aant	--|-|---⌫-|--------|-|-⌫---|
D euerssen estre	-⌫----|---⌫----|
ual if use schardant.	-|-⌫|-⌫-|-⌫---------|
EtRai nouarsen	-|---⌫-----|-|
alecu erd olaut	|-|--⌫-|-⌫----|
Iau engem sil puetson	-|-⌫----||-|---|--|
maltalan t.	--------⌫-|
Lieu e lef ustsileua	----⌫|-|-⌫--|-|-|-|
FiertTe nebrésorson	----|--⌫-----|--|--|
hiaumeluisant.	-----|-------|
LiTur sguen chi	-|---⌫|----⌫--|
siuatot ch a uce lant	-|-|--|--⌫-⌫---⌫---|
escu ua licos d escen dan t	---|-|-|--|-⌫-----⌫---⌫|
Ladestre cuis eli	-|-----|----⌫|-|
brisemaint enant	----|-----⌫----|
Desorl est rier liua a	----||---⌫---|-|-||
u al pendant.	-⌫-|-------|
Iale üst mortparle mien e ns iant	-||-⌫---|---|--|-|---|-⌫--⌫---|
Mai s.xu.m. lasalentpa rdeuant	---⌫|-----||------|--⌫|-----|
Fierent deguiu res etdedam en	------|-|----⌫--|-|-|--|-|
lanch ant.	-----⌫---|
Tan ten fe u-renten sonha uberctenant	---⌫|-|--⌫-----|-|--|--⌫----|-----|
Quen.xi ii. lieu s lifontlecorssanglant	-|-|---⌫--|----⌫|-|---|-|---|-------|
Iusleuerserent .iii.foisenuntenan t.	--|-|--------|----|---|-|-|-----⌫-|
Ocis leu ̈ssent	---||--⌫-----|
par lemienensiant	--|-|---|------|
Quan tau secors uintGuillaum espoign ant	----⌫|-|-----|---|--------⌫-|-----⌫--|
Et A imerisettuitsi.u. enfan t	-|-⌫-----|-|---|-|--|-----⌫|
Et si neueuqui so nt preu etuallant	-|-|----|--|--⌫-|---|-|------|
autrepa rtFrançoisli	----|--⌫-|--------|-|
combatant .	---------⌫|
Laueissiés u nestormol t	-|--------|-⌫|----|---⌫|
A le standart uienentpaie n	||-⌫-------|------|----⌫|
F rançoi sescrie ̈nt	-⌫-------⌫|------⌫--|
Monioie leua llant	------|-|--⌫----|
EtS armsinMahonet Teruagant	-|-⌫-----|----|-|--------|
Iasontgu enchi li	-|---|--⌫----|-|
cuuertmescreant.	-----|---------|
Si serefiere ntesnosp ar maltalant	-|-|-------⌫-|-|--|-⌫-|--------|
uoelentou non le suontsi	------|-|--|--⌫|---|-|
Dusq uesasloge s nefurentarestant.	----⌫--|-|----⌫|-|-----|--------|
EtRaino uarsles	-|-----⌫---|--|
ua si demenant	-|-|-------|
.iiii.traiti es les	-----|------⌫-|--|
maineenuntenant.	----|-|-|------|
Melorb atallen esetnusq ui u os cant.	----|-⌫-----|-⌫|--|--|-⌫-|-⌫-|----|
iorsm ie ̈d isfupa ssés	---|-⌫--⌫--⌫-|-|--⌫----|
Fiersontlicap le enuir ondet osles	---|---|-|---⌫-|-----⌫-|-|-⌫-|--|
Et Rainou ars fu dur em entlassés.	-|------⌫--|-|---⌫--⌫--|-------|
Nes tpasmeruellesil fulaset penés	|--⌫|--|-------||-|-|--|-|-----|
Car.m.paien	--|--|----|
otleior mortietés	-|-|--|---|-----|
A.iiii.m. l es membresafolés .	|-------|-⌫-|------|-------⌫|
Deiousteu n pre sest l i	-------|-⌫|--||--|-⌫|
bem a restés	--|-⌫------|
t i nelsest unpoi	-⌫-⌫--||--|-|--|
acost e ́s	-----⌫-⌫-|
Tant que ilsoi tunpetit reposéés.	---|--|-|---⌫|-|----|----------|
Maispetitfu en	---|----|-|-|
pai setseiornés	---⌫|-|--------|
Parl a bataille uientpoignantEür és	--|-⌫|-------|----|-------|----⌫--|
Uns Sarrasi nsfier setdesmesuré s.	--|-------⌫-|----⌫|-|----------⌫-|
forsetkenusetbarbe ́s	---|-|----|-|-----⌫-|
Unpel d a cie r portoitqui fu quarrés.	-|--||-⌫---⌫|------|--|-|--------|
Enboutantfiert R ainouart es cos tés	-|------|----|-⌫-------|-|---⌫---|
Nes enpris t garde	-||-|----⌫|----|
sestaterreuersés.	|--||----|-------|
Distl ipaiensRainouarsqueba és	---|-⌫|-----|--------|--|--⌫--|
Al ésauantnesoi ésesfreés	--⌫--|----|-|---⌫--|-------|
Rainoua rs lo ts esten pi e ́s	-------⌫-||-⌫||--|-|--⌫-⌫-|
I lseregardese	-⌫|-|------|-|
res tou trepassés.	---⌫|--⌫--|-------|
DistRainou arsMalementsuiboutés.	---|------⌫--|-------|--|-------|
Sorne meuen ge dont	|-|-|-|---⌫-|---|
aie ie dehés	--|-|-----|
Sonti nel pre ntaprés sestr etornés.	--|--⌫--|---⌫-|-----||--|-⌫--------|
et l icapl e sontfier	-|-⌫|----⌫|---|---|
EtRa i nouars	-|--⌫-⌫-----|
cuidele sa nc	----|-|--⌫-|
D e mal talentq uant seuittre buch ier.	-⌫|---⌫-----|-⌫---|-|--|---⌫----⌫---|
I lsal isuspo rsa honteue ngier	-⌫|---⌫|--|--⌫|-|----|--⌫----|
MaisEürés	---|------|
ne l e priseundenier	-|-⌫|----|-|-----|
P oignantsen u a sor lArrabico rsie r	-⌫------||-|-⌫|--||-----|--⌫----⌫|
Et Rainouamsep rentacourechier.	-|-------|-|-⌫---||----------|
Aprés l uicuert entese ́so n	-----|-⌫-|----|------⌫|--⌫|
cachapar mil estor	----|--|-||----|
Que il latainst	--|-||------|
deuant l et r ef	-----|-⌫|-⌫-⌫-|
Telcopl id one parmil	--|--|-⌫|-⌫--|--|-||
elmeuergier	---|------|
loutlienbarediciauceruellier.	|--|-|-----||--|-|----------|
Licols fu grans	-|---|-|----|
quan tuintau	----⌫|---|-|
deschargi er	---------⌫-|
Parmileschin e	--|-||------⌫|
consuitlebondestrier	------|-|--|-------|
Le col l i briscsi l aba tenlerbier.	-|--|-⌫|----|-||---⌫|-||------|
Dist Rai n o ua rs Or auantEürie r	---|---⌫-⌫-⌫--⌫-|-|----|------⌫|
ue ngiésme suideuosm aluais	--⌫-----|-|--|-|--|-⌫-----|
u a au deablenete	-⌫|-|-----|-|-|
quier mais	----|---|
A cesparole s	|--|------⌫|
sest misel repairier.	|--|--|-|---------|
l estorsetf orse t adurés	|-----|-|-⌫--|-⌫|------|
EtR ainouars estarieretomés.	-|-⌫-------|--|-----|------|
Deforslestorestdunepart alés	-----||----|--||--|---|----|
Ile s t assisso usun arbreram é.	-|-⌫-⌫|----|--⌫-|-|----|---⌫--|
Lase reposetantqu il soitasoflés.	-|-|-----|---|-|-|---|--------|
Prent sontine ls il e sgard aass és.	----|--|----⌫|-⌫||-⌫-----⌫|---⌫---|
totens anglentés	--|---⌫---------|
Delsancd ecelsqueilauoitt ués.	--|---|-⌫|---|--|-|----|-⌫----|
Un petitet sestli	-|------||--|-|
bemp o rpensés	--|-⌫-⌫-------|
De son lignagesest un poi	-|--|------||--|-|--|
remem brés	-----⌫----|
Qu i la leior oc isetafolés.	-|-⌫||-|--|--⌫-|-|-------|
Alas di stil tant	|--|--⌫-|-|---|
suimaleürés	--|---------|
Oraigemors t os me s	-|-|-|---|-⌫-|--⌫|
amischar né s	---|----⌫---⌫|
Et amonpereai brisié les	-||--|---|-|------|--|
l cistp e chié ne	-⌫---|-⌫-⌫----|-|
pardonn és	-------⌫--|
Et qu ai ie dit Ce	-|-|-|-|--|-|
a fait mes tine ́ s.	|---|--|----⌫-⌫-|
Malsoitde l eu requeilfucharpente ́s	--|---|-||--⌫-|--|-|-|---------⌫-|
S on fustgetade uant	-⌫-|---|---|--⌫---|
luiens e s pres	--|--|-⌫|---|
Queluns des	--||--|--|
l aterreentrés.	-⌫|----|-------|
uadist ilfusma rfusestucopé s	-|---|-|--|--⌫|----|-|-----⌫|
Desor maisie ́s de	--|-|---|--⌫-|-|
moi tosdef iës.	--|--|---⌫----|
Tu asest édemoimolthon o rés	-|-|---⌫-|-|--|---|---⌫-⌫---|
Ne trouashometant fustenp a rent é s	-|-----|---|---|---|---⌫-⌫----⌫--⌫|
Qu itosast fairemal	--⌫||----|----|--|
nedesloiautés	-|-----------|
Et tum asfait traïsonetlastés.	-|-||-|---|-------|-|-------|
iraietuous cir emaindrés	---|-|---|-|-⌫---------|
Iam ais pormoi auant	-|-⌫--|--|--|----|
n ier esportés.	|---⌫-|-------|
A cesparoles sestlib ers	|--|------||--|-|-⌫--|
u oitunconr oiuen ir d eTu rs armés	-⌫--|-|----⌫-|---⌫-|-⌫|--⌫-|-----|
prim es es t oitis su sd es	----⌫-|--⌫-⌫--|--⌫--⌫|-⌫-|
R o i sHau cebierslesad euan tguiés.	-⌫-⌫-⌫|---⌫------|--||-⌫----⌫|------|
Gransfu etfors	----|-|-|---|
.xu.piésmes ure ́s	---|----|---⌫---⌫-|
No irs estl iroiscomarrementtribl és	--⌫--|--|-⌫|---|--|-------|-----⌫--|
Ensondos ot.iii. blansh aubers safrés	-|--|--|-|----|----|-⌫-----|------|
Etas onco l.iii.fo rsescus l isté s	-||-⌫-|--⌫|----|--⌫-|----|-⌫-----⌫|
Et en son chief.iii.ue rs iamesgemés	-|-|--|----|----|--⌫-|----|-----|
Et.iii.e spees pe ndent a sescostés.	-|----|-⌫----|--⌫----||--|-------|
Tint unes pié quie stgransetqu arrés	---|-|--⌫---|--|-⌫-|----|-|--⌫-----|
D unma lserpent	|-|--⌫|------|
f u totenuenimés	-⌫|--|---------|
Lifersfulons.iiii.pi és	-|---|-|---|-----|--⌫--|
Etses cheuausferansetpommel és	-|--|------|-----|-|------⌫--|
O rgoil lousfuetmolt des mesurés.	-⌫-----⌫---|-|-|---|---⌫--------|
P arsagrantf orce	-⌫-|-|----|-⌫---|
estoitmolt	-----|---|
re do ut és	--⌫--⌫--⌫--|
Etparluifuui uians mors g etés.	-|--|--|-|--⌫----|---|-⌫-----|
QuantRainouarslesu oits	----|--------|--|-⌫--||
estretornés	--|--------|
uerssontinel	---|--|----|
receurttoses freés.	------|--|--⌫------|
Am isd isti lie uoelestre	--⌫-|-⌫--|-⌫|-|---|----|
Mesmautale ns uoussoit tou s	--|-------⌫-|---|---|---⌫|
telhomequinestpas mespriués	--|---|--||--|--|--|------|
Decieresarme s	-|-----|----⌫|
estses cors conreés	--|--|---|-------|
Nefineraisi	-|------|-|
ierealuimellés	---||--|------|
Ori parracommen tuous	-||----|------⌫|---|
m aiderés.	|--------|
Lorsseguenchi ue rsluis	---|-|------|--⌫-|--||
e stretorné s	-⌫-|--------⌫|
Ill iesc rieS arasindo n	-|-⌫|---⌫--|-⌫--------⌫|
uoléscombat re	-----|------⌫-|
amoien mices pre s	|--|-|-|--|---⌫|
Iaporbataille	-|--|-------|
maruous remuërés.	--|---|----------|
D istHaucebie rsTaisfos	-⌫--|--------⌫-|---|--|
estrumel és	--------⌫--|
Ia homa p ié	-|--||-⌫--|
nier tparmoi	|---⌫|--|--|
Moltiéshi sdeus laisetatapinés	---|---|--⌫----|---|-|--------|
Sous celha ubert	---|--|--⌫----|
uoitesd r asdep anés.	--|--|-⌫-⌫-|---⌫-----|
B i e nsemb lesfos set uestoiesres.	-⌫-⌫-⌫|----⌫--|--|-|-⌫|------|---|
Ensai g nemoi dau Guillaumeau cor t nes	-----⌫-⌫-|--|--|--------|-|---⌫|--|
Dis tRai noua rs Or	---⌫|---⌫----⌫-|-|
r amponés	-⌫-------|
montesei ai	----|-||-|
drasdespa nés.	---|-----⌫----|
Lecuern es tmie e nlermine	-|---||--⌫|--|-⌫||-----|
Ainses t ou uentr ela	---|--⌫|-|-----⌫|-|
oudexlaplaut é.	-|--|||-----⌫--|
Fols e st p ordras qui	---|-⌫-|-⌫-|---|--|
tienthom me enuiltés	----|---⌫-|-|------|
Quartiex e st richesqui	---|---|-⌫-|-----|--|
chi ete n pouret é s	---⌫-|-⌫|------⌫--⌫|
Ettex e stpo uresacuidex done assé s.	-|--|-⌫-|--⌫---||--|--|---|-----⌫-|
Richemaluais n e ualt .ii. aus pele ́s	----|------|-⌫|---|---|--|----⌫-|
Qu iqu ele prise iaparmoi n ertloës	--⌫|--⌫|-|----|-|--|--||--|----|
Seie su ipoure sencorea uraiassés	-|-|--⌫|-----⌫|-----|-⌫---|-----|
E ncorserai riches roiscorone ́s.	-⌫---|----|-----|---|------⌫--|
DistH au cebiemu atauoie desué s	---|-⌫--⌫-----|-⌫|-|---|------⌫|
Sa toicom batei ens eroie blasmés.	||--|---⌫---||-|-⌫----|--------|
MesmoustremoidanGuillau me	--|------|--|--|-------⌫-|
a uc ornes.	-⌫|-⌫-|---|
Por seuea morser astu iatuës.	--|---|-⌫--|---⌫-|-|-|-|---|
DistRainouarsSedexplest uos	---|--------|-|--|----|--|
Ne f erés pas sico m	-|-⌫----|--|-|--⌫|
aués pensé	----|-----|
moielqueuo us n e quidés	--|-|--|--⌫-|-⌫|------|
Quarsede xp lest	---|-|--⌫|-⌫---|
quantuousm es chaperés	----|---||--⌫--------|
Guill aume m esrienneforferés.	-----⌫---|-⌫-|---|-|---------|
Ieuos d e sfideltineluousgarde ́s	-|--|-⌫-⌫--|--|----|---|-----⌫-|
L i eue lefust et es t auantp assés	-⌫-⌫--|-|---|-|--⌫|----|-⌫-----|
Fier tHancebiersorles iau mesgemés .	----⌫|--------|--|--|---⌫--|------⌫|
Fort sontet duriamai steusneue rrés	---|---|-|--|-|---⌫|---|-|--⌫----|
N es empira .ii .deniers	-⌫-|-----|---⌫|------|
Encontre mon t es t litineusuolés	-------|---⌫|--⌫|-|-----|-----|
Unedes bendes encheïius	--|--|-----|-|----|--|
Liciésde uant estfendusetquassés.	-|----|--⌫---|--|-----|-|--------|
Et Rainon ars se st molt hautescrie ̈ s	-|------⌫--||-⌫-|---|---|------⌫-⌫|
Sainte Marie distil monfust	-----|----|---|-|--|---|
Haucebie rs u o it	--------⌫-|-⌫-⌫-|
Rain ouamla f eru	----⌫---|||-⌫--|
D ema utalent a tot le sancperdu.	-⌫|--⌫------||--|-|---|-----|
For mentiura M ah omet etCahu	---⌫---|---|-⌫--⌫---|-|---|
