o tzzempereeur	-⌫|-|--------|
g ar deraimoult bien	-⌫--⌫----|----|---|
foidamedit	--|---|--|
ilie le uue i lueoir	-|-|-|---⌫-⌫|----|
sire d iste le p uisqu il	---|-⌫--|-⌫-|-⌫----|-|
ples t s ileuerroiz	----⌫|-⌫|-|------|
mein tenantletrest la	----⌫-----|-|----|-|
desaumosnieresile	-||---------|-|-|
mo ustra asonseigneur	--⌫----||--|-------|
quantlisires	----|-|----|
le uitsise	-|--|-|-|
moul tquecepo oi testre	----⌫|--|-|--⌫--⌫|----|
que lic heuali ersauoit	--|-|-⌫------⌫--|----|
e ns ondoisa mbloit	-⌫|-⌫-|--|--⌫-----|
mieulzce lui	-----|--⌫--|
queriensdumondelors	--|----|-|----|---|
disten son	---|-|--|
a ss ez sont	-⌫--⌫-|---|
a nne ausquis	-⌫---⌫--|--||
resemblentce lenuitiu t	---------|--⌫-|---|--⌫|
auecsafam een	---|-|---⌫|-|
toura grantdeduit a	---||----|-----||
l andemain	|-------|
seleuamatinet	-|---|----|-|
aumous tieroir	-|----⌫---|--|
li cheualiers	-|---------|
ensementaueclui quant	-------|---|--|----|
leserui se	-|-----⌫-|
fu f inéle	-|-⌫---|-|
seigneurapela	-------|----|
s onsoud oier	-⌫-|----⌫---|
co urtoisementami s dit i l	--⌫----------|---⌫|--|-⌫|
en auecmoi elbois	-|---|--|-|---|
chacieretdedu ire sire	------|-|----⌫--|---|
n ipuisa ler	||---|-⌫--|
car ie aioies nou e les	--|-|-|---|---⌫-⌫--|
dem onp a is	-|-⌫-|-⌫-⌫-|
quemapeses tfete	--|-|--|--⌫|---|
etquemiamila m	-|--|-|--|-||
ontpo ur chacie e	--|--⌫--⌫------⌫|
etun e moieami emen	-|--⌫|---|---⌫||-|
anouelesaporteessi	|------|-------|-|
etrequierqueuous	-|------|--|---|
mengieze nn euo isauecmoi	------|-⌫--⌫---⌫-|---|--|
teignie zcompa igniecertes	-------⌫|-----⌫----|-----|
fetlihauzhonsmoult	--|-|---|---|----|
u olentiers quant il uou s	-⌫--------|----|-|---⌫|
pl est lors fistl i	--⌫--|---|---|-⌫|
apareill ier sesgenz et	--------⌫--|--|---|-|
seschiensetsen	--|-----|-||-|
ala ch acier	--|--⌫----|
elboislich eua liersse	-|---|-|--⌫---⌫----|-|
p ourcha cade uia ndeset	-⌫------⌫-|-|---⌫---|-|
fistapareille r m o ultbi au	---|---------⌫|-⌫-⌫--|--⌫-|
m engierlors se nmonta	-⌫-----|---||-⌫|----|
et fist ladame	-|---|-|---|
desce ndre etlamen a en	-----⌫---|-|-|---⌫|-|
sames o n etla	-|---⌫-⌫|-|-|
fist desuestirdesa	---|--------|-|-|
ro be puis lifistu est ir	--⌫-|---|-|---|-⌫---⌫-|
une belerobe	--|---|---|
auoitdeson	----|-|--|
paisaporteen usnel	---|------|-⌫-|-||
auoite nco re	----|-⌫---⌫-|
a uoitencore pasmoustree	-⌫---|-----|--|-------|
uestiral adame et	-----||-⌫|---|-|
unemoult belechape	--|----|---|----|
fourreeetli fist	------|-|-|---|
metr eanea usdoret	----⌫|----⌫-||-|-|
darge nte n	|----⌫-|-⌫|
moultf ucele da m e	----|-⌫|---|--⌫-⌫|
desguisieeatant	---------|----|
uenirleseig neu rdubois	----|-|----⌫---⌫|-|---|
auoit chac iél emengier	----|----⌫--|-⌫|------|
f uapareilliéneni	-⌫|----------|-|||
o tque de lauer	-⌫|--|-|----|
lesoudoie r a la enc on tre	-|-------⌫|-⌫-|---⌫--⌫--|
sonseigneuretlamena	--|-------|-||----|
e nsamesontoutfu	-⌫|-|----|---|-|
a prestélestable sfu rent	-⌫------|--|-----⌫|--⌫---|
fudon eesiasire ntau	-|---⌫-|-|-----⌫-|-|
le s ou doier fistle	-|-⌫--⌫----|---|-|
sei gneurmen gier auecla	---⌫----|---⌫---|---|-|
assez touteadesetse	----|----|---|-|-|
meru eilla	----⌫----|
mou ltquece pooites tre	---⌫-|--|-|----|--⌫--|
ca releres ambloit mieulz	--⌫|--|---⌫------|-----|
fame que r i ensdu mon de	---|--|-⌫-⌫--|-|---⌫-|
la damelesemondoi tet	-|---|-|--------⌫|-|
esforcoi t	--------⌫|
moultdemen gie r	----|-|---⌫---⌫|
nepo oitmengi e rtant	-|--⌫--|-----⌫-⌫|---|
esbahi zmeslatou rqui	------⌫|--|-|---⌫|--|
estoitfort le dec euo it	-----|---|-|---⌫---⌫-|
ilnecuidasttele	-|-|------|---|
traison pourrie n snee	------|---|---⌫-⌫|--|
moultpensa	----|----|
etdiste nson cuer	-|---|-⌫|--|---|
queassezsontfames qui	--|----|---|----|--|
sentr eresambl ent	|----⌫|-------⌫--|
et de c orset	-|-|-⌫--|-|
et de c hiereausiconme	-|-|-⌫----|---|----|
qu iluit el	-|-|--|-|
cheualierquir esambloit	--------|--|-⌫--------|
safameauoit le	-|---|----|-|
soudoierfist	-------|---|
chiereetmoult honora	-----|-|----|-----|
so n seigneurlisires	--⌫|-------|-|----|
demandaqui es toit	------|--|--⌫---|
c ele da me l esoudoier	-⌫--|--⌫-|-⌫|-------|
r espond isireele est	-⌫------⌫|---|--|--|
unemoieamiequim	--|---|---|--||
apo r tees nouelesquemi	---⌫-⌫---|------|--|-|
on tf e temap ese t	--⌫|-⌫-⌫-|-|-⌫-|-⌫|
pourchacieesime n	----------|-||-⌫|
pr oc hainementaleratant	--⌫--⌫--------|---|----|
ont celeparo l ele ssiee	--|---|----⌫-⌫|--⌫----|
quantilorentme ngiéa	----|-|----|--⌫----||
l euruolente lest ables	-⌫--|------|--|-⌫----|
furent oste es	-----|----⌫-|
li sirespristcongie	-|----|----|-----|
famepourcelequil	---|---|---|-|-|
auoitueu een	----|---⌫|-|
q uan t li cheualiersuit	-⌫---⌫|-|---------|--|
quelisiressen	--|-|----||-|
lors fistla	---|---|-|
da medesue stird e	--⌫-|-----⌫---|-⌫|
li fistues tir la se u e	-|---|---⌫--|-|--⌫-⌫|
p uis len enuoiaparmi	-⌫--||-|-----|----|
celesouzleualentableure	---|-------||---------|
sir esuin taus	---⌫-|---⌫|--|
huissidesfer mal un	---|-|------⌫-||-|
apres la u tre	----||-⌫-⌫--|
t antqu iluintamon ten	-⌫----|-|---|----⌫|-|
latour etu itsa	-|---|-|-⌫-|-|
en ot moult gra nt ioie	-|-|----|---⌫-|---|
merue ill ade cele	-----⌫---⌫|-|---|
qu ilauoit less ieeq ui	-|-|----|----⌫--|-⌫-|
f ormen t liresamblacele	-⌫-----⌫|-|-------|---|
iutauecsa fame e n	--|---|-|---|-⌫|
la toura grantio ie	-|---||----|--⌫-|
agrantde d ui tmesie	|----|--⌫-⌫--⌫|--|-|
ne cui t pas qu il l	-|---⌫|--|-|-||
ait lo nguement	--|--⌫-------|
carlech eua lie r pour chaca	--|-|--⌫---⌫---⌫|----⌫----|
l an d emainet loaune	|--⌫-⌫----|-|--|--|
ilm i stses c hosestout	-|-⌫-⌫-|--|-⌫----|---|
ce queil uolo itmen er	-|--|-|----⌫-|---⌫-|
pa is lisiresseleu a	--⌫-|-|----|-|---⌫|
bien matinetferma	---|----|-|----|
sa touretlessasa	-|---|-|----|-|
f amegisantet a la a	-⌫--|-----|-|-⌫-||
leglyse e tle	|-----|-⌫|-|
soudoie ralaen	-------⌫|--|-|
etfistla dame	-|---|-|---|
descendreetlafi st	--------|-|-|--⌫-|
moul tbienue stiret	----⌫|---|--⌫---|-|
apareillierapresreuinta	----------|----|-----||
son s e igneur	--|-⌫-⌫-----|
silip r o iaetdist	-|-|-⌫-⌫-⌫-|-|---|
quelidonas ts	--|-|-----⌫||
q uilfist me ng ierauec	-⌫|-|---|--⌫--⌫--|---|
lui car ilne	--|--|-|-|
pasespousee	--|-------|
talentquilla preis t	-----|-|-|-|-----⌫|
certesditli sires ce	-----|--|-|----|-|
feraiie uolenti ersdui	----|-|-------⌫--|--|
a lerent pourla	-⌫-----|---|-|
l a menerent	-⌫|-------|
lisiresprist	-|----|----|
parlamainet la	--|-|---|-|-|
d onaausoudoier	-⌫--|-|-------|
zzchapela in chant a la	-|-------⌫-|-----⌫|-|
messe etes pou sa	----|-|--⌫---⌫-|
cheualier quantleseruise	--------|----|-|------|
fufinez ilissiren t	-|----|-|-------⌫|
mous tierlesoudoierenmena	----⌫---|-|-------|-----|
ladame auriuageou	-|---|-|-----|-|
lanef les si eequant il	-|--|---⌫--⌫-|----|-|
furenttuit u enu z si	-----|---|-⌫---⌫|-|
c heualier congie auseigneur	-⌫-------|-----|-|-------|
conmandaadieu	-------||---|
et li s ires	-|-|-⌫---|
luilisoudoiers entra	--|-|--------|----|
nef etl i sires	--|-|-⌫|----|
safam esi li bai lla	-|---⌫|-|-|---⌫--|
parle po i ng	--|-|--⌫-⌫-|
sons o ulazquantent ele	--|-⌫-⌫---|----|-|-⌫--|
manierelialiu reel i	------|-||---⌫--|-⌫|
e mp aindrentenmer et li	-⌫--⌫-------|-|--|-|-|
s iress enr etornaa	-⌫---||-|-⌫-----||
des fermaleshui set	---⌫----|--|---⌫|-|
montaam ontilregar da	----|--⌫--|-|-----⌫-|
auant e tar iere	----|-⌫|--⌫---|
mesilne trouuapas	--|-|-|-----|--|
sa f am e lors fusi	-|-⌫--⌫|---|-|-|
esbahi zq uil ne	------⌫|-⌫|-|-|
sotconsei lliermo ultf u	--|------⌫----|--⌫--|-⌫|
espoantez lo r sse conmenca	--------|--⌫-⌫|-|-------|
a dementereta plorer	|-------|-||-----|
mescefuatart	--|-|-||---|
pa rlafoi queie	--⌫|-|--|--|-|
do isi ree mperieresa usi	--⌫|--⌫-|-⌫--------|-⌫--|
ouurezuouset ent el	-----|---|-|-|-⌫-|
maniere cele fame uou s	------|---|---|---⌫|
sique uousla	-|--|---|-|
mieulzque uostre ueue	-----|--|-----|---|
sachiezqu e uous orroiz	------|--⌫|---|-----|
d e main uostre filzparl er	-⌫-⌫---|-----|---|----⌫-|
lors si sauroiz lique x	---|-|------|-|---⌫|
aura tortouu ostre	---|---|-|-⌫----|
ou lui dexditli	-|--|--|--|-|
emperieresseiepooie	---------|-|-|----|
sauoirliquexauroit	-----|-|---|-----|
tortou luiou	---|-|--|-|
loialiugem ent de ro me en	----|-----⌫--|-|--⌫-|-|
fero ien e leleroie	----⌫-|-⌫|-|-----|
dumondeuousl or roiz	-|----|---||--⌫---|
d istli sag es	-⌫--|-|---⌫-|
sanz faill e carilne	---|-----⌫|--|-|-|
puetplusdemo rerpar	---|---|----⌫--|--|
denis distlirois	----|---|-|---|
nemorra i lhuimes	-|----|-⌫|--|--|
etdeces ui	-|-|-|-⌫-|
iemou ltliezq ueiel	-|---⌫-|---|-⌫-|-||
orraidemai nparlercar	----|-----⌫|-----|--|
ri ens e l	--⌫--|-⌫|
mo nd e que ie	--⌫--⌫|--|-|
atantsent ornali	----||-|-⌫---|-|
moultdolent e	----|------⌫|
ete sper due or nese t	-|-⌫----⌫--|-|-|--⌫|
e leque dire	-⌫-|--|---|
que eleser a honni e	--|--|---⌫|-----⌫|
puisquelienfesparlera	------|-|----|------|
liemperi eres	-|------⌫---|
ala celenui tcouchier	--|---|---⌫|-------|
ausifist l empereriz	---|---||--------|
iert dolente si tost	---|------|-|---|
conme iluitle	----|-|--|-|
ilseleuapouro i r	-|-|---|---|-⌫-⌫|
messe etmoultliestoit	----|-|----|-|-----|
il oistsonfilzparler	-|---|--|---|-----|
tui tli b aro n s	---⌫|-|-⌫---⌫||
atornerent e t	---------|-⌫|
apar eillierentmoultr ichement	----⌫---------|----|-⌫-------|
carilsauoientqueli	--|-|-------|--|-|
enfes de uoitparlercelui	----|--⌫---|-----|----|
io urdamesetcheu aliers	--⌫-|----|-|----⌫-----|
e t borio issacesmerent	-⌫|-----⌫-||---------|
plusbelcarmoultorent	---|--|--|----|----|
ioiedecel enfantqui	---|-|--|-----|--|
parlerdeuo it li yys a ge	-----|----⌫-|-|-|-⌫-⌫-|
aumoust ieretmo ultbiau	-|-----⌫--|-|--⌫--|---|
sapareillierentquant	|-------------|----|
la messefu chant eeil	-|----|-|-----⌫-|-|
s asamblerentsi s	|----------|-||
a resterent	-⌫--------|
enunebele placedeuant	-|--|---|----|-----|
l e mo us tierliduides	-⌫|--⌫--⌫---|-|--|--|
sa g esalerentpo urle	--⌫-⌫-|------|--⌫-|-|
d amoisel li enfesfu	-⌫------|-|----|-|
uestuzetmo ult	-----|-|--⌫--|
genzetbiaus lis age	---|-|----|-|-⌫--|
lam eneren t en la	|--⌫------⌫|-|-|
deuantson pere	-----|--|---|
zzperronla noise e t	-|-----|-|----|-⌫|
fug ranzque	-|-⌫---|--|
ois tpasd ie u	---⌫|--|-⌫--⌫|
enfess est agenoilliez	----||--|----------|
p u eples sacoisa lorsse	-⌫-⌫----||-----|---|-|
leua enestantet	---|-|-----|-|
que tui t le	--|---⌫|-|
pore nt oir	----⌫-|--|
et distason pere	-|---||--|---|
dieu merciuo us	---|----|--⌫-|
granttort corrociez	----|---|--------|
moic a ruou spo ez bien	--|-⌫-⌫|---⌫|--⌫-|---|
c roireet sa uoirque	-⌫----|-|--⌫---|--|
estoi t g ran tlac hoiso n	-----⌫|-⌫---⌫||--⌫-----⌫|
neparlo ie	-|-----⌫-|
car nousueisme sen la	--|---|------⌫|-|-|
lunetoute la someque	---|----|-|---|--|
seieparla ss e	-|-|-----⌫--⌫|
qu ant po ur	--⌫--|--⌫-|
riensiene me	----|-|-|-|
queienedei ss e	--|-|-|---⌫--⌫|
telcho sepa rauenture	--|---⌫-|--⌫|-------|
d ont i e fusse	-⌫--|-⌫|----|
tuit yydestruitetbiau	---|-|-------|-|---|
douzpereuous uoliez	---|---|---|-----|
fere ausi con me	---|---|---⌫-|
honsf istque ieoi	---|-⌫--|--|-|-|
con ter qui	---⌫--|--|
i eta so nf il ze n la	-⌫--|--⌫|-⌫--⌫|-⌫|-|
mer po r cequ	--|--⌫|-|-|
quilse roit	-|-|--⌫---|
encore plushauz h onsqu e	-----|---|---|-⌫--|--⌫|
sonperee ten greigneur	--|---|-⌫|-|--------|
mo nteroit lorsdistli	--⌫------|---|---|-|
empe r ieresb iax filz il	----⌫-⌫----|-⌫--|---|-|
droiz que nous oi ensle	----|--|---|--⌫--|-|
uostre essamplecarchascun	-----|-------|--|------|
pourlamourde	---||----|-|
si leurdeuez sau oir	-|---|----|---⌫--|
moultbongrede ce	----|--|--|-|-|
il uosonttants auue ́	-|--|--|---|-⌫----⌫|
etmo u l t se sontp our	-|--⌫-⌫-⌫|-|---|-⌫--|
ettraueillié lors dist	-|----------|---|---|
ie l euous	-|-⌫|---|
il fuiad iszzr ic he	-|-|---⌫-|-|-⌫--⌫-|
q uiau o itzzfilmo ult	-⌫-|--⌫-⌫-|-|--|--⌫--|
co r toise tmou ltsage si	--⌫-⌫---|-⌫|---⌫-|---|-|
auoitbie nent o ur	----|---⌫|---⌫-⌫-|
se mirentenzzbatel	-|-----|-|-|----|
lepere etle filet	-|---|-|-|--|-|
nagierent par	--------|--|
merpor alerazz	--|--|---||-|
r eclusquie stoit	-⌫----|--|-⌫----|
z z rochier	-⌫|------|
tantquesuseuls	------|--|---|
comencier enta criery y	---------⌫--||----|-⌫|
corn eilles	----⌫-----|
aresterenthad iexdit	---------|-|-⌫--|--|
pe res a sonfilqu e	--⌫--||--|--|--⌫|
pueentored irecil	-----|--|-⌫--|--|
biauperedit	---|---|--|
ie saibien	-|--|---|
dientildient	----|-|----|
que iemont eraiencore	--|-|----⌫---|-----|
hautementet seraiencore	--------|-|----|-----|
sihauz hon	-|---|--|
se riezforment	--⌫---|------|
liezs eie daignoie tant	---|-⌫|-|-------|---|
sou frirqueuousme	---⌫---|--|---|-|
teniss iez mes	------⌫--|--|
man chesqu antie	---⌫---|--⌫--|-|
l auermes main setma	-⌫---|--|----⌫|-|-|
seroi tmoultli e e se	-----⌫|----|--⌫-⌫|-|
eleo soi t tenir la	--|-⌫---⌫|----|-|
to ai lleou	--⌫--⌫--|-|
ie essuieroiequan tli	-|---------|----⌫|-|
peresoices ien fu	----|-|-|-⌫|-|-|
moult corroc iez	----|------⌫--|
eteno tgrantd uel	-|-|-⌫|----|-⌫--|
au cueruoired it il	-|---|----|-⌫-|-|
s imonteroiz	-⌫|--------|
plush a utdem oipar	---|-⌫-⌫-|-|-⌫-|--|
mon chiefie faussera i	--|----|-|--------⌫|
argumentlors pr is tson	-------|---|--⌫--⌫|--|
fi l z s il e ietaen	--⌫-⌫|-⌫|-⌫|---|-|
merliperes	--|-|----|
s enalanaianten	|-|--|-----|-|
sonafereet lessason	--|----|-|----|--|
enfan tenla	-----⌫|-|-|
merentelmaniereli	--|-|--|------|-|
enfes sauoitdesnons	----|-----|--|---|
nostr eseigneur	-----⌫|-------|
sirec lama dieu d ebon	-|---⌫---|---|-⌫|--|
cueret dexo isa	---|-|--|-⌫|-|
prierecar il	-----|--|-|
ar iuaaune roche qui	--⌫--||--|----|--|
lameri leques	-|--|-⌫-----|
iourzqueonquesnebu t	----|--|-----|-|--⌫|
nene menia nene	-|-|----|-|-|
nulerien s nemes	---|----⌫|-|--|
oisia usq ui	-----⌫-|-⌫-|
l idisoient	-⌫|-------|
etcrioient	-|-------|
enleurl ang agequemar	-|---|-⌫---⌫--|--|--|
sesmaieroit	|---------|
par ta nssecours	--|--⌫-|------|
a tant esu ouszz	-⌫---|-|-⌫--|-|
pescheeu r qui	--------⌫|--|
partdroi t	---|----⌫|
siconmedi eu	-|----|--⌫-|
il uitcelenfantsi	-|--|--|-----|-|
m oultliezmeintenant le	-⌫---|---|---------|-|
to utd roitazzch aste l	--⌫-|-⌫---||-|--⌫----⌫|
quiestoitmoultfortyy	--|-----|----|---|-|
est oitloi ng decel port	---⌫--|---⌫-|-|--|---|
ouson pere	-|--|---|
celpescheeuruendi	--|--------|----|
en fantausenesc halde	--⌫---|-|------⌫--|-|
celchast el	--|-----⌫-|
yy marzdor en	-|---||-|-|
li sen eschaus	-|---⌫------|
mou lt etsa	---⌫-|-|-|
ensementca r lienfes	-------|--⌫|-|----|
e s toitsi biaus	-⌫-⌫---|-|----|
ets iseruiab lesqu etouz	-|-⌫|-------⌫--|--⌫|---|
adont auoiten cel pais	----|----|-|--|---|
zzro iquimoult estoit	-|--⌫|--|----|-----|
et dolenzcartrois	-|-----|--|----|
oisiauscrioient	------|-------|
se ur l ui	--⌫-|-⌫-|
chas cuniour	----⌫--|---|
etde menoie nt s i gra nt	-|--⌫------⌫-|-⌫|---⌫-|
duelque ceestoit	---|--|-|-----|
merueille et	--------|-|
t out ades	-⌫--|---|
siuoientle	-------|-|
r oipartoutla ou il	-⌫-|--|---|-|-|-|
et aumostiere tq uant	-|-|------|-⌫|-⌫---|
il menioi ttoutiourz	-|------⌫|--------|
seur luilirois s e	---|--|-|---|-⌫|
mer ueilloitmoult	---⌫-------|----|
pooite stre	----|-⌫---|
m esnusne lisau oit	-⌫-|--|-|-|---⌫--|
a dir equece	|---⌫|--|-|
zzior m and a	-|--|-⌫---⌫|
t outs onbarnagep our	-⌫--|-⌫-|------|-⌫--|
merueilles auoirseaucuns	--------|-⌫----|-|-----|
lisa u roit adireque	-|--⌫-⌫---||---|--|
po rro it senefier li baron	--⌫---⌫-|-------|-|----|
delat e r rey	-|-|-⌫-⌫-⌫-||
li seneschaus d i st a	-|---------|-⌫-⌫-||
famequeeley uo l o it	---|--|--||--⌫-⌫-⌫-|
alersiredist	---|---|---|
la damedepar dieuha	-|---|-|--|---|-|
sire dist lie nfes	---|---|-|-⌫---|
lessiezmoi	------|--|
auecuousalera misd i st	---|---|---|-⌫--|-⌫-⌫-|
liseneschaus uolentiers	-|---------|---------|
sen torner entet	|-|------⌫--|-|
errerenttantqu	-------|-----|
uindr entalac ou r t	-----⌫--||-|-⌫--⌫-⌫|
tu it li ba r o ne stoient	--⌫-|-|--⌫-⌫-⌫|-⌫------|
ue nuzeta samblez	--⌫--|-|-⌫------|
quantli rois	----|-|---|
uit quetuit furent	--|--|---|-----|
uenusip arlaen haut	---|-|-⌫---|-|---|
ases bar o nsqu i la	|--|---⌫-⌫-|--⌫|-|
furent asa mbl éseigneur	-----|---⌫---⌫-|-------|
disti lse nus	---|-⌫|-|--|
deuousmesauoita	-|---|-|-----||
dire pour coi ci ltr oi	---|---|--|--⌫|--⌫-|
oiselcri ent	----|---⌫--|
ieli donroie	-|-|------|
de monreaume	-|--|-----|
et ma fill e	-|-|----⌫|
ture nttui tsi qu il	----⌫-|---⌫|-|-|-|
quimotsonastforsle	--|--|-----|---|-|
perilliédamoiselquiuint	--------|-------|--|---|
auecle seneschalcil en	---|-|--------|--|-|
apelaso nseig neu rsire	----|--⌫|----⌫---⌫|---|
tenoit cou uent	-----|---⌫---|
ila deuisé	-||------|
ie lidiroi e bien	-|-|-----⌫|---|
coiciloiselcrient	--|--|----|-----|
etmainen t telmartir e	-|------⌫|--|------⌫|
amislesauezuous	---|-|----|---|
l iseneschausc a rse	-⌫|---------|-⌫-⌫|-|
oiselnesenaloi e nt	----|-||-|----⌫-⌫-|
s erieziacreuz sire	-⌫----|-|----|---|
ditli e nfesieli	--|-|-⌫---|-|-|
diraimo ult	----|--⌫--|
bien lors sest li	---|---||--|-|
sen eschauzleuezem	---⌫------|----|-|
au ro i sireseuous	-|--⌫|---|-|---|
u o lieztenirlecouenant	-⌫-⌫---|----|-|-------|
uous auezdeuiséueez	---|---|------|---|
cizz e nf antquiuous	-|-|-⌫--⌫--|--|---|
bienpourcoicil oisel	---|---|--|--|----|
crient desusuous a mis	-----|----|---|-⌫--|
ie l otroi	-||----|
