me laisié sporl	-|-------⌫|--||
Pu i s creirentIe su le fil	--⌫-⌫|-------|--⌫-|-|--|
SainteMarie.Aio lontaualé	-----|-----|---⌫|--|-----|
laca rtreperi neEtMirabel	-|--⌫---|----⌫-|-|------|
safemecorecieetm arie	-|---|------|-|-⌫---|
cainesles lancentetenbuies	-----|--|------|-|-|----|
lesmisent. Liroise naiur é	--|------|-|---|-⌫||---⌫-|
Mahomet etsesi(n) deles Q ue demainlesfera	------|-|--|----⌫----|-⌫-|-----|--|---|
detranchieret	----------|-|
croien t Mahom	------⌫|----|
quitouta enba illie	--|---||-|--⌫----|
Mais bie nlorpeut aidie r	---|---⌫|--|---|-----⌫|
li fieussain te Marie.	-|----|----⌫-|-----|
CCLIX L endemaindurentestretout ars	----||-------|-----|----|---|--|
etdesmembré.	-|----------|
Oiésquela uentureIesuloradoné ..IIII.paien	----|---|-⌫------|---|--||-----⌫|-----|----|
Sarr asindoutremerSont uenu alat ereque	----⌫---||----|--|---|---||-|-⌫--|--|
acussé[s] Un[s] molttr és	---------|----|---|--⌫--|
grans tressor[ s]q uilquid o ient	----|--------⌫-|-⌫|-|----⌫-⌫---|
em blerAl f ortroi Mibrienqui lau oit	--⌫---|-|-⌫--|--|------|--||--⌫--|
amasséPar	------|--|
dedenscelecartre tout	-----|---|-----|---|
adés a sambléLa	----|-⌫------|-|
uAi ol[s] gisoitet	|--⌫----|-----|-|
safem ealuiscle rMai slitressor [s] estoit	-|---⌫|-|--|---⌫|---⌫|-|-------⌫--|-----|
cartreos tésQ ue d edensne	-----|--⌫---|-⌫-|-⌫----|-|
l aisie rent.i.deni ermon a é.	-⌫-----⌫---|--|----⌫-|---⌫-⌫--|
Lilar o nfu rent s a ge	-|---⌫-⌫|--⌫---|-⌫-⌫-|
delmestie r doctriné Alor	--|------⌫|--------||--|
chi sieu s	---⌫----⌫|
t rancansdachieretafillés	-⌫------||-----|-|-------|
Un grantpertrui[s]	-|----|---------|
o n tf aits	-⌫-⌫|-⌫--||
e sfond r éLade den s en	-⌫-----⌫-⌫-|-|--⌫---⌫|-|
lacartrecoiem en t a	-|-----|-----⌫--⌫||
E tqu iere ntletresornenontmietroué.Ai ols	-⌫|--⌫----⌫-|-|-----||-|--|--|------|--⌫--|
autr eparts el onc.i .grant pilerEntr eluie t	----⌫|---|-⌫--⌫--|--⌫|----|----|----⌫|--|-⌫|
cor echouset	---⌫-----|-|
iré sS aoi leslaronsparmi	----⌫|||-|--|-----|--|-|
Gentieumen t les apelepa rmoltgrantsimpleté	----------⌫|--|----|--⌫|---|----|--------|
estesuousqui parlacart reale ́s	----|---|--|--|-|----⌫-|---⌫-|
uenésuos auoirquerre	-----|--|----|-----|
gard é snel	----⌫--⌫|--|
me cel és.Certesien en i cuic . ii. denier[s]	-|---⌫---|-----|-||-||---|-⌫--|--------|
m oneés Ma iscunca itif	-⌫-----|--⌫-||-|--⌫---|
de Fra n chequie st enpr isoné[s]	-|---⌫-⌫--|--|-⌫-|----⌫--------|
Entre lui etsafeme q uisemeurtd elast é.	----|--|-|-|---|-⌫-|-|----|-⌫|----⌫--|
uenistes chip orauoirconquesteruo irieuo usen	-------|--|-⌫-|----|---------|--⌫-|-|--⌫-|-|
.iiii. so mierst orsésSeuosme	-----|--⌫----|-⌫-----|-|--|-|
poésfairedelap rison	----|----|-|-|-⌫----|
ieter.Ap résuosiu[re]rai des or	-----|--⌫---|--|--------|---⌫-|
m a loia uté Qu e	-⌫|----⌫---|--⌫|
uous droit enFrancheconduireme poésIeuos	---|----|-|------|-------|-|----|-|--|
donraitres or	-----|----⌫-|
uouo lenté.Lil aron lentendirent	-|--⌫------|-|-⌫---||----------|
grant ioi e	----|---⌫|
m ené Ilcoren t les	-⌫---|-|-----⌫|--|
b oionsdesbuiesde sfr em er Et le	-⌫----|--|----|--⌫---⌫--⌫-|-|-|
carcanl iontmoltcoiementosté.Li	-----|-⌫|--|---|-------|-----|-|
.iiii. laron	-----|----|
l ontde la	|--|-|-|
cartre ie té Iss i	-----|--⌫--|---⌫|
comil deuoi[en]tp or Mira belaler	--|-|---------|-⌫-|----⌫--|---|
Les gardes	--|-----|
sestormisen t	|----------⌫|
qu ildeuoient garder Et d ist	--⌫-|-------|-----|-|-⌫--|
alautreM alnousest	||----|-⌫-|---|--|
e ncontréQuantli Fra nçois	-⌫-------|----|-|---⌫-----|
nous estd ela cart reescapé[s]Demainenserons tout	---|--|-⌫|-|----⌫-|---------|-----|-|-----|---|
et encroe ́ .Ilto rnerent	-|------⌫-⌫|-|--⌫------|
en fuieniosserentesterEt	-|---|||-------|----|-|
li.iiii. laron	-|-----|----|
en on tAiol	-|--⌫|---|
mené.Cu icautseillen	-----|--⌫|---|-|-||-|
et Mi ra biau sremest Orles consaut a ndeuscil qui	-|--⌫--⌫----⌫|-----|-|--|------|-⌫----|--|--|
sauerCarpuis n e sentre uirentdusqu	----|--|---|-⌫||-----⌫-----|----|
anspasés .	--|------⌫|
CC LXLi.iiii.la ronmainentAiol	--⌫-|-|-----|--⌫--|------|---|
pargranti usticeU	--|----|-⌫-----||
[le]uoil[ le]u no nsafoi l or	---|-----⌫--||--⌫|-|--|-⌫-|
apleui eQue	|-----⌫|--|
nediraparolle	-|---|------|
quitor t afelonieAiols	--|---⌫||------|----|
aimetantDieuqu	---|---|---|-|
m en t ira	-⌫--⌫-⌫--|
m ie .Tantont	-⌫--⌫|---|--|
trespass éboisetlande s enhe rmi(n)esQu	--------⌫-|---|-|-----⌫|----⌫-------|-|
ilso nt uenutoutdroitalport	-|--⌫-|---|---|----|-|---|
dE sclauonie.La	|-⌫---------|-|
trouerent lor	--------|--|
nefapr e stee e tgarnieLorcompa ignon stroue r en tques	--|---⌫-⌫---|-⌫|-----|--|-----⌫-----⌫|-----⌫-⌫--⌫|---|
atendentasingle Etilloruont	-------||-----|-|-|--|---|
encontrehautemen t lor	-------|--------⌫|--|
escr ie[nt]Auésuousle	----⌫-----|----|---|-|
tressordon t auonstele	------|---⌫|----|---|
Etcill o rrespondirentuosparlésdefolie La	-|--|-⌫-⌫|-----------|--|------|-|----|-|
Mibrienauonsfrainteet	------|----|------|-|
malm iseM aisd	----⌫--|-⌫--||
auoi rnitrouames	----⌫|||-------|
u aillissant uneaill ieMais.i.	-⌫---------|--|----⌫-|---|--|
kaitif de F ranchequimanans	-----|-|-⌫-----|--|-----|
e stetriche[s ]. S afoi	-⌫-|-|-------⌫-|-⌫|--|
loiau mentpleuie	-----⌫---|-----|
Q uesenous	-⌫-|-|---|
l en menons en	|-|-----|-|
Franche legarnieTrop	------|-|-----|---|
nosdonra auoir tr esoret	--|----|----|--⌫---|-|
manan die. MaisFrancsontorg ellous	-----⌫---|---|----|---|---⌫-----|
et plainde felonie Quesecisa	-|----|-|------|--|-|--||
enFr anche rice cene	-|--⌫----|----⌫-|-|
ba illie As séstos tnous	--⌫----|--⌫---|---⌫|---|
feradetr anchieretochire	---|----⌫------|-|-----|
Carla loi MahometnaimentliFr anç o i s m ie.	--|-|--|------||-----|-|--⌫----⌫-⌫-⌫|-⌫--|
Carl emen ons	--|-⌫|---⌫--|
oruendreel portdeTornebr ieAlfor t	-|-----|-|---|-|-------⌫-|-|---⌫|
roiGrasienqui	--|------|--|
estetrich e[s].Plu s nous donra auoir	--|-|----⌫----|---⌫|---|----|----|
rice seetmanandie	----⌫-|-|-------|
Quetrestout noparentn o ren taincen	--|-------|-|-----||-⌫---⌫|---|-|
entendiAiolsf ormentploreetso usp ire N e se	------|----|-⌫-----|----|-|--⌫---⌫--|-⌫|-|
uieut pariur ersa	----|------⌫-|-|
f o ilora pleuieNe set	-⌫-⌫|--||-----|-|--|
pasla grant ioi e	--|-|----|---⌫|
lau IesuleguieLa	-||---|-|---|-|
trouerases fie ussains etsa uset	------|--|---⌫-|----|-|--⌫-|-|
deli uresEtTerrilecortoisetAielanobile	----⌫---|-|----|-|------|-|--|-|-----|
roiG rasienqui le s enfan s	--|-⌫-----|--|--⌫|-----⌫|
norie.Il n	-----|-||
au oit.ii. sibiaus	--⌫--|---|-|----|
du scalpor tdeHungrie.uII.ans ore nt	--⌫-|-|---⌫|-|------|----|--|---⌫-|
passéançoiscAiol	-----|------||---|
ueisse nt.CC LXILi.iiii.laron s ont dedens	------⌫--|--⌫--|-|-----|----|-⌫--|-----|
lor nefentr é	--|--|----⌫-|
misded ens leuasal	--|---⌫--|-|----|
adure ́Etleuerentlor single	-----⌫|-|-------|--|-----|
desancré Dame lde[x ] l or donaboin	--------|----⌫-----⌫|-⌫-|---|---|
uen t etboin	---⌫|-|---|
o rr é. Nesai que ie uousdoielor	-⌫--⌫--|-|--|--|-|---|---|--|
estoireaconterNe	------|------|-|
combienilesturentenpalegredeme r	------|-|-------|-|------|-|--⌫|
uienen taTor nebriela	------⌫||---⌫-----|-|
sont droitariué.Qua nt iluinrentalauene lor	---|----|------|---⌫-|-|------|||----|--|
cing leont	----⌫-|--|
a ualéEti eterentlorancreb iense	-⌫----|-|-⌫------|--|----|-⌫--|-|
sont apre stéEt	---|----⌫---|-|
i ssent dela r i uesontguerpielorne f. L a	-⌫----|-|-|-⌫-⌫-||--|------|--|--⌫-|-⌫|
trouerent le	--------|-|
unegrant feste anelLafurent crestian e tTurc aseuré	--|----|----|---|-|-----|-------|-⌫|---|------|
Dauoirde strange ter eiot molt g rant	|----||-⌫------|---⌫||-|---|-⌫---|
plenté. Ausicom	-------|---|--|
autreauoirmetentAioluenel Lila ron l orentbien	----|----|-----|---|----|-|--⌫--||----|---|
conr aéIl	----⌫--|-|
otchemiseetbraiesdun cai[n] silaflore ́	-|------|-|-----||-|------⌫--|------⌫|
Etpuis caucesde p aileso ler [s ]a orouré [s]	-|---|-----|-|-⌫---|--⌫---⌫--⌫||-|-----⌫--|
Etpeliçon	-|-------|
hermint outdor fr oi[s]	-----|-⌫--||--⌫--⌫----|
engoulé Et après.i. diaspre quil	-------|-|-----|--|------|-|-|
liont en d osséEtd unu ermelsamitl ont	-|--|--⌫-⌫----|-||-|-⌫----|----||--|
molt bienafublé	---|---|------|
belche uali erdessi enDurest e ́Se n ef ust la	--|---⌫----⌫-|----|-|------⌫-⌫|-|-⌫|-⌫--|-|
pr isonu il o ttant	--⌫---||-|-⌫|---|
este ́ Maisbiena uoit	----⌫|---|---|-⌫---|
.u. ans en	--|--|-|
conuersé. Ameruelleles gardentli p e r	---------||-------||--⌫------|-|-⌫-⌫|
delachitéE t	-|-|-----|-⌫|
dist li uns a	---|-|--||
lau treMol t	|--⌫--|---⌫|
aci sgra nt bonté.OnquesDieus	|--⌫|---⌫-|------|-----|----|
sigrant roiauté	-|----|-------|
Cilnel(e)deustte nirsi(l) aen	--|-----|----|--⌫--|----||-|
luibonté.Tanten	--|------|---|-|
uali r enonsp ar lesprincescasé s	-|-|-⌫----|-⌫-|--|------|-----⌫|
roisGrasiensen a oi	---|-------|-||-|
parlerA.x xx. cheualiersaualales degrésMeisme(s)la	-----||--⌫--|---------|----|--|------|--------|-|
gré EtTerislico rtoi s et	---|-|----|-|--⌫----⌫|-|
cler. Tumas et Manesier[s]sontauoec	----|----|-|----------|---|----|
a u saléDess iquea	-⌫-⌫|---|----⌫|--||
lariuenes e sontaresté S	-|---|-|-⌫|---|------||
onttroué leslaronsetAiolpar	--|-----|--|-----|-|---|--|
delés.Li boin sroisdeuenise	------|-|----⌫|---|-|-----|
aAiolesgardéMoltl e	|---|-------|---|-⌫|
ui t b eletgentescauiet m ole ́Sesfilleus	--⌫|-⌫-|-|---|-----|-|-⌫---⌫|--|------|
esgardasansplus	------|---|---|
dedemorerTantresa mblentle per ee t de	-|------|---|----⌫-----|-|---⌫|-⌫|-|
Onque sD ieusn efist home [les]	-----⌫|-⌫---|-⌫|---|---|----|
d euste sgarder.....	-⌫---|-⌫-----------|
Aiol[s] li f ieus E liei	------|-|-⌫---|-⌫--||
asonceurtorne ́I l	|--|---|-----⌫|-⌫|
ne setquiil	-|--|--|-|
sont maismolt i ape nsé.	---|---|---|||--⌫----|
Li fors ro i s Gras ien s	-|---|--⌫-⌫|----⌫---⌫|
a les.iii i.	|--|----⌫-|
apelé Ditessignor	-----|----|-----|
que l fa itesquant	---⌫|--⌫---|----|
a ue ndrel	|--⌫---||
Etilli resp ondi rent Aparm ain lesarés..L X.	-|-|-|----⌫----⌫---|-----⌫--|-|------|--⌫-|
uou s enest eut	---⌫|-|---⌫--|
.cccc.da rgenta balanche pessé	-----||-⌫----||-------|-----|
piausdemartre et.ix.man tel[s]foré[s]	----|-|-----|-|---|---⌫-----|-------|
Entret iresetpailesungrant	----|-⌫---|-|-----|-|----|
somierto rsse ́.-Baronche	-----|--⌫----⌫-||----|--|
d is tliroispar saintecaritéuous l auésmolt	-⌫--⌫|-|---|--|-----|------|---||----|---|
caruos amesurés P rend ésconselensamblepor	--|--|--------|-⌫----⌫--|-----|-------|--|
combi enle	-----⌫-|-|
donrés.Etcil lirespondirentSospris	-------|-|--|-|-----------|------|
seusiemes parfi neuerité	--------|--|--⌫-|------|
Queuousfussi é slirois	--|---|-----⌫--⌫|-|---|
de cestriceresnéPor . iiii.	-|---|---|-----|--|-⌫----|
tansdau oir neu os fustil	---||--⌫--|-|-⌫-|---|-|
donés. -P ar mon ciefdistli roissignor grant	------||-⌫-|--|---|---|-|---|-----|----|
aués.Ettant	-----|-|---|
etplusdelm ienuose nferai	-|---|--|-⌫--|--|-⌫|----|
done rAins	----⌫|---|
belkaitiflai se	--|-----|---⌫-|
me ̀ses caper.Lauoir l or	--⌫-|--⌫-----||----|-⌫-|
afaitto ut	|---|--⌫-|
et bailler	-|------|
E nsicom lilaron	-⌫--|--|-|----|
enfurentdes seur éEtildur ent ar ie re	-|-----|---⌫----⌫-|-|-|---⌫--|--⌫--⌫-|
enlorbarge s	-|--|-----⌫|
ent re r Alor couteusd	---⌫--⌫||--|------||
achierseso nt	-----|-|--⌫-|
entremell éPorlau oir depa rtir	---------⌫-|--||--⌫--|----⌫---|
orentassés	----|-----|
Mal soitdelun des .i iii. qui e n	--|---|-||-|--|--⌫---|--|-⌫|
pui stuis aler	---⌫-|--|---|
coutiau s nesoittrestout esboielé[s].Alfor t	-------⌫|-|---|-------|------------|-|---⌫|
roiG rasienle	--|-⌫-----|-|
ua.i. mèsco nt erEt qua nt	-|--|---|--⌫--⌫-|-|---⌫-|
lir oislesotsagr antioie	-|-⌫--|-|--|||--⌫--|---|
menéL auoir enafaittouten	----||----|-||---|---|-|
sontresorporter.	--|-----|------|
Sirech edistAiol[s]oruosaimainscoust é	---|--⌫|---|------|-|--|-|----|-----⌫-|
e nreuont par lab oin echitéEl pal aisen	-⌫|-----|--|-|-⌫---⌫|-----|-|---⌫--|-|
montere[n]t	----------|
contremont lesdeg rés .Sor.i. banc	---------|--|---⌫----⌫|--|--|---|
sontassismai n tena ntlésa	---|----|---⌫-⌫----⌫-|---||
le ́sAmische	--⌫-|---|--|
dis tl iroisamoien	---⌫|-⌫|---||--|-|
entendésDont	--------|---|
estesde quelterreg a rdé snelmece l é s. -Sire	----|-|---|----|-⌫-⌫----⌫|--|-|--⌫-⌫--⌫-||---|
Aiol [s ]ianor ésu erite ́ .Iesuicertes	----⌫--⌫|-||--⌫--|-⌫-----⌫-⌫|-|--|-----|
deFra nche de molt	-|---⌫---|-|---|
grantparentéSi aiesté	----|-------|-|-|----|
encar trebien a.u.ans passés	-|---⌫--|---||--|--|------|
Et cil laron m embleren tum	-|--|----||--------⌫|||
auésacaté.	----|------|
faitesbiengran tamo in ef erés.Et respond i	-----|---|----⌫|---⌫--⌫|-⌫-----|-|-------⌫|
nientuosdoutés Carie	----|--|------|--|-|
neuousfauraitantcompuiss e	-|---|-----|---|--|-----⌫|
dur e r. Quant lentendiAiols	---⌫-⌫-|----||------|----|
gra ntioieena menéTost	---⌫-|---|-||----|---|
e tisnel ementli	-⌫|-----⌫----|-|
uau talp ieta l er	---⌫|-|-⌫--|-⌫-⌫-|
Quant lirois Grasiensl	----|-|---|-------||
releuerAmis	------|---|
che distliroisenuersmoi	--|---|-|---|-----|--|
entendés .Iouai u ne grantguerre	---------⌫|--|-|-⌫-|----|-----|
suies fraé s	--|--⌫-----⌫|
Del roi deSale n ikequi	--|--|-|----⌫-⌫--|--|
me taut merité . - Sireche	-|---||------⌫||---|--|
distAiol[s]garnimens	---|------|--------|
medon és Et	-|---⌫--|-|
ieuous aiderai par	-|---|------|--|
droite loiaut é. - E Dieusche distl irois	-----|------⌫--|||----|--|---|-⌫|---|
tuso ies aourés	-|--⌫--|------|
go nfanonnierm aués	--⌫---------||----|
chia m enéCis porteram	--|-⌫-⌫---|--|------||
ensengeen bat aill e campel. L if orsroisGrasie nsfu	------|-|---⌫----⌫|------|-⌫|-⌫--|---|------⌫-|-|
gentieus e t berIl	-------|-⌫|--|-|
fu aTornebriealciefdeson	-||--------|-|---|-|--|
S apartoute s ateretout son	||--|----|-⌫|---|---|--|
e sforsman déQu	-⌫----|---⌫--|-|
uie utaSalenikeasonpooi ralerOnqu esd e	---⌫-||-------||--|----⌫|---|----⌫-|-⌫|
plu s grant	---⌫|----|
ho nparl er. ArmesfissentAiolenlapla c e	--⌫|----⌫--|----|------|---|-|-|---⌫-⌫|
Moltsont chi ereset belesnushon nes	---|---|---⌫---|-|----|--|--|--|
doitblamer Quantl i	---|-----|----|-⌫|
roislecommand eAiol[s]senestarmés	---|-|-------⌫|------||-|--|-----|
Il au est ul	-||-⌫---⌫||
aubercsial e l me freméIl	-----|-|||-⌫-⌫-|-----|-|
ac ̧aint e lespeeal senestr e	|-⌫-----⌫||----|-|-------⌫|
costé. Un boin	------|-|---|
ceualliontenlaplace	----|-|--|-|-|----|
amenéCilertle	-----|--|--|-|
roimeisme Pas sea uantf u clamé[s].Licheualsf u	--|-----|---⌫---⌫---|-⌫|---------|-|------|-⌫|
si boinset	-|----|-|
de s i grantfiertéQued unetoiselongen	-|-⌫|----|------|--||--|----|----||
ipe ut onabit er	|--⌫-|-|----⌫-|
Nemaisque l escuier[s] quid e luifupriués.	-|---|--||---------|--|-⌫|--|-|-------|
fieusElie est cele p art	----|---|--|---|-⌫--|
alés Tostet isnelementestparl	----|---|-|---------|--|--||
est rie r montésEtpendi a soncol un fortescu	---⌫---⌫|------|-|----||--|--|-|---|---|
Ettientensonpui n destre.i.fort es pielqu aré	-|----|-|--|---⌫|-----|--|---|--⌫---|--⌫---|
clau sdefinor.i.gonfa non	----⌫|-|--|-|--|-----⌫--|
fr emé Delach itéissiren tp orl e	--⌫---|-|-|--⌫---|-------⌫|-⌫-|-⌫|
France sgarder.L iroisaunserianta dit	----|-⌫-------|-⌫|---||-|------||--|
et comma ndé	-|-----⌫---|
F acentun equintain edrecier enmilepr é Sisara	-⌫----|--⌫|--------⌫|------|-|-|-|--⌫-|-|---|
delFrançois	--|--------|
u a ura porter	-⌫-⌫--|-----|
Sesrices garnimensenb ataille	--|----|--------|-|-⌫------|
CCLX I ILa quintainefon t faireensel	----⌫-⌫|-|--------|---⌫|----|--|-|
pre ́uerdoian tCe	---⌫|--------⌫|-|
fu de.ii ii.estaces	-|-|---⌫--|------|
dun f or t escutenan t	|-|-⌫--⌫|---|-----⌫|
Aiolspointle	----|----|-|
des trier c on	---⌫----||-|
clai me Pas a uantLi destrier[s]se	----⌫-|---⌫-⌫---|-|----------|-|
de sroiequi	--⌫----|--|
lesgrans sausporprentFo rs Marchegaielmonde	--|----|---|-------|--⌫-|--------|-|----|
pluscor rantEt fi ert enlaquintaine	---|---⌫---|-|--⌫--|-|-|--------|
par sonf ier maltalent	--|--|-⌫--|--------|
Quelescufai t perciersor la	--||---|---⌫|------|--|-|
bouclea ar gent Et	-----||--⌫---|-|
paisson[ s ]tout. iiii.froi sademaintena nt	--------⌫-⌫|---|-⌫----|----⌫-|-|--------⌫-|
L esc u[s ]	|---⌫---⌫|
quintaine caidem ai ntenan t MarchegaidistAiolsie	--------|--|-|-⌫--⌫------⌫|--------|---|----|-|
am oietantP iech auousai	--⌫--|---|-⌫----⌫|---|-|
pe rdu senaileceurdolant.	--⌫--||-|-|-|---|------|
Di entcil qui l esg ardent	--⌫--|--|--||---⌫-----|
mai nte communalmentC h ia	---⌫--|-----------|-⌫-⌫||
boincheuali erardietcombata nt.-EDieusche	---|-------⌫-|---|-|-------⌫--|||----|--|
rois paruostresaintcommantCom	---|--|-----|----|------|--|
ma uésbienaidietde	|-⌫---|---|-----|-|
c h ouqu euosdemancLi	-⌫-⌫-|--⌫|--|-----|-|
en pereresbroch el e	--⌫------|-----⌫|-⌫|
boin m ulet	---|-⌫---|
anbla ntuenus	-----⌫-|----|
est aAiolseli	--||---|-|-|
distenriantBia us	---|-|----|---⌫-|
sire Aiols	---|----|
de Fr an c e auos m erencetuanc Quetrestoute	-|--⌫--⌫-⌫||--|-⌫|---|-|---|--|--------|
t e resoita uostrecomma nt Cui uous uauré s	-⌫-⌫-|---||-----|-----⌫-|--|---|------⌫|
air naitplus	--||--|---|
reteneme nt.Delroi deSalenike meclaim trest out	--------⌫--|--|--|-|-------|-|----|-----⌫--|
