formElnondelperee t	---|-|--|--|---|-⌫|
Liundesa ntr edis de	-|-|--|-⌫---⌫---|-|
d esfense suntsimplee t	-⌫------|---|-----|-⌫|
liautred o uble.	-|----|-⌫-⌫---||
Lisimple sunt	-|-----|---|
quan tlipr eu ozdesfantquenul echose ne	----⌫|-|--⌫--⌫-|------|--|---⌫|----|-|
soitfaiteausaintlieu neen	---|----|-|----|---|-|-|
co nmunflouue n e	--⌫---|-----|-⌫|
enla riuierecarcilestdemandere s	-|-|------|--|--|--|---------⌫|
quiuuetque	--|---|--|
rie n n i soitfaitcilest desfanderesqui	---⌫|||---|---|--|--|----------|--|
sesforced efaire iaucunechose .	|------|-⌫|----||-----|----||
Li do u blesu ntsico nme	-|--⌫-⌫--|--⌫-|-|--⌫--|
p laidepor lapossession	-⌫----|--|-|---------|
dedef ie mentoud autrechos ee ils unt	|----⌫--⌫---|-||----|----⌫||-|-⌫--|
apelé doublep or	-----|-----|-⌫-|
ce quelacondicion àl un	-|--|-|--------|-||-|
uneetàla utre partiei estoel	--|-|-||-⌫---|-----||--|--|
en t e ntpa z	--⌫-⌫-⌫-|--⌫|
liq uelz est dem anderes nelique lz estdesfe n derezmaisli	---⌫---|--|---⌫------|-|-----⌫-|--|-----⌫-⌫----|---|-|
u nset l iautre ss ostientlapartiededemandeur	-⌫-|-|-⌫|-----⌫|-⌫------|-|-----|-|--------|
etdedesfa ndeur	-|-|-----⌫----|
Iln estpas orendroit mestiersdedire	-||--|--|--------|-------|-|---|
de lo rdree tdel	-||-⌫---|-⌫|-||
anciennefin desantr edi s quartou teslesf oizque	-------|--|--|----⌫---⌫|---|---⌫--|--|-⌫--|--|
droisestdis hors	----|--|--|---|
dordre sico nme tuitliiugement	|----|-|--⌫--|---|-|-------|
suntorendroitil nestpas besoin s derandre	---|--------|-||--|--|------⌫|-|-----|
ientr edit maislon iu geautresisanzan trediz	|----⌫---|---||-|--⌫-|------|---|--⌫-----|
conmesepor fitable act ionspor	----|-|---⌫------|---⌫---|--|
le faiteu st	-|---|--⌫-|
estérandue por	----|-----|--|
causede ntre dit.	----||-⌫----⌫--||
Cisttitres estdelapaingneà cel z	---|-----|--|-|-|------|-|---⌫|
qui plaident à tort.	--|-------|-|---||
Nozdeuonsoree s treamone stéquec i lquisosteno ient le s	--|-----|--|-⌫-⌫--|-----⌫---|--|-⌫-⌫|--|-------⌫---|--⌫|
dr oizorentgrantcur e	--⌫--|----|----|---⌫|
quelihomenes	--|-|---|-||
esmeussentpa zlegierement	---------|--⌫|----------|
àp laidier.	-|-⌫------||
E t noz meismesenauo n s	-⌫|--|------|-|---⌫-⌫|
grantp ans éporcemeesmemen tquelifol	----|-⌫---⌫-|--|-|---------⌫|--|-|--|
h a rdemen tàce lzplaident	-⌫-⌫------⌫|-|--⌫-|-------|
etàcelz à qu ilo n plaide e sta ucune	-|-|---|-|--⌫||-⌫|-----|-⌫-|-⌫----|
f oisrestra intepar painnedechatel et	-⌫--|------⌫---|--|-----|-|-----|-|
aucun efoisparreleigiondesa cremen tse rrement	-----⌫|---|--|--------|-|--⌫------⌫|--⌫------|
foizparpoordemauais ere nomee	---|--|---|-|------⌫|--⌫----|
Caron semetpar nostreesta bl issem entsor	--|-|-|--|--|-----|----⌫--⌫-----⌫--|--|
lesa irementa ̀t ozceus qu i	-|--⌫------|-⌫|-⌫-|---|--⌫|
traientautres	------|-----|
enc a use et lidesfanderes	-|-⌫-⌫--|-|-|----------|
usedesezale g ation zmais ce	--|-|--|---⌫-⌫-----⌫|---|-|
n es tpa sdeua nt	|--⌫|--⌫|----⌫-|
que i laiuré queilcroit	--|-⌫||----|--|-|----|
queiladroitde	--|-||----|-|
noier c equel	----|-⌫|--||
dem a nde .	---⌫-⌫--||
Etacti onz	-|----⌫--|
es testablie por aucun escausescontre	--⌫|-------|--|-----⌫-|-----|-----|
celzqui reni ent p orledoubleouporles	---|--|----⌫--|-⌫-|-|-----|-|--|--|
doublessicon mequant l on plaidede	------|-|---⌫-|----||-|-----|-|
dama gesou	----⌫--|-|
detors fa izoudelaizqu isunt	-|---|--⌫-|-|-|---|--⌫|---|
laissi éaslieuz honerablez.	------⌫-|-|----|---------||
Etaucune actionzestpar coilonp uet	-|-----|------|--|--|--||-|-⌫--|
demanderdésl	-------|---||
enconmencem entplusquelachose nemonte si	-----------⌫--|---|--|-|----|-|----|-|
co nmequant londemande	--⌫--|----||-|------|
la c hoseà	-|-⌫---|-|
doubl esporlelar rencinq ui	-----⌫-|--|-|---⌫-----|-⌫-|
estapersou à	--|----|-|-|
double s por	------⌫|--|
celu i qu inestpasaperscar en	----⌫|--⌫||--|--|----|--|-|
cesc auseseten aucunesautres	--|-⌫----|-|-|------|-----|
secilquiestacuséznie ouilrec onnoist si	-|--|--|--|------|--|-|-|---⌫------|-|
estlactionsdé s leconme n cementdepluzque	--||------|---⌫|-|-----⌫-⌫-----|-|---|--|
l acho se ne m on te.	-⌫|---⌫-|-|-⌫--⌫-||
Lifa uzac use me ntsuntrefrené p ars a irementdeuerité	-|--⌫-|--⌫---⌫--⌫-|---|-------|-⌫-|-⌫-⌫------|-|------|
carlidemanderesestc onstrains selonc	--|-|---------|--|-⌫--------|-----|
nostre est ablissementdeiurerque ilne	-----|---⌫----------|-|----|--|-|-|
m uet pasàtort leplaitetli	-⌫--|--|-|---|-|----|-|-|
a uocasàl uneet	-⌫----|-||--|-|
àlautre partiefacefacent	-||----|-----|---|-----|
lesai rrementquies tconp risen	-|---⌫------|--|--⌫|----⌫--|-|
nostr eautre e stab lissement.	-----⌫|----|-⌫----⌫--------||
ceschose s ontesté amenees auan tp orlac ti onde	--|-----⌫|--|----|------|----⌫|-⌫-||--⌫--⌫-|-|
l anc ienfauzac usementqui es tremés	|---⌫--|---|--⌫------|--|--⌫|-----|
pardesacostumancequipunisoi tlesdemande urse n la	--|-------------|--|-------⌫|--|-------⌫--|-⌫|-|
disimep artiede l pl ait	-----|-⌫----|--⌫|--⌫--|
Nenozne trouons quece	-|--|-|------|--|-|
aitestéfaitennullieu	--|----|---|-|--|---|
mai sl ideuansdissairemenz ae sté	---⌫|-⌫|-----|--|--------||-⌫---|
amenéz auant	------|----|
porceschos ez siqu ecilqui	--|--|----⌫-|-|--⌫|--|--|
pla idea ̀ tort soit	---⌫--|-⌫|---|---|
constr ainsder a ndre	------⌫---|-|-⌫-⌫---|
àtor tsonau ersa ire	-|---⌫|--|--⌫----⌫--|
ledom agee t	-|---⌫--|-⌫|
lesdespansez del plet.	--|--------|--|---||
Es Estiugemenzencoic ilqui su nt condempné	-|--|-------|-|--|-⌫-|--|--⌫-|---------|
suntmalrenomésiconmedelarr en cinetde	---|--|------|-|----|-|----⌫--⌫--|-|-|
bienzr auisparforc eoude t o rs fezoude	----|-⌫---|--|----⌫|-|-|-⌫-⌫-|--|-|-|
tri che ri eetdactiondegarde	---⌫---⌫--⌫|-||-----|-|----|
etde conmandement etde chosebail lie en	-|-|-----------|-|-|----|----⌫--|-|
gar de etdeconp a ignie	---⌫-|-|-|----⌫-⌫----|
quiapartient droite men tdune	--|--------|------⌫---⌫||--|
partet denun e	---|-||-|--⌫|
partie etenautre.	-----|-|-|----||
Et p orcecil desconpaignons qui	-|-⌫-|-|--|--|----------|--|
e std ampnés	-⌫-|-⌫------|
parteli ugementest	--|--|-⌫------|--|
mal ren o nmés.	--|---⌫-⌫----||
Etiliamoltgr antd isferanceseau cu ns	-|-|||---|--⌫--|-⌫--------|-|--⌫--⌫-|
estoble giéspormesfaitoupormarchi é	--|----⌫----|--|------|-|--|------⌫-|
Liconmencemenz de toutesle s actio ns	-|-----------|-|-----|--⌫|-----⌫-|
qu idoiuent	--⌫|------|
e st re me uezuient decele part iedel bani ssement encoi	-⌫--⌫-|--⌫--|----|-|---|----⌫-|--|----⌫------|-|--|
li preuo zdisteltytre de parler	-|-----⌫|---|-|----|-|-----|
dape lerandroitqueli auersair esdoit	|---⌫--|-|----|--|-|--------⌫-|---|
premierementest re ape lézen dro itceestpar deuant	-----------|---⌫-|---⌫---|-|---⌫-|-|--|--|-----|
celuiquid oitdiredroit enl a caus e .	----|--|-⌫--|---|----|-|-⌫|----⌫||
Eten cesteparti edonnelipr e uoz	-|-|----|-----⌫|----|-|--⌫-⌫--|
tel eh onor as	---⌫|-⌫---|-|
as patro nsetasenf anzet	-|-----⌫-|-|-|---⌫--|-|
asperesas pa trons etas	-|----|-|--⌫----|-|-|
patronez que ilnelisepazàleur	-------|--|-|-|---|--|-|---|
anfansneà	-----|-|-|
celz ne àcelezquei l ont	---|-|-|----|--|-⌫|--|
fr anchisà	--⌫-----|-|
apeler lele s endroit	-----|-|--⌫|-|----|
seilne lo ntrequisau preuos tet il	-|-|-||-⌫-|-----|-|------⌫|-|-|
neloraotroié et se aucu ns li	-|--||------|-|-|----⌫-|-|
ape le autrem ent l i preuoz estab lit	---⌫-|------⌫--|-⌫|-----|-----⌫--|
contreluipainne	-----|--|-----|
Cist titresestdeloficeau	---|-----|--|-||----|-|
Ilco u ientquenoztrait onzdelof isce	-|--⌫-⌫---|--|--|-----⌫--|-||--⌫---|
Et liiugesdoit garde r premi erementqu e	-|-|----|---|-----⌫|-----⌫------|--⌫|
ilne iugefo rs sicon	-|-|---|--⌫-|-|--|
ilest establ i	-|--|------⌫|
parlesloi so u parl es es ta blisemenzoupar les	--|--|---⌫|-⌫|--|-⌫-|--⌫--⌫--------|-|--|--|
Etporceselon plaide	-|--|-|-||-|-----|
contre leseigneurpo r le mesfet	-----|-|-------|--⌫|-|-----|
serfse lisir es doitestre c ondempnés lii ugesdoi t	---|-|-|---⌫-|---|----|-⌫---------|-|-⌫---|---⌫|
garderq ueillecondempneenceste maniereIe	-----|-⌫-|-|-|--------|-|----|------|-|
conde npn e M eneà Tyceque	-----⌫---⌫|-⌫--|-|---|--|
il l ipaist	-|-⌫|----|
deniersd orou	------||-|-|
abandonne sonserfà	--------|--|---|-|
sosfrir lapain edeson	------|-|----⌫|-|--|
mes fa i t.	---⌫--⌫-⌫||
Etse lonpl aidepor a ucunecho sese	-|-||-|--⌫---|--|-⌫----|---⌫-|-|
ildonn es entence	-|----⌫|-⌫------|
contrel ed e mandeur	-----|-⌫|-⌫-⌫------|
ildoit asodre	-|---|-----|
celuiquilaporsiet.	----|--|-|------||
Etseildonnesentencecontre	-|-|-|----|-------|-----|
celuiquiporsiet il doitconma nderqueilrand e	----|--|------|-|---|-----⌫---|--|-|----⌫|
lac hoseoles fru i s etse c ilquipors iet	-|-⌫---||--|---⌫-⌫|-|-|-⌫-|--|----⌫--|
niequeil ne puetorandroitrandre	--|--|-|-|---|--------|-----|
etlonuoitqueilne le	-||-|---|--|-|-|-|
parbara ttermes l idoitestredo nne ́sd erandre	--|----⌫|-----|-⌫|---|----|--⌫---⌫-|-⌫|-----|
lamai squeil doi ntplegesder and re	-|---⌫|--|-|---⌫-|-----|-|-⌫---⌫-|
a u termeoul achoseoulaualor .	-⌫|----|-|-⌫|----|-|-|----||
Ets eheritagesest demandés ce	-|-⌫|--------|--|--------|-|
meismessoitga rdédesfruis	------|---|--⌫---|--|----|
que nozauon sdiz en	--|--|----⌫|--|-|
ladema ndedautre s ch oses etil doit ra n dre	-|----⌫--||-----⌫|--⌫---|-|-|---|--⌫-⌫--|
rai s on dice s fru isqu eilnapas re ceu	---⌫-⌫-||---⌫|---⌫-|--⌫|-|||--|--⌫--|
pa rses corpesseil	--⌫|--|-----|-|-|
porseoit la ch oseparmalefoi	-------|-|--⌫--|--|---|--|
Maisse illa	---|-|-|-|
porseoit pa r male bonn efoiilnerendera pasraison	-------|--⌫|---|----⌫|--|-|-|------|--|-----|
desf ruis qui	--|-⌫---|--|
suntdespa nd uetilco uientr a nd re celz	---|-----⌫--⌫|-|-|--⌫----|-⌫-⌫--⌫-|---|
quiparlesc orpe s à	--|--|--|-⌫----⌫|-|
celuiquiporsie tlachosenesuntpas receuaprés	----|--|------⌫|-|----|-|---|--|----|-----|
plez fuent amé zetde celzquifurentreceu	---|-|---⌫----⌫|-|-|---|--|-----|----|
quifuren tdespandu.	--|-----⌫|-------||
Se lonplaidepor faire	-||-|-----|--|----|
uenirune chose auant	----|--|----|----|
sosfitpasque ci làquil	-----|--|--|--⌫|-|--||
on plaide laporte au antains couie nt	-|-----||-----|--⌫--|---|-----⌫-|
que il m oustre la chausecaus e dela	--|-|-⌫-----|-|-----|----⌫|-|-|
choseceaite s tqueli de mander esa itc elemeismes	----|-|--|-⌫-⌫|--|-|--⌫------⌫-|-⌫-|-⌫--|------|
il eu stselachoseeus teste ́	-|--⌫-|-|-|----|---⌫|----⌫|
aporteeauantde ́s quelon enc on mença	------|----|--⌫-|--||-|---⌫--⌫-----|
à plaidier.	-|-------||
adon ttanttenueque il	|---⌫|---|----|--|-|
gua aingnie p a rlonguet enue por	---⌫------|-⌫-⌫|-----|-⌫---|--|
cene remaintpaz queil	-|-|------|--|--|-|
nesoitcomdenpnés.	-|---|----------||
Ensorque to tli usa ges iuges	-|--|--|--⌫|-|---⌫--|----|
doit fairerandre	---|----|-----|
lezf ruizqui o ntesté cuill ide la	--|-⌫---|--|-⌫-|----|-----⌫|-|-|
c hosepuis que li plaizan	-⌫---|---|--|-|----|-|
fu me usiusquesà ta ntquesantancean	-|--⌫-|------|-|--⌫-|--|-------|-|
fu donneee tsecilqui lonplaid e	-|-----|-⌫|-|--|--||-|-----⌫|
dist que ilne puet pas	---|--|-|-|---|--|
orandroitmostrerlachose etil	--------|------|-|----|-|-|
demandeterme	------|----|
neilnele fetp azporbaratli	-|-|-|-|--|-⌫-|--|----|-|
terme slidoites tredonéspar plegez.	-----⌫|-|---|--⌫--|-----|--|-----||
Etse iln aporteauant	-|-|-||-----|----|
lachoseet iln e	-|----|-|-|-⌫|
uuet pasdonerplegezdaporter li a uterme	---|--|----|-----||------|-|-⌫|----|
es treco ndempnésen tantque li d emandere seu s t	--⌫--|--⌫--------|-|---|--|-|-⌫--------⌫|--⌫-⌫|
depreu se lachose	-|---|-|-|----|
eustestéaporteeauant dés	---|----|------|----|---|
leconmencemant .	-|-----------||
S e lonplaide par iugementdepartirl	-⌫||-|-----|--|-------|-|-----||
eri tagel i	---⌫---|-⌫|
iugesdoitaiug ie r àcha scun desoi rssapartie .	----|---|----⌫--⌫|-|---⌫---|--|--⌫-|-|-----||
sa mb le queilg riuel	--⌫--⌫-|--|-|-⌫---||
elz liiuges ledoitconde npner en certain e qua ntité	--|-|----|-|---|-----⌫----|-|-------⌫|---⌫-----|
dedenier seta ucunsdoitestrecondenpnésàcelui	-|------⌫|-|-⌫----|---|----|----------|-|----|
quiestsesconpa ins de l eritage	--|--|--|-----⌫--|-||------|
porce que il	--|-|--|-|
seu z a receu lesfru isd et ot lerita ge	---⌫||----|--|---⌫-|-⌫|-⌫-||-----⌫-|
ilcorrom pi aucune deschoses	-|------⌫-|-----|--|-----|
Etsecedoit es tregard e ́quan til	-|-|-|---|--⌫--|----⌫-⌫|----⌫|-|
iapl usde .ii.	||--⌫-|-|---|
Au tresie s til selon	--⌫----|-⌫-⌫|-|-||-|
plaid epor pluseurs choses pa r iugem entdepartircho sesc onmunes	-----⌫|--|-------|-----|--⌫|-----⌫--|-|-----|---⌫--|-⌫------|
Et sec e estdont dunemeism ezcho se si	-|-|-⌫|--|---||--|-----⌫-|---⌫-|-|
conme dunchampseele	----||-|----|-|--|
puetestrepa rtie ilendo itaiugier à chascun s a	---|----|--⌫---|-|-|--⌫-|------|-|------|-⌫|
àunuautmielzqueceleà lau treil	-|-|---|----|--|---|-||--⌫--|-|
fair e restorerdeniers .	----⌫|-------|------||
chose ne p uetestre	----|-|-⌫--|----|
departiesiconmesel	-------|-|----|-||
o nplaide por.i.	-⌫|-----|--|--|
serfoupor.i.	---|-|--|--|
c heualel ed oit est ret oute	-⌫----|--⌫|-⌫--|---⌫-|-⌫---|
aiugi e àun e t ildoit	-----⌫|-|-|-⌫|-|---|
e stre co ndenpnésà	-⌫---|--⌫--------|-|
l au trecerta ine	|--⌫--|-----⌫--|
quantitédes	--------|--|
de de ni ers.	-|--⌫--⌫--||
onplaide por	-|-----|--|
bonnerterres liiuges doit regar der	-----|-----|-|----|---|-----⌫--|
s eilestmestiers	-⌫|-|--|-------|
de fai re en iugem e ntet	-|---⌫-|-|-----⌫-⌫-|-|
i lenestmestiersen.i .	-⌫|-|--|-------|-|--⌫|
casceestàsauoir seillesc ouient	--|-|--|-|-----|-|-|--|-⌫-----|
deuiser parplus an cie nnescertain esbo nnesque ilne	------|--|---|--⌫---⌫---|-------⌫-|--⌫---|--|-|-|
furentiadiscar l ors couienti lquea ucune partie del	-----|----|--|-⌫--|------|-⌫|--|-⌫----|-----|--|
c hampà lun	-⌫---|-||-|
soitaiug iéa ̀lautre.	---|----⌫--|-⌫||----||
cas c ouientilque cil soitcon d enpnésà l	--|-⌫-----|-|--|--|---|---⌫-⌫------|-||
autree n certainne cantité	----|-⌫|--------|-------|
dedeniers etaucuns doi testrecondenpnéspa r	-|------|-|-----|---⌫|----|----------|--⌫|
cestiugement seil afa it	---|-------|-|-||--⌫-|
aucunechosemal ancienneme nt	-----|----|--|----------⌫-|
maliciousementenuersl esb onnessi	-------------|-----|-⌫-|-⌫----|-|
conm ese i l aem blélespierres	----⌫|-|-⌫||--⌫---|--|------|
quiestoiente sbonnez	--|-------|-⌫|-----|
ouilerragelesaubres	-|-|-----|--|-----|
et porcontumac edo it chascunsestrecondempn és	-|--|--------⌫|--⌫-|-------|----|--------⌫--|
parcest iugementsicon meseaucuns ne sosfrepas	--|---|-------|-|---⌫-|-|-----|-|-----|--|
que lichampsoitm esuréquantliiuge s	--|-|----|---|-⌫-----|----|-|----⌫|
laconman dé .	||------⌫--||
Cequi es taiugiéà au cunpar ces iugemanz	-|--|--⌫|------|-|--⌫--|--|--|-------|
e st mai ntenant àcelu iàqui	-⌫-|---⌫------|-|----⌫|-|--|
il e staiugié.	-|-⌫-|------||
Cisttitre ze stdes c onmun s	---|-----⌫|-⌫-|--|-⌫-----⌫|
iuge menz.	----⌫---||
Lic o nmuniugement nesu nt pa s	-|-⌫-⌫---|-------|-|--⌫-|--⌫|
ordonnéparaction nei ln ont	-------|--|-----|-|-⌫||--|
rienzsamb la bleasautre s	----|----⌫--⌫--|-|-----⌫|
iugem enzd ecoinoz	-----⌫--|-⌫|--|--|
auonzparlé etil agreignordiuersitéen	----|-----|-|-||-------|---------|-|
mouoirlez et enmain tenir lez	-----|--|-|-|----⌫----|--|
Ilsuntapeléconmu nporceque	-|---|-----|-----⌫|--|-|--|
ilestotroiéà	-|--|------|-|
chascunde speupl esqueilles maintaigne.	------|--⌫|-----⌫-|--|-|--|---------||
Liun de sconm unziugemenzsunt	-|-|--⌫|----⌫--|-------|---|
chapi talet li autrene sunt	-----⌫--|-|-|----|-|---|
pasc ha pital.	--|-⌫--⌫----||
Nozap elo n z cel zc apit auzquitormententde tresgrieftorment	--|--⌫---⌫-⌫|---⌫|-⌫----⌫--|--|---------|-|---|----|------|
s iconme q u a ntlo n	-⌫|----|-⌫-⌫-⌫-||-⌫|
desfant à a ucunla conmune	------|-|-⌫---|-|------|
deueous eilest enuoi ésenessi lou	|--|-|-⌫|-|--|-----⌫--|-|----⌫|-|
condempné sàpainn e demetal.	----------⌫|-|-----⌫|-|----||
Liautr equido nentmal e	-|----⌫|--|--⌫---|---⌫|
renomeeou dama gede den iersnesunt	------|-|----⌫-|-|---⌫---|-|---|
p as capitaliasoitce que ilsoient co nmu n	-⌫-|------|-|---|-|--|-|-----|--⌫---⌫|
Lic onmuniugement sunt ci lla	-|-⌫----|-------|---|--⌫|-|
