Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
Tene ́zfet ilie l auous rent si	----⌫-|--|-|-|-⌫|---|---|-|
en f aitesuostr e uolente ́	-|-⌫----|-----⌫|-------⌫|
lifur eu e nue tantostc ommeilrendi l adent	-|-|-⌫--⌫-⌫--|------|-⌫---|-|----|-⌫|---|
se n ti nul edolornenulma l	--⌫-⌫-|---⌫|----|-|--|--⌫|
ainçoiz arecouree sa	-------||-------|-|
Encor d ientlesgensetsi le	----|-⌫---|--|---|-|-|-|
tesmoingneli	---------|-|
liureset l ichanoi nnes t ui tquece ledentest	-----|-|-⌫|------⌫---|-⌫--⌫|--|--⌫-|---|--|
en li glysededen sun crita l	-||-⌫----|-----⌫|-|-----⌫|
Une foizauint	--|---|----|
Parisquei liauoit	----|--|-⌫||----|
genz quiestoiente spris	---|--|-------|-⌫----|
dufeu denfer	-|--||----|
Ilestoientcentettroistou zpar	-|-------|---|-|----|---⌫|--|
contes i estoientoumousti er de	----|-⌫|-------|-|------⌫-|-|
Dam eou ilatendoient samer cicil qu iiluecestoie nt	---⌫|-|-|---------|-|---⌫-|--|--⌫|----|------⌫-|
aten danz a lui	----⌫---||--|
foizne liplot miequ il eussentaide	---|-|-|---|--|-|-|------|---|
d eluisipl eu re chascunsformentporle	-⌫|--|-|--⌫--⌫-|-------|------|--|-|
feuquil art nea	--|--||--|-||
Dieu ne plutquenusd	---|-|---|--|--||
eul s ifustdestainz	---⌫||---|-------|
Ilcrioie nt d edensleglyse	-|------⌫-|-⌫----||-----|
sidur ementque l enn	-|---⌫----|--||-||
i pooitseru isefer e	|----|----⌫--|---⌫|
Etsi iauoi to n	-|-||----⌫|-⌫|
aporté touz lesco rssainzqui en lacité estoien t	------|---|--|--⌫-|----|--|-|-|----|-------⌫|
ettuitlim eilleurs aint u aire	-|---|-|-⌫------|-⌫----⌫-⌫---|
Diexuoltqueceleque	---|---|--|---|--|
ilt ou ziors	-|-⌫--⌫|---|
ot enm eeeneus t la nno r	-|---⌫-|-|---⌫||-⌫---⌫|
Ceestoitsainte	-|-----|-----|
Geneuieuesadou cefillequ e	--------|-|---⌫-|----|--⌫|
touz iorsesle u ee	---|---|----⌫-⌫-|
queil e ussentparluisanté	--|-|-⌫-----|--|--|-----|
Il ore ntlauierge	-|---⌫-|-|-----|
aportee am a dam e	------||-⌫-⌫---⌫|
tantost commeelefuentreeenl	------|----|--|-|-----|-||
yglyse c ilquiardoient estai ndren t	-----|-⌫-|--|-------|-----⌫-----⌫|
Iln enremest que	-||-|-----|--|
II Iardanzqui necreo ient	--⌫|-----|--|-|----⌫---|
pas q uilpeus se nte st aindre	--|-⌫|-|----⌫--⌫-|-⌫--⌫-----|
E tsil c reussentausicommelicentfesoien t	-⌫||-|-⌫-------|---|----|-|---|-------⌫|
ileu ssente sté z gua ri zdu feu	-|--⌫----|-⌫----⌫|---⌫--⌫|-|--|
d enf er do nt	|---⌫-|--⌫-|
ilest o ienttormentéz	-|---⌫-⌫---|---------|
I lnecrurentpas	-⌫|-|------|--|
si firentfoliecari lnegue rirent	-|-----|----|--|-⌫|-|---⌫-----|
Lesge nssesioirent porlamor du	--|--⌫-||--------|--||---|-|
biau mirac lequiluiren t	---|-----⌫-|-|-|-----⌫|
Li chanoinecon fermerentunegrantfeste	-|-------|---⌫--------|--|----|----|
lafontencoreel mon t	-|---|-----|-|---⌫|
G eneui eu e sia nonlafestede s	-⌫-----⌫--⌫|-||--|-|----|--⌫|
La douceuier geo n t raporteearriereselmo ntdont	-|----|----⌫-|-⌫-⌫|-------|-------|-|--⌫-|---|
e leuintettantostcommeelei	-⌫-|---|-|------|----|--||
sii au in t	-||--⌫--⌫|
unbiaumirac lequeli	-|---|-----⌫-|--|-|
parentaunepuc ele	-----||--|---⌫--|
qui san z ueueauoit	--|---⌫|---|----|
esténee li amenere nt	----|--|-|-------⌫-|
Etla puce le s umeli adec uer	-|-|----⌫-||-----⌫|-|-⌫--|
e td e corset pria a la sainteuiergequ	-⌫|-⌫|---|-|---||-|-----|-----|-|
e lelime is t	-⌫-|-|--⌫--⌫|
sesieulz enclartéseilliplaisoit	--|----|-|------|-|-|-|-------|
Martinsquil	------|--||
eglis egar doita pr isde	-----⌫|---⌫---||--⌫-|-|
l uileenlalampe sien oint a	|---|-|-|----|-|-|---||
la meschinel e seulz et	-|-------|-⌫-⌫|---|-|
Damedieul a enlumine e porlamordesa	-------|||--------⌫|--||---|-|-|
do uceamie	--⌫--|---|
Lapu celeen mercia	-|--⌫---|-|-----|
Di euetlabeneoiteu iergeet sen	--⌫-|-|-|-------|-⌫----|-||-|
ala fesa ntgran tioi e	--|----⌫-|----⌫|---⌫|
U ne m eschinequiauoi tperdue	-⌫-|-⌫------|--|----⌫|-----|
ot oïel anouel equel a	-|---|-⌫|-----⌫|--|-⌫|
me s chineestoit ein sigueriesiestm aintenan tu enue	--⌫-⌫----|-----|---⌫-|-----|-|--|-⌫--------⌫|-⌫---|
la oulauierge	-|-|-|-----|
es toitreq uerre la	--⌫---|---⌫----|-|
E l e a uoitmesti erdeguerison	-⌫-⌫|-⌫---|-----⌫-|-|-------|
Quante le otacomp lieso roi sonsirequista	----|-⌫-|-|-----⌫--||-⌫---⌫--|-|------||
M artinqueillido nnastde luileet qu	-⌫----|--|-|-|--⌫----|-||---|-|-|
illi enoinsist ses i eulzettantostcomil	-|-|-|------|--|-⌫---|-|------|--|-|
enfurentoinz	-|-----|---|
D amedi eulimistsaueueentelpointcommeele	-⌫-----⌫-|-|---|-|---|-|--|----|----|--|
a uoitesté quant ele	-⌫---|----|----|--|
otonquesesteeplusclere	-|-----|----|---|----|
Damedi eu po rlam ordelabeneoite	------⌫-|--⌫||--⌫-|-|-|-------|
uierge liatoute	-----|-||----|
sac l ar té r endue	-|-⌫-⌫--⌫--|-⌫----|
Normanz uindrentderechiefqu eilne uoldr en t mie atan t	------|-------|-|------|--⌫|-|-|-----⌫--⌫|--|----⌫|
lessier sifirenttout	------|-|-----|---|
en tormaintcenbel	--⌫--|----|-----|
Derechiefporterent labeneoiteuie rge a	-|------|--------|-|-------|---⌫--||
Damedieu fistporlui	-------|---|--|--|
main tesuer tuz	----⌫--|---⌫--|
Tantost c omm elicorsfud escenduzil amenerent	------|-⌫---⌫|-|---|-|-⌫-------|-|--------|
deuantlui uncontraitqui estoitplains	-----|--|-|-------|--|-----|-----|
d e granzdolors	-⌫|----|-----|
Ila oural a uierg ede bo ncu er	-|-⌫---|-⌫|-----⌫|-|--⌫|--⌫-|
I l plo radeuantlafiertre et	-⌫|---⌫-|-----|-|------|-|
Pourl apitiéetpourlamor	---|-⌫|-----|-|---||---|
queuous eu ste senuers	--|---|--⌫---⌫|-----|
C ristdont uousuainquistes le	-⌫---|---|---|----------|-|
monde huma in aiézpitié d ecestdo lereusche tifqu i des irranz	----|----⌫-|----|-----|-⌫|---|--⌫-----|---⌫--|--⌫|---⌫-----|
est dauoirsa nte ́	--||----|--⌫---⌫|
L icontraizqui labeneoite	-⌫|-------|--|-|-------|
uierge crutreçut maintenan tsentéetsestsusleuéz	-----|---|-----|---------⌫|-----|-||--|--|-----|
autresisainzet haitiéz co meil	------|----|-|-------|--⌫-|-|
fu onquesplus	-|-----|---|
anul ior de sauie	|--|--|-|-|--|
miracl eueil	------⌫|---|
Ilotpres de	-|-|---|-|
Po issi unefole famepriseen	--⌫---|--|---|---|----|-|
auouti re qu i defoli e estoit repri se	------⌫-|--⌫|-|----⌫|-----|-----⌫-|
E lea u oit	-⌫-|-⌫-⌫--|
Orgauiaxa non sinestoit	-------||--|-||-----|
mieloiaxuers	--|----|---|
sonseing neu r	--|-----⌫---⌫|
Ilauin tch o sequesesmariz fu porlui mo rt	-|----⌫|--⌫-⌫-|--|--|----|-|--|--|--⌫-|
por ce quilenestoit co r rouciéz	--|-|-|-|-|-----|--⌫-⌫-------|
S en estentre misfolementsi	|-|--|-----⌫--|-------|-|
fuilue coccizporsa fa m e	-|----⌫|----|--|-|--⌫-⌫|
Cil n est miesages quioccir re	--||--|--|----|--|-----⌫-|
sen fetL en nedoit	|-|--||-|-|---|
miegran t pl etm aintenirdepe titdomage	--|----⌫|--⌫-|-⌫-------|-|--⌫--|-----|
Iene n uionq uesueni rnulbien	-||-⌫|-|---⌫--|----⌫|--|---|
Cilfu morzpo rla f olie s af ame	--|-|---|--⌫|-|-⌫---|-⌫|-⌫--|
eteleenpard ila	-|--|-|----⌫|-|
Eleuintala	--|---||-|
ui erg e touteesp arduesise mistdeuant l asepultureet	--⌫---⌫|----|---⌫----|-|-|---|-----|-⌫|--------|-|
cuerm outgrantpitié de ce	---|-⌫--|----|-----|-|-|
quele ot o uurésimal ement	-|--|-|-⌫----|-|---⌫----|
Si otmou t plo répor so npec hié etquant	-|-|---⌫|---⌫--|--|--⌫|---⌫---|-|----|
D iex entend isa re pantancemaintenantli	-⌫--|------⌫|-|--⌫-------|---------|-|
rendisapar olepor lamor	----|-|---⌫--|--||---|
de labeneoiteuierge	-|-|-------|-----|
porquiilotfaitemainte	--|--|-|-|----|-----|
Elesenrepeira a	--||-|------||
so nhostelsanz mes seoïr	--⌫|-----|---|---⌫-|---|
Meselerese rap ar tan sc orrouc iee po r la folie	--|--|----⌫-|-⌫-|---⌫|-⌫------⌫--|--⌫|-|----|
qu eleauoitfe t e	-|--|----|--⌫-⌫|
Tan tost come	---⌫---|---|
el eent raensa	--⌫|---⌫-|-|-|
mesoneledeuintco ntra ite	----|--|-----|--⌫----⌫--|
Ainsin tdemoustra	------⌫|--------|
Dam edieualafa meson f orfait	---⌫----||-|--⌫-|--|-⌫-----|
Ele sefistaporter arrieressis	--|-|---|------|-------|-||
a g enoilladeu antl a beneoiteuiergeet	-⌫-⌫------|---⌫--|-⌫|-------|-----|-|
le uequid es on	|-⌫-|--|-⌫|-⌫-|
cueruenoi tli moilloit	---|-----⌫|-|-------|
par maintesfo i z lafac e	--|------|--⌫-⌫|-|---⌫|
D iex i fi s tmaintbiaumiracl epor l	-⌫--||--⌫-⌫|----|---|------⌫|--||
labeneo ite uiergefist	-|-----⌫--|-----|---|
l a famequiestoitcon tra itetout e	-⌫|---|--|-----|---⌫---⌫--|----⌫|
Et tan tostcomme lame s sefu	-|---⌫---|----|-|--⌫-⌫-|-|
chant eeele pr ist congi ée t	-----⌫-|--|--⌫--|-----⌫-|-⌫|
Unshonsgardo it	--|---|-----⌫-|
mouchesde mielporc e	------|-|---|--|-⌫|
qui lauo it paourquei lne	-|-⌫|---⌫-|----|--|-⌫|-|
l esp a r di s t	-⌫-|-⌫-⌫-⌫--⌫-⌫|
Lanuitsic omeil fu endormizmauuése sperizq ui	-|---|-|-⌫--|-|-|-------|------|-⌫-----|-⌫-|
maintes gensa deceuesle souffla etli tolila	------|---||------|-|------|-|-|---|-|
Liseriantse ntour n at antostd i luec q ues	-|------||-⌫|----⌫-⌫|-⌫-----||-⌫----⌫-⌫--|
commeilsot qu ilaio rna si	----|-|--|-|-|---⌫--|-|
cestfet sanzdemora nce	|--|--|---|------⌫--|
sep ulcrealabeneoi te uierge	---⌫----||-|------⌫-|-----|
Il aho r adouc ementla b eneoiteuiergeenploran tsi	-|---⌫-⌫|----⌫----|-|-⌫------|-----|-|------⌫|-|
IIchandelles ardanzsil esmistdesusle	-|---------|-----|-|-⌫-|---|----|-|
sepulcresise couchalor sa	-------|-|-|-----|---⌫||
Illi fuauisquun sue s teme nzto cha a	-|-|-|---|-|--⌫|--⌫-⌫----⌫-|--⌫--||
mesil nesotquelilfu	--|-|-|--|---|-|-|
Mes ilcuidaquece fust undesfreresqui	--|-|----|--|-|---|-|--|-----|--|
lu ip a ssast	--⌫|-⌫-⌫----|
Etmaintenant quil ot	-|---------|-|-|-|
touchiéa luil abeneoiteuiergecom e douce e t	-------||--|-⌫|-------|-----|---⌫|----|-⌫|
piteuseetc lereaa lume esaueue	------|-|-⌫---||-⌫----⌫|-|---|
Entelm a nier ele gueri	-|--|-⌫-⌫----⌫|-|----|
Damed ieup orlamordelui	-----⌫--|-⌫-||---|-|--|
Ilcuidauera iementetausideustfe re toutlemonde	-|----|----⌫-----|-|---|----|--⌫-|---|-|----|
saueuerecouureepar	-|---|--------|--|
Gene uieuequil ess iensrema inne e n sente ́	----⌫----|--|-⌫-|-⌫---|----⌫---|-⌫|-----⌫|
Elenefaillionq ues a nul home	--|-|-----|---⌫--||--|---|
Di eu lic riastm erci	--⌫-|-|-⌫----|-⌫---|
Geneuieue issiunefoizde	--------|---|--|---|-|
P ar is sifua	-⌫--⌫-|-|-||
Maresip ortee	-----|-⌫----|
Ele a i lu ecfet maintbi aum i rac l e	--||-⌫--⌫-|--|----|--⌫-|-⌫-⌫---⌫-⌫|
I lauoitenla	-⌫|----|-|-|
uile u ncontrait	---|-⌫|-------|
qui auoit n on	--|----|-⌫-|
Fou c hiers	---⌫-⌫----|
Illi estal	-|-|--|||
encontreal ézet	-------|--⌫--|-|
tanto st com i lla c rutil fu gariz	-----⌫-|--|-⌫|-|-⌫--|-|-|----|
Esperizenso itgra ciézquantilfist	------|-|--⌫-|---⌫----|----|-|---|
ceporsamie	-|--||---|
Fouch iersbenee squi labeneoiteui e rgequ ipar	-----⌫---|-----⌫---|-|-------|--⌫-⌫--|--⌫|--|
sabontél i arend uzs esmenbresqu	-|-----|-⌫||----⌫-|-⌫-|------|-|
ilauoitperdu z	-|----|-----⌫|
Un s hons quiestoit d	--⌫|---|--|-----||
Ar bre sn ézestoitunioraléa	--⌫---⌫|-⌫--|-----|-|--|---||
Ilmoloita udieme nchep arnuitne ne	-|-----|-⌫|-----⌫---|-⌫-|---|-|-|
s en uou loitpourriens	|-|---⌫---|---|----|
ga rderetlibl ézs en	--⌫---|-|-|--⌫--||-|
uo lo ithorsdel amol le	--⌫--⌫-|---|-|-⌫|---⌫-|
ne nepooitmosdre	-|-|----|-----|
Q uantli hons uitque	-⌫---|-|---|--|--|
il pardoitson	-|------|--|
blésiestr ai nt s a	---|-|----⌫--⌫-|-⌫|
gorgeetbatide	----|-|---|-|
t out sonpo oirsonuen t re et	-⌫--|--|--⌫--|--|---⌫-⌫-|-|
selaidiste ttantlebatique	-|------|-⌫|---|-|---|--|
ilmis t hors les anc	-|---⌫|---|-|-⌫--|
toutcaillié	---|-------|
Il perd itout maintenant	-|----⌫|---|---------|
laueuesiestoit sidestroiz q ue i lnesot	-|---|-|-----|-|-------|-⌫-|-⌫|-|--|
quilpoïst	-|-|-----|
Ilsotbienque pors o nforfe tlier t	-|--|---|--|--|-⌫-⌫|-----⌫|-|--⌫|
ceauen u tant q u	-|----⌫|---|-⌫|
enlafinsef istmener	-|-|--|-|-⌫--|----|
deuantlauierge et li	-----|-|-----|-|-|
cria mer c i	---|---⌫-⌫|
Elene re fusa mi esapro iere	--|-|--⌫---|--⌫|-|---⌫---|
ainz l irendi mai nten antsaueueel	---|-⌫|----|---⌫----⌫--|-|---|-|
non nostre	--|-----|
Sein gn eur	----⌫--⌫--|
Duihom ee tunefamequin estoientmi eb ien	--|---⌫|-⌫|--|---|--||-------|--⌫|-⌫--|
sainzfurentue nuzdeu antlaprecieuse	----|-----|--⌫--|---⌫--|-|--------|
esto ithorsdu	----⌫-|---|-|
senscar lanemi	---|--||----|
l i estoiten trézel	-⌫|-----|--⌫----|-|
moutduremantl atra ueillo it	---|-------|-⌫|---⌫------⌫-|
Liunsdeshomesestoitcontraizetlia utre scontr efaiz	-|--|--|----|-----|-------|-|-|-⌫----⌫|-----⌫----|
d u n malqui	|-⌫|--|--|
moutert do u tézet	---|--|--⌫-⌫---|-|
estliepreuz	--|-------|
Sitostcomel a fameuinta	-|---|---|-⌫|---|---||
la fiertre	-|------|
ele uosmi lane mi	--|----||---⌫-|
Illuecqueslen couuintaissir	---------||-|------||----|
qu il nipotplus demo rer	-|-|||--|---|----⌫--|
etmaintenan tque li homecrure nt e n	-|---------⌫|--|-|---|-----⌫-|-⌫|
lauie rgebeneoite ilreçurent	-|---⌫--|-------|-|--------|
santédeleurs mauxsi furent tuit troi	-----|-|----|---|-|-----|---|---|
guerizdeleurs enfer metéz	-----|-|----|-----⌫-----|
Unefame fu amen ee	--|---|-|----⌫-|
a lab eneoit e damesicommenoustr ouon s	|-|-⌫------⌫|---|-|----|---|--⌫----⌫|
uned ol e ur moutmale mesiene	--|-⌫--⌫-⌫-|---|---|--|-|-|
truismie comme ntc istmaux estapeléz	----|--|-----⌫-|-⌫--|---|--|------|
quitantiert forz	--|---|---|---|
uis megreetpale	--|----|-|---|
Elesemista g enouz	--|-|---||-⌫----|
deuantla beneoit euiergee t	-----|-|-------⌫|-----|-⌫|
Da med ieumaintenant li enuo ia	--⌫---⌫--|---------|-|----⌫-|
santépor la mo rd el a	-----|--||-⌫--⌫|-⌫|-⌫|
uiergesa mie	-----||-⌫--|
Maintenant enr amenerentuneautredeuantlui quimout	---------|-|-⌫--------|--|----|-----|--|--|---|
se dementoit	-|--------|
Moute stoitdur ement cont re st e	---|-⌫----|---⌫----|----⌫--⌫--⌫|
Deuantlauierge s emist	-----|-|-----|-⌫|---|
agenou z et	|-----⌫|-|
Damedi eu quitouz maxa dreceredreça lafamemai ntenant	------⌫-|--|---|--|-⌫----|-------|-|---|---⌫------|
porl amordela	--||---|-|-|
sain tequ ilamoit	----⌫-|-|-|----|
Unshons forse nézfuame néz	--|---|-----⌫---|-|---⌫---|
fiertrealauir ge	------||-|---⌫-|
L i anemisliestoitoucorsmes i l n	-⌫|-----|-|-----|-|---|--|-⌫||
otpooirdeplusesploitier car ilne	-|----|-|---|---------|--|-|-|
a la uierg equeil feist m al	|-|-----⌫|--|-|----|-⌫-|
Toutma intenan tque ilfuuenuz ala fiert res	---|--⌫-------⌫|--|-|-|----||-|-----⌫-||
enest issuzlianemisc orrouciézet	-|--|----|-|-----|-⌫---------|-|
dolenzq uil n	-----|-⌫|-||
ipooi tplu sde mourer	|----⌫|---⌫|--⌫-----|
Maintenantfuli honsdeli uréz	---------|-|-|---|----⌫----|
des amaladieets enalaasonhost e l	-|-⌫|------|-||-|--||--|----⌫-⌫|
Unsautres hons qu i	--|-----|---|--⌫|
esto itnézd	----⌫-|---||
Es cocequ iforsenéz estoit uintalauiergeet	--⌫---|--⌫|--------|-----|---||-|-----|-|
Gefroiz auoitnon	------|----|--|
Mout estoitang oisseuz e t	---|-----|---⌫------|-⌫|
destroizde lanemi quiou	-------|-||----|--|-|
corslie stoitentr é z	---|-|-⌫----|----⌫--⌫|
etle demeno itmout	-|-|------⌫-|---|
du remen t	--⌫-----⌫|
Il crio it am out	-|----⌫-||-⌫--|
ha uteuoiz et	--⌫--|---|-|
d esciroit sau est eure	-⌫-------|-|-⌫---⌫---|
Ie ne cuit	-|-|---|
quenusfeust	--|--|----|
onques sidestroiz si	-----|-|-------|-|
comm e ilaparoi tasonsam blan t No ten	----⌫|-|------⌫||--|---⌫----⌫||-⌫|-|
dedui ta in z sen foientreles mainset prist	-----⌫|-⌫--⌫||-|--|----|--|----|-|----|
pierr esuo ie ns touz	-----⌫-|--⌫--⌫-|---|
Leramenerenta	-|---------||
liglyseet li prouoireont	|-----|-|-|-------|--|
apor tépla in uesseldiauebe neoitesi	----⌫--|---⌫-|-----||---|--⌫-----|-|
lierentace lui	------||--⌫--|
pié zet mains	----⌫|-|----|
Liprouoirel	-|-------||
amenerent deuantlesepulcreet	--------|-----|-|-------|-|
Di e xporl	--⌫-⌫|--||
amordelabe neoiteuiergesili	---|-|-|--⌫-----|-----|-|-|
mistl a nemihorsdu c ors et	---||-⌫---|---|-|-⌫--|-|
re mestentelmanieresainetha i tié	--⌫---|-|--|------|---|-|--⌫-⌫---|
Puis le deslierent etmain tenantunaut re	---|-|---------|-|----⌫-----|-|---⌫-|
miracle fu fetdeuantla uierge	------|-|--|-----|-|-----|
Une meschineteu i nt	--|---------|-⌫-⌫-|
ausepucreetuncontret qui o tpe rdule	-|------|-|-|------|--|-⌫|--⌫--|-|
pooirdu co rsnela meschi ne nepooit	----|-|--⌫-|-|-|------⌫-|-|----|
Quantilfurentend uilaue nusl a	----|-|-----|---⌫-|-|--⌫--|-⌫|
meschin eparla	-------⌫|----|
tan to st et	---⌫--⌫-|-|
lico ntréz fu redreci ézqui nesentin enpie	-|--⌫-----|-|-------⌫--|--|-|----||-|--|
n enmainnulmalsisen	|-|---|--|--|-||-|
repairierenten leu rle utuitgueri	-----------|-|---⌫|--⌫|---|----|
mi r acle uo us u oe ildire	--⌫-⌫---|--⌫-|-⌫--⌫-|---|
II fam es uindr entalabeneoiteuierg e	-|---⌫-|-----⌫--||-|-------|-----⌫|
q uiestoientde	-⌫-|-------|-|
Marue i lLuneauoit	-----⌫-⌫||--|----|
lacoulortoute nercieet tu it	-|-----|----|-----|-|--⌫-|
si membre slies toie nt nerciz	-|------⌫|-|--⌫----⌫-|-----|
e tfailizetre traiz	-⌫|-----|-|--⌫----|
S icommel il iuresnous	-⌫|----|-⌫|-⌫----|---|
racontel autr e fame est oit	------||----⌫|---|---⌫--|
moutau oitquelenauo itoïgoute	---|--⌫--|-|--||---⌫-|--|----|
Sitostco m meilorent	-|---|--⌫-⌫-|-|----|
end uiatouc hiéalafiertr ef urentgueries	---⌫-|-----⌫---||-|------⌫|-⌫----|------|
deleursenfermet éz	-|----|--------⌫--|
Alasour derendis oïeetlacontraiteredreça	|-|----⌫-|----||---|-|-|--------|-------|
amor de c eleb eneoiteuierge etmoutdautresmiracles	---|-|-⌫--|-⌫------|-----|-|---||-----|-------|
