anceltans quelimostier	-|--|---|--|-|------|
p oroitdeson seruis eoster .	-⌫----|-|--|------⌫|----||
un ior alaia	-|--|---||
sameso ne t se fein t	-|----⌫|-⌫|-|----⌫|
ma lade etq ua ntlir oisl esoutsi	--⌫---|-|-⌫--⌫-|-|-⌫--|-⌫|---|-|
e sta ubli zzautree nso nleu	-⌫---⌫---|-|----|-⌫|--⌫|--|
por son f il se ruiret garder .	--|--|-⌫-|--⌫---|-|-----||
et po r ce qu i lestoitmont dessier a nz	-|--⌫|-|-|-⌫|-----|---|-------⌫-⌫-|
delasa nt e zar damsimandazz mo ntbuen	-|-|--⌫--⌫|---⌫--|-|----|-|--⌫-|---|
priai quil meist grantpeine	----|-|-|----|----|----|
aluigari r.	|--|----⌫||
etquant limires	-|----|-|----|
l otuisi tée tueuesorinesiuintau	|-|----⌫--|-⌫|---||----|-|---|-|
d is t i ln estnu le ma nier e de maladiequeie	-⌫--⌫|-⌫||--|--⌫-|--⌫----⌫|-|------|--|-|
pui sseencesth ometrouer et	---⌫--|-|---|-⌫--|-----|-|
siuo sdiquegene cuitpa s queil	-|--⌫|-|--|-|-|---|--⌫|--|-|
gisepornulemaladiedecors mes porauscune	---|--|---|------|-|---|--|--|------|
mesa isedecuer	----⌫--|-|---|
etquant lirois oy ceschos es	-|----|-|---|-|--|----⌫-|
sipansaique sesfilzsefustdaucunes	-|-----|--|--|---|-|---||------|
chosescor rocie zal uiet q uep orcestea choisums	-----|---⌫-----⌫||-⌫-|-|-⌫-|-⌫-|----|-⌫------||
anfustdepartiz	-|---|-------|
etporceq uiluoloitcestechoseen que rr e	-|--|-|-⌫|-|-----|----|----|--⌫---⌫--⌫|
simanda azardan	-|----||-----|
quiliro itlend emein	-|-|---⌫-||---⌫----|
etqua nt zardan oyces te	-|---⌫-|-----|-|---⌫-|
le ua lendeme inmontmatin	--⌫-||------⌫-|---|----|
et alaiauroi.	-|---|-|--||
etquantli rois leu itsili	-|----|-|---|-|-⌫-|-|-|
disthaz ar danpor quo it	---|-|-⌫--⌫--|--|---⌫||
leuezet greuezp orc aiuenir	----|-|-----|-⌫-|-⌫-|----|
seteuol oiealer ueoirpor	-|-|---⌫--|---|----|--|
mostreratote magent lagran t amor	------||---|-|---|-|----⌫|---|
respondisire gen esuis mie malades	-------|---|-|-⌫|---|--|------|
de nulemala died e co rs	-|---|----⌫--|-⌫|--⌫-|
ainz estmescuers tormentez sidur emantque	---|--|--|----|--------|-|---⌫----|--|
n unsne poroit cro ireetporcestecho se	-⌫--|-|-----|---⌫--|-|--|----|---⌫-|
ne futil miebi en que gesou frisse	-|--|-|--|--⌫-|--|-|---⌫-----|
queuostrehautescemeue nistue oir .	--|-----|-------|-|--⌫---|--⌫--||
et q uantli	-|-⌫---|-|
roi slioutdemandélachoiso nde sa trist es ce	---⌫|-|--|-------||-------⌫|-|-|-----⌫--⌫-|
zardamli respondi se sui ssicorrociez de	-----|-|-------|-|---⌫|-|--------|-|
ceque ge aimal uaisemant	-|--|-|-|---⌫--------|
tenuton c onmandemantquetunemeporroies tant	---|--|-⌫----------|--|-|-|-|-------|---|
faire dem aulquamgeaideseru iaauoir .	----|-|-⌫--|---|-|-|------⌫||----||
etlirois ledist	-|-|---|-|---|
de quoi astusim auuaiseman ttenu moncomman demant	-|---|-|-|-|-⌫----------⌫|---|--|------⌫-----|
etzardam lirespondi de mon	-|-----|-|-------|-|--|
segno ruostrefilque	-----⌫|-----|--|--|
ieaimauluaisem antgardéquar	-|-|----------⌫--|-----|---|
unsdesleausanchanterresaiparlé	--|-------|-----------|-|-----|
alui etli aiensegn él aloy	|--|-|-|-|------⌫-|-⌫|--|
ascrestiens	-|--------|
l o rsli contad e chiefe n chiefcomantlisein z	-⌫-⌫-|-|----|-⌫|----|-⌫|----|-----|-|----⌫|
es toit uenu za	--⌫---|----⌫||
conm ant ios aphat auoitd es onbuencuer escouteessesparol es	----⌫--|---⌫----|----|-⌫|-⌫-|---|---|--------|--|-----⌫-|
etconmantill auoitfetc restien.	-|------|-||----|--|-⌫------||
etsidist que io saphatauoitapel éce	-|-|---|--|--⌫-----|----|----⌫-|-|
ueillartbala amet bie n auoit oydir e qu	-------|----⌫-|-|---⌫|----|-|---⌫|-|
ilestoit uns de splus	-|-----|--|--⌫|---|
hardis de lac restienecre ance.	-----|-|-|-⌫-------|---⌫---||
liroysfusicorroc iezdeces c hosesqu	-|---|-|-|------⌫--|-|--|-⌫----|-|
quedeuen ir f ors	--|-----⌫-|-⌫--|
tantqui lmandaiun	-----|-⌫|-----|-|
suenconsoill ierqui auoi t n on arrachis	---|--------⌫--|--|----⌫|-⌫-|-------|
et esto itmont bonsastronomiens .	-|----⌫-|---|---|-----------||
etquan t ilfuuenuz	-|----⌫|-|-|----|
c o nta liro y stoutso nenui	-⌫-⌫--|-|--⌫-⌫|---|--⌫|---|
etci ll ire spondi	-|--⌫|-⌫|--⌫-----|
r oys nesoies	-⌫--|-|----|
iaideceste choseesma i és quarie metrai	--|-|----|----|----⌫-⌫--|---|-|-----|
teilconseil encestechose d on	---|------|-|----|----|-⌫-|
tes courozseraiasouaigez quarges apd euoir que	--|-----|----|--------|---|-|-⌫-|-⌫|---|--|
ge l u ife ra i renoierladroctrine delanchantaour	-|-⌫-⌫|--⌫--⌫|------|-|--------|-||----------|
etreuen ira ta uolunte.	-|-----⌫-||-|------||
dec esparoles fu	-|-⌫-|------|-|
liroy s montcon fortez .	-|---⌫|---|---⌫-----||
royslimiaudres conseilquege puisse	---|-|-------|------|--|-|-----|
metree ncestaffaire	----|-⌫|---|------|
s ie st d e	-⌫|-⌫-|-⌫|
querrebala am q uarsenosle	-----|----⌫-|-⌫--|-|--|-|
po uonstrouer	--⌫---|-----|
nosauronstot gahenniéquar sil	--|-----|--|--------|---||-|
ne uoil tfairenostreuel unte nos le	-|----⌫|----|-----|---⌫---|--|-|
torment eronst an t d e diuerses	-------⌫----|-⌫--⌫|-⌫|-------|
manieresde tormanz	-------|-|------|
que nosli f eronsreconostredeuant to nfil	--|--|-|-⌫----|---------|-----|--⌫|--|
nesq ue illimen tid e totes leschosesqu	--|-⌫-|-|-|---⌫-|-⌫|----|--|-----|-|
ill ifite ntendant et ensint	-|-⌫|--|-⌫-------|-|-----|
reuien draiiosaphata laueluntedenosdex.	------⌫---|-------||-|------|-|--|--||
nepouon strouer	-|-----⌫|-----|
bala amie troueraizz	----⌫-|-|-------|-|
autreuei l hermiteq uir esemble bien	----|---⌫|------|-⌫-|-⌫------|---|
balaamquil n	-----|-|-||
es tnuns qu i l eg ie remantp eust li	--⌫|---|--⌫|-⌫--⌫--⌫-----|-⌫---|-|
ung deuiser delaut re .	--|------|-||---⌫-||
cistestdenostre suite	---|--|-|-----|----|
etaies tém e s	-|-|--⌫--|-⌫-⌫|
me stre s.	--⌫----⌫||
parleraluietliconteraitote s	-----||--|-|-|-------|----⌫|
les chosesqui	--|-----|--|
no ss unt auenues et lidiraiqu	--⌫|-⌫--|------|-|-|----|-|
ilueg neen semblanceba l aam et se	-|---⌫-|-|--------|--⌫-⌫--|-|-|
feign e qu i luoillede sfandrelaloy	-----⌫|-|-⌫|-----|--⌫------|-|--|
es celestiaus.	-|---------||
lors si ferons	---|-|-----|
sa uo i rpartoutque	--⌫--⌫-⌫|--|---|--|
nosauonstroué	--|----|-----|
balaametli	-----|-|-|
fero nsprendr edespu toisonanos.	----⌫-|------⌫|-----⌫-----||--||
etquantnos aurons	-|----|--|-----|
pieceo poséet respo ndusisefoindrai	----|-⌫----|-|-----⌫--|-|-|-------|
ci lquilne saiche	--⌫|-|-|-|-----|
m esq uedire	-⌫-|-⌫-|---|
en tele manier e selaira	-|---|------⌫|-|----|
suremonter.	---------||
etquantte sfilzuerrai	-|----|--⌫|---|-----|
son mestre ueincuetdesdire quamqu	--|-----|-----|-|------|-----|
ilauoit diti enedou t	-|----|--|-⌫|-|---⌫|
pasquilne reuiegnea	--|-|-|-|-------||
nostrecreance e t quilnesoit plus	-----|------|-⌫|-|-|-|---|---|
obeissenzq uil ne	--------|-⌫|-|-|
dece schosesfit liroys	-|--⌫|-----|--|-|---|
tropgrant ioieetdit	---|----|---|-|--|
que arr achisli auoitmontbon	--|---⌫----|-|----|---|--|
conseildoné	------|----|
etpor ceque liroyssauoit	-|--|-|--|-|---|-----|
bie nqu ilnauoitgaires quebalaans	---⌫|-|-||----|-----|--|-----||
ene s to it departiz deiosaphat sis e	-|-⌫-⌫--⌫-|-------|-|-------|-|-⌫|
hast ad ouquerre etenuoia genz por	----⌫||-|-----|-|-----|---|--|
querreagrantplenteetas	-----||----|-----|-|-|
p ie sporgaitier le schemins	-⌫--⌫|--|------|--⌫|------|
etilmeismes montaet pris tgra ntp lented e	-|-|------|----|-|----⌫|---⌫-|-⌫----|-⌫|
cheual iers et	------⌫---|-|
toutl aou il	---|-⌫|-|-|
cudoit quebalaam enf ustal e z et lequistyy	-----|--|-----|-|-⌫--|--⌫-⌫|-|-|----|-|
iorzenteilmani ereet nent rouai	---|-|---|----⌫--|-||-|-⌫----|
etq ua nt il	-|-⌫--⌫-|-|
fu reu enuzen s o npales	-|---⌫---|-|-⌫-⌫|----|
essenble rmont grantconpaigniedech eualiers et	--------⌫|---|----|---------|-|--⌫-------|-|
le s bailla aarachise tlidis tqu	--⌫|-----||------|-⌫|-|---⌫|-|
ilal astenlaterre desennaaret qu esisttant	-|--⌫--|-|-|----|-|------|-|--⌫----|---|
bala am quil	----⌫-|-|-|
le r etrouast .	-|-⌫-------||
arrachisa laen la terredesenna r	-------|-⌫-|-|-|----|-|-----⌫|
et d emandai entouzlesleux oiluintnouelles	-|-⌫------|-|---|--|---||-|---|-------|
debalaammesiln enoyo n q uesnouellespar	-|-----|--|-||-|-|-⌫-⌫-⌫--|-------|--|
silequistparleforest et par	-|-|----|--|-|-----|-|--|
lesde sserzan torles l eus	--|--⌫----|--⌫--|--|-⌫--|
ouilp ouoit aler n	-|-|-⌫----|---||
a pienacheual .	|--|||-----||
et sicommeill e qu eroit	-|-|----|-|-⌫|--⌫----|
siauint queilui ntaue c sesgenz	-|----|--|-|--⌫-|---⌫|--|---|
enunehautemontaign e et uistune	-|--|----|--------⌫|-|---|--|
gr ant conpaigniede hermites .	--⌫--|---------|-|-------||
lorscon mend ai	---|---⌫----⌫-|
asesgenzqu il	|--|---|-|-|
lesprissente tamenass entde uan t lui.	--|-------|-⌫|-------⌫--|--⌫---⌫|--||
cil ia lerentetlesp ristrent	--||-⌫-----|-|--|-⌫-------|
etlesame ner ent deuant lor	-|--|---⌫---⌫--|-----|--|
entres esseinzhermiteszz	----|-⌫-|----|-------|-|
quiresanbloitestremaistr esdesautres quiportoituneescharpe	--|---------|----|------⌫-|--|-----|--|------|--|-------|
tout e ple i gnede reliques	----⌫|---⌫-⌫--|-|-------|
qua ntarrachislesoutt o uzreg ardezet ilneu ist	---⌫-|-------|--|--|-⌫-⌫-|---⌫----|-|-|-|-⌫--|
miebala amcomme cil quibienle	--|----⌫-|----|--|--|---|-|
conoiss oitsi en fu montcorociezet	-------⌫--|-|-|-|---|-------|-|
estlitricherres qui ailefille	--|-|---------|--|-|-|--|-|
c i lquip orto it	-⌫-⌫|--|-⌫----⌫-|
l escherpe li r es pondi	|-------|-|-⌫--⌫----|
ciltr icher res quetudemandesnest	--|--⌫-----⌫--|--|-|-------||--|
mieentrenos.	--|----|--||
dex nous e ndesfandet situ	--|---|-⌫|------|-|-|-|
eussesgranttalantde	-----|----|-----|-|
lui troueril	--|-----|-|
netecouenis tmiequerresi	-|-|-------⌫|--|-----|-|
loint de ton pais quarilestdebout ezd	----|-|--|---|---|-|--|------⌫-||
a ntrenosporlagrace denostre segnorihesu cri st	-⌫---|--|--|-|----|-|-----|-----|----|---⌫-|
e th abite entre uos	-⌫|-⌫----|----|--|
etl iprincepsli	-|-⌫|-------|-|
distquenoistu donques celuquege	---|------|-|------|---|--|-|
tede m ant	-|--⌫-⌫--|
lisein zh ermiteslirespondi	-|----⌫|-⌫------|-|-------|
uo iremant l edeaubl equi co nuerseentre uos et	--⌫------|-⌫|------⌫|--|--⌫-----|----|--|-|
uosaitouzdeceu z.	--|-|---|-----⌫||
l ipri nces li distiene	-⌫|---⌫---|-|---|-|-|
demant miedo ud e aubleainzdemant debalaam.	-----|--|--⌫|-⌫-⌫----|---|-----|-|-----||
lihermite slidis tsenete resp ondimie	-|-------⌫|-|---⌫|-|-|-|----⌫---|--|
aceq uetupensoiesma sa	|-|-⌫-|-|-------|--⌫||
tumedemandoies	-|-|---------|
qua rtudem andasdel tricheo r qui au oit	---⌫|-|---⌫----|--|-------⌫|--|--⌫--|
le fille roydeceu.	-|--|-|--|----||
et setuuosi sses dem ender	-|-|-|----⌫---|---⌫----|
debalaamtu nedeussesmieansintdi re	-|-----|-|-|------|--|-----|--⌫-|
a inz deusse sdire ouestcil	-⌫--|------⌫|---|-|--|--|
q uial e fil leroyconuert i d emaul	-⌫-||-⌫|--|-|--|-------⌫|-⌫|---|
ici lestnostre frereset	---⌫|--|-----|-----|-|
den ostreseinteconuersation	-|-⌫----|-----|-----------|
mesnos ne l eu eism es gr ant t enshai passé	--|--|-|-⌫|-⌫----⌫-|--⌫--|-⌫--|--|-----|
liprinces li di stensoigne	-|------|-|--⌫-|-------|
nos san plu ssonhabitasch e	--|--|---⌫|--|---------⌫|
liherm iteslirespondi seiluosistqueuos	-|----⌫---|-|-------|-|-|-----|--|--|
le ueissezi lfustpieca	-|------|-⌫|---|----|
uenuzcontreuosnepor	----|-----|--|-|--|
n osnele sauroiz uosia .	-⌫-|-|-|------|--|-||
re gardaarrachis montfelenessemantetlidis tseuos ne	--⌫----|-------|---|------------|-|-|---⌫|-|--|-|
lem a in segn iezge uosferaitouz morir	-||-⌫--⌫----⌫--|-|--|----|---|----|
demalemo rt.	-|---|--⌫-||
hermites res pondiquelauoirterri e n	-------|---⌫----|---|----|-----⌫-⌫|
nosuoiztu auoir	--|---|-|----|
p orqu oi no s	-⌫-|--⌫-|--⌫|
doions d oute rl amort	-----|-⌫----⌫|-⌫|---|
n o s nede uons	-⌫-⌫|-|--⌫---|
m ieteseulemant	-⌫-|-|--------|
parde nerlemaultalantei ns	-----⌫--|-|---------|--⌫-|
encoresau oirbongrefset u	-----|---⌫--|--|---|-|-⌫|
nosostesdecest ede ceuantuiequarnoscon o i sons	--|----|-|----⌫|--⌫-----|--|---|--|---⌫-⌫-⌫---|
lafrailleted elauie terrienn eque	-|--------|-⌫|-|--|--------⌫|--|
nosauo ns grant pao rqu elenenos	--|---⌫-|----|---⌫|-|--|-|--|
facea uscune chosefere qui	---|-⌫-----|----|---|--|
soit contrelecommandema n tno streseg norporc edessi eron snos	---|-----|-|----------⌫-⌫|--⌫---|---⌫--|--|-⌫|-----⌫----⌫|--|
aouf friranostrecria tor sac reficede	|---⌫---||-----|----⌫--|---⌫-----|-|
nostresancmeism e.	-----|---|-----⌫||
atantlesf istarra chis batreettor menter demontde	----|--|-⌫--|----⌫---|----|-|---⌫-----|-|---|-|
manieres detorm anz etquant il uitque	-------|-|----⌫--|-|----|-|--|--|
por riensqui	--|----|-||
lor feis t	--|----⌫|
ne liensegneroientlacel e balaams i	-|-|------------|-|---⌫|-----|-⌫|
lesf i s t touz	--|-⌫-⌫-⌫|---|
me nerauroi etli c o n taconma nt il	--⌫--|-|--|-|-|-⌫-⌫-⌫-|-----⌫-|-|
auoitbalaam q uispartotelaterredesennar	----|-----|-⌫--|--|---|-|----|-|-----|
etqu ilnauoitnelu i tr oué qui	-|-|-||----|----⌫|--⌫---|--|
r iens nel ie nuoloie ntd ire.	-⌫---|-|-⌫|-⌫|------⌫-|-⌫--||
lorsles f itli roysder echi eftorm enteretpuis	---|--|-⌫-|-|---|---⌫----⌫-|----⌫----|-|---|
lor demand ai	--|------⌫-|
p orquoi ilporto ient a u ec ausle s	-⌫-|---|-|-----⌫---|-⌫-⌫-|--|--⌫|
osdesge nzmorteset luerdis tse	-|--|--⌫-|-----|-|---|---⌫|-|
uosle sportezpor amorde	--|--⌫|-----|--|---|-|
causdeculiosfurent	---|-|-|-|-|-----|
geuosf era iuenir	-|--|-⌫---⌫|----|
sontporcequequant	---|--|-|--|----|
geuosau ramis	-|--|--⌫-|--|
aueccau x queuos	---|---⌫|--|--|
randoi zgracesetmerciz qua r	------⌫|-----|-|-----|---⌫|
ge sapbienque	-|--|---|--|
c hascunde ssierre a estr e aue ccelu quil aimme .	-⌫-----|--⌫------||----⌫|---⌫|---|-|-|----||
limaistres decele sai nteconpaigni elirespo n dietdit	-|-------|-|---|---⌫--|---------⌫|-|-----⌫-⌫-|-|--|
no sl esportonspor ceque	--⌫|-⌫-|------|--|-|--|
ci stosno srepresa ntent	--⌫-|-|--⌫|-------⌫----|
l amorque n os eumeseta uon s asseins	|---|--|-⌫-|----|-|-⌫---⌫|-|----|
cui ilfurent etsinosrem anbrent lorseinte	--|-|-----|-|-|--|---⌫------|--|-----|
uieetcemeismes	--|-|-|------|
que nosua n d rons	--|--|--⌫-⌫-⌫---|
a aut eilfin conmeiluindren t au meinsen	|---⌫--|--|----|-|-------⌫|-|----|-|
corset sinoss o uuiennent totesles f oi es que	---|-|-|--|-⌫-⌫--------|----|--|-⌫--⌫-|--|
nosu eonsles	--|-⌫---|--|
osdelrepoxe tlesdelices	-|--|----|-⌫|--|------|
oui lso nt .	-|-⌫|--⌫-||
tumeismesles deuroie suel untiersueoirpo rpl u ssouantrem anbr er	-|------|--|-------⌫|---⌫------|----|--⌫|--⌫-⌫|-----|---⌫----⌫-|
la mortsauoir setulairoies	-|---|-----|-|-|-------|
porla remanbrancepoint de	--|-|----------|----|-|
ta deslo iau te qu ita saband onez asigr a nt feloni e	-|-----⌫---⌫-|--⌫||-⌫|-----⌫---||-|--⌫-⌫-|------⌫|
q uetuocisle s s ergen znost res egn orqui n ul	-⌫-|-|---|--⌫|-⌫-----⌫|----⌫-|-⌫---⌫-|--|-⌫-|
maul netefont.	---|-|-|---||
etliroyslordi stencor ene	-|-|---|--|--⌫-|-----⌫|-|
me uoill ez	-|-----⌫-|
uosnulmaulferesiestesuos	--|--|---|---|-|----|--|
d es leauxen auscu neman i e requeuosnefetes	-⌫--⌫----|-|-----⌫-|---⌫-⌫-⌫-|--|--|-|----|
mieasosfrir ent regenzquar uosamonestez lepuple	--||------|---⌫-|---|---|--|--------|-|----|
sapque lfaus e	--|---⌫|----⌫|
p remossead ege rp irlesioie sdeceste uie	-⌫------||-⌫---⌫--⌫-|--|----⌫|-|----|--|
et porcequegene	-|--|-|--|-|-|
uoil mieque uosdeceuoiz l e s	---|--|--|--|-------|-⌫-⌫|
genz quiuoillentauoirled e lit	---|--|-------|----|-|-⌫-⌫--|
decests iecle	-|---|-⌫----|
uosf azgedestrur e.	--|-⌫-|-|-------⌫||
li seinzhermites li di st cesoures nemostrent	-|----|-------|-|--⌫-|--|----|-|-------|
sides sierranz qu elipueplesait	-|---⌫-------|--⌫|-|------|--|
la ioiedecest e siecle com metu	-|---|-|----⌫|-----|---⌫-|-|
enfez le sambla nt q uarse tu	-|--|-|------⌫-|-⌫--|-|-|
uosisses qu echasc unsfust	-------|--⌫|-----⌫--|---|
aaise encestsieglet udepartisses	|---|-|---|-----|-⌫|----------|
tes richescesa	--|--------||
nulesn enont.	----||-|--||
mesens in tn elefezm i e t uneliautre	--|---⌫--⌫|-⌫|-|--|-⌫-⌫|-⌫|-|-|----|
riche home quarquantuosue hezzzhome	----|---|---|----|--|--⌫--|-|---|
aquis auscunpoupor sapo in edonilbeea	----|-----|--|--|-|--⌫--⌫|--|-|--||
soustenir soi etsa	--------|--|-|-|
ma isnie ia	--⌫----|-|
neseroizaased euantque	-|-----|---|-⌫-------|
uos liaure ztolluou por	--|-|----⌫|----|-|--|
for ce oupo r baratpuisqu il soitenuostre pouoir	---⌫-|-|--⌫|----|-----|-|---|-|-----|-----|
s i neuosuoilt donerceq u i lai	||-|--|----|----|-|-⌫|-⌫|-|
santoliruoslimetez suisqu	--|----|--|-|----|---|-|
i lestmaulua isuilainsouqueil	-⌫|--|------⌫-|------|-|--|-|
esto rgu oilleu s	--|-⌫---⌫------⌫|
porsonauoiret ditesquemon tfe roi tbon epoine	--|--|----|-|----|--|---⌫|--⌫---⌫|---⌫|----|
qu i le porroitosterdes on orguel quarorgue lz est	--⌫|-|------|----|-|-⌫-|-----|---|-----⌫-|--|
rac in edetoz autres uices	---⌫--⌫|-|--|-----|----|
mesor guelne	--|--⌫---|-|
li porroit e n	-|------|-⌫|
tolirquin eli toudroit sonauoirquiest	----|--|-⌫|-|-------|--|----|--|--|
achoison sde orguel	--------⌫|-|-----|
uoiltdonersans toli r	----|----|---|----⌫|
