moutparfugente c reature	---|--|-|----|-⌫------|
ormaestéu erais	-|||----|-⌫----|
moitant f aitdela	--|---|-⌫--|-|-|
queb ien sen estu e ngié s deca	--|-⌫--||-|--|-⌫-⌫-----⌫|-|-|
demisonregneosase r our	---|--|----||-|--⌫-⌫--|
d onné quitepar	-⌫----|----|--|
gaietequiest	-----|--|--|
franchefemme	------|----|
qu i nestsenonpor	--⌫||--|-|--|--|
m oi auregn e	-⌫-|-|----⌫|
donneeestoit bil asler oi	-----|-----|---⌫-|-|-⌫-|
et onlir etol i por	-|-|-|-⌫----⌫|--|
or me retolentci lmaterre	-|-|-------|--⌫|-|----|
n epuetmiemanoirsans guerre	-⌫|---|--|-----|---|-----|
lamortsauis	-|---|----|
fumoutpl or ee	-|---|--⌫--⌫-|
etsau iemoutre gr etee	-|-|-⌫-|---|--⌫--⌫---|
euasplore la compaignie	---|----|-|---------|
orentbon ee uen	----|---⌫|-⌫|-|
etprocelias lebienf ait	-|--------|-|-----⌫--|
q ueilotenathainestrait	-⌫-|-|-|-|-------|----|
euasaat hisapel é	---||--⌫--|----⌫-|
moutbon con seil	---|--|---⌫---|
lia d onne ́	-||-⌫----⌫|
qu ildeuiengnehons	-|-|--------|---|
le mpere or	|-⌫-----⌫-|
et re coiue	-|--⌫----|
deluison no r	-|--||--⌫--⌫|
d euiegne desaterre	-⌫------|-|-|----|
siliai dera a conquerre	-|-|--⌫---||--------|
pu isn el iporrapasfaillir	--⌫-|-⌫|-⌫|----|--|------|
nedesecou rsal u iguenchir	-|-|-----⌫-||-⌫-⌫|-------|
co nseildedanteuas	--⌫----|-|---|---|
entreathiset procelias	----|----|-|--------|
l empereour uenu	|--------|---|
at hi sadeluireceu	--⌫--⌫||-|--|----|
toutesa t err equit ement	----|-|-⌫---⌫|----⌫----|
et delu ipristso n chaseme nt	-|-|--⌫|----|--⌫|-------⌫-|
athis sireemperere	----|---|-------|
nouuel ement es t	------⌫----|--⌫|
morsmes per e	---|--|---⌫|
lat er remesttoute remi se	-|-⌫--⌫-||--|----|----⌫-|
mais uns miens pare nsl a	---|--|----|----⌫-|||
a pres samor t le matolue	-⌫---|-|---⌫|-|||----|
la r eceue	||-⌫----|
mescousinses t	--|------|--⌫|
par sahautesce	--|-|-------|
pri samaterre parsanoblesce	---⌫||-|----|--|-|-------|
m at olu e	||-⌫---⌫|
ma teneur e	-|------⌫|
ouil n aloin e	-|-|||--|-⌫|
oruous requiercoma sei gnor	-|---|------|--||---⌫---|
co mahauth ommedeualor	--⌫||---|-⌫---|-|----|
que uousma idiésmon	--|---||-⌫-----|--|
dr oit aquerre	--⌫--||-----|
parq uoii epui sse auoirm aterre	--|-⌫--|-⌫|---⌫--|----|-⌫|----|
lemperere l ires p on di	|-------|-⌫|---⌫-⌫--⌫-|
athisfa itilieuousafi	----|--⌫-|-|-|---|--|
courtter me la u ou srendrai	----|---⌫-|-|-⌫--⌫|------|
ou toutela	-|----|-|
moieperdrai	---|------|
athisbonem ent l enmercie	----|-----⌫--||-|-----|
sir e f ait illauostr ea ie	---⌫|-⌫--|-|-|-----⌫|-⌫-|
meco uendroit	-|--⌫-------|
hastiuement	----------|
l e mperere	|-⌫------|
mandesage n t	----|-|--⌫-⌫|
detoutes pars	-|-----|---|
les assambla	--|-------|
moutgrandecompaig niei a	---|-----|-------⌫--|||
etlicompaignonremande rent	-|-|---------|-------⌫---|
merueillouse gentass a mblerent	-----------|---|---⌫-⌫-------|
quant orentas sam ble ́loroirre	----|----|--⌫---⌫---⌫|--|----|
enmersemp aignenten soloir e	-|--||---⌫------|-|------⌫|
mou t par ont bienlor	---⌫|--|--|---|--|
nes garies	--|-----|
d etoutesc hosesrepleni es	-⌫|-----|-⌫----|-------⌫-|
denagierpainentete striu ent	-|-----|------|-|-⌫-----⌫--|
auportdesou s	-|---|-----⌫|
a tha in ea rriue nt	-⌫---⌫--⌫|-⌫-----⌫-|
parmila terrequi f u	----|-|----|--|-⌫|
tendent lort r esparmi	------|--|-⌫-⌫-|----|
athis ne ueultque la c ontree	----|-|----|--|-|-⌫-----|
soitparla gentneantgast ee	---|--|-|---|----|----⌫-|
neque li correourpremie r	-|--|-|-------|------⌫|
doiuent le	------|-|
paises si llier	---|--⌫--⌫----|
ta ntq u eilenaien t p a rl é	--⌫---⌫-⌫|-|-|----⌫|-⌫-⌫--⌫-|
assenatours	-|--------|
ses messages enuoi e	--|-------|-----⌫|
conseild eses amis	------|-⌫|--|---|
ascitoien s a ssenat ours	-|-------⌫|-⌫|-----⌫---|
ash aushomm es etas	-|-⌫--|----⌫-|-|-|
mei llours	---⌫-----|
que illi feisse nt dro iture	--|-|-|------⌫-|---⌫----|
et rendissentsateneur e	-|---------|-|------⌫|
ain ssicons es p e resla tint	---⌫--|--|-⌫-|-⌫-⌫--|-|---|
etses ancestresqui a ins uint	-|--|--------|-||-⌫--|---|
etsil leuosissentatort	-||-|-|--------||---|
ainco isen sero i entmilmort	-----⌫-|-|----⌫-⌫--|--|---|
etmainsmursa	-|----|---||
ter re c herro it	---⌫-|-⌫-----⌫-|
ainsqu illor laistainssi son droit	-----|-|--|----|-----|--|----|
parentmande	-----|----|
qu idoitestre ses amispre s	--⌫|---|----|--|---|---⌫|
droitnesen trem ete	----|-||--⌫----⌫--|
neensa terrene se mete	-|-|-|----|-|-|---|
satortlapri sa	||---|||---⌫||
droitlir ende	----|-|-⌫---|
si en serafius	-|-|---|---|
delamend e	-||-----⌫|
il enpu eta uoir baillie	-|-|--⌫-|-⌫---|------|
nepue t auoirfiance	-|---⌫|----|-----|
ensauienee nsamor	-|-|--|-|-⌫||---|
l imess agese nsont torné	-⌫|----⌫--||-⌫|---|-----|
errantuienent enlacite	-----|------|-|-|---|
a ssenat ours as	-⌫|-----⌫---|-|
ashaushommesetas moie n s	-|---|-----|-|-|----⌫-⌫|
ontbienraconté	--|---|-------|
lo rme ssage	--⌫|--⌫----|
sansuilenie et sa ns outra ge	---|------|-|--⌫-|-----⌫-|
lidesuoiant tous araisonnent	----|-----|---|----------|
etde dro iturelaraisonn ent	-|-|---⌫----||--------⌫--|
limessa gedientlides	-|-----⌫-|----|----|
toutsouauetet	---|------|-|
tout enp es	---|-|-⌫-|
athist em andeettereq uiert	----|-⌫|-⌫---|-|-|---⌫----|
la terrequ id elui	-|----|--⌫|-⌫|--|
qui eschaoi te est	--|-------⌫-|--|
et ses droisestet ses	-|--|----|--|-|--|
que tulirende s sans	--|-|-|-----⌫|---|
c ar ceestdrois	-⌫-|-|--|----|
nouslen chas samesagr ant	---||-|----⌫----||--⌫--|
e t que r ions trestuitsamort	-⌫|---⌫-⌫---|-------|-|---|
por s afemmequil	--|-⌫|----|-|-|
ot laissie e	-|-------⌫|
c ompaignon o t roiee	-⌫--------|-⌫-⌫----|
amisehautement	|---|--------|
etmou t est biena	-|---⌫|--|---||
sontale nt	--|----⌫-|
cilli ra s ase rourdonn ee	--|-|-|-⌫|--⌫---|----⌫-|
moitiede saco ntree	-----|-|-|--⌫----|
r i chese stdommesetd	-⌫-⌫---|-⌫-||----|-||
mout a en rom me grantpoo ir	---||-|---⌫-|----|---⌫-|
agran tcompaig nied ar me ́s	|----⌫|-------⌫--||--⌫--⌫-|
cesteterrearriués	----|----|-------|
lempereresestensaie	|--------|--|-||--|
tout esaterreaenb anie	----⌫|-|----||---⌫---|
niest rem es petisne	||--|---⌫-|----|-|
passéplusdequinz e	-----|---|-|-----⌫|
encesteterresontuenu	-|----|----|---|---|
i asont lipauei ll ont endu	-⌫|---|-|-----⌫--⌫-|-⌫---|
at hisrequiertsonnor de ca	--⌫--|-------||----|-|-|
seli rendés illa	-|-|------|-|-|
et se u ousne	-|-|-⌫--|-|
liuolés rendre	-|-----|-----|
u ous cuide moutchier	-⌫--|----|---|----|
ild oitauoirl onnor	-|-⌫--|----||----|
mieusque li nie sneque	----|--|-|---⌫|-|--|
l i frer e	-⌫|----⌫|
athis doitbie n laterreauoir	----|---|---⌫|-|----|----|
que nous ni sauons	--|---|||-----|
plusdroit oi r	---|----|--⌫|
s eignorhaut	-⌫-----|---|
hommeuous d a tha ine	----|---||-⌫---⌫--|
metésa tortenpaine	-----||---|-|----|
neuous les si é s des heriter	-|---|---⌫--⌫--⌫|---⌫------|
ne uos terre s	-|--|-----⌫|
porluigaster	--|--|-----|
athiss idemandeetsemont	----|-⌫|------|-|-----|
tousceuls qui	---|----|--|
en a thainesont	-|-⌫-----|---|
qu il litiegnen ta droi t	-|-|-|-------⌫||----⌫|
ne ni sueffrentguerre por lui	-|||--------|-----|--|--|
lessiéssat e rreto ldre	-------|-|-⌫-⌫--|--⌫---|
ca rcest damage estouu ra s oldr e	--⌫|---|-----|------⌫-|-⌫----⌫|
sencontrelui	|-------|--|
uol e ́s tenir	---⌫-⌫-|----|
cestui et l u i s onn orto lir	-----|-|-⌫-⌫||---⌫-|--⌫--|
tu itens er oisdesherit és	--⌫-|-|-⌫--⌫--|--------⌫--|
etlirichespouresclam és	-|-|-----|-----|----⌫--|
li dessen estleuése n	--⌫--||-|--|-----|-⌫|
seignor fait il de	------|---|-|-|
a t hi suous mandegrant oultr age	-⌫-⌫--⌫|---|----|----|-----⌫--|
quiuou s requiert son he rita ge	--|---⌫|-------|--|--⌫----⌫-|
il uousho nni cesaués bien	-|---|--⌫--|-|-----|---|
conques nuls	|-----|---|
honsne fist telrien	---|-|---|--|---|
don nastesluiuo s tr e parente	---⌫-----|--|--⌫-⌫--⌫|------|
cardionesquim out ert g en te	--------|--|-⌫--|--|-⌫--⌫-|
quidel amei llorge n testoit	--|-|-⌫|---⌫---|--⌫-⌫|-----|
qui ences tecontree soi t	--|-|---⌫-|------|---⌫|
a fai t teltr a ison	|---⌫|--|--⌫-⌫---|
et siuilainemespriso n	-|-|------|--------⌫|
quendormantmist	-|-|------|---|
oli ge sir	|-|--⌫--|
son compaignon	--|---------|
po rlih onn ir	--⌫|-|-⌫---⌫-|
apres li donna samoi llier	----|-|----|-|---⌫----|
onquesp o ru ous ne	-----|-⌫-⌫|-⌫--|-|
l uoltlessie r	|---|------⌫|
il a hon ni etnous et uous	-||---⌫-|-|---|-|---|
touslib la smes	---|-|-⌫--⌫---|
ene sts ordous	-|-⌫-|-⌫-|---|
p uis lenu oi aenautret erre	-⌫--||---⌫--⌫|-|----|-⌫---|
se sfrere nel po t p lus	--⌫|----|-||--⌫|-⌫--|
carcomme f elauoite r ré	--|----|-⌫-|----|-⌫-⌫--|
etf aitegrantdesloi aute	-|-⌫---|----|------⌫---|
toutesonnorauoit	----||----|----|
te rrem estescheue	--⌫--||--|------|
ce mestauis dr oisestet bie ns	-||--|---|--⌫--|--|-|---⌫-|
aparenttant soitprochiens	|-----|---|---|--------|
o restcilasrommains tornés	-⌫|--|--|-|-------|------|
os o ilesaciamenés	|-⌫-⌫|--||-|------|
don nélorano str econtree	---⌫--|--||--⌫---⌫|------|
mais ain s serachier	---|---⌫|---|----|
sesoruous m etésles	-|--|---|-⌫----|--|
des haus homm es ferontuilains	--|---|----⌫-|-----|------|
lirommainne se ue nt	-|------|-|--⌫--⌫-|
toutuoelent prendree t	---|------|------|-⌫|
desessillie ́sde troie	--|--------⌫-|-|----|
quimieus aimentdolor queioie	--|----|-----|----|--|---|
tous ioursu olentdestruireterre	---|----|-⌫----|--------|----|
ets offrir pai ne poraque rre	-|-⌫-----|---⌫-|--|----⌫--|
no strecites est	--⌫---|----|--|
boneet fors	---|-|---|
nous necremonspaslor effors	---|-|------|--|--|-----|
calla spa rlaapresli des	-----⌫|--⌫--|----|--⌫--|
qui fufr erescard iones	--|-|--⌫---|----⌫----|
mout lipoi s edesase rour	---|-|---⌫-⌫|-|-|--⌫---|
qu iltin tleplai tadesho nnour	-|-|---⌫|-|----⌫||-----⌫----|
quathisotfaitquan tl otdonnee	-|----|-|---|----⌫||-|-----|
etenautre terre	-|-|----|----|
di stausmess agesalésan	--⌫-|--|----⌫---|----|-|
c esachie ́sbi enqu e niertoa n	-⌫|------⌫-|--⌫-|--⌫||---|--⌫|
quathis preignen ulepartie	-|----|------|-⌫--|-----|
porceque nousnelam ons	--|-|--|---|-||--⌫--|
iamaisnau raparte ncestre gne	-----||--⌫-|---|-⌫|---|--⌫--|
iaa i lprise	-||-⌫|----|
ar omm efe mme	|-⌫---⌫|--⌫--|
so itricheshonse tsi	--⌫-|-----|---|-⌫|-|
e t nousrelaist en pais de	-⌫|---|------|-|---|-|
nauonsmestier d acoil lirge nt	|----|------||-----⌫--|--⌫-|
quino usmeiss e n t entorment	--|--⌫-|-----⌫-⌫-⌫|-|------|
at haineestrichee tass asee	--⌫----|--|----|-⌫|---⌫---|
n euolonspasquesoit trouble e	-⌫|-----|--|--|---|-------⌫|
lorsrespo ndentlime ssagier	---|-----⌫----|-|--⌫------|
uouslauerréstostcorroucier	---|-|------|---|---------|
rommeuous deffie	----|---|-----|
et athis etsacompaignie	-|----|-|-|---------|
si uerrois	-|------|
paruostrecontree	--|-----|------|
main teuil ear sse etrobee	----⌫-|---⌫|--⌫--|-|----|
entorn erentas	-|----⌫----|-|
etcil d ath ainessontre mes	-|--||---⌫----|---|--⌫--|
etcalase tliduslides	-|----|-⌫|-|--|----|
haut homme erent princepale s	---|----|----|-----|----⌫|
c estoientli seignordathaine	|-------|-|------||------|
au tregent	--⌫--|---|
aeulssetiennen tde	|---|-|-------⌫|-|
t restou t	-⌫------⌫|
etsi lescr o ienttoutdebout	-|-|--|--⌫-⌫---|---|-|---|
conroisetarm es etd estriers	------|-|---⌫-|-|-⌫-------|
ontatornés richese tchiers	--|-------|-----|-⌫|-----|
gu erred es ire n tli plui s our	--⌫---|-⌫--⌫---⌫-⌫|-|----⌫-⌫--|
cartrop estoient aseiour	--|---|-------||-----|
et lime s sagier sont uenu	-|-|--⌫-⌫-----|---|---|
autrefleroisontdescendu	-|---|-|--|---|-------|
auroi contenteta s	-|--|------|-|-⌫|
lapar ole d es	-|---⌫--|-⌫-|
iauer sathisn e ferontplait	-|---⌫|----|-⌫|-----|----|
porquoineanten	--|---|----|-|
l a ter reait	-⌫|---⌫-|--|
neprisentgairesceulsderomme	-|------|-----|----|-|----|
ci ldat ha iness on t mout r iche	--⌫||--⌫--⌫---|-⌫--⌫|---|-⌫---|
for th ommeso ntdegra nt pooir	---⌫|-⌫---|--⌫-|-|---⌫-|----|
asseson t rentes e t auoir	----|--⌫|-----|-⌫|----|
tui tlih ommedelacite	---⌫|-|-⌫---|-|-|---|
se nsont par deu erslu it orné	|-⌫|---|--|---⌫--|--⌫|-⌫----|
a th is respont orn ia	-⌫--⌫-|------|-||||
cheu alsimonte su s	----⌫-|-|----|--⌫|
compa ins faitil	-----⌫--|---|-|
oruous enui	-|---|---|
o r nia gairesquei eui	-⌫||||-----|--|-⌫|-|
quemaatistespor	--||-------|--|
c on enmenoi tenautr eregne	|-|-|-----⌫|-|----⌫|----|
oruo usr aatisdematerre	-|--⌫-|-⌫----|-|-|----|
queu ousl a	--|-⌫--|-⌫|
maidiésaconqu er re	|------||-----⌫--⌫-|
lorsmonterent maiscefutost	---|--------|---|-|-|---|
dontueissiésestormirl ost	---|--------|-------||--|
liforriercouren t par	-|------|------⌫|--|
porproie etpor au oir	--|----|-|--|--⌫--|
con quer re	---⌫----⌫-|
mou tiga ai g nentli premier	---⌫||--⌫--⌫-⌫---|-|------|
char giés	----⌫---||
en uiennen t liforrier	-|-------⌫|-|------|
car lacontreeert dauoirplai ne	--|-|------|--||----|----⌫-|
en pai sauoit	-|---⌫|----|
este ́athaine	----⌫|------|
pl usdecent ans	--⌫-|-|---|--|
q ueguer r enot	-⌫-|----⌫-⌫||-|
quenulege nt	--|---|--⌫-|
niguerreot	||-------|
hommedelacite	----|-|-|---|
estoient siass euré	-------|-|---⌫----|
ne sauoient arm esporte r	-|-------|---⌫-|-----⌫|
faireneioust er	----|-|-----⌫-|
namoient pasc heua lerie	|------|--|-⌫----⌫----|
tu itentendoienta clergie	--⌫-|----------||------|
to uslisa uoirsi ertdel m ont	--⌫-|-|--⌫----||--|--|-⌫--|
e tlorclergiepar toutfont	-⌫|--|------|--|---|---|
forsit a nt come ie uous di	---|--⌫-⌫-|---|-|---|-|
libachelerioneet har di	-|-------|---|-|---⌫-|
aromme liauquant al oi ent	|----|-|------|--⌫--⌫--|
etcheu al erieaprenoient	-|----⌫--⌫---|---------|
etapo r terlor garnemen s	-||--⌫-⌫--|--|--------⌫|
eta fairetornoiemens	-||----|----------|
moutpet itdeceulsiauoit	---|---⌫-|-|----||----|
gentquicesauoit	---|--|-|-----|
quant cil deden sceulsd eforsuir ent	----|--|-----⌫|----|-⌫----|---⌫--|
quilor pais ardent	--|--|---|-----|
etpristrent	-|--------|
fo rss ensont issuaban don	--⌫-||-|---|---||---⌫--|
lauei ssié s tantconfanon	-|---⌫-----⌫|---|-------|
callas etlides uontpremiers	-----|-|----|---|-------|
ensamb leoeulsmains c h eu aliers	------⌫-||---|----|-⌫-⌫--⌫-----|
premier issent del a cite	------|-----|-|-⌫|---|
mout furentgentementarmé	---|-----|--------|----|
u erse ulscheua uchen t pa rlaplaigne	-⌫--|-⌫--|-----⌫-----⌫|--⌫|-|------|
et ont oeul suneco mpaigne	-|--||---⌫|--|--⌫------|
debachelersde g reignorpris	-|--------|-|-⌫------|---|
qui estoi ent deguerreap ris	--|-----⌫--|-|-----|--⌫--|
et auoientbesoi ns	-|------|-----⌫-|
che ual iers pr is	---⌫---⌫---|--⌫-|
ceul s couendra lestorsoffrir	----⌫|-------||----|------|
sei l le pueentmainteni r	-|-⌫|-|-----|--------⌫|
e n ath ainepa rtoutc rierent	-⌫|---⌫---|--⌫|---|-⌫------|
li cri eour partoutal erent	-|---⌫---|--|---|--⌫----|
onques niait	-----|||--|
ne basne ha ut	-|--|-|--⌫-|
quiaubesoin gdeforsnenau t	--|-|------⌫|-----|--|--⌫|
lorssenissent licitoien	---||-|-----|-|------|
etlib o urgoisetli	-|-|-⌫-⌫-----|-|-|
lichano ineli	-|-----⌫--|-|
de guerremoutfole	-|-----|---|---|
n ierentmi eabesoing d eliure	|-----|--⌫||------|-⌫-----|
mieu s sauo ientgarder	----⌫|----⌫---|-----|
uest uor en t	----⌫|--⌫--⌫|
lorc hapes lees	--|-⌫----|---|
b otesorentch aucees	-⌫---|----|--⌫-----|
n esor entaub e soingquedire	-⌫|---⌫--|-|-⌫-⌫----|--|---|
moutfirentbienadesconf ire	---|-----|---||-------⌫--|
lipremier quideuantaloient	-|------|--|-----|------|
besoing estéauoient	------|----|------|
lesofferront e ncor	-|---------|-⌫---|
c ar ne ser a quilorait	-⌫-|-|---⌫|--|--|--|
parmilecham pbrochecalas	----|-|----⌫|-----|----|
e tuaitioindre	-⌫|---|------|
apr ocelia s	|--⌫------⌫|
por s aseror forment li gri eue	--|-⌫|----|------|-|---⌫--|
quilenmen a	-|-|-|---⌫|
dat h aineouere	|--⌫-⌫---|-|--|
moutparlit orneagran thontage	---|--|-|-⌫---||----⌫|------|
il liferasilpu e tdomage	-|-|---||-|--⌫-⌫|-----|
sorlesescus	--|--|----|
s orles hiaumesqui	-⌫-|--|------|--|
aorluisent	|-|------|
sefiere nt si de sbra nsmolus	-|-----⌫-|-|--⌫|---⌫-|----|
que lescercl esenont	--|--|-----⌫-|-|--|
p roceliasfier tsonserorge	-⌫-------|----⌫|--|------|
quid elalancelescolo rge	--|-⌫|-|----||------⌫--|
tellidonna delbran cdacier	--|-|----|--|----⌫||----|
queles arconsli	--|--|-----|-|
fis tuoidier	---⌫|------|
a terre fu re ntliromma in	|----|--⌫--⌫-|-|-----⌫-|
sempresfurent	------|-----|
d e lui proch ain	-⌫|--|-----⌫--|
lir o mmain	-|-⌫-⌫----|
etprocelias	-|--------|
l en menerentplusquel e	|-|-------|---|--|-⌫|
puislecon duientens at ente	---|-|---⌫-----|-|-⌫|-⌫---|
deluise c orre n aatente	-|--|--⌫-⌫---|||-----|
ath is brocheetalidespo in t	---⌫-|-----|-||----|--⌫--⌫|
e tses cousins	-⌫|--|------|
uerslirepoint	---|-|------|
sis entrefier ent	-||---------⌫--|
quescli ces	-|-----⌫--|
fontdelfust fresnin	---|--|---|------|
o utre senpassent a l	-⌫---||-|------|||
quantlide sfuentreles lour	----|----⌫|-|----|--|---|
n esens ot mie bienpar tir	-⌫||-|-⌫-|--|---|---⌫--|
nedesonpoindrebienguenchir	-|-|--|------|---|-------|
