s eig nors preueire	-⌫---⌫---|-------|
asesa postres s iiaiosta e	|--|-⌫------|-⌫||-----||
u osauezoi	-⌫-|---|-|
fist ilque fut dit	---|-|--|--|--|
aus an cienstu nociras	--|--⌫----|-||-----|
pas les anciens	--|--|------|
apele ceusde laueillelei	----|---|-|-|-----|--|
futdite deffendu	--|--||-------|
quil nefeissent ho micidee qu i	-|-|-|-------|--⌫-----||--⌫|
o fereit sisereitsiforfa i z	|-----|-|-----|-|-----⌫-⌫|
quil sereitdignes des tre	-|-|-----|-----||--⌫--|
iugezedistenla	----||---|-|-|
nouele lei	-----|--|
q uec il qu i se	-⌫-|-⌫-|--⌫|-|
corrocer eitob son	--------⌫--|-|--|
pros me quilsere i tcopables edig nes	----⌫-|-|-|----⌫-⌫|-------||---⌫--|
deiugement	-|-------|
receiuree sgardezcumefforce	-------|-⌫------|--|------|
leschosesenla nouelelei quant	--|-----|-|-|-----|--|----|
cilquif isth omicid e	--|--|-⌫--|-⌫------⌫|
ueille leifaseitsigrant mauqu	-----|--|-----|-|----|--|-|
es teit d ig nesdei ugem entore	--⌫---|-⌫--⌫--|-|-⌫----⌫--|--|
cedist dexen la	-|---|--|-|-|
nouelele i quecillo faitautresi grant	-----|--⌫|--|--|-|---|------|----|
corroceob sonprosmeado nciugemen t	------|-|--|-----|---⌫-|-------⌫|
li om ici desorelodesertcilquisecorroce	-|--⌫---⌫--|--|-|-----|--|--|-|------|
prosmeias eit ceuque s	-----|-|-⌫--|--|--||
ilse corroceobsonpr os me	-|-|------|-|--|--⌫--⌫-|
nepuetestre dampnezde	-|---|----|------|-|
son pechetel	--|----|--|
iugementdommequar ilcuiltal afee	-------||---|---|-|----||-⌫|--|
mas c illoiugera quiue itles	--|-⌫-|-|-----|--|--⌫-|--|
pensersda uscuers	------|--⌫-|----|
sidistplus enl euangiledui	-|---|---|-||-------||-|
ecis tm oz s i gnif ie	|---⌫|-⌫-|-⌫-⌫----⌫-|
legro ndilleme ntqueliunsfaitalautre	-|---⌫--------⌫-|--|-|--|---|||----|
estpar ire e	--|--|--||
pard espit si i lfo r faittan t	--|-⌫----|-|-⌫|--⌫-⌫---|---⌫|
quil uersluisesg rointc	-|-|---|--||---⌫----||
est dist quil est	--|---|-|-|--|
dignesquelom	-----|--|--|
assenblastl esueisins	---------|-⌫-|------|
elomesg ar dast par communau esgart	|--|---⌫--⌫---|--|-------|-----|
p ariugeors	-⌫-|------|
parquaupe c he cildeureit con pr er lo	--|---|--⌫-⌫-|--|------|---⌫--⌫-|-|
pech eq u il	----⌫|-⌫|-|
aur eitf ait en coredistplusque ci lqui dira	---⌫--|-⌫--|--⌫---|---|---|--|--⌫|--|---|
prosmecilcedista iceleorequant	-----|--|-|---||----|--|----|
lanoue lelei ente rrequ icla mereit sonprosmefou	-|----⌫-|--|-|--⌫--|--⌫|---⌫-----|--|-----|--|
pard espit	--|-⌫----|
de luicilsereitcopab l ese	-|--|--|-----|-----⌫-⌫-||
dig nes daufuc d enfer	---⌫--|--|--||----|
seignorsescotezeentendezq uela	-------|------||-------|-⌫-|-|
bochedista iez	----|---|-⌫--|
creme deuosmeismes oi ez	----|-|--|------|--⌫-|
cumest g rantpechede	--|--|-⌫---|----|-|
seicorrocerede seiesgroindre uers	--|-------||-|--|---------|---|
d ecl a mersonprosmef ouen d espitde	-⌫|--⌫-⌫--|--|-----|-⌫-|-|-⌫----|-|
lui entendez	--|-------|
icesteschosess unt granz	------|-----|-⌫--|----|
pechezchastiez	-----|-------|
corroceredeg roindreso lement	-------||-|-⌫------|--⌫-----|
uozboch esequeuos	--|----⌫-||--|--|
folie liunsal autre	----|-|--|||----|
retenezlaparole que dex	------|-|-----|--|--|
distquecil quic lai me	---|--|--|--|-⌫---⌫-|
sonprosmefoudesser t	--|-----|--|------⌫|
l espei nes denfer e	-⌫-|---⌫--||----||
ne l auezbienfaitcaienarrere	-||---|---|---|--|-|-----|
faitesl obend e s	-----|-⌫|--|-⌫-⌫|
or e enauan tquant uossau r ez	--⌫|-|----⌫|----|--|---⌫-⌫-|
queuosaurez meffa it	--|--|----|-----⌫-|
ou mes d ita autred aucunechos e ouq uant	-|---⌫-⌫-||----||-----|----⌫|-|-⌫---|
aura aucunerancure	---|-----|------|
uersuosaccordezuosob	---|--|-------|--|-|
lui quardist s i tuesuenuzdauant	--|---|---|-⌫|-|-|----|-----|
mon au ter	--|--⌫--|
e ot e remenbre quetu asme ffaitoum esdit	||-⌫|-------|--|-|-|--⌫----|-|-⌫----|
d aucunechosedontil seplaigne	|-----|----|---|-|-|------|
i quit off rendedauantmonauter	-⌫--||---⌫----|-----|--|----|
ainzq uetu	-----⌫-|-|
of fr isses quargenereceurai	--⌫--⌫----|---|-|-|-------|
ton donnetoffrende tantcumtu seies malement	--|--|-||-------|---|--|-|----|-------|
dauanttonprosmeor	-----|--|-----|-|
esgardezb onesgenzqu e	-------|-⌫---|---|--⌫|
distdexune merueil lose	---|--|--|-------⌫---|
cho sequelom	---⌫-|--|--|
dei tlaisser	---⌫|------|
s offerende dauantsonauter e puiss ei	|--------|-----|--|----||---|-⌫-|
acorder o b	------|-⌫|
son prosme quarlom	--|-----|---|--|
nedeit miesoffrende tolir	-|---|--||-------|----|
a de desic eleore	|-|--|--⌫--|--|
qu e lom a propos é en soncuer	--⌫|--||------⌫-|-|--|---|
qu ele deite streoffrie adecha stiezuos	-|--|---|-⌫---|-----||-|---⌫----|--|
folie lesunsaus	----|--|--|--|
a utres e de fairemauqueuos	-⌫----||-|----|--|--|--|
pu iss ezes c haperd aus pe in esdenfer entendez a	--⌫---⌫-|--⌫-⌫----|-⌫--|--⌫--⌫-||----|-------||
lautrequ euos enaiezlo regn edu rable	|----|--⌫|--|-|---|-|----⌫|--⌫----|
n os trouom en	-⌫-|-----|-|
l eua ngiled	|---⌫----||
uiqueunefezesteitm otgran z	-|--|--|--|-----|-⌫-|----⌫|
genzenuironsin	---|------|-||
aueientque i	------|---⌫|
ilmengas sen tnostre sires	-|------⌫---⌫|-----|----|
apela se s diciples	----|--⌫|-------|
ge ai pitedeceste	-|-|---|-|----|
gentquarilont yy	---|---|-|--|-|
iorsestéen uiro nmeisi	---|----|--⌫----⌫|--|-|
n ontquemen ger esilesenlais	|--|--|---⌫--||-|--|-|---|
aler deueiril	---|-|---|-|
defaildrontenla ueie qu ar il	----------|-|-|---|--⌫-|-|
a ditaulsqui s unt	||-----|--|-⌫--|
d eloiguenuadoncsi dist rent	-⌫|---|---|----|-|----⌫---|
sidicipl equi	-|------⌫|--|
p orroitsi grantge nt sao leren cest egastine	-⌫-----|-|----|--⌫-|---⌫--|-|----⌫|------|
qua nzpai nsauezuous dist	---⌫-|---⌫-|---|---|---|
septfire nt il	---|----⌫-|-|
ecomandal ag entaasseera	|------|-⌫|-⌫--||-----||
ter re epri st	---⌫-||---⌫-|
septpain sezzpoi depei sso ne	---|----⌫||-|--|-|---⌫---⌫||
comma ndaque	-----⌫--|--|
l ommesistdauant la	-⌫-|-----|-----|-|
gentsime n ger eientiquie	---|-|--⌫-⌫---⌫----|---||
fure ntsaol édausseptpains	----⌫-|----⌫-|---|---|----|
ent oryyhommese derelef	---⌫-|-|-----||-|----|
iotsept c orbeilles	|-|---|-⌫--------|
pl ainesseig norsbeausestici stmiracles	--⌫----|----⌫---|----|--|---⌫-|-------|
adon cee ncoreuosb esoignereitou	----⌫||-⌫----|--|-⌫----------|-|
que ilfeist de	--|-|----|-|
sesbeles uertuzeles	--|----|-----||--|
fait quantil u eautlasoe	---|----|-|-⌫---|-|--|
merc i ma s estbeaus li mira cles quant	----⌫|--⌫|--|----|-|----⌫---|----|
naistredungrain	------||-|----|
yyou yyo u yy	-|-|-|-⌫|-|
bea uslimir aclesq uant dex	---⌫-|-|---⌫----|-⌫---|--|
fait naistred	---|------||
beauchesn ei ss ifaitdex	---|-----⌫|-⌫--⌫|---|--|
desesbelesuertuz	-|--|----|-----|
quantilfaitnaistre	----|-|---|------|
lo fruitdelaterr eetotes	-|----|-|-|----⌫||----|
leschosesqu isuntbosoignablesacors	--|-----|--⌫|---|-----------||---|
d omm e sostenir	|---⌫|-------|
mesautresi	--|------|
paistcorporaument	----|-----------|
ausinosbosoi gner ei te	---|--|-----⌫----⌫--⌫||
pluse ncorequi lno spaisse	---|-⌫----|-|-⌫|--⌫|-----|
espiritau ment oun os	---------⌫---|-|-⌫-|
besoignequil nospaisse	-------|-|-|--|-----|
lescorsep ui sn osbesoig n e qu	--|---||-⌫--⌫|-⌫-|------⌫-⌫|-|
ilnospaisse	-|--|-----|
no s armeseille sfa it e	--⌫|----||-|--⌫|--⌫-||
ferasi ennos nerema int	---|-|-|--|-|----⌫--|
merci quarilmeism esqui	----|---|-|-----⌫-|--|
saolacor poraumentla	----|---⌫--------|-|
gent dontlie ua ngilesd	---|---|-|-⌫--⌫-----||
parle desep tpai nsed un	----|-|---⌫|---⌫-|||-|
poide pei sson	--|-|---⌫---|
nossaolera	--|------|
espiritaum entsin os uolomor oiezcumli	----------⌫--|-|-⌫-|----|-|---|--|-|
s ept pain sign ifient lasai nte escriptureda useu angiles	-⌫--|---|----⌫-----|-|---⌫--|---------|--⌫-|--⌫------|
quipa r la	--|--⌫|-|
g racedausain t	-⌫---|--|----⌫|
esp erit est	---⌫---|--|
ma istres de sainte	--⌫-----|-|-----|
igleselipeisson s ignifi ent la	-----|-|------|-⌫------⌫--|-|
uiedausapostr es edausmartirs e da usconfessors	--|---|------⌫-||---|------||--⌫-|---------|
ed aus bonsamic s	|-⌫--|---|----⌫|
qu iiadisf urenten	--⌫|----|-⌫----|-|
lamertu me	|------⌫-|
eonbaratde	|-|----|-|
c estsecle si cum	-⌫--|----|-|--|
li peisson	-|------|
sunte nlamer mesle sen atraizpar	---|-⌫|-|--|--|--⌫|-||----|--|
si lesa mis ensa	-|--||--|-|-|
gloire e n ospais tp ar	-----||-⌫-|----⌫|-⌫-|
gra cenosarm esdau ssaintes escriptures quan t	---⌫-|--|---⌫-|---⌫|------|----------|----⌫|
lom nosditlessonssainz	--|--|--|--|---|----|
c omandemenze les	-⌫---------||--|
bonesour esqueliapostref irenteliautre	----|---⌫-|--|-|------|-⌫----||-|----|
amice n dementrequil	---|-⌫-⌫---------|-|
furenten cest sec lee	-----|-|---|---⌫-||
issi n ospaistde se pt pains	---|-⌫-|----|-|--⌫-|----|
ed unpoide	||-|--|-|
peissonsien nos	------|-|-|--|
ne defailtor esgardez	-|------|-|-------|
que uo s armesnemorentde faimd aus espiritaus	--|--⌫|----|-|-----|-|---|-⌫--|---------|
u iandes am ez lecon se il deuosarmesgard ezque	-⌫-----|--⌫-|-|---⌫--⌫-|-|--|----|----⌫-|--|
uosneperdez	--|-|-----|
por soff r et e d enseigneme nt	--|----⌫-⌫--⌫||----------⌫-|
quiuait ade	--|---||-|
amezaoirla	---||--|-|
parolee lesessanpl es	-----||--|-------⌫-|
de ses bon samis ai ezfaimdel a uiand e	-|--|---⌫|---|--⌫-|---|-|-⌫|-----⌫|
espir it au	-----⌫--⌫-|
par quenozar mesdeuent estresa olees esostenues	--|--|--|--⌫--|-----|----|--⌫----||--------|
plusquedela u iandecorpor auparque	---|--|-|-|-⌫----|------⌫-|--|--|
li corssuntsostenuneporquantili	-|---|---|------|---------|-||
aassezde ceaus	|----|-|----|
qu i suntcouei tou sdelauiand ecorporaue de	--⌫|---|-----⌫---⌫|-|-|-----⌫|-------||-|
uiande e spirital nelic hautmaintesarmes sunt	-----|-⌫-------|-|-|-⌫---|------|----|---|
masila i entsolementamengerea	--|-|-⌫-⌫--|-------||-----|||
l o uentr e	-⌫|-----⌫|
plaincomep o rc nelo r en chaut	----|---|-⌫-⌫-|-|--⌫|-|----|
de l auian de a	-|-⌫|----⌫-||
la rme nontil	|-⌫--||--|-|
cur enequefai re	---⌫|-|--|---⌫-|
noir laparolede nede	|--|-|-----|-|-|-|
lui parler	--|-----|
lor ententes ous ch osester rienes	--|-------|--|--⌫---|---⌫-----|
etqu iquer ent	-|--⌫|----⌫--|
eloruentres fars ircome	|--|------|----⌫-|---|
bestes mues font	-----|---|---|
o u nenos bosoig nepas quissiou	-⌫|-|--|------⌫-|--|-|---|-|
facom an ceisnos	----|--⌫---|--|
besoigne quenosse iom	-------|--|--|--⌫--|
ente ntisaus chosesqui	----⌫---|--|-----|--|
apartene n tanoz	--------⌫-⌫||--|
armes sauuerc estacea us	----|-----||--||---⌫-|
mestr esla paroledeaoirqui sunt	-----⌫-|-|-----|-||--|--|---|
de l oiguenu	-|-⌫--|---|
cils unt de	--|-⌫--|-|
l oig uenuquimauontfait cai en	-⌫--|---|--|--|--|---|--|-|
quar detant cumli homde maiorpe che	---|-|---|--|-|--|-|----|--⌫--|
de tantestilde plu s	-|---|--|-|-|---⌫|
loiguenuzedetant a ilmaor	---|----||-|---||-|---|
me sterdoirlaparolede	--⌫---||--|-|-----|-|
e loconseil	|-|------|
da ussaintez	--⌫-|------|
par queiilse deitacorderaor	--|---|-|-|---|------||-|
n ospaissomdo n quesd e	-⌫-|------|--⌫-⌫---|-⌫|
taupainque nos puissom	--|---|--|--|------|
on ceausmonter	-|----|-----|
dameredexenseigneenleuangiledui	--------|-------|-||-------||-|
que nos nos gardomdau sf ausprech eors silue ne nt	--|--|--|-----|---⌫|-⌫--|-----⌫---||-|--⌫--⌫-|
quei aseit c euqu ilseientuestide	--|-⌫|---|-⌫-|-|-|-----|----|-|
ue steuresdoeille	--⌫------||-----|
si s untillop rauissablelo prauissable	-|-⌫--|-|--|---------|--⌫|---------|
apeletfauspreche orpar	-----|---|------⌫-|--|
lagrantcoueiti se dontils unt	-|----|-------⌫-|---|-|-⌫--|
plain epo r ceu qu il	----||--⌫|--|-|-|
n e uenen t porautrechos e	-⌫|-----⌫|--|----|----⌫|
sipor trairen on	-|--|-----|-⌫-|
laueralagent	|---||-|---|
aeau sparfause	|---⌫|--|----|
pr edicatione	--⌫--------||
no saprent benac o noi stretau	--⌫|-----|--||-⌫-⌫---⌫---|--|
manere dege nt	-----|-|--⌫-|
enleuangiled	-||-------||
uiqua r c edist	-|---⌫|-⌫|---|
fru izcestpa rloroures	---⌫-||--|--⌫|--|----|
lesconois trom	--|------⌫---|
e silesnosmostreparsenblance	|-|--|--|-----|--|--------|
quarce di st	---|-|--⌫-|
coiltmi edausespin esgra pes nedechardons	----|--⌫|---|-----⌫-|---⌫--|-|-|-------|
pomme slibon s arbr esd itfai t lo bon	-----⌫|-|---⌫|----⌫-|-⌫-|---⌫|-|--|
fruitli bonsarbresnepuet pas faire	----|-|---|-----|-|---|--|----|
ma lu aizfruiz	--⌫--⌫--|----|
li mausarbresn epuetpa s fair ebonfrui t	-|---|-----|-⌫|---|--⌫|----⌫|--|----⌫|
ce ditqu inefait	-|--|--⌫|-|---|
fruit seratrenchez emi s	----|---|-------||--⌫|
onfuclarbreapel e ilh ommeli	-|--||----|----⌫|-|-⌫---|-|
bonsarbresc	---|-----||
libonsho mlobonfruit c estl a	-|---|--⌫|-|--|----||--|-⌫|
b oneourequil	-⌫--|---|-|-|
faitli mauuaizarbrec	---|-|------|----||
est li malua izho mli	--|-|-----⌫-|--⌫|-|
maluai zfruitcestla maleour e	------⌫|----||--|-|---|---⌫|
qu ilfaite la	-|-|---||-|
mal e uie qu	---⌫|--|-|
ildem ainelibons arbres faitlobon	-|---⌫---|-|---|-----|---|-|--|
fruitquarl ibonshomfait icele s	----|---|-⌫|---|--|---|-----⌫|
chosesquia de	-----|--||-|
maluaizfaitue rsceuquili	------|---|--⌫-|--|--|-|
arbrescedi t qui	-----|-|--⌫|--|
nefaitfruitseratre nchez	-|---|----|---|---⌫----|
emi s onfucquar li	|--⌫|-|--|---|-|
faus crestienqui neuol e nt	---|-------|--|-|---⌫-⌫-|
faireiceleschosesquedex coman de	----|-----|-----|--|--|-----⌫-|
enon mie s olen til	|--|--|-⌫----⌫|-|
mastuitcilqui ne	--|---|--|--|-|
uolentobeira	-----|----||
sescomandeme nz si l	--|---------⌫-||-⌫|
nesamendentseront trenche ́emison fuc	-||-------|-----|-------⌫||--|-|--|
c estilseront ostéde cesteuiee	|--|-|-----|----|-|----|--||
d urablee que lifausprecheor nequident ne	-⌫-----||--|-|---|-------|-|------|-|
meismesnecui dom	------|-|---⌫--|
quilna u tremaluaisesge nz	-|-||-⌫-⌫--|--------|--⌫-|
m aluaise u iemainentpuiss entestre	-⌫------|-⌫-|------|-----⌫--|----|
sauparaucun	--|--|----|
nosmostreen la finde	--|-----|-|-|--|-|
leuangil e	|-------⌫|
li fausprecheor n	-|---|-------||
autremalu aise genz ne	----|----⌫---|---|-|
pue ntentrer	---⌫-|-----|
on regneparsol ementbendir e	-|----|--|---⌫----|--|---⌫|
silnefont obtot	|-|-|---|-|--|
lour echascunsce d it	|---⌫|-------|-|-⌫-|
dexquimeditsire	--|--|-|--|---|
nenterrapa sen mon regne	|------|--⌫|-|--|----|
daus ce aus sei gn orsorpoez	---|--⌫--|---⌫--⌫--|-|---|
cump etitprofiteaus	--|-⌫---|------|--|
faus precheorsne	---|--------|-|
malu aisesg ens	----⌫----|-⌫--|
diredesque ilnel ofont	---|-----|-|-|-⌫|---|
nene lometentacurepern ezuos	-|-|-|-----||---|----⌫-|--|
gardesicum	----|-|--|
di ston c omencementdele uangile dui	--⌫-|-|-⌫---------|-||-⌫------||-|
plusque uospoirezcestquant precheor	---|--|--|-----||--|----|-------|
sil suntueraiou nonc est sil	|-|---|----|-|--||--||-|
preche ntuerteoumenconges	------⌫-|----|-|-------||
uer ai precheor	---⌫-|-------|
e ilsun tbonhomeoiezlesuolun ters d onez	|-|---⌫|--|---|---|--|-----⌫---|-⌫---|
l oruosaumosnes sil les uos	-⌫-|--|-------||-|--|--|
r equerent par eaus ou	-⌫-------|--|---|-|
parautrui si uosente ndez qu	--|-----|-|--|----⌫---|-|
ilse i e nt faus prec heo r	-|--⌫-⌫-⌫-|---|----⌫---⌫|
oumaluai sesgenzlaiss ez lesalersi cumil	-|------⌫--|---|-----⌫-|--|---|-|--|-|
uenguirent ore	---------|--|
laissomester	------|----|
les fa us pr echeorse	--|--⌫-|--⌫------||
e s gardom uersnos m eismes qu inossomes	-⌫-⌫-----|---|--|-⌫-----|--⌫|--|----|
e esgardom	|-------|
uer sno s qui suntnos tr e corage e quaus	---⌫|--⌫|--|---|---⌫--⌫|-----||----|
suntnosobresdeforsesgard om quauarbre	---|--|----|-----|------⌫-|---|----|
som mesquaufruitn os	---⌫--|---|----|-⌫-|
p ort om c estquau	-⌫---⌫-||--|---|
f esomcre momceuquedexman aceau	-⌫---|---⌫--|--|--|--|---⌫--|-|
il seratrenchezemi sonfucsei om bon	-|---|-------||--⌫|-|--|---⌫-|--|
arbreefasombonfruit c	----||----|--|----||
estseiombon	--|----|--|
efasombones	|----|----|
ou resquenos puissom auer	--⌫--|--|--|------|---|
lauiedurab le	-|--|-----⌫-|
nostr esir enosa parléen leuang iledui	-----⌫|---⌫|--||-----|-||-----⌫--||-|
m ostre paressanplequenos deuo m garder lo ben	-⌫----|--|-------|--|--|----⌫|-----|-|--|
q uilam isennosesinos ne	-⌫|-||-⌫-|-|--||-|--|-|
lauomgardé issi	|---|-----|---|
cumnosdeguissom s inos m ostre	--|--|--------|-⌫|--|-⌫----|
comen t n os nos	-----⌫|-⌫-|--|
deuomu erslui conteniream enderou	----|-⌫--|--|-------||--⌫----|-|
zzp rodom qui a ueitzzsonmaor	-|-⌫----|--|-⌫---|-|--|---|
quili deue it	--|-|----⌫-|
un esoe uile garde rsi o it dire	--⌫|--|---|-----⌫|-|-⌫-|---|
l iprodomque li	-⌫|-----|--|-|
maires a ueitdegasté	-----|-⌫---|-------|
son benem isa mau	--|--||-⌫-||--|
parlal ip r odomobluiesi	----|-⌫|-⌫-⌫---|-|--||-|
lid istrentmefi st	-|-⌫--|---|-|--⌫-|
raison detamaorie e	-----|-|-|-----||
neuoilplus que	-|---|---|--|
maires e quantoit ceu lima ires	-----||----|--|--|-|--⌫---|
