laiieperdue	|-|-|-----|
ounaiez eneaus	-|----|-|---|
ouserasifort	-|---|-|---|
iames neleuerrez	----|-|-|-----|
lequeurplus	-|----|---|
por rola nt	--|----⌫-|
quantenronceuau smortrecut	----|-|--------⌫|---|----|
parganelon qui	--|------|--|
oceneuois ie pas	|-|-|---|-|--|
audeable le	-|-----|-|
ieleu o droi eauoirpandu	-|-|-⌫-⌫----⌫|----|----|
qu isi mamon poe ure	--⌫|-|||--|---⌫--|
conpainz ne uos chailledu	-------|-|--|------|-|
au t reu enianceenco nuient prandr e	--⌫-⌫-|-⌫------|-|--⌫-----|------⌫|
neuos affiertp ascist offices	-|--|------|-⌫-|---|------|
bien en co nui e gn eacesioutices	---|-|--⌫---⌫-⌫--⌫||--|-------|
mespartraison l ebolez	--|--|------|-⌫|----|
conseillcroire uo lez	-------|-----|--⌫--|
conpainzace	-------||-|
consei llmacort	------⌫-||----|
ian istraime sdece st a cor t	-||-----|--⌫|-|--⌫-|-⌫---⌫|
nepo r quantse u osseus s iez	----⌫-⌫----|-|-⌫-|----⌫-⌫--|
aucuneartdo m	-----|--|--⌫|
uoieeussi ez	---|-----⌫-|
aucunemanier e	-----|------⌫|
duchas t el prendrepl usleg iere	-|----⌫-⌫-|------|--⌫-|---⌫---|
uodroiebienen tendre	------|---|--⌫-----|
soulame uo liezaprendre	|-|-|-|--⌫---|-------|
che mi nbel etge nt	---⌫--⌫|--|-|--⌫-|
mesiln est preu zapou re	--|-||--|----⌫||---⌫-|
conpainzauc hast eldes confire	-------|-|-⌫----⌫-|---⌫------|
bi enp lusbriefuoieeslire	--⌫-|-⌫--|----|---|-----|
sanzmonart	---|--|--|
ma doctrine	-|-------|
laforterece deuenue	-|--------|-|----|
iani aur oitporteten ue	-|||---⌫--|----|---⌫-|
tretuit selesseroientprendre	------|-|----------|------|
ne striens	|-⌫-|----|
quil epeus tdeffendre	--|-⌫|----⌫|--------|
nusnios eroitmot soner	--|||--⌫----|--|----|
lichem ins anontrop	-|----⌫--||--|---|
folelargece	---|------|
quimainzamanz iafonda	--|----|----||-----|
ieconnoistropbienle sentier	-|------|---|---|-|------|
ca r iem enissiaua n t ier	--⌫|-||-|---|---⌫-⌫|--|
etpelerin s iaiesté	-|-------⌫||-|----|
plusdun yueret	---||-|---|-|
large cele sserezadestre	-----⌫-|--⌫-----||-----|
etuoustorreza mainsenestre	-|---|-----||---|-------|
uosn au roiz iaplusd	--||--⌫---|-|---||
unea r chiee	--|-⌫-⌫----|
l asentebatue marchiee	-⌫|----|----|-------|
sanz poin tus eruos tresouler	---|----⌫|--⌫-|---⌫--|-----|
q ueuos uer re zles m ursc rouler	-⌫-|--|---⌫--⌫|--|-⌫--|-⌫-----|
etchan ce lertourzet	-|----⌫--⌫--|----|-|
torne l es	-----⌫-⌫-|
nese rontne beles	-|--⌫---|-|----|
ettoutpareus	-|---|--|--|
our ir lespor te s	---⌫-|--|---⌫--⌫|
p ornea nt fu ssentlesgenzmort es	-⌫-|---⌫-|--⌫----|--|---|----⌫-|
de cel epartestli ch asteaus	-|---⌫|---|--|-|--⌫------|
sifo iblesqu	-|--⌫----|-|
unsratiz ga st ea us	--|----|--⌫--⌫--⌫-|
estplus forza partiren yy	--|---|---||-----|-|-|
quen es un tlimura	--|-⌫|-⌫--⌫|-|--||
parlaseroit ilpristanto st	--|-|-----|-|---|-----⌫-|
il niconue nd roitpas	-|||-----⌫--⌫---|--|
feroit a challemaine	-----||----------|
s iluoloit conquer re le	|-|-----|-------⌫-|-|
encecheminmien	-|-|-----|---|
esci entre	----⌫----|
poures h om n ulef oiznientre	-----|-⌫-|-⌫--|-⌫--|||----|
nusn ipeutpou rehome	--|||---|---⌫-|---|
ipeutassener	|---|------|
mesquidedanzm ene ́l aur oit	--|--|-----|-⌫---⌫||---⌫--|
maintenan tle	---------⌫|-|
chemin sauroit	-----|------|
autresincbien	--------|---|
c on iesauroie	-⌫-|-|------|
iasibienapris	-|-|---|----|
nelauro ie	-||----⌫-|
uosples t uosle saurez	--|----⌫|--|-|-----|
c a rasseztostapris laurez	-⌫-⌫|----|---|----||----|
s e sanzpluspoezgran t auoir	-⌫|---|---|---|----⌫|----|
pordespansoutrageus au oir	--|------|--------|--⌫--|
mesieneuo simainrepas	--|-|-|--⌫||-----|--|
poure temau aélepas	-----⌫-|||-⌫--|-|--|
a l issirlemedeff e ndi	||----|-|-|----⌫-⌫--|
quanque iau o ieidespendi	------||--⌫-⌫-||-------|
et quanqu e delautruirecu i	-|------⌫|-||-----|----⌫|
t ouz mescr eanciersen decui	-⌫--|--|--⌫-------|-|----|
ienenpuis nulpaier	-||-|---|--|----|
senmedeuoitpend r eou naier	|-|-|-----|----⌫-⌫|-|----|
niuenezdist eleiames	||----|---|--|----|
puisqu ad espendre	-----||-⌫-------|
uo us ientre rezmouta	--⌫-||-----⌫--|---||
se r i checeneu os	-|-⌫-⌫----|-|-⌫-|
tou z c elsqueli con duit	---⌫|-⌫--|-|-||---⌫---|
auretourrefu secondui t	-|-----|----⌫-|------⌫|
a lalero uoss ete nra	||---||--|-⌫|--⌫--|
mes ia neuosen ramenra	--|-|-|--|-|------|
etdet antsaiezasseu r	-|-|-⌫--|----|-----⌫|
sous ientrezparnuleur	|--||-----|--|--|--|
ia n en itroiz nas o irna	-||-|-----|||-⌫-⌫-|||
sepo ureten im etlam ain	-|--⌫----|||-⌫-|-|-⌫--|
parcui sunten	--|--|---|-|
destrec emaint	-------⌫|----|
dedenzfole largecemaint	-----|---|------|----|
q uinepen sear iensforsageus	-⌫-|-|---⌫-||-⌫---|---||---|
etadespens fereoutrageus	-||------|---|--------|
q ueldespentausincsesdeniers	-⌫|-|------|-----|--|------|
elles puisas t	-|--|------⌫|
engreniers	-|-------|
sanzcon ter	---|---⌫--|
et sanzmesurer	-|---|------|
conbienqu ecedoi e durer	---------⌫|-|---⌫|----|
pouretemaint alautre chie f	------|----|||----|----⌫|
plei ned e	----⌫-|-⌫|
hont e etdemechief	----⌫|-|-|------|
quitropseuffreauque urgranzmo lestes	--|---|------|-|---⌫-|----|--⌫-----|
t ant fet dehonteu se s requestes	-⌫--|--|-|------⌫--⌫|--------|
et tantotdedurs esconsdiz	-|---|-|-|---|--------|
a nebons fezne bonsdiz	|-|---|--|-|---|--|
ne delitables ne	-|---------|-|
iasines erabien	-|-|-|-⌫--|---|
qu e chascu ns seseuuresneblasme	--⌫|------⌫-|--|-----|-|-----|
chascunsla	-------|-|
ui stoie etmesasme	--⌫----|-|------|
mesdepoure te ne uos	--|-|-----⌫-|-|--|
forsdepenser conmentqu il ail le	---|-|-----|--------|-|---⌫-|
conme ntl apo rr oizescheuer	-----⌫-|-⌫|--⌫--⌫--|-------|
riensn epeut	----|-⌫|---|
tanthomegreuer	---|---|-----|
conme choairenpo ur ete	----|-----|-|--⌫--⌫--|
ceseuentbien li endeté	-|-----|---|-|------|
quitout leleur	--|---|-|---|
on tde spendu	--⌫|--⌫-----|
maint ontest éparl uipendu	----|--|---⌫-|--|-⌫-|----|
bien le re s euentci let dient	---|-|--⌫-⌫----|--⌫|-|----|
qu icontreleursuolairsmendien t	--⌫|-----|----|------|-------⌫|
moutleurcou ient	---|---|---⌫---|
so uffri rdouleur	--⌫-----⌫|------|
ain zque genzleur d oig nentdou	---⌫---|---|---|-⌫---⌫---|--|
a us int le douen tcilsauoir	-⌫--⌫--|-|-----⌫|--|-----|
quidam ors ueulen t ioie	--||--⌫--|------⌫|---|
carpour es	--|----⌫-|
donsa mor p esse	--||-⌫--|-⌫---|
siconouides leconf esse	-|--|-----|-|----⌫---|
po uretefet home de spire	--⌫----|--|---|--⌫----|
ethaire tuiure am artire	-|---|-⌫|----||-⌫-----|
et tostausgenzneislou	-|---|--|---|---|--|
p o rdi euconpainzgard ezuosen	-⌫-⌫|--⌫-|-------|----⌫-|--|-|
et uosefforcierbiend ecroiere	-|--|--------|---|-⌫|------|
maparoleesprouee et uoire	-|-----|-------|-|----|
car iai cesachiezesproué	--||-|-|------|-------|
et pare xperimenttroué	-|--|-⌫--------|-----|
ne isenma proprepersone	--⌫-|-|-|-----|------|
tretoutquanq u eieuossermone	------|-----⌫-⌫|-|--|------|
sisa i mieuzque	-|--⌫|----|--|
pouretemonte	------|----|
parmamesese	--|-|-----|
etpar mahonte	-|--|-|----|
b iaus conpainzqueuos nesa uez	-⌫---|-------|--|--|-|--⌫--|
sof ferten elauez	---⌫----|-⌫||---|
si uos deuez en moifier	-|--|----|-|--|---|
cario udipor uoschastie r	--||-⌫|-|--|--|-------⌫|
moutabeneureeuie	---||-------|--|
homq uiparautruise chast i e	--|-⌫-|--|-----|-|-----⌫-⌫|
uaillanzho mseull estreclamez	-------|--⌫|----|----|-----|
etdetouz conpa ignonsamez	-|-|---|-----⌫-----|---|
etdesp en doiel ieement	-|----⌫--⌫---|-⌫------|
le us plusquelarge ment	--⌫-|---|--|-----⌫---|
tantc onfuiricheshom tenuz	---|-⌫-|--|-----|--|----|
orsui sipour e s	-|--|-|----⌫-⌫|
parlesdespens	--|--|------|
f olelargece	-⌫--|------|
quim amise n ce ste	--|||--|-⌫|--⌫--|
que ie naiforsagrantdangier	--|-||-|---||----|------|
neque boiure neque	-|--|-----|-|--|
nequ e chaucier	-|--⌫|-------|
t ant m e fetdonteret	-⌫--|-⌫|--|-----|-|
pouret equi t outamitost	------⌫|--|-⌫--|--|---|
sisach i ez conpainzquesitost	-|----⌫-⌫-|-------|--|-|---|
conmefortune mot ca	----|------||-|-|
ieperditr es touzmesamis	-|----|--⌫--⌫---|--|---|
fors unce croi	---|-|-|---|
ieuoirement	-|--------|
qui mestremestantseulement	--||--|----|---|--------|
fortune ainsinclesme	------|------|--|-|
parpouretequ i	--|------|--⌫|
tolip arfoi	---|-⌫-|--|
nonpas iement	--|--|-|---|
ainz prists es chosespr oprement	---|----|-⌫-|-----|--⌫-------|
carp or uoir	--|-⌫-|---|
s o ique semienfussent	-⌫-⌫|--|-|---|------|
i aporlui less iénemeussent	-⌫|--|--|----⌫--|-||------|
d er iensdoncue r s moin e mesp rist	-⌫|-⌫---|---|--⌫-⌫|--|-⌫|----⌫---|
quantsesam is meismes	----|--|--⌫-|------|
siens uoire mesriensnens auoie	----|----|--|----||-|-⌫----|
cartant ac hetezl es auoie	--|---|--⌫----|-⌫-|----|
co rsetdauoir	--⌫-|-||----|
qu i lescuidoietouzauoir	--⌫|--|------|---|----|
quequan t ceuint	--|----⌫|-|---|
aud arrenier	-|-⌫-------|
ienoipa suaillant u ndenier	-||-|--⌫|-------|-⌫|-----|
etquantenc epoin tme s entirent	-|----|-|-⌫|----⌫|-|-⌫-------|
tuit cil a mi sis	---|--|-⌫-|-||
et mefirenttre tuit lamo e	-|-|-----|---⌫---|-|--⌫|
quantilmeuirentsouz laroe	----|-|-|-----|---|-|--|
d efor tuneenu ersabatu	-⌫|---⌫---|---⌫--|----|
tantmap arpo u rete ba t u	---|||-⌫-|--⌫-⌫---|--⌫-⌫|
doiiemieplai ndre	--|-|--|----⌫---|
m afetcor toisie graindre	||--|---⌫-----|-------|
quonques n	-|-----||
oiu e rslui dese rui	-|-⌫-⌫-|--|----⌫--|
carent our mo isi tr es cle r	--|---⌫--|--⌫|-|--⌫-|---⌫|
d un fin collire	|-|--|------|
otfet bastiret c onfire	-|--|-----|-|-⌫-----|
si t ostconmepou rete ui nt	-|-⌫--|----|---⌫---|--⌫-|
qui d amis mosta plus	--||---||---|---|
uoire cer tesqu eie	----|---⌫--|--⌫|-|
plusdeyy etyy	---|-|-|-|-|
quelinss ese s euz imeist	--|---|-⌫|--⌫|--||----|
c equeieuipasneueist	-⌫|--|-|-|--|-|----|
car fortune tant ostenpla ce	--|------|----⌫--|-|---⌫-|
laboneamorapleineface	-|---|---||-----|---|
de monbonami	-|--|--|--|
par pouretequim encontra	--|------|--||-------|
eu sseconneu	--⌫--|-----|
silneustmon	|-||---|--|
b esoingueu	-⌫-----|--|
m esquantl esotil a coru t	-⌫-|----|-⌫|--|-|-⌫----⌫|
etquan quil	-|----⌫-|-|
pot mesecorut	--|-|------|
ettoutmo ffriquanquila uoit	-|---||-⌫---|-----|-|-⌫---|
po r ce quemonbesoing sa uoit	--⌫|-|--|--|------|--⌫---|
il faizuos sauoir	-|---|--|-----|
ue z cilecors uezc il auoir	--⌫|-|-|---|--|-⌫||----|
o u uos auez autant co n gie	-⌫|--|---|-----|--⌫|--|
prene zensanzprendre congie	-----⌫|-|---|------|-----|
mesconbiense	--|------|-|
uos n ousauez	--||-|----|
toutsedet a n t m estierauez	---|-|-|-⌫-⌫-⌫|-⌫-----|---|
car amisn e priseuneprun e	--|---|-⌫|----|--|----⌫|
contr eamilesbiens defor tune	-----⌫|--|--|----|-|---⌫---|
etmesbiens naturelsmeismes	-|--|----|-------|------|
p uisques i n ous entr eue ismes	-⌫-----|-⌫|-⌫--|----⌫---⌫----|
que bien nos entreconn e u mes	--|---|--|---------⌫-⌫-⌫--|
parquoi nozq ueurs	--|---|--|-⌫----|
conioinze um es	-------|-⌫--⌫-|
carainceisno sent respro uames	--|------|--⌫|---⌫------⌫----|
si quebonsamisnoustrouames	-|--|---|---|---|-------|
carnusnesettant esp rouer	--|--|-|--|---|---⌫----|
lealamitrouer	---|--|-----|
uosgar t ie	--|---⌫|-|
toriorzobligie z	------|-------⌫|
tantsuntpoissantdamorsli	---|---|-------||----|-|
carm oiporuostre garison	--|-⌫-|--|-----|------|
poezdistilmetreenpri son	---|---|-|----|-|---⌫--|
por pleuines	--|-------|
oupor hostages	-|--|-------|
e t mesbiensu endreetmetre en gages	-⌫|--|----|-⌫----|-|----|-|----|
tintpasen co re atant	---|--|--⌫--⌫-|----|
por cequi lnem	--|-|-|-⌫|-||
alast flatant	----|------|
ainceism en fista for ceprendre	------||-|---||---⌫-|------|
carniuol oiel amainte ndre	--|||---⌫--|-⌫|---|--⌫---|
t a n tieremazetuergoi gneus	-⌫-⌫-⌫|---|--|-|------⌫----|
poure besoigneus	----|---------|
cui hontea	--|----||
silaboucheclose	-|-|-----|----|
qu esa mesesedire nose	--⌫|-|-----|---||--|
ainz s euff ree t senclotet	---|-⌫----⌫-|-⌫||-----|-|
quenussa pou rete ne	--|--|-|---⌫---|-|
et moutre le plusbia u defor es	-|-----|-|---|---⌫|-----⌫-|
ain si ncle fesoieielores	---⌫--⌫-|-|-----|-|----|
c enefontpasbienle reco rs	-⌫|-|---|--|---|-|----⌫-|
lime ndia nt poissanz	-|--⌫----⌫-|-------|
quise uont	--|-|---|
partoutenba tant	--|---|----⌫---|
par douces pa rolesfla tan t	--|-----|--⌫----|---⌫---⌫|
plusletdehorsd emont r ent	---|--|-----|-⌫-----⌫-⌫--|
a trestouzceu squilesencontrent	|-------|---⌫|--|--|---------|
etleplus belde danzreponent	-|-|---|--|--⌫---|-------|
p or deceuoir	-⌫-|-------|
ce us qui leurdonent	--⌫-|--|---|-----|
etuontdisant que	-|---|-----|--|
poures ont	----|-⌫--|
etlesgrasse s pi tances ont	-|--|------⌫|--⌫-----|--|
et lesgra nzdeniersentresor	-|--|---⌫-|------|-|-----|
enp orr oiebien	-|-⌫---⌫--|---|
qu ilmenir oitdemalenpir e	-|-||-|--⌫--|-|--|-|---⌫|
ca rtor iorzheenty pocrite	--⌫|---⌫---|----|-⌫------|
ueritequi contreeusest	-----|--|-----|--|--|
ain sincesdeuanz diz	---⌫---|-|-----|--|
mesfous que ursson trauaillamis	--|---|---⌫--|--|-------||--|
monfol sentraiz	--|--|--|----|
despizdiffam ez	-----|------⌫-|
sanzacheso n dautre deserte	---|------⌫||----|------|
q uedela deua nt	-⌫-|-|-|----⌫-|
detoutesgen z	-|-----|---⌫|
conmunement	----------|
for squedeuostantseulem e nt	---⌫---|-|--|---|------⌫-⌫-|
am orspasne perdez	--⌫--|--|-|-----|
mes amonq ue ur	--||--|-⌫--⌫-|
uosah erdez	--|--⌫----|
ettour i orzsic on	-|----⌫-⌫--|-|-⌫-|
quid ameruospas ne recroi	--||---|--|--|-|-----|
ple stuosiaherdrez	---⌫-|--||-------|
mes porce que uo s mep e rdre z	--|--|-|--|--⌫|-|-⌫-⌫----⌫|
quantac orpo relconpaignie	----||-⌫----⌫--|---------|
encest e terrien e uie	-|----⌫|-------⌫|--|
darrenierziorzuen dra	---------|---|---⌫--|
quemortdes cors	--|---|--|---|
so nd roitprendra	--⌫|-⌫---|------|
car icelior	--|---|--|
bienlerec ors	---|-|---⌫--|
nenous t endraforsquele cors	-|---|-⌫----|------|-|---|
et touteslesapart enances	-|-----|--|-----⌫------|
d ep arlescorporeussubs tance s	-⌫|-⌫-|--|--------|----⌫-----⌫|
car ambeduicesoi morro n	--|------|-|--|-----⌫|
plus to st	---|--⌫-|
espoirquene	-----|--|-|
ca r mortto uzconp aignons dessem ble	--⌫|---|--⌫-|----⌫------|------⌫--|
i ertpasespoir ens emble	-⌫--|--|-----|---⌫----|
i ebiencer tainement	-⌫|---|---⌫--------|
lea lam or nement	---⌫|--⌫-|-|---|
se uosuiuiezet ie moroie	-|--|-----|-|-|-----|
tourio rze nuostre	------⌫-|-⌫|-----|
q ueurui uroie	-⌫---|--⌫----|
etsedeuant moi moriez	-|-|-----|--|-----|
touriorzoumie n reuiuriez	-------|-|---⌫|--------|
empres uostremortpar me moire	-----|-----|---|--|--⌫----|
sicon uesqui	-|--|-----|
ced it l estoire	-|-⌫-||------|
pir ithousempre ssamort	---⌫-----|-----⌫|-|---|
quetheseustantamamort	--|------|---|--|---|
ta ntlequeroit tantlesiuoit	--⌫-|-|------|---|-|-----|
car cildedenz sonqueur	--|--|-----|--|----|
queuisen enf er	--|--|-|---⌫-|
lalaquerre	|--|-----|
t an tl otaméuiuantseurterre	-⌫--⌫||-|---|-----|---|----|
etpouretefetpisquemort	-|------|--|--|--|---|
carameetc orstormenteemort	--|--|-|-⌫--|-------||---|
autre demeure	----|------|
nonpas san z pl us	--|--|---⌫|--⌫-|
uneseuleeure	--|----|---|
etl eur aioust e a	-|-⌫--|------⌫||
dampnement	---------|
la rrec inetpariu rement	--⌫----⌫-|-|-----⌫-----|
auectoutes autres d urte z	---|-----|-----|-⌫----⌫|
dontchascuns e st griem ent	---|-------|-⌫-|-----⌫--|
ceque m o rt neue ut mief ere	-|--|-⌫-⌫-|-|--⌫-|--|-⌫--|
ainceislesen f etto uz	------|--|-|-⌫-|--⌫-|
e t sileurf eten	-⌫|-|---|-⌫-|-|
son ueni r	--|----⌫|
tou z temporex torme nz	---⌫|-------|-----⌫-|
ets a nzplusco nme ntquel soitgr ie ue	-|-⌫-⌫-|---|--⌫---⌫---|-|---|--⌫--⌫-|
enune s euleheureles	-|--|-⌫---|----|--|
por cebiaus conpaignzuos semon	--|-|----|--------|--|----|
quil uos menbre des al em on	-|-|--|-----|-|-⌫--⌫--⌫-|
qui furois de	--|-|---|-|
iheru salen	-----⌫----|
cardeluimoutdebiens	--|-|--|---|-|----|
prenezgarde	-----|----|
biaufilzdepou retete	---|---|-|---⌫---|-|
to uzlesiorzquetuasa	--⌫-|--|---|--|-|-||
e t lacauser en t ensonliure	-⌫|-|----|-⌫--⌫|-|--|----|
carencesteuieterrest re	--|-|----|--|-------⌫-|
mieuzuientmorir q u e	----|----|----|-⌫-⌫|
pouresestre	-----|----|
e tporla pouretedouteuse	-⌫|--|-|------|-------|
ilp arle de lasouffreteuse	-|-⌫---|-|-|-----------|
quenousapelonsindigence	--|---|------|--------|
qui s ises	--|-⌫|--|
ho stesdesauenc e	--⌫---|--------⌫|
qu on c s i despitesneuigenz	-|--⌫|-⌫|-------|-|-|---|
co n ce us	--⌫|--⌫-|
que lenuoit indigenz	--|--|---|-------|
portesmoignzneis les	--|--------|---|--|
chascuns q uide droitescrit	-------|-⌫-|-|----|-----|
por ce quilsuntenloi	--|-|-|-|---|-|--|
e quipol lenzau diffamez	-⌫------⌫---|-|-------|
tropes tpou retezl edechose	---|--⌫|---⌫----|-⌫--|----|
mesto uteuoisbie nd ire	--|--⌫------|---⌫|-⌫--|
queseuos auiezassez	--|-|--|----|----|
de nier s etioiausamassez	--⌫----⌫|-|-----|------|
ettantdonerenuoliez	-|---|----|-|-----|
conmep r ometr e en po rriez	----|-⌫-⌫-----⌫|-|--⌫----|
lors quieud riezboutonsetroses	---|------⌫---|------|-|----|
ia sine s eroient encloses	-|-|-|-⌫------|-------|
mesuosn iestesmiesi ric hes	--|--||-----|--|-|---⌫--|
ne sin ies tesau ersnech ic hes	-|-||---⌫--|--⌫--|-|--⌫--⌫--|
done zdoncamiableme nt	----⌫|---|---------⌫-|
biaus pe tizdons	----|--⌫--|---|
resnablement	-----------|
s iquenenchaiez enpoue rte	-⌫|--||-|-----|-|----⌫--|
