puisquececi feniauons	------|---|---|----|
d iexsoitauecquestoyfetil	-⌫--|---|-------|--|--|-|
gede onquisonbleb atoit	----⌫-|--|--|--|-⌫----|
que il de danz sagrangeauoit	--|-|--⌫---|-|-----|----|
al engequ is alué l	||---|--⌫|-⌫----||
encete ma niere par la	-|---|--⌫----|---⌫-|
nesa ifetilc ommentpue t	-|--⌫|--|-|-⌫-----|---⌫|
la ue rtu zcel estre	-|--⌫---⌫|---⌫----|
qua ntd iexsouffr e que	---⌫-|-⌫--|------⌫|--|
q uitropfortnousont garreyez	-⌫-|---|---|---|--|-------|
porce suiie sienu iez	--|-|--|-|-|---⌫--|
f a itilpar le	-⌫-⌫-|-|--|-|
commendem e nt	---------⌫-⌫-|
ce luiquifis tlefirma ment	--⌫--|--|---⌫|-|-----⌫---|
quitemende	--|-|----|
quetuentendes	--|-|-------|
commentsacr ificesliren des	------|----⌫-----|-|---⌫--|
dunbo i ch etquetu	|-|--⌫-⌫--⌫-|--|-|
et lelis acrifieras	-|-|-|-⌫---------|
etmetras lacharsus laperre	-|-----|-|---|--|-|----|
apareillagrant	--------|----|
gedeonpor offriret f ist	-----|--|-----|-|-⌫--|
ai nssico mlianges lid ist	--⌫---|--⌫|-|----|-|-⌫--|
quarsancetchartot a de uise	---|---|-|---|--||--⌫---|
a pardesus	|--|----|
lap er rem ise	-|-⌫--⌫-|-⌫--|
e t lianges	-⌫|-|----|
qu ilesgardoit	--⌫||--------|
une uoirge en s am ainteno i t	--|-----|-|-⌫|-⌫--|----⌫-⌫|
quepard esustotce	--|--|-⌫---|--|-|
e t totdel a	-⌫|--|-|-⌫|
uo yrgeatoycha	--⌫---|------|
et lorslaperr e senzde more	-|---|-|----⌫|---|--⌫---|
enfe ntelefeu qui deuore	----⌫--|-|--|--|-----|
totcel ui sa crifice	--|---⌫-|--⌫------|
etlorscommendece me	-|---|-------|-|-|
lan gesaged eon	|--⌫--||---⌫--|
quil aille	-|-|----|
sehuremente nlabataille	---------|-⌫|-|-------|
qu ilets agent matezrend ro nt	-|-|-|-⌫|---|----|----⌫--⌫-|
tozceauxquienc on tr e auxu ien dront	--|----|--|---⌫--⌫-|-⌫--|-⌫---⌫----|
etco mment porroyeie croyre	-|--⌫----|------|-|-----|
faiti lquen ousayonsuic toyre	---|-⌫|--|-⌫--|----|---⌫----|
quaricecroirene porroye	---|--|-----|-|------|
si aucunsigne nenauoye	-|----|----||-|----|
siteprique signem endo n es	-|-|--|--|----||-|--⌫-⌫-|
de ceque c iendroit mesones	-|-|--|-⌫|------|-|----|
commentiepuisseetdoye croir e	------|-|-----|-|---|-----⌫|
quecetep romise	--|---|-⌫-----|
soitu oyre	---|-⌫---|
amisfet lianges adonques	---|--|-|----|-------|
certain signete	------|----|-|
donre donque s	----|------⌫|
liangesenuiron	-|----|------|
un e toysonillec esgarde	--⌫|-----|----|------|
cetetoysonf et	---|-----|-⌫-|
ilsenzdout e	-|---|----⌫|
ser ad em ain aumatintote	---⌫|-⌫--⌫--|-|----|---|
bien embehu e	---|------⌫|
der o usee	-|-⌫-⌫---|
et lat erreentor	-|-|-⌫---|----|
en gel e e	--⌫---⌫-⌫|
asesenseignesmecroyes	|--|--------|-|-----|
bataille uainqu ierresso y es	-------|------⌫-----|--⌫-⌫-|
sifu trestotenssi troué	-|-|------|----|-----|
et lende main bienesproue ́	-||----⌫---|---|-------⌫|
quar de lat oysonaro use e	---|-|-|-⌫----|---⌫---⌫|
issimaintenen tderous e e	---|---------⌫|-|----⌫-⌫|
u necruisilleto te	-⌫-|--------|--⌫-|
qua ntapraintefubienlaloyne	---⌫-|-------|-|---|-|----|
a prescete chose requist	-⌫---|---|----|------|
gedeon a diuqui totfis t	-----||--|--|--|---⌫|
quei l nulco rroznenp reis t	--|-⌫|--|--⌫---||-|-⌫----⌫|
de riens queilli	-|----|--|-|-|
etpuis afaitesapriere	-|---||----|-|-----|
entelguiseentel	-|--|----|-|--|
que lisigne sque donéo t	--|-|-----⌫|--|----|-⌫|
appareustmuezd outot	--------|---|-⌫-|--|
que latoyson geleeeust	--|-|-----|----|---|
etlater rearousee fust	-|-|---⌫-|------|---|
etlandema inla matinee	-||------⌫-|-|------|
fu lachose enssiat or nee	-|-|----|----|--⌫--⌫--|
enla meniere en	-|-|------|-|
quegedeonla uoit requise	--|-----||-⌫---|------|
quant g edeonse ss ignesot	----|-⌫----|--⌫|-⌫----|-|
poruoir et senzdou tencesot	--|---|-|---|---⌫----|--|
que s il a lo iten la ba ta ille	--||-|-⌫--⌫-|-|-|--⌫--⌫---|
auroitu ictoyre s enzfaille	-----|-⌫------|-⌫--|-----|
etlorsa sa	-|---||-|
gentmisense m ble	---|--|----⌫-⌫--|
etmisea u chemin ceme semble	-|---|-⌫|-----|-|-|-----|
lorsa oyla	---||-|-|
uoizdi uine	---|--⌫---|
quiliens eigne	--|-|---⌫----|
endoc t rine	-----⌫-⌫---|
qu iexb aronse tcombien a taille	--⌫--|-⌫----|-⌫|------||-----|
il en m enraenla bataille	-|-|-⌫---|-|-|-------|
e ns sitlesgouerner a	-⌫--⌫--|--|--------⌫|
qu eou flunboyureles f era	--⌫|-|---|-----|--|-⌫--|
etceux q uien	-|---|-⌫-|-|
lec hantbeuront	---⌫---|------|
tot a utre sicom me	--|-⌫----⌫-|---⌫-|
enauan tneuoille mener	-|----⌫|-|-----|----|
en f aceret orner	-|-⌫--|---⌫----|
ac e aux qui genousflechiront	|-⌫-⌫--|--|-----|---------|
q uant o u flunbo iure il	-⌫---|-⌫|---|--⌫---|-|
yceuxeslise etyceu x	----|-----|-|----⌫|
etceuxen la bataillemain t	-|---|-|-|-------|----⌫|
ged eontotens si t	---⌫--|--|---⌫--⌫|
com lauo iz diuinelidi st	--|-|--⌫-|-----|-|--⌫-|
etsac hezbien q uey yce ns fu rent	-|---⌫--|---|-⌫-|-⌫|--⌫-|--⌫---|
quie ncete meni ere burent	--|-⌫|---|----⌫--|-----|
cist alerente nlabata ille	---|------|-⌫|-|----⌫---|
senzeaume nuletsenzuentaille	---|----|--|-|---|--------|
senza ubert sen zescusen zlen ce	---|-⌫----|---⌫|---|---⌫|---⌫-|
senzia uelotsenzdar	---|--⌫----|---|--|
q uonlenc e	-⌫|-|----⌫|
mesb uis inessenz	--|-⌫---⌫---|---|
dou tenceauaint	---⌫----|-----|
qui autementetcl iers onnaint	--|-------|-|--⌫--|-⌫------|
qu eilportient enlordestres	--⌫|-|-------|-|--|------|
et boceaux fraiz enlorsenestres	-|------|----|-|--|--------|
plu so u rues seauxportai nt	---⌫--⌫-⌫|---⌫----|------⌫-|
qui feudedanzeux continaint	--|--|-----|--|---------|
sique m adiansesbais sent	-|--|-⌫----||------⌫---|
des feuxqui	--|---|--|
deces u esse a ux issent	-|--|-⌫----⌫-⌫-|-----|
etdel apeurqueilorent	-|-|-⌫|---|--|-|----|
f oyrent auplus tost	-⌫-----|-|---|---|
quilporent	-|-|-----|
gedeonuictoyre	-----|-------|
parlagraceau dousroy	--|-|----|-|---|--|
ornousconuientade clerier	-|---|-------||--⌫------|
que tot ice doit figurer	--|--|--|---|------|
g edeo n uitlange	-⌫----⌫|--||---|
quibatoit son ble	--|-----|--|--|
et t r ahoitl e	-|-⌫-⌫----|-⌫|
graindela pail le	----|-|-|----⌫-|
sene fi eetnotesenzfaille	----⌫--⌫|-|---|---|-----|
que q uipenseehanete	--|-⌫-|-----|-|---|
ue oierp eutlachosediuine	--⌫---|-⌫--|-|----|-----|
e tcequeli	-⌫|-|--|-|
angesli dist	----|-|---|
que dunbochet sac refeist	--||-|-----|---⌫-|----|
est quesacrifierd euons	--|--|--------|-⌫----|
pechiez qu en nostrechar auons	------|-|-|-----|---|----|
charssit u bien t auises	----|-|-⌫|---||-----|
sontposeesseurpierre	---|-----|---|-----|
q uantnostrechar	-⌫---|-----|---|
sostientafflit	-------|-----|
ales sempledeihesucrit	||--⌫-----|-|--------|
cilof fr echa r auec	--|--⌫--⌫|---⌫|---|
quiaupechie n etorneplus	--|-|-----|-⌫|----|---|
encon fessiondesc o uu re	-|---⌫------|----⌫-⌫--⌫-|
sama le penseeet	-|--⌫-|-----|-|
li angesfetatoyc hement	-|----|--|-----⌫-----|
de sauoirgecertoynement	-|-|-----|-----------|
quant lauertudou	----|-|----|--|
ciel neuie	---|-|--|
au droituriers	-|----------|
sasaincteaye	-|------|--|
perre f eu	----|-⌫-|
etque lifeuxdeuora	-|--|-|---|-----|
ice estli sai nz	--|--|-|---⌫-|
quitotm alosteetihesucriz	--|--|-⌫-|---|-|--------|
l ato y so nsqui estarouse e	-⌫|--⌫-⌫--⌫-|--|--|------⌫|
senefientl agente bree	--------|-⌫|---|-⌫---|
laterre s oic hecommemote	-|----|-⌫---⌫-|----|---|
lepoe ple despeens nous	-|---⌫--|--|----|---|
li hebr e resurent rousee	-|----⌫|-------|-----|
lorsquel orfu	------|-⌫-|-|
laloydonnee	-|--|-----|
mesnedon adie xau	--|-|---⌫|---⌫|-|
tres ausdon s	---|--|---⌫|
nulleriens	----|----|
etsig nes fumuezadons	-|---⌫--|-|---|----|
caupai ens muadiexses	|-|---⌫--|--|---|--|
lesiuislessa soufreteux	--|---|----|---------|
i eh unsdeses donsp recieux	-⌫--⌫--|-|--|---|-⌫------|
et l acrui sillequifu plaine	-|-⌫|----⌫----|--|-|-----|
rouse esuslaloyne	-----⌫|--|-|----|
n oussenefie	-⌫--|------|
le uentreala	-|-----||-|
uierg emarie	-----⌫|----|
rempliedousaintesperit	------|--|----|------|
quantelleconsut	----|---|-----|
ayycenz iustement	|-|---|--------|
fu rent parcon teli hebre	--⌫---|--|---⌫-|-|----|
quiauecgedeon alere nt	--|---|-----|-----⌫-|
etmadienssu remonterent	-|------|--⌫----------|
cisnombres notelespar faiz	--|------|---|--|---⌫---|
quibon sontendizenfa iz	--|--|---|-|--|-|--⌫-|
etseruentalatri nite	-|------||-|---⌫---|
troispersoynes en u nite	----|--------|-|-⌫---|
ceuxueautihesucrizretenir	---|----|--------|------|
ase sb atail lespa rfor nir	|--⌫|-⌫-----⌫--|--⌫----⌫--|
uictoyreont heue	-------|--|---|
qu o nqu es	-|-⌫---⌫-|
niotarme uestue	||-|---|-----|
en autelpointenaute lguises	-|----|----|-|----⌫|-----|
uainquire ntma rtirl esiu stises	---------⌫-|--⌫---|-⌫-|--⌫-----|
qu imart irier	--⌫|----⌫----|
les f esaint	--|-⌫-----|
etlesbu i si neslorssonnaint	-|--|--⌫-⌫--⌫--|---|-------|
quantilihes ucr it	----|-|----⌫---⌫-|
apel a int	----⌫-⌫--|
martiresdespisaint	-------|---------|
etliue sseler aint f roi ssié	-|-|--⌫---|--⌫---|-⌫---⌫----|
a mor t e staintblecié	|---⌫|-⌫-----|------|
liu e sselfr oyscié rogissaint	-|-⌫-⌫---|--⌫------|---------|
lisaint de lor sanc roi ge esta int	-|----|-|--|---|---⌫-|----⌫--|
lagentdemadia n fuoi t	-|---|-|-----⌫|----⌫|
quantlalumere ardentueoit	----|-|-----|-----|----|
aussi t liducs esbais saint	-----⌫|-|--||------⌫----|
q ua ntillesmi rac les ueain t	-⌫--⌫-|-|--|--⌫---⌫--|-----⌫|
queihesucrizleur demonst r oi t	--|--------|---|-------⌫-⌫--⌫|
porles ma rtirsqu eilamoit	--|--|--⌫----|--⌫|-|----|
e tcequema dien regnaint	-⌫|-|--|--⌫---|-------|
quencontr e	-|-------⌫|
mad ie nuenaint	---⌫--⌫|------|
les buissignesen lorsmainsdestres	--|---------|-|---|----|------|
et lesuesse auxe n	-|--|-----⌫--|-⌫|
mains sene s tr es	----|----⌫-⌫--⌫-|
ceestque n ous deuonssen ti r	-|--|--|-⌫--|-----|---⌫--⌫|
p arlad e streleg rant martir	-⌫-|-|-⌫-⌫---|-|-⌫---|-----|
q u eporlasenestre	-⌫-⌫|--|-|-------|
doit petiz martirsnotezestre	---|----|------|----|----|
qu antgedeonbien ueaux deuint	--⌫--|-----|---|----|-----|
morirlecou int	----|-|---⌫--|
quantde cestsecle trepa ssa	----|-|---|----|-----⌫--|
yyetdizenfanslessa	-|-|--|-----|----|
q ueildesesfamesauoit	-⌫-|-|-|--|----|----|
unau treenyot quen	-|--⌫--|-||-|-|-|
abimeleche t	--------|-⌫|
cis nez yere	--|--|---|
senzfaille de	---|-----|-|
s achember iere	-⌫|-------⌫---|
mont fiercorage	---|---|-----|
toz io rspo rchasaledomage	--|--⌫-|--⌫-----|-|-----|
de sesfrere snul nenam a	-|--|-----⌫|--||-|--⌫|
ne sesamis ne	-|--|---|-|
ensfudouto t lor anem is	--|-|--|--⌫|--|----⌫-|
etpo reuxgarroyeramis	-|--⌫|--|-------||--|
e tconioint	-⌫|-------|
ensacom paignie	-|-|---⌫------|
grantt or bedemalemesnie	----|-⌫--⌫-|-|---|-----|
c est deuague s et d e fuitis	|--|-|-----⌫|-|-⌫|-----|
surtoterienf ue nte ntis	--|---|---|-⌫|-⌫---⌫---|
d a uoirases freres	|-⌫---||--|-----|
la guer re	-|----⌫-|
tant sep e na	---|-|-⌫-⌫-|
que d ela te rre	--|-⌫|-|--⌫--|
e n ases frerestozchacez	-⌫||--|-----|--|-----|
sestiltant por chacez	|--|-|---|---⌫-----|
qu e tuitfurentocis	--⌫|---|-----|---|
e t quilot	-⌫|-|-|-|
l esmesonssonpere	-⌫-|-----|--|---|
neporquantzzfr ere ia u oit	---------|-|--⌫--||-⌫-⌫--|
quiioatannom ez e stoi t	--|-----|---⌫-|-⌫----⌫|
quitantabimelecdo uta	--|---|-------|--⌫--|
ques boys se tapist	-|-|---|-|-----|
en ssiescha padesmoins	--⌫--|-----⌫-|--|----|
celuiquide maliceertpl ains	----|--|-|-----|--|--⌫---|
quantc ildesiche nontsehue	----|-⌫-|-|-----⌫|--|----|
la pr oece quauoitheue	-|--⌫---|-|----|---|
ab imelech et qu	--⌫------|-|-|
o ufustatorto u	-⌫|---||---|-⌫|
fustadroit	---||----|
t ot leritagede	-⌫-||------|-|
sen zparti e nulle defrere	---⌫|-----⌫|----|-|----|
cil desichen etdoupais	--|-|-----|-|--|---|
liontlo rs priée treq uis	-|--|--⌫-|----|-⌫|---⌫--|
queilp ardesus eux re gnast	--|-|-⌫-|----|--|--⌫----|
etq u eiltozlesg o uer nast	-|-⌫-⌫|-|--|--|-⌫-⌫---⌫---|
etilqui ert	-|-|--|--|
montengigneux	---|--------|
fistonquesde sdaigneux	---|-----|--⌫--------|
non ques dilacionniquist	|--⌫---|-------|||----|
a regn erseur t o z euxemprist	|----⌫-|---|-⌫-⌫|--|------|
p org edeo nn ouseste s criz	-⌫-|-⌫----⌫|-⌫--|--|-⌫-⌫---|
etsenefiez ihesucr iz	-|-------|-------⌫-|
et porle s famesquilauoit	-|--|--⌫|----|-|-|----|
peutl enmontbienentendr ee t do it	---|-⌫-|---|---|-------⌫|-⌫|--⌫-|
lepeupledegents arrazine	-|-----|-|---|-⌫-------|
ioint alui damo rfine	----||--||---⌫|---|
yyetdizlangage	-|-|--|------|
quilese nfe ns figur ezo nt	--|--|-⌫---⌫-|-----⌫-|-⌫-|
abimelec hlesmauuesnote	--------⌫|--|-----|---|
etlac ham barieresenzdo te	-|-|-⌫---⌫------|---|--⌫-|
lasynagoguenous descr it	-|--------|---|-----⌫-|
qui doitenfenter entecrit	--|---|-------|-------|
le maufetor que	-|-------|--|
diexconfonde	---|-------|
qua rp resseralafin	---⌫|-⌫--|---|-|--|
d o u mon de	-⌫-⌫|---⌫-|
c estcilquitoz	|--|--|--|--|
lesmaus fe ra	--|---|--⌫-|
au ecqu es luia iostera	--⌫----⌫-|--|-⌫------|
les mauues etlessoudeans	--|-----|-|--|-------|
etlesuagues	-|--|-----|
aussitcomabimelech fis t	-----|--|--------|---⌫|
quicompaignieau mauuesprist	--|---------|-|-----|----|
grantfelonie empris t	----|------|------⌫|
que il tozsesfr ere socist	--|-|--|--|--⌫---⌫|----|
entecriz ceuxocierra	-------|---|------|
s ai ntestatuerra	-⌫--⌫-|----|----|
io at hanquitan tfoirsot	--⌫--⌫--|--|---⌫|---|--|
quabimelechprendre	-|--------|------|
parsaf uienoussenefie	--|-|-⌫--|---|------|
do upeupl eune partie	--⌫|-----⌫|--|-----|
qui da nt ecriteschapera	--||-⌫--⌫----|--------|
por ce que en lafincroyra	--|-|--|-|-|--|-----|
oroez q ueiohathan fist	-|--|-⌫-|-------|---|
en quelauentureil semist	-|---|-------|-|-|---|
susgazaronle m ontpoa	--|------|-|-⌫--|--|
a ce ux desichen escria	|--⌫-|-|-----|-----|
asa uoiz qu ilotaute et	|-|---|-|-|-|---|-|
parol lesqu i	-----⌫--|--⌫|
portentmistere	------|------|
seyg norfait il iadi sauint	----⌫--|---|-|----⌫|----|
queuolentezausherbres uint	--|-------|--|------|---|
quero ysureusestabliraint	--|--⌫|--|--|-----------|
acui poer s ureux	|--|---|-⌫-|--|
alol iue tantostaco rent	||--⌫--|------|---⌫---|
aluitiex parollesore nt	|--|---|-------|---⌫-|
oliue nous uenonsatoy	----|---|-----||--|
fontile tteslisonsaroy	---|-|-⌫||-------||--|
serast ota	----|-⌫-||
r oysgouernanspardesus	-⌫--|--------|--|----|
etloliuedistgepors p ez f in e	-||----|---|-|---|-⌫-|-⌫--⌫|
et pors lu mereetmedicine	-|---|--⌫---|-|-------|
uoi lporrea u mep re ndre	---⌫|--|---⌫-⌫-|-⌫--⌫---|
tiexb ie n sforsdes us moy espendr e	---|-⌫--⌫-⌫|---|---⌫-|--|-------⌫|
puis uindrent li hebrea u fier	---|-------|-|----|-⌫|---|
et lico mmencent a prier	-|-|--⌫-------||----|
qui l seslieue et	-|-⌫||------|-|
quei luieg ne	--|-⌫|----⌫-|
et que le reaumeseur tie gn e	-|--|-|-----|---|---⌫--⌫|
lifiguiers respontenm onfruit	-|-------|------|-|-⌫-|----|
agrant do uceurneuousenuit	|----|--⌫----|-|---|----|
quar ieneuioxpas	---|-|-|---|--|
por r egn er	--|-⌫---⌫-|
d ouceur resi gnier	-⌫-----|----⌫----|
puisuin drentli	---|---⌫----|-|
hebr e alauigne	----⌫||-|----|
etli re quistrenttot a	-|-|--⌫--------|--||
queelleauecquese uxuenist	--|---|-------|-⌫-|-----|
etreaumes e ureuxtenist	-|-----|-⌫-⌫-|--|-----|
la uigne distgepor sle	-|----|---|-|---⌫|-|
quifets iconie	--|--|-⌫|--|-|
tantestsoes et docereux	---|--|---|-|-------|
ceuxquilus ent	---|--||--⌫--|
lez e t ioyeux	--|-⌫|-----|
giensplus leui nporuoyr	|---|---|-|--⌫|--|---|
ne foisrea umeauoyr	-|---|---⌫--|----|
augrose lier	-|-----⌫---|
puisuen u sont	---|---⌫|---|
etmont gransp rieres lifont	-|---|----|-⌫-----|-|---|
uoylleessa u ciersonestre	-----|----⌫-⌫---|--|----|
queil daint	--|-|----|
quantli gros elie rsentendi	----|-|----⌫----⌫-|------|
leursp rieressir espondi	----|-⌫-----|-|-⌫------|
si u ousme uo llez fe rero y	-|-⌫--|-|--⌫---|--⌫-|--⌫|
couu re uousl i	----⌫-|---|-⌫|
ombres demoy	-----|-|--|
e tsiuousnede sir rezmie	-⌫|-|---|-|--⌫---⌫--|--|
que sur uousa ye	--|--|---|-⌫-|
seygn orie	-----⌫---|
dougros elier puisseissir	--|----⌫----|-----|----|
ebrieuxar deentoz leux	------|--⌫-|-|--|---|
uousdiseygnorbaron	---|-|------|----|
q uimanezd eso z g azaron	-⌫-|----|-⌫---⌫|-⌫-----|
siuos tre d on	-|---⌫--|-⌫-|
etuo stre fait	-|--⌫---|---|
nauezfelonn essemen tfait	|---|------⌫-------⌫|---|
diexdetozuos	---|-|--|--|
maux uo usesluige	---|--⌫-|------|
abimelech uost re iuige	--------|----⌫-|----|
esleul auez	----||---|
po int depecheauoir n endeuez	--⌫--|-|----|----||-|----|
mauxfeux issirpuissedeuous	---|---|----|-----|-|---|
quitozuousard ea est rous	--|--|---|---⌫||---⌫---|
et f euxissedel ui	-|-⌫--|---|-|-⌫-|
qui luiet uousardeet abisme	--|--|-|---|---|-|-----|
quant io h at ha notas oy	----|--⌫-⌫--⌫--⌫|-|--⌫-|
totsonporpos i l senfo i	--|--|-----|-⌫||----⌫|
qu arla peurqueilauoi t	--⌫-|-|---|--|-|----⌫|
grantignelle teli	----|-------⌫-|-|
estoyre lizen ten	------|--|--⌫--|
le sparo les deioha th an	--⌫|----⌫--|-|----⌫--⌫-|
loliuenoteet	|----|---|-|
nousde scrit	---|--⌫----|
lonciondou	|-----|--|
saintes peri t	----|--⌫----⌫|
ded anzl ecors	---⌫--|-⌫|---|
ennoint et lol i uedef ors	------|-||--⌫-⌫-|---⌫--|
porfiguierest	--|------|--|
laloynotee	-|--|----|
enla uign eauiuisplantee	-|-|----⌫|-|---|------|
i hesucritpouruigneuouspose	-⌫-------|---|----|---|---|
q u ile scu er smoylle	-⌫-⌫|--⌫|--⌫--⌫|-----|
porgrozelierq ui bl eceetpoint	--|--------|-⌫-|--⌫--|-|----|
uousposen tecrit tota	---|--|--⌫-----|--||
quie n l uit otma lco ntindr a	--|-⌫|-⌫-|-⌫-|--⌫|--⌫------⌫|
