multay usécum pechere	---|-|---|--|------|
leuamatinen es tetens	---|----|-|--⌫-|---|
leprim er i ourde may	-|----⌫-|-⌫--|-|--|
qued els oleile suntclerlir ay	--|-⌫-|-⌫-----|---|---|-|-⌫-|
quantleue ́fu e	----|----⌫|-||
te nirsuncunte	--⌫--|--|----|
desuzlauileseintedmund	----|-|---|----|-----|
e uneplacedeleezun	|--|----|-----|-|
t hingho welapelent lagent	-⌫------⌫-||------|-|---|
mei nt hommei adestédolent	---⌫-|----||-|----|-----|
lahomme sole i t lesbatailesfere	-|----|----⌫-⌫|--|-------|---|
meinthomm e	----|----⌫|
i adeucon tr a ire	|-|-|---⌫--⌫-⌫--|
il ukes t intilsoncunte	--⌫---|-⌫--|-|--|----|
sicum i lf uacu stumé	----|-⌫|-⌫|---⌫-----|
pensant eginnant	------|-------|
ilpui sseenginerpou regent	-|---⌫--|------|---⌫-|---|
e comen tillesmette apert	|-----⌫|-|--|----|----|
enforfez sanz lurdesert	-|-----|---|--|-----|
sicumcilentur ceomolle	----|--|----|--|----|
sit roueitescrit en	-|-⌫-----|-----|-|
la femmequeer t uer s liforfeite	-|----|--|--⌫|---⌫|-|-------|
e sul um l e scritenfra ite	|---⌫-||-⌫----|-----⌫--|
tristemurneemarrie	-----|----||-----|
degran tman ereespurie	-|----⌫|---⌫--|------|
queliues cunten son r e cord	--|-|---⌫---|-|--|-⌫-⌫---|
nelafeis tiuger a	-|-|----⌫|----||
mul tpar dutala uieperdre	---⌫|--|---|-|--|-----|
al ureouaerdre	||--|-|-----|
meistriesun t ri es	---|----|-|-⌫--⌫-|
altr esen uait	----⌫||-|---|
e alf er treseint edmundsetreit	|-|-⌫--⌫--|----|-----|-|----|
auerguar isun	---|----⌫---|
demorteededestuctiun	-|----||-|---------|
queunkeleuescuntne l	--|---|-|------|-||
n enul desu e n squ iofli out	-⌫|--|-|--⌫-⌫-⌫|--⌫|-|-|--|
la cheitiuefemme es gariee	-|-------|----|--⌫-----|
k emultpar fu esponte e	-⌫|---|--|-|-------⌫|
gis tdeuant la c h aseal m art i r	---⌫|-----|-|-⌫-⌫--|-|-⌫---⌫-⌫|
pluran tegettantm eintsu spir	------⌫||------|-⌫---|--⌫---|
e p r iadieudeuoutement	|-⌫-⌫-|---|----------|
eles eint ma rtirensement	|-|-⌫---|--⌫---|-------|
que sicu mil estpoe s tis	--|----⌫|-|--|---⌫-⌫--|
la gardedetuz se senemis	-|----|-|--|--⌫|-----|
kan tlefelun	---⌫|-|----|
lefstan le sout	------|-|---|
kela fem me queenp laitmi sout	-|-|---⌫-|--|-|-⌫---|--⌫|--|
ne n out enliqueco ruscier	--⌫|--|-|-|--|--⌫------|
seshommesmultto stapela	--|-----|---|--⌫-|----|
e irreme nt comanda	|------⌫-|------|
mu stermulttost cerchasent	--⌫---|---|---|---------|
femmet o stlimenasse n t	----|-⌫-⌫-|-|-------⌫-⌫|
e sesserianz tuzerrant ment	|--|------|--|------⌫---|
u untferes on co mandemen t	-⌫--|---|-⌫-|--⌫--------⌫|
dreit almuste r	----|-|-----⌫|
purqu erelapo uremulie r	--|--⌫--|-|--⌫--|-----⌫|
uindrenttrouélunt	-------|-----||--|
deuantlefertr eseinte dmund	-----|-|-----⌫|----|-⌫----|
e mu lt egrementde mand erent	|--⌫-|-------|--⌫----⌫----|
acels qu i en turle	|---|--⌫|--⌫--|-|
fertreerent	-----|----|
qu e outest é leio ur	--⌫|--|---⌫-|-|--⌫-|
i ug iédeuantlur segnour	-⌫--⌫--|-----|--|------|
und e plusanciens respunt	-|-⌫|---|------|------|
qu eeleerte ntursein te dmund	--⌫|--|--|-⌫---|----⌫|-⌫----|
pre stre ert	---⌫---|--|
eundiacneodli	|-|-----|-|-|
a pie zse drescent	|---⌫|-|-------|
erespunderent	|-----------|
e rr antmen t	-⌫--⌫------⌫|
qu ei lno serent naient	--⌫|-⌫||-⌫-----|-----|
femmea els liuere r	----||--|------⌫|
kiia pur sa uie s auuer	-|-|--|-|--|-⌫----|
fustuenua l se int agara n t	---|---|-⌫|--⌫--||----⌫-⌫|
nelfreientnetant nequant	-||------|-|---|-|----|
ka ntles ser i anz ceo oye rent	--⌫-|--|---⌫-⌫--|--|---⌫---|
irre mententrelsfremierent	----⌫---|---|--|---------|
karil noserentcontredire	--|-||------|---------|
quecom andé le soutlur	--|---⌫----|--⌫|--|--|
ainzcorurenttuz parhair	---|-------|--|--|---|
la fe rtre lemartir	-|--⌫---|-|-----|
femmegis eit	----|---⌫--|
souentma rie crieit	-----|--⌫--|-----|
i llapri s t rent multcruele ment	-⌫|-|---⌫-⌫-⌫---|---|------⌫---|
e treistrent f e lonessement	|---------|-⌫-⌫----------|
lache itiuepouremulier	-|---⌫----|----|-----|
pa rp oinz pa rpiezhorsdelmust er	--⌫|-⌫---|--⌫|---|---|--|----⌫-|
quantles cler s ece l squ iesteie nt	----|--|----⌫||--⌫-⌫|--⌫|------⌫-|
e nturlemartir	-⌫---|-|-----|
c e oueien t	-⌫-⌫|-----⌫|
kece lsuntfetc e lgr a nt rage	-|--⌫-|--|--|-⌫-⌫|--⌫-⌫-|---|
ealmartir si funt ultrage	|-|-----|-|---|------|
enalerent tutdreit	-|------|--|----|
la ouli seint	-|-|-|----|
martir giseit	-----|-----|
ps almes com en ce rent	--⌫----|---⌫--⌫--⌫---|
e deuoutement lesuerseilerent	|----------|--|-----------|
elaleteniee nseme nt	|-|------|-⌫-----⌫-|
od le rmes	-|--⌫---|
mu l tdeu oute ment	--⌫-⌫|---⌫----⌫---|
dieu prien tdefin querenti er	---|-----⌫|-|--|---|----⌫-|
b oncor seintd elmuster	-⌫-|---⌫----|-⌫-|-----|
quilmust resapus sanc e	-|-|----⌫-|-|---⌫----⌫|
ede lsur fe itprengneuengeance	|--⌫|---⌫--⌫-|------|--------|
d u ncauint si quentrece stfeit	-⌫-⌫-|----|-|-|----|--⌫-|---|
le ssalifeluescuntson pleit	--⌫--|-|--|------|--|----|
p ur lafe mme	-⌫-|-|--⌫--|
qu eaue ruo leit	--⌫|---⌫|--⌫---|
esialaagr ant	|-|--||--⌫--|
eseh astauers lemuster	|-|-⌫---|---|-|-----|
ouil t eneient	-|-|-⌫------|
lamu li er	-|--⌫--⌫-|
q uipurli enueiéerent	-⌫-|--|-|------|----|
auislifutquetrop demoreren t	---|-|--|--|---|---------⌫|
cimi ter entra	----⌫--|----|
esicumil mielzerra	|----|-|----|---|
s isarestuts enpresaneire	-⌫||------|-⌫-----|-----|
au netumbedeun proueire	|-⌫-|----|-|-|-------|
ki qu antfuuif	-|--⌫--|-|--|
bo ndeertclam é	--⌫--|--|----⌫-|
lase estliuescuntar esté	-|-|--|-|------|--⌫----|
ilnalastauantpurnulplait	-||----|----|--|--|----|
pur legr ant	--|-|--⌫--|
pechie queauei tfait	-----|--|----⌫|---|
dieuleengettade	---|-|------|-|
diableresce iuelemalbail l i e	-----|-----⌫--|-|-------⌫-⌫-⌫|
uereyment ensacom panye	--------|-|-|---⌫----|
purs on pechiepursafolie	--|-⌫-|-----|--|-|----|
sicu m ses hommes ceouir en t	----⌫|--|-----|--|---⌫--⌫|
lapourefemm e d eguerpir ent	-|----|----⌫|-⌫--------⌫--|
e corurent tuz	|-------|--|
trezu a sez	-----⌫-⌫--|
al ursegnurquifutde u ez	|-⌫-|-----|--|--|--⌫-⌫-|
plurant ecriant	------||-----|
multforment	---|------|
pu rlur se gnurdunt suntdol ent	--⌫|--|--⌫---|---|---|---⌫--|
e puistantostcumiluindrent	|---|------|--|-|-------|
a peyneedolurlet i ndr ent	|----||----|-|-⌫-⌫---⌫--|
lipuissan t	-|-------⌫|
fistdeusmiraclesmulz	---|---|-------|---|
d eliuera lamulier	-⌫------|-|-----|
dep er ilde	-|-⌫--⌫-|-|
mortedenc umbrier	----||---⌫------|
elautre fu keli	||----|-|-|-|
uesq uen s	----⌫---⌫|
f usudeymenthors	-⌫|--------|---|
p ar sein tedmund le	-⌫-|----⌫|-----|-|
tres eintrey	----⌫---|--|
quiendesdeinoutson	--|-|------|--|--|
cil che it ifcild ieenemy	--|---⌫--⌫-|--|-⌫-|----|
d ecesteuie	-⌫|----|--|
outemale mort	--||---|---|
parsesculpese	--|--|-----||
parsontort	--|--|---|
sicumlor ent li malfe	----||--⌫--|-|----|
enceste uieenfanto sm é	-|----|--|-------⌫--⌫-|
s ifirentilmultgrant uer goyne	-⌫|-----|-|---|----|---⌫----|
asonordcorsa sa ch aroyn e	|--|--|---||-|--⌫-----⌫|
que tere nelpo eit sufrir	--|---|-||--⌫--|-----|
nesepulturerete nir	-|--------|----⌫--|
m eintefeizdelaterre issi	-⌫----|---|-|-|----|---|
puis kum louten seueli	----⌫|-||--|--⌫-----|
lagent nel po erent en dur er	-|---|-||--⌫----|--⌫---⌫-|
plus longmentmeis	---|-------|---|
fe seient lequird unto r mu ltgran t	--⌫-----|-|---||-|--⌫|--⌫-|----⌫|
sifeseien tmettrem aintenant	-|-------⌫|-----|-⌫--------|
celeord echaroyne celcors	---|---⌫|-------|--|---|
ep uiscoustrefor m entdehors	|-⌫--|------|---⌫-⌫--|-----|
e treyn erent errant men t	|-----⌫----|------⌫---⌫|
h o rsde lauilee h orsdegent	-⌫-⌫-|-|-|---||-⌫--|-|---|
o rdeputelqueertparfund	-⌫--|----|--|--|------|
lefeseient getter	-|-------|-----|
iesqueafounz	-----||----|
unepi erea soncol pendu	--|--⌫--||--|--|----|
l adbiente nu	|-|---|--⌫-|
unautrefez	-|----|--|
simustra dieus sa poes te	-|-----|----|-|----⌫-|
quil fistd e unfortrei felun	-|-|---|-⌫|-|---|--|----|
amurd e seint edmun	---|-⌫|----|----|
p ur qu idieusnostresalueur	-⌫-|--⌫|----|-----|------|
fistgra ntue rtuegranthonur	---|---⌫-|--⌫--||----|----|
ci lfelun reysiout noun s uayn	--⌫|----|--|-|--|---|-⌫---|
degra ntfel oni e	-|---⌫-|---⌫---⌫|
esteitplayn	-----|----|
de cestseclemult	-|---|----|---|
edesoures dieu	|--|----|---|
en danmarch eertsonregne	-|--------⌫|--|--|----|
sa ri chescee sapoes te	-|--⌫-----||-|----⌫-|
c il reyses	-⌫-|--|--|
ueisinsmulthai	------|---|--|
e de tutsonpo erl aidi	|-|--|--|--⌫-|-⌫---|
kanq uilpoutde	----⌫|-|---|-|
malles so l eitfe re	--|--|--⌫-⌫--|--⌫-|
meispuislitu rnaacon t reire	---|---|-|--⌫--||---⌫-⌫----|
ce li reisaueiten	--⌫-|---|----|-|
deplusurs gent	-|------|---|
grantcompanye	----|-------|
kar daneis suaneiseguteis	--|-----|------||-----|
e west wi kins e	|----⌫--⌫---||
desgenzdautrecontre s	--|---||----|------⌫|
lesewi rent p ur	-|----⌫---|-⌫-|
l ur sol des	-⌫-|---⌫--|
ke lesdoneit e prome tte it	-|--|-----||-----⌫---⌫-|
merueilegentaueit	-------|---|----|
dunc ert alreisu aynbie nauis	---|--|-|--|--⌫--|---⌫|---|
kilpoei tchescunpais	|-|----⌫|------|---|
e che sc uneterecon quere	|---⌫--⌫--|---|---⌫----|
od son granthoste	-|--|----|---||
odsag uere	-|-|-⌫---|
duncfistasembler errantment	---|---|-------|---------|
tutsonpoepl eetutesagent	--|--|-----⌫||---|-|---|
satereasisteordena	-|---|----||-----|
assise simustra	------⌫||-----|
si cumfis tson an cestre	--⌫--|---⌫|--|--⌫-----|
i luesquisi poutbie n	-⌫|-----|-|---|---⌫|
puisfistsamesne e aturner	---|---|-|-----⌫|------|
gen tse mistenme r	---⌫|-|---|-|--⌫|
bonuentountalur talen t	--|---|---||--|-----⌫|
uersenglet ereuuntsiglant	---|------⌫--|---|------|
latereariué	-|---|-----|
robentaual robentamunt	-----|---|-----|----|
tant roberentetant pelfe rent	---|-------||---|-----⌫---|
ennor thfolcou ariuerent	-|---⌫-----|-|--------|
qui luntmul grantauerconquis	-|-⌫|--|--|----|---|------|
par lep ais	--|-|-⌫--|
t antselongnere nt	-⌫--|-|--------⌫-|
de lurport	-|--|---|
qu ilsuntu enudreitatiefo rt	-|-|---|-⌫--|----||-----⌫-|
meisilucl escouint atendre	---|---|-⌫-|-----|------|
kar laterelesuolt	--|-|---|--|---|
unrichehomm ede c el pais	-|----|----⌫|-|-⌫-|---|
chiualerbon edegrantpris	-------|--||-|----|---|
hardiepruz	----||---|
ulfeket ela uei ta	-------⌫-|-⌫---⌫||
il secombati f erement	-|-|------|-⌫------|
o dsames neee	-⌫|-|---⌫--||
e lesdaneistut autresi	|--|-----|--|------|
furentp r u zehardi	-----|-⌫-⌫-⌫||----|
meruel uscoupes s entredonerent	------⌫-|-----||------------|
parzkants e asembl erent	---|---|-⌫|------⌫----|
laue isezles grant	-|--⌫---|--|----|
mel le ies	---⌫--⌫--|
granzcoup es de hac hese despeies	----|----⌫-|-|---⌫--|||------|
tant poi nztantpiez	---|---⌫-|---|---|
tantchiefsuoler	---|-----|----|
tanteslances truncuner	-----|-----|--------|
ta nz chiuale rsescerue lez	--⌫-|-------⌫-|-------⌫--|
e tanzoc cisetanz	|---|--⌫--||---|
tantespandresancec eru ele	---|-------|---||-⌫---⌫--|
e t reiner tantboele	|-⌫-----|---|----|
tanzescuz aorestroyr	---|----||-|------|
tanteblanche broinefalser	----|------|-----|-----|
tantes lancesfraindreecruss ir	-----|-----|-------||-----⌫-|
tanz hommesmors	---|-----|---|
enuer s g is i r	-----⌫|-⌫--⌫-⌫|
tanzseit esetanz	---|----⌫-||---|
treierelancerdamb esparz	-----||-----||---⌫-|---|
quitrepe rcentquireco raile	--|-----⌫----|---||--⌫----|
escunehaubercni uau tm aile	---|-|------|||---⌫|-⌫---|
ketutnetrespercent lida rt	-|--|-|----------|-|--⌫-|
niado sé lani er	||-|-⌫--|----⌫-|
ulketeleles soens od	------||--|----|-|
erten lefrunt delprimercu nrei	--|-|-|----|--|-----|--⌫---|
qu equanquil ateintad crauan te	--⌫|-----|-|-----|-|------⌫-|
son colpe neseau ante	--|----|-|-|--⌫---|
kiln epuisse	|-|-⌫|-----|
siluoltb iendire	|-|---|-⌫--|---|
k eiamester ni	-⌫|-|-----|-|
auerademire	----|-|---|
e lereisua yn delautr e parte	|-|--|---⌫-|--|----⌫|----|
se conteintcum urseleopar t	-|-------|--|--||------⌫|
ki se cumbatrimult ferement	-|-|-------|---|-------|
kanqu i late intpar mi lifent	----|-⌫|---⌫--|---⌫-|-|---|
la batai leoustbien uen cu	-|-----⌫-|---|---|---⌫-|
kan t iladchoiseeueu	---⌫|-|-|-----||--|
detries seiunec ompanye	------|--|--|-⌫------|
une mult gr ant	--|---|--⌫--|
chiualerie	---------|
ke ulfeketeli outenue ie ́	-|--------||--|----⌫--⌫|
g uere esteit	-⌫---|-----|
p riu ement adrecelee	-⌫---⌫----|-|------|
par unesutiueual ee	--|--|-----|---⌫-|
ilfurentsetcenz	-|-----|--|---|
c hiualers	-⌫-------|
equatrecenz	|-----|---|
de s archier s	--⌫|-------⌫|
kipre sles	-|---⌫|--|
chi ualersarmez	---⌫-----|----|
uene ientle petitpasserrez	----⌫---|-|----|--|-----|
siaschiualers	-|-|--------|
surd edestresc e	----⌫|--------⌫|
seientfortr esce	-----|-----⌫---|
k antli rei sua in e	-⌫--|-|--|---⌫-||
so nuassal	--⌫|-----|
lesuitsurdredeuersle	--|--|-----|-----|-|
ditasesplus pri uez	--||--|---|---⌫--|
enginezsumes e ga bez	------|----||--⌫--|
uiez c umgrantgentla	---|-⌫-|----|---|-|
nequidequenul	-|----|--|--|
denus ret ur t	-|--|---⌫--⌫|
iamesalpaisdunt e issimes	----|-|---|---|-⌫------|
f oliefu quec eauenimes	-⌫---|-|--|-⌫-|------|
meiscontenu mnus	---|-------⌫|--|
cumpruzeha rdiegent	--|---||--⌫---|---|
led arey nconrei se c ombat e	-|-⌫----⌫|-----|-|-⌫-----⌫|
acelssilesm ouentba ra te	|---|-|--|-⌫----|--⌫--⌫-|
euusceaamielz que purrum	|--|--||----|--|-----|
ue rsulfeketelcombaterum	--⌫-|--------|---------|
ulfeketelertde l	--------|--|--⌫|
autreparte	----|----|
main destre teintun	---|-----|----|-|
quantiladchoises a gent	----|-|-|-----|-⌫|---|
del ualsurdre serrement	--|--|-----|--------|
ile les suenstuza uncri	-||--|----|--||-|--|
unts ua yne les	--|-⌫--⌫-||--|
suen sesbai	----⌫|----|
ec elsdelagu et lesreq uierent	|-⌫--|--|---⌫-|--|---⌫------|
kiuncderienneles	-|--|-|---|-|--|
esparnierent	-----------|
la ueisieztelcorusse iz	-|------|--|-------⌫-|
etelchapleiz	|--|-------|
dehachesdespees debranz	-|-----||-----|-|----|
dunti ldonen tl escops	---|-⌫|-----⌫|-⌫-|---|
mult granz	---|----|
suaynueit quiln	----|---|-|-||
parzestenclo s	---|--|-----⌫|
desespl us mor telsenemis	-|--|--⌫-|---⌫---|-----|
est dol entepens i s	--|---⌫--||----⌫-⌫|
neneueitliuqueilseu enge	-|-|---|--|--|-|-|-⌫---|
neseitqu el conseilenprenge	-|---|--⌫-|------|-|-----|
karulfeketel esagent	--|--------||-|---|
des soensoccient cente cent	--|----|------|---||---|
n eualt mesun	-⌫|---|--|-|
kardecumba t resunt silas	--|-|-----⌫-⌫-|---|-|--|
quilnesepoentme sayde r	-|-|-|-|----|--⌫|----⌫|
il ueientbienlur	-|-----|---|--|
encu mbrer	----⌫----|
qu i lnep oent auerrep os	-|-⌫|-|-⌫---|---|---⌫-|
aul feketelturnentledos	|--⌫------|------|-|--|
p armilescu nreizd elag uet	-⌫---|--|--⌫----|-⌫-|--⌫--|
s en fui r e nt t u tent re set	|-|---⌫-⌫-⌫-|-⌫-⌫|---⌫--⌫--|
eulfe kete le	|----⌫----⌫||
lesfeseitm ultgranthachiee	--|-----|-⌫--|----|------|
ke adoslesuunt enchaceant	-||--|--|---|---------|
eparcentein esocciant	|--|-------⌫-|------|
t ant enoccistrent lese ngleis	-⌫--|-|---------|--|-⌫-----|
des felunsdesengres	--|-----|--|-----|
b ouch edehommene	-⌫----⌫|-|----|-|
numbr as tmie	-----⌫--⌫|--|
tanz p erdire nt il u cla ui e	---|-⌫------⌫-|--⌫-⌫|-|--⌫|
tanzsuntmorz eta nzsuntoccis	---|---|---||--⌫-|---|----|
de setmil neesc haperentuifs	-|--|--|-|---⌫-------|---|
f orssoulement cessant es et	-⌫--|--------|------||-⌫-|
celsenmeinesuaynquis en uet	---|------|----|--||-|--|
matesedescumfizuerslame r	----||--------|---|-|--⌫|
s ache znuncurede suiorner	-⌫----⌫|--|---|-|-------|
kan tfurent alur niefu enuz	---⌫|-----||--|---|-⌫---|
neerent mielentesneper esceuz	-|----|--|-----|-|---⌫-----|
enhalteme rtost	-|----|--⌫|---|
miss esunt	--|-⌫|---|
lurpaissereuunt	--|---|-|-----|
ringhemereest	---------|--|
icilliud it	---|--|-⌫-|
oudaneisfurent	-|-----|-----|
des cumfit	---⌫-----|
eulfekete l pasnesoiurne	|--------⌫|--|-|------|
uersseintedmund mu lttostse	---|----|-----|--⌫-|---|-|
dieu mercilereideglorie	---|----|-|--|-|-----|
seintrei desauictori e	----|--|-|-|-------⌫|
p arq uigracei ladsuaynuen c u	-⌫-|-⌫-|----|-⌫|-|----|---⌫-⌫|
edescumfit e confond u	|--------||-------⌫|
purue ir uus	--|--⌫-|--|
d iqu edunc r egna	-⌫|--⌫|---|-⌫---|
pais gouerna	---|------|
denglet e r etute nuir un	|------⌫-⌫-⌫|--|-⌫----⌫-|
qui aieldred outnoun	--|-------|--|---|
cilne osa unkesmanier	--|-|--|----|-----|
es cu nebran d	--⌫-|-|----⌫|
n espeie balier	|-----|-----|
neautrearme uers son en emi	-|----|---|---|--|--⌫--|
tantoutlequeranaienti	---|--|-|---|-------|
etantertcoarte chal us	|---|--|----||----⌫-|
malueislanersepourus	------|-----||-----|
e nepurqua ntmeinte con treiere	|-|------⌫-|-----|---⌫------|
asoensemeintdesfa ire	|----||----|-----⌫--|
fis t ilatortes anzreis u n	---⌫|-||---||-⌫--|----⌫-⌫|
tantpa rerte n	---|--⌫|--|-⌫|
cris me f elun	----⌫-|-⌫---|
quatrepruzhommes e n lepais	-----|---|-----|-⌫|-|---|
uersle north erent astai s	---|-|----|----|-----⌫|
multfu re n t cilquatrep rodomme	---|--⌫--⌫-⌫|--|-----|-⌫------|
bonseleausce est lasumme	---||----|-|--|-|----|
me islireisen	--⌫-|-|---|-|
helescoilli	-|--|-----|
purceo q u ierentpru zehardi	--|--|-⌫-⌫|----|---⌫||----|
