XXLilaron ont lesmoine[s]	-|-|----|--|--|-------|
Alm at inpars o nl aubeli euentn o messag ier	-|-⌫--⌫-|--|-⌫-⌫||---|--⌫----|-⌫|------⌫--|
L usianes epaine	-⌫-----|-⌫|----|
mo lta parelli er Ysabiaus lorc arga .iii.uaillans	--⌫-|-⌫-------⌫-|-------|--|-⌫---|----|-------|
es c ui ersC estPonces et	--⌫-⌫--⌫--||--|-----|-|
B ernarset	-⌫-----|-|
Rainausliprosiés	------|-|-------|
N é fur e ntd eSoi son[s]f ilalconteGau ti er Co usin germ ain	-⌫-|---⌫-⌫-|-⌫|---⌫-----|-⌫-|-|----|---⌫--⌫-|--⌫---|----⌫--|
s au oit[onques]nie nt A nçoisqueils oit	-⌫--⌫--|-------|---⌫-|-⌫-----|--|-|-⌫--|
liarontgrant	-|----|----|
mestier.Ilmetentas almaries	-------|-|-----|-|-------|
lesbruns elmes	--|----|----|
dachie rEtaua lent es coufr eslesblan saubers	|-----⌫|-|---⌫---|-|-----⌫-|--|----⌫|-----|
doubl ier[s]	-----⌫-----|
Et meneren tende st re lesbo ins corans destrier[s] Et	-|-------⌫|-|--⌫--⌫-|--|--⌫--|-----|----------|-|
portent lesescuse t	------|--|----|-⌫|
les tra nch ans e s pie us Et	--|---⌫---⌫--|-⌫-⌫---⌫-|-|
monterentso r	--------|--⌫|
le smul èsprosiés	--⌫|---⌫--|-------|
A mol t grantioieis sire nt delachité	|---⌫|----|---|--⌫----⌫-|-|-|-----|
dOrli ens. L	|----⌫---||
enp er eredeFrancelesala conuoier	---⌫--⌫--|-|-----|--|--|-------|
Sioten sac ompaigne	-|-|-|-|-⌫-------|
c he u aliers. Ilapp elaA iol	-⌫--⌫-⌫------|-|---⌫--|-⌫--|
parmoltgran tamistiet	--|---|----⌫|-------|
Amisd istl	---|-⌫--||
enperereieuousaiformentchi erSe	-------|-|---|-|------|---⌫-|-|
Dam ede[x]ched onequ euossainreperr iés	---⌫-----|--|-⌫--|--⌫|--|---|------⌫---|
. IIII. chastieu s	-⌫----|--------⌫|
enF rancheuosdonra	-|-⌫-----|--|----|
ioenfie f. - Sirech edist	-|-|---⌫-||---|--⌫|---|
grantmerchienaié sMai sde uostrecon tree	----|-----|-|----⌫|---⌫|-|-----|---⌫---|
ne uosuoil	-|--|---|
ab aisierAnçoisu ousu a ura ib ienseruir eta u an cie r.	--⌫-----|------|-⌫--|-⌫-⌫---⌫|-⌫--|-----|-|-⌫-⌫--⌫---⌫-|
SeDamede[x] ced on e quepuise repairier A losde	-|--------|-|-⌫--⌫|--|----|--------||--|-|
uo s barons	--⌫|-----|
que uo usaués pluscie r[s] Seu osch oumedonés	--|--⌫-|----|---|---⌫---|-|-⌫-|--⌫-|-|-----|
ose rontiugierCerte s uosen serés moltd urem ent carciés.	---⌫---|-----|-----⌫|--|-|-----|---|-⌫----⌫--|--------|
At ant sedepartirentsi	--⌫--|-|----------|-|
demanden tcongié Liroisles commanda	--------⌫|------|-|---|--|-------|
alperedroitu rier Quil	-|---|------⌫---|-|-|
desf engelorcorsde mortet	----⌫---|--|---|-|---|-|
encombri er.Si l seus t l auen t ure desmortexlos e ngi e rs	--------⌫--||-⌫|----⌫||----⌫-⌫--|--|-----|---⌫-⌫---⌫-⌫-|
Quie l boslesatendent	--|-⌫|--|--|-------|
ade tr encier Moltenuis le s	---⌫--⌫-----|---|----|--⌫|
l aissa[st]issi seul[s ]cheuaci er. Ysabiaus en plora(st)des	-⌫--------|---|------⌫|-------⌫--|-------|-|--------|--|
biaus iexdeson cief Lusianesa fillen e	----|--|-|--|---|------|-|----|-⌫|
se seu(s)t	-|------|
conseil lierQuelenesepasm astsor larçon	-------⌫---|-|--|-|-|----⌫--|--||-----|
Fill e distYsabiaus cestdeulesteut l aisier.Sa me re	----⌫|---|-------|---|---|-----|-⌫------|-|--⌫-|
redreche ole uiaire	-------||-|-----|
fier.Aitant s edepart[ir] ent	----|-----|-⌫|----------⌫--|
prende n ta	------⌫-⌫||
ceua lcierL ibaronetlesdam es	----⌫----|-⌫|----|-|--|---⌫-|
repairent aOrlien sEt	--------||------⌫|-|
li m esageenuon tque Diexpuis tconselier.CXuI	-|-⌫----|-|---⌫|--|---|----⌫|---------|---|
cheu auce Aiol[s]li troibaronge ntil Etli.i ii.	----⌫---|------|-|---|----|--⌫---|-|-|--⌫--|
c esfurentilsis . U nepleuetechiet	-⌫-|-----|-|---⌫|-⌫-|------|----|
sifai soitmolts eri	-|---⌫---|---|-⌫--|
Aiolscantaunson	----|----|-|--|
poreus a e sbaudi r Quantlison [s]fu	--|--||-⌫------⌫|----|-|---⌫--|-|
finésaporpenser seprist.	-----||--------|-|-----|
S ign orche distYlaires	-⌫---⌫-|--|---|------|
entendé sen uersmi Anu it	--------⌫|-|---|-|---⌫-|
songaiunsongedontfor ment sui	-----|-|----|---|---⌫---|--|
mari[s] Quelbosde	------|-|-|--|-|
Quintefoille n os estiemesto ut misLa u i g e .ii.	-----------|-⌫-|-------|--⌫-|--|-|-⌫|-⌫|---|
broionsfo rs	------|--⌫-|
delbreulletiss ir Lesmenbres	--|-------|---⌫-|--|------|
nosuolloientdesme mbrer et	--|--------|-----⌫----|-|
tol ir QuantDiexnous enaid a parla	---⌫-|----|---|---|-|---⌫|--|-|
soiemer c hi S	---|---⌫-⌫-||
a uie ́sau oec uos.iii.brak é sde gr antprisQu itout	-⌫---⌫-|--⌫--|--|----|----⌫--⌫|-|--⌫--|---|--⌫|---|
aidoi en tmolttost	-----⌫--⌫|---|---|
adepartir.I aliparentMakairen	|--------|-⌫|-|-----|------||
Aiolam i E lb osdeQuintefoillese	---|--⌫|-⌫|-⌫-|-|-----------|-|
seroientt ostmis.	-------|-⌫--|---|
Semes consaus es toit ne creu s ne oisNous	-|--|------|--⌫---|-|----⌫|-|--|---|
p[r]end eronsnos	-------⌫----|--|
armes sornosde striers	----|--|--|--⌫------|
deprisS enserom es	-|---||-|-----⌫-|
pl usseuretplus	--⌫-|---|-|---|
fit Etsen ous	--|-|-|-⌫--|
pas sonsout re quene soi ons	---⌫---|---⌫-|--|-|---⌫--|
re quisPa r	--⌫---|--⌫|
Di eu deld e sarm er nepoonsfa ire pis.-	--⌫-|--|-⌫-⌫----⌫-|-|----|--⌫--|---||
Amische distAiolsoraué s	---|--|---|----|-|----⌫|
uosbien d i tQuiconsel	--|---|-⌫-⌫|--|-----|
uie utcroirebiendoist estrehonis.Il	---⌫-|-----|---|----|----|-----|-|
dessenden tater re	---------⌫||---⌫-|
pendan tdu nlairisEtli	------⌫||-⌫|-----|-|-|
fran cescuier lesserue nt ap laisir	----⌫|------|--|-----⌫-||-⌫-----|
on tues tules bl ans	--⌫|---⌫-|--|--⌫--|
hau berstrel lis Puis fremerent	---⌫---|----⌫--|---|--------|
esciésles uers elmesb run is	-|----|--|---|----|-⌫---⌫-|
Etç aingent lesespe es dont li	-|--⌫------|--|----⌫-|---|-|
brancsontforbi(s)Etpendent	----|---|-------|-|------|
causlesforse sc usua utis	---|--|---|-⌫--⌫-|--⌫---|
Etmontentes ce uauscoransetarabi s.Q uantAiol[s] fu	-|------|-|--⌫---|-----|-|-----⌫-|-⌫---|------|-|
a reg ard erses tpris	|---⌫---⌫-||--⌫|---|
en tresesdens quenus	--⌫--|--|---|--|--|
enten diPle ustace lsignor quiles paine ssofri	-----⌫-|---⌫--||--⌫|-----|--|--|-----⌫|----|
ch ifustor(e)Makair es etde	--⌫|---|----|------⌫-|-|-|
ses p arenssisA nquilor	--|-⌫----|--|-⌫---|--|
uende ro iea	-----⌫--⌫-||
brancdachierforbiLe	----||-----|----|-|
grand dolor m onpereq u	----|----|-⌫-|---|-⌫|
ilcach aelessil.E Dieusporcoiseuan te	-|----⌫|-|-----||----|--|--|-|---⌫-|
licheualiers	-|---------|
gentis Iaançoisnenertuespresn el i	-----|-|------||-|--|------|-⌫|-⌫|
ior [s]adeclin	---⌫--||-----|
Seilpars aproeche	-|-|--|-⌫|------|
nesenpeu tdepartir Molt	-||-|---⌫|-------|---|
en seradolant	-|---|-----|
ains qu e soitauespri.	---|--⌫|---|-------|
CXuII Orson ttou t.iii .	----|-|---⌫|---⌫|----⌫|
a rmélin obile baro n	-⌫---|-|-⌫----|----⌫|
a luentdesto rtlesuermel[s]confanon[s].	-⌫|---|-----⌫-|--|--------|-----------|
Aiolsse ra gardas	----|-|--⌫----||
apu i a sorl arçon	---⌫-⌫|--||-----|
Rainalt son	------|--|
esc uieren	---⌫---|-|
amis ara ison	|--||--⌫---|
Or pensés	-|------|
deb ien fairedist Aiol [s] gentixho n Seche	-|-⌫--|----|---|----⌫--|-----|--⌫|-|--|
ui e n t abataill eque	--⌫-⌫-⌫||-------⌫|--|
Garde ́ sbien uoarnas	-----⌫-⌫|---|-|----|
so ie ́ sbrico n.-	--⌫--⌫-⌫|-----⌫-||
Enlamoie fo isire	-|-|---|--⌫|---|
liescuier[s]	-|---------|
respon tSe cheu ie nt a bataillequeuoie le	------⌫|-|--|-⌫--⌫-||-------|--|---|-|
Iad e gardera rnasne	-|-⌫|-----|-⌫---|-|
tenromesrais on	-------|----⌫-|
Mainte communal ment	-----|--------⌫---|
toutensamble feronsEntremoi	---|-------|-----|----|--|
freres andeus	-----|-----|
danselons.Nous f umesfi l	---------|---|-⌫---|--⌫|
Ga ut ier leconte	--⌫--⌫--|-|----|
deSoison[s]	-|--------|
Et cilfufrereEl ielenobilebaro n	-|--|-|----|--⌫-|-|-----|----⌫|
Quifuca cié sde	--|-|--⌫----⌫|-|
pa rmo rtel traisonBiennous	--⌫|--⌫---|------|---|---|
uie ntdelinag e q uecascun[s]	---⌫-|-|-----⌫|-⌫-|--------|
soitprudom.Qu ant	---|------|--⌫--|
Aiolsle ntendigrantioieotli	----||-⌫-----|----|---|-|-|
hom .CXu IIIOrson tt out .iii. arméli	---⌫|---⌫--|-|---⌫|-⌫--|----|----|-|
nob ileuasal	---⌫--|----|
Eto ntal uentdes to rtles pen gonsde	-|-⌫-|-|---|---⌫--⌫-|--|---⌫---|-|
cendal. Aiolslifiex	------|----|-|---|
Eliesor des trere ga rdaDame lde ́ etson nondure mement[l.	---|--|---⌫--|--⌫--⌫--|----⌫---⌫|-|--|--|----⌫--------|
d urement] reclama.Li.x.furent	-⌫-------|-------|-|--|-----|
elboscuiDextramace	-|--|--|--|------|
Cis Fe ransde Losane	--|--⌫---|-|-----|
Agenonapela	-----|----|
EtGar inetRi char t et	-|---⌫-|-|--⌫----⌫|-|
HugondeMonbartEt	----|-|------|-|
Iofroi de uer sonetsonfrereGontart	-----|-|---⌫--|-|--|----|------|
EtGuillaumeleBr une tsonfrereReinartEtde(l)	-|--------|-|--⌫-|-⌫|--|----|------|-|----|
Ro imorenti n	--⌫--------⌫|
aapeléBernart	|-----|------|
deluengierfait il baronuasal	--|------|---|-|----|----|
uésl ales.iii. a rmés	---|-⌫|--|----|-⌫----|
cascun[s]a	--------||
sonceua l.Et	--|----⌫-|-|
Io froi[s]	--⌫------|
et Ylair e ssontch eualierloia lSenous	-|-----⌫-⌫|---|--⌫------|----⌫|-|---|
lesoc hions	--|--⌫----|
fe ron s e tmalIls ontde gran t l inage	--⌫---⌫|-⌫|--|-|-⌫--|-|----⌫|-⌫----|
nai stra Maisalons inos.iii.l ep endantde c he	---⌫---|---|----||--|----|-⌫|-⌫-----|-|-⌫-|
Sifaiso mesmar chiéasnob ile[s] u asal[s]	-|-----⌫--|---⌫----|-|---⌫-----|-⌫------|
Quentrenousl or donrons to utcarg i é.i.c eual	-|----|---|-⌫-|------|--⌫-|----⌫-⌫-|--|-⌫---|
orfinetargentetsai[en]tmai ntcendal	-|--|-|-----|-||------|---⌫-|-----|
Ma is qu euengier	--⌫-|--⌫|------|
no uslai sentdelquiuert des loial. -Io	--⌫-|---⌫---|--|------|---⌫-----||-|
iraidistRichiers	---|---|-------|
deMonbart Etde (l)Roimore nti n ensemblenos	-|------|-|--⌫--|-------⌫---⌫|-------|--|
Bernars EtuosReinart[i]chic asc un[s]sor s once ual.	------|-|--|------|-----|-⌫---⌫----|--|-⌫-|--⌫---|
Senousa uons besoing ne	-|---|-⌫---|------|-|
uosa targiésia	--|-⌫-------|-|
Maisu enés nos	---|-⌫----|--|
secoureisn elementlepas. Et cil	------|---⌫------|-|---|-|--|
ont responduNe u os	--|-------|-|-⌫-|
esmaiésia Alésseure(e)men tia nusn e uous	-------|-|----|-----------⌫|-|--|-⌫|---|
troi senaualerent lepe nd antdu nc ostal	---||-|--------|-|--⌫--⌫--||-⌫|-⌫----|
Aio lsle suoit	---⌫-|--⌫|---|
uenir quireconnu slesa	----|--|-------⌫|--||
Tre ́sbien	---⌫-|---|
uitalorarmesqued e	--||--|----|--|-⌫|
r iensnes amaS es	-⌫---|--|--|-⌫-|
comp aignonsap eledouchementlormos t r a	----⌫------|--⌫--|---------|--|---⌫-⌫-⌫|
Qu e lle uaurésu osfaire fr an ccheualierloi aluolés	--⌫-⌫|-|------|-⌫-|----|--⌫--⌫|--------|---⌫-|-----|
aidierucascun [s]mefauraEtilontrespon d u	-----||------⌫--|-|----|-|-|--|------⌫-⌫|
par lésia .C.dehe ̀s ait el col quii a	---⌫---|-|--|----⌫-|--|-|--|--|-⌫|
senpen sera	|-|---⌫---|
riensenterele	----|-|---|-|
uostrecorsfaura.	-----|---|-----|
QuantAiolsl	----|----||
entendionq uesnesetargaMa l	------|---⌫--|-|-|----|--⌫|
a i t o nquesparolenediti	-⌫-⌫|-⌫----|-----|-|--||
escoutaIl broche	------|-|-----|
Marchega iq ui	--------⌫|-⌫-|
m olttostl enportaEt	-⌫--|---||------|-|
abra ndiel	|---⌫---||
anstedelespi e lqu ilporta Deuanten	----|-||----⌫-⌫|-|-|----|-----|-|
e scufiert Huon deMonbar D e sor	-⌫--|----|---|-|-----|-⌫-⌫--|
la bou cle	-|---⌫--|
lifraintet	-|-----|-|
pechoiaEtla uberc	------|-||-⌫----|
d e s o ndos desronte tde smailla Par	-⌫|-⌫-⌫|--|------|-⌫|--⌫------|--|
mioutrelecorsla lanchelipassa	-|----|-|---|-|-----|-|----|
Toutepl ainesal anchel	----|--⌫---|-|-⌫----||
a bati d el c eu al EtescrieMonioiealoi	-⌫---|-⌫-|-⌫--⌫-|-|-----|------||--|
do meuasal	|-⌫-|----|
Fil aputaingloutonuosnigarire ́s	--||-----|------|--|||------⌫-|
ia .ChouestAiols	--⌫|---|--|----|
meismesqu ireconnus uosaA l espee tranchanta	------|--⌫|-------|--||||----|--------||
aco r dera CXI X Aiolslifie xElie abatile	---⌫-⌫---|---⌫|----|-|---⌫|---|----|-|
Et Ioberset Ylairesfu rent boi n	-|-----|-|------|--⌫---|---⌫|
C oragous et	-⌫------|-|
a rd itpor l es armes	-⌫--⌫-|--|-⌫-|----|
baillier.A mbe duil ai se nt	--------|-⌫---⌫--|-⌫--⌫--⌫-|
core nes euaurent t arg ier Q ua n que cheuauspeustrendre	---|-|-⌫|------|-⌫---⌫--|-⌫--⌫-⌫--|------|----|-----|
es pe ronsd ormier Cascun[s]fer i	--⌫--⌫---||-|---|--------|---⌫|
les iennelamie	-|-⌫--|-|||--|
espargnietOnquestoutesl or armes nelorore n t	---------|-----|-----|-⌫-|----|-|--|---⌫-⌫|
Qu emo rsn e s aientf a itatere trebu chier.	--⌫|--⌫-|-⌫-⌫|----|-⌫-⌫-||---|-----⌫-----|
Hui mais porésoir	---⌫---|-----|--|
des.iii. fran sesc uier s Quantu irentles .iii. mo rsainc	--|----|----⌫|---⌫----⌫|----|-⌫----|--|----|--⌫-|---|
furentsilie ́Chel epart sontuenu	-----|-|---⌫|----⌫|---|---|---|
es r antsans detrie r	--⌫-⌫--|---|------⌫|
Desronchin sdess e ndirent isn elem e ntapiéSiloron t	--|-------⌫|----⌫-⌫------|---⌫----⌫-⌫-||---|-|--|--⌫|
uersel mesdes testes esracie ́s Sil ortraientdes	---|--⌫--|--|-----|-------⌫-|-|-⌫-|------|--|
blancsau be r sd oubl iersIsnelementlesuestents	-----|--⌫--⌫-⌫|-⌫----⌫---|---------|--|------||
e lm es lachiésEtç aingentlesespees as	-⌫--⌫-|-------|-|--⌫------|--|-----|-|
brans forbi[s] d	----|-------||
a chi erEtpendentale u rcausleses cus	-⌫---⌫-|-|------||--⌫-⌫|---|--|--⌫--|
dequartier	-|-------|
Puislais entles roncinsensel p réestraier.Sisaillirent	---|----⌫--|--|------|--|-|-⌫--|--------|-|---------|
se lesdesaufer anscorsie rs Huimaisseront	--⌫--|--|-----⌫--|------⌫-|------|-----|
il .ui.a le stor	-|---|||-⌫---|
commenchier.Li .uii.furen telbos dolant	-----------|-|----|-----⌫|-|--|-----|
et courechié	-|---------|
uolentierssen fuissent	---------||-|-------|
m ais n elor uau ranient Cari l n	-⌫--|-⌫|--|---⌫-|----|--|-⌫||
ontnulrece tu	--|--|----⌫||
puisent her bergier.Forsdel	------|---⌫-------|---|--|
bosse n issi rent	--||-⌫|----⌫---|
liqu iuertre n oiéParpr oechesaualent	-|--⌫----|--⌫-⌫---|--|--⌫----||------|
escuie r Deuantsorlesescusfierent le s	------⌫|-----|--|--|----|------|--⌫|
.iii.p remiers	----|-⌫------|
Qu eçainglene p oi tralnelor ot ainc	--⌫|-------|-|-⌫--⌫---|-|--|-|---|
mestier Queparter enes	------|--|--|---⌫|--|
facent cont reualtrebuc hi er.	-----|----⌫----|------⌫--⌫--|
EtAiols etYl a ire s	-|----|-|--⌫-⌫---⌫|
e tIobersli	-⌫|-----|-|
guerr iersLaissent corea eslaislesboinscorans des tri ers	-----⌫---|-------|---||-----|--|----|-----|---⌫---⌫--|
Et uont ferirles.iii.	-|---|----|--|----|
e s escusde	-⌫|----|-|
qu artierDesor le sb o ucles	--⌫-----|----|--⌫|-⌫-⌫----|
dor lesont	|-|--|--|
frainset perciés Leshaubersde lo rdos	-----|-|-------|--|------|-|--⌫|--|
de srou s et	--⌫----⌫|-|
desmailli és E t lesfe rs	---------⌫--|-⌫|--|--⌫-|
et les fus lor	-|--|--|--|
cor s baignier	---⌫|-------|
Commorslestrebuchierent el pen dantdu	--|---|--|------------|-|---⌫---|-|
sentier.ED ieusched istAio lsparta	-------||-⌫---|--|-⌫--|---⌫-|--|-|
saintepitié	-----|-----|
sui richementde	--|--------|-|
cesgloutonsuengiés	--|-------|-------|
Une nprisen t	-|-⌫|------⌫|
toutuiflespoins	---|--|--|----|
luio ntliésLe s	--|-⌫-|----|--⌫|
molt tostdes aube rsd es polliésCele	---|---|--|----⌫-|-⌫--⌫-------|---|
trainentasceuesde destriersTous.x. le s	-------|-|----|-|--------|---|--|--⌫|
ipendi rentains	|-----⌫---|---|
ne nprisent loier.Iaf u	|-⌫|------|-----|-|-⌫|
Bernarspendus .i.moltriche	------|-----|--|---|----|
t errie rs Iltie ntRoim oren ti n.i.grand castel	-⌫-----⌫-|-|---⌫-|----⌫----⌫--⌫|--|----|-----|
.uii .iorneeslagrant chité	----⌫|------|-|----|-----|
dOr liensP ar deuers	|--⌫----|-⌫-|-----|
leBerriestf orset batelliésCil	-|----|--|-⌫--|-|---------|--|
estoi t niés Makaireet	-----⌫|----|------|-|
fre reRe inierPuisenaui(e) ntAi ol.i.	---⌫-|--⌫----|---|-|------⌫-|--⌫-|--|
sifort e ncombrier	-|---|-⌫--------|
Ains quilentrastenFranche	---|-|-|------|-|------|
nequi lueistOrliensQuil	-|-|-⌫|----|------|-|-|
enot telpaorde la teste trenchier	-|-|--|---|-|-|----|--------|
Que il niua usistestre	--|-|||--⌫----|----|
porle chité dOrliens. Aiolsli	--|-|-----||-------|----|-|
fieu s Elieal duc parla	----⌫|---|-|--|----|
premier[s]S i gnorfra nccompaig non fai tesp aissi moiés	---------|-⌫-⌫---|---⌫-|-------⌫--|---⌫--|-⌫--|-||----|
Don tnestde sornous .i ii.limesagescargié s	---⌫||--|-|--|---|--⌫--|-|------|-------⌫|
deuonsmenerplus	-----|----|---|
au t r escheua liers Puis qu ecis .iii. ua let	--⌫-⌫-⌫-|-----⌫----|---|--⌫|--|----|--⌫--|
sesont aparelliéMal	-|---|---------|--|
de haitaite lcole nla barbe	--⌫---|--|-⌫|--|-⌫|-|----|
iamais lorta ur alenonde ch eua lier.	-----|--|--⌫--⌫|-|--|-|--⌫---⌫----|
seruoientuoirche ser oitpeciésIlneledoiu ent	--------|---|--|---⌫--|------|-|-|-|----⌫--|
f airepuisqu il sontcheualier Ma is	-⌫---|-----|-|---|--------|--⌫-|
orprengentl eskiec	-|-------||-----|
qu au ons cigaingiet	-|--⌫--|-|-------|
Sireuoisent	-|--------|
ariere enl achité d	-----|-|-⌫|-----||
Orlien sS idirontLoeyscomauons	------⌫|-⌫|-----|----|--|----|
e sploitiet. Etcil	-⌫---------|-|--|
ont respo ndi	--|-----⌫--|
Moltpa r auésditbien.Qua ntli	---|--⌫|----|--|----|---⌫-|-|
oi rentmoltenfu rent ir i et	--⌫---|---|-|--⌫---|--⌫-⌫-|
