formCi comence liseconz	---|-|------|-|-----|
ceusqu ielisse nta rbistre s p rometen tpoinel	---|--⌫|------⌫-|-⌫-------⌫|-⌫-------⌫|----||
unep ar tieà lautrequepourpoorde	--|-⌫--⌫--|-||----|--|---|---|-|
lapoinesoient tenudega r de r lasentenc e	-|----|-----|---|-|--⌫-⌫--⌫|-|-------⌫|
Messe la misefu diteiusc à	--|-|-|---|-|---|---|-|
queliour pou rroit	---|---|---⌫----|
larb itre dire sasen tenceet illadit	|---⌫---|---|-|---⌫----|-|-|-|--|
ou treceliorlas entenceest	--⌫--|--|--|-|-⌫------|--|
nulenecelqui	---|-|--|--|
nobeis tàt elsentenc ene	|-----⌫|-|-⌫-|-------⌫|-|
doitpaiernule poin e	---|----|---|----⌫|
E ntre m oi et	-⌫---|-⌫-|-|
toi feimes misede la q u erelequenos auionstu	--|-----|---|-|-|-⌫-⌫----|--|--|-----|-|
neuousisuenirau	-|-----|----|-|
ior que nos auoitensegnié nostrearbistre	--|--|--|----|--------|-----|-------|
Cert esdit	----⌫-|--|
li emp ereresque tudoiz la peinequi	-|---⌫-----|--|-|---|-|----|--|
fuestablieen la	-|-------|-|-|
Entretoi et	----|--|-|
ta filleauoitunequerelesenfu fet emis e	-|----|----|--|------||-|-|---⌫|---⌫|
Lesarb istr esdonerentla sentencecontretoi	--|---⌫----⌫-|-------|-|-------|-----|--|
pourta fille	---|-|----|
Tu neuouloiesobeirà lasente nce .	-|-|-------|----|-|-|-----⌫--||
Fudemandé àlempereorsetudeu oies paier	-|-------|-||-------|-|-|---⌫---|----|
l apei nequi	-⌫|---⌫-|--|
fuestablieenla mise	-|-------|-|-|---|
Ditliempereresqueselesa rbistre s pourdeniers	--|-|--------|--|-|--|-⌫-------⌫|---|------|
oupourgrace	-|---|----|
de ta fill e donerent	-|-|----⌫|-------|
lasenten ce	-|------⌫-|
seledemandelapei nneque fu pr omise	|--|------|-|---⌫--|--|-|--⌫----|
parsti pulaci ontu	--|---⌫------⌫-|-|
pou rras mest reencontre excepciondes onmaubarat oup ourras	---⌫---|----⌫-|-------|--------|-|-⌫-|--|----|-|-⌫-----|
demander àtafillelapoinepou rl aclaus eque	-------|-|-|----|-|----|---⌫|-⌫|-----⌫|--|
lenseultmestr ees misse s quantlen fet	|-|----|-----⌫|-|-----⌫|----||-|--|
la sti pul aciondelap oinne	-|---⌫---⌫----|-|-|-⌫----|
que les pa rtiesprometent	--|--|--⌫----|--------|
quiln e ferontriensparengin	-|-|-⌫|-----|----|--|----|
entoute lacaus e.	-|----|-|----⌫||
Liem pereresI u stinia nsdit Pou r cequep ariure	-|--⌫------|-⌫-⌫------⌫-|--|---⌫-⌫-|--|-⌫-----|
nes oit fetselesa r bistress onteli zpar	-|-⌫--|--|-|--|-⌫-⌫------|-⌫--|---⌫|--|
sairementet	--------|-|
d esloia x homes	-⌫------⌫|----|
n aientcongiédeescharnirles sentencesdesarbitre s	|----|------|-|--------|--|--------|--|-------⌫|
nosiuion s q u e ce ste	--|-----⌫|-⌫-⌫|--⌫--|
ch osedoitestreordeneeparnos.	--⌫--|---|----|------|--|--||
Donques separ	------|-|--|
auentur ecilquidemandeetcilquidesfent	-------⌫|--|--|------|-|--|--|------|
arbitreuoelent quelachose doi e	------|------|--|-|----|---⌫|
a ler parsairementetles pledeorsmeismes	-⌫--|--|--------|-|--|-------|------|
escriuent ce de le ur s	--------|-|-|--⌫--⌫|
meinso usoit e scr it	----|-⌫|---|-⌫---⌫-|
parmei n decomunel notoireou	--|---⌫|-|------|------|-|
lesarbitresmeimesdientce en actesdeuan tle	--|-------|-----|----|-|-|----|-----⌫|-|
iugeordinairec estquelarbitreestes leuz par	---|--------||--|--||------|--|--⌫---|--|
sairementd es partieset sece ieste ncore	--------|-⌫-|------|-|-|-||--|-⌫----|
aioste ́que	------⌫|--|
larbitremeime saiuréquil	|------|-----⌫||----|-|-|
deliuerrale pletparueri télors	--------|-|---|--|----⌫--|---|
sasente ncedoitestre gard eeferme ment neledemandeor	-|-----⌫--|---|----|----⌫-|-----⌫---|-|-|--------|
neled esfendeor ne	-|-|-⌫--------|-|
s enpo rront	|-|--⌫----|
p artireinz leur couientob eiràsa	-⌫----|---|---|------|--⌫--|-|-|
sen tence entout esmani eres.	---⌫----|-|----⌫-|----⌫---||
Messece nese troeue	--|-|-|-|-|-----|
fet ouescritdel a rbitr e mesl e spartie sm o uterron t	--|-|-----|-||-⌫-----⌫|--|-⌫-⌫|------⌫|-⌫-⌫-------⌫|
parl e tres quil ont	--|-⌫-⌫---|-|-|--|
iu ré quiltendr ontlasentencedeleur ar bitreen	--⌫--|-|-|-----⌫--|-|-------|-|---|--⌫----|-|
cestquasau sint	---|---|--⌫---|
u o ulo nsquela sen tencedel ar bitres oit	-⌫-⌫---⌫-|--|-|---⌫----|-||--⌫----|-⌫--|
bie ngardeee tl eursletres	---⌫|-----|-⌫|-⌫---|-----|
desparties auront for ceseilescri uirent deu	--|------|-----|---⌫-|-|-|-----⌫-----|--|
comenc ementou a pré s quantil e slis soientlarbitreou	------⌫----|-|-⌫----⌫|----|-|-⌫----⌫-----||------|-|
apréslasente nced elarbitre	-----|-|-----⌫--|-⌫||------|
le troeuel enescrit	-|-----||-|-----|
iurédestre à son dit	----||----|-|--|--|
Messel arbitre touts euliure qu	--|-||------|---|-⌫--|---|-|
ili uger aàdroit par prieredes	-|-⌫----⌫|-|----|--|-----|--|
parties et cesetroue	------|-|-|-|----|
escrita u si nc uaudra encestquassasen tenceco men	-----|-⌫-⌫--⌫-|-----|-|---|---|-|---⌫----|--⌫|-|
ceu spar desuse tserafermeen	---⌫|--|----|-⌫|---|----|-|
tout e s manieresparloi	----⌫-⌫|-------|--|--|
Et en touzces	-|-|---|--|
accionc ilpour quilasentenc e seradonee	-----|-⌫-|---|--|-|-------⌫|---|----|
ouaccionou f etau sicome da ut re	-|-----|-|-⌫-|--⌫-|---||-⌫--⌫-|
sen tencedeiugeou condi ccio n dela	---⌫----|-|---|-|-----⌫----⌫|-|-|
accione nla chosesicom lamanier e deufet	-----|-⌫|-|----|----|-|------⌫|--|--|
Messe pa rau enturenuletel cho se	--|-|--⌫|--⌫-----|---|--|---⌫-|
puet e stretroueene escr itenedit e	---|-⌫---|-----|-|----⌫--|-|---⌫|
mes lun e despartiesditqu i l	--||--⌫|--|------|--|-|-⌫|
ontiuréquil	--|----|-|-|
seront audit	-----|-|--|
deleurarbitretie usparo les despledeo rs	-|---|------|---⌫-|----⌫--|--|------⌫-|
ned esarbitre smeimes ne doiu e nt	-|-⌫-|-------⌫|-----|-|----⌫-⌫-|
estrecreuescar s e aucu n ditque sairementa	----|-----|--|-⌫|----⌫|--|--|--------||
esté donénilnedit	----|----||-|-|--|
pard euantl eiuge ne nuleescritur ene pert	--|-⌫----|-⌫|---|-|---|--------⌫|-|---|
decetelequer e lequinest	-|-|---|----⌫-⌫-|--||--|
certeine qui souenta ui ent en t r ehome snicesnefer a	-------|--|-----|-⌫--⌫--|--⌫-⌫-⌫|----⌫|----|-|---⌫|
nulpreuàlachose	--|---|-|-|----|
quieinsi sera iuchieemesc e	--|----|---|------|--|-⌫|
uaud ra ences tquas	----⌫-|-|---⌫|---|
qu elesenciansestablirentpo ureslirearbitres .	--⌫|--|------|----------|--⌫-|-----|-------||
Messeaucun	--|-|----|
aprés lasen tenc e d el ar bitre	-----|-|---⌫----⌫|-⌫||--⌫----|
es crit en celemeimes sentenc e grie u	--⌫---|-|---|-----|-------⌫|----⌫|
qui sen e fie‘ iene	--|---⌫-⌫--||-|-|
c ontredimieia	-⌫------|--|-|
so itcequilnedie	--⌫-|-|-|-|-|--|
‘ielouou‘g ereçoifceque les	|-|--|-||-⌫|------|-|--|--|
arbitre sdie ntil	-------⌫|---⌫-|-|
sera contreint à fereetaconplircequ i la	---|--------|-|---|-|-------|-|-|-⌫||
o str oié par acci onenfet	-⌫---⌫---|--|----⌫-|-|--|
dela s entenceduiuge.	-|-|-⌫------|-|---||
Carquel e disferance	--|----⌫|---------|
e s tenc eseil dit‘	-⌫-⌫|-|-⌫|-|-|--||
ie ostroiece stesentence o uce st eparoleestle ssie eCertes	-|------|--⌫--|-------|-⌫|--⌫--⌫|-----|--|--⌫----⌫|-----|
nule dis ferance	---|---⌫------|
ia carseles parole s	||--|-|--|------⌫|
quisontcostumeesesstipu la cion s etlaoutr acheuse sutilitéest	--|---|--------|-|-----⌫--⌫----⌫|-|-|----⌫------|--------|--|
osteep arnosquinouelement	----|-⌫-|--|--|---------|
feimesloisesqu el es nosamendas mesmeinzuices	-----|---|----⌫--⌫-|--|-------⌫--|----|----|
destipu lacionset	-|-----⌫------|-|
mein te sdoutes et meinz	----⌫--⌫|-----|-|----|
en peesch e menzpour quenostonsen tele	--⌫------⌫-⌫---|---|--||-----|-|---|
escripturetouteladoutedel en c ian	---------|----|-|----|-||--⌫-⌫--|
droit quese	----|--|-|
auc u n esc ritce s	---⌫-⌫|---⌫--|--⌫|
ch os esouaucunesd	--⌫--⌫-|-|------||
elesq uis enble quilostroit la sente nce et	---|-⌫-|-⌫----|-|-|------|-|-----⌫--|-|
quesoitcontreint à	--|---|--------|-|
fereceq ueliest	---|-|-⌫-|-|--|
co ma ndé Car il nestmie senbla ntq ue pou r ce	--⌫--⌫---|--|-||--|--|------⌫-|-⌫-|---⌫|-|
seule ment escr it ceq u il necontrediemes	-----⌫---|----⌫-|-|-⌫|-|-|--------|--|
p ourcequ i lac ompli sse	-⌫--|-|-|-⌫|--⌫-----⌫--|
ce contr eq oiilnepu etuenir.	-|-----⌫|-⌫-|-|-|--⌫-|----||
Ciuien tun eautentiquequiamendeceste loiq uidit	-|----⌫|--⌫|---------|--|-----|----|--|-⌫-|--|
Nos establisonsque nul	--|----------|--|--|
arbitresoit fet par sairemen t	------|---|--|--|--------⌫|
mesilestabli sentpoine etcelepeinne pai e ese	--|-|-------⌫---|----|-|---|-----|---⌫-⌫|-|
puissentlespartiesdepartirdel	-------|--|------|-------|-||
E ts econtre	-⌫|-⌫|-----|
ce es t fetle	-|--⌫|--|-|
iuge qui iuia	---|--|---|
malseil lefe tparen gini latendra	--|-|-|-|--⌫|--|--⌫--|-⌫|------|
po inede Di euse	--⌫--|-|--⌫-|-|
parnons a uoi rnulechosea ura dedou magefor sle	--|--|-⌫-⌫---⌫|---|----|-⌫--|-|---⌫---|---⌫|-|
saire men tne lespartiesniaurontmaldomage .	-----⌫---⌫|-|--|------|||-----|--|-----||
Cis tmeimes emper eresditAuan t d enos	---⌫|-----|-----⌫---|--|----⌫|-⌫|--|
estoitestabl iesarbitr esqu i estoiente slizsan znule	-----|------⌫|-|------⌫-|-||-------|-⌫---|---⌫|---|
poine n e nul	----|-⌫|--|
iugenesauoitdonezmeslespart ies	---|--|----|----|--|--|----⌫--|
sanznulcoman dementde iugeles	---|--|-----⌫-----|-|---|--|
esl issent quildo ient estr eàson	---⌫-----|-|-|--⌫---|----⌫|-|--|
I l auenoitqu esela sentence	-⌫|------|--⌫|-|-|-------|
fu stdon eepo urceluiquidesfendoitil auo i t	--⌫-|---⌫-|--⌫-|----|--|---------|-|---⌫-⌫|
exc epcioncomede	---⌫-----|---|-|
couenance mess elase nten cef ust	--------|--|-⌫|-|--⌫----⌫-|-⌫--|
doneepour ledema n deo r il nauoitnul preu	----|---|-|----⌫-⌫---⌫|-||----|--|---|
deceles entence mes nos establis sons	-|---|-⌫------|--|--|--------⌫---|
enc esarbitres que	-|-⌫-|-------|--|
seron tesleu par t elconsentemen t par cel couant so it	-----⌫|----|--|-⌫-|-----------⌫|--|--|-----|--⌫-|
escri tounon que ils e	-----⌫|-|--|--|-|-⌫|
t endrontà	-⌫------|-|
s as entences e	-⌫|-⌫------|-⌫|
parauenturelesp artie s sus c riuenten l asentence	--|-------|--|-⌫-----⌫|---⌫-⌫-----|-|-⌫|-------|
puisq uel eseradonee	---|-⌫|--⌫|---|----|
quecelese ntencened esplaistà nuledes parties le	--|---|--⌫-----|-|-⌫-------|-|---|--|------|-|
desfe ndeoren aura	-----⌫----|-|---|
excep c ionco mede couena ncemes	-----⌫-⌫--|--⌫-|-|------⌫--|--|
enc oreledemandeoraura accio n en fetq ui li	---⌫--|-|--------|---|-----⌫|-|--|-⌫-|-|
sera donee denosqu e la se ntencequi	---|----|-|--|--⌫|-|--⌫-----|--|
donee soit ma ndee àe xecucion .	----|---|--⌫---|-|-⌫-------||
Et cedoit estre feten cest eroialcitépar	-|-|---|----|--|-|----⌫|----|----|--|
l oficial del ha ut prefetet dece l i uge	|------|--|--⌫-|-----|-|-|--⌫|-⌫--|
de quiiuridic ion	-|--|-------⌫--|
es t le d esfendeoresautresprouince spar	--⌫|-|-⌫--------|-|-----|--------⌫|--|
les gouern eors et par	--|------⌫---|-|--|
les execut eurs o upa r lesiuges parquis edestreint	--|------⌫---|-⌫|--⌫|--|----|--|--|-⌫|--------|
le desf en d eor.	-|----⌫--⌫-⌫--||
ilnesuscriuen tenlasentenc equ	-|-|---------⌫|-|-|-------⌫|-|
i lostroientla sentencedelarbis tremes	-⌫|--------|-|-------|-||-----⌫--|--|
ilseturentetco mferm ere ntla	-|-|-----|-|--⌫-----⌫---⌫-|-|
sen tencepar le ur tairenededenz.	---⌫----|--|--⌫-|----|-|-----||
ior zaprésn	---⌫|-----||
enuoi er ent àd irepardeuant tesmoinza u	-----⌫--⌫--|-|-⌫--|--|-----|-------|-⌫|
iu geouàlauersair e l unà	--⌫-|-|-||--------⌫||-|-|
l autrep ar	|----|-⌫-|
que le iu g e entendeqil	--|-|--⌫-⌫|------||-|
n euouloient receuoirlasentencecelesentence	-⌫|--------|-------|-|-------|---|-------|
seracomf er meepour le t aire	---|----⌫--⌫--|---|-|-⌫---|
des partiesetlede sfendeorauraexcepcionetledemandeor	--|------|-|-|--⌫-------|---|--------|-|-|--------|
a ccionporquelquelasentencesoitd onee .	-⌫----|--|---|--|-|-------|---|-⌫---||
Messe lunedesparties reüse la	--|-||--|--|------|-----|-|
sentenc eau sicom est	-------⌫|--⌫-|--|--|
desusditneneueutreceuoirla sentencelo rscel e	----|--|-|-|---|-------|-|-------|--⌫-|---⌫|
sentencenefe ra	-------|-|--⌫-|
n ulepr eiuiss e nenep ourra	-⌫--|--⌫------⌫|-|-|-⌫----|
cil demanderaccion nea l	--|-------|-----|-|-⌫|
desfendeorexcepcio nforse n ce us	---------|--------⌫|---|-⌫|--⌫-|
arbitresquisontesleu parsairem entseloncque nostreconst itucion	-------|--|---|----|--|------⌫--|-----|--|-----|-----⌫------|
par desusaditiasoitcequenos	--|----||--|-|---|-|--|--|
sauon bie nlo pin ion deIule Poletdes	----|---⌫||-⌫---⌫--|-|---|--|-|--|
aut ressag es homesqui touchierent	---⌫--|---⌫-|----|--|----------|
celequestionquelenosd eterminons enpresent	---|-------|----|--|-⌫---------|-|------|
Mes ilne lad etermin erent parfitement	--|-|-|-|-⌫-------⌫----|----------|
mesi lcuiderentq ueassezestoi t reme ind reenuneste nporiau s	--|-⌫|--------|-⌫-|----|-----⌫|----⌫---⌫-|-|---|--⌫-------⌫|
accionsme s no sdefenissons p lus	------|--⌫|--⌫|----------|-⌫--|
planieremente tgenera lm entquese aucunestsemons par	-----------|-⌫|------⌫--⌫--|--|-|----|--|-----|--|
lestres par	------|--|
deuantlarbitre is siserad es pecié la	-----||------|--⌫-|---|-⌫--⌫-----|-|
teneure d e	------|-⌫|
lonc tens come	---|---|---|
f ustcomencié deu ant le iuge	-⌫--|--------|---⌫--|-|---|
ordinaire.	--------||
Et ce estab lissons	-|-|-----⌫------|
generaument en ces besongn esq u i so nt fetes p ardeuan t	----------|-|--|-------⌫-|-⌫-⌫|--⌫-|----|-⌫-|-----⌫|
les arbitresse aucu ne chose qui	--|-------|-|----⌫-|----|--|
apartiengn e au f et soitrecon eue ou	----------⌫|-|-⌫-|---|-----⌫--|-|
prou eepar tesmoinzlenem pourra usser par deuan t	----⌫-|--|-------||-|-|-----|----|--|-----⌫|
l esiugesordinaires	-⌫-|----|---------|
Cistmeimes emperer esdi tNos establissons	---|-----|-------⌫-|--⌫|--|-----------|
queles femmes soien t departiesdes c ompang nies	--|--|-----|-----⌫|--------|--|-⌫------⌫---|
des iuge squ elesnepuis sentestre	--|----⌫|-|---|-|----⌫---|----|
iuges nearbitrescar elesdoi uen testreremenbr anzde	----|-|-------|--|---|---⌫---⌫|----|-------⌫--|-|
leur chasteé	---|-------|
etde soeur es	-|--⌫|----⌫-|
q ue nat ure leurostro ie	-⌫-|---⌫--|---|-----⌫-|
c omande àgar deriasoit cequeau c une sso ient de	-⌫-----|-|---⌫--|-|---|-|--|--⌫-⌫---⌫|--⌫---|-|
grantpo uoir quirec ̧o iuen tarbitre	----|--⌫---|--|---⌫--⌫----⌫|------|
ous ele ssontpatronese teles oient	-||---⌫|---|-------|-⌫|---|----|
les plez qu i sont entre	--|---|--⌫|---|----|
leursfranchiz einsiq uepource	----|-------|----|-⌫-|-----|
qu elessonteslitesnuleexcepcionne n uleaccion	-|---|---|------|---|--------|-|-⌫--|-----|
seradoneeàdemanderpoi n econtreceus	---|----|-|-------|---⌫-⌫|-----|---|
quineu oudront	--|-|-⌫------|
obeir àleur sentence.	----|-|---|-------||
C idi t des seurtez qeba ille ntc ilqi	-⌫|--⌫|--|------|-|--⌫----⌫-|-⌫-|-|
plaidoi ent paraut res.	-------⌫--|--|---⌫--||
Cis ttitr eparoledesseurtez qui	---⌫|----⌫|-----|--|------|--|
donent encauses cezqui ueu l ent	-----|-|-----|--|--|---⌫-⌫--|
plaidierpa r proc ureo rs .	-------|--⌫|----⌫----⌫-||
Deceditliempe reresDioclician sCerte inecho se	-|-|--|-|----⌫----|----------⌫|-----⌫--|---⌫-|
cilquiestfet procure or	--|--|--|--|-------⌫-|
del demandeorpardeuantlei u g e	--|--------|--|-----|-|-⌫-⌫-⌫|
nedoit estr e contreintàdonerplegeque	-|---|----⌫|--------|-|----|----|--|
celpo urquiilesto stroiera cequil	--|--⌫-|--|-|--|-⌫-------|-|-|-|
fe racarence stquasil estc ome procure or de	--⌫-|--|-|--⌫-|---|-|--|-⌫--|-------⌫-|-|
estpresen t.	--|------⌫||
Donques secil qui lauoit fet	------|-|--|--||----|--|
procureor mue sa	--------|--|-|
uolentéetneue utquil soitproc ur eorc e	-------|-|-|--⌫-|-|-|---|----⌫--⌫--|-⌫|
qu il au ra f et	-|-|--⌫-|-⌫-|
ius qualors seratenuetga rdépar leiuge.	---⌫-|----|---|---|-|--⌫---|--|-|---||
Messela ut re partie li metenc ontre a u comenceme nt	--|-||-⌫--⌫-|-----|-|--|---⌫----|-⌫|---------⌫-|
allegacionde	---------|-|
desfensioncee sts e il	---------|-|-⌫-|-⌫|-|
uoud ra desf endrece lu ipourqui	----⌫-|----⌫----|--⌫--⌫|---|--|
ilestillic oue ndra àdonerplegedeu	-|--|-|-|-⌫---⌫---|-|----|----|--|
de sfendre c arde ldesfendre	--⌫------|-⌫-|--⌫|--------|
il nepou rra ale rau antdela que reledom	-|-|---⌫--|---⌫|--⌫--|-|-|---⌫---|--|
ile stprocureor	-|-⌫-|--------|
me s leprocu reoraudesfendeoriaso itce	--⌫|-|-----⌫---|-|---------|-|--⌫-|-|
q u ilsoitfet	-⌫|-|---|--|
pardeuantle iugeentoutes causes .	--------|-|---|-|-----|-----||
desde man desquen	--|--⌫---⌫--|-|-|
soloitdemander formes.	-----|-------|-----||
Cis ttitrep arole desf ormesdes accionset del	---⌫|----|-⌫----|--|-⌫----|--|------|-|--|
pourchacement d elesquiestoitencia n ement quese	------------||---|--|-----|-----⌫-⌫----|--|-|
