O rentendéz	-⌫|--------|
Lauei ̈ss i ézmainte croisaportee	-|---⌫---⌫-⌫--|-----|----|------|
Maint ence nsierdontbonneest la	----|----⌫----|---|----|--|-|
Tuitcilpreu o irechantent a grantcriee	---|--|----⌫-⌫--|-------||----|----|
Le cha nt desmorsamoult grant alenee	-|---⌫-|--|---||----|----|-----|
Belissansne fupasarrestee	--------|-|-|--|-------|
C e stlaprem ierequanlacha mbre est	|-⌫-|-|----⌫---|-|-|-|---⌫---|--|
Plo rantc rianttresto uteescheuelee	---⌫---|-⌫----|------⌫--|---------|
Porsesan fansag ra nt dolor men ee	--|--|--⌫---||-⌫--⌫-|----|---⌫-|
Ce d uelmen antla	-|-⌫--|---⌫--|-|
chambrea deffermee	------||--------|
Dexiouura etla uertus n omme e	--||----|-|-|-----|-⌫----⌫|
Lesanf anstreuuegis ans soz	--|---⌫--|-----|---⌫--|--|
En seantieren tsontgrantioiemenee	-|----|-----⌫||--|----|---|----|
Unepome or entquidorestoitouuree	--|---|--⌫--|--||-|-----|-----|
Dontseiooien t p arbonn edestinnee	---|-|------⌫|-⌫-|----⌫|--------|
Ezuoz ladam mequitantfueffra e e	-|--|-|---⌫-|--|---|-|-----⌫-⌫|
Dela merueill e estch eüepasmee	-|-|--------⌫|--|--⌫---|-----|
Ainzquepoïst bien	---|--|-----|---|
ie stre releuee	--⌫---|------|
Fu sila chambrede l a utregentpeuplee	-|-|-|------|-||-⌫---|---|------|
Agrantmerueillesen estenz ent assee	|----|--------||-|--|--|---⌫----|
Belissans ba isesezf izbrace	--------|--⌫--|--|-⌫-|----|
Toutma intenantest	---|--⌫-------|--|
la nouuelle	-|-------|
Et au clergi éet alagen tle ttree	-|-|------⌫-|-||-|---⌫|--⌫----|
Et at ouzceulsq uontfait	-||-⌫--|----|-⌫|--|---|
la assamble e	-|--------⌫|
Dexiamir acle demonstree	--|||---⌫---|---------|
anfansa fait resuscitee	-----||---|---------|
la parole escoutee	-|-----|-------|
Ami sa lachiere membree	---⌫||-|-----|------|
Tel ioi e enontnepot	--|---⌫|-|--|-|--|
iestrecele e	-----|----⌫|
Car ambed uilesa imment	--|-----⌫-|--|-⌫-----|
Beli ssansuoitlesanfansioer	----⌫----|---|--|-----|---|
Br ace leueelescor rut	--⌫--|----|--|---⌫--|
Quilors ueïstdedensla	--|---|-----|-----|-|
ch ambre entrer	--⌫----|-----|
Ser ians b orioi spu cellesentass er	---⌫---|-⌫-----⌫|--⌫-----|------⌫-|
E t de laioie	-⌫|-|-|---|
Ihesu cristmer cier	-----⌫----|---⌫---|
Degrantmeruei lle	-|----|------⌫--|
lip oï st ramembrer	-|-⌫---⌫-|--------|
Am iles nepooit enzentre r	--⌫---|-|----|--|-----⌫|
oït lanouue lle	---|-|-----⌫--|
Dese sanfa nsque	-|--⌫|----⌫-|--|
Dexot suscitéz	--|-|--------|
Belis sans l abele	-----⌫---|-⌫|---|
Departlapresse niuolt	-----|-|-----|||---|
plusarrester	---|-------|
mainnequellepot moultamer	-----|-|---|--|----|---|
Bi en lesotfait uestir et	--⌫-|--|-|---|-----|-|
c onraerNot douzplus	-⌫-----||-|---|---|
biaxd esci que a	---|-⌫---|--||
Ius quanlasale l ese nafait	---⌫-|-|-|---|-⌫-|-⌫||---|
Qu ant orlesuoit dan s	--⌫--|-|--|---|---⌫|
Amil es liber	----⌫-|-|--|
Lorslesco r ru tbaisiere t acoler	---|--|--⌫-⌫--⌫|------|-⌫|-----|
A misausi zici lne pue t finer D	-⌫--|----⌫|---⌫|-|---⌫|----||
euls con ioïretdou	---|---⌫----|-|--|
fort ho norer	---|--⌫----|
Lesge nsles uiennentueoiretesgarder	--|--⌫-|--|-------|----|-|-------|
B elissans	-⌫-------|
Amilebon sb er	----|---⌫|-⌫-|
Se ie cuidaissehuimaina	-|-|--------|------||
Queuo lsissiézm esanfansdecoler	--|--⌫--------|-⌫-|-----|------|
Rem esefuissegel	---⌫--|-----|--|
uo z disansf ausser	--⌫|-|---|-⌫-----|
Porreceuoird unnepart le sanccler	--|-------||---|---|-|---|---|
C elleparole fis t	-⌫---|-----|---⌫|
ma intege nt	--⌫---|--⌫-|
Et de pit iéd ouceme ntsou zpirer	-|-|---⌫--|-⌫------⌫-|---⌫-----|
Grans fula	----|-|-|
ioieg elu ozdis ansfausser	---|-⌫-|-⌫-|-|-⌫--|------|
Au monstier uont	-|-------|---|
Damelde uaourer	-------⌫|-----|
Les anfans	--|-----|
mainnentquil	-------|-|-|
porre ntta ntamer	-----⌫-|--⌫-|---|
saintsonnenttoutpareuls sanstyre r	----|------|---|--|---|---|----⌫|
Etliclercchantent tuithaut emen t etcler	-|-|----|-------|---|----⌫----⌫|-|---|
La poïssiéztropgr a ntfeste esgard e r	-|---------|---|--⌫-⌫-|----|------⌫-⌫|
Por lammordes miracl es	--||----|--|------⌫-|
G ransfulai oiea	-⌫---|-|-|-⌫--||
Riuiers la cité	------|-|----|
Amisareceüsanté	---||-----|-----|
M ai s decefuplusg rans	-⌫--⌫|-|-|-|---|-⌫---|
par uerité	--|------|
Des douzanf ansq ui fu rentde c olé	--|---|---⌫--|-⌫-|--⌫---|--⌫-⌫---|
Qu ipar mira cleresont	--⌫|--|----⌫--|-----|
r esuscité	-⌫--------|
Amilesf aitcrie r	-----|-⌫--|----⌫|
Q u en usne so it tantha rd isneo séz	-⌫-⌫|-⌫-|-|--⌫-|---|--⌫--⌫-|-|-⌫---|
Que en la u il le ostmengier apres terA	--|-|-|-⌫--⌫-|--|------|-----⌫--||
laco rtuo isentetestrangeet pr iué	-|--⌫-|--⌫----|-|-------|-|--⌫---|
Etpoureetrichenen	-|----|-|----||-|
nusreme ́z	--|----⌫-|
Iaa uronttui tamou lttr es	-|-⌫----|---⌫||---⌫-|--⌫-|
grantpl en té	----|--⌫--⌫--|
Trestuiti uiennent	-------||-------|
si com fuconmande ́	-|--|-|--------⌫|
On qu e s celiorn i ot	--⌫--⌫-⌫|--|--|||-|
g uich etfermé	-⌫----⌫-|-----|
Quimengieruo lt	--|------|--⌫-|
nelifudeueé	-|-|-|-----|
Painotetuinetp ium entetclaré	---|-|-|--|-|-⌫---⌫--|-|-----|
Etchardebuef	-|---|-|---|
uenoisone tsai ngler	-------|-⌫|---⌫----|
Q uimengier	-⌫-|------|
uolt d etoutce otplenté	---|-⌫|---|-|-|------|
Quantmengié ont	----|------|--|
et beüa lorgré	-|---||--|---|
Les tablesostent s eriantetbache ler	--|-----|-----|-⌫-----|-|-----⌫--|
La cors departquantme ngié on t asse ́z	-|---|-----|----|--⌫----|--⌫|----⌫-|
Lorssed epartentlicheualiermenbré	---|-|-⌫-------|-|--------|------|
A miles f u el pal ais paué	-⌫----|-⌫|-|---⌫--|----|
Amisdo ntieuozai	---|--⌫-|-|--|-|
ni apa soubl ié z	|||--⌫|----⌫---⌫|
An icel iorque ilfurespasséz	-|---|--|--|-|-|---------|
Lesfist ans douzcheual iersadoubéz	--|---|---⌫---|------⌫---|-------|
Moult parontbien	----|--|--|---|
lorlaborsempl oié	--|-----|----⌫---|
ilorentpor	-|----|--|
Amienduré	--|------|
Amileparlé	----|-----|
S irecompa ins il me uient enpansé	-⌫--|-----⌫--|-|-|----|-|-----|
Qu ai lle ueoir	-|--⌫--|----|
Amilesdist	-----|---|
Amisliuaillans	---|-|-------|
Sachiéz poruoir	-------|--|---|
q uemoultsuidesirra nz	-⌫-|----|--|-------⌫-|
Lubiasquia	-----|--||
l esiexrians	-⌫-|--|----|
Aille u eoir et	----|-⌫---|-|
Gi rartmo nanfant	--⌫---|--⌫|-----|
Nonferézsiredistsescompains li	--|-----|---|---|--|-------|-|
Par ti raiuoz parmimestenemans	---⌫--⌫--|--|--|-|--|-------|
E tse daleriauézte lta lant	-⌫|-||---||----|--⌫|--⌫---|
uoz ni seraidemoran sD	--|||----|-------⌫||
aler fufaiscelle nuitli cr ea ns	---|-|---|----|---|-|--⌫--⌫-|
Demain mouurontensambl e	-----|-------|-------⌫|
Icellenuit lelaissi e re nt ester	-----|---|-|------⌫-⌫--⌫-|----|
Iusqu audemainqu e	----|-|-----|--⌫|
liiorsparut c ler	-|---|----|-⌫--|
Quilsele uerent e tontfaita torner	-|-|-|--⌫-----|-⌫|--|---|-⌫-----|
Toutlorharnoi s	---|--|------⌫|
etchargier ettrorser	-|-------|-|------|
Amilesuacongiédemander	-----|-|------|-------|
Sa belefame	-|---|---|
Belissan tau ui scl er	--------⌫|-|--⌫|--⌫-|
panstbiendesa	----|---|-|-|
terregarder	----|-----|
Sesdou zanfansfacebi enhono re r	--|---⌫|-----|---|--⌫-|----⌫--⌫|
Ca ri luold ramo u ltpar tans	--⌫|-⌫|----⌫-|--⌫-⌫-|--|---|
Maismou ltgrantchoseremes tde sonpans er	---|---⌫-|----|----|-----⌫|-|--|----⌫-|
Neluerr amai slada mme	--|----⌫|---⌫|-|--⌫--|
L i c ompai ngnonpansentdele splo itier	-⌫|-⌫-----⌫----|------|-||-⌫----⌫----|
Moul t granth a r noisfont trorser etchargie r	----⌫|----|-⌫-⌫-⌫---|---|------|-|-------⌫|
Endroit midipartirentde	------|---|--------|-|
cheu auchentle	----⌫------|-|
grantche minpl e nier	----|---⌫--|--⌫-⌫---|
Blaiuies neuold rentat argier	-------|-|----⌫---|--⌫-----|
La descendir entch i és unbori ois	-|---------⌫--|--⌫-⌫--|-|----⌫--|
M oultrich eo stel lorfistappareilli er	-⌫---|----⌫|-⌫---|--|---|----------⌫-|
Descendu sontli dui conteproisié	-------|---|-|--|----|-------|
Dex gartdenc o mbri er	--|---||---⌫-⌫----⌫-|
Ne uol tmon ter	-|---⌫|---⌫--|
en s onpa laisplenier	-|-⌫-|--⌫---|------|
Ainzuo lt moultb ien enq uerree t encerchier	---|--⌫-|----|-⌫--|---⌫----|-⌫|---------|
Lubiasquiiafusamoilliers	-----|--|-|-|-|--------|
Comse contientsellefait	--|-|-------||---|---|
a prisierS ell e f aitmoul tporsonmar iproie r	|------||---⌫|-⌫--|----⌫|--|--|---⌫|-----⌫|
Girarts on	-----|-⌫-|
filqu il atantc h ier	--|-|-||---|-⌫-⌫--|
uo ldra auantmoul t tresbiene nc erchierS	--⌫---|----|----⌫|---|---|-⌫--⌫------||
ilestpre usdarm esco ntre	-|--|---⌫-||---⌫-|--⌫---|
autrecheua lierAtant ez uozso nb onoste	----|-----⌫---||---|-|--|--⌫|-⌫-|---|
bienfaitapresterle m engier	---|---|-------|-|-⌫-----|
Ouuoit lescontesse sp rinst	-|---|--|-----|--⌫|-⌫----|
aarraisni er	|--------⌫-|
uenézlauer toutesta ppareillié	-----|----|---|--|-⌫----------|
Iasont le s tablesmis es	-|---|--⌫|-----|---⌫-|
Chiésl eboriois de	-----|-⌫|------|-|
Blaiuiesla c ité	-------|-|-⌫---|
Ont leme ngierric h ementcon raé	--|-|--⌫----|---⌫-⌫----|---⌫---|
Lestable smi st rentcil	--|-----⌫|--⌫--⌫---|--|
escu ierpri ué	----⌫--|---⌫--|
Liconte a ssistrentquan t	-|----|-⌫--------|----⌫|
i lorentlaué	-⌫|----|----|
M oul t furentbienserui	-⌫---⌫|-----|---|----|
et honoré	-|------|
Licompaingnonontens ambl e disnéA	-|----------|--|---⌫----⌫|-----||
un hannapso nta ndu ia buuré	-|-----|--⌫-|-⌫---⌫|-⌫-----|
Gau tiersl ios te s lesamoul t	---⌫----|-⌫|--⌫--⌫|--||----⌫|
Amisonseignor	--|--|------|
Etpuis p arolealoi d omme sené	-|---|-⌫----||--||---|----|
Barondistil orn euozpois t	----|---|-|-|-⌫|--|----⌫|
p arol equeie iauozdiré	-⌫----⌫|--|-|-|--|----|
M oultuozaihu iambesdouzrauis éz	-⌫---|--|-|--⌫|--------|-----⌫--|
Senostr es si re	-|-----⌫-|--⌫-|
cuifucest e	--|-|----⌫|
Nef ustmeziaus	-|-⌫--|------|
et dou siecle	-|--|-----|
fust sains	---|----|
etenitel aé	-|-|---|--|
Com il fu ia	--|-|-|-|
moultalonc ta nspassé	----||---|--⌫-|-----|
Quantespou salase rordan t	----|-----⌫-|-|--⌫--|---⌫|
De lu nde uoz deïsse	-||-⌫|-|--|------|
Qui ci m eng iéz	--|-|-⌫---⌫---|
ambedu iacosté	------⌫|------|
Blaiuie s lacité	-------⌫|-|----|
Etienesaiseiesuiencha ntéz	-|-|-|--|-|-|--|-----⌫----|
Queto utesuoiesle di et lediréL uns	--|--⌫--------|-|-|-|-|----||--|
de uozdouzest	-|--|---|--|
Amislalos e ́z	---||----⌫-⌫-|
Caril au oituncompaingnon loé	--|-|--⌫--|-|----------|---|
Quantilest oiten	----|-|---⌫--|-|
son p alai s	--|-⌫----⌫|
Dexnefisthomeentrestout	--|-|---|---|-|-------|
cestre gn é	---|--⌫--⌫-|
Pa rcuil u n s fus t	--⌫|--||-⌫-⌫|---⌫|
delautred esseur éz	-||----|-⌫------⌫--|
Tantbiense resamb l oient	---|---|-|------⌫-⌫----|
G a utiers	-⌫-⌫-----|
Dexuozbe neïe	--|--|--⌫----|
Seignorbaronnelme c elézuo z	------|----|--|-|-⌫----|--⌫|
I euozconiurde	-⌫|--|-----|-|
noztouzsouffrilagranthasc hie	--|---|------|-|----|----⌫--|
Etsachar s fu	-|-|----⌫|-|
enzen la croisd rescie	--|-|-|----|-⌫-----|
Etau tierz iorresorstd emor tauie	-|-|----|--|------|-⌫|---⌫||--|
No mmézuos	--⌫----|--|
Dexuo zbene ïe	--|--⌫|----⌫--|
lachiere h ar dieIainon	-|-----|-⌫--⌫--||-|--|
face a ïe	---|-⌫--|
Am ilesnelmescreézuoz	--⌫---|--|--------|--|
Tozsu igarisdel a	--|--⌫|----|-|-⌫|
gr antma ladie	--⌫--|--⌫----|
Dontiaisouffert tantemalehaschie	---||-|-------|----|---|------|
Lub iasm eportateleanui e	---⌫--|-⌫|----|---|----⌫|
Queme gietad e lacitégarnie	--|-|----|-⌫|-|----|-----|
Girar tmistenchartrese rie	-----⌫|---|-|------|--⌫--|
Lale nfer ma sifistgrantfel onnie	-||-⌫----⌫-|-|---|----|---⌫----|
Gautiersloitselifistembracie	-------||--|-|-|---|-------|
P lorantle baiselaface en	-⌫-----|-|----|-|---|-|
Moult gra nt	----|---⌫-|
ioiedemainne	---|-------|
Gran sfu laioi een	----⌫|-|-|---⌫|-|
Amilegentil cheual ierLosteslebaise ne	--|-|-----|------⌫--||----|-|----|-|
senpotestanchie r	|-|--|---------⌫|
Amis demandede son	---|------|-|--|
f ilqu il otchier	-⌫-|-|-|-|----|
Etdist l i ostes	-|---|-⌫|----|
Alézest en	----|--|-|
pas sahuimain ales cla iri erN ot au ecluim a is	---⌫-|------|||--⌫---⌫---⌫-||-|--⌫-|--|-⌫-⌫-|
quedisescuiers	--|--|-------|
E ncorann uit reuenra il arri er	-⌫---|---⌫--|------|-|----⌫-|
Qua ntmengie ́ontles tab lesfont drescier	---⌫-|------⌫|--|--|---⌫--|---|-------|
P a rmilesruesleua u ns mé snuncie r	-⌫-⌫--|--|---|-|-|-⌫-|---⌫|------⌫|
Eta s baron sp ar trest outacointier	-|-⌫|-----⌫|-⌫-|-----⌫--|--------|
Amis es tsai nsr e uenuzethaiti éz	---|--⌫|---⌫-|-⌫-⌫----|-|-----⌫--|
Or l epuet o ntr ouuer	-|-⌫|---|-⌫|--⌫----|
enchi é s	-----⌫--⌫|
Iusquaupalaisne se uo ltatargier A	----|-|-----|-|-|--⌫-|-------||
Lubiaslecontes ansno isierD	-----|-|----|-⌫--|--⌫----||
Am ili di st	--⌫|-|--⌫-|
quilest sains	-|-|--|----|
et haitiézNasibel ho mede sci	-|-------|||-|--|--⌫-|--⌫--|
Monp ellier	----⌫-----|
L ubiasloitpre ntsoia me rue ill i er	-⌫----||--|---⌫-|--||--⌫---⌫---⌫-⌫-|
Qui lorsueïstcesbaronscheualiers	--|---|-----|--|-----|---------|
Amisoloientau oir c hier	--|-------|--⌫--|-⌫---|
Quilesueïst sor les cheu ax	--|--|-----|--|--|----⌫-|
Parmicesruesprenn entaeslai ss ier	----|--|---|-----⌫--||-----⌫--⌫--|
Trestuit iu ontseriant etescuie r	-------||-⌫--|------|-|------⌫|
p r euoire et l iautre	-⌫-⌫-----|-|-⌫|----|
pri n ci er	---⌫-⌫--⌫-|
Trestuiten uon talost eldan t	-------|-|---⌫|||---⌫-|---⌫|
Desg ens emplis sentet	--|-⌫--|------⌫---|-|
maisonsetsollier	------|-|------|
Amia co leret	--|-⌫--⌫--|-|
Girart quiuie ntdegiboier	-----|--|---⌫-|-|------|
Blaiuiesentre parla porte derrier	-------|----|--|-|----|------|
Sor sonpoing	--|--|----|
porte unfauconmontenier	----|-|-----|--------|
lagen t etpoindree t eslaissier	-|---⌫|-|------|-⌫|---------|
Parmicesrues c es lancespesoie r	----|--|---|-⌫-|-----|------⌫|
Cuidacefust	----|-|---|
Charlemainneau u is fier	-----------|-|-⌫-|---|
Quif ustuenuzsa	--|-⌫--|----|-|
cit é escillier	---⌫-|--------|
Ezuoz a luiuenu unescui er	-|--||--|---|-|-----⌫-|
Sire dis til nouuellesu oilnunci er	---|---⌫|-|--------|-⌫--|-----⌫-|
Dontuozdeu éz	---|--|---⌫--|
Ihesucristg raciie r	---------|-⌫------⌫|
Liuostresperes quetant	-|------|----|--|---|
auiiézchier	------|----|
Estreu enuzs ain set sauset ha iti éz	--|---⌫---|-⌫---⌫|-|---|-|--⌫---⌫--|
Girarsl oittouzpasmézchiet	-----||--|---|------|----|
Iafustcheüz nefuis sent	-|---|-----|-|----⌫---|
S es gensl e uoientsel	-⌫-|---|-⌫|-----|--|
corr entredrescier	----⌫--|---------|
A grantmeruei lle	|----|------⌫--|
pl o r ent	--⌫-⌫-⌫--|
Gira rsoi tde son pereparler	----⌫-|--⌫|-|--|---|-----|
Quilestoit sains	-|-|-----|----|
Deupre nta	--|---⌫-||
Lemess a i giere n	-|----⌫-⌫-⌫---|-⌫|
prentaapell er	----||-----⌫-|
A misbia usfre repo r	-⌫--|---⌫-|---⌫-|--⌫|
Deucarmimene ́z	--|--|||----⌫-|
E nlam ais on chiéscuiil est	-⌫|-|-⌫---⌫-|-----|--|-|--|
Etcilsi fait ni	-|--|-|---|||
uoltplusdemorer	---|---|------|
Iusqualos telnes i	----|||--⌫--|-|||
uoltarr ester	---|---⌫----|
Gir ars descentquimoult fist aloer	---⌫--|------|--|----|---||---|
Sus enla sale	--|-|-|---|
conmensa a ent rer	-------||---⌫--|
Deta ntc om potet correet	-|--⌫-|-⌫-|--|-|----|-|
Corrutsonpere	-----|--|---|
baisie ret acoler	------⌫|-|-----|
p otsaouler	-⌫-|------|
Nusnesauroitla ioierac onter	--|-|------|-|---|---⌫----|
Quelifizfaitau	--|-|--|---|-|
Gauti erfu laioiemoult tr es gra ns	-----⌫-|-|-|---|----|--⌫-|---⌫-|
Lipere s bai se son filmenu s ouuant	-|----⌫|---⌫-|--|--|---|-⌫-----|
Lubia sdironz dore nauant	-----⌫|-----||-|-⌫|----|
Quise uestitetsepa ra m o u lt iant	--|-|-----|-|-|--⌫-|-⌫-⌫-⌫-|---|
Quantf u ue stuedeson palaisde scent	----|-⌫|--⌫---|-|--|-----|--⌫----|
os telnefupasarres tans	--⌫--|-|-|--|-----⌫---|
Am isa u gent corsau enant	--⌫-|-⌫|---|---|--⌫----|
Es toit d eduireenunue rgier auant	--⌫---|-⌫-----|-|-|--⌫----|----|
Lubi asnefupasdemor ans	----⌫-|-|-|--|-----⌫--|
La descendia uecques lui	-|-------|-⌫------|--|
Susen la s al eenmo ntaer ra mman t	--|-|-|-⌫--⌫|-|--⌫--|--⌫--⌫----⌫|
Am iparmi lamainlep rant	--⌫|----|-|---|-|-⌫---|
A mibiausfrer e lemiencors uoz	-⌫-|----|----⌫|-|---|---|--|
Conme la toiep orf a iretont al ant	----|-|---|-⌫-|-⌫-⌫--|--|-⌫--⌫--|
Fu i e ́z decidis t licuens	--⌫-⌫-⌫-|-|-|---⌫|-|----|
e r rammant	-⌫-⌫------|
Lamoie f ameneserézuoz noiant	-|---|-⌫--|-|-----|--|-----|
uozmefeïst ez iadishontem oultgrant	--|-|------⌫-|----|----|-⌫---|----|
Q uantme g ietastez a duelet a	-⌫---|-|-⌫-------||---|-||
mauilleparuost re	-|----|--|----⌫-|
enc hantement	---⌫--------|
E tsid eïstezatrestoute	-⌫|-|-⌫------||--------|
Que ie estoiepouacres nonpui ssanz	--|-|-----|-------|------⌫----|
Un bordeletme feïstezesrant	-|-------|-|-------|-----|
Blai u ies enc or es tenestant	----⌫-⌫--|---⌫-|--⌫|-|-----|
Unsg uerredons moul tmausuo z ena tant	--|-⌫--------|----⌫|---|--⌫|-|-⌫---|
Laseréz misesi uiuréza	-|-----|---|-|------||
Deliurison	-|-------|
a uré ztantse ul ement	-⌫----⌫|---|--⌫--⌫----|
Unquarteretd e painet	-|--------|-⌫|---|-|
tr opgrant	--⌫-|----|
Orlapre nnéz	-|-|---⌫----|
cheualieret ser ian t	--------|-|---⌫---⌫|
Silanmenéztost	-||-|-----|---|
e tisnellemen t	-⌫|----------⌫|
Etliloi ézlesmainsmoultasprement	-|-|---⌫--|--|----|----|--------|
Etcilsifont qua ntoient son con ma nt	-|--|-|---|---⌫-|----|--|---⌫--⌫-|
Lubias en mainnentmoultuont	-----|-|-------|----|---|
a prézgranti ant	-⌫----|----|-⌫--|
Ius qu aubordelnef urent arr estant	---⌫-|-|-----|-|-⌫----|---⌫-----|
Iluecfumis ela dam memaintenant	----|-|---⌫|-|---⌫-|---------|
Les gens retorn en tan	--|---|------⌫--⌫|-|
lacité uaillant	-|----|-------|
Huit ior sfuell e elbordeluoi rement	---|---⌫|-|---⌫|-|-----|---⌫-----|
Amimoultg rans pitiés en	--|----|-⌫---|------|-|
