O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Li roi s les comma ndaauglorie us	-|---⌫|--|-----⌫--|-|------⌫-|
Quillespuisraconduir esaine tsauset	-|-|--|---|---------⌫|---|-⌫|---|-|
Etliuiel sHuid e lonne	-|-|----⌫|----⌫-⌫--|-|
se stpa satargi és	|-⌫-|--⌫|------⌫--|
Ain sa fai tasFr ançoise t bras et poins	---⌫||---⌫|-|--⌫------|-⌫|---|-|----|
Mais n esont	---|-⌫|---|
pasestroit qu ilne lorest	--|------|-|-|-|--|--|
Tost aur aliunslautre poinsetpiésdeslie ́s	---|---⌫|-|--||----|----|-|----|------⌫-|
ontm isdeu an tet	--|-⌫-|---⌫--⌫|-|
pansentdesploitie r	------||---------⌫|
Dec icàlaciténese	-|-⌫||-|-|----|-|-|
sont ata rgié.	---|---⌫----||
Aumaist re ponttr oueren t	-|-----⌫-|---|--⌫------⌫|
les paienshau bergié s	--|-----|---⌫-------⌫|
Qui gardoientla	--|--------|-|
porteetlesfos séspre miers	----|-|--|---⌫---|---⌫----|
Cornica s anert siresqui	-------⌫|-|--|----|--|
Diexdo in st ancombr ie r.	---|--⌫--⌫-|-------⌫--⌫||
Escor faut qui	-----⌫---|--|
commenceà	-------|-|
Amis oeure l a porte sans pointde	---|----|-⌫|----|---|----|-|
Lémoiléansantrerque ge n	--|--|-----|-----|--||-⌫|
ai grantmestier	-|----|------|
AEmaudr amon oncle quei eai	|------⌫|--|----|--|-⌫|-|
formentch ie r	------|--⌫--⌫|
Ieliuoilpresantfai r ede	-|-|---|------|---⌫-⌫|-|
.Xm .pr isonier s	|-||--⌫-------⌫|
En lostle roiGuionlesa uon s	-||--|-|--|----|--|-⌫---⌫|
gaaigniés	---------|
S il esamaine	-⌫|-⌫-|-----|
Huïdreset	-------|-|
Danem ons l i f i ers.	-----⌫--|-⌫|-⌫-⌫--||
Quan tCornicas lententonques nefu siliés	----⌫|-------||-----|-----|-|-|-|----|
f a ittantost	-⌫-⌫-|------|
deueroi llier	-------⌫----|
IusquesàEmaud raslesa faitc onuoi er.	------|-|-----⌫--|--||---|-⌫-----⌫-||
Et nos Françoi strespas senttoutlepalais plenier	-|--|--------⌫|-------⌫---|---|-|-----|------|
Et tr ueue ntE maud r asdesou s.I.	-|--⌫----⌫-|-⌫----⌫-⌫-|-----⌫||||
Où ilueas eschés à Murgalele	--|-|-|-|------|-|------|-|
Etauoi t entor luipla ntédecheualiers	-|----⌫|----|--|---⌫---|-|---------|
QuantiluoitnosFrançoisquiuiene ntprisoni er	----|-|---|--|--------|--|-----⌫-|-------⌫-|
Tost eti snelementan estsail lisan piés.	---|-|-⌫--------|-|--|----⌫--|-|----||
QuantHu idel onle uoitp r imesl a	----|--⌫----⌫-|-|---|-⌫-⌫---|||
ar aisnié	--⌫------|
Maho metuossautsire qu i	----⌫--|--|---|---|--⌫|
tout aàiugier	---||-|-----|
Pr isonsuo samenons quimultfonta ̀ prisie r	--⌫----|--⌫|------|--|---|---|-⌫|------⌫|
De.Xm. Françoisq ueue ́eztousliez .	-||-||--------|-⌫-|--⌫--|---|---||
Quant Emaudras	----|-------|
lententonques	|-----|-----|
nefu s i liés .	-|-|-⌫|----||
Oùfu ren t	--|--⌫---⌫|
cesgenspr isgar dé s	--|---|--⌫-|---⌫---⌫|
neme noiés.	-|-|-----||
-Biaussire enl ost	|----|---|-||--|
GuiondistEscorfautsesniés	----|---|--------|--|----|
Ilfur enta ̀Augorieaua nt ieressillié	-|---⌫--|-⌫|------|---⌫-|--|--------|
Etuindrentàla	-|-------|-|-|
por teassailli r	---⌫-|--------⌫|
Tre stuit ifurentprisàce lernel u ous quier	---⌫----||-----|---|-|--⌫--|--|-⌫--|----|
Sinefus tHuidel onEt Hu idel onquimeuintaïdier	-|-|---⌫|------⌫-|-|--⌫----⌫-|--|-|---|------|
Assamble ́ifuissiensie	--------⌫||--------|-|
etmicheualier	-|-|--------|
Tr estuiti fuissïens mortoci setdetre nchie ́.	--⌫-----||---------|---|---⌫|-|-----⌫-----⌫||
P renésorcesche itisies	-⌫-----|-|--|---⌫---|--|
uousrantprisonier s	---|---|---------⌫|
Ceertlauostre parssensoié s	-|--|-|-----|---||-|-----⌫|
ios ti cie r s.	---⌫--⌫---⌫-⌫||
di t EmaudrasBien aue ́ s esploiti é.	--⌫|-------|---|---⌫-⌫|--------⌫-||
iro nsansamble àLuisernelogi er	---⌫-|-------|-|-------|----⌫-|
Aquilant mo n	-------|--⌫|
seignorets ecor re et a i dier	------|-|-⌫----⌫-|-|-⌫-⌫---|
Sironslost Karlemaineparforc edesl ogi er	|----||--|---------|--|----⌫|----⌫---⌫-|
Etli feron sla testeforsdu	-|-|-----⌫|-|----|---|-|
burooignier.	-|--------||
ie rmendistnoueles.	--⌫||-|---|------||
I .moultco rtois	||----|--⌫----|
Quàpaine s sep o oitest er desor sespiés	-|-|-----⌫|-|-⌫-⌫--|---⌫-|----|--|----|
Quil n onten los t	-|-||--|-||--⌫|
ui t ai llenàbo iurenàmangier	--⌫-⌫--⌫--||-|--⌫---||-|------|
Et tuitsontrecréuliauferrant destrier.	-|---|---|------|-|--------|-------||
- Par monchief	|--|--|----|
cedistH uidresa ̀cel er neluos	-|---|-⌫-----|-⌫|---⌫-|--|--|
Ie sera iaud eu a n tse iep uisesplo itier	-|----⌫|-|-⌫--⌫-⌫-⌫|-|-|-⌫--|-----⌫----|
C arplushél eui e lla r tque nulhomesos	-⌫-|---|--|-⌫|--⌫-⌫---⌫-⌫|--|--|---|--|
Mais fa i s on s	---|--⌫-⌫-⌫--⌫|
là deseuremene rce s	--|------|----⌫|--⌫|
prisoniers	---------|
les fero ns mener ànosherciers.	--|----⌫-|----|-|--|-------||
Less i és mo ian ui tmaisdormir	----⌫-⌫--|--⌫|--⌫--⌫|---|-----|
Quenemedespoillaiil	--|-|-|---------|-|
a.uIII .iors	||---||---|
nostaimabroignen e	|----|-|------|-⌫|
monhaubercdoublie r.	--|------|-------⌫||
EtEmaudr asre spont	-|------⌫-|--⌫----|
Cefait àotroie r .	-|---|-|------⌫||
Lorssaroutent ensamble tres tuit limesagier	---||-------|-------|----⌫---|-|-------|
Et D anemonsle sguieet	-|-⌫------|--⌫|---|-|
D ragolans l ifiers.	-⌫-------|-⌫|----||
A l entrerdupalais	||-----|-|-----|
tr ueuentlemaistrehuiss ier	--⌫-----|-|------|-----⌫--|
Ettenoit.I	-|-----|||
. bastongrant	|-----|----|
etgros depomi er	-|---|-|----⌫-|
Etuafe rirBertrantdeseur lescuuergi é	-|-|--⌫--|-------|-----||---|-----⌫-|
O rça ̀di st il cuiuert àu o g ra nt	-⌫|---⌫|--⌫-|-|------|-|-⌫|-⌫--⌫-|
encombrier	---------|
QuantDanemont leu oitlesens	----|-------|-|-⌫--|-|---|
quidechangier	----|-------|
Il atrai te	-||----⌫-|
lespé eaupon dor entai llié	|-----⌫|-|--||-|-----⌫----|
T el cou p liadoné	-⌫-|---⌫|-||----|
totlefistenbronchier	--|-|---|----------|
Outredistillecherres sise d oitonuangi er	----|---|-|--------|-|-|-⌫--|-|-----⌫-|
Deglotonquisedresc epor fra nchom e empirier	-|-----|--|-|-----⌫|--|---⌫-|---⌫|-------|
Etlienfantsen montentcont remon t lepl a nchier.	-|-|-----||-|------|----⌫-----⌫|-|--⌫-⌫-----||
Ains quil fuissentamon t	---|-|-|-------|----⌫|
furent t uitd eslié	-----|-⌫--|-⌫-----|
Maintena nt o n tdes fuerre s s achiésles	--------⌫-|-⌫-⌫|--|------⌫|-⌫------|--|
brans dacier	----||----|
Huidelo n uientdeuantetEscorfaus sesnié s	-------⌫|----|-----|-|--------|--|----⌫|
E tont fer m élesportesetl es pontssussachiés	-⌫|--|---⌫-⌫-|--|-----|-|-⌫-|----|--|-------|
Quelàamont n an	--|--|----||-|
entreSarrazinsne paiens.	----|--------|-|-----||
OR fu rentel palaisdeslié	-|--⌫---|-|-----|------|
Et tienent	-|------|
en lor poinsl esbonsacer i ns	-|--|----|-⌫-|---|----⌫-⌫-|
AtantesH uidelonet Emaudras aua nt	----|-|-⌫------|-|-------|---⌫-|
Où qu iluoitnos Fr ançois si	--|-|-|---|--|--⌫------|-|
seuameruillant	-|-|---------|
Fa itesa ̀ceschetisosterces	--⌫---|-⌫|--|-----|----|--|
richesbrans	-----|----|
Sesfe r onstrebucher anc elechart re	--|--⌫-⌫--|--------|-|-⌫--|-----⌫-|
-Pa rmonc hiefcedist Huidre sa i ns	|--⌫|--|-⌫---|-|---|------⌫|-⌫-⌫-|
uosferontdo lant	--|-----|--⌫---|
Seuosneu olés croire I he sule	-|--|-|-⌫----|-----|-⌫--⌫-|-|
Qui de lasainte uir ge nas qu ienBelliant.	--|-|-|-----|---⌫-|---⌫--⌫|-|-------||
Quant Emaudras	----|-------|
lent ents i	|---⌫--|-⌫|
limua lisan s	-|--|-|---⌫|
Et dist a ̀HuidelonSireuiellarspuans	-|---|-⌫|-------|---|-------|----|
Auésme uostrai ̈sifai temant	----|-|--|----⌫|-|---⌫-----|
ParMahomet mon	--|------|--|
Die uquegetrai àga rant	---⌫|--|-|---|-|--⌫---|
Iemeler oi eeinçoisgiteren fu ardant	-|-|---⌫--⌫|-------|----|-|-|-----|
Quecre ́issee n	--|---⌫----|-⌫|
celuiquepenerenttyrant	----|--|-------|-----|
Q uantluineu ou taidermalme seroit	-⌫---|--|-|-⌫--⌫|----|--|-|-----|
Quant Danemonsl enten t siestpassés	----|-------||-----⌫|-|--|------|
Parla ba r be lepristsi le	--|-|--⌫-⌫-|-|----|-|-|
Deriere elh aterel li done cop	------|-|-⌫-----|-|---|--|
C à sespie ́slabatisi li dis t en	|-|--|---⌫-||----|-|-|---⌫|-|
Filà putaint rai ̈tres fel	--|-|-----|-⌫---⌫----|--|
ui ell ars r ecréans	--⌫---⌫--|-⌫-------|
Certesmalmesdéites	-----|--|---------|
de Dieuler oiama nt	-|---|-|-⌫-|---⌫-|
Quin o spai stet	--|-⌫-⌫|---⌫-|-|
gouerneet fait	------|-|---|
soleilluisa nt	-----|-----⌫-|
Turpinsli archeue sq u esuint celepartpoignant	------|-|-------⌫--⌫-⌫-|---|---|---|-------|
Less iésmoitostparlerauT urc	----⌫---|--|---|-----|-|-⌫--|
parauenant.	--|------||
Et cillirespond irentTotà	-|--|-|-------⌫----|--|-|
uost recommant.	----⌫-|------||
Amiscar croien Dieuleperero iamant	---|--|---|-|---|-|---|--⌫|----|
Tote rauraslaterre	---|-----|-|----|
tuniperdrasnoiant .	-|||------|-----||
QuantEmaudr aslententleseus	----|------⌫-||-----|--|--|
uarooillant	-|--------|
Et a dità Torpin	-||--|-|-----|
Sermon sn i uau t	------⌫|||---⌫|
Quecréisse ancelui quien I herusalent	--|-------|-|----|--|-|-⌫---------|
En une pla nche	-|--|---⌫---|
ueillep lace uie ssof fri mo rt etahan	-----|-⌫---|---⌫|---⌫--|--⌫-|-|---|
cre rai enluicelui ce ted iuraie mant	---⌫--|-|--|----|-|-|-⌫|-----⌫---|
QuantTu rpinslenta ndilecu er	----|--⌫----||----⌫--|-|--⌫-|
en adolant	-||-----|
Ilhaucecon tremo ntlebonacerinbranc	-|----|---⌫-----⌫-|-|--|-----|----|
Pa rmil ieude	--⌫|---⌫--|-|
la testelidone.I.	-|----|-|---||||
cop sigrant	--|-|----|
Entreci queel pisle	----|-|--|-|--|-|
uaittotp or fen dant	---|--|-⌫--⌫---⌫---|
Certes ci a	-----|-||
bonprestredistHuidelonli	--|------|---|-------|-|
-uoirequibienconfess edis tsesfilsDr agolans	|----|--|---|-------⌫|---⌫|--|---|--⌫------|
Mès de sapenite ncenestilmie	---|-|-|------⌫--||--|-|--|
Q u e iusq uenselbr aierlies t	-⌫-⌫|----⌫|--|-|--⌫---|-|--⌫|
couléslibrans.	------|-|----||
Seignoror du	------|-|-|
cedi entlienfant	-|--⌫--|-|-----|
Si quenesape rc ̧oiuent	-|--|-||---⌫--⌫------|
S arrazinn e Persant.	-⌫------|-⌫|------||
Alon s les ass aillirgel uoilet sel commant	----⌫|--|---⌫-----|--|---|-|--|------|
Ains qu ilpraignentlor	---|-|-|--------|--|
arm esneloracerinsbrans	---⌫-|-|--|------|----|
Quegent questdesarme ́ene	--|---|-|--|-------⌫-|-|
u autpas.I.be s ant .	-⌫--|--||||--⌫-⌫--||
- BienfaitàotroierdistHuidelonli frans	|---|---|-|------|---|-------|-|----|
Ordoi tchascundenousmostrerson	-|---⌫|------|-|---|------|--|
Porcon forterGuion	--|---⌫-----|----|
monseig n or	--|----⌫-⌫-|
leuaillan t	-|-------⌫|
Etpor aidi er	-|--|----⌫-|
a ̀KarleàLuisernelagrant	-⌫|----|-|-------|-|----|
- B ienfaitàotroier res pond ent	|-⌫--|---|-|------|---⌫----⌫--|
lienfa nt.	-|----⌫-||
A cest mot	|---|--|
sont tr e stuitde lamortde sfen dant	---|--⌫-⌫----|-|-|---|--⌫----⌫---|
Hu idel onuasespéepa rfor ce	--⌫----⌫-|-||-----|--⌫|---⌫-|
paumoian t	--------⌫|
Leponcel abaissierentetl esponspardeuant	-|-----|-----------|-|-⌫-|---|--|-----|
Et uoient lespaienslu nà	-|-----|--|-----||-⌫|-|
Hu idelon lor alah auteman tescria nt	--⌫-----|--|--|-⌫-------⌫|------⌫-|
Marientrastes ens filàpu ta in	--||--------|--|--|-|--⌫--⌫-|
u a itfer ir	-⌫-⌫-|---⌫-|
Co rnicasquilcons iui auant	--⌫-----|-|-|----⌫--|----|
Sila parmitr anchiéc om mece fust	||||--|-|--⌫------|-⌫--⌫-|-|---|
. I .gant .	|||---||
Huidelonet sonfil Dr agolant	-------|-|--|--|--⌫------|
Escorfautd Au marieet	--------||--⌫----|-|
Berart etBer t rant	-----|-|---⌫-⌫---|
Sa uar i deTolouseetTorpin	--⌫---⌫|-|------|-|-----|
le uaillant	-|-------|
Aub eri le hardiEst outle comb ata nt.	---⌫--|-|----|---⌫--|-|----⌫---⌫-||
A s paienss ont uenu	-⌫|-----|-⌫--|---|
de ferirdesirant.	-|----|-------||
Qu ant Sarrazi nles u oien tenfu ie ssont	--⌫--|-------⌫|--|-⌫----⌫|-|--⌫--⌫|---|
Lienfan tlesenchauce n tq uiles	-|-----⌫|--|--------⌫-⌫|-⌫-|--|
uont ociant	---|-----|
SElà fuissi é	-|--|------⌫-|
leiourp ardeso us loli u ier	-|---|-⌫-|----⌫-||---⌫-⌫--|
QueFran çoisassambl e rent à lage ntauersier	--|----⌫----|-------⌫-⌫---|-|-|--⌫-|-------|
Dont uéiss ié s paienset foïretchacier	---|------⌫---⌫|-----|-|----|-|------|
Hurler gl a t ir etbrairecrieret	-----|--⌫-⌫-⌫-|-|-----|----|-|
a b aier .	-⌫-⌫---||
Et nosFrançois	-|--|--------|
les f iere ntquiIhesu puist aid ier.	--|-⌫----⌫-|--|----|----|---⌫--||
Quiloruéistle iorces	--|--|-----|-|--|--|
paiensdomagier	-----|-------|
L un mortdesorelautreuerser et	|-|---|-----||----|-----|-|
tr e b uchi er	--⌫-⌫-⌫----⌫-|
P lusenontmisdeuanteu s	-⌫--|-|--|--|-----|--⌫|
Quen.I . iorne	-|-||||--|-|
tuass ent.IIIIc.charpentier.	-----⌫--||----||----------||
Trest ui tsontdesarmédesfensn i a mes tier	-----⌫--⌫|---|-------|------||||---⌫---|
Do ntoïssiéspai ens àhau te uoishuchier	--⌫-|--------|---⌫--|-|---⌫-|---|------|
HéMahomsirecarnous	--|----|---|--|---|
uenésaidier	-----|-----|
Aiésme rcides amesc or en auons	----|--⌫--|--|---||-|-|----|
Lorsuéis siéssorausc restïensaïriés	---|-----⌫----|--|--|-⌫--------|-------|
Trestouslesontocisn	-------|--|--|---||
F orsseulem an tb ienprès lamonte dun	-⌫--|------⌫--⌫|-⌫--|----|-|----||-|
Etc il se sontferuenla	-|-⌫-|-|---|---|-|-|
merporn oier.	--|--|-⌫---||
Etnos Françoiss assamblentpl us de.	-|--|--------||---------|--⌫-|-||
Ettuit liconuert i qui Diex	-|---|-|-------⌫|--|---|
p uis tc onse illier.	-⌫---⌫|-⌫----⌫-----||
Lor s firent	---⌫|-----|
t ous lesmorsd edenslamer la ncie r	-⌫--|--|---|-⌫----|-|--|--⌫----⌫|
Là ot le iorsesimeint	--|-|-|--|---|----|
gran tpalaisp lenie r	----⌫|-----|-⌫-----⌫|
Ma intemeson	--⌫---|----|
perrineetmeint	------|-|----|
riche solier	----|-----|
Si firentlauitailleassamblersans targier	-|-----|-|-------|--------|---|------|
Quihuimès ueutoi ̈rchançon belcommencier	--|------|---|--⌫-|-------|--|---------|
S is etraieenauan tetlaisselenoisier	-⌫|-⌫|----|-|----⌫|-|-----|-|------|
Conrois Guis s acorda	--|---|---||-----|
àKarlonauuis fier	-|-----|-|--|---|
E t comil li	-⌫|--|-|-|
testeportranchier	----|--|--------|
Quan totpris e Luisernel e	----⌫|-|----⌫|-------|-⌫|
grant palaisplenier.	----|-----|------||
DE la citéissirent à bel ecompa ignie	-|-|----|-------|-|---⌫|-----⌫----|
Etche uauchentensamb leDie x	-|---⌫-------|------⌫-|---⌫|
lordoinstboneuie	--|-----|---|--|
Huid elonuadeuantà la	----⌫---|-|-----|-|-|
ba rbeflorie	--⌫--|-----|
EtBertranset Berartà lachiereh ard ie.	-|-------|-|-----|-|-|-----|-⌫---⌫-||
Lenfes Gui s de Borg oign e	|----|---⌫|-|----⌫----⌫|
h a u t ementlor	-⌫-⌫-⌫-⌫----|--|
Gen tilsroisd ebon aires estlacité ssaisie	---⌫---|---|-⌫----⌫----|--|-|-----⌫|-----|
-Oi ̈l distHuide lonel	|--⌫-|---|-----⌫--|-|
non SainteMarie	--|-----|----|
Et Emaudras liglou s	-|-------|-|----⌫|
a lateste tranch ie	|-|----|------⌫-|
Tu rpinsanprist ueni anceàl	--⌫----|-|----|----⌫---|-||
e spéeforbi e	-⌫----|-----⌫|
Por cequil des pisoi tIhesulefi eussainteMarie	--|-|-|-|---⌫-----⌫|----|-|--⌫--|-----|----|
Gentie us r ois debona iresorne	------⌫-|-⌫--|------⌫---|-|-|
nostardonsmi e	--|------|--⌫|
Maisalonsà	---|----|-|
Luiser ne c eleci tégarnie	------⌫-|-⌫--|--⌫--|-----|
Etse cor o ns Karlonàla barbe florie	-|--⌫---⌫-⌫-|-----|-|-|----|-----|
Quigrantmestierena i	--|----|------|-|||
enai noueleoïe	-|-|-----|---|
L or ch arsfontatelersontlor uoie aco il lie	-⌫-|--⌫--|---|-----||--|--|---|---⌫--⌫--|
Lespauillons	--|--------|
destendentdelagrant	---------|-|-|----|
Tost etisnelement àlau oiese	---|-|---------|-|-|-⌫--|-|
de Karl onlero ideSaint	-|----⌫-|-|--⌫|-|----|
Quisietd euantL uisernecoreçous etplains dire	--|---|-⌫----|-⌫------|--------|-|-----||--|
Ogier enapelasili a	----|-|----|-|-||
prisàdire	---|-|---|
Et Naimonàlabarbe leduc	-|-----|-|-|----|-|--|
Sanson leriche	-----|-|----|
Barond ist lem pererepor Dieule	----|-⌫--||--⌫-----|--|---|-|
Iamaisneu erraiGui n e saique plusuou sdie	-----|-|-⌫----|--|-⌫|--|--|---|---⌫|--|
Lorsa ploré deseuset te ndrement souspire .	---||-----|--|--|-|--⌫-------|-------||
Sirecedist d usNaimesneuos esmaiés	---|-|---|-⌫-|-----|-|--|-------|
Ilaplus de.uII.ansc	-||---|-||--||--||
aseuisc esteuile	-----|-⌫---|---|
Etroi s Gui quiam aine	-|---⌫|--|--|--⌫---|
l a grantcheualerie	-⌫|----|---------|
anspassésq ueilena.	--|------|-⌫-|-|-|||
III.pr ise s.	--||--⌫---⌫||
Q u antilaura lat er retrestot e en	-⌫-⌫--|-|---|-|-⌫--⌫-|-------⌫|-|
sa baillie	-|------|
Certes àuous uen raà be le	-----|-|---|---⌫-|-|--⌫-|
com paignie.	---⌫------||
- CertesdistKarlem ainesl imiens cuersle	|-----|---|------⌫----|-⌫|----|----|-|
Neaprèssauenuene uodroieplusuiure	-|-----|-|----|-|------|---|----|
C HARLESlirois de France formantse	-⌫-----|-|---|-|-----|------|-|
MaisNaimes deBauiereformant l ec onforta.	---|-----|-|------|------|-⌫|-⌫------||
Atantes. I.garçon quies logesantra	----|-||||------|--|-|----|----|
Rollantet Oliuier	------|-|------|
en s auo ie enco ntra	-|-⌫|--⌫-|----⌫---|
Iluenoi tde s montagnes	-|-----⌫|--⌫|--------|
quil gardoittiersiorsa.	-|-|------|----|---|||
QuantRollansla u é uen	----|------|||-⌫--⌫|-|
h autliescria	-⌫--|-|-----|
Siliademandéoùiluientet où ua	-|-||-------|--|-|----|-|--|-|
Maisligarçon s	---|-|-------⌫|
respontquemoult bienl ordira	------|--|----|---|-⌫-|---|
Mai s qu àKarlon lemainentet	---⌫|-|-|-----|-|------|-|
àluiparlera.	-|--|------||
E tRollansli	-⌫|------|-|
