unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
cist estrepadlesuer gie r se	---|-------|--|---⌫---⌫-⌫||
destruiz les lie usul	-------|--|---⌫-|||
u m soleit	-⌫|-----|
deablecultiuerpar	-----|-------|--|
tuteiudaal	---|---|-|
tierza nde sunregnetenue iad	----|-⌫|-|--|-----|----⌫--|
pruueiresesages	--------||----|
humes pa rt utela	----|--⌫|-⌫--|-|
terredeiu daod	----|-|--⌫-|-|
lesliures d ela	--|-----|-⌫|-|
leipu r enseigniera	--|--⌫|---------||
lagentla lei nostr eseignur	-|---|-|--|-----⌫|------|
etuzlesregnesk i	|--|--|-----|-⌫|
furentenuirumluiourentde lui	-----|------|--|-----|-|--|
nenosere nt	--|-----⌫-|
enc unt re luireuelerli	---⌫---⌫-|--|------|-|
phil ist i enli firent ri ches	----⌫---⌫-⌫-|-|-----|--⌫---|
dunse rendirent	---||--------|
treu decil dearabie lid unerentpa ran	----⌫||--|-|-----|-|-⌫------|--⌫|-|
milieesetcenz multunse	----||--|---|------||
altretanzbues e iosaphathcrut	--------|---||--------|---|
degrant manie ree	-|----|-----⌫-||
mult f ud eshalciéd	---|-⌫-|---------|
efist maisuns	|---|------|
k iresemblerentturseclos tuilesplu sures	-⌫|-----------|---||----⌫|----|---⌫----|
demuremult	-|--||---|
fistparlescitiez de	---|--|--|-----|-|
iudasescunestab lesasistesacheua lerie	---|--|--------⌫--|----||-|-----⌫----|
ednasfud uns d esescu nestables	----|--|--|-⌫|--|--⌫--------|
e treiscenzm ilie	|----|---|-⌫---|
cumb aturso utensac unestablieio ha nnanout	----⌫----|-⌫-|-|-|-⌫---------|--⌫--⌫---|--|
n umunsde se s	-⌫-|--|-|--⌫|
altrescunestablese douscenze	-----|----------||---|---||
quatr e uinz outen s a	-----⌫|---|--|-|-⌫|
c unestablie a masiaslefizce tri	-⌫---------|-⌫-----|-|--|--⌫--|
fud litierzdes cune stables	--|-|----|--|----⌫------|
dousmi lieboni mesua ssals ensacu nesta b li eli	---|--⌫--|----⌫--|--⌫----|-|-|--⌫-----⌫-⌫--⌫|-|
quarzdescune stables fudhelyadae outdous c enzm il ie	----|--|----⌫------|--|------||--|---|-⌫--|-⌫--⌫-|
ea es cuzeaarcs	||--⌫--|||---|
en sa c unestabl ieiosa phathfu dli	-|-|-⌫--------⌫-|----⌫----|--⌫|-|
quinzcunestablese out	----|----------||--|
e nsacunestabliedous	-⌫|-|----------|---|
cenz miliee	---|----||
quatreuin zdeeslitementbonecheualer ie	-----|---⌫|-|---------|---|--------⌫-|
furentalcumandeme ntl ureiiosaphat hestre	-----|-|---------⌫-|-⌫|--|--------⌫|----|
cezqueilout	--|--|-|--|
ci tezguarderpartu teiuda	--⌫--|------|--|--⌫-|---|
l i r eisiosaphao utpais	-⌫|-⌫--|------|-⌫-|---|
eam uruersachablereide	|--⌫-|---|----|-|--|-|
ui nt une fe izueerlerei achabe n	--⌫-|--|--⌫-|---|-|--|----|-⌫|
samarieeli	------||-|
reisac ha bler ecut haltementdegrant maniere	---|--⌫--⌫|-|-⌫---|--------|-|----|------|
e grantfeste	|----|----|
requistlerei iosaphaque	------|-|--|------|--|
il uen istodlui	-|---⌫--|-|--|
r am o gala ath li reisi osaphath bonementligrantad	-⌫--⌫|----⌫--|-|---|-⌫-------|-------|-|------|
m aistantruuadq ueilenqueist-5 53 par	-⌫--|---|----|-⌫-|-|----------⌫-|--|
l esprop hetesquelef ust	-⌫-|----⌫----|----|-⌫--|
lau olen tednostre s eignurl oresasse mbladlireis	-|-⌫----⌫--|-----|-⌫-----|-⌫---|----⌫----|-|---|
ac ha bd e	--⌫--⌫|-⌫|
sespr ophetesq uat recenz e	--|--⌫------|-⌫---⌫-|---||
enquistseilap ro spe ritetirreit	------|-|-||-⌫--⌫---⌫----|-----|
ramo galaath	---|------|
asegie rrespundi r ent l i prophete asure ment	------⌫|--------⌫-⌫--|-⌫|-------|-----⌫---|
iua k ar tula	|-|-⌫-|-|-|
c itie tprend raslores distli reisiosap ha	-⌫----⌫|-----⌫--|----|---|-|---|-----⌫-|
cinuldesprophetesnostre seignurpar	-|--|--|--------|-----|------|--|
puiss u mssun	-----⌫-⌫-|--|
plaisir enq uerr eedemanderrespundi	------|---⌫----⌫||-------|-------|
achabuniad encore	----|-||-|-----|
remésmichee le	-----|-----|-|
fizhi e mlamais	--|--⌫-⌫--|---|
io l hazpurcoquetuziursme prophetizad	-||--|--|-|--|--|---|-|----------|
r espundiios aph aneditesnedit e ssire reis dunc mandad	-⌫------|---⌫---⌫|-|----|-|---⌫-⌫|---|---|---|-----|
lireismichee l ef izhieml a li duirei	-|---|-----|-⌫|-⌫-|-----⌫|-|--|--|
seeienten lur	------|-|--|
aurnemenzrealsdele tune despor tesde	--------|----|----⌫|--|--|---⌫--|-|
fals propheteprophetizou entdeuant e lss edechi asle	---|-------|-----------⌫--|-----|-⌫-|-⌫------⌫-|-|
c hannaase fist cornesdefe rsidistcodit	-⌫-----|-|---|-----|-|--⌫|-|---|-|--|
nos tre s ire	---⌫--|-⌫--|
de cez c ornes	-|--|-⌫----|
uentelerassy ri eeescurraset ut	---------|--⌫--⌫||-------||-⌫-|
anientlametr as	|----|-|----⌫-|
etuitcil prophete	|---|--|-------|
diseient ensementuaen ramode	-------|-------|-|-|---|-|
pro sprement i irasela	---⌫-------||---||-|
cited pren dras	----|----⌫---|
li message skipu rm ichee	-|-------⌫|-|--⌫|-⌫----|
aladdeceste	---|-|----|
bailliealui	------||--|
parladt uitlipropheteauneuoiz annunciental r ei	-----|-⌫--|-|-------||--|---|---------|-|-⌫-|
pros pretepur	----⌫----|--|
quetaparole ne d escortde la	--|-|-----|-|-⌫-----|-|-|
re spundi micheas siueirem ent cumedeuui t coqu edeu	--⌫-----|------|-|------⌫--|---|--|--⌫|-|--⌫|--|
medemus terrad iol d i rrai	-|-----⌫-----|-||-⌫-⌫---|
cumemi chee	---|--⌫---|
uintdeuant lerei	---|-----|-|--|
lireis lem istaraisunsi li	-|---|-|-⌫--||-----|-|-|
distquelure deuum	---|---|--|----|
galaapurbatail le faireale rununal errespu ndi	----|--|------⌫-|----|---⌫||--|--⌫-|-----⌫--|
micheeuaitu tap rosper ite	-----|-||--⌫||-⌫------⌫--|
edeuteliue radla citiet	|--|-|----⌫--|-|-----|
respundilireisencore	-------|-|---|-----|
te requierecuniurquen e medies	-|------||-----|--|-⌫|-|---|
si ue irnunelnum nos treseignur respundi	-|--⌫-|--|-|--|---⌫--|------|-------|
miche ei oui	-----⌫|-⌫|-|
tut israelesparpeil l éd par	--|-----|---------⌫-⌫--|--|
cezmunzens e mentcumeuweilles	--|---|---⌫-⌫---|---|-------|
ki pastur nen	-|-----|--|
unte n ostresiredisticezn	--||-⌫----|---|---|---||
un t ni en tde	--⌫|--⌫--⌫|-|
pastur pur co re turntc has cunsa	-----|--|-|--⌫----|-⌫---⌫---||
samaisun as	-|-----|-|
loi ddistli rei sde israel	|--⌫|---|-|---⌫|-|-----|
a lr ei iosaph adun	-⌫|-⌫-|------⌫|--|
disde uantq uecistne meprophe tizédrien simal	--|--⌫---|-⌫-|---|-|-|------⌫-----|---|-|--|
redist micheeoi oila	-----|-----|-|-|-|
paroleno stre	-----|--⌫---|
s eignur ioui	-⌫-----|-|-|
nostre seignurs eerensunsiede tute	-----|------|-⌫--|-|--|---||---|
s amai dneedes angel es	-⌫|---⌫---|--|-----⌫-|
an gelea de stre e lia ltrea	--⌫---||--⌫---||-|-⌫---||
loresdistnostresireskidece uerad lerei	----|---|-----|----|-|----⌫----|-|--|
achabsuluncco	----|-----|-|
qu eiladdeseruid que	--⌫|-|-|-------|--|
ilaltaramotgalaa elaseitocis	-|--||----|----||-|---|---|
ecumeunsdecesa senestreen	|---|--|-|--||-------|-|
parlas tde	------⌫|-|
un ebail lie e	--⌫|----⌫--||
altrebail l ieunsuint	----|----⌫-⌫-|--|---|
auant e est utdeuant	----||---⌫-|-----|
seignursidi stioldeceu eraiee nque l manier e	------|-|--⌫-|-||-----⌫---||-⌫|---⌫|------⌫|
nostresiresl e	-----|----|-⌫|
deceueras io irrai	--------|-|----|
efraituzsesprop het esment ir	|---|--|--|----⌫---⌫-|----⌫-|
res pun din ostre sireoren ua duncesi	---⌫---⌫-|-⌫----|---|-|-|-|---||-|
le de ceuera sees tel euusdeuad	-|--⌫------⌫||--⌫---⌫---|--|-|
duné lesperi t	----||------⌫|
de mencungea	-|-------||
tuzl esprophet es ki	--|-⌫-|-------⌫-|-|
cisuntenostresires	-|---||-----|----|
p urue iradparléd enuers	-⌫-|--⌫-|-|------|-----|
te i cestma lque	--⌫|---|--⌫|--|
annunciédteai	---------|-|-|
a cezmotz s eap reschad	|--|---|-⌫|--⌫------|
s ede chias lifizcha naa na michee	-⌫---⌫----|-|--|---⌫---⌫||-----|
seli empeinst un buffetbonbien escoréd	-|-|-------|-|-----|--|---|-------|
silidistcument	-|-|---|-----|
da nm aistre silaissadliesp erizdeu	--⌫|-⌫-----|-|------|-|---⌫---|--|
meieadparlé d	--||-|------⌫|
respund imiche eolcoue rra s	-------⌫|-----⌫|-|-|--⌫---⌫|
t ubi enquanttu	-⌫|--⌫-|----|-|
entreras dech ambreenaltre purteimusci erpernez	-------|-|--⌫----|-|----|--|--|-----⌫-|-----|
li reis michee si	-|---|-----|-|
lliureza ammo nk iestprince	|-----||----⌫|-⌫|--|-----|
ioaslef iz amale chsilurditesq ueil	---|-|-⌫-|-----⌫-|-|--|----|-⌫-|-|
le metent en chart re eque l enuriss entde pain	-|-----|-|-----⌫-||--|-⌫|------⌫--|-|---|
detribu latiun	-|-----⌫-----|
edeewedeanguisse deciqueioreturne	|-|--|-|-------|------|-|------|
respundimichea s situ r eturnes e npaisd uncn	-------|------⌫|-|-|-⌫------|-⌫|---|-⌫--||
od meiparlé d	-|--|------⌫|
lireisde i srael	-|---|-|-⌫----|
eli reisiosapha esmurenteuindren t	|-|---|------|-------||-------⌫|
enramoga laat h e li reisachab requistiosaphath	-|---|--⌫----⌫||-|---|----|------|--------|
searmas te entrasten labatailleod l	-|-----⌫||------|-|-|-------|-||
a tur achab sicum eco	-⌫--|----|-----⌫|-|
f us tachabe	-⌫--⌫|----||
l i reisachab	-⌫|---|----|
sed e sgu isad dearm uree	-|-⌫-⌫---⌫---|-|---⌫--||
elchanplireisdesi rie out cumand as	-|----|-|---|-|--⌫--|--|-----|-|
trentedousprinces	-----|---|------|
deseostqueil ne se	-|-|--|--|-|-|-|
cumbatiss entneuerslegrant ne	---------⌫--|-|---|-|----|-|
uerslepetit for sencuntre	---|-|----|---⌫|-------|
lur eid eisraels ulementcume	-|-⌫-|-⌫|-----|-⌫------|---|
cezprince suirent lecurre le reiiosa pha susch erent	--|------⌫|-----|-|----|-|--|----⌫--|-----⌫----|
desurfu stli reisdeisrael pur c o firent	----|--⌫-|-|---|-|-----|--|-⌫|-----|
unassaltm erueillus	-|-----|-⌫--------|
surlerei i osaphae li	--|-|--|-⌫-----||-|
reis iosaphath a tantse escria d	---|--------||---|-|------⌫|
elialtrese aperch u re ntqueco nen	|-|----|-|------⌫-⌫--⌫-|--|-|--|
ach ab eser etraistrent deles salt uns del	---⌫-||-|-⌫----------|-||--⌫---|--|-||
ostassyrie ns	--|-|-----⌫-|
trais t u n	-----⌫|-⌫|
dartepar aue ntureferidle	---||--|---⌫----|----|-|
reid e israelalpolmu n	--|-⌫|-----|-|-----⌫|
e naurad leamorteilcumesi	|-----|-||---||-|---|-|
blecié dcumandad	-------⌫|-------|
erranment a	--------||
celi ki le c ur re	---|-|-|-⌫--⌫-|
guioutqueille menast hors	-----|--|-|-|-----|---|
de l ostel isancsdelaplaierai out	-||--||-⌫|----|-|-|----|---⌫--|
a ual c el cu rre e lireis	-⌫--|-⌫-|--⌫--||-|---|
estutsurle curreq ue l um ne aparceust	----|--|-|----|-⌫-||-|-|--------|
queilf udnau rez	--|-|-⌫-|---⌫--|
e muru talue spreelim areschal deuant	|----⌫|-|--⌫---||-|-⌫-------|-----|
coqueli solei l z	-|--|-|-----⌫-⌫|
escunsastalerent par cel ost e cumanderent qu e	--------|------|--|--|--||----------|--⌫|
c hasc uns	-⌫----⌫--|
r eturnastensaterreea sacitie tea	-⌫-------|-|-|----|||-|-----⌫|||
sa fer me tete	-|---⌫--⌫--||
cund uist-553 le	----⌫-------|-|
corsies que en samarie e	---|---⌫--|-|------||
la fu denseuelizelum	-|--⌫|--------|||-|
l a uad suncurre a une riuieredesa mariee	-⌫-⌫--|--|----||--|------|-|--⌫----||
chienslechier ent	-----|-------⌫--|
sunsancsulunc	--|---|-----|
laparole no stre seignur	-|-----|--⌫---|------|
regnadpurlui	-----|--|--|
lireisiosaphasen turn a d deramothg alaa the	-|---|------||-|----⌫-⌫|-|-----|-⌫----⌫-||
p aisenierusalemma is unsprophetesuint	-⌫--|-|--------|--⌫-|--|--------|---|
en cuntr e luihieupar num si lid ist tua s	--⌫-----⌫|--|---|--|--|-|-|-⌫--|-|-⌫|
mesfaiten co	------|-|-|
quet uf eisai ealfe lun	--|-⌫|-⌫--|--⌫|-|--⌫--|
achab e eu spriuit eeamur odl e	----||--⌫|------⌫||---|-|-⌫|
e neminos trese ignureb i endeseruisenco	-⌫---|---⌫--|--⌫----||-⌫-⌫-|-------|-|-|
l ire n ostres e ignur	|--|-⌫----|-⌫-⌫----|
ma isnepurquant b onesuntesté tes ueur esen	--⌫-|---------|-⌫---|--|----|--|----⌫-|-|
tu asab atuzlesboisulumsoleita	-|-|--⌫---|--|---|||-|-----||
deabl esacref ieretu n	-----⌫|------⌫--||--⌫|
curageaturnasa	-----|------||
lauoluntedde ulireis iosa phaa s ist	-|-------|--⌫|-|---|----⌫--|-⌫-⌫--|
partute saterrei uges	--|---|-|----|-⌫---|
as citiezecumanda dqueleali u sti se	-|-----||-------⌫|--|---|-⌫-⌫---⌫-|
tenissentalpoure e	--------|-|----||
alrichee queilendo ctrinasse ntlagent	-|----||--|-|----⌫---------⌫-|-|---|
de lal einostre seignurquei lnepecch assent	-|-|-⌫-|-----|------|--|-⌫|-|-----⌫-----|
querlese r uis se nte	---|-|--⌫-⌫---⌫--⌫-||
fermeme nt se	-------⌫-|-|
ite ni s sent	|--⌫--⌫-⌫---|
ci ldemoabelifizamon e cil de	--⌫|-|---||-|--|---||--|-|
ydumeeec ez de	-----||-⌫-|-|
assembler ent e	---------⌫--||
uin drent aost sur lereiiosapha	---⌫----||--|--|-|--|------|
elir eis enoutformentgrant pour	|-|-⌫--|-|--|------|----|---|
safia n ceen	-|---⌫-⌫-|-|
no st reseignurefistfaire iuniepar tute	--⌫--⌫-|------||---|----|----|--|---|
fis t assembler	---⌫|--------|
le poplepur deu	-|----|--|--|
requier requemer cilur feistelir ei se	-------⌫-|--|---⌫-|--|----||-|-⌫--⌫||
s un popl ehum mes	-⌫-|----⌫|---⌫--|
e femmesgran z e	|-----|----⌫||
requis tren t	------⌫----⌫|
lagracenostreseignur	-|----|-----|------|
oidunsp rophetes	--|--|-⌫-------|
l a par quinos tresiresparlad si l ur dis t	-⌫|--|--|---⌫--|----|-----|-|-⌫-|---⌫|
sir e snen aiesp asp our deceste merueillusemultitudineki	---⌫-⌫|--|---|-⌫-|-⌫--|-|----|----------|----------|-|
suruuscest e bata illen iert pasuostremai s e le	--|--|----⌫|----⌫---||---|--|-----|---⌫|-⌫-|
kipur uussec u mbatrade uerrez l e a ie	-|--|--|-|-⌫-⌫------||-----|-⌫|-⌫-|
nostre seignuru us	-----|------|-⌫-|
iudaeierusa lemnen	---||------⌫--|--|
aie zpour de ma in isterez	---⌫|---|--⌫--⌫-|------|
en c untre	--⌫-⌫----|
elsenostresires	--||-----|----|
uuslorescha id lireisetui tli	--|----|---⌫-|-|---||---⌫|-|
al tre aterre e au re rent nostreseignu r	--⌫--||----||--⌫--⌫---|-----|------⌫|
elicle rgiez fis t halt	|-|---⌫----|---⌫|---|
seruiseehunurablea laloengedeu lendemain	------||--------||-|-----|--||-------|
errerentparled esertdetecuee	-------|--|-|-⌫----|-|----||
lireiscumandadque	-|---|-------|--|
clerg iealastd eua ntl eost elo assen tnost re	-----⌫-|----|-⌫---⌫-|-⌫|--||--⌫-----⌫|----⌫-|
seignurodchanz	------|-|----|
eahalteuoizs i	||----|---|-⌫|
auintpar la forcenostre seignurqua nt	----|--|-|----|-----|------|---⌫-|
cilleuer entl ur ch ant que	--|-----⌫--|-⌫-|--⌫--|--|
ede moab e ci l del	|-|---||--⌫|--|
muntde seir semedle rent e leuadliesturs	---|-|---|-|-----⌫---||----|-|-----|
forzefierssi	---||----|-|
seentreoc ieientsi q ue	-|-------⌫-----|-|-⌫-|
nefuduenuz	-|--|----|
nuldelur enemis	--|-|--|-----|
puissi cume cil de iuda	---|-|---|--|-|---|
uin drenta lacaue	---⌫----||-|---|
encuntreledesertpartuzlesc hamps uire ntmorzgesir	-------|-|-----|--|--|--|-⌫----|----⌫-|---|----|
naurezsiqueneisuns	-----|-|--|---|--|
nepout e sch aperlor ess e apr ucha d	-|---|-⌫---⌫---|---⌫-|-⌫|---⌫----⌫|
lire isi osapha atuteseo ste	-|--⌫-|-⌫-----||---|-|-⌫-||
quanq uil u ol ten pri stque	-----⌫|-|-⌫--⌫|-|---⌫-|--|
desm orz qued e suifs	--|-⌫--|--|-⌫-⌫|---|
etantiou t arm eseuaisse le	|---||--⌫|---⌫-||------⌫-|
argen te guarnem en zqu eentreisiurs	-----⌫||-------⌫--⌫|--⌫|-|----|---|
pou re nt prendr e	---⌫--⌫-|------⌫|
n edela remu e r	-⌫|-|-|----⌫-⌫|
puissen retur nadi osaphaaierus a le mod	---||-|-----⌫--|-⌫-----||-----⌫-⌫--⌫|-|
gr ant leeceei l e li	--⌫--|----||-⌫||-|
suenrendi rent grace el oengea	---|-----⌫---|----||-⌫----||
nostre seignurli r eisio saphafistnauirie faire	-----|------|-|-⌫--|--⌫----|---|------|----|
purenueier	--|------|
ormaisnip aruindren t	-|---|||-⌫---------⌫|
miekar depeschiezfurent en	--|--|---------|-----|-|
a sion gaber e lirei s ocozias d e israelrequ is t	-⌫----⌫----||-|---⌫|------|-⌫|-----|----⌫--⌫|
las uenauiriepou st alerodlasue	-|-⌫-|------|---⌫-|---|-|-|--|
maislir eisio saphane	---|-|-⌫--|--⌫----|-|
uoltoir lor esnefud	---|--|---⌫-|-|--|
nuls re isd eedom	---|--⌫-|-⌫|---|
regnadeniud a efistco que	-----|-|---⌫||---|-|--|
deuploutmaista ntqueil	--|----|---|--⌫-|--|-|
suf f rid quel umsacrefiadasmunz kar encoreaidunc	---⌫-⌫--|--||-|--------|-|---|--|-----|-----|
pop lesi sacrefieiteenc ensio ffreitlire is	---⌫--||---------||---⌫--||-⌫-----|-|--⌫-|
iosaphaset int	------|-|-⌫--|
asbonesueies sunpereasaepa isi	-|----|----|--|---|--||--⌫-||
out entr elui e	--|----⌫|--||
deisraeleiles n eiad	-|-----||-|--⌫-⌫---|
p a i sdesmaluei ses genz	-⌫-⌫-⌫|--|------⌫--|---|
ifur entaltenssunperetrentecin canz	|---⌫--|-|---|--|---|-----|---⌫|--|
outio sapha quant	--|--⌫----|----|
il cu menchad a regnere azuba out numsamere	-|--⌫------||-----||----|--|--|-|---|
ef udfille	|-⌫-|----|
sa laie uinte	--⌫--||---||
cinc anzregnadenierusalempuis	---|--|-----|-|--------|---|
murutef u d enseu e lizenla ci ted d auid	----||-⌫-⌫|-----⌫-⌫--|-|-|--⌫--|-⌫---|
eioramsis fiz	|----|--|--|
regnadpu r lui ocoziasle	-----|--⌫|--|------|-|
fizachabr egnad sur	--|----|-⌫----|--|
i s ra elen	-⌫-⌫--⌫-|-|
samariee ldisesetme an iosapha le	------|-⌫|--||----|-|------|-|
rei deiuda	--|-|---|
edou sa nzregnademal eme nt	|---⌫|-⌫-|-----||---⌫---⌫-|
uuer ad enuers nostre	----⌫-|-----|-----|
esewid le smales tracessunpe ree sa	|----|--⌫|----|-----|--|--⌫-||-|
