S ii ertilsi	-⌫|-⌫--|-|-|
d eman da les emblant	-⌫----⌫-|-|-⌫------|
Siel eperneitm aric umg ente ren tdisant .	-|--⌫|------|-⌫--|-⌫-|-⌫--|-⌫---⌫|------⌫|
Ecillirespund iD e	|--|-|-------⌫|-⌫|
dreite rrant	----|-⌫----|
Orendreitm	-|------||
en turnai d reita prim esonant.	-|-----|-⌫---||----⌫|------|
Lireis estaLion s	-|---|--||----⌫|
cit éuaillant	---⌫-|-------|
E la tendra sacortsiad	|-|-----|-|---|-|-|
barnagegra nt.	------|---⌫--|
Lauiuend raModi nkiestreimut p reisan t[f.82a]	-|-|----⌫-|----⌫|-|--|--|--|-⌫------⌫-------|
De Feneniees tseign ur	-|------|--⌫|-----⌫-|
iouencelauenant	-------|------|
Euidei t espuser	|-|---⌫|------|
Rigmelaluisriaunt.	-----|-|--|------|
Tre stu itcildelpaïs en suntlez e ioant	---⌫---⌫-|--|--|----|-|---|--||----|
Cunt re lui	----⌫-|--|
sunt alé lau	---|---|-||
estari uant.	--|---⌫----|
dem orer karioe	---⌫---|--|--|
De ralerelpai ̈slauioefuimanant.	-|----|-|---⌫-|-||--|--|------|
Horn ad tu t	---|-|--⌫|
entendusire spondieis s in	------|-|--⌫-----|---⌫-⌫-|
B ienmen auezoredit beaus amisp el erin.	-⌫--||-|---|--|--|----|---|-⌫--⌫----|
Mes quantioeuu s esga rd simaïtsaint	--|----|--|--⌫|----⌫-|-||---|----|
Bienmesem blëal	---|-|---⌫---|-|
uiskeseëz	--|-|----|
Parmiçoeq u	--|-|---|-⌫|
e ste ssidegastée frarin	-⌫---⌫|-|-------||-----|
Nesemblekeseie z netafurnetapin.	-|-----|-|----⌫|-|----|-|-----|
Pur la co tequ a uezaure z blïaud purprin	--|-|--⌫-|-|-⌫--|----⌫|------|------|
Lesclauineaurai [io e]e	|--------|----|---⌫-||
mantelhermin	-----|-----|
Epur[ï]c e s trebuzceschaucesdosterin	|--|-----⌫-⌫|-----|--|------||------|
Pur c estuostr eburdun	--|-⌫--|-----⌫|-----|
cestmienamo rauin	---|---|---⌫----|
Purlap aulme d el col	--|-|-⌫----|-⌫-|--|
ce stbonbrant	--⌫-|--|----|
Pussi tendre zaDeu	--|-|------⌫||--|
palmeruostrechemin	-----|-----|-----|
E i o eirraiala curtpur	||-⌫-----||-|---|--|
uëeir lurcouin.	-----|--|-----|
Siredist lipaumer kidel	---|---|-|-----|-|--|
ewe fistuin	--|---|--|
Desbiensquemauezfaituus enrendemercin	--|----|--||---|---|--|-|----|-----|
A tau n tsen est	|---⌫-⌫||-|--|
turné tutdre it uerslemarin.	-----|--|---⌫-|---|-|-----|
EHornsiad turnécumdit	|---|-|-|-----|--|--|
leparchemi n	-|--------⌫|
enue rs lacort od sun	----⌫-|-|---|-|--|
chape lfeutrin[f.82b]	-----⌫|-------------|
Sun trotunsiformentnesi tenist r onci n.	--|-----|-|------|-|||-----|-⌫----⌫-|
Presde lb urc sares tut suzla se luedun	---|--⌫|-⌫--||----⌫--|--|-|--⌫--||-|
Ilocuoldrauëeirde	---|-----|-----|-|
lur u enirla fin.	--|-⌫---|-|---|
Lagentle re iModinsunt dela nef	-|---|-|--⌫|----|---|-|-|--|
Euo ntu ersla	|--⌫-|-⌫--|-|
cit étuzl eschemins	---⌫-|--|-⌫-|------|
Cuntrecielflambeien tlur	-----|---|---------⌫|--|
espie zl urescu z.	-----⌫|-⌫-|----⌫-|
Delaufu ddanHornlesa d b ien	-|-||--⌫|--|---|--|-⌫|-⌫--|
c o n eüz	-⌫-⌫-⌫---|
Nese m oura d iloc tresque se ient	-|-|-⌫---||---|------|--⌫---|
ceu s qu il	---⌫|-|-|
uoldra si rendra sessaluz.	-----|-|-----|--|-----|
Les premiersl aitpasser	--|-------|-⌫--|-----|
tutkoi setinte mu z	--|--|-|---||--⌫|
Karcoesunt esqu iërsg e nz	--|--|---|----⌫----|-⌫-⌫-|
enueiseze druz	-------||---|
E a pr ess i	|-⌫--⌫-|-⌫|
iofneprimbarbuz	----|---|-----|
Denoue ladobezcheualiersbienuest u z	-|----⌫|-----|---------|---|----⌫-⌫|
E ceuslaitsip asser ne lur estmot	|---|---|-|-⌫----|-|--|--|--|
Alde reinuindrentgent beledentre chanuz	-|--⌫---|-------|---|---||-----⌫-----|
Od ices uintModin –cesoutil	-|---|---|----||--|--|-|
Ka r çoe iertsiscunseilz	--⌫|---|---|--|-------|
enices sestcr eu ̈z.	-|---||--|--⌫--⌫--|
Odeusu ient Wikel e ki·sadt uz	-|--|-⌫---|-----⌫|---|-|-⌫-|
Kitielplaitadmoü	-|---|----|-|---|
duntil iert irascuz.	---|-|---|-------|
DesqueHornuit icesbien se staparceüz	-----|---|--|---|---||-⌫-|--------|
iertreis Modin s enFeneni ecremuz.	---|---|-----⌫|-|------⌫|------|
ReisM odinseW i kele	---|-⌫----||-⌫-⌫---|
[en ]uiene ntc heu alchant	---⌫|-----⌫-|-⌫---⌫------|
Detrie s l orcumpaignunsgr ant io[i]ëuo nt	------⌫|-⌫-|----------|--⌫--|------|--⌫-|
Bra zabraz alurcolsgi u e	---⌫||---||--|---|--⌫||
risd emen ant.[f.83 a]	--|-⌫----⌫---------⌫-|
DeRigm elpa rloënt cum	-|----⌫-|--⌫------|--|
ele iertauenant –	--|---|------||
nenasquien	-|-----|-|
cestsiecleuiuan t.	---|-----|-----⌫-|
ad bienentenduki	-|---|------|-|
coruz enotgr ant	----|-|-|--⌫--|
Ial urdi r a unmotki quen seit	-|-⌫-|--⌫-⌫|-|--|-|-|-|---|
cor o c ̧ant	---⌫-⌫-⌫---|
Seignursfetil	-------|--|-|
b acheler sbie n	-⌫-------⌫|---⌫|
sem blezge ntbeuan t	---⌫---|--⌫-|-----⌫|
Kian ocesaugezpur d emenerbobant	-||-⌫---|----|--|-⌫-----|-----|
BieniurerezWitegodqu an taurezbeütaunt	---|------|------|--⌫--⌫|----|---|----|
Kel iuins uuseschaufee	-|-⌫|---|--|-------||
seëz s i iur ant.	----|-⌫|---⌫---|
Dorraiuusuns estiersigré m	-----|--|-|-⌫-----|-|---||
estes saua nt	----|----⌫-|
sauezn enaur ez taun tnequant.	----||-|---⌫-|----⌫|-|-----|
Equ antWikelel ot purp oinen	|--⌫--|-----||-|--|-⌫-||-|
e stde suant	-⌫-|--⌫----|
Parmaltalentqu	--|--------|-|
ilotlen fus i respunant–	-|-||-|-|-⌫|--------||
coneüstne· lfust	-------|---⌫|---|
iacomençan t.	-|---------⌫-|
Eda n Hornconutluiquill	|--⌫|---|----|--|-|-||
outnurrid enfant.	--|----||------|
Oroe ̈z quil	-|--⌫-|-|-|
lidistsi seëz escutant	-|---|-|----|-------|
Fizapu teinmal uais l echerresurparlant	--||--⌫---|---⌫---|-⌫------|---------|
l amurDeuequest es	|---|--||-|---⌫-|
s i penant	-⌫|-----|
Iafus sez s ibatuenient	-|---⌫--|-⌫|---||----|
d autre uergant	|----|------|
uo st r e b urdon ke fussezordëant.	--⌫--⌫-⌫|-⌫----|-|-----|--------|
Iamescuntretielgent	----|-----|---|---|
ne fu ss ezsiga bant.	-|--⌫--⌫-|-|--⌫----|
Ala fei c ̧oedit	|-|--|-⌫--|--|
Horn d o nc mar l ef ui por tan t	---|-⌫-⌫-|--|-⌫|-⌫-|---⌫---⌫|
uostrecolsiorneuenez	-----|--|---|-|----|
Ia s aure zkiioesu iecu mioe	-|-⌫----⌫|-|--|--⌫||--⌫|--|
suiferant.	--|------|
Wike le distModinkarlessezcestsei gnur.[f.8 3b]	----⌫-|---|----|--|-----|---|---⌫---------⌫--|
Detencer cuntreluinia urom ia	-|-----|-----|--|||-⌫---|-|
Ile naurei tlemeuzenustutle	-|-⌫|-----⌫|-|---||--|--|-|
[Ali p ier t qui lest	-|-|-⌫---⌫|-|-⌫|--|
la s unle cheur]	--⌫|-|--⌫-----|
ces noces u ient pur ioer od	--|----|-⌫---|--|---|-|
Esiestaturnéde	|-|--|------|-|
sipou rë atur	-|---⌫--|---|
Purçoequi lp renge mielz sil	--|---|-|-⌫|-⌫----|----||-|
tro eue doneo ̈r	---⌫--|-----⌫-|
Kili dontsoluncçoekeil	-|-|---|-----|---|-|-|
e st ioëör.	-⌫-|-------|
Del unctens nes til	-|-⌫--|---||--⌫|-|
cesdrasporteö r	--|---|-------⌫|
adchar b lanc h ee fresc helac olur–	-|---|-⌫----⌫-⌫||-----⌫-|-|-⌫---||
Il purre itparbeautéestrefizdalma çor	-|-----⌫-|--|------|----|--||----⌫---|
Ne·ldeureitrefuserfi lle ae npereür.	---|------|------|--⌫--||-⌫--------|
di t esam isiluuspl estsa nziror	--⌫-⌫-|--⌫||-|--|--⌫--|--⌫-|---|
duntuene zuauezuus	---|----⌫||---|--|
Ioe·ltedirai	----|-|----|
dist Hor n siesescote ör.	---|---⌫|-|-|------⌫---|
Iadisserui i ciunhome de ualur.	----|----|-⌫-|-|---|-|-----|
Diraiuusm unme stierio e fui	----|--|-⌫-|--⌫----|--⌫|--|
s unpescheör.	-⌫-|---------|
Unereike ioeoi –boneie rt	--|--|-|--|-||---|--⌫-|
at iellabo r	|-⌫--|----⌫|
En un e ewe la	-|--⌫|--|-|
m ispeis sunprendre	-⌫-|----⌫--|------|
Pre s suntsetanzpasse ́kenefisc i	---⌫|---|--|--|-----⌫|-|-|--|-⌫|
Orsui çareuenuzsi·ni ercregarde o ̈r	-|--|--|------|---|-⌫--|-------⌫-⌫-|
Sielepeissun sadprisia	-|--|-------⌫|-|---|-|
mais n aur amam ur	---||---⌫||--⌫-|
Esien corees tsanzoec dunc	||---⌫---|--⌫|---|--|---|
Tiele uïe demei ncu m	----|---|-----⌫|--⌫|
uussui cunte ör.	--|--|-----⌫---|
Senuolezplusoïr	|-|----|---|---|
que rezautre	---⌫--|----|
Wik eleditModincioëzgr ant folur.[f.84a]	---⌫--|--|----|-|---|--⌫--|------------|
Bien le saueieauantquilesteit	---|-|-----|----|-|-|-----|
Fousestk i purcest uise	---|--|-⌫|--|----⌫-|-|
coroc e pleind o r.	-----⌫|----|-⌫-⌫-|
Beausam isWikel[e]alumnost re	----|--⌫-|-------|---|----⌫-|
Sic umm andom a	-|-⌫---⌫----||
Deucest paum erpelerin	--|---|----⌫-|------|
Sëiluienta la c ort donum	--|-|----||-|-⌫--|----|
li debon ui n.	-|-|--|--⌫-|
Nepiertpaske	-|----|--|-|
de lignagefrarin	-|------|-----|
Malemen tli aui entqu iluetsien	-------⌫|-|---⌫--|-|-|--|-|-|
Ia marmecrer ezmais s il	-|--|-|----⌫-|---||-|
nest neddebonlin.	|--|--|-|--|---|
Iladle cors tauntgenteleuista unt	-|-|-|---|----|---||-|--|--⌫--|
Ilnestpaslungement	-||--|--|--------|
a l é e ntiel traïn.	-⌫-⌫-|-⌫|---|------|
Neme chautdist	-|-|----|---|
Wikel [e]felunestemastin.	-----⌫--|----|--||------|
Alu m dre it cestsen t ie ral m ustie r saintMaurin	---⌫|---⌫-|---|---⌫-⌫--⌫|-|-⌫-----⌫|----|-----|
lacreuesquie u	|----------||
s um es tuitacl in	-⌫--⌫-|---|---⌫-|
Eliarceuesquëest p rodoem danz	|-|----------|--|-⌫-----|---|
Lan usatentli	-|-⌫-|----|-|
reise odlui siueisin	---||-|--|-|-----|
Laserrezes pu sed	-|-----|--⌫--⌫--|
c umcummaundentdeuin	-⌫-|----------|----|
Kilal eiDeuont fait escr ire enparch emin.	-|-|-⌫-|--|--|---|----⌫--|-|-----⌫----|
Ala fei d istM od indunc	|-|--|-⌫--|-⌫--⌫-|---|
le fai mes	-|---⌫--|
OrestHornsulremis suzla	-|--|---|--|----|--|-|
se l uedelpin.	--⌫-⌫-|--|---|
Sisest lorsdeguise z suz sun c hap elfeutr in	-||--|---|-------⌫|--|--|-⌫---⌫-|-----⌫-|
aquillie pardeiustelerin	-------|--|------|-|--|
Ki uient dela citédunt	-|----|-|-|----|---|
liruitsuntb ienfin.	-|---|---|-⌫--|---|
Ilpor toute n s amai nsun bonbur dun fraisnin	-|---⌫---|-⌫|-⌫|---⌫|--|--|---⌫--|-------|
Purseiplus deguiserteneitlechief e nclin.[f.8 4 b]	--|--|---|-------|-----|-|----|-⌫----------⌫-⌫-|
Siderien liforfuntescuie r	-|-|---|-|------|------⌫|
Tostlur paiëreitt ielqu il les m etei t	---|--|--------|-⌫--|-|-|--|-⌫----⌫|
Tanta derrédanHornquala	---|-⌫|----|--|---|-||-|
porteestuenu	----|--|---|
Mesne· ll es sententre r karnifud	--|---⌫|-⌫--⌫---|-----⌫|--|||--|
Çoesi e stuneriendunt ilf ud	---|-|-⌫-|--|---|---|-|-⌫-|
Edu ntliportiersottrestutelkesaluz	|--⌫-|-|-------|-|------|-|-|----|
KardanHorn saprosmacumhomkertirasc uz	--|--|---||------|--|--||--|-----⌫-|
Sus l e prist bien en	--|-⌫|----|---|-|
h autparlesche u eus	-⌫--|--|--|---⌫-⌫--|
Eas eilesacha cumcilkiert de	||-⌫-|-|----|--|--||---|-|
Illenpeinst	-||-------|
eretraistk etreiscopsoutfer uz	|-------|-⌫|----|---|--|---⌫-|
Silreferistl equarta tuzdisfust	|-|-------|-⌫|----||--|--|---|
Suzlepunt leietadenzes pa rf unz	--|-|---|-|----|--|-|--⌫--⌫--|
Pus entraaba ndun si	--|----||--⌫---|-|
[si]absconduz	---|--------|
Enzenlagrant pressequil	--|-|-|----|-----|-|-|
nes taparceüz.	|--⌫|---------|
Unkespusicel ior	----|--|---|--|
Forsitaun t	---|-----⌫|
qual porter suntsiami coruz	-|-|-----|---|-|--|----|
P ur l uitr airedeltaiqu iln	-⌫-|-⌫-|--⌫---|--|--|-|-||
ifustenuoluz.	|---|-------|
A sez fuddema ndé ki c eiertqu est	-⌫--|--|----⌫---|-||----|-|--|
Mesne·l ont cone üpur çoese	--|---|--|----⌫-|--|---|-|
sunt teüz.	---|-----|
messeontoïeal m uste rprincipal	----|--|---|-|-⌫----⌫|--------|
Eliserui sesfaite haut	|-|-----⌫--|---||---|
efest iual	|----⌫---|
Cum tu t dreitdes pusercele	--|--⌫|----||--⌫----|---|
fille real	----|---|
Alacortsuntu enucilbaronn atural.	|-|---|---|-⌫--|--|----|-⌫------|
sunt asizseruentcil seneschal[ f.85a]	---|---|------|--|----------⌫-----|
D esquiëles dargentnun enaut remetal.	|---------||-----|--|-|---⌫-|-----|
Bute illiers onthanapse	----⌫------|--|-----||
Kimuts untbienourezdepierre[s]	-|--|-⌫--|---|----|-|--------|
Ilportentles p imenz les	-|------|--|-⌫----|--|
uinsclersc u m crista l .	---|----|-⌫-⌫|------⌫-⌫|
Li s eruiseses tgranz biensembleenperïa l	-|-⌫------|--⌫|----|---|-----|--------⌫|
Onchomneuit plusbelauantanul	--|--|-|--|---|--|----||--|
Liau mo niersloreiaueitpris	-|--⌫--⌫----|-|--|----|---|
Despoures alman gera utre mentfust mal.	--|-----|-|---⌫--|-⌫----⌫---|---|---|
Hornifu tpr isod eusme s	---||--⌫|--⌫-|-|--|--⌫|
nioutparingal.	||--|--------|
Dedesuzsunchapelsunuis tintcuntreual	------|--|-----|--|--|---|--------|
Qu ilne fustcon eü	-|-|-|---|---⌫--|
d ehomedelostal.	-⌫|---|--|-----|
Dreitalchiefdë un	----|-|----|--|-|
bancsiotprissu nestal	---|-|-|---|--⌫|----|
Parm itutlurbuter	--|-⌫|--|--|----|
on c ne lo r uoutf air eal.	--⌫|-|--⌫|---|-⌫---⌫|--|
Dec elliuuilsist	-|-⌫-|--||-|---|
potil b ien esgarder	--|-|-⌫--|-------|
Tu tlurcuntenementkeilfuntalmanger	--⌫|--|----------|-|-|---|-|-----|
Cu m seruentseneschal deseruise plener	--⌫|------|--------|-|------|-----|
Ecu muin s	|--⌫|---⌫|
eclarezporte ntcilbuteil ler	|-----|-----⌫-|--|------⌫--|
Ki· sf unt detotes p arzenuoisiere	---⌫|-⌫--|-|----|-⌫--|--------||
Forsla beleRig melk imutparp ou tpen ser	---|-|---|---⌫--|-⌫|--|--|-⌫--⌫|---⌫--|
Que nulsp arnuldedut ne	--|---|-⌫-|--|----|-|
l apot cun fo rte r.	-⌫|--|---⌫--⌫---⌫-|
A sezlifeseitlenharpere	-⌫--|-|-----||-|-----||
Me sn ipoeits isquoers	--⌫|||----|-⌫-|-----|
en nulsen deliter	-|--|--|------|
Tant li pesoutde	---|-|-----|-|
Hornquel li deue ittrichi er	---|-|-|-|----⌫-|------⌫-|
Meselenenpoeitmese meins fi sta	--|--||-|----|--||----|--⌫-||
blasmer[f.85 b]	------------⌫-|
Forcefeseitli	----|-----|-|
reisparmalu aiscunseil ler.	---|--|----⌫--|-------⌫---|
Quantase zontmangie ́lestable s funtost er	----|---⌫|--|------⌫|--|-----⌫|---|---⌫-|
cillau équise uoelentla ue r.	--|---⌫-|--|-|------|--⌫--⌫-|
O rs iuoldron tmanger seriante escuier	-⌫|-⌫|-------⌫|-----|------||------|
Me s lereisentretantd eitseruise	--⌫|-|---|--------|-⌫--|------|
Sicumcos tu meesteit purleuin	-|--|---⌫--⌫-|-----|--|-|--|
Kef irents i anceisorç oe neueut	-|-⌫----|-⌫|-------|--⌫-|-|---|
Ain z comandeaRigmelkë ele	---⌫|------||-----|--|--|
ideint ale r.	|----|---⌫-|
Ela belenepout	|-|---|-|---|
suncomanttrespasser.	--|-----|----------|
Costu meie r taidon cen icele cuntrée ́	-----⌫-|--⌫-⌫||----⌫|-|----|--------⌫|
Kequantauen eitsike dameiertespuséé	-|----|----⌫--|-|-|---|---|--------|
Sielepucele	-|--|-----|
fustk elne f ustessaié é	---||-|-|-⌫--|-------⌫-|
Kedelb eiureseru is ttu titaunt de	-|--|-⌫----|----⌫--⌫|--⌫|-----|-|
Cumli seneschal mangastod celautre	--|-|--------|------|-|--|----|
Equant oüst	|----|----|
çoefaitap r e ssa	---|---|--⌫-⌫-⌫|-|
A rmes de ueitportercil a	-⌫---|--⌫---|-----|--||
Pardefor s l acité uenchampuen	--|-----⌫|-⌫|----||-|----||-|
Equantçoecostumeiert Rig mel pasne·ldeuéé	|----|---|------|---|---⌫--|--|---|------|
Ainzestde m eintenantens eschambresentrée ́	---|--|-|-⌫--------|-|-⌫-|-------|-------⌫|
Ese stmutnoblement	||-⌫-|--|--------|
ilo kesaturnéé	---⌫--|--------|
Epustostsenreuientenlasale	|--|---||-|------|-|-|---|
Trentepu celesotodluienlar en géé	-----|--⌫----|-|-|--|-|-|-⌫--⌫----|
nefusttotede safubléé	-|---|---|--⌫---------|
Fill essuntabaronschescuneiert enseignéé .[f.86a]	----⌫-|---||-----|-------|---|-----------⌫-------|
Enlabute illerieestRigmelpusentrée ́	-|-|----⌫------|--|-----|--|-------⌫|
Un c ornpri stdebugle	-|-⌫--|---⌫-|-|----|
dunt lal iste iertgemmée ́	---|-|-⌫---|---|-------⌫|
Kient ur labuchedemi piéesteit	-|---⌫-|-|----|---|---|-----|
Siiertdoraffrican m erueillesbien	-|---||-|-------|-⌫--------|---|
oure ́ é.	----⌫-⌫--|
De pimen t	-|-----⌫|
l ad empli–beiureestki	|-|----||-----|--|-|
b i en agréé–	-⌫-⌫-|------||
porta cumiert la	----|--|---|-|
costuméé	---------|
Les autresensementoduesse l edoréé	--|-----|-------|-|-----⌫-⌫|------|
Serueient tut	--------|--|
en turlasal e encortinéé.	--⌫--|-|---⌫|------------|
Quatreturs	-----|---|
f aitke nif unt	-⌫--|-|||-⌫--|
Siqueuint al quint k eHornladu ers	-|--|---|-|----|-⌫|---||-|-⌫--|
l isachéé	-⌫|-------|
Altrespas que le fist	-|------|-|-⌫-|---|
parlamaunc e orfres éé	--|-|-----⌫|------⌫---|
Pusli ad en	--|-|-|-|
riant tielpa r o lemustréé	----|---|--⌫-⌫-⌫-|--------|
Belemaruusfist	---|--|--|---|
D eus de[ si] fines beautez	-⌫--|-|-⌫--|----|------|
Quantlui nenu l dessoen sun point	----|--|-|--⌫|--|----⌫|-|----|
ne[ n]h onurez.	---⌫-|-⌫------|
Tu te iordeuantnusa cesrichesale z	--⌫-|--|-----|--||--|-----|---⌫|
Eanussulementnul e chosenof frez	||--|-------|---⌫|----||--⌫---|
Si mai ̈tki uus fist mutgrant	-||--⌫-|-|--|---|--|----|
Lesbien s ke n uus	--|----⌫||-⌫|--|
ad fa i tmallesadenpleie z	-|--⌫-⌫|--|--|-|-------⌫|
Quant p urliassoen s[ci]sileg uerred onez .	----|-⌫-|-|-|----⌫|---|-|-|-⌫------⌫----⌫|
uost relos encr eistreit	----⌫-|--|----⌫-------|
siuusnusseruisez	-|--|--|-------|
Treisitauntq uilnefra	----|-----|-⌫|-|-|--|
desbie nap ar ail lez	--|---⌫|--⌫--⌫---⌫--|
kiuusf urmaaime l esp ouertez	-|--|-⌫---|---|-⌫-|-⌫------|
Purpouresuintal mu nd e	--|-----|---|-|--⌫-||
pour ei fu asez.	----⌫||-|----|
Pur çoe laissezormais	--|---|------|-|---|
[seru ir]cesha uzbarnez[f.86b]	-----⌫--|--|--⌫-|------------|
Kar çoe d ie n tle tre zDeu n aime	--|---|-⌫--⌫-⌫|--⌫---⌫|--||---|
Ainzser eitunchamailenl	---|---⌫--|-|------|-||
oildagoille ent rez	--||------|---⌫--|
K e nes tre it richeshomlasuselciel	-⌫||--⌫---⌫-|-----|--|-|--|-|---|
Karmaintpur lur aueir	--|----|--|--|----|
Purçoeseruez a cesk imalsunt c unreë z.	--|---|-----||--|-⌫|--|---|-⌫------⌫-|
Guerredonuusrendra	--------|--|-----|
ki tutuus ad donez.	-|--|--|-|-----|
Ami s çoeditRig m elg en tement sermon ez	---⌫|---|--|---⌫-⌫-|-⌫--⌫-----|------⌫-|
Ne direitmieuz sermu n eues queneabbez.	-|-----|----|-----⌫|----⌫--|-|-----|
Orlefraiduncissi cum	-|-|---|---|---|--|
uusme s omon ez.	--|-|-⌫----⌫--|
Dun creturnasipri stunue s sel	---⌫|------|-|---⌫-|-|--⌫-⌫--|
k iertdorez	|---|----|
DeloeureSalomu nki iert	-||----|------⌫|-|---|
