Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
Tuit c rierentali mer ci	---|-⌫------||-|---⌫-|
Deulurmu stra	--|--|--⌫---|
be leuertu	--⌫-|----|
Kar un s uln	--|-|-⌫-||
i fu retenu	|-|-----|
Tu i t ensembles eneschaperent	--⌫-⌫|-------||-|----------|
Deu esamer el oe ̈rent	--||-|---⌫|-⌫--⌫----|
Deunusdo inst	--|--|--⌫---|
eschapement	----------|
Delhorr i b le enfernelturment	--|----⌫-⌫-⌫-|-------|------|
Parcele dameaiumdefense	--|---|---|---|------|
Kilessoensencuntre tuz	-|--|----|-------|--|
Enplusur scuntes estescrit	-|------⌫|-----|--|-----|
Kelifel iueu	-|-|--|---|
suntmald it	---|----⌫-|
P arceole poü m	-⌫-|--|-|----⌫|
biensaueirKilun tuers	---|-----||-|--⌫|---|
Deusi maluoleir	--|-|--|-----|
Tuit tienent uersliest rif	---|------|---|-|---⌫--|
Nesen repentent lichaitif	-||-|--------|-|------|
Quantentre els er tmultle bl asmer entAcrüele	----|----|--|--⌫|---|-|--⌫-----⌫--||------|
mort leliurerent	---|-|--------|
Mainteuertufist esouen t	-----|----|---||-----⌫|
Desa n er la maladeg e nt	-|--⌫-⌫-|-|-----|-⌫-⌫-|
Quantl ifel les aparce ueient	----|-⌫|--|--|------⌫-----|
Pargrantorguille s	--|----|-----|--⌫|
despiseien t	----------⌫|
Distrentkep ardeable es teit	-------|-|-⌫-|-----|--⌫---|
Keit e ls miracle sf eseit	-|--⌫-⌫-|-------⌫|-⌫----|
Puis samort sefirenthait ié	---|-|---|-|-----|----⌫--|
Bienquid oënte streuengié	---|----⌫----|-⌫---|------|
Nequidoe ̈nt	-|------⌫--|
puisoïr plait	---|---|----|
Deluidunteüssent desha it	-|--|---|-------|-----⌫-|
Maisduncfure nt	---|---|----⌫-|
il auoeglé	-|-------|
Du ntuncore suntdesi ugl é	--⌫-|-----|---|----⌫---⌫-|
Odtuticeo uoleit lipiusreis	-|--|---|-----|-|---|---|
Aueir merci d icelsmalueis	----|----||----|------|
Puis samortpuissa	---|-|---|---|-|
Lur fistm ain tede mustreisun	--|---|-⌫---⌫-|--⌫---------|
Signesem iracless ouent	-----||-⌫------|-⌫----|
Qui lpreïssentam e ndementEreu enissent	-|-⌫|---------|--⌫-⌫------||---⌫-------|
arepentance	|---------|
ilpre ïst delsuenian ce	-|---⌫---||--|------⌫-|
K ar sic umfire nt	-⌫-|-|-⌫-|----⌫-|
unefesteAla maniere delurges te	--|----||-|------|-|--|---⌫-|
Auint lur t eldesturbement	----|--|-⌫-|-----------|
Ketrentemiledi cele gent	-|-----|---||-⌫---|---|
I furentoccis alafeste	|-----|----||-|----|
Chaünferialtrecumbeste Apu inte aculte al s	-----|---|----|--|----||--⌫---||-----⌫--⌫|
sentre ocis tre nt	|-----⌫----⌫---⌫-|
Par d esu eriesentrepr istr ent A unenuit	--|-⌫---⌫---||-------⌫----⌫--||--|---|
cumeurentmise	--|-----|---|
U ne geniceasacre fise	-⌫-|-----||-----⌫---|
Uneg orr e	--|-⌫---⌫|
Du nt grantm erueille lursembla	--⌫-|----|-⌫-------|--|-----|
ceo m eruei llusechose	--|-⌫-----⌫----|----|
Iani est otmetrealtre glose	-|||---⌫-|----|----|----|
Fors ceo que	---|--|--|
Deu e ntuteg uise	--|-⌫|---|-⌫---|
Desprise else	-------|--||
lur sac refise	--|---⌫-----|
U naltre fei z	-⌫|----|---⌫|
auintdenuit	----|-|---|
Enzeltemple uerenttuit	--|-|-----||----|---|
lumiere ire sple ndi	------||--⌫----⌫--|
Cumce o f ustiore nturmiedi	--|--⌫|-⌫--|--|-⌫---|----|
Altresigne l urert mustree	----|----|-⌫-|--|------|
Une es te iletel cum espee	--|--⌫--⌫--|--|--|----|
pendrealurau is	-----||--|--⌫-|
Partutlanultrecelpai ̈s	--|--||-|----|--|---⌫-|
I herusalempendi	-⌫--------|----|
Cha ünme ruei lleienten di A	---⌫--|--⌫----⌫--||-----⌫-||
me ruei lle sesteitluisant	--⌫----⌫---⌫|-----|------|
Uncur rere u irent ardant	-|---⌫-|--⌫-⌫----|-----|
Cheualsarda nzpar l airreuirent	------|----⌫-|--||--|-------|
Multgran t	---|----⌫|
merueillei	--------||
enten dirent	-----⌫-----|
Granz cheualiers uirentarmez	----|---------|-----|----|
Puindrep ar	------|-⌫-|
cumd esu ez	--|-⌫---⌫-|
Quaranteiorz a lur	-------|---||--|
Les uir entultrecelpaïs	--|---⌫--|----|--|----|
Ceoesteitla demustreis un	--|-----|-|----------⌫-|
uaspas ian	------⌫--|
Firent d elsen	-----||--|-|
celmeime san	--|-----⌫|-|
Ocistrent lespar	--------|--|--|
g rantuigur	-⌫---|----|
Tre nte mi l lie rs enunsul io rA	---⌫--|--⌫-⌫---⌫-|-|-|--|--⌫||
Titumesteit	----|-----|
tut cun té	--|---⌫--|
Cumile urent	--|-|-⌫----|
DeuachatéAluruilt éuolt	--|------||--|----⌫-|---|
Deu u engi er	--|-⌫----⌫-|
Tr ent euendipur	--⌫---⌫|----|--|
K iu nsul denirlidu nast	-⌫|-⌫|--|----|-|--⌫---|
Trentedes chaitisamenast	-----|--|------|------|
E puiss o nplaisir	|---|-⌫-⌫|------|
uen distdonastu o cesist	---⌫---|-----||-⌫-----|
Certesiotrouaicest serm un	-----|-|-----|---|----⌫-|
Escrit enlespo sitiun	-----|-||----⌫-----|
Keunsespo siturs nusrecunte	-|--|----⌫-----|--|------|
Nemopotesta	---|-----||
feizuintlimalfez	---|---|-|-----|
Engra ntl umie rede sguisez	-|---⌫-|-⌫----⌫-|--⌫------|
Lauesteie ntasem blé	-||------⌫-|----⌫---|
Distlur qu	---|--|-|
ilertlurauo e ́	-|--|--|---⌫-⌫|
Distlurq ue	---|--|-⌫-|
Moÿsesesteit	------|-----|
menerles d euei t	----|--|-⌫----⌫|
Enterre de	-|----|-|
promiss iun	-------⌫--|
Deulur o utp ramise ndunE	--|--|-⌫-|-⌫----|-⌫|--||
lic h aitif b i en lespe rerent	-|-⌫-⌫----|-⌫-⌫-||----⌫-----|
Trestu itensembl e s asem b lere nt	------⌫-|-------⌫||----⌫-⌫----⌫-|
Corne re ntdunc gr ant	-----⌫--⌫-|---|--⌫--|
noise f ir ent	----|-⌫--⌫--|
De ioi elur	-|---⌫|--|
pal m es batire nt Ecilles menaala mer	---⌫-⌫-|------⌫-||--|--|---||-|--|
Si s fist trestuzenzentrer	--⌫|---|------|--|-----|
Neierent iloe clichaitif	-------|----⌫|-|------|
S ike un suln i eschapa uif	-⌫|-|-|--|||------|--|
Nesaiquan zmilliers ineierent	-|--|----⌫|-------||-------|
uis mest quem alement espleite re nt	--||--|--|-⌫------|--------⌫--⌫-|
Qu ant il firentcrucefie r	--⌫--|-|-----|--------⌫|
Celui kisu oleit adrescier	----|--|-⌫----|--------|
Telsue niances pren t	---|--⌫------|----⌫|
Suuenierementdes iueus Euncore limesd ient	------------|--|----||-----|-|----⌫---|
Sesf aizses miracles enuient	--|-⌫--|--|-------|------|
Mul tsun t h aiti é	---⌫|---⌫|-⌫----⌫-|
e nl urpensé	-⌫|-⌫-|-----|
Quan tacrestie nsfuntui lté	----⌫||-------⌫-|---|--⌫---|
Sicumcestescritnu s	-|--|---|-----|--⌫|
r ecunteD uniu eu	-⌫-----||-|--⌫-|
Damne deu pri stlaueniance	-----⌫--|---⌫-|-|-------|
Del feluniueusanzpur lu igna nce	--|----|---|---|---⌫--⌫----⌫--|
Costantin oble laf iere	---------⌫---|-|-⌫---|
Mistuniueudemalechiere	---|-|---|-|---|-----|
Cilem blaparg rantfelunie	--|--⌫--|--|-⌫---|------|
Lymage des a inte	|----|-|-⌫-⌫---|
MarieDune iglis e	----||--|-----⌫|
Blanche r nedi teLymag ees teitde	-------⌫-⌫-|--⌫-||----⌫|--⌫---|-|
Deues lite	--|--⌫---|
Bi e nfu de peinteen u netabl e	--⌫-⌫|-|--⌫-----|-|-⌫-|----⌫|
Ciliueucilmemb re	--|---|--|----⌫-|
La ieta enunepriuee	-|---|-|--|-----|
Priueiemen t acelee	----------⌫||----|
Pu is seuoltd esuraisier Eson uentre	--⌫-|-|---|-⌫---|-----||--|-----|
tuitespurgier	---|--------|
Purhu nircresti enefei	--|--⌫--|------⌫--|--|
En pr ist liculuert	--⌫--⌫--|-|------|
Aualases braies	----|--|-----|
si s asistAcel oueraigneente nte mist	-||----||--|--------|----⌫--|---|
Mai sluiauintgran t cuntr a ire	---⌫|--|----|----⌫|-----⌫-⌫--|
Sicum ilsefforça del	-|--|-||-------|--|
Sesentra illes f orschaïrent	--|-----⌫----|-⌫--|--------|
Dunt crestiensgrantioi e firentAmeru eillesespu rg asun	---|--------|----|---⌫|-----||----⌫-----|----⌫--⌫|--|
Quanqueout	------|--|
de denzluichai ̈ fors	--⌫---|--|----⌫|---|
Puisquan tlymagees teitsu spr ise	---|----⌫||----|--⌫---|--⌫|--⌫--|
Unk nipa rut k elei fumis e	--|||--⌫--||--||-|---⌫|
parutdeordure	----|-|-----|
E nicelebe lepeinture	-⌫|----|--⌫-|-------|
Quant diloec latr aist rent auant	----||----|-|--⌫----⌫---|----|
Unsr aisl ens iwi clerl uisant	--|-⌫--||---⌫--|---|-⌫-----|
Plus er tc l erque	---|--⌫|-⌫-⌫-|--|
raidelsoleil	--|--|-----|
Dun tcha üno utleu i su e rmeil	---⌫|---⌫--|-⌫-|-|-⌫-⌫|-⌫-⌫----|
Lisaintbarun	-|----|----|
li b onuré	-|-⌫-----|
Kisuntma nantenla cité	-|---|--⌫---|-|-|----|
Dientke leestmul thonur ee	----||-⌫-|--|---⌫|-----⌫-|
Desai ntesuertuzesprouee	-|---⌫---|-----|-------|
Dediuin esuertuz	-|-----⌫-|-----|
estcerteE du nu eil des e i ecouer te	--|----|||-⌫|-⌫--|-|-⌫-⌫-⌫|-----⌫-|
Uncorenus refunt sa ueir	-----|--|-----|--⌫---|
Quechaünuendresd ialseirA c elure	--|-----|--------⌫|-|---||-⌫-|--|
quelisoleil	--|-|-----|
Ch iet en declin ees t	--⌫--|-|-----||--⌫|
Duncselieueliue ilzamunt	---|-|----|-|--⌫--|----|
Epentken e seiuent par unt	|---|-|-⌫|------|--|--|
Ultrelymageen ei nes	----||----|-|--⌫--|
F ormentse sme ru eil lentlagent	-⌫-----||-⌫---⌫--⌫---⌫---|-|---|
Tienten ha ltuers le	----|-|--⌫-|---|-|
a ir sunestage	-⌫-|--|-----|
Kel en ueitbi en t utlymage	-||-|---|--⌫-|-⌫-||----|
uespreealuendresdi	------|-|--------|
Tresqu ala nu nedesamadi	-----||-|--⌫-|-|-----|
Sifaitem ent ests uspend u	--------⌫--|--|-⌫------⌫|
De ueparsagrantue r tu	--⌫||--|-|----|--⌫-⌫-|
L esaltres	-⌫-|-----|
i u rzlymagecoe ure	-⌫-⌫-||----|---⌫--|
Si secuntient sanz hum a in	-|-|-------|---|---⌫-⌫-|
Costantinob lelabele	-----------⌫-|-|---|
Dunt nusoümmainten ouele	---|--|---|-----|-⌫----|
Suntdousymag e sdela dame	---|---|----⌫-⌫|-|-|---|
Degrantuertu	-|----|----|
ede grantfame	|-|----|---|
Delsaintesp eritsuntespiree sEd esaintes uert uzloees	--|----|---⌫---|---|-------⌫||-⌫|------|----⌫-|----|
Lune e s te nA ïe	|--|-⌫-⌫|-⌫|-⌫--|
Tierri fisttelaïe	-----|---|--|---|
Ki lefeliueu desmenti	-|-|--|---|-------|
des cris pur	---⌫---|--|
T ierri Elaltreen	-⌫----|||----|-|
Blancherneliglise	---------||-----|
Kifistdeliue uteliusti se	-|---|--|---⌫|--|-----⌫-|
Nichodemusli	---------|-|
La fistço dientel p aïs	-|---|--|----|-|-⌫---|
Enicel emeim escité	-|----⌫|----⌫-|----|
Sun ttantcorssaintdeuerité	---⌫|---|---|----|-|------|
Crest ie ntédure	-----⌫--⌫---|---|
Eustl enasezagr antmesure	---||-|---||--⌫--|-----|
Maisic eleg e nt i tan ts	---|--⌫--|-⌫-⌫-|-⌫---⌫||
Enlaglo riuse	-|-|---⌫----|
ymagedepeinte	----|-------|
Ke nereclaimentsaintn e	-|-|---------|----|-⌫|
Forsladamedunt	---|-|---|---|
untl ymage	--||----|
Enli u ntmistut	-|-|-⌫-|--|--|
l ur curage	-⌫-|-----|
ymageu n t sigrantam ur	----|-⌫-⌫|-|----|--⌫-|
Qu illareclaimentn uit eior Atut es	-|-|-|---------|-⌫--||--||---⌫-|
l esbosuig nes keuntAlymage	-⌫-|------⌫--|-|--|||----|
lurplai ntesfunt	--|----⌫---|---|
Griusu rtuterie nl	---|--⌫|---|---⌫||
Li nostre tutes ures	-|-----|----|---|
lareclaiment	-|---------|
Lacitégardeemaint ie nt	-|----|----||-----⌫--⌫-|
K e as alt d e	-⌫|--⌫--|-⌫|
Sarazinsne crie n t	-------|-|----⌫-⌫|
I c eledame nusmein tienge	-⌫-⌫--|---|--|----⌫-----|
Kec haünden us a	-|-⌫----|-|-⌫-||
Arcch adele mpereur	-----⌫--||-⌫------|
Roil lesafreür	----⌫--||-----|
Odmaint p aëncruelfelun	-|----|-⌫---|----|----|
E passale fluuie	|----|-|-----|
Enuirunacel e cité	-------|---⌫|----|
Ar mezio uta grantp le nté	--⌫--||-⌫-||----|-⌫--⌫---|
Lici tedeinsquistrent ai ̈e Alagloriuse	-|--⌫------|--------|--⌫-||-|-------|
Marie Eeleb elsucurslurfist	----||--|-⌫-|-----|--|---|
Surlespaëns fuildre	--|--|-----|------|
Ke u n suldetuz nesreturné	-|-⌫|--|-|--||-|-------|
Trestutfurentarse	------|-----|--||
Lefeudelci el	-|--|--|--⌫-|
lurch aïsure K a rseste ien t	--|--⌫--|---||-⌫-|----⌫---⌫|
enpoi dure	-|--||--|
Li du x etutesa maisné	-|--⌫||---|-|------|
Perirentcumg ent enra gé	-------|--|-⌫--|----⌫--|
Deunus defendedetur ment Elachiere	--|--|------|-|---⌫---||-|-----|
dameen s ement	---|--⌫-⌫----|
Cos ta ntinoblel afiere	---⌫--⌫-------|-⌫|----|
Auint unfaitdetel man iere	----|-|---|-|--|---⌫---|
Delempereurdela citéEsiout	-||-------|-|-|----||-|--|
Ru meenpoe ̈s té Lempere ür	--⌫-|-|---⌫--⌫--||------⌫--|
Iu stinien	--⌫------|
De primeser tbonc restien	-|-----|--⌫|--|-⌫------|
Kiedi fiacum ainzdis	-|---⌫--|--|---|--|
ce l païs	--⌫|----|
Deprimesertpreuze ua illant	-|-----|--|----||--⌫-----|
Maispuisdeuint ilnunsauant	---|---|-----|-|--------|
CrüeldeuintagrantdesreiE	-----|-----||----|-----||
fortheriteencunt re fei	---|-----|------⌫-|--|
desdist l at er nité	------|-⌫|-⌫--⌫----|
Pa rheresiea crüelté	--⌫|------||--------|
Safem m eesteit herite fi ere	-|---⌫-⌫|-----|-----|--⌫--|
Silentiça lapauteniere	-||------|-|---------|
Tut tensletraistah eresie	--|---|-|-----||-⌫-----|
Pluseplus acrut la folie	---||---|----|-|----|
Tantl outatrait mati n e	---||--|-----|----⌫||
Ke lireisfisttutsun uoleirEke	-|-|---|---|--|--|-----||-|
parl a su e	--|-⌫|--⌫|
Do uspapesch aça	--⌫-|----|--⌫---|
d elurs ié	-⌫|--|-⌫--|
qu il lec un tredistrent	-|-|-|-⌫--⌫----------|
D elheresi ee	-⌫-|------⌫||
re pristrent	--⌫--------|
Romeuilmentles ch aça	---|------|--|--⌫---|
Pa rlem pe riz ki le nt iça	--⌫||--⌫--⌫--|-||-⌫--⌫---|
Li unsoutnun	-|--|--|--|
Siluerius Elialtre	--------||-|----|
Silue ri chaçaen eisil	-----⌫-|-----|-|----|
uigeliocista peri l	-----|----||----⌫|
Paritan tcr uts afolieD icele	--|----⌫|--⌫-|-⌫|----||----|
crüelehere sie	------|----⌫--|
Maisbienestue irs ceoq ue le n	---|---|--|--⌫--|--|-⌫-||-⌫|
di tE quen	--⌫||-|-|
plusurslius estes cri t	------|---|--|--⌫---⌫|
bonegentcumparunt	---|---|--------|
Souent ce oquelireismesf u nt	-----|--⌫|--|-|---|----⌫-⌫-|
Dec eo qu ec i lreisoutmesfait	-|-⌫-|--⌫|-⌫-⌫|---|--|------|
Ert puism aintprodhomendeshait	--|---|-⌫---|------|-|------|
La terresan z pl u ieensechi	-|----|---⌫|--⌫-⌫-|------|
Siquegre inne	-|--|---⌫-|-|
fruitnerendi	----|-|----|
uiandefaillinecrut	-----|-----|-|---|
Lihumeerent afamé	-|---|----|-----|
Ne s orentu aueirreclaim	-|-⌫----||----|------|
Atrebuch muru rentdefaim	|------|----⌫---|-|---|
Celemurine	---|-----|
esteit s i g ran de	-----|-⌫|-⌫---⌫-|
su ffraite deuiande	--⌫------|-|-----|
Kel ennepuetp asacunter	-||-|-|---|-⌫-|------|
Lesm orzneleiorente rrer	--|-⌫--|-|-|--|----⌫---|
Karquantlen o utu intenter re z	--|----||-|-⌫-|-⌫--|-----⌫--⌫|
Retroua lemplusmorzasez	------||-|---|---|---|
Chaün mortsu rl altrecha ï	-----|---|--⌫||----|---⌫-|
As ezmur urent sa nzmerci	--⌫-|---⌫----|--⌫-|----|
Liui f auei entgran t poür	-|--⌫|----⌫--|----⌫|----|
Desqual ei rala	----|||--⌫|--|
Lieirses teit	-|---|--⌫---|
t ut curum puEli elementtrescupru	-⌫-|-----⌫-||-|------|--------|
Icilqu ioreeste ithaitie ́	---|--⌫|--|----⌫-|------⌫|
Murutsi c umil fustestichié	----|-|-⌫-|-|---|--------|
Cil qu ioreen ce sts iecle	--|--⌫|--|-|--⌫-|-⌫----|
al tresenaleit	--⌫--||-|----|
Esmerueillatsei de	-----------|--|-|
lescha nge	|-----⌫--|
altresiecletant	----|-----|---|
Pur po ike t u itnefurent mat	--|--⌫|-|-⌫-⌫-|-|-----|--|
A tart t ro uerent le	|---|-⌫--⌫-----|-|
Unebeleproce ssiun	--|---|-----⌫----|
F irent pa rgrantde uotiun	-⌫----|--⌫|----|--⌫-----|
cité apituschant	----||----|----|
Alere nt i petite	-----⌫-||----||
Od l ymage sainte	-||----|-----|
Kilur rendisantée uieUkel	-|--|----|-----||--||-||
ymage uintentur	----|---|----|
Fuilimal s eladolur	--|-|---⌫||-|----|
Kigeurent a lure demort	-|------|||--|-|---|
Eurenta s onuen ircumfort	-----||-⌫-|---⌫-|------|
Quant o i ̈rentquele	----|-⌫-⌫----|-|--|
o r e nttal ent demurirE en	-⌫-⌫-⌫-|---⌫--|-|----||-|
plurantsilenc untrerentD itelm al	------|-||---⌫--------||---|-⌫-|
m ercide manderen tA quei uusendireieplus	-⌫---|--⌫--------⌫||---|--|-|-----|---|
Desdunc uint ch aüneldesus	------|---|--⌫---|-|----|
El tierziorsanzf alse	-|----|--|---|-⌫---|
Puisicelepro cess i un	---|----|---⌫----⌫-⌫-|
Lur fistsi bele merci	--|---|-|---|----|
Ke t uit furentdemalguariEpuis c el e	-|-⌫--|-----|-|--|----||---|-⌫--⌫|
mor talit é I	---⌫-----⌫-||
outdeble ́mut	--|-|---⌫|--|
gr antplente ́ Lan pu i s celeprocessiun	--⌫--|------⌫||-|--⌫-⌫|---|---------|
Eur en til ble ́ agr antfu isun	---⌫--⌫|-|---⌫||--⌫--|--⌫---|
D uncui ntliem pe riresauant	-⌫--|--⌫-|-|--⌫--⌫----|----|
O dle patriarch e uaillant	-⌫|-|---------⌫|-------|
Si uoleient	-|-------|
duncres eruir	---|---⌫----|
Nostre chiered ame aplaisir	-----|-----|-⌫--||------|
Establirentfestearaisun	----------|----||-----|
Purificatiu n	-----------⌫|
Cumla d ame ala amustier	--|-|-⌫--|--||------|
Puiskeleenfantas un fizch i er	---||--|------|-⌫-|--|--⌫-⌫-|
Ainz n e rtlafe steun kes tenue	---||-⌫-|-|--⌫--|--⌫--|----|
Nus lape lu m la	--||---⌫--⌫|-|
Chandelur e	---------⌫|
C haün an	-⌫----|-|
latenum alur e	-|----|||--⌫|
Kimie lz latientmielzaura	-|---⌫-|-|----|----|---|
Karla da m egrélensauera Diceo	--|-|--⌫-⌫|---||-|-----||---|
e rt eleren umeeE partutsiecle cu mand eeE	-⌫-|--|---⌫---||--|--|-----|--⌫----⌫-||
Deula nus duinstsi	--|-|--|-----|-|
Ke turnerlipuisseaplaisirE ke	-|-----|-|-----||------||-|
ladamegrén ussac eE si	-|---|---|-⌫-|---⌫||-|
nus laistueersafa c e	--|----|---|-|--⌫-⌫|
C ha ün deites treh aitiéEensunc uer aueir	-⌫--⌫--|---|--⌫--|-⌫-----||-|--|-⌫--|----|
De lbien edela grant amur	--⌫|---||-|-|----|---|
Dame p ar s adulçur	---|-⌫-|-⌫|------|
Mustracum uu sorezciAunenunai n	-----|--|--⌫|---|-||--|-----⌫|
parsamerci	--|-|----|
Certes n ulnepoe tescrire	-----|-⌫-|-|---⌫|------|
Decuerpe nserd eb uche	-|---|--⌫---|-⌫|-⌫---|
Lesbiensde	--|----|-|
ladameua illante	-|---|--⌫------|
biens estp uissan te	----|--|-⌫------⌫-|
Ke asso ensfai t chascunior	-|-|--⌫--|---⌫|------|--|
uers cels keel	---|---|-|-|
adpu intdamur	-|--⌫--||---|
Sacie z k eentre humainegent	-----⌫|-⌫|----|------|---|
Reg nen t diables	---⌫---⌫|------|
