c hic om mence	-⌫-|-⌫--⌫----|
tere q uienl os testo ie nt	---|-⌫-|-||--⌫|----⌫--⌫-|
etil si fisen tsiqueq u antil e napeloient	-|-|-|-----⌫|----|-⌫-⌫--|-|-⌫|--------|
unqu ill estouuoitue nira uant nene l i	-|-|-||--------|--⌫--|-⌫---|-|-|-⌫|
p uisparler	-⌫--|-----|
neconselier an ului	-|--------||-⌫---|
ainslemetoiton	---|-|-----|-|
tant ostenunmoustierettouten sement	----⌫--|-|-|-------|-|---|--⌫-----|
lesautr estantque li dux eut lessiensdis	--|----⌫-|------|-|--|--|--|----|--|
etquantil furent toutenchumoust ier	-|----|-|-----|---|-|--|-----⌫--|
lidisueniciene t li uesquesicanta	-|--|-------|-⌫|-|-----|-|----|
on une messe dusaintesper itqueli sain s	-|--|----|-|----|-----⌫-|--|-|----⌫|
es peris les consei llastet qu i les donasta	--⌫----|--|------⌫----|-|-||--|-----||
telhommeassenerq uiboinsifu stetpourfis .	--|----|------|-⌫-|----||--⌫-|-|------||
quant lemesse	----|-|----|
fu cantee si	-|-----|-|
sa n lerentli eslisee ur et parlerenten leurconseletparle re nt	--⌫-⌫-----|-|-------⌫-|-|--------|-|---|-----|-|-----⌫--⌫-|
dunsetd autrese t tant que	|--|-||-----|-⌫|---|--|
uenicien et	-------|-|
uesqu eetabe et t o ut	-----⌫|-|--|-|-⌫-⌫-|
liuinte li ss eeuromni ementsac orderen tquelicuens	-|---|-⌫--⌫--⌫---|----⌫----||--⌫-------⌫|--|-|----|
de fla ndreslefust ne	-|---⌫----|-|---|-|
o nq u esnenieut nul qui	-⌫--⌫-⌫-||-||--|--|--|
enfust enc ontre.	-|---|---⌫----||
q uant ilfurentsi acor déensanleet	-⌫---|-|-----|-|----⌫--|------|-|
leur consausdutdepartirs icarkierent l e parolea	---|------|--|-------|-⌫|---------|-⌫|-----||
direau uesquedesessons.	---|-|-----|-|------||
quantil f urentdepartisisasanlerenttout	----|-|-⌫----|------|-||---------|---|
chil delostporoiret	---|-||--|--|--|-|
pou r escouterqu io nnommeroitaempere eur.	---⌫|-------|--⌫|-⌫|--------||------⌫--||
quant ilf urentassanlési	----|-|-⌫----|-------|-|
furenttou tcoisia uoie ntli	-----|---⌫|--|-|-⌫----⌫-|-|
pleuseurgrantpeur	-------|----|---|
etgrant doutequeonnenommast lemarchis et	-|----|----|--|-|-|------|-|------|-|
chilquis etenoien tdeu erslemarchisauoientgrant	---|--|-⌫|-------⌫|---⌫--|-|------|------|----|
dout e qu e	----⌫|--⌫|
onnenommast	-|-|------|
autruiquelemarchis.	-----|--|-|------||
sicommei l estoie ntsi coisi	-|----|-⌫|------⌫-|-|--|-|
seleualiuesquesdesessonsem	-|---|-|------|-|------|-|
piessileur dist	---|-|---|---|
seign eur fistli uesques	-----⌫--|---|-|------|
parle quemun as s entement	--|-|-----|--⌫-⌫-------|
deuoustous	-|---|---|
fumes nou se nuoi éa	----|---⌫|-⌫----⌫-||
cesteesl e ctionfaire.	----|---⌫-⌫----|----||
nousiauonseslutte l comme	---||----|----|--⌫|----|
noussauiemesa nostre	---|-------||-----|
ensient qui b o i n siesteten	------|--|-⌫-⌫-⌫-⌫||--|-|-|
quie mpirese s tbienemploiés	--|-⌫-----|-⌫-⌫|---|--------|
etqui bien	-|--|---|
estpoissans detenirloi	--|-------|-|----|--|
etgentixhons	-|-----|---|
e thaushons	-⌫|---|---|
nousl eu ous no mmerons	---|-⌫|-⌫--|--⌫------|
ches tbauduins li	-|--⌫|-------|-|
cuensdeflandres.	----|-|-------||
q uantle p arolefu o ie sienfurentt out	-⌫---|-|-⌫----|-|-⌫-|-|-|-----|-⌫--|
lifranchoi smoltl ieset	-|--------⌫|---|-⌫--|-|
te us autresi eut	--⌫-|-----||--|
qui enfure ntmoltdolentsi	--|-|----⌫-|---|-----|-|
co mmechilquideuers le m ar chis seteno ient	--⌫--|---|--|-----|-|-⌫--⌫---|-|----⌫---|
quant liempereresf ueslussi leprenent	----|-|--------|-⌫|----|-|-|------|
e ttoutli hautbaron et	-⌫|---|-|---|----|-|
lifr anchoisquimol t	-|--⌫------|--|---⌫|
enfurentlie si len	-|-----|--|-||-|
mainentil upala isde boukedelion	------|-||----⌫-|-|----|-|---|
amolt grant goieetamolt gra ntfeste .	|---|----|---|-||---|---⌫-|----||
etquan t lihautho mme fure nttrestot	-|----⌫|-|---|--⌫--|----⌫-|------|
laien ssiprisent iour delempereeur	-----⌫|-|------|---|-||--------|
e t qua ntcheuintauioursi monterentet	-⌫|---⌫-|--|---|-|---|-|--------|-|
etli a beettr estoutli hautba ronet	-|-|-⌫-|-|--⌫-----|-|---|--⌫--|-|
uenicienetfranchoissisenal erentupa lais	-------|-|--------|-||-|--⌫----||--⌫---|
debou ke de li on .	-|---⌫-|-|--⌫-||
adont sien	----|-|-|
amener entlempe reeurau moustier saintesouphieet	------⌫--||----⌫----|-|-------|-----|------|-|
quantilfurent ue nu au moust ier s i mena	----|-|-----|--⌫-|-|-----⌫--|-⌫|---|
onle m pereur enundestourdumo ustier e n	-||-⌫-⌫-----|-|-|------|-|--⌫-----|-⌫|
unecambr e.	--|-----⌫||
las iledesuestiondeses dras	-|-⌫|-|-------|-|-|--|---|
et siledes cauc aonsi	-|-|-|---⌫----⌫|-|-|
licau chao nun es	-|---⌫--|-⌫|--⌫-|
uermellescauchesd e samit seli	--------|------|-⌫|----|-|-|
cauchaon uns saullers tou scar k iésderikespierre spa r	-----|-|--|-------|---⌫|---⌫-⌫---|-|----|------⌫|--⌫|
deseurepuisseli uestionunecote molt	------|---|-|-|----|-|--|---|---|
r i ke quitoute estoi tc ousu ea boutons	-⌫-⌫-|--|----|-----⌫|-⌫----⌫||------|
dorp ardeuant	|-|-⌫-|-----|
derrieredese spa ulles du sq ue sau	-------|--|-⌫---⌫----|--⌫--⌫--⌫|-|
et puis seli uesti	-|---|-|-|----|
o nlep alleu ne mani eredafulementesto it	-⌫|-|-⌫---|-⌫-|----⌫--||--------|----⌫-|
qui b atoits eurle col	--|-⌫----|-⌫--|-|--|
pardeuantetparderriere estoitsi lonsque	--|-----|-|--|-------|-----|-|---|--|
il senchaingnoitet puis selireuer soiton	-||-|---------|-|---|-|-|-----⌫---|-|
arriere p ardeseur e lesenestrebrachensementco mme	------|-⌫-|------⌫|-|-------|----|-------|--⌫--|
unfanol etestoit chusp alles	-|----|-|-----|---|-⌫----|
mol t rikesetmoltn oble setto u s	---⌫|----|-|---|-⌫----⌫|-|--⌫-⌫|
cark iés de rikespierr esprecieuse s .	----⌫---|-|----|-----⌫-|---------⌫||
a presse lias fulaon	-⌫---|-|-|--⌫---|-|
par deseure	--|------|
unmoltrikemantelquitous	-|---|---|-----|--|---|
estoitcark iésde	-----|----⌫---|-|
r ikespierresprecieusesetli aiglequipar	-⌫---|------|---------|-|-|----|--|--|
dehorserentestoi entfai tde pierresprecieusese t	-----|----|-----⌫--|---⌫|-|------|---------|-⌫|
resplen dissoientsiquechesanlo itquel iman t i ausfust	-------⌫--------|----|--|-----⌫-|--|-⌫|---⌫-⌫-⌫--|---|
quantilfusi fait eme n tuestu ssi	----|-|-|-|----⌫---⌫-⌫|-----⌫|-|
ondeu antl	-|---⌫--||
sicommeon l emenadeuant	-|----|-|-⌫|---|-----|
l au t e l	|--⌫-⌫-⌫|
se li por ta licuens lo eis s en	-|-|---⌫-|-|----|--⌫--|-⌫-|
gonfanonemperiale tlicuensd esaint polli	-------|-------|-⌫|-|----|-⌫|----|--|-|
portasespee	----||----|
etli mar chisli portase coro neet do i	-|-|---⌫---|-|----|-|----⌫-|-|--⌫|
uesqu eso ustenoient	-----⌫|--⌫---------|
lesdeusbras lem archis quileco r one	--|---|---|-|-⌫-----|--|-|--⌫-⌫--|
portoitet d oi autre	------|-|-⌫-|----|
uesqueadest roien t	-----|-----⌫-----⌫|
l empereeur	|--------|
e testoientli baron	-⌫|-------|-|----|
tres tout moltrikement uestune	----⌫---|---|-------|----|-|
siniauo it	-|||---⌫-|
f r a nchoisneuenicie nquin	-⌫-⌫-⌫-----|-|-------⌫|--||
eustro beoudes amitou	---|--⌫-|-|-|-⌫---|-|
dedrap de soie	-|---|-|---|
emp er er es uint deuant l autel	---⌫--⌫--⌫-|---|-----||----|
sisagenoulla etpuis sel io st a	-||--------|-|---|-|-⌫|-⌫--⌫|
o nlemanteletpuis le p alle	-⌫|-|-----|-|---|-|-⌫---|
si remestenpur ele	-|-----|-|---⌫|-|
cote selidesco usi on le	---|-|-|-----⌫--|-|-|
co tedesbout ons	--⌫-|--|----⌫--|
dorpardeuantetparde rrieresiquil fu	|-|--|-----|-|--|--⌫-----|---|-|-|
tous nuspuislechainten amontet	---|--|---|-|-----|-|----|-|
puissil en oinst	---|-||--⌫----|
enoins se lirecousion le coteasboutonsd	-----|-|-|------|-|-|---|-|------||
ore t puisse le	-|-⌫|---|-|-|
re uestionlepalleet puisle m antelli	--⌫----|-|-|----|-|---|-|-⌫----|-|
fre ma onseur l es pau lle	---⌫-|-|---||--⌫---⌫--|
etpuis q uant il fusiuestus et	-|---|-⌫---|-|-|-|-----|-|
duiuesquetenoientle	--|-----|-------|-|
coroneseu r lautel si	-----|---⌫||----|-|
alerenttout liuesq uesi prisentlecoron etout	------|---|-|----⌫-|-|------|-|-----⌫|---|
ensanleselebeneirentetsile	------|-|-|--------|-|-|-|
prins e nn ierentse	-----⌫-⌫--⌫-----|-|
etp uisapresse lipendi	-|-⌫--|----|-|-|----|
onau colunem olt grantrike	-|-|--|--|-⌫--|----|---|
pie r reen liudefremalque liem pereresma nuau s	---⌫-⌫-|-|--|-|-----|--|-|--⌫------|--⌫----⌫|
acatayym ar s.	----|-|-⌫--⌫||
quantil le ure n tcoroné	----|-||-⌫---⌫-⌫|------|
sil assi sentenuneh aut ecaii ere et	-||----⌫---|-|--|-⌫---⌫|----⌫--|-|
fui l luectantque	-|-⌫-⌫---|------|
lemesse f ucanteeett enoitensemain	-|----|-⌫|-----|-|-⌫----|-|-|---|
etenlautre	-|-||----|
ma inunpume	--⌫-|-|---|
doret une cr oisetepar	|-|-|--|--⌫-----|--|
et ual oientmix	-|---⌫----|--|
liwarne mentqu	-|-----⌫---|-|
il auoitseurluiq uelitresor s	-|----|---|--|-⌫-|-|------⌫|
a unrike roi ne faiche.	|-|---|--|-|-----||
et quant il	-|----|-|
eutmess eoies i liamena	--|----⌫|--|-⌫|-|----|
o nunblanccheualouilmonta	-⌫|-|----|-----|-|-|----|
sile nramen erent	-||-⌫|-----⌫----|
libaronensen	-|----|-|--|
palaisd eboukedelio nsilefi stonseir	-----|-⌫|----|-|---⌫|-|-|--⌫-|-|---|
en lecai ierecoust entin .	-|-|---⌫---|-----⌫----||
adontquantile utsi s en	----|----|-|-⌫-|--⌫|-|
lecaiierecoustentin se letin renttou tpourempereeuret	-|------|---------|-|-|---⌫---|---⌫|---|--------|-|
toutligriuqu i illuec	---|-|---|--⌫|-----|
esto ientlaouroienttoutcomme saint	----⌫---||--------|---|----|----|
etpu is s ifurentlestaulesmises	-|--⌫-|-⌫|-----|--|-----|----|
sime ngnali empereresettout	-|--⌫---|-|--------|-|---|
li b aronauecluiup alais .	-|-⌫---|---|--||-⌫----||
eut mengiésised epart irentlibaro n	--|------|-|-|-⌫-----⌫----|-|----⌫|
etalerent sent	-|------||--|
tou taleurostex	---⌫||---|----|
etliempereres	-|-|--------|
remest ensenpalais.	-----|-|--|-----||
apresau inta uniourquelibaro ns	----|--⌫--||-|---|--|-|----⌫||
as anleren t et dis ententrax	--⌫-------⌫|-|---⌫--|---|-|
queon partesist lauoir.	--|-|--------||----||
sin endepartionfors	-||-|------|-|---|
legrosargentq uii estoit l espaie les	-|---|-----|-⌫-||-----|-⌫-|----⌫--|
dargent s eu leme ntquelesdames de lech ite	|-----|-⌫--⌫----⌫-|--|--|----|-|-|--⌫--|
portoien t as	--------⌫|-|
siendona o nac asc un cheualier a casc un seriant	-|-|---|-⌫||-⌫---⌫-|--------||----⌫-|------|
les a utresmenues	--|-⌫----|-----|
gensde lostas fe mmesetaenfansa	---|-||--|-|--⌫---|-||-----||
tantque aliaumes dec lari liclersdontieuous	------|-------|-|-⌫---|-|----|---|-|---|
aiparlé pardeua ntqui	-|-----|--|----⌫-|--|
p reus d e s en cors et qu i	-⌫---|-⌫|-⌫-|---|-|--⌫|
tantifi st darme scom m e	---||--⌫-||----⌫|---⌫-⌫|
no usuous auons ditpardeuantdi st	--⌫-|---|----|--|--|-----|--⌫-|
quiluoloit part ircommecheualie rs	-|-|-----|----⌫-|----|--------⌫-|
etaucunsdist	-|-----|---|
estoitmi e d rois queilparte sis tc omm eche u ali er set	-----|--⌫|-⌫---|--|-|-----⌫---⌫|-⌫---⌫|---⌫-⌫---⌫--⌫|-|
il di stqu esiestoitq ue ausi auo itileu	-|--⌫-|--⌫|-|-----|-⌫-|---|---⌫-|-|-|
cheual et ha uberccommeuns	-----|-|--⌫----|----|--|
cheual iersetque a utant	------⌫---|-|--|-⌫----|
iauo itilfait darme s et	|---⌫-|-|---||----⌫|-|
plusq ueteuxcheualiers i auoitil	---|-⌫-|---|---------||----|-|
tantquelicuensdesa intpolfi s tleiugeme ntque	------|-|----|-|--⌫--|--|--⌫-⌫|-|------⌫-|--|
aussideu oitil partir commeunscheualiersque	----|---⌫--|-|-----|----|--|---------|--|
plus iauoitil	---||----|-|
armes et de	----|-|-|
pr oech esche	--⌫----⌫-|--|
lite smoingna li cuensde saintp ol	-|--⌫-------|-|----|-|----|-⌫-|
troischenscheualiers en i euti l	----|----|---------|-||--|-⌫|
ne f is e n tetparta ntdeuoitilbien	-|-⌫--⌫-⌫-⌫|-|--|--⌫-|-----|-|---|
partirc o mme	-----|-⌫-⌫--|
unscheualiers.	--|---------||
l a si desrais nali	-⌫|-|-------⌫-|-|
lic lercpart iroient t o utaussi comme lich eu alier.	-|-⌫---|----⌫------|-⌫-⌫-|----|----|-|--⌫--⌫----||
adontfupar tistousligro sar gens	----|-|---⌫--|---|-|---⌫|--⌫---|
ieuous a iditetli	-|---|-⌫|--|-|-|
autresauoirs lior s	-----|-----|-|--⌫|
lidrapde soiedontilauoit tantque	-|---|-|---|---|-|----|---|--|
c hestoi tu nefinem eruellese	-⌫|-----⌫|-⌫-|---|-⌫------|-|
re mestapartire tfu	--⌫---||-----|-⌫|-|
mis enkemunewar ded e	--|-|-----|---⌫-|-⌫|
lost enl ewar dea teuxgens	|--|-|-⌫|---⌫-||---|---|
q ueoncuidoitqu iloialmentle wardais sent	-⌫-|-|------|--⌫|--------|-|-------⌫---|
apres ne demoramie gra ument qu an tliemperer es mandatous	----|-|-----|--|---⌫----|--⌫--⌫|-|-------⌫-|----|---|
leshaus baronsetleduc	--|---|-----|-|-|--|
de ueniceetleconteloeis	-|-----|-|-|----|----|
et lecont e des aint polet	-|-|----⌫|-|-⌫---|--|-|
tou s leshaushommeset dist quil	---⌫|--|---|-----|-|---|-|-|
uoloitaler	-----|---|
conquerredele ter eettantque	--------|-|-|---⌫|-|------|
ona tiraqui aueclempereeur	-|-⌫---|--|---||--------|
iroitetatiraonli	----|-|----|-|-|
quelremanrroient pourlechit ewa rde.	---|-----------|---|-|----⌫|--⌫--||
et ati raon	-|---⌫-|-|
que liduxdeuenicedemoraet	--|-|--|-|-----|-----|-|
licuensloe is	-|----|---⌫-|
etdel eurge ns	-|-|-⌫--|--⌫-|
et sidemoral i m arc hissi	-|-|-----|-⌫|-⌫---⌫--|-|
espousalefemme kyrsaac q ui empereres fuqui	------|-|----|------|-⌫-|--------|-|--|
estoitsuers	-----|----|
leroidehongerie.	-|--|-|-------||
quantlimarchisuitque	----|-|------|--|--|
liempereresdut mouuoirpou r	-|--------|--|------|---⌫|
alerconqu err eleterresiuints i	---|-----⌫---⌫|-|----|-|---|-⌫|
demandaalemp e reur	------|||---⌫-⌫---|
queil lidonnast leroiame desalen ike unetere	--|-|-|------|-|-----|-|-----⌫--|--|---|
quiesto it	--|----⌫-|
bienquinzeiourneesdecoustantinobleetliempe rer eslirespondi	---|-----|-------|-|-------------|-|-|----⌫---⌫-|-|-------|
estoit miesiweadoner carli	-----|--|---||----|--|-|
bar ondelost e tli	---⌫-|-||--|-⌫|-|
uenicien iauoi e nt legreigneur	-------||----⌫-⌫-|-|--------|
maistant comme a	---|---|----||
asfer oitlidounoit	-----⌫--|-|------|
ilmolt uolent iers etmolt	-|---|------⌫---|-|---|
ame e mentmaisle p arti easbarons	---⌫-⌫---|---|-|-⌫----⌫|-|-----|
ueniciensnelipooit ilmiedo nner.	--------|-|-|----|-|--|--⌫---||
quantli marchis uitquil	----|-|------|--|-|-|
mieauoi rs en	--|----⌫||-|
futouscourc hi és.	-|---|-----⌫--⌫--||
apres liemper ere ssenalala	----|-|-----⌫---⌫||-|--|-|
ouileutpourposéaaler a	-|-|--|--------||---||
toutesegent.	----|-|---||
sicomme i luenoitas	-|----|-⌫|-----|-|
cast iaxe tasch ites	----⌫--|-⌫|-|--⌫---|
s elirendoitonsans co ntredit et aportoi tlio n	-⌫|-|------|-|---|--⌫------|-|-------⌫|-|-⌫|
les c les encontreluietuenoi e n t	--|-⌫--|-------|--|-|-----⌫-⌫-⌫|
l iprestre	-⌫|------|
etl iclercreuestu	-|-⌫|----|------|
apourch ession encontr e luietlerecheuoiente t	|------⌫-----|-------⌫|--|-|-|----------|-⌫|
l aouroient lig riu t out commesaintempereur .	|--------|-|-⌫--|-⌫--|----|----|-------||
etmet oit liemperer e s s eswardes	-|---⌫--|-|-------⌫-⌫|-⌫-|-----|
es cast iauset esch ite s	-|----⌫---|-|-|--⌫---⌫|
par toutsi commeiluenoit	--|---|-|----|-|-----|
ettantque il conquist	-|------|-|-------|
te re de si a quinze	--⌫-|-|-||-----|
iourn ee sloinsdecoust anti n obleet t anqueiluint	-----⌫--⌫|----|-|-----⌫----⌫-⌫---|-|-⌫----|-|---|
a uneiourneepresdes alenike	|--|------|---|-|-⌫------|
entr ec hes entrefaitesqu eli empereresconquerroit sileterr e	----⌫|-⌫--|----------|--⌫|-|--------|----------|-|-|----⌫|
limarch is esmusa toutese	-|-----⌫-|----||----|-|
femm eet at otese g entauen irapresl	----⌫|-||-⌫--|-|-⌫--||---⌫-|----||
empereeur et siqu	--------|-|---|
il atainst lostl empere eur anchoisque	-|------||--||------⌫--|---------|
liemper eresuenista sale nike	-|-----⌫---|-----||----⌫---|
etq uant il eut	-|-⌫---|-|--|
l ostataint esi sala	|--|------⌫|-||--|
logierbienuneliweensusetquant	-----|---|--|---|-|--|-|----|
ilse fulogie ́ssipristmessagessi	-|-|-|-----⌫-|-|----|-------|-|
lesenuoiaale mpereeuretse	--|-----|||-⌫-------|-|-|
liman daquiln alast mieense	-|---⌫-|-|-||----|--|-|-|
terede sale nikequeonl iauoit	---|-|----⌫---|--|-|-⌫|----|
donne ecarbienseus t ilques	-----⌫|--|---|----⌫|-|--||
il ial oitquiln iroitpl usauec	-||--⌫--|-|-||----|--⌫-|---|
l uineil plusnes etenroitalui ains	-⌫-|-|-|---|-|-⌫|------||--|---|
senretor ner oitarri eree ncoustant inob leet feroi t	|-|-----⌫---⌫--|----⌫--|-⌫|--------⌫----⌫-|-|-----⌫|
l emiexqu ilporroit .	-⌫|---|-|-|------||
quant libaronde	----|-|----|-|
lecom p aingniel empereeuroirent	-|---⌫-⌫------||--------|-----|
chu mant que limarchis a uoit mandésien	--|---|--|-|------|-⌫---|-----|-|-|
eurentmoltgrantengaingne etmoltgrant d uel	-----|---|----|--------|-|---|----|-⌫--|
seliremanderenta r riereau	-|-|----------|-⌫-⌫----|-|
marchisquep ourluinepour	------|--|-⌫--|--|-|---|
senmant nilairoien til mi eaalerplus	--|---|||--------⌫|-|--⌫||---|---|
qu epournie ntcar	--⌫|---|---⌫-|--|
nestoitmiesiwe.	|-----|--|---||
