Cycom me nc e	-|---⌫--⌫--⌫|
Oyez uous pas c esth ommequemon	---|---|--|-⌫--|-⌫---|--|--|
cosinuostre bea u filz blasmoit en	----|-----|---⌫|---|-------|-|
disantque par foiz	-----|--|--|---|
i ldit lesmotzdungfollastre	-⌫|--|--|---||--|--------|
Die u iecroy quenon	---⌫|-|---|--|--|
fait mai sl esba illesitrescouuers	---|---⌫|-⌫-|--⌫---|-|---|------|
quelaultreneles	--||-----|-|--|
peultente ndre	----|----⌫---|
Siuouldroisbien q ue les	-|--------|---|-⌫-|--|
luyfissio nsexplicquer	--|------⌫-|---------|
Ieleueulx bi enditle roymais	-|-|----|--⌫-|--|-|--|---|
i eypeurdeluyd es plaire car surmafoy	|-|---|-|--|-⌫--⌫-----|--|--|-|--|
c estla plus plaisantcreature que ieuisseonc ques	|--|-|---|-------|-------|--|-|----|---⌫---|
Si su i stout	-|--⌫-⌫|---|
rauydeluysilu ouloitilacquerroit	---|-|--||-|-⌫-----|-|---------|
beaucop d e dames	------|-⌫|----|
Parmafoyautantuousend is	--|-|--|-----|---|-|-⌫-|
Sise roitbonde	-|--⌫---|--|-|
lefaire boire	-|----|----|
uoireditleroymaisnousnepourrions ainsi	----|--|-|--|---|---|-|--------|----|
f ai recomme il	-⌫--⌫-|----|-|
nousa f ait	---||-⌫--|
Dieuqueuous yeus siezesté	---|--|---||---⌫---|----|
Ame ndit il m ais	---⌫|--|-|-⌫--|
il z nese niron t enc oresid esirefort auo ir	--⌫|-||-⌫|----⌫|---⌫--|-|-⌫----|---|---⌫-|
accoin ctancealuy	------⌫-----||--|
C ommeleroyfit	-⌫---|-|--|--|
app o rterpo urfairecolationa	---⌫-⌫---|--⌫-|----|-------||
Entant le roy co mmendaappor ter	-|---|-|--|--⌫-----|-----⌫--|
c ol ati on quitost	-⌫--⌫---⌫-|--|---|
fu stprest e	--⌫-|-----⌫|
Etlemaistre d osteldele ansuintdire a	-|-|------||----|-|--⌫--|---|---||
b ar onsd e	-⌫--⌫--|-⌫|
Pariscommentil leferoitboire	----|------|-|-|-----|----|
Attend ez ditceluy ieuois querir	------⌫-|--|----|-|---|-----|
l e nsert que luyportera	|-⌫|---|--|--|------|
Etincontinantcelu yalladire a uducde	-|----------|----⌫|---|---|-⌫|--|-|
N orman d iequelonuouloits e ru i rde	-⌫-----⌫-⌫-|--||-|------|-⌫-⌫--⌫-⌫|-|
Le duc app ella lesc uyeret luy dit qu	-|--|---⌫---||---⌫---|-|--|--|-|
prendr e lacoupp e	------⌫|-|-----⌫|
po urseruirde	--⌫-|-----|-|
boirecequ i lfit incontinant et	----|-|-|-⌫|--|----------|-|
de u xaultr esescuyersaussiquiprirentchascun unecouppe	--⌫-⌫|-----⌫-|-------|----|--|------|------|--|-----|
etlesuindrentpresen tertoutes troisa	-|--|-------|------⌫--|-----|----||
Parislequel print lasienne	----|-----|----|-|-----|
etcommenda bail lerle s	-|-------|----⌫--|--⌫|
aultresdeuxauxdeuxr o y nesen dis a nt	------|---|--|---|-⌫-⌫-⌫--|-|---⌫-⌫-|
Beuonsnous trois p ourdespescheretles ault res	-----|---|----|-⌫--|---------|-|--|----⌫--|
b eurontquant	-⌫-----|----|
il leurplaira	-|---|-----|
sansriensac t endre	---|----|--⌫-⌫----|
puisbailla sacouppeala puc elleque	---|-----|-|-----||-|---⌫---|--|
deu ant luytenoit endisant	---⌫--|--|-----|-|-----|
Tenezma my eiaybeua	----|-|--⌫||-|--||
uouss i croyb ienque	---|-⌫|---|-⌫--|--|
ia ne me craindr ez	-|-|-|-------⌫-|
D ieuditla pucelleiln y	-⌫--|--|-|------|-|||
acausepourquoysiuous en mercie	|----|---|---|-|---|-|-----|
debo nc ueur	-|--⌫|-⌫---|
Lesroys etaultresseigneurs et dame s	--|---|-|------|--------|-|----⌫|
b e urent que fort sesmerueilloient don t	-⌫-⌫----|--|---||--------------|---⌫|
Par ispreno i ta insi lhonneursurtous	---⌫-|-----⌫-⌫|-⌫---||------|--|---|
lesr oysqui estoient plus uieulxqueluy	--|-⌫--|--|-------|---|-----|--|--|
Q uantcolationfutfaictelesro yset dames	-⌫---|-------|--|-----|--|--⌫-|-|----|
sa proc herent d e	|-⌫----⌫-----|-⌫|
Paris po urrailler etdeuiserauecque s	----|--⌫-|------|-|------|-------⌫|
Siluydemandale royde	-|--|------|-|--|-|
Pari s mond oulx amy que	----⌫|--|-⌫---|--|--|
di cte suous de	--⌫---⌫|---|-|
no str enouuelle mariee	--⌫---⌫|-------|-----|
Ce rtes di t	--⌫---|--⌫|
ilienensça uroisdireque tout bienet	-|-||-|----⌫----|---|--|---|---|-|
honne urcar i l	-----⌫-|--|-⌫|
me s embleque	-|-⌫----|--|
a p ar faic te ason loisirque riensn	|-⌫--⌫----⌫-||--|-----|--|----||
y aoublié	||------|
besoingqued unbo noff ici e r	------|--||-|--⌫|---⌫---⌫-⌫|
Et quelofficie r sire dit elle	-|---|-------⌫|---|--|---|
Orle demandez	-|-|-------|
amesseigneurs ditil sauoir	|-----------|--|-|-----|
moultsilleuoussc ̧au r o ntnommer	----||-|-|---|--⌫---⌫-⌫-⌫-|-----|
Parmaf oy dit le	--|-|-⌫-|--|-|
Portugaluoz	-------|--|
motzsont si	---|---|-|
entendre que	-------|--|
n ousne sçarionsqueex p rimer siuous	-⌫--|-|--------|--|--⌫-⌫----|-|---|
len ousuueillez nommer	-|-⌫--|-------|-----|
Parmafoyditilces t	--|-|--|--|-||--⌫|
chose bi enaiz e e asauoir car ie	----|--⌫-|---⌫-⌫||-----|--|-|
croybienquede m ais tre dost eldesc uyers	---|---|--|-|-⌫---⌫--||---⌫-||---⌫----|
nede secreta iresestelle	-|-|-------⌫---|--|---|
bien f ornyemaisuoulent iers quant d ames sont	---|-⌫----|---|-------⌫---|----|-⌫---|---|
loindeleu r	---|-|---⌫|
paysellesen	---|----|-|
desiren t sou uentauoir	-------⌫|---⌫---|----|
desnouuelles et pour	--|--------|-|---|
c eellea bon besoingdu	-⌫|---||--|------|-|
b oncheuauche ur	-⌫-|---------⌫-|
Qua nt ilz entendirentces parolleschascunse print moult fort	---⌫-|--|----------|--|-------|------|-|----|----|---|
Di euditleroyd	--⌫-|--|-|--||
Espaignesir e uous sçaueztresbien ce qu il	-------|---⌫|---|------|-------|-|-|-|
fau ltauxfemm esmaisen uozmotz	---⌫-|--|----⌫-|---|-|--|---|
ilfaul tto usioursgl oz es	-|----⌫|--⌫------|--⌫--⌫-|
Com ment leroyd	---⌫---|-|--||
Espa ignedemandaa	----⌫---|------||
expo sitiond esmotzqu	----⌫-----|-⌫-|---|-|
ilauoi tditz a u royd	-|----⌫|---|-⌫|--||
Angleterreso nbeaufi lz	---------|--⌫|------⌫-|
n auoyepeu r de	|----|---⌫|-|
uous desplaire	---|--------|
Espaigneie uous	-------|-|---|
demande royel	-------⌫---||
exp ositiondaulcunsmotzque	---⌫------||------|---|--|
uousauezd itz encheminamonbea u	---|---|-⌫--|-|-----||--|---⌫|
Certes dit	-----|--|
I eh a nde	-⌫--⌫-⌫|-|
Par isd emandezcequiluous	---⌫-|-⌫------|-|-|-|---|
plairacarriensn e mes çauroit desplaireAuostreco ngié	-----|--|----|-⌫|-|-⌫-------|--------||-----|--⌫----|
dontdit leroy d	---|--|-|--||
Esp aigne ie	---⌫----|-|
uousenuoisdireung	---|-|---|---|--|
Mon beaufilzd	--|---|---||
Angleterrem aditque qua nt	---------|||--|--|---⌫-|
uousueniezungi ou rqu e pleuuoittresfortuous	---|-----|--|-⌫--⌫|--⌫|-------|-------|---|
luy dictesque	--|-----|--|
luyquiestoi troy d euo it	--|--|-----⌫|--|-⌫---⌫-|
faireporter	----|-----|
as e sgens d e s m ai sons p oureulx g arder	|-⌫-⌫|---|-⌫-⌫|-⌫--⌫---|-⌫--|---|-⌫----|
delapluyeen cheuauchant	-|-|----|-|----------|
Sinep uise ntendrecomme cesmai sons	-|-|-⌫--|-⌫------|----|--|---⌫---|
po u rroientallernequi	--⌫-⌫------|----|-|--|
les por teroit	--|---⌫-----|
Pa ris c eprintmoult fortari re	--⌫--|-⌫|----|----|---||--⌫-|
puislu ydit	---|--⌫|--|
Ce rtes cest bie naiséaentendre	--⌫---||--|---⌫|----||-------|
siuo u seussiez	-|--⌫-⌫|------|
estésurle lieu c ar	----|--|-|---|-⌫-|
ilpouuoit bienprendreexemplea	-|------|---|------|------||
mo yet a m esgensqui	--⌫|-||-⌫-|---|--|
pris mesbonsmanteaux	----⌫--|---|-------|
etchapperonsa gor ge auecq noz oseaulxquinou s	-|---------||---⌫-|----|--|------|--|---⌫|
gardoien tb iendela pluye	--------⌫|-⌫--|-|-|----|
Etqu antilfa isoit be aute mps si les	-|--⌫--|-|--⌫----|--⌫-|--⌫--|-|--|
mec tions susnousbautz etseso ntles	---⌫----|--|---|----|-|-|--⌫-|--|
maisonsque ie	------|--|-|
dis oyeauostrebeau	---⌫--||-----|---|
filzqui e st oitmo illiél uy e tsesgens c o mme	---|--|-⌫--⌫--|--⌫-----|-⌫-|-⌫|--|---|-⌫-⌫--|
silzfusse n t plongeze n	|--|-----⌫-⌫|------|-⌫|
la riuiere	-|------|
Haadit le roypar	--|--|-|--|--|
D ieuuousendictes	-⌫--|---|-|-----|
urayement ditleroyde	--------|--|-|--|-|
Portu galalo reilleduroy d	-----⌫--|||-⌫-----|-|--||
Espaigne cestu ynestpassi fol	-------|-----⌫||--|--|-|--|
comm euostrebeaufi lzdiso it	----⌫|-----|---|--⌫-|----⌫-|
ains a ungmoult beau	---||--|----|---|
etu if ente n dementde s oneage	-|-⌫-|----⌫-⌫-----|-|-⌫-|---|
Encore u ousend eman derayu n eaultre cho se	-----|-⌫--|-|-⌫----⌫----|-⌫-⌫|-----|---⌫-|
se dit ler oyd	-|--|-|-⌫-||
E spaigne s il est	-⌫------||-|--|
uostre plaisir C est	-----|------||--|
qu e ung aultre iouruousluy	--⌫|--|-----|---|---|--|
faisoit p ortera	------|-⌫----||
sesgensung pont pourpa sserle sriuieres	--|---|--|---|---|--⌫---|--⌫|-------|
Decela ne faultil pasg r antexposition	-|---|-|----|-|--|-⌫-⌫--|---------|
Paris carelleest	----|--|---|--|
d emesmesa la premiere	-⌫|-----||-|-------|
Ilesturay q ue par dec ̧a	-|--|---|-⌫-|--|-|-⌫-|
Bayo nneungiourn oustro u uasmes	----⌫--|--|---|-⌫--|---⌫-⌫-----|
unepetit eriuiere	--|-----⌫|------|
biencreuseetroide	---|-----|-|----|
Ang lete rree tsesgens	---⌫----⌫--|-⌫|--|---|
qui estoient malmonte zse	--|-------|--|-----⌫|-|
miren t de dans pourpasserdont	-----⌫|--⌫---|---|-----|---|
il s e n noy abien so i xantedes	-||-⌫|---⌫|---|--⌫-⌫----|--|
plusma lmontez etie passey	---|--⌫|-----|-|-|-----|
aprèsauecm esgensquen	-----|---|-⌫-|---|--||
eurentnul malet qua nt	-----|--|--|-|---⌫-|
nousfusmespassez	---|-----|-----|
f itsesplainsd ese s	-⌫-|--|-----|-⌫|--⌫|
gensquiestoient n oyeze t	---|--|-------|-⌫---|-⌫|
lorsieluy disqu il deuoi tfaireappo rter	---|-|--|--|-|-|-----⌫|----|----⌫---|
ung po n tpour lesfaire asaulue tépasserles	--|--⌫-⌫|---|--|----||------⌫--|-----|--|
riuiere scestadirebons	-------⌫||--||---|---|
cheuaulxcommeils	-------|----|--|
u ire ntbien les	-⌫---⌫-|---|--|
mie nsqu ilzneurenta ulcungma l	---⌫-|-|--||-----|-⌫-----|--⌫|
I e cuydoie bien quilleustentendu	-⌫|------|---|-|-||---|------|
Dieuditl e	---|--|-⌫|
Nau arrebien leluy bailliezparentendre	---⌫---|---|-|--|-------|--|-------|
Orpuisq uet antnous e n au ezdit di tle	-|---|-⌫-|-⌫--|---|-⌫|--⌫-|--|--⌫|-|
Espaigne ieuousprie quenous declai r ezleti ers	-------|-|---|---|--|---|------⌫-⌫-|-|--⌫--|
etplusneuou s enparlerons	-|---|-|---⌫|-|--------|
I e uous ayd i t	-⌫|---|-|-⌫-⌫|
qu eto utceq uil	--⌫|--⌫-|-|-⌫|-|
uouspl ai ramep la is tpour ce	---|--⌫--⌫-|-|-⌫--⌫--⌫|---|-|
nen fai cte sdifficult é	|-|---⌫---⌫|---------⌫-|
Ieuo uspriedoncditleroyd	-|--⌫-|---|---|--|-|--||
Espaigne que uou sno usdec lairez co mment uous	-------|--|---⌫|--⌫-|---⌫-----|--⌫----|---|
ente ndez ceque	----⌫---|-|--|
dict esqu euo strefeu	----⌫-|--⌫|--⌫---|--|
pereestoi tuenuen ce	---|-----⌫|---|-|-|
yauoit enuironquinz e	|----|------|-----⌫|
anset auoit tendu ung	--|-|----|----|--|
laxaun e canne	--||--⌫|----|
etqu euousueniezpour ueoir s i lacan ne	-|--⌫|---|-----|---|----|-⌫|-|---⌫-|
es toit prinse	--⌫---|-----|
De celadit	-|---|--|
Ieh a n de	---⌫-⌫|-|
Paris ieneb lasme	----|-|-|-⌫----|
p oin tleroy d	-⌫---⌫|-|--||
Angleterrecaril est	---------|--|-|--|
bie nf o r ta ente ndre	---⌫|-⌫-⌫-⌫||----⌫---|
Ettoutesfoi z puisquiluient apr opoziesuis	-|---------⌫|---|-|-|----||--⌫---|-|---|
contantde leuo usde clairer	------|-|-|--⌫-|--⌫------|
Orentendez qu ece s t	-|-------|--⌫||-⌫-⌫|
Ilest ura yqui lyaenui ronquin ze	-|--|---⌫|-|-⌫|||----⌫--|----⌫-|
anspassez que le	--|-----|--|-|
Franc efeumonp ereuint	-----⌫|--|--|-⌫--|---|
encepayspourre mectre	-|-|---|---|--⌫-----|
uo strero yaulmeenuostreo beissancee t leuer	--⌫---|--⌫-----|-|-----|-⌫--------|-⌫|----|
lesieg eala ro yneuostref emmeque ue e z	-|----⌫||-|--⌫--|-----|-⌫---|--|--⌫-⌫|
cy e t quantils	-|-⌫|----|-||
en uoulut aller	-|-----|----|
tousdeux luyd onna s tes uostre fille pour icel le ma rierou	---|---|--|-⌫----⌫-⌫--|-----|----|---|----⌫-|--⌫---|-|
bo n luy semble r oitetiluousrespo ndit que	--⌫|--|------⌫-⌫--|-|-|---|-----⌫---|--|
a uecqu esmoyetc e s t lelasson	-⌫-----⌫-|--|-||-⌫-⌫|-|-----|
e t u ecy laca nnequeiesuisuenu	-⌫|-⌫--|-|--⌫--|--|-|---|---|
ueoircielleestp rinse	----|-|---|--|-⌫----|
Parisrebrassa ses habil lemens pour demonst rerquil	----|-------|--|-----⌫-----|---|-------⌫--|-|-|
estoitetfit	-----|-|--|
rebrassercellesdes	--------|-----|--|
Orl eans et de	---⌫---|-|-|
Bourbonqui es toientauecq	------|--|--⌫-----|----|
A lo rsqu ileut f inile parl eme ntauecqleroy	-⌫--⌫-|-|-|--|-⌫--|-|----⌫---⌫-|----|-|--|
Espaignere br assa sa robbeq uededans	-------|--⌫--⌫---|-|----|-⌫-|-----|
estoit d u ng uelou rsbleuse médefleu rs delis	-----||-⌫-|-----⌫-|---|--⌫--|-|----⌫-|-|--|
Qu ant leroyetlar oyne	--⌫--|-|--|-|-|-⌫---|
Espai gne ouy rentces	-----⌫--|---⌫---|--|
parollestousdeuxse	-------|---|---|-|
gecterenta sesp iedza u e c leurfi lleen di santO	--------||--|-⌫---|-⌫-⌫-⌫|---|--⌫--|-|--⌫---||
trespuissantetn ob le	-----------|-|-⌫--⌫-|
Die upl a iseuou s	---⌫|--⌫-⌫--|---⌫|
nouspardonner nostre grant offenc ecartout c eque	---|--------|-----|----|------⌫|--|---|-⌫|--|
u ousauezd itest uray et	-⌫--|---|-⌫-|--|---|-|
bi enlesçau ons	--⌫-|-|-----⌫--|
et laplus partde	-|-|---|---|-|
barons q ueicysontsisuis content d	-----|-⌫-|--|---|-|---|------||
en recepuoirt ellepug nitioncomme iluouspla i raaordonner	-|--------|-⌫---|---⌫-----|----|-|---|---⌫-⌫-||-------|
Etqu antestde mafille biensçay qu	-|--⌫--|--|-|-|----|---|----|-|
pasdignedestr e co nioinc te auecq	--|----||----⌫|--⌫------⌫-|----|
uousmaisdèsmaintenantielau ousliure pourla	---|---|---|---------|-|-|-⌫--|----|---|-|
marierace luyqueserau ostre bonplai sir	-----||--⌫--|--|---|-⌫----|--|----⌫--|
et aceluyba ille de ̀smaintenant la poss ession de mo n	-||----|--⌫---|--⌫-|---------|-|----⌫-----|-|--⌫|
Fr ancelesleuaet	--⌫---|--|---|-|
moult lesme rc iapuisdi t alapuc elle	----|--|--⌫--⌫-|---|--⌫||-|---⌫---|
uousauez ouyceque	---|---|--|-|--|
uostrepereet mere ont	-----|---|-|---|--|
ditque end ictesuousc arle	--|--|-|-⌫----|---|-⌫-|-|
fait uou stouche	---|---⌫|-----|
uoulezuousleroy d	-----|---|-|--||
Angleterre	---------|
Tr eshault etpu issantse i gneu r ie ueulx	--⌫------|-|--⌫-----|--⌫-⌫----⌫|-|----|
tenird epo int enpoint	----|-⌫|--⌫--|-|----|
pucellecequemon pere	------|-|--|--|---|
uousa ditcarl esprem ierespromessesdoiue nttenir	---||--|--|-⌫-|----⌫----|--------|-----⌫-|----|
Si meti end royea	-|-|--⌫---⌫---||
bienheureesi	---|-----|-|
iauo isung de	|---⌫-|--|-|
uozbarons deuostr e r oyaulm e	--|-----|-|-----⌫|-⌫------⌫|
Ormedictesdonclequeluo usuoulez car ueez	-|-|-----|---|-----|--⌫-|-----|--|---|
encybellecompaig nie	-|-|----|-------⌫--|
R egardez d essoub zleursrobes carchascun portes esar mes	-⌫------|-⌫------⌫|----|----|--|------|----|-⌫-|--⌫--|
Commentle roy	------|-|--|
Ieh ancommenda au ducd	---⌫-|-------|-|--||
Orl eansetde	---⌫---|-|-|
Bourbonet ap lusieursaultre s	------|-||-⌫-------|------⌫|
quilzre brass a ssent	-|--|--⌫-----⌫-⌫----|
leurs robes	----|----|
L orsfitle	-⌫--|--|-|
Iehanrebrassertouteslesrobes desdis	----|--------|-----|--|----|-----|
baronsquemou lt	-----|--|---⌫-|
beauueoirf aisoit	---|----|-⌫-----|
Sisefirent congnoistre	-|-|-----|----------|
les plu saagezqueen	--|---⌫|----|--|-|
Espa ign eauo ient este z aue c q	----⌫---⌫|---⌫---|----⌫|---⌫-⌫|
l efeuro ycomm e lesduczd	-⌫|--|--⌫|----⌫|--|---||
Orl e an s et de	---⌫-⌫--⌫|-|-|
Bourbonetplus ieur s	------|-|----⌫----⌫|
a ultresbaron s	-⌫-----|-----⌫|
Iehan demandad erec hi ef a lap ucelle	----|------|-⌫|---⌫--⌫-||-|-⌫-----|
Aue z u ousa duis éleq uel uousuoulezdeceulx icy ou	---⌫|-⌫--|-⌫----⌫-|---⌫--|---|-----|-|----|--|-|
ceuo u s yuoule z encor espencer	-|--⌫-⌫||-----⌫|-----⌫-|-----|
Treshaults eigneurditelle am oynappartientpas	--------|-⌫------|--|---||-⌫-||---------|--|
de choisir maisceluy queuous	-|------|---|----|--|---|
plairame plaistenen s uiuantla prom esseque monsei gneur	-----|-|-----|-|--⌫-⌫-----|-|----⌫---|--|------⌫----|
mon perefita uuostr e Apa r	--|---|--|-⌫|-----⌫||--⌫|
Die uuou sest e s	---⌫|---⌫|---⌫-⌫|
fine fe mmeditle roy	---|--⌫--|--|-|--|
Ieh anpu i squeuousdictes que uousuoulez	---⌫-|--⌫-⌫|--|---|-----|--|---|-----|
tenir lapromessed e	----|-|-------|-⌫|
uostr epereC est	-----⌫|---||--|
a direquei e	|---|--|-⌫|
doy t en iraussilap romessequele	--|-⌫--⌫-|----|-|-⌫------|--|-|
mienfi t cest	---|--⌫||--|
queuous ser iezmafe mm e	--|---|---⌫--|-|--⌫--⌫|
Alorssemirenttous ar ire	----|-|-----|---||-⌫--|
fors q ue les	---|-⌫-|--|
Ieh anparuostrefoy uouldriez uou sbien	---⌫-|--|-----|--|--------|---⌫|---|
estremaf emme siuostrepereet merele	----|-|-⌫---|-|-----|---|-|---|-|
uouloi ent et	------⌫--|-|
s iie myconsentoye	-⌫|-|||---------|
S irece s tu nequestionou il	-⌫--||-⌫-⌫|-⌫-|-------|-|-|
nefau lt poin tderespon ce car bien	-|---⌫-|----⌫|-|------⌫-|--|---|
pouuezsçauoirquil nest	-----|-------|-|-||--|
c hose aumondequetantie desirasse	-⌫---|-|----|--|---|-|--------|
Ordonc ma myeetiemyco nsens et	-|---|-|--|-|-|||--⌫----|-|
uous prometzespouserle	---|------|-------|-|
matinauplaisir de	----|-|------|-|
Di euetdeuou s a mys	--⌫-|-|-|---⌫|-⌫--|
Espaigne et	-------|-|
lar oyne leme rcierentmou lt fort et lesroys	-|-⌫---|-|--⌫-------|---⌫-|---|-|--|---|
Arrag ond e	-----⌫-|-⌫|
