domineexaudiorationemmeam	domine exaudi orationem meam
gentesnomẽtuũdñe:etom̃esregesterre	gentes nomẽ tuũ dñe : et om̃es reges terre
gloriamtuamQuiaedificauitdñssyon:et	gloriam tuam Quia edificauit dñs syon : et
uidebituringloriasuaRespexitinoracionem	uidebitur in gloria sua Respexit in oracionem
humilium:etnõspreuitprecemeoꝝScribanturhec	humilium : et nõ spreuit precem eoꝝ Scribantur hec
ingeneracionealtera:etppl̃usquicreabiturlaudabitdñm	in generacione altera : et ppl̃us qui creabitur laudabit dñm
Quiaprospexitdeexcelsosanctosuodñsdecelo	Quia prospexit de excelso sancto suo dñs de celo
interrã	in terrã
aspexitUt	aspexit Ut
audiretgemitumcompeditoꝝ:	audiret gemitum compeditoꝝ :
etsolueretfilios	et solueret filios
interemptoꝝUtannũcientinsyonnomẽdñi	interemptoꝝ Ut annũcient in syon nomẽ dñi
:etlaudemeiusiniherusalẽIncõueniendoppl̃os	: et laudem eius in iherusalẽ In cõueniendo ppl̃os
inunũetreges:utseruiant	in unũ et reges : ut seruiant
dñoResponditeiinuiauirtutissue:	dño Respondit ei in uia uirtutis sue :
paucitatẽdierũmeoꝝnũtiamichiNereuocesmein	paucitatẽ dierũ meoꝝ nũtia michi Ne reuoces me in
dimidiodierũmeoꝝ:ingeneratione	dimidio dierũ meoꝝ : in generatione
etgenerationẽannituiIniciotu	et ge nerationẽ anni tui Inicio tu
dñeterramfundasti:	dñe terram fundasti :
etoperamanuũtuarũsũtceliIpsiperibũttu	et opera manuũ tuarũ sũt celi Ipsi peribũt tu
autẽpermanes:et	autẽ permanes : et
om̃essicutuestimentũueterascentEtsicutopertoriũmutabis	om̃es sicut uestimentũ ueterascent Et sicut opertoriũ mutabis
eosetmutabunt᷑	eos et mutabunt᷑
:tuautẽidemip̃e	: tu autẽ idem ip̃e
esetanni	es et anni
tuinõdeficient	tui nõ deficient
Filiiseruoꝝ	Filii seruoꝝ
tuorũhabitabũt:etsemẽeoꝝinseculũdirigetur	tuorũ habitabũt : et semẽ eoꝝ in seculũ dirigetur
Dñeexaudior̃onẽmeã:etclamormeusad	Dñe exaudi or̃onẽ meã : et clamor meus ad
teuẽiat	te uẽiat
Nõau͛tas	Nõ au͛tas
faciẽtuã	faciẽ tuã
ame:inquacũqdietribulorinclina	a me : in quacũq die tribulor inclina
admeaurẽ	ad me aurẽ
tuã.Inquacũqdie	tuã . In quacũq die
ĩuocauerote:uelociterexaudime.Qꝛdeffecerũtsic̃	ĩuocauero te : uelociter exaudi me . Qꝛ deffecerũt sic̃
fumusdiesmei:ossameasicutcremiũaruer̃t	fumus dies mei :  ossa mea sicut cremiũ aruer̃t
.Percussussũutfenũ	. Percussus sũ ut fenũ
aruitcormeũ:oblit᷒sumcomed͛e	 aruit cor meũ :  oblit᷒ sum comed͛e
panẽmeũ.	panẽ meũ .
Auocegemitusmei	A uoce gemitus mei
:adhesitosmeũcarnimee.Silĩs	: adhesit os meũ carni mee . Silĩs
fc̃ussũpellicanosolitudĩs:fc̃ssũsicutniticorax	fc̃us sũ pellicano solitudĩs : fc̃s sũ sicut niticorax
indomicilio.Uigilauietfc̃ssũsicutpasser	in domicilio . Uigilaui et fc̃s sũ sicut passer
:solitariusintecto.	: solitarius in tecto .
Totadieexprobrabãtmichiĩimicimei:quilaudabant	Tota die exprobrabãt michi ĩimici mei :  qui laudabant
meaduersũmeiurabãt	me aduersũ me iurabãt
:Qꝛcinerẽtanꝙͣpanẽmanducabã:	: Qꝛ cinerẽ tanꝙͣ panẽ manducabã :
potũmeũcũflet̃miscebã:	 potũ meũ cũ flet̃ miscebã :
Afacieireetindignationistue:eleuãsallisisti	A facie ire et indignationis tue :  eleuãs allisisti
me:Diesmeisic̃umbra	me : Dies mei sic̃ umbra
declinauer̃t:	declinauer̃t :
egosicutfenũarui:Tuautẽdñein	 ego sicut fenũ arui : Tu autẽ dñe in
et͛nũꝑmanes:	et͛nũ ꝑmanes : 
mẽorialetuũingñacõe	mẽoriale tuũ in gñacõe
generationẽ.Tuex᷑gensdñemisereb͛issyon:	 generationẽ . Tu ex᷑gens dñe misereb͛is syon : 
tp̃smiserendieiusuenittp̃s.Q̃mplacuerunt	tp̃s miserendi eius  uenit tp̃s . Q̃m placuerunt
seruistuislapidesei᷒:t͛reeiusmiserebuntur.	seruis tuis lapides ei᷒ :  t͛re eius miserebuntur .
Ettimebũtgẽtesnomentuũ	Et timebũt gẽtes nomen tuũ
dñe:etõsregesterregl̃am	dñe : et õs reges terre gl̃am
tuã:Qꝛ	tuã : Qꝛ
edificauitdñssyon:	edificauit dñs syon :
videbr̃ingl̃asua:Respexit	 videbr̃ in gl̃a sua : Respexit
inor̃onemhũiliũ	in or̃onem hũiliũ
:etnõspreuitcem	: et nõ spreuit cem
eoꝝScͥbanturhecin	eoꝝ Scͥbantur hec in
generationealt͛a:ppl̃squicreabiturlaudabitdñm	generatione alt͛a :  ppl̃s qui creabitur laudabit dñm
.Quiaꝓspexitdeexcelsosanctosuo	. Quia ꝓspexit de excelso sancto suo
:dñsdeceloint͛ramaspexit	: dñs de celo in t͛ram aspexit
.Utaudiretgẽit᷒compeditoꝝ	. Ut audiret gẽit᷒ compeditoꝝ
:utsolu͛etfilios	: ut solu͛et filios
interemptoꝝ.Ut	interemptoꝝ . Ut
annũciẽtinsyonnomendñi:laudem	annũciẽt in syon nomen dñi :  laudem
suaminiherusalem.Inconuẽiendoppl̃osinunũ	suam in iherusalem . In conuẽiendo ppl̃os in unũ
:regesutseruiant	:  reges ut seruiant
dño.Respondit	dño . Respondit
eiinuiauirtutissue:	ei in uia uirtutis sue :
paucitatẽdierũmeoꝝnũciamͥ.Nereuoces	paucitatẽ dierũ meoꝝ nũcia mͥ . Ne reuoces
meindimidio	me in dimidio
dieꝝmeoꝝ:ingeneratione	dieꝝ meoꝝ : in generatione 
gñationemãni	gñationem ãni
tui.Initio	tui . Initio
tudñet͛rãfundasti:oꝑamanuũtuarũsunt	tu dñe t͛rã fundasti :  oꝑa manuũ tuarũ sunt
Ip̃iꝑibũttuautẽꝑmanes	Ip̃i ꝑibũt tu autẽ ꝑmanes
:om̃ssicutuestimentũueterascent.Etsicut	:  om̃s sicut uestimentũ ueterascent . Et sicut
oꝑtoriũmutabiseoset	oꝑtoriũ mutabis eos et
mutabuntur:tuautemidemip̃ees	mutabuntur : tu autem idem ip̃e es
etãnituinondefficient.	et ãni tui non defficient .
Filiiseruoꝝtuoꝝh̃itabunt	Filii seruoꝝ tuoꝝ h̃itabunt
:semen	:  semen
eoꝝinscl̃md͛igetur.Dñe	eoꝝ in scl̃m d͛igetur . Dñe
exaudior̃onemmeã	exaudi or̃onem meã 
etclamormeusadteveniat.	et clamor meus ad te veniat .
Nonau͛tasfaciẽtuamameĩquacũqdie	Non au͛tas faciẽ tuam a me  ĩ quacũq die
tribulorinclinaadmeaurẽtuam.Inquacũqdie	tribulor inclina ad me aurẽ tuam . In quacũq die
ĩuocaueroteuelociterexaudi	ĩuocauero te  uelociter exaudi
me.Quiadeffeceruntsicutfumusdiesmei	me . Quia deffecerunt sicut fumus dies mei 
etossameasicutcremiũ	et ossa mea sicut cremiũ
aruerũt.Percussussũutfenumet	aruerũt . Percussus sũ ut fenum et
aruitcormeũquiaoblitussũcomedere	aruit cor meũ  quia oblitus sũ comedere
panemmeũ.Auocegemitusmei	panem meũ . A uoce gemitus mei
adhesitosmeũcarnimee	adhesit os meũ carni mee
.Silĩsfc̃ussumpellicanosolitudĩset	. Silĩs fc̃us sum pellicano solitudĩs  et
fc̃ussumsicutniticoraxĩdomicilioUigilauietfc̃ussum	fc̃us sum sicut niticorax ĩ domicilio Uigilaui et fc̃us sum
sicutpassersolitarius	sicut passer solitarius
ĩtecto.Totadie	ĩ tecto . Tota die
exprobrabãtmͥinimicimeietquilaudabãtmeadu͛sum	exprobrabãt mͥ inimici mei  et qui laudabãt me adu͛sum
meiurabãtQͥacinerẽtanquãpanẽmanducabã	me iurabãt Qͥa cinerẽ tanquã panẽ manducabã
etpotummeũcũfletumiscebã.	 et potum meũ cũ fletu miscebã .
Afacieireindignacõistueqͥa	A facie ire indignacõis tue  qͥa
eleuansalixistime.Diesmeisicut	eleuans alixisti me . Dies mei sicut
umbradeclinaueruntetego	umbra declinauerunt  et ego
sicutfenũarui.Tuautẽdñein	sicut fenũ arui . Tu autẽ dñe in
et͛numꝑmanesetmemorialetuũin	et͛num ꝑmanes  et memoriale tuũ in
generationeetgeneracionem.Tuexurgẽsdñemisereberissyon	generatione et generacionem . Tu exurgẽs dñe misereberis syon 
tp̃smiserendiei᷒	 tp̃s miserendi ei᷒
quiauẽittemp̃s.Q̃mplacuerunt	quia uẽit temp̃s . Q̃m placuerunt
seruistuislapideseiusett͛reeius	seruis tuis lapides eius  et t͛re eius
miserebuntur.Et	miserebuntur . Et
timebuntgentesnomentuumdñeet	timebunt gentes nomen tuum dñe  et
õsregest͛regl̃iamtuã.Quiaedificauitdñssyon	õs reges t͛re gl̃iam tuã . Quia edificauit dñs syon
etuidebr̃ingl̃iasuaRespexitĩ	 et uidebr̃ in gl̃ia sua Respexit ĩ
or̃onemhũiliumetnon	or̃onem hũilium  et non
suitcẽeoꝝ.Scribanturhecin	suit cẽ eoꝝ . Scribantur hec in
generacõealteraetppl̃usqui	generacõe altera et ppl̃us qui
creabiturlaudabitdñm.Quiaprospexitde	creabitur laudabit dñm . Quia prospexit de
excelsosc̃osuodñsde	excelso sc̃o suo  dñs de
celoint͛ram	celo in t͛ram
aspexit.Utaudiretgemituscompeditoꝝ	aspexit . Ut audiret gemitus compeditoꝝ 
utsolu͛et	ut solu͛et
filiosint͛emptoꝝ.Utannũcientinsyonnomẽ	filios int͛emptoꝝ . Ut annũcient in syon nomẽ
dñiet	dñi  et
laudẽeiusinirl̃m	laudẽ eius in irl̃m
.Incõueniendoppl̃os	. In cõueniendo ppl̃os
invnũetregesutẜuiantdño.Respondit	in vnũ  et reges ut ẜuiant dño . Respondit
eiinuiauirtutissuepaucitatẽdieꝝ	ei in uia uirtutis sue paucitatẽ dieꝝ
meoꝝnũciamͥ.Nereuocesmeindimidio	meoꝝ nũcia mͥ . Ne reuoces me in dimidio
dierũmeoꝝingñacioneetgñacõeannitui	dierũ meoꝝ  in gñacione et gñacõe anni tui
.Inicio	. Inicio
tudñet͛ramfundasti	tu dñe t͛ram fundasti
etoꝑamanuũtuarũ	 et oꝑa manuũ tuarũ
suntceli	sunt celi
.Ip̃iperibunttuaut̃permanes	. Ip̃i peribunt tu aut̃ permanes 
etom̃ssicut	et om̃s sicut
uestimentũueterascẽt.Etsic̃opertoriũmutab̃	uestimentũ ueterascẽt . Et sic̃ opertoriũ mutab̃
eosetmutabũturtuautẽidemip̃eesãni	eos et mutabũtur tu autẽ idem ip̃e es  ãni
tuinõdeficient.Filiiseruorum	tui nõ deficient . Filii seruorum
tuorũh̃itabuntet	tuorũ h̃itabunt  et
semẽeoruminscl̃m	semẽ eorum in scl̃m
dirigetur.DOmineexaudi	dirigetur . DOmine exaudi
or̃onemeã:clamorm̃sadteueniat.	or̃one meã :  clamor m̃s ad te ueniat .
Nonau͛tas	Non au͛tas
faciẽtuãame:ĩquacũqdietribulorinclina	faciẽ tuã a me : ĩ quacũq die tribulor inclina
admeauremtuam.Inquacũqdie	ad me aurem tuam . In quacũq die
ĩuocau͛ote:uelocit͛exaudime.	ĩuocau͛o te : uelocit͛ exaudi me .
Quiadefecerũtsic̃fum᷒	Quia defecerũt sic̃ fum᷒
diesmei:	dies mei : 
ossameasic̃cremͥũaruerunt.Percussussumutfenũ	ossa mea sic̃ cremͥũ aruerunt . Percussus sum ut fenũ
aruitcormeũ:	 aruit cor meũ :
qͥaoblitus	qͥa oblitus
sumcomed͛epanẽmeũ.Auocegemitusmei	sum comed͛e panẽ meũ . A uoce gemitus mei
:adhesit	: adhesit
osmeũcarnimee.	os meũ carni mee .
Silĩsfc̃ussũpellicanosolitud̃is:fc̃ussũ	Silĩs fc̃us sũ pellicano solitud̃is : fc̃us sũ
sic̃noicticoraxin	sic̃ noicticorax in
domicilio.	domicilio .
Uigilaui:fc̃ussũsic̃passersolitarius	Uigilaui :  fc̃us sũ sic̃ passer solitarius
intecto.Totadieexꝓbrabant	in tecto . Tota die exꝓbrabant
mͥĩimicimei:	mͥ ĩimici mei :
qͥlaudabantmeadu͛sũmeiurabãt.Quia	 qͥ laudabant me adu͛sũ me iurabãt . Quia
cinerẽtamqͣm	cinerẽ tamqͣm
panemãducabã:pocl̃mmeũ	pane mãducabã :  pocl̃m meũ
cumfletumiscebã.	cum fletu miscebã .
Afacieireetindignacõistue	A facie ire et in dignacõis tue
:qͥaeleuansalisistime	: qͥa eleuans alisisti me
.Diesmeisic̃umbradeclinau͛unt:egosic̃	. Dies mei sic̃ umbra declinau͛unt :  ego sic̃
fenũarui.	fenũ arui .
Tuaut̃dñe	Tu aut̃ dñe
inet͛nũꝑmães:	in et͛nũ ꝑmães : 
mẽorialetuũĩgñacõegñacõe	mẽoriale tuũ ĩ gñacõe  gñacõe
.Tuexurgensmisereberissyon:quiatp̃usmiserẽdiei᷒	. Tu exurgens misereberis syon : quia tp̃us miserẽdi ei᷒
quiauenittp̃us.Q̃mplacuerũt	quia uenit tp̃us . Q̃m placuerũt
seruistuis	seruis tuis
lapideseius:	lapides eius :
t͛reeiusmiserebuntur.Ettimebũtgentes	 t͛re eius miserebuntur . Et timebũt gentes
nomẽtuũdñe:õesregest͛re	nomẽ tuũ dñe :  ões reges t͛re
gl̃iamtuã.Qͥaedificabit	gl̃iam tuã . Qͥa edificabit
dñssyon:uidebit᷑ingl̃ia	dñs syon :  uidebit᷑ in gl̃ia
sua.Respexitĩor̃oehũiliũ:	sua . Respexit ĩ or̃oe hũiliũ : 
nõspreuit	nõ spreuit
cẽeorũ.Scribant᷑	cẽ eorũ . Scribant᷑
hecĩgñacõealt͛a:ppl̃s	hec ĩ gñacõe alt͛a :  ppl̃s
quicreabit᷑	qui creabit᷑
laudabitdoͫ.Quiaꝓspexitde	laudabit doͫ . Quia ꝓspexit de
excelsosc̃o	excelso sc̃o
suo:dñsdeceloint͛raaspexͭ.Ut	suo : dñs de celo in t͛ra aspexͭ . Ut
audiretgemit᷒	audiret gemit᷒
ꝯpeditoꝝ:utsolueret	ꝯpeditoꝝ : ut solueret
filiosinteremptorũ.Utãnũcientinsyonnomẽdñi:	filios interemptorũ . Ut ãnũcient in syon nomẽ dñi :
laudẽeiusin	 laudẽ eius in
irl̃m.Inꝯueniendoppl̃osinunũreges	irl̃m . In ꝯueniendo ppl̃os in unũ  reges
:utseruiãtdño.	: ut seruiãt dño .
Responditeiĩuiau͛tutissue:paucietatẽdieꝝmeorũ	Respondit ei ĩ uia u͛tutis sue : paucietatẽ dieꝝ meorũ
nũciamͥ	nũcia mͥ
.Nereuocesme	. Ne reuoces me
ĩdimidio	ĩ dimidio
dieꝝmeoꝝ.ĩgñacõe	dieꝝ meoꝝ . ĩ gñacõe 
gñacõeãnitui.Iniciotudñet͛rafundasti	gñacõe ãni tui . Inicio tu dñe t͛ra fundasti
:oꝑamanuũtuaꝝsũtceli.	:  oꝑa manuũ tuaꝝ sũt celi .
Ip̃iꝑibũttuaut̃ꝑmães:ões	Ip̃i ꝑibũt tu aut̃ ꝑmães :  ões
sic̃uestimẽtũueterascẽt.Et	sic̃ uestimẽtũ ueterascẽt . Et
sic̃oꝑtoriũmutabiseosmutabunt᷑:tu	sic̃ oꝑtoriũ mutabis eos  mutabunt᷑ : tu
aut̃idẽip̃ees	aut̃ idẽ ip̃e es 
ãnituinõdeficiẽt.Filiiseruoꝝtuoꝝh̃itabũt	ãni tui nõ deficiẽt . Filii seruoꝝ tuoꝝ h̃itabũt
:semẽ	:  semẽ
eoꝝinscl̃mdiriget᷑.Domineexaudior̃onem	eoꝝ in scl̃m diriget᷑ . Domine exaudi or̃onem
meam:⁊clamor	meam : ⁊ clamor
meusadteueniat.Nõauertas	meus ad te ueniat . Nõ auertas
faciemtuamame:inquacũqdie	faciem tuam a me : in quacũq die
tribulorinclinaadmeauremtuamInquacumq	tribulor inclina ad me aurem tuam In quacumq
dieinuocauero	die inuocauero
te:uelociter	te : uelociter
exaudimeQuiadefeceruntsicut	exaudi me Quia defecerunt sicut
fum᷒diesmei⁊ossameasicutcremiumaruerunt	fum᷒ dies mei ⁊ ossa mea sicut cremium aruerunt
Percussussumutfenumetaruitcormeum:	Percussus sum ut fenum et aruit cor meum :
quiaoblitussumcomedere	quia oblitus sum comedere
panemmeumAvocegemitusmeiadhesitos	panem meum A voce gemitus mei adhesit os
meumcarnimee	meum carni mee
Similisfactussum	Similis factus sum
pellicanosolitudinis:factussum	pellicano solitudinis : factus sum
sicutniticoraxindomicilioUigilaui⁊factus	sicut niticorax in domicilio Uigilaui ⁊ factus
sumsicutpassersolitariusintectoNotadieexprobrabantmichi	sum sicut passer solitarius in tecto Nota die exprobrabant michi
inimicimei:⁊quilaudabantmeaduersum	inimici mei : ⁊ qui laudabant me aduersum
meiurabantQuiacineremtãꝙͣpanemmanducabam	me iurabant Quia cinerem tãꝙͣ panem manducabam
⁊poculum	⁊ poculum
meumcumfletumiscebamAfacieire	meum cum fletu miscebam A facie ire
indignationistue:quia	indignationis tue : quia
eleuansallixistime.Diesmeisicut	eleuans allixisti me . Dies mei sicut
vmbradeclinauerunt:et.	vmbra declinauerunt : et .
egosicutfenumaruiTuautemdominein	ego sicut fenum arui Tu autem domine in
eternumpermanes:⁊memorialetuumingenerationeetgenerationem	eternum permanes : ⁊ memoriale tuum in generatione et generationem
Tuexurgensdominemisereberissyon:	Tu exurgens domine misereberis syon :
quiatempusmiserẽdieiusquiauenittempusQuoniam	quia tempus miserẽdi eius quia uenit tempus Quoniam
placueruntseruistuislapideseius:ett͛re	placuerunt seruis tuis lapides eius : et t͛re
eiusmiserebunturEttimebuntgẽtesnomentuum	eius miserebuntur Et timebunt gẽtes nomen tuum
domine⁊omnesregesterregloriamtuam	domine ⁊ omnes reges terre gloriam tuam
Quiaedificauitdominussyon⁊	Quia edificauit dominus syon ⁊
uidebituringloriasuaRespexitin	uidebitur in gloria sua Respexit in
or̃onemhumilium:etnõ	or̃onem humilium : et nõ
spreuitprecemeorumScribanturhecingeneratione	spreuit precem eorum Scribantur hec in generatione
altera:⁊populusquicreabiturlaudabitdñm.Quia	altera : ⁊ populus qui creabitur laudabit dñm . Quia
prospexitdeexcelsosanctosuo:dominusdeceloin	prospexit de excelso sancto suo : dominus de celo in
terramaspexit.	terram aspexit .
Utaudiret	Ut audiret
gemituscompeditorum:utsolueretfiliosinteremptorum.	gemitus compeditorum : ut solueret filios interemptorum .
Utannuncientin	Ut annuncient in
syonnomen	syon nomen
domini:⁊laudem	domini : ⁊ laudem
eiusinihrl̃m.	eius in ihrl̃m .
Inconueniendo	In conueniendo
populosinvnum⁊regesutseruiantdomino.Respondit	populos in vnum ⁊ reges ut seruiant domino . Respondit
eiinuiauirtutissuepaucitatemdierũmeorum	ei in uia uirtutis sue paucitatem dierũ meorum
nuntiamichiNereuocesmeindimidiodierummeoꝝin	nuntia michi Ne reuoces me in dimidio dierum meoꝝ in
generatiõe⁊generationemannitui	generatiõe ⁊ generationem anni tui
.Initiotudoͤterramfundasti	. Initio tu doͤ terram fundasti 
⁊operamanuumtuaꝝsuntceliIpsi	⁊ opera manuum tuaꝝ sunt celi Ipsi
peribunttuautempermanes:⁊omnessicutuestimentumueterascent	peribunt tu autem permanes : ⁊ omnes sicut uestimentum ueterascent
Etsicutopertoriummutabiseos	Et sicut opertorium mutabis eos
⁊mutabuntur:tuautemidemip̃eesetanni	⁊ mutabuntur : tu autem idem ip̃e es et anni
tuinondeficientFilii	tui non deficient Filii
seruorumtuorumhabitabunt⁊	seruorum tuorum habitabunt ⁊
semeneoruminseculumdirigeturGloriapsalmus	semen eorum in seculum dirigetur Gloria psalmus
domineexaudi	domine exaudi
orationemmeam	orationem meam
etclamor	et clamor
meusadte	meus ad te
veniatnonavertas	veniat non avertas
faciemtuamameinquacumquedie	faciem tuam a me in quacumque die
tribulorinclinaadmeauremtuaminquacumquedie	tribulor inclina ad me aurem tuam in quacumque die
invocaverotevelociterexaudime	invocavero te  velociter exaudi me
quiadefeceruntsicutfumusdiesmeiet	quia defecerunt sicut fumus dies mei  et
ossameasicutcremiumarrueruntpercussussumut	ossa mea sicut cremium arruerunt percussus sum ut
fenumetaruit	fenum et aruit
cormeumquiaoblitussumcomederepanem	cor meum  quia oblitus sum comedere panem
meumavoce	meum a voce
gemitusmeiadhaesitosmeumcarnimeesimilisfactussum	gemitus mei adhaesit os meum carni mee similis factus sum
pellicanosolitudinisfactus	pellicano solitudinis  factus
sumsicutnycticoraxindomiciliovigilaviet	sum sicut nycticorax in domicilio vigilavi et
factussum	factus sum
sicutpasser	sicut passer
solitariusintectototadieexprobrabantmihiinimicimei	 solitarius in tecto tota die exprobrabant mihi inimici mei
etquilaudabant	 et qui laudabant
meadversummejurabantquiacineremtanquampanem	me adversum me jurabant quia cinerem tanquam panem
manducabametpotummeumcumfletu	manducabam  et potum meum cum fletu
miscebamafacieireet	miscebam a facie ire et
indignationistuequiaelevansallisistimediesmeisicut	indignationis tue  quia elevans allisisti me dies mei sicut
umbradeclinaverunt	umbra declinaverunt 
etegosicutfenumaruituautem	et ego sicut fenum arui tu autem
domineineternumpermanesetmemorialetuum	domine in eternum permanes et memoriale tuum
ingenerationemet	in generationem et
generationemtuexurgensdominemisereberissionquiatempusmiserendi	generationem tu exurgens domine misereberis sion  quia tempus miserendi
ejusquiavenit	ejus quia venit
tempusquoniamplacueruntservissuis	tempus quoniam placuerunt servis suis 
lapidesejusetterreejus	lapides ejus et terre ejus
miserebunturettimebuntgentesnomentuumdomine	miserebuntur et timebunt gentes nomen tuum domine
etomnesregesterregloriamtuamquiaedificavit	 et omnes reges terre gloriam tuam quia edificavit
dominussionetvidebituringloriasuarespexitin	dominus sion  et videbitur in gloria sua respexit in
orationemhumiliumetnon	orationem humilium  et non
sprevitprecemeorumscribantur	sprevit precem eorum scribantur
hecingenerationealteraetpopulusquicreabiturlaudabit	hec in generatione altera  et populus qui creabitur laudabit
dominumquiaprospexitdeexcelsosanctosuo	dominum quia prospexit de excelso sancto suo 
dominusdecelo	dominus de celo
interramaspexit	in terram aspexit
utaudiretgemituscompeditorumutsolveretfiliosinteremptorumut	ut audiret gemitus compeditorum  ut solveret filios interemptorum ut
