P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
Quomo dodolo r e a ffectus p repieta te lacrymaseffudit, etiterquodfa ctu rus er a t i n Orien te mobha nccau samrepressit.	-----⌫-|----⌫-⌫|-⌫------|-⌫-|-----⌫-|-------|-------|-|---|---|--⌫---⌫--|--⌫-⌫|-⌫|-----⌫--⌫|-|--⌫-|---⌫--|---------|
Re ddit eigitur mihitranquillos dieset no ctescura rumexpertes,ut mihiquoque pureluc isuoluptas,etquieteuitelet iti ai n posterumconseruetur;	--⌫----⌫|-----|---|----------|---|-|--⌫---|----⌫--|--------|-|---|-----|---|---⌫-|--------|-|-----|---|---⌫---⌫|-⌫|-------|-----------|
Q uod n isiconsecutusf ue ro,ing emisca mn ecesseest , totusquelacrym i sperfund ar?	-⌫--|-⌫--|---------|-⌫--⌫--|---⌫------⌫|-⌫-----|---⌫|-------|------⌫-⌫|-------⌫--|
necreliquumuitetem pusplacideexigam.	--|-------|---|---⌫--|------|------|
Namqu andiupopul usDeiini quaetpe rn iciosaconten tio nediscissusest,quifie r ipotestutegodeince psan imoconsistam.	--|--⌫----|-----⌫-|--|---⌫--|-|--⌫--⌫-----|------⌫---⌫-|--------|---|--|---⌫-⌫|-----|-|--|------⌫-|--⌫--|---------|
A NNODOMI NI CCCXXu.	-⌫--|----⌫-|------|
EPIST OLACONSTAN TINIADECCLESIAM P OSTC ONCILI UM NICAENU M.	-----⌫--|-------⌫---|-|--------|-⌫--|-⌫------⌫-|-------⌫-|
Constant inus Augu stu s Ecclesiis.	--------⌫---|----⌫---⌫|---------|
Cumexpr o sperore ip ublicesta tucompertum h aberemquantafuisseterga nosomnipo tent isDe ibenignit as,inhocprecipuemihielab orandumesse existima ui,ut asanctissimisEcclesie catholicepopulisunafides,sinc eracari taset consona ergaom nipotentemDeumreligi oseruaretur.	--|-|--⌫-⌫----|--⌫--⌫-----|---⌫-|--------|-⌫-----|-----|------|---|--|------⌫----⌫-|--⌫|--------⌫--|-|--|-------|---|----⌫------|---|--------⌫--|-||-----------|-------|--------|------|--|-----|----⌫--|----⌫--|-|------|---|--⌫---------|---|------⌫|----------|
Deconsensuin c elebrat i onefesti Paschalisetco ntraIudeos .	-|-------|-|-⌫-------⌫-⌫--|----|--------|-|--⌫---|------⌫|
Ubicum de sanctissimoetiampas c h e die qu e situmfu i sse t,communiomniumsententiadecretumes t,eamfestiuitatemun oeodemque d ieab omni bus ubique celebrari oportere?	--|--|-|----------|----|---⌫-⌫-⌫|--|--⌫-⌫----|--⌫-⌫---⌫-|------|-----|--------|-------|--⌫-|--|-----------|--⌫|-------|-⌫-|-|----⌫--|-----|--------|--------|
Quid enim pulchrius,quidhones tiusno bis es se possit,quamut hecfe stiuitas, aquaspemimmortalitatis a cc epimus,uno eodemqueordineet c ertaratione a bomnib usinoffenseobserue tur.	---|---|---------|---|-----⌫---|--⌫--|--⌫-|------|---|-|--|--⌫--------||--|---|-------------|-⌫--⌫------|--|-------|-----|-|-⌫---|------|-⌫|-----⌫-|--------|-------⌫---|
Acprimumquidem uisaestomni bus res esseprorsusindigna, utinsanc tissimehuiussolemnitatiscelebratione cons uetudinemIu d eorumsequeremur.	-|-----|-----|---|--|----⌫--|--|---|------|-------|-|-|----⌫------|----|-----------|-----------|----⌫--------|--⌫-⌫----|----------|
quicummanussu asne f a rioscelerecon taminarint, merito imp uri homines ceci tate m enti s laborant .	--|--|----|--⌫-|--⌫-⌫-⌫--|------|---⌫----------|-----|---⌫--|------|----⌫---|-⌫----⌫|--------⌫|
Q uippereiectaill orumconsuetudine, possumusrectiori ordine,quemaprim o passionisdi eadhec usque te m poraseruauimus,adfuturaetiams eculahuius obseruantieri tumpropagare.	-⌫----|------|---⌫---|------------|-------|-------|------|---||----⌫|--------|--⌫|-|--|----|--⌫-⌫---|----------|-|-----|----|-⌫----|----|----------|--⌫--|---------|
Nihil ergo nobiscom munesitcumin imicissi maIudeorumtu rba.	----|---|----|---⌫---|--|--|--⌫--------⌫-|-------|--⌫---|
Aliam enimuiama S erua to re a ccepimus.	----|---|---||-⌫----⌫--⌫-|-⌫--------|
Pro po situsestsac rat issimer eligi oninostrecursus legitimus eth onestus .	---⌫--⌫----|--|---⌫---⌫-----|-⌫-----⌫--|-----|-----|--------|-|-⌫-------⌫|
Hunc una ni m iconsensu r e tinentes,abil laturpissima societate etconscientianosabs trahamus,fratrescari ssimi .	---|---⌫--⌫-⌫|-------|-⌫-⌫--------|-|--⌫-|---------|--------|-|----------|--|---⌫--------|------|----⌫-----⌫|
Est enim profecto absurdissi mumquodillimagnificeiactant,nosab sque ip sorum magisteriohec com modeobseru arenonposse.	--|---|-------|----------⌫--|---|---|--------|-------|--|--⌫---|--⌫----|---------|--|---⌫---|------⌫--|--|-----|
[3 31 Kb] II.	--⌫--⌫--|--|
Hortatioutmaximampartemor b isterrarumsequ i u elint.	-------|-|------|-----|--⌫-⌫-|-------|----⌫|-⌫-----|
Proindecumhoc it aemend ario portere t, u tn ichilnobi scomm u ne esset cum illorumDom iniinterfec torumet parricidarumconsuetudine,cu mque h icordodecentissimussit, quemomnes tamo c c iden taliumqua mm eridianarumetsepte nt rionalium o r bispartiumEcclesie,a cnonnullequoqueo r i entaliumseruant,id circoid equumrectumq ueesseo mnesiudica uerunt,q uodet uobispla citurumess espopondi,utscilice tquodi nur be Roma p erq ueomnemItaliam , Africam,Aegyptum;	------|--|--|--⌫|-----⌫--|-⌫-------⌫-|-⌫|-⌫----|----⌫|----⌫-⌫-|----|--|------|---⌫--|--------⌫----|-|-----------|------------|--⌫---|-⌫-|---|------------|---|---|----|--|-⌫-⌫-⌫----⌫-----|---⌫|-⌫----------|-|-----⌫--⌫--------|-⌫-⌫--|------|--------|-⌫|-------|-----|-⌫-⌫-⌫-------|-------|--⌫----|-|----|-------⌫-|---|-⌫---|------⌫------|-⌫--|-|----|---⌫------|---⌫|--------|-|-------⌫|---|-⌫|--⌫-|---|-⌫---⌫-|----|-------⌫|-------|--------|
per Hispaniam,Gallias, Britanni as,Lyb ias.	--|---------|-------|--------⌫--|---⌫---|
pe run iuersamAch aïam,perAsiana m etPo nticam diecesim.	--⌫|--⌫------|---⌫----|--|------⌫|-|--⌫-----|--------|
[33Kb ] III.	-----⌫|---|
H ortatioutomnes decretisSynodi asse nti antur.	-⌫------|-|----|-------|-----|----⌫---⌫-----|
Que cumita sint,celes tem gra tiametplanediu inummand atuml ibenter su scip ite.	--|--|--|----|-----⌫--|---⌫---|-|----|---⌫---|----⌫---|-⌫------|--⌫----⌫---|
Quidquidenimin san ctis e piscoporumconciliisge ritur,id omne addiuinamre fere ndu m estuolun tatem.	-------|---|-|---⌫---|-⌫---------|--------|--⌫-----|-|---|-|------|--⌫----⌫---⌫|--|-----⌫-----|
[7 7Kb]Iu.	--⌫---|--|
, ,,, , ,,.	||||||||
EPISTOLACONSTANTINI ADECCLESIAS.	-------|----------|-|---------|
I ubet imperator utl ibriArii igni tradantur.	-⌫---|--------|-|-⌫---|---|---|---------|
uictor Co nstantinus ,maximus,Au gustus,episcopisetpopulis.	-----|--⌫----------⌫|-------|--⌫------|--------|-|-------|
Cum malignoseti m pios Ariussib iimitandosduxerit,p arestuteamdem cumillisferatignominiam.	--|-------|-|-⌫-⌫---|----|---⌫|--------|-------|-⌫-|--|-|-----|--|----|----|----------|
Q u emadmodumigiturPo rphyriu s diuinepi etat ishostis,iniquisdereligion ecomposit isli bris, c ondignamreperitmerc edem,per quamfuturisseculisomn iumprobr isobnoxi us erit,pluri maqueobruetu ri nfamia, atque insuperimpiae iusabol itasunt scripta:itaetnuncplacitum nobi sest,Arium et Arii suffragatores Porph yrianosquidemnominare, utqu or um imitatisuntmores,eorum quoque obtinean ta ppe llationem.	-⌫-⌫--------|-----|--⌫-------⌫|-----|--⌫----⌫-|------|------|-|--------⌫|--------⌫-|--⌫----|-⌫-------|------|----⌫----|--|---|------|------|---⌫--|-----⌫-|------⌫-|----|-----⌫----|-------⌫|-⌫------|----|------|----|-⌫--|----⌫--|---|-------|--|-|---|-------|----⌫|---|----|-|---|------------|-----⌫------|-----|--------|-|--⌫--⌫-|------|---|-----|----|-----|--------⌫|-⌫---⌫---------|
Siquod aute m scrip tumab Ario comp ositumreperiatu r,ignitradatur, utnonmodoimprobaeiusdoctrinatoll atur,ueru metiamnemonumentumq uid e mal iquod eiusrelinquatur.	-|---|----⌫|-----⌫--|-|---|----⌫-----|---------⌫-|---|--------|-|--|---|------|---|-------|----⌫----|----⌫|----|-|---------|-⌫---⌫-⌫|--⌫----|---|-----------|
,,,,,,, , ,,,.	||||||||||||
EPISTO LACONSTAN TINIADECCLESI AMALEXANDRINAM.	------⌫-|-------⌫---|-|-------⌫-|------------|
Const an tinusA ugustuscatholice Alexandr inorumEc clesie.	-----⌫--⌫----|-⌫------|--------|--------⌫-----|--⌫------|
Salueteplur im um,f ratresca rissimi.	------|----⌫--⌫--|-⌫-----|--⌫-------|
Permaguum certeet si ngulare beneficiumadiuina prouidentia in noscollatumest, quodomnierror elib erati,unameamdem quefidemagnosca mus.	--------|----|-|--⌫------|---------||-----|----------|-|--|-------|---|---|---|-----⌫|---⌫-----|---|------⌫--|----|-------⌫---|
Nonestprofec todiaboliinsidiis contranosintent ati s d eceteroquidqua mloc i relic tum:nam qu idqu id e stper fraude m in nosmolitus, illud funditussub latumest.	--|--|------⌫-|------|-------|-----|--|------⌫---⌫|-⌫|-----|-------⌫|---⌫|-----⌫---|--|--⌫----⌫-|-⌫-|--|------⌫|-|--|-------|----|-------|---⌫----|---|
Dissensiones a nimorum, schis mata,tu multusi llos,etle thalia discordiarum u e nena, u er itatissplendorp enitusobr ui tdeleuit que.	-----------|-⌫-------|-----⌫----|--⌫-----|-⌫----|-|--⌫-----|-----------|-⌫-⌫----|-⌫--⌫-----|-------|-⌫-----|---⌫--⌫|-------⌫---|
UnumigiturDeum omn eset nomine ue neramuretessecredi m us;	---|-----|---|---⌫-|-|-----|--⌫------|-|---|-----⌫-⌫--|
Ut au tem istud ad exitu mpe rducereturDe i admonition emagnamepiscopor u mturb amad urbemN icea macc ersiui:quibu scumego,quiunusex uestrum numerosum,q uique quoduesters imcon seruusplurimumgaudeo,operamdediut u erit as diligen terinuestigaretur .	-|--⌫--|----|-|-----⌫|--⌫---------|--⌫|----------⌫|-----|---------⌫-⌫|----⌫-|-|----|-⌫----⌫|---⌫------|-----⌫---|---|--|---|-|------|-----|---|-⌫----|---|-----|-⌫-|---⌫-----|-------|------|-----|---|-|-⌫----⌫-|-------⌫--|--------------⌫|
Pr oinde omniaqu eautcontrouersie, autd issensi onismater iampreb e re uideba ntur, accurat eexcussa et e xagitatasun t.	--⌫----|----|--⌫|--|------------|--|-⌫-------⌫---|-----⌫--|----⌫-⌫-|------⌫----|-------⌫|------|-|-⌫-------|---⌫-|
Q uanta etq uame xecrabiliapr obr ano nnulliinmagn umSaluatorem,inspemet uita m nostramscelera tenefariequ eiec er unt,etscripturis diuinit us i n spiratis,fideiquesacrosanctecontrarianonm odoi m pudenter eff utiuerunt ,s ed seita crederepalam confessi sunt.	-⌫----|-|-⌫--|-⌫---------|--⌫---⌫|--⌫-----|-|----⌫-|----------|-|---|-|----⌫|------|-------⌫-|---------⌫|---⌫--⌫---|-|---------|-------⌫-|-⌫-⌫--------|-------|----------|--------|--|-⌫--|-⌫-⌫-------|---⌫---------⌫|-⌫-|-|--|------|----|-------|----|
,,, , , ,, ,, .	||||||||||
,, , ,,,,,,,,,,,,,,,.	|||||||||||||||||||
EPIS T OL ACO NSTANTINIARIOET ARIANIS .	----⌫-⌫--⌫|--⌫--------|---|-|-------⌫|
Constan tinus Au gu stusArio etArianis.	-------⌫----|--⌫--⌫---|---|-|-------|
Malusint erp res,reuera effigies quedametim agodiabol i es t.	----|---⌫---⌫---|-----|-------|-----|-|--⌫--|------⌫|--⌫-|
Ut eni millu mperitiart if ices adomnemde ceptionisd olum ef fi ngunt uelut pulc hrit udinisfo rmequed ecus affing entesilli,n aturasuaplaneturp issimo, ut miseros mortalesperdat,er roremiisobii ciens,eod e m planemodo,utopinor, facit,cuiilludsolum studiodignu muidetur ,utn o xiaimpudentieetaudacie suepharmacaprofusius o mni busobiiciat.	-|---⌫|----⌫|-----|---⌫--⌫---|-|----|--⌫--------|-⌫---|--⌫--⌫----|----|----⌫----⌫-----|--⌫-----|-⌫---|------⌫----|----|-⌫----|--|----|----⌫------|-|------|-------|------|--⌫----|--|----⌫-----|---⌫-⌫|----|----|-|------|-----|--|----|----|-----|-----⌫|-------⌫|-|-⌫-⌫--|---------|-|------|--|-------|--------|-⌫---⌫--|--------|
E tenimnouam,necposthominesnatosunquamuis am,infidelit at isf id em i nducit;	-⌫----|-----|--|---|------|----|-----|---⌫--|---------⌫--⌫-|-⌫--⌫-|-⌫------|
Qua mobr emnecaue ri tateabhorrereilluduideturiampridem d iui naoratione explicatum,quodadm alum su nt sapi en tes?	---⌫----⌫-|--||--⌫--⌫---|--------|----|------|--------|-⌫---⌫-|-------|----------|---|-|-⌫---|--⌫-|----⌫--⌫---|
Quidenimquispiamdixeritillumconsiliicap iendigratiam perdidisse.	---|---|-------|------|----|-------|---⌫----|------|----------|
q uinonamplius subl eua tionisa uxiliumulluminuen ireexpeti t.	-⌫-|--|------|----⌫---⌫-----|-⌫------|----|-----⌫--|------⌫-|
Q uorsum igitur,ChristeC hriste, DomineDom ine?	-⌫-----|------|------|-⌫------|-----|---⌫---|
quorsum nos quotidie p redonesuulnerant.	------|--|-------|-⌫------|---------|
Statexa duers o d ur a quedam et uiolen ta audacia, fremi tfr endetquedentibusinfamiadeformis,et innumeris sauciatacri minibu s.	---|-|-⌫-----⌫|-⌫--⌫|-----|-|------⌫-|-------|-----⌫|--⌫-------|-------|------|--------|-|--------|-------|---⌫------⌫-|
Ips acerte in leg eetp romulgationenominist uiu elutqu i busdamprocell is et m aloru mflu ctib usdisi ecta,effundit perniciosa uerba,ea quescribensinlucemedit,quenumquamtu,qui cum eternoPatretuiipsius fonteunaexistis,in cognitione tuidefiniuisti .	---⌫|----|-|---⌫|-|-⌫-----------|------|-⌫-|-⌫---|--⌫-⌫-----|-------⌫-|-|-⌫-----⌫|---⌫----⌫-|----⌫----|-------|---------|-----|--⌫--|-------|-|----|----|--|------|--|--|--|-----|----|--|-----|----|--|-------|-|---------|--|-----------⌫|
Cogi t omninoetconuenit graueset iniquas i mpi etat es, nuncquidemling uascri spans, nuncueroiter um m i serorum studiise lata,quos ip sa presentespr esecurit a te decipitsimule t corrumpit.	----⌫|-----|-|-------|-----|-|------|-⌫---⌫----⌫--|---|-----|----⌫--|---⌫-----|---|---|----⌫-|-⌫-⌫------|------|-⌫----|---|--⌫-|--------|--⌫|-------⌫-⌫-|------|----|-⌫|---------|
Iamautemuo l op resi diisipsius ingeniumexp endere?	--|----|--⌫-⌫|-⌫----⌫---|-----|-------|---⌫------|
Quiden i m ait.	---|--⌫-⌫|---|
Au ttenea mus,in qui t, cuius iamcompote s fact i sumus,autfia tsicutipsiu ol umus.	--⌫|-----⌫---|--⌫---⌫-|----|--|-------⌫|----⌫|-----|--|---⌫|----|---|-⌫--⌫----|
Ceci dite t ceciditquidem i nterfectus:dolone, inqui t,a natr o cialiquacallidita te,nichilref ert!	----⌫--|-⌫|------|-----|-⌫----------|---|--|-----⌫-|-⌫|---⌫-⌫-|-----|---------⌫--|-----|---⌫---|
Il lu d solumgrande ducit,quod propter prauas cogitationes ini psumi rrepsit?	--⌫--⌫|----|-----|-----|---|------|-----|-----------|-|-⌫---|-⌫-------|
Mul tit udinem,inquit,habemus?	---⌫---⌫------|------|-------|
Pr ogrediaretipse pa ul o ulteri us,utinsanibelli spect ato rfiam:ipse,inquam,progrediar,insanorumb ell a sedarean t ea solitus.	--⌫-------|-|---|--⌫--⌫|------⌫--|-|-----|----|-----⌫---⌫|----|----|------|----------|--------|-⌫---⌫|-----|--⌫-⌫-|-------|
Age sa ne Mars,Ari,clypei sutendum est:ne tuhocfeceris,obsecro, det ineat igi turt euen er iscong res sus.	--|--⌫-|----|---|------⌫|------|---|-|-|--|-------|-------|---⌫----|---⌫--|-⌫|---⌫--⌫-|----⌫---⌫---|
u erumutinam que madmodumturbaplaus ibil isuideris,sicetpietateuige resergaChristum.	-⌫---|-----|---⌫-------|----|-----⌫----⌫-|-------|--|-|------|----⌫--|---|--------|
Ecce iterum su pplex uenio, et armorumcopiapollens,pugn are nolo: Christiuerofide munitus,cum tesanare, tum ali oscurar euolo!	---|-----|--⌫----|-----|-|------|----|-------|----⌫--|----|------|---|---|-------|--|-|------|--|---⌫-|-----⌫|----|
Cur igituraisea tefac e requemoribust ui sn onco nueni unt.	--|-----|--|-|-|---⌫-⌫-|--|------|-⌫--⌫|-⌫-|--⌫-----⌫---|
Sedqu aq u i ete,di cmihi, di c,que so,autquibuscopiis cinctus,uelpo ti usquot emeritatis p ro uectus.	--|--⌫|-⌫-⌫-⌫---|--⌫|----|--⌫-|---⌫--|--|-----|-----|-------|--|--⌫--⌫-|--|-⌫---------|-⌫--⌫------|
Oauda ci amful mineui ndicand am.	|----⌫--⌫-|---⌫---|--⌫-------⌫--|
Auditequ enupermihi indicaui t,cala moui rusi ns till antescribens: Sic,inquit,c redimus.	-----|--⌫|----|---|--------⌫-|----⌫-|--⌫--|-⌫--⌫----⌫---|--------|---|------|-⌫-------|
Deind e adden snescioqueinsolenteret ualde accurate elaborata,pro gressus ul ter iusnichilacerbitatis omisi t, sedom nem,utit adi cam,d eme nti e thesau r umape ru it: Expellimu r,i nquit,etrecepti onis nostresecuritasomnistol li tur?	-----⌫|-----⌫|-----|--|---------|-|----|-------|---------|---⌫------|--⌫---⌫--|-----|----------|-----⌫-|--|--⌫---|-|--⌫|--⌫---|-⌫---⌫---⌫|------⌫-⌫-|---⌫--⌫--|---------⌫-|-⌫-----|-|-------⌫---|-----|--------|----|---⌫--⌫---|
Sed hecparumad rem, quesequunturattendite: i ps iusenimuerbisut ar;	--|--|----|-|---|--|--------|---------|-⌫--⌫--|---|-----|--⌫--|
Rogamus,inquit,siineadems ententiamaneatAle xandrieepiscopus,f acul tatemnobispo sthac dari ex legisprescripto legitimosetnecessarioscultusDeo tribuendi.	-------|------|-|-|----|-⌫-------|-----|---⌫------|---------|-⌫----⌫----|----|--⌫----|---|-|----|---------|--------|-|----------|-----|--|---------|
