Etuocetube	Et uoce tube
adhesitosmeumcarnimeeSimilisfc̃ssumpellicanosolitudinis	adhesit os meum carni mee Similis fc̃s sum pellicano solitudinis
fc̃ssumsicutniͨticoraxin	fc̃s sum sicut niͨticorax in
domicilioVigilaui	domicilio Vigilaui 
fc̃ssumsicut	fc̃s sum sicut
passersollitariusin	passer sollitarius in
tectoTotadieexꝓbrabantmͥinimicimeiqui	tecto Tota die exꝓbrabant mͥ inimici mei  qui
laudabantmeadu͛summeiurabant	laudabant me adu͛sum me iurabant
Quiacinerẽ	Quia cinerẽ
tanqͣmpanemmanducabampoculummeumcumfletumiscebam	tanqͣm panem manducabam  poculum meum cum fletu miscebam
Afacieireetindignationistueqͥaeleuansallisisti	A facie ire et indignationis tue qͥa eleuans allisisti
meDiesmeisicutumbradeclinauer̃tegosicutfenum	me Dies mei sicut umbra declinauer̃t  ego sicut fenum
aruiTuautemdñe	arui Tu autem dñe
inet͛numpermanesmemorialetuum	in et͛num permanes  memoriale tuum
ingen͛ationẽgen͛ationem	in gen͛ationẽ  gen͛ationem
Tuexsurgensdominemisereberissyonqͥatempus	Tu exsurgens domine misereberis syon qͥa tempus
miserendieiusqͥauenit	miserendi eius qͥa uenit
tempusQ̃mplacueruntseruistuis	tempus Q̃m placuerunt seruis tuis
lapideseiust͛reeiusmiserebunturEttimebuntgentes	lapides eius  t͛re eius miserebuntur Et timebunt gentes
nomentuumdñe	nomen tuum dñe
etom̃sregest͛regl̃amtuamQͥedificauitdñs	et om̃s reges t͛re gl̃am tuam Qͥ edificauit dñs
syonuidebituringl̃iasua	syon  uidebitur in gl̃ia sua
Respexitinor̃onemhumilium	Respexit in or̃onem humilium 
ñspreuitprecemeoꝝScribanturhecingen͛ationealtera	ñ spreuit precem eoꝝ Scribantur hec in gen͛atione altera
ppl̃squicreabiturlaudabitdñmQͥꝓspexitde	 ppl̃s qui creabitur laudabit dñm Qͥ ꝓspexit de
excelsosc̃osuo	excelso sc̃o suo
dñsdeceloint͛ramaspexitVt	dñs de celo in t͛ram aspexit Vt
audiretgemituscõpeditoꝝut	audiret gemitus cõpeditoꝝ ut
solueretfilios	solueret filios
interemptorumVtannuncientinsyonnomendñi	interemptorum Vt annuncient in syon nomen dñi 
laudemei᷒in	laudem ei᷒ in
ierl̃mInꝯueniendopopulosinunum	ierl̃m In ꝯueniendo populos in unum 
regesutseruiant	reges ut seruiant
dñoResponditeiinuiauirtutis	dño Respondit ei in uia uirtutis
suepaucitatemdierummeoꝝnunciamͥNe	sue paucitatem dierum meoꝝ nuncia mͥ Ne
reuocesmein	reuoces me in
dimidiodierummeoꝝ	dimidio dierum meoꝝ
ingenerationẽgen͛ationemannituiInitiotudñe	in generationẽ  gen͛ationem anni tui Initio tu dñe
t͛ramfũdastioperamanuum	t͛ram fũdasti  opera manuum
tuaꝝsuntceliIpsi	tuaꝝ sunt celi Ipsi
peribunttuautempermanes	peribunt tu autem permanes 
om̃ssicutuestimentumueterascentEtsicutopertorium	om̃s sicut uestimentum ueterascent Et sicut opertorium
mutabiseos	mutabis eos 
mutabunturtuautemidemip̃e	mutabuntur tu autem idem ip̃e
esannituiñdeficientFiliiseruorum	es  anni tui ñ deficient Filii seruorum
tuoꝝh̃itabuntsem̃eoꝝinscl̃mdirigetur	tuoꝝ h̃itabunt  sem̃ eoꝝ in scl̃m dirigetur
Benedicanimameadominoomnia	Benedic anima mea domino  omnia
q̃intrame	q̃ intra me
suntnominisc̃oeiusBenedicanimamea	sunt nomini sc̃o eius Benedic anima mea
dñonoli	dño  noli
obliuisciom̃sretributioneseiusQuiꝓpiciaturõibiniquitatibtuis	obliuisci om̃s retributiones eius Qui ꝓpiciatur õib iniquitatib tuis
qͥsanatom̃s	qͥ sanat om̃s
infirmitatestuasQuiredimitdeint͛ituuitamtuamqui	infirmitates tuas Qui redimit de int͛itu uitam tuam qui
coronatteinmĩamiserationibQui	coronat te in mĩa  miserationib Qui
ĩbonis	ĩ bonis
repletdesideriumtuumrenouabiturutaquileiuuentustua	replet desiderium tuum renouabitur ut aquile iuuentus tua
Faciensmĩasdñsiudiciumomnibiniuriam	Faciens mĩas dñs  iudicium omnib iniuriam
patientibNotasfecituiassuasmoysifiliisisr̃l	patientib Notas fecit uias suas moysi filiis isr̃l
uolũtatessuasMiseratormisericorsdñslonganimismultum	uolũtates suas Miserator  misericors dñs longanimis  multum
misericorsNonimperpetuumirasceturneq	misericors Non im perpetuum irascetur neq
inet͛numcõminabiturNonscd̃mpcc̃anr̃afecitnobisneq	in et͛num cõminabitur Non scd̃m pcc̃a nr̃a fecit nobis neq
scd̃miniquitatesnr̃asretribuitnobisQ̃mscd̃maltitudinemceliat͛ra	scd̃m iniquitates nr̃as retribuit nobis Q̃mscd̃m altitudinem celi a t͛ra
corroborauitmĩamsuam	corroborauit mĩam suam
sr̃timentesseQͣntũdistatortusaboccidente	sr̃ timentes se Qͣntũ distat ortus ab occidente
lõgefecitanobisiniquitates	lõge fecit a nobis iniquitates
nr̃asQuomodomisereturp̃r	nr̃as Quomodo miseretur p̃r
filioꝝmisertusestdñstim̃tibseqm̃ip̃ecognouit	filioꝝ misertus est dñs tim̃tib se qm̃ ip̃e cognouit
figmentumnr̃mRecordatus	figmentum nr̃m Recordatus
estqm̃puluissumushomo	est qm̃ puluis sumus homo
sicutfenumdiesei᷒tanqͣmflosagri	sicut fenum dies ei᷒ tanqͣm flos agri
sicefflorebitQ̃msp̃spertͣnsibit	sic efflorebit Q̃m sp̃s pertͣnsibit
inillo	in illo 
ñsubsistetñcognoscetamplius	ñ subsistet  ñ cognoscet amplius
locumsuum	locum suum
Miscd̃iaautemdñi	Miscd̃ia autem dñi
abeternousqinet͛numsr̃tim̃teseum	ab eterno  usq in et͛num sr̃ tim̃tes eum
Etiusticiailli᷒infilios	Et iusticia illi᷒ in filios
filioꝝhisquiseruanttestam̃tumeius	filioꝝ his qui seruant testam̃tum eius
Etmemoressuntmandatoꝝip̃iusad	Et memores sunt mandatoꝝ ip̃ius ad
faciendumeaDominusincelo	faciendum ea Dominus in celo
parauitsedemsuamregnumip̃iusõib	parauit sedem suam  regnum ip̃ius õib
dñabiturBenedicitedñoom̃sangl̃iei᷒potentes	dñabitur Benedicite dño om̃s angl̃i ei᷒ potentes
uirtutefacientesu͛bumilliusadaudiendãuocemsermonumeiusBenedicite	uirtute facientes u͛bum illius ad audiendã uocem sermonum eius Benedicite
dñoom̃suirtuteseius	dño om̃s uirtutes eius
ministrieiusquifacitisuoluntatemeiusBenedicitedño	ministri eius qui facitis uoluntatem eius Benedicite dño
õiaoꝑaeiusinõi	õia oꝑa eius in õi
locodñationiseiusbñdic	loco dñationis eius bñdic
aĩamea	aĩa mea
dñoBenedicanimameadominodñedeusmeus	dño Benedic anima mea domino dñe deus meus
magnificatusesuehemẽterConfessionemdecoreminduistiamictuslumine	magnificatus es uehemẽter Confessionem  decorem induisti amictus lumine
sicutuestim̃toExtendenscelumsicutpellẽ	sicut uestim̃to Extendens celum sicut pellẽ
Nõĩmediodomusmeequifacit	Nõ ĩ medio domus mee qui facit
superbiamꝗloꝗturiniqua	superbiam ꝗ loꝗtur iniqua
nondirexitincõspectuoculoꝝmeoꝝIn	non direxit in cõspectu oculoꝝ meoꝝ In
matutinoĩt͛ficiebamomnespcc̃oresterreut	matutino ĩt͛ficiebam omnes pcc̃ores terre ut
disꝑderẽdeciuitatedñiom̃soperantes	disꝑderẽ de ciuitate dñi om̃s operantes
iniquitatẽDOmineexaudiorationemmeã	iniquitatẽ DOmine exaudi orationem meã
clamormeusadteueniatNonau͛tasfaciemtuam	 clamor meus ad te ueniat Non au͛tas faciem tuam
ameĩquacũqdietribulorinclinaad	a me ĩ quacũq die tribulor inclina ad
meaurẽtuãInqͣcunq	me aurẽ tuã In qͣcunq
dieinuocaueroteuelocit͛exaudimeQuiadefeceruntsicut	die inuocauero te uelocit͛ exaudi me Quia defecerunt sicut
fum᷒diesmeiossameasicutcremiũarueruntPercuss᷒	fum᷒ dies mei  ossa mea sicut cremiũ aruerunt Percuss᷒
sumutfenũaruitcormeũqͥa	sum ut fenũ  aruit cor meũ qͥa
oblitussumcomederepanẽmeũAuoce	oblitus sum comedere panẽ meũ A uoce
gemitusmeiadhesitosmeũcarnimee	gemitus mei adhesit os meũ carni mee
Fimilissicfc̃ssumpellicanosolitudinisfc̃ssũsicut	Fimilis sicfc̃s sum pellicano solitudinis fc̃s sũ sicut
nicticorausĩdomicilioVigilauifc̃ussumsic̃passer	nicticoraus ĩ domicilio Vigilaui  fc̃us sum sic̃ passer
sollitariusintectoTotadieexprobantmͥinimici	sollitarius in tecto Tota die exprobant mͥ inimici
meiqui	mei  qui
laudabantmeadu͛sum	laudabant me adu͛sum
iurabantQuia	iurabant Quia
cinerẽtanquampanemmanducabampotũmeumcũ	cinerẽ tanquam panem manducabam  potũ meum cũ
fletumissebamAfacieiretueindignationistue	fletu missebam A facie ire tue indignationis tue 
eleuansallisistimeDiesmei	eleuans allisisti me Dies mei
sicutunbradeclinaueruntetegosicutfenũ	sicut unbra declinauerunt et ego sicut fenũ
aruiTuautemdñeineternũꝑmanesmemorialetuum	arui Tu autem dñe in eternũ ꝑmanes  memoriale tuum
ĩgenerationegenerationemTuexulgensdñe	ĩ generatione  generationem Tu exulgens dñe
misereberissyonqͥatẽpusmiserẽdi	misereberis syon qͥa tẽpus miserẽdi
ei᷒quiauenittempusQ̃nplacuerunt	ei᷒ quia uenit tempus Q̃n placuerunt
seruustuus	seruus tuus
lapidesei᷒t͛reei᷒miserebunt͛Et	lapides ei᷒  t͛re ei᷒ miserebunt͛ Et
timebuntgentesnomentuumdñeom̃s	timebunt gentes nomen tuum dñe  om̃s
regest͛regloriam	reges t͛re gloriam
tuamQuiaedificauitdñssyon	tuam Quia edificauit dñs syon
uidebit᷑in	 uidebit᷑ in
gloriasuaRespexitĩorationem	gloria sua Respexit ĩ orationem
humiliũñspreuitcem	humiliũ  ñ spreuit cem
eoꝝScribanturhecĩgenerationealtera	eoꝝ Scribantur hec ĩ generatione altera
ppl̃sqͥcreabit᷑laudabitdominum	 ppl̃s qͥ creabit᷑ lauda bit dominum
Quiaprospexitdeexcelsosc̃osuodñs	Quia prospexit de excelso sc̃o suo dñs
deceloin	de celo in
terramaspexitVtaudiretgemitus	terram aspexit Vt audiret gemitus
ꝯpeditoꝝutsolueretfiliosinterentorũ	ꝯpeditoꝝ ut solueret filios interentorũ
Vtannũciantinsyonnomẽdñi	Vt annũciant in syon nomẽ dñi 
laudemei᷒ĩiherusalẽIncõuertando	laudem ei᷒ ĩ iherusalẽ In cõuertando
ppl̃osĩunũreges	ppl̃os ĩ unũ  reges
utseruiantdñoResponditeiinuiauirtutis	ut seruiant dño Respondit ei in uia uirtutis
suepaucitatẽdierũmeoꝝnuntia	sue paucitatẽ dierũ meoꝝ nuntia
mͥNnereuocesmeĩdimidiodierũmeoꝝ	mͥ Nne reuoces me ĩ dimidio dierũ meoꝝ
ĩgenerationegenerationemannitui	ĩ generatione  generationem anni tui
Initiotudñet͛ram	Initio tu dñe t͛ram
fundastioꝑamanuũtuarumsũtceliIpsiꝑibunttu	fundasti  oꝑa manuũ tuarum sũt celi Ipsi ꝑibunt tu
autemꝑmanesom̃ssicutuestimẽtum	autem ꝑmanes  om̃s sicut uestimẽtum
ueterascentEt	ueterascent Et
sicutoꝑtoriũmutabiseosmutabunt᷑tuautẽidemipse	sicut oꝑtoriũ mutabis eos  mutabunt᷑ tu autẽ idem ipse
esetannituinõdeficiẽtFiliiseruoꝝtuoꝝhabitabũt	es et anni tui nõ deficiẽt Filii seruoꝝ tuoꝝ habitabũt
semeneoꝝĩscl̃mdiriget᷑Benedicanimamea	 semen eoꝝ ĩ scl̃m diriget᷑ Benedic anima mea
dominoetõia	domino et õia
qintramesuntnõi	q intra me sunt nõi
sc̃oeius	sc̃o eius
nemueritaseiusd̃dMisericordiamiudiciũcantabo	nem ueritas eius d̃d Misericordiam  iudiciũ cantabo
tibidñePsallam	tibi dñe Psallam 
ĩtelligamĩuiaĩmaculataquãdouẽiesadm̃	ĩtelligam ĩ uia ĩmaculata  quãdo uẽies ad m̃
Perambulãtĩĩnocentiacordismeiĩmediodomm̃eNon	Perambulãt ĩ ĩnocentia cordis mei ĩ medio dom m̃e Non
ꝓponebamãteocl̃osmeos	ꝓponebam ãte ocl̃os meos
remĩistam	rem ĩistam
facientesuaricãtesodiuiNonadhesit	facientes uaricãtes odiui Non adhesit
mͥcorprauũdeclinãtemadmemalignum	mͥ cor prauũ declinãtem ad me malignum
nõcognoscebamDetrahentem	nõ cognoscebam Detrahentem
secretoꝓxĩosuohuncpersequebar	secreto ꝓxĩo suo hunc persequebar
SuꝑbooculoĩsaciabilicordecũhocnõedebamOccl̃i	Suꝑbo oculo  ĩsaciabili corde cũ hoc nõ edebam Occl̃i
meiadfidelest͛reutsedeantmecum	mei ad fideles t͛re ut sedeant mecum
ambulãsĩuia	ambulãs ĩ uia
ĩmaculatahicmͥminis	ĩmaculata hic mͥ minis
trabatNon	trabat Non
h̃itabitĩmedio	h̃itabit ĩ medio
domm̃e	dom m̃e
quifacitsuꝑbiamquiloquituriniquanõdirexitĩꝯspectu	qui facit suꝑbiam qui loquitur iniqua nõ direxit ĩ ꝯspectu
occl̃oꝝnr̃oꝝInmatutinoĩt͛ficiebãom̃spcc̃orest͛re	occl̃oꝝ nr̃oꝝ In matutino ĩt͛ficiebã om̃s pcc̃ores t͛re
utdisperderẽtdeciuitate	ut disperderẽt de ciuitate
dñioperantes	dñi operantes
ĩiquitatemd̃d	ĩiquitatem d̃d
Dñeexaudior̃onem	Dñe exaudi or̃onem
meametclamormeusadteueniatNon	meam et clamor meus ad te ueniat Non
auertasfaciemtuamameĩ	auertas faciem tuama me ĩ
qͣcũqdie	qͣcũq die
tribulorĩclinaadmeaurẽ	tribulor ĩclina ad me aurẽ
tuamInqͣcũq	tuam In qͣcũq
dietrisic	die tri sic
bĩuocaueroteuelociterexaudi	bĩuocauero te uelociter exaudi
meQuiadefecerũt	me Quia defecerũt
sicutfumusdies	sicut fumus dies
meietossa	mei et ossa
measicutcremiũarueruntPercussussum	mea sicut cremiũ aruerunt Percussus sum
utfenũet	ut fenũ et
aruitcormeumquiaoblitussũcomederepanemmeũA	aruit cor meum quia oblitus sũ comedere panem meũ A
uocegemitsũmeiadhesitosmeũ	uoce gemit sũmei adhesit os meũ
carnimeeSĩlisfc̃ussũpellicanosolitud̃isfc̃us	carni mee Sĩlis fc̃us sũ pellicano solitud̃is fc̃us
sumsicut	sum sicut
niticoraxĩdomicilioUigilauifc̃ussũsicutpasser	niticorax ĩ domicilio Uigilaui  fc̃us sũ sicut passer
solitariusĩtectoTotadieexprobabant	solitarius ĩ tecto Tota die exprobabant
mͥĩmicimeiquilaudabantmeadu͛sũme	mͥ ĩmici mei   qui laudabant me adu͛sũ me
iurabãtQuiacinerem	iurabãt Quia cinerem
tanꝙͣpanemmãducabãpoculũmeucũfletumissebãA	tanꝙͣ panem mãducabã  poculũ meu cũ fletu missebã A
facieireĩdignacõnistueeleuãsallisistimeDies	facie ire ĩdignacõnis tue  eleuãs allisisti me Dies
meisicutũbradeclinauerũtegosicutfenũ	mei sicut ũbra declinauerũt  ego sicut fenũ
aruiTuaut̃dñeĩet͛nũꝑmanesetmemoriale	arui Tu aut̃ dñe ĩ et͛nũ ꝑmanes et memoriale
tuũĩgeneratõneetgeneratõnemTuexsurgensdñemiẜeberis	tuũ ĩ ge neratõne et generatõnem Tu exsurgens dñe miẜeberis
syontp̃smiẜendieiuenittempQ̃mplacuerũt	syon  tp̃s miẜendi ei  uenit temp Q̃m placuerũt
ẜuistuislapideseiett͛reeiusmiẜebũturEt	ẜuis tuis lapides ei et t͛re eius miẜebũtur Et
timebũtgentes	timebũt gentes
nomẽtuũdñeõsregest͛regl̃iamtuam	nomẽ tuũ dñe  õs reges t͛re gl̃iam tuam
Quiaedificauit	Quia edificauit
dominsyonetuidebit᷑ĩgl̃iasuaRespexitĩ	domin syon et uidebit᷑ ĩ gl̃ia sua Respexit ĩ
or̃onemhũiliũetnonsuitces	or̃onem hũiliũ et non suit ces
eoꝝScribantur	eoꝝ Scribantur
hͨĩgen͛ationealt͛aetppl̃squicreabit᷑	hͨ ĩ gen͛atione alt͛a et ppl̃s qui creabit᷑
laudabitdñmQuia	laudabit dñm Quia
ꝓspeͨxitdeexcelsosc̃osuodñs	ꝓspeͨxit de excelso sc̃osuo dñs
deceloĩt͛ramaspexitUtaudiretgemitꝯpeditorũut	de celo ĩ t͛ram aspexit Ut audiret gemit ꝯpeditorũ ut
solueretfilios	solueret filios
ĩt͛emtoꝝUtãnuncientĩsyonnomẽ	ĩt͛emtoꝝ Ut ãnuncient ĩ syon nomẽ
dñietlaudemsuaminihrl̃mInꝯuertendopopulos	dñi et laudem suam in ihrl̃m In ꝯuertendo populos
inunũ	in unũ 
regesutẜuiant	reges ut ẜuiant
dñoRespõditeiĩuiauͥtutissuepaucietatemdierũmeorũ	dño Respõdit ei ĩ uia uͥtutis sue paucietatem dierũ meorũ
nũciamͥNereuocesmeĩdimidiodieꝝmeoꝝ	nũcia mͥ Ne reuoces me ĩ dimidio dieꝝ meoꝝ
ĩgen͛atõne	ĩ gen͛atõne
generatõnemanituinicio	 generatõnem ani tui nicio
sictudñet͛ramfundasti	sic tu dñe t͛ram fundasti
etoperamanuũtuaꝝsũtceliIp̃iperibũttuaut̃	et opera manuũ tuaꝝ sũt celi Ip̃i peribũt tu aut̃
permanesetõssicutuestimẽtũ	permanes et õs sicut uestimẽtũ
ueterascẽtEtsicutopertoriũmutab̃eos	ueterascẽt Et sicut opertoriũ mutab̃ eos
etmutabũturtuaut̃idemip̃ees	et mutabũtur tu aut̃ idem ip̃e es
etãnitui	et ãni tui
nõdeficientFiliiẜuorumtuoꝝh̃itabũtetsemeneoꝝĩ	nõ deficient Filii ẜuorum tuoꝝ h̃itabũt et semen eoꝝ ĩ
scl̃ꝫdiriget᷑ps̃ps̃d̃d	scl̃ꝫ diriget᷑ ps̃ ps̃d̃d
Benedicaĩam̃adñoõiaq̃intra	Benedic aĩa m̃a dño  õia q̃ intra
mesũtnõisc̃oeib̃ndicaĩam̃adño	me sũt nõi sc̃o ei b̃ndic aĩa m̃a dño
etnoliobliuisciõsretributõneseiusQuiꝓpiciaturõib	et noli obliuisci õs retributõnes eius Qui ꝓpiciatur õib
ĩquitatibtuisquisanat	ĩquitatib tuis qui sanat
õsĩfirmitatestuasQuiredemitdeĩt͛ituuitã	õs ĩfirmitates tuas Qui redemit de ĩt͛itu uitã
tuãquicoronatteĩmĩa	tuã qui coronat te ĩ mĩa
miẜatõibusQuirepletĩbonisdesideriũtuũrenouabr̃ut	 miẜatõibus Qui replet ĩ bonis desideriũ tuũ renouabr̃ ut
aquileiuuẽtustuaFaciẽsmĩasdñs	aquile iuuẽtus tua Faciẽs mĩas dñs
iudiciũõibĩiuriampacientib	 iudiciũ õib ĩiuriam pacientib
Notasfecituiasmoysifiliisisr̃luolũtatessuasMiẜator	Notas fecit uias moysi filiis isr̃l uolũtates suas Miẜator
etmiẜicossicdñslonganimml̃tũmiẜicorsNonin	et miẜicos sic dñs longanim  ml̃tũ miẜicors Non in
perpetuũirasceturnĩet͛nũꝯminabit᷑Nõscd̃mpcc̃anr̃a	perpetuũ irascetur n ĩ et͛nũ ꝯminabit᷑ Nõ scd̃m pcc̃a nr̃a
fecitnobisneqscd̃mĩiquitatesnr̃as	fecit nobis neq scd̃m ĩiquitates nr̃as
retribuitnob̃Q̃mscd̃maltitudĩecelia	retribuit nob̃ Q̃m scd̃m altitudĩe celi a
t̃racorroborauitmĩamsuãsuꝑtimẽtesse	t̃ra corroborauit mĩam suã suꝑ timẽtes se
Quãtũdistatort᷒	Quãtũ distat ort᷒
aboccidẽtelongefecitanobisĩiquitatesnr̃asQuomͦmiẜetur	ab occidẽte longe fecit a nobis ĩiquitates nr̃as Quomͦ miẜetur
pat̃filioꝝmiẜtẽdñs	pat̃ filioꝝ miẜt ẽ dñs
tim̃tibse	tim̃tib se
qm̃ip̃ecognouitfigmẽtumnr̃mRecordatusẽ	qm̃ ip̃e cognouit figmẽtum nr̃m Recordatus ẽ
qm̃puluissum᷒	qm̃ puluis sum᷒
h̃osicutfenũdieseitanꝙͣflosagrisic	h̃o sicut fenũ dies ei tanꝙͣ flos agri sic
florebitQ̃msp̃spertransibitĩ	florebit Q̃m sp̃s pertransibit ĩ
illonõsubsistetetnõ	illo  nõ subsistet et nõ
cognoscetamplilocũsuũMĩaaut̃dñiabet̃no	cognoscet ampli locũ suũ Mĩa aut̃ dñi ab et̃no 
usqĩet̃nũ	usq ĩ et̃nũ
suꝑtimẽteseũEtiusticiailliĩfiliosfilioꝝ	suꝑ timẽtes eũ Et iusticia illi ĩ filios filioꝝ
hiisquiseruanttestamẽtueiusEt	hiis qui seruant testamẽtu eius Et
memoressũtmãdatorũip̃iadfaciẽdũeaDñsĩcelo	memores sũt mãdatorũ ip̃i ad faciẽdũ ea Dñs ĩ celo
parauitsedẽ	parauit sedẽ
suãregnũip̃iõibdñabr̃B̃ndicitedño	suã  regnũ ip̃i õib dñabr̃ B̃ndicite dño
angl̃ieipotẽtesuͥtutefaciẽtesuerbuilliadaudiẽdãuoce	angl̃i ei potẽtes uͥtute faciẽtes uerbu illi ad audiẽdã uoce
ẜmonũeiB̃ndicitedñoõs	ẜmonũ ei B̃ndicite dño õs
uͥtuteseiministri	uͥtutes ei ministri
eiquifacitisuolũtatemeiB̃ndñoõiaopera	ei qui facitis uolũtatem ei B̃n dño õia opera
eiĩõilocodñatõnes	ei ĩ õi loco dñatõnes
eibñdicaĩameadñops̃d̃dB̃ndicaĩam̃adomino	ei bñdic aĩa mea dño ps̃d̃d B̃ndic aĩa m̃a domino
dñedem̃smagnificatesuehemẽter	dñe de m̃s magnificat es uehemẽter
Confessionẽuia	Confessionẽ uia
ĩmacl̃atahicmͥmĩstrabat	ĩmacl̃ata hic mͥ mĩstrabat
Nonh̃itabitĩ	Non h̃itabit ĩ
mediodomus	medio domus
m̃eqͥfacit	m̃e qͥ facit
suꝑbiãquiloqͥturiniquanõdirexitĩcõspectuocl̃oꝝmeoru	suꝑbiã qui loqͥtur iniqua nõ direxit ĩ cõspectu ocl̃oꝝ meoru
Inmatutinoĩterficiebam	In matutino ĩterficiebam
om̃spcc̃orest͛reutdisꝑderẽdeciuitatedñiõs	om̃s pcc̃ores t͛re ut disꝑderẽ de ciuitate dñi õs
operantesiniquitatemÃIubilatedeoõis	operantes iniquitatem Ã Iubilate deo õis
terraÃ	terra Ã
Clamorps̃Domine	Clamor ps̃ Domine
exaudior̃onẽmeãclamorm̃sadte	exaudi or̃onẽ meã  clamor m̃s ad te
