fecitconstantin᷒	fecit constantin᷒
Agnetẽfabricemulieresut	Agnetẽ fabrice mulieres ut
asserebat᷑sortilegas⁊maleficas	asserebat᷑ sortilegas ⁊ maleficas
c̃tushabitusꝓcessusfuerat⁊cõdempnacionissñiaꝓmulgataet	c̃tus habitus ꝓcessus fuerat ⁊ cõdempnacionis sñia ꝓmulgata et
executionimandatainofficiidilc̃ifiliiInquisitor	executioni mandata in officii dilc̃i filii Inquisitor
heretic̃prauitat̃inillispartibauct̃e	heretic̃ prauitat̃ in illis partib auct̃e
apl̃icadeputatiutdicebat᷑iudiciũ⁊cõtemptumpereũdem	apl̃ica deputati ut dicebat᷑ iudiciũ ⁊ cõtemptum per eũdem
Inquisitorseudemãdatosuocontͣnonullasꝑsonas	Inquisitor seu de mãdato suo contͣ nonullas ꝑsonas
c̃tifuerãtfacti	c̃ti fuerãt facti
ꝓcessusRoc̃tisexcaus̃tamde	ꝓcessus Ro c̃tis ex caus̃ tam de
totoꝓcessusuꝑmiss̃habito	toto ꝓcessu suꝑ miss̃ habito
perdc̃osIudic̃essecular̃ꝙͣꝓcessupredc̃opereũdemInquisitor̃	per dc̃os Iudic̃es secular̃ ꝙͣ ꝓcessu predc̃o per eũdem Inquisitor̃
ueldesuo	uel de suo
AdLuchinumuicecoͥtem	Ad Luchinum uicecoͥtem
mediolanidominu	mediolani dominu
cũpiratransmitteretincidenteregitdelaudib.italieARgolicas	cũ pira transmitteret incidenter egit de laudib. italie ARgolicas
sifamauolans	si fama uolans
uulgataꝑurbesArborisausoniequondam	uulgata ꝑ urbes Arboris ausonie quondam
dumsplenduitetasAurea	dum splenduit etas Aurea
,saturnoterrisregnantefuiss⁊Utreor	, saturno terris regnante fuiss⁊ Ut reor
eurysteusnũꝙͣtotferre	eurysteus nũꝙͣ tot ferre
laboresCogeretalcydem,suaditia	labores Cogeret alcydem , sua ditia
pomadraconiOrtulushesperidummale	poma draconi Ortulus hesperidum male
custoditushaberetHoc	custoditus haberet Hoc
potiusmandaretopusnecuinceret	potius mandaret opus nec uinceret
auruNatiuidulcorisopesFelitiusomniEslatiumtellure	auru Natiui dulcoris opes Felitius omni Es latium tellure
quidemfertilisoraItalie	quidem fertilis ora Italie
ꝙͣfuluaceres	ꝙͣ fulua ceres
uiridisq.mineruaPurpureusꝙͣbachusquãamat	uiridisq. minerua Purpureus ꝙͣ bachus quã amat
tufrõdea	tu frõdea
caprisFloreamellificisapib.	capris Florea mellificis apib.
pecoriq.uicissimPascuaetirriguislate	pecoriq. uicissim Pascua et irriguis late
pulcerrimapratisTuredolensortis	pulcerrima pratis Tu redolens ortis
uariisscatebrosametallisArborib.q.uirenssiluisumbrosauetustisante	uariis scatebrosa metallis Arborib.q. uirens siluis umbrosa uetustis ante
reclusumsubNuma	reclusum sub Numa
regeetuictaprimũcarthagineHincconuersusad	rege et uicta primũ carthagine Hinc conuersus ad
pacempronũin	pacem pronũ in
omniamalaetinluxumfluenssaeculumgrauib	omnia mala et in luxum fluens saeculum grauib
seuerisqlegibusmultiscoercuitOb	seuerisq legibus multis coercuit Ob
haectotfactaingentiadictatorꝑpetuusetpaterpatriędictus	haec tot facta ingentia dictator ꝑpetuus et pater patrię dictus
estTractatumetiaminsenatuan	est Tractatum etiam in senatu an
quiacondidissetimꝑiumromulusuocaretursedsanctiuserreuerentiusuisum	quia condidisset imꝑium romulus uocaretur sed sanctius er reuerentius uisum
estnomenaugustiut	est nomen augusti ut
scilicetiamdudumducolitterrasiponomine	scilicet iamdudum du colit terras ipo nomine
ettitulo	et titulo
consecret᷑LAnneiFloriliberultimusanno	consecret᷑ L Annei Flori liber ultimus anno
dñi1458IIInoñianuar̃Mlĩ	dñi 1458 III noñ ianuar̃ Mlĩ
DeolausEGOOMNIOFFICIOACPOTI᷒	Deo laus EGO OMNI OFFICIO AC POTI᷒
pietateerga	pietate erga
teceterissatisfacioomnibusmihi	te ceteris satisfacio omnibus mihi
ipsenunꝙͣsatisfacioTantaenimestmagnitudo	ipse nunꝙͣ satisfacio Tanta enim est magnitudo
tuorumergame	tuorum erga me
meritorumut	meritorum ut
quoniamtunisi	quoniam tu nisi
perfectarede	perfecta re de
menonconquiestiego	me non conquiesti ego 
idemintuacausanonofficiouitã	idem in tua causa non officio uitã
mihiesseacerbamputem	mihi esse acerbam putem
IncausahęcsuntHamoniusregis	In causa hęc sunt Hamonius regis
legatusapertepecunianosoppugnatResagiturpereosdemcompetitores	legatus aperte pecunia nos oppugnat Res agitur per eosdem competitores
perquoscumtuaderasagebaturRegiscausa	per quos cum tu aderas agebatur Regis causa
siquisunt	si qui sunt
quiuelintꝗ	qui uelint ꝗ
paucisuntomnesremadpompeium	pauci sunt omnes rem ad pompeium
deferriuoluntSenatusreligioniscalũniamnonreligionesedmaleuolentia&	deferri uolunt Senatus religionis calũniam non religione sed maleuolentia &
illiusregiaeLargitionisinuidiacõprobatPompeiumethortarietorare	illius regiae Largitionis inuidia cõprobat Pompeium et hortari et orare
etiamLiberiusaccusare	et iam Liberius accusare
etmonere	et monere
utmagnaminfamiamfugiatnondesistimusSedplanenecprecibus	ut magnam infamiam fugiat non desistimus Sed plane nec precibus
nr̃issi	nr̃is si
quidobcommissorumpenitenciameligitisuel	quid ob commissorum penitenciam eligitis uel
iniuriaamicisuestrisneanicomedeinferrisiniteSiceni	iniuria amicis uestris ne a nicomede inferri sinite Sic eni
faciẽtibusuobisauxiliacontraitalosregemnostrumlaturumpollicemur	faciẽtibus uobis auxilia contra italos regem nostrum laturum pollicemur
uelapparentemamiciciamsaltemdissoluiteuel	uel apparentem amiciciam saltem dissoluite uel
romamadiudiciumcontendamusunaSicpelopidaselocutusest	romam ad iudicium contendamus una Sic pelopidas elocutus est
Hiauteminsolenciisillumloquiarbitrantesmitridatemanicomedeet	Hi autem insolenciis illum loqui arbitrantes mitridatem a nicomede et
capadociaabstiñeimperantsestatimAriobarzanemineam	capadocia abstiñe imperant se statim Ariobarzanem in eam
reducturosessepelopidaminsuperabexercitucedere	reducturos esse pelopidam insuper ab exercitu cedere
iubentneculteriusadeosreuertinisiin	iubent nec ulterius ad eos reuerti nisi in
hisquemandataessent	his que mandata essent
permaneretrexInhunc	permaneret rex In hunc
mod̃tuleresentenciametdiscendentiabindepelopide	mod̃ tulere sentenciam et discendenti abinde pelopide
custodiamadhibuerenequempiamin	custodiam adhibuere ne quempiam in
itinereꝑuert̃etQuibusperactisconsiliatantibellineutiqexpectantesaut	itinere ꝑuert̃et Quibus peractis consilia tanti belli neutiq expectantes aut
utpopulonotafierentetgalatis	ut populo nota fierentet galatis
quiinasia	qui in asia
suntstatimmouent	sunt statim mouent
Verumquiapropiusipisexercitus	Verum quia propius ipis exercitus
aderatquemlucassiusasieproconsulretinebat	aderat quem lu cassius asie proconsul retinebat
etomnessocioꝝuiresĩunũ	et omnes socioꝝ uires ĩ unũ
conuenerantdispartitiscopiisunusquisqcastraponitCassiusbithinieet	conuenerant dispartitis copiis unusquisq castra ponit Cassius bithinie et
galacieinmedioinannisperinferiorabithi	galacie in medio in annis per inferiora bithi
Hocpriuilegiumadñoppͣnobisetecclesie	Hoc priuilegium a dño ppͣ nobis et ecclesie
nostreconcessumloquiturdeom̃ibusterriᷤquas	nostre concessum loquitur de om̃ibus terriᷤ quas
habeteccl̃a	habet eccl̃a
nr̃aubicumqsintAlexanderepiscopusseruusseruorumdeidilectisfiliis	nr̃a ubicumq sint Alexander episcopus seruus seruorum dei dilectis filiis
Andreedecanoeccl̃esancti	Andree decano eccl̃e sancti
auitieiusqfratribtampresentibquamfuturiscanonicesustituendis	auiti eiusq fratrib tam presentib quam futuris canonice sustituendis
inꝑpetuumQuotiens	in ꝑpetuum Quotiens
anobisilludpetiturquodreligioniethonestati	a nobis illud petitur quod religioni et honestati
condereet	condere et
petentiumdesideriiscongruuminpertirisuffragiumEaꝓpterdilectiindño	petentium desideriis congruum inpertiri suffragium Eaꝓpter dilecti in dño
filiiuestrisiustispostulationibclementer	filii uestris iustis postulationib clementer
annuimusetcũctaillũĩansos	annuimus et cũcta illũĩans os
d̃ilinguaignitasap̃iam	d̃i lingua ignita sap̃iam
ꝓmẽsfonsiugit͛sanitates	ꝓmẽs fons iugit͛ sanitates
emanãsQuimareĩmeabl̃ibgͤssib᷒sc̃ificastiQͥ	emanãs Qui mare ĩ meabl̃ib gͤssib᷒ sc̃ificasti Qͥ
t̃rãp᷑pureãtuocruorefecistiqͥceloscõmeastiuͥ	t̃rã p᷑pureã tuo cruore fecisti qͥ celos cõmeasti uͥ
ĩmediodiuineacieirefulgesĩsplendoreĩmarcessibilisgl̃ie	ĩ medio diuineaciei refulges ĩ splendore ĩmarcessibilis gl̃ie
splendesInexultatõneIocũditatisĩsaciabilis	splendes In exultatõne Iocũditatis ĩsaciabilis
gaudesh̃theodorusAugustinushocnom̃sortitusẽul̃	gaudes h̃ theodorus Augustinus hoc nom̃ sortitus ẽ ul̃
ꝑꝑethimologiãnõisꝓpt̃excellentiãdignitatisqm̃sic̃	ꝑꝑethimologiã nõis ꝓpt̃ excellentiã dignitatis qm̃ sic̃
ĩꝑatoraugustuscellebatõsregessicisteexcellit	ĩꝑator augustus cellebat õs reges sic  iste excellit
õsdoctoresẜꝙdicitremigi᷒undealii	õs doctores ẜ ꝙ dicit remigi᷒ unde alii
doctoresꝯꝑant᷑stellisdañxiiQui	doctores ꝯꝑant᷑ stellis dañ xii Qui
adiustĩamerudiuntml̃tossic̃stelle⁊c̃hicaut̃	ad iustĩam erudiunt ml̃tos sic̃ stelle ⁊ c̃ hic aut̃
ꝯꝑat᷑solisic̃pĩepl̃a	ꝯꝑat᷑ soli sic̃ p ĩ epl̃a
q̃deeocantat᷑qiͣsolrefulgenssic	q̃ de eo cantat᷑ qiͣ sol refulgens sic
iperefulsitintemplod̃iScd̃op̃p	ipe refulsit in templo d̃i Scd̃o p̃p
f̃uorẽdilectõisqm̃sic̃m̃sisaugustusualdeferuetestucaloris	f̃uorẽ dilectõis qm̃ sic̃ m̃sis augustus ualde feruet estu caloris
sic⁊ipeualdeĩcaluitignediuini	sic ⁊ ipe ualde ĩcaluit igne diuini
amorisuñipeĩlibroꝯfõnũ	amoris uñ ipe ĩ libro ꝯfõnũ
desedicitSagittaũastucormeũcaritatetua⁊	de se dicit Sagittaũas tu cor meũ caritate tua ⁊
c̃It̃ibidẽaliqñĩtromittismeĩ	c̃ It̃ ibidẽ aliqñ ĩtromittis me ĩ
affc̃mml̃tũ	affc̃m ml̃tũ
ĩusitatũĩtrorsusnescio	ĩusitatũ ĩtrorsus nescio
adqͣmdulcedinẽ	ad qͣm dulcedinẽ
q̃siꝑficiat᷑	q̃ si ꝑficiat᷑
ĩmenescioqͥderitꝙuitaista	ĩ me nescio qͥd erit ꝙ uita ista
nõeritT̃ciop̃pethymologiamnõisDicit᷑	nõ erit T̃cio p̃p ethymologiam nõis Dicit᷑
eĩaugustin᷒abaugeo⁊astimq̃d	eĩ augustin᷒ ab augeo ⁊ astimq̃d
ẽciuitasanaq̃dẽsursũIndeaug̃	ẽ ciuitas  ana q̃d ẽ sursũ Inde aug̃
qiͣaugenssuꝑnãciuitatẽuñdeeocantat᷑Quiualuit	qiͣ augens suꝑnã ciuitatẽ uñ de eo cantat᷑ Qui ualuit
amplificareciuitatẽc̃ul̃utdr̃dinglosario	amplificare ciuitatẽ  c̃ ul̃ ut dr̃d in glosario
aug̃dr̃dmagnificusfelixclarus	aug̃ dr̃d magnificus felix clarus
indoctrinafuit·H·magnificusĩuita	in doctrina fuit ·H· magnificus ĩ uita
